series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
S,1874477.017656316,1874383.081023847,1874315.9528528685,1874259.2620649734,1874205.5587576958,1874151.3900201686,1874095.0906085242,1874035.790856175,1873972.970804491,1873906.259529608,1873835.344544697,1873759.930609058,1873679.720699751,1873594.4069097796,1873503.6657765934,1873407.1555715313,1873304.5144402762,1873195.358895056,1873079.2824336994,1872955.854184014,1872824.6175275068,1872685.0886815935,1872536.755230936,1872379.0746039392,1872211.4724931447,1872033.3412197884,1871844.038043848,1871642.883421793,1871429.1592151357,1871202.1068538062,1870960.9254594094,1870704.769934555,1870432.7490257241,1870143.923368546,1869837.3035259228,1869511.848031154,1869166.4614501004,1868799.992478486,1868411.2320926548,1867998.9117745108,1867561.7018339278,1867098.2098546526,1866606.9792925965,1866086.4882584165,1865535.1485193945,1864951.3047587918,1864333.2341340568,1863679.1461784253,1862987.183093524,1862255.4204834842,1913476.9660229657,1964631.0942615054,2015712.9836463733,2066715.301901151,2117628.850819196,2168442.7779293233,2219144.564822054,2269719.8928509518,2320152.4329501297,2370423.579877755,2420512.138399668,2470393.9628602173,2520041.5488847434,2569423.5750314025,2618504.3923572684,2667243.460827655,2715594.733248731,2763505.990031904,2810918.131757038,2857764.4413683196,2900355.636451291,2893849.6731197406,2886667.45389897,2878736.8118008305,2869997.056528187,2860393.543005936,2849876.4662266267,2838401.334782645,2825930.1134315305,2812432.604711424,2797887.8562670765,2782285.4616910825,2765626.655949212,2747925.1256761686,2729207.4725036924,2709513.2881456907,2688894.82343684,2667416.2583854496,2645152.60435378,2622188.2904818603,2598615.5025978195,2574532.352964349,2550040.9629368847,2525245.5383309526,2500250.5099695,2475158.800823459,2450070.267824344,2425080.352211864,2400278.9583785315,2375749.5685033095,2351568.5894387467,2327804.9196541617,2304519.7176213744,2281766.3487535627,2259590.485640297,2238030.3355588857,2217116.969752299,2196874.7304211026,2177321.693482707,2158470.167648468,2140327.213046772,2122895.165313989,2106172.153664338,2090152.6038514278,2074827.7190975454,2060185.9339658115,2046213.3377786046,2032894.0655504998,2020210.6555221851,2008144.373275979,1996675.5031092856,1985783.607866072,1975447.7588041709,1965646.737332277,1956359.2106071236,1947563.8830582562,1939239.6259222596,1931365.5868349469,1923921.2814612244
E,0.0,93.93663246908734,142.1475538848655,170.212227761393,189.6376701999602,205.6165872132949,220.50829461804858,235.40140463525253,250.81559343189542,267.016848416652,284.15915459539127,302.34824086833663,321.67032636210604,342.2051511868044,364.0319526954403,387.2322772887295,411.8913749572067,438.09896123961164,465.9496988810157,495.5435571714516,526.9861195770374,560.3888709295429,595.8694776547165,633.5520664066242,673.5675026932896,716.053669227159,761.1557427324012,809.0264673032547,859.8264219137108,913.7242792288328,970.8970524160175,1031.5303261790898,1095.8184677290747,1163.9648128580714,1236.181821694981,1312.6911980938733,1393.7239659390034,1479.520494947918,1570.3304678203472,1666.412779822244,1768.0353611201294,1875.4749114021497,1989.016535553054,2108.9532684080987,2235.585475916615,2369.220119424543,2510.16986926574,2658.7520534677938,2815.2874271674636,2980.0987483362424,3153.509145684701,3359.414921853836,3596.0936096888045,3864.6803414859055,4167.947583312796,4509.763737989771,4894.884115705394,5328.906624535143,5818.312267962922,6370.553060893774,6994.170300751539,7698.935633560585,8496.01158005706,9398.129785212777,10419.785457042814,11577.445805502726,12889.768982025702,14377.828096565368,16065.332322564514,17978.833842471024,20147.905408073704,22596.421237485272,25228.103265910097,28078.231905864184,31163.50600026788,34491.2163053768,38062.345274751606,41872.363912580506,45911.19912108115,50162.96857345373,54605.74326837863,59211.4643867971,63946.08230823494,68769.95276116025,73638.50016301146,78503.13561773542,83312.39609066647,88013.25315858601,92552.52607219224,96878.3260081795,100941.45698685589,104696.70383250454,108103.94784858718,111129.06510565693,113744.5786492937,115930.05277114996,117672.2332084447,118964.950574632,119808.81474050603,120210.73497274227,120183.30445494007,119744.08869966911,118914.85581975136,117720.78325676931,116189.67096486081,114351.18576968613,112236.15613414058,109875.93123232452,107301.81332786016,104544.56814376719,101634.01428958651,98598.68990306472,95465.59244566133,92259.98600716231,89005.2694481412,85722.89815343,82432.35199685088,79151.14224279369,75894.8504569562,72677.19299951651,69510.10527253387,66403.84054332586,63367.07883066185,60407.04199342466,57529.61178218179,54739.448189569186,52040.105957454354,49434.147563565544,46923.25141684797
I,184.82815729795152,130.33160248128195,108.9081516837588,102.52874522962261,103.11069070863506,107.03752465184948,112.69910271387258,119.38712460823515,126.7991974297145,134.81616273414397,143.40214608245418,152.55972561974008,162.30985881402682,172.68293157464097,183.7148054189657,195.44511197901932,207.91655937720643,221.1746955629338,235.26787936229056,250.24734725549825,266.1673255140249,283.0851649627625,301.0614879958556,320.16034297304054,340.449363531803,361.99993136435035,384.88734138798577,409.1909683238391,434.9944336443579,462.38577172207874,491.457593840568,522.30724852557,555.0369764252996,589.754057715117,626.5709497238289,665.6054121764488,706.9806171213313,750.8252402583607,797.2735300100234,846.465350280039,898.5461924268981,953.6671515452219,1011.9848617005523,1073.6613843085102,1138.8640433943044,1207.7652010220681,1280.5419657561633,1357.37582662121,1438.452204679268,1523.9599140588448,1614.0905240712925,1709.0376139582968,1813.263495004608,1929.602958450031,2060.2604441626186,2207.292296668693,2372.848822106481,2559.3071353475984,2769.3568160764175,3006.0676402181825,3272.953255690652,3574.037493299569,3913.9266622497453,4297.889588444828,4731.946320982095,5222.965881678233,5778.772925644661,6408.262586360599,7121.522011197298,7929.9560875590305,8846.413560834631,9885.308109205846,11061.125350996335,12366.65116331949,13803.18511448817,15374.66648982111,17085.192880197057,18937.831550291812,20933.925524442664,23072.598362082823,25350.35695565651,27760.76846013,30294.21742885449,32937.75972320139,35675.09120971804,38486.645767514376,41349.83057794784,44239.39825739041,47127.94618212517,49986.524385861456,52785.32566332198,55494.425796867785,58084.53867939498,60527.75075355824,62798.20151354074,64872.681426391835,66731.12492894393,68356.98344416138,69737.47093228908,70863.68171686798,71730.58670323495,72336.91929541713,72684.96613577944,72780.2802055375,72631.33491621191,72249.13775939887,71646.82108254213,70839.22585994165,69842.49216570267,68673.66764241902,67350.34277791018,65890.31939693549,64311.316552158096,62630.71602980676,60865.34801042917,59031.3160581361,57143.85954722641,55217.25085314275,53264.72410601125,51298.43199497476,49329.42698358637,47367.66331465901,45422.01631340729,43500.315710095965,41609.389971342214,39755.1189305303,37942.49232443865,36175.672160966125,34458.05715105649
A,20.786715072411404,16.64640747392067,15.243214936450007,15.10103235114091,15.558535695241083,16.32039398243991,17.255818181059478,18.30810295843677,19.454000525665613,20.685473635254546,22.001501113912283,23.404400151712515,24.898178924012896,26.48780258265549,28.178870739284378,29.97748085776425,31.89017610141822,33.92393195942286,36.08616104959998,38.384726770616496,40.82796155067265,43.42468772443974,46.184240098583885,49.116489727819115,52.231868627924264,55.541395238921666,59.05670048339779,62.79005427000797,66.75439228327649,70.96334288359509,75.43125391838142,80.17321921778469,85.20510451656473,90.54357250797224,96.20610669564529,102.2110336656894,108.57754335321042,115.32570682563625,122.47649104927115,130.0517700458284,138.07433178244088,146.56788007223867,155.55703069354473,165.06730086479376,175.12509114035322,185.75765872069093,196.99308110023642,208.860208909571,221.3886067473372,234.6084807439261,248.55059155640004,263.2461514654521,279.2066583508429,296.8066621667607,316.3692198797107,338.2094861830547,362.65859954404044,390.07855500816675,420.8732125390675,455.49793719718417,494.46910905661423,538.3741468019351,587.8824067708274,643.7571792556207,706.8689243404347,778.2098299786721,858.9097139728626,950.2532159592552,1053.698125825852,1170.894562921911,1303.7045483269662,1454.2212936395995,1624.607136455319,1814.633603305401,2024.835998622337,2255.9829747531835,2508.8385153018694,2784.0344349373736,3081.9844978079823,3402.8149771187987,3746.303648189498,4111.826098773645,4498.311040609013,4904.2073522538085,5327.465751532316,5765.537623345771,6215.392770382013,6673.5568205798645,7136.167828471086,7599.050371040524,8057.804288524359,8507.904270918814,8944.805830259971,9364.05287921727,9761.38217028787,10132.82021098083,10474.768902315165,10784.076974109652,11058.095225712788,11294.714541793375,11492.386566675948,11650.127730276878,11767.507985003462,11844.62611521142,11882.073814399871,11880.890898813597,11842.514057599408,11768.721453134742,11661.575307338624,11523.364367513936,11356.547863538492,11163.702268876103,10947.471878945114,10710.523935832854,10455.508768223954,10185.025186201656,9901.59117571534,9607.619777934797,9305.39991347449,8997.081818237713,8684.666693166246,8370.000130742248,8054.768862737994,7740.500372553633,7428.564927848442,7120.179611711965,6816.41396038844,6518.196850034513,6226.32431205302
IH,0.0,23.216372295601218,27.834999104502515,27.424610424175125,26.420644381778196,25.99799630434009,26.282549564546173,27.134212719364825,28.3948402561803,29.948358037959245,31.72248246377579,33.67701453511364,35.79242830305951,38.0617145641415,40.48522904811324,43.067651996178384,45.8162726085672,48.74005479844405,51.84914614478339,55.15463178262668,58.66842126494899,62.4032067819916,66.3724594580168,70.59044598943288,75.07225625431775,79.83383695696882,84.89202868769495,90.26460496965112,95.9703124637561,102.02891179177777,108.46121856433484,115.28914424154976,122.53573644884568,130.2252183390151,138.3830265443317,147.03584720417535,156.21164948686416,165.9397159503508,176.25066900576314,187.176492660846,198.7505486275527,211.00758577978644,223.98374184420987,237.71653609995053,252.2448517530432,267.60890653998837,283.85021000368465,301.0115057764433,319.1366971015279,338.27075372991874,358.45959824657353,379.749969814746,402.1892632829365,426.36139518301593,452.9107763853904,482.4325103488636,515.4787507721205,552.592245841701,594.3395889900756,641.3383970376342,694.2792382226289,753.9444583518467,821.2258062818422,897.1422182548116,982.8586532512034,1079.70653613901,1189.206130634474,1313.090984503015,1453.3344260674526,1612.177914019031,1792.1608287533113,1996.1510247295857,2227.375125142582,2489.2459453990464,2782.542523313952,3107.8127781009302,3465.822081722717,3857.4630665975783,4283.561784981985,4744.694829802615,5241.03682563513,5772.235228763908,6337.307923856641,6934.562152104903,7561.536128400763,8214.966280618897,8890.783383525413,9584.140204621759,10289.47189914951,11000.588552921781,11710.797237241903,12413.048962495108,13100.104222395148,13764.709589206328,14399.77716771861,14998.558685726372,15554.806563099824,16062.915371421608,16518.038539886926,16916.176827122705,17254.236807722475,17530.059277210865,17742.418948034727,17890.998014132594,17976.337059819598,17999.767369400448,17963.328972777963,17869.678774448235,17721.992905916693,17523.867067542196,17279.218138039047,16992.189777308733,16667.06417328342,16308.181520351387,15919.868291571709,15506.374897062673,15071.822917246684,14620.161766577476,14155.134380696069,13680.251323843862,13198.772577575895,12713.696188696955,12227.752915576672,11743.406009241942,11262.855290960213,10788.044734182633,10320.672819355132,9862.204999821728,9413.887691386864
IN,31.28018252106835,62.080192267031556,83.18444304178949,100.33903955607201,116.15065486832283,131.8180388067136,147.90949190795575,164.71209124178844,182.38863481944367,201.0482448336162,220.77820208651528,241.65837619482406,263.76784704389877,287.1880274139057,312.00422283077523,338.3064984977336,366.1902442823634,395.7566136422541,427.1129157600974,460.3729967597017,495.65762637144064,533.094897640118,572.8206433040892,614.9788706635227,659.7222159030508,707.2124184021234,757.6208153126192,811.1288564976585,867.9286397574042,928.2234660928448,992.2284145647832,1060.1709360854293,1132.2914652292004,1208.8440488636247,1290.0969900769771,1376.3335055129496,1467.8523938107655,1564.9687123882563,1668.0144592921592,1777.3392562710715,1893.311028599194,2016.3166764906969,2146.7627321932764,2285.0759960340474,2431.704143811056,2587.1162969803427,2751.803546084062,2926.2794168038126,3111.0802669113864,3306.765601235293,3513.91829057727,3733.144679313315,3965.074565216974,4211.083276530422,4473.0047872428195,4753.017996349556,5053.616369463492,5377.619011991076,5728.204055277348,6108.956026622569,6523.923954953305,6977.6893609684,7475.444425996033,8023.081196143458,8627.292962723868,9295.689099044946,10036.924677430501,10860.846147687718,11778.654215604007,12803.084789727971,13948.608428290576,15231.648068586084,16670.813904666313,18286.88198651005,20099.08852423925,22126.594376630943,24388.932951593884,26906.031278795184,29698.02959563477,32784.98626517975,36186.50341237153,39921.29108478901,44006.68342763631,48458.12118363495,53288.6174126794,58508.226115400736,64123.53560043047,70137.20944908744,76547.59750605728,83348.43734701943,90528.66320908788,98072.33464693162,105958.69155948763,114162.33616842369,122653.53649906209,131398.64037028138,140360.5842211533,149499.47756117184,158773.24157777586,168138.2794976945,177550.1565985642,186964.26914191153,196336.48373020272,205623.73143424452,214784.54424565184,223779.5247530833,232571.74322298562,241127.0593280598,249414.3684946785,257405.77516063798,265076.69711080764,272405.9064856548,279375.51405603974,285970.9039646043,292180.62639849057,297996.25563499046,303412.220647602,308425.6150295836,313035.99243598816,317245.15310810594,321056.92636450485,324476.95325189247,327512.47287173936,330172.11525378877,332465.7030486036,334404.06376687,335998.853808092,337262.39509726566,338207.52478436346
D,7153.0,7153.0,7153.144263903722,7153.317227430486,7153.487640848546,7153.651815735511,7153.813364335269,7153.976681116706,7154.145290036371,7154.321732352541,7154.507828051973,7154.704947959325,7154.914213107242,7155.136623196336,7155.373134372821,7155.624704993382,7155.892322497185,7156.177019617663,7156.479884788988,7156.802069501236,7157.144794126254,7157.509353040503,7157.8971194882715,7158.309550421887,7158.74819144531,7159.214681929291,7159.710760335593,7160.238269771496,7160.799163786936,7161.395512421475,7162.0295085049365,7162.703474212985,7163.419867876615,7164.1812910421495,7164.990495775836,7165.850392204268,7166.764056278683,7167.734737747556,7168.765868317858,7169.861069980746,7171.024163472374,7172.25917683479,7173.570354035601,7174.962163598148,7176.439307186319,7178.006728079829,7179.669619466849,7181.433432471139,7183.303883820541,7185.28696305267,7187.3889391420735,7189.61636642103,7191.976089653679,7194.47524811037,7197.124609452541,7199.938945637677,7202.936726528642,7206.13985300875,7209.573598536973,7213.266757319598,7217.251961363769,7221.5661337893225,7226.251059124188,7231.354063122528,7236.928803092721,7243.0361752660965,7249.745349197073,7257.1349411863375,7265.294339603735,7274.325194857451,7284.3430855256975,7295.479369608393,7307.883225627732,7321.7238819764,7337.191773894865,7354.482177476201,7373.793773521318,7395.329998765676,7419.299836661319,7445.917403655307,7475.400399077731,7507.9676073559895,7543.835622250824,7583.214934769714,7626.305517308935,7673.292045011373,7724.338913552955,7779.585232905627,7839.139992888471,7903.077604006531,7971.434013340292,8044.203578870581,8121.336856956413,8202.739418486008,8288.271762370483,8377.75034414419,8470.949686343534,8567.605489750737,8667.418623651723,8770.059841291251,8875.175045081867,8982.390915241565,9091.320714936677,9201.57009353568,9312.742725596238,9424.44564480562,9536.294157300747,9647.916245732922,9758.956402456588,9869.078855947051,9977.970177953743,10085.341279266084,10190.928818906057,10294.496064925674,10395.83325485251,10494.757510426927,10591.112364955583,10684.766962778318,10775.614989448357,10863.573388696392,10948.58091850106,11030.596593996564,11109.598059839846,11185.57992931057,11258.552122050847,11328.538227142588,11395.573913298202,11459.70540339491,11520.988026470766
R,0.0,4.620480373595878,20.49723178394847,38.72776348116404,56.988116808988664,75.08033434450024,93.35348136234515,112.20223775269329,131.94435021693957,152.81636158893915,174.99685211612095,198.62939682030574,223.83915890175336,250.7435509090846,279.4587195084507,310.1034140631421,342.8013211071066,377.6825393309771,414.8845915210601,454.55319795196044,496.842935296033,541.9178485343726,589.952052271633,641.130341085553,695.648819606771,753.7155582998637,815.5512784193559,881.39006827797,951.4801322218653,1026.084573260348,1105.482209988682,1189.968428189564,1279.8560672573851,1375.4763413351618,1477.1797947725915,1585.337291195656,1700.3410351166758,1822.6056246029323,1952.5691330567608,2090.6942176354496,2237.4692512506267,2393.409474429536,2559.0581625904065,2734.987803477086,2921.801278610908,3120.1330416477017,3330.6502854733217,3554.0540887315865,3791.080531255176,4042.5017665658015,4309.127038230007,4591.803625409154,4891.417701437321,5208.99068519821,5545.931667910778,5904.064444309248,6285.606579903003,6693.155948660336,7129.6971750992525,7598.627406834892,8103.798323439491,8649.57189542404,9240.888596457147,9883.347799110952,10583.30082151312,11347.957584216776,12185.508151112423,13105.260613849552,14117.796859381979,15235.147736674116,16470.988996037646,17840.859084137894,19362.39939936498,21055.581019928075,22942.354844120066,25045.463199038553,27388.36960341834,29995.372282520162,32891.647514993005,36103.176184416436,39656.5605307482,43578.74674944141,47896.66760647911,52636.81752383995,57824.772620790114,63484.66971181609,69638.66053378815,76306.3597985126,83504.30747246987,91245.46655624417,99538.77731094189,108388.78725419598,117795.37337316766,127753.56906163253,138253.50357536037,149280.4566750004,160815.02597248962,172833.39968002265,185307.72328878028,198206.54540631277,211495.32569216812,225136.98659324576,239092.4903520518,253321.42343414092,267782.57194029714,282434.4735530611,297235.9339274893,312146.4979923903,327126.8692204747,342139.272420839,357147.7579025268,372118.4468820395,387019.71971780283,401822.3499330234,416499.5880378799,431027.19990107504,445383.4648789329,459549.13912382384,473507.38950237463,487243.7033977801,500745.77938798023,514003.4034177489,527008.3146490001,539754.0647064415,552235.8735570232,564450.4847888711,576396.0226018477,588071.8523971387,599478.4464637311
G,887836.0,887836.0,887853.0048028993,887878.736948846,887909.5494796772,887943.878485511,887981.1000618704,888021.0173975156,888063.6307463533,888109.0344362481,888157.3709452199,888208.8106262998,888263.5429720075,888321.7730826106,888383.7204932651,888449.6190830051,888519.717492736,888594.2797956733,888673.586305716,888757.9344730092,888847.6398445584,888943.0370805307,889044.4810225441,889152.3478126866,889267.0360629732,889388.9680752418,889518.5911114364,889656.3787140003,889802.832075753,889958.4814581926,890123.88765665,890299.6435101217,890486.375452925,890684.7451045441,890895.4508931608,891119.2297073796,891356.858569566,891609.1563229973,891876.9853236843,892161.2531262465,892462.9141516096,892782.971322541,893122.4776511451,893482.5377604075,893864.309319708,894269.004371929,894697.8905273825,895152.2919972746,895633.590436861,896143.2255658366,896682.6955308968,897253.5569728503,897861.6923413601,898512.6722778656,899212.2729102117,899966.7722496707,900783.1485820056,901669.2410191597,902633.9020298566,903687.1573012328,904840.3815153944,906106.4955359038,907500.1891306399,909038.1727537673,910739.4615951824,912625.6948280856,914721.492589038,917054.8525913698,919657.5872910924,922565.8010781597,925820.4049298726,929467.6632070007,933558.1620813337,938125.059065869,943207.8982817385,948849.2467446047,955092.9912733829,961983.1965348498,969563.1073379789,977874.1450173666,986954.8558222492,996839.8163221391,1007558.523761528,1019134.3115799066,1031583.3366445836,1044913.6865640953,1059124.6531813776,1074206.212285149,1090138.740236714,1106892.9863952578,1124430.306987703,1142703.152578548,1161655.7886916855,1181225.2183964225,1201342.2675053435,1221932.7878375885,1242918.931854725,1264220.4526761235,1285755.9866129463,1307444.280377722,1329205.331427391,1350961.4168897655,1372637.9936753614,1394164.4592497076,1415474.7688043278,1436507.9099949533,1457208.2408904308,1477525.7002571623,1497415.901820431,1516840.1257724687,1535765.221645628,1554163.4368619309,1572012.1849366978,1589293.7665788694,1605995.0559088017,1622107.1628066567,1637625.081096278,1652547.3309299096,1666875.6024222649,1680614.4063283827,1693770.7363963064,1706353.746970582,1718374.4484851768,1729845.4226674333,1740780.5585758567,1751194.81000809,1761103.9743331731,1770524.492414417,1779473.2689855904
H,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1088282.8485959256,1036287.7511566585,984292.6537173914,932297.5562781243,880302.4588388572,828307.3613995902,776312.2639603231,724317.166521056,672322.0690817889,620326.9716425218,568331.8742032547,516336.77676398755,464341.6793247204,412346.58188545326,360351.4844461861,308356.38700691896,256361.28956765184,204366.19212838472,152371.0946891176,100375.99724985048,48380.89981058335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
