series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
S,1106480.7001460458,1106327.6951524965,1106203.5659700744,1106094.365941912,1105992.0961896847,1105892.1389357739,1105791.7990364372,1105689.4741590042,1105584.1822602658,1105475.292374123,1105362.3711626274,1105245.095409166,1105123.2020841504,1104996.4598229418,1104864.652608577,1104727.5704126088,1104585.003804141,1104436.7408231986,1104282.565147559,1104122.2549999696,1103955.5824808658,1103782.3131475053,1103602.2057378923,1103415.0119820507,1103220.476468434,1103018.336547676,1102808.3222641363,1102590.1563104372,1102363.5540029157,1102128.2232775064,1101883.8647065074,1101630.1715372384,1101366.8297539516,1101093.5181645702,1100809.90851398,1100515.6656256982,1100210.4475738138,1099893.9058871416,1099565.6857875637,1099225.4264645467,1098872.761387819,1098507.3186601785,1098128.7214123637,1142543.9695149884,1186928.1851499742,1231279.7423603921,1275595.9354277158,1319873.17046519,1364107.0537956741,1408292.4090433193,1452423.2433026347,1496492.6747530855,1540492.8286324719,1584414.7047802794,1628248.0174392443,1671981.0062580635,1715600.2162005573,1759090.243164481,1802433.4414465285,1845609.5887131393,1888595.5038467653,1931364.6129683682,1973886.4591576576,2016126.1520062278,2058043.7542847476,2099593.604860549,2140723.5797795057,2181374.2973697,2221478.278594031,2237050.2603407605,2231083.8104259446,2224464.666842683,2217125.8401892935,2209006.2263533785,2200048.741706818,2190200.2132604416,2179412.160072081,2167642.025337443,2154854.611247952,2141023.5547271688,2126132.7209272445,2110177.4116644263,2093165.3016861319,2075117.0330564387,2056066.4191003297,2036060.2339009426,2015157.5895525091,1993428.9288646562,1970954.6836051976,1947823.6657170136,1924131.2700411216,1899977.5715498738,1875465.3983443987,1850698.454700052,1825779.5576166296,1800809.0371357263,1775883.3365418203,1751093.8346702703,1726525.8998212498,1702258.1738342424,1678362.0760388847,1654901.5101523083,1631932.752647734,1609504.4984583599,1587658.0388182201,1566427.5462627343,1545840.4430039013,1525917.8307704509,1506674.9625104158,1488121.7388838325,1470263.2150613887,1453100.1058665514,1436629.2796661614,1420844.2335707138,1405735.5444186556,1391291.2916766652,1377497.4497922082,1364338.2486980986,1351796.5021103928,1339853.9040036437,1328491.2942159327,1317688.894554874,1307426.5170686205,1297683.7463347404,1288440.09772444,1279675.15363745,1271368.679689012,1263500.7227776132,1256051.692881081
E,0.0,153.00499354929244,246.50125878158877,306.34961238577705,347.28553432665194,377.71323389117754,402.43169142471294,424.18627901306155,444.5524321492037,464.43909346512845,484.37559929984957,504.6751869649593,525.5281939399977,547.0551855524545,569.3372412377022,592.4332191138529,616.3895958462393,641.2460721499837,667.038762563123,693.8020062119389,721.5693895462867,750.3743178969512,780.2503278134473,811.2312495196662,843.3512817077074,876.6450140170647,911.1474172171596,946.8938123658043,983.9198252263975,1022.2613293798839,1061.9543798442437,1103.0351380902794,1145.5397888188406,1189.5044485710887,1234.9650660829504,1281.9573142124189,1330.5164732325193,1380.6773052759427,1432.4739197296183,1485.9396294034182,1541.106797333786,1598.006674128823,1656.6692258155313,1717.1229522121798,1796.5057896736453,1892.6539241008263,2004.9165172064813,2133.6612023615808,2279.981799955917,2445.5358368270245,2632.465518308968,2843.3730768261094,3081.3326971292445,3349.9284840260943,3653.3125704291688,3996.280390528472,4384.361976173897,4823.929265286412,5322.320080009479,5887.9797775643765,6530.621665923629,7261.407126655423,8093.145977882554,9040.51688995378,10120.306557945165,11351.664739370708,12756.37006685442,14359.098621032454,16187.683483901064,18273.348805719004,20581.316943175563,23079.903654721205,25797.93486214514,28752.580000197457,31953.550550673375,35404.703034140264,39104.4298155382,43045.520984313356,47214.85112037149,51593.087893602176,56154.54124425864,60867.22781966865,65693.1946785943,70589.1200687746,75507.18436487704,80396.18108416673,85202.8177115821,89873.14063706831,94354.00926969512,98594.54204734796,102547.46143663685,106170.27514211487,109426.2450629957,112285.11220838463,114723.56297347473,116725.4382960893,118281.70105455696,119390.1878859006,120055.17908622451,120286.824460186,120100.4642440001,119515.88303900673,118556.53164290836,117248.7473418027,115620.99816949153,113703.17131289447,111525.92061018068,109120.08322043567,106516.17121866332,103743.94018771782,100832.03387589744,97807.70165366925,94696.5837895229,91522.55840576102,88307.64329104169,85071.94545491386,81833.65132969167,78609.05078199376,75412.58852363213,72256.93705223815,69153.08585876961,66110.44227393484,63136.939959291274,60239.15165962351,57422.403405975885,54690.88788359244,52047.77515051819,49495.31930863578,47034.96008988135
I,496.4048802973997,402.64387803106024,354.14900722206096,331.6527404448941,324.18439410858065,325.4993215638007,332.0459826648346,341.8079596920335,353.6441438019397,366.9126983840101,381.2567196060478,396.4820503342512,412.4876205990286,429.2257307455777,446.679404721774,464.84947550292986,483.74721921163064,503.39015268750575,523.799634376079,544.9994928472963,567.0152404825247,589.8736198773663,613.60233885872,638.2299118045896,663.7855601940488,690.2991454118772,717.8011182936151,746.3224764324048,775.8947239950903,806.5498309186903,838.3201895681798,871.2385676254762,905.3380563719318,940.6520137506243,977.2140017235511,1015.0577175144145,1054.2169183741403,1094.7253395374921,1136.6166050632446,1179.9241312721315,1224.6810225191048,1270.9199590611258,1318.6730768099842,1367.9718387923153,1418.8468981767164,1474.4096993226772,1536.7942888789967,1607.6144171126075,1688.2452405811487,1779.9991756549052,1884.2392736912873,2002.45694878315,2136.3305845085956,2287.775218794057,2458.9896823694257,2652.505299097561,2871.238944648866,3118.5525261324706,3398.320553695581,3715.007277937049,4073.7547692370413,4480.483251878662,4942.004927581137,5466.152385853444,6061.922457546997,6739.635972841824,7511.113276995213,8389.864468119971,9391.29207341755,10532.902190047438,11834.517901665202,13305.954574004845,14949.467242246468,16772.07662378955,18782.569616141907,20989.822506511835,23401.72959615925,26024.40457125347,28861.507843182117,31913.64452673036,35177.82364631802,38646.992324461855,42309.66955796349,46149.70746637148,50146.205837246715,54273.59967001445,58501.9302809512,62797.2994833632,67122.49461659382,71437.76101076616,75701.68897791408,79872.17550565682,83907.41704452112,87766.88928878558,91412.27245509053,94808.28577172753,97923.40201907512,100730.4212358511,103206.89136556826,105335.3719893369,107103.54483898554,108504.18113315526,109534.98071470954,110198.30142193795,110500.79914899096,110452.99978113317,110068.82382311886,109365.08329874929,108360.96861698297,107077.54079393903,105537.24188649294,103763.43389725404,101779.9738845354,99610.83065329125,97279.74628190059,94809.9438960224,92223.88155281202,89543.05084684592,86787.81787991169,83977.30352765645,81129.29945825358,78260.2160799449,75385.0584829246,72517.42646481367,69669.53485828028,66852.25058740073,64075.14314263286,61346.54546274117,58673.62252903211
A,55.41792753170408,45.362237198321395,40.207544357327315,37.86804979126309,37.15639340048956,37.39694069436933,38.205630400532186,39.364579919899825,40.750641303965146,42.29468830627969,43.958413296652175,45.72110266393145,47.57209938300463,49.506507159896735,51.5227422721575,53.62113857890292,55.803152782190416,58.07091173908373,60.42695462105575,62.87408599378387,65.4152919637951,68.0536921039463,70.79251159405537,73.63506469664414,76.58474449743092,79.64501601126206,82.8194109909601,86.11152348072295,89.52500555625657,93.06356292136459,96.73095015973412,100.5309655136239,104.46744510231036,108.54425651630098,112.76529173637539,117.13445933397131,121.65567591387736,126.33285676311246,131.16990567212332,136.17070389652045,141.33909822980542,146.67888816010372,152.19381208693582,157.8875325776169,163.76362064704153,170.1695808061586,177.34635578066593,185.47808278497135,194.7228787468658,205.23216271427256,217.16320528151164,230.687811933665,245.9989351313113,263.3163263927263,282.891926187553,305.0154441649666,330.02044030789574,358.29113828766845,390.27016010346136,426.46735000538456,467.4698453822666,513.9535456421073,566.6961216561317,626.5916931831598,694.6672748030223,772.1010465911463,860.2424374230486,960.6339086487475,1075.0341850998464,1205.4424894575982,1354.1230854805856,1522.2301301749544,1710.0713018553051,1918.4780342792246,2148.476110719525,2401.100446604809,2677.2757105324504,2977.726464506948,3302.9008323188227,3652.901720448563,4027.424660068879,4425.703895302987,4846.469549460397,5287.919072057579,5747.7059462797015,6222.947956884545,6710.256296356716,7205.78554454692,7705.303229707327,8204.276406606736,8697.971598865806,9181.563649610009,9650.248570774707,10099.355397874686,10524.452323913301,10921.44295020375,11286.649277668388,11616.87898369602,11909.47550145102,12162.350364458482,12373.99813812634,12543.494988149469,12670.482508001729,12755.138834822108,12798.13932929268,12800.609195036897,12764.070387745194,12690.385038307239,12581.697413278634,12440.376184561102,12268.958500316501,12070.097059680658,11846.511109957013,11600.942018144126,11336.113826934119,11054.69899370958,10759.289331991342,10452.372028612264,10136.310495405887,9813.329729078945,9485.505794133649,9154.759007772056,8822.850389066938,8491.380933798222,8161.793287911306,7835.375413530041,7513.2658691808165,7196.460358057447,6885.819232856643
IH,0.0,19.90712080052723,25.83805161121849,26.780519443033242,26.337163873218906,25.82183383126643,25.62369789846485,25.789781360920234,26.262113037521058,26.966710546457882,27.841819198951093,28.843063414128295,29.94105450227854,31.117432581650498,32.361346994641714,33.66683474666765,35.03102639552664,36.45297726915469,37.93292996215943,39.47185910103223,41.07119473124626,42.73265612608361,44.45815269265346,46.2497251054278,48.10951028595892,50.039720366444236,52.042629754266855,54.12056681150777,56.27590809234133,58.511073926261986,60.828524631626905,63.23075693423473,65.72030033457949,68.2997132653867,70.97157893771326,73.73850080664769,76.60309760662439,79.56799791746647,82.63583422892773,85.80923647571117,89.09082501786176,92.48320304374764,95.98894837496199,99.61060465464222,103.3506719030677,107.21159642706115,111.31934608754034,115.82082412107049,120.85226008704595,126.53511926437854,132.98116348550735,140.29946144008846,148.6029184463631,158.01380549294183,168.66844332445174,180.72137307635512,194.34933959186603,209.7553583315197,227.1730804734812,246.87162768502407,269.16103914864567,294.39845543915555,322.99515255622583,355.4245307816295,392.231153324151,434.04091532411996,481.57240093751125,535.6494507163815,597.214908565424,667.3454417424674,747.2672226815522,838.3721216202466,941.7313367824785,1057.9567711531686,1187.627854298244,1331.37903578625,1489.8751342433675,1663.7563720845055,1853.5795907628903,2059.7626583581496,2282.53326398885,2521.8823031796146,2777.522505133163,3048.853605540823,3334.935817796215,3634.4734915550334,3945.8106682901434,4266.939789702222,4595.5241508639465,4928.933895921204,5264.294519004026,5598.546045606031,5928.510409090384,6250.964063602836,6562.7126245277595,6860.6643102921425,7141.89915976673,7403.731382925158,7643.762720887584,7859.925291146782,8050.513021429957,8214.201383885964,8350.055691982034,8457.528688511527,8536.448518496143,8586.998439763476,8609.68977934443,8605.329704738466,8574.985359006161,8519.94582336857,8441.683236999881,8341.814236865157,8222.06269513542,8084.2245401905475,7930.135259438453,7761.640505703327,7580.570069090278,7388.715336343134,7187.810241405808,6979.5156144378725,6765.406761138136,6546.9640483636085,6325.5662336743535,6102.486253295052,5878.889172673263,5655.832003980453,5434.2651033256425,5215.034875110378,4998.88753005917
IN,73.85388146581225,137.58279809940527,178.62529908047594,206.8261506844041,227.81388062743562,244.81318516223146,259.67760927958517,273.47819775376234,286.8391633498535,300.129371332192,313.5716266947556,327.3050898175218,341.42095673575494,355.9828840667781,371.0387048166328,386.627168692056,402.7818369540709,419.533347431066,436.910743783819,454.9422656017472,473.65582613566875,493.0793075503156,513.2407482142758,534.1684648900032,555.8911345641997,578.4378502637683,601.8381592225451,626.1220883090185,651.3201596162654,677.4633979361311,704.5833311380927,732.7119840478357,761.8818661559842,792.1259533174962,823.4776634889208,855.9708264721055,889.6396475763484,924.5186650690729,960.6427012535734,998.0468069887572,1036.7661994486675,1076.8361929080922,1118.2921223343378,1161.1692595640793,1205.5027218480498,1251.3273725552685,1299.1362084174732,1349.6721371442177,1403.8163075896443,1462.5336602669317,1526.8521056395155,1597.8614246311784,1676.7238840109821,1764.6921158329876,1863.1319376923439,1973.5490575905048,2097.619363222602,2237.222952705944,2394.482349112376,2571.805529130642,2771.934529045764,2998.000491326679,3253.5860920872387,3542.7963444640936,3870.338799809691,4241.6141559118105,4662.818211714991,5141.055957400885,5684.46832644284,6302.371724309339,7005.409841554835,7805.716405743712,8715.221982151625,9744.55701906276,10903.939113055538,12203.492376599143,13653.273553392613,15263.135156833117,17042.488553400428,18999.999449385643,21143.235557423814,23478.282108076797,26009.34077040342,28738.3290724682,31664.499218257093,34784.0964489751,38090.07726570513,41571.906616529915,45215.45045999026,49002.97604776652,52913.2670939861,56921.85511977711,61001.3621601331,65121.94419195817,69251.81953989583,73357.8625012438,77406.23974136435,81363.06575029668,85195.05379442526,88870.14020895233,92358.0623407826,95630.87370045349,98663.3836298876,101433.51276135587,103922.55948147523,106115.37631353171,108000.45843234146,109569.94931960021,110819.57079388479,111748.48629037829,112359.10733825486,112656.85373249075,112649.8779842448,112348.76433351057,111766.21199772674,110916.71148807563,109816.22182437603,108481.85538556278,106931.57600253996,105183.91478074083,103257.70706823692,101171.8529895531,98945.10306475693,96595.86963969657,94142.06417191584,91600.9598480767,88989.07854893766,86322.10082035887,83614.79724465305
D,7153.0,7153.0,7153.2647120377405,7153.60828976361,7153.964399818125,7154.314614416561,7154.657976488865,7154.998703877477,7155.341639736727,7155.6908563576135,7156.049442261192,7156.4196647945455,7156.803201226938,7157.201338035812,7157.615117560761,7158.045437856338,7158.493117685047,7158.9589376533995,7159.4436658062705,7159.948073414401,7160.472944708484,7161.019082935035,7161.587314202356,7162.1784900088105,7162.7934889883345,7163.433218190266,7164.09861407945,7164.790643364331,7165.510303714409,7166.258624401066,7167.036666879665,7167.8455253212915,7168.68632709688,7169.5602332130275,7170.46843869672,7171.412172924814,7172.39269989323,7173.4113184201315,7174.469362276835,7175.568200239809,7176.709236056693,7177.893908318983,7179.123690233695,7180.4000892860495,7181.724646784992,7183.098937283123,7184.524567862451,7186.004820644259,7187.544931174209,7189.151946490674,7190.834528798876,7192.602826440713,7194.468438083091,7196.444463734931,7198.545629285804,7200.788473330521,7203.191589452116,7205.775921472421,7208.565112781766,7211.585913712975,7214.86865320502,7218.4477828977215,7222.362503455647,7226.657484426033,7231.383690327373,7236.59932692807,7242.37092274594,7248.774561566896,7255.89728207653,7263.8386602898545,7272.712589047837,7282.649266040697,7293.797397150294,7306.319932360766,7320.387958347017,7336.180266664162,7353.884085367998,7373.695482843113,7395.819040738359,7420.466745220663,7447.8561389968445,7478.207792436593,7511.742154844166,7548.675855582258,7589.217542086397,7633.563365116668,7681.892246711522,7734.361089042221,7791.100099066107,7852.208411747284,7917.750191924891,7987.751381115166,8062.197231269287,8141.0307344604735,8224.152018130722,8311.418732858128,8402.647416705891,8497.615779979626,8596.065819083475,8697.70763992363,8802.223851040004,8909.274374725086,9018.501520555295,9129.535169249091,9241.997924451984,9355.510104592951,9469.69446494523,9584.180560078732,9698.608677755563,9812.633295917161,9925.92603387464,10038.178086495245,10149.102145640669,10258.433826111572,10365.932623804527,10471.38244174242,10574.591725247597,10675.393251009671,10773.643616422414,10869.22247561353,10962.031567357732,11051.993577827692,11139.050878158627,11223.164173313478,11304.311094939128,11382.484766970461,11457.69236880767,11529.953717072807,11599.299883327112
R,0.0,20.180655165601916,57.22499217584671,101.92553091568078,150.5388795014529,201.67877000728768,254.93521074627654,310.2771747191186,367.8044416954272,427.65104282593853,489.9520523556146,554.83526818508,622.4216248030582,692.8279342564899,766.1696691598141,842.563148240904,922.127082324857,1004.9836132118037,1091.2589966691673,1181.084052200842,1274.5944669068801,1371.9310113456895,1473.2397040728176,1578.671947264698,1688.3846466687235,1802.5403234038363,1921.307221646286,2044.8594141395552,2173.376906224092,2307.045738350698,2446.058086611661,2590.6123605694415,2740.9132975083953,2897.172052136378,3059.606280694275,3228.440218377881,3403.904748929896,3586.237465215644,3775.6827195523447,3972.491662517351,4176.92226891564,4389.239349541197,4609.714547321352,4838.62631638831,5076.259882578834,5322.907183822248,5578.929215882991,5844.861251596634,6121.447260269316,6409.648802663731,6710.647922483778,7025.8519903066845,7356.903476788485,7705.6956451398155,8074.3944842829105,8465.467090087017,8881.716805107342,9326.32560548751,9802.904422603218,10315.55228925605,10868.925402846095,11468.317402468812,12119.752364923128,12830.09223603283,13607.160625541741,14459.885099652236,15398.460294114771,16434.53432622925,17581.42108300319,18854.340973636907,20270.692616412976,21850.357630974366,23615.786314338275,25591.655891741506,27804.557715909243,30282.95969921492,33057.22265864838,36159.5862566854,39624.09239723696,43486.432905048685,47783.71518766344,52554.14271840999,57836.60972343206,63670.21242872927,70093.68279909006,77144.75470830785,84859.47660385701,93271.48860105404,102411.28519484898,112305.48708879374,122976.14676650977,134440.11223220927,146708.47180277997,159786.10004084467,173671.32107430065,188355.70092782218,203823.9754150053,220054.11493704346,237017.52251707314,254679.3568377166,272998.96815271385,291930.4318542789,311423.16227018466,331422.58794992423,351870.86923554476,372707.63921627647,393870.75012438634,415297.008713603,436922.88603597623,458685.1891662492,480521.68469273875,502371.66609295714,524176.4593507661,545879.8632782409,567428.5229264621,588772.2361691315,609864.1950005468,630661.1642974976,651123.601756253,671215.7234425544,690905.5199021415,710164.7280936937,728968.7645494706,747296.6251666829,765130.756909828,782456.906484963,799263.950753549,815543.7133063741,831290.7712350733
G,887836.0,887836.0,887863.5565441932,887907.951976484,887963.12623215,888025.6731396223,888093.7001443665,888166.1789990249,888242.5759039402,888322.6407989382,888406.2873264614,888493.5244636199,888584.4176022698,888679.066414476,888777.592286391,888880.1312067559,888986.8297647919,889097.8429202721,889213.3327831583,889333.4679677214,889458.4232727868,889588.3795461751,889723.5236520823,889864.0484947123,890010.1530711689,890162.0425378173,890319.9282806946,890484.0279841527,890654.565693945,890831.7718721058,891015.8834415817,891207.1438189098,891405.802933389,891612.1172312648,891826.3496634531,892048.769655318,892279.6530569859,892519.2820726399,892767.9451672015,893025.9369487695,893293.5580251551,893571.1148328251,893858.9194365515,894157.289298055,894466.547011938,894790.1017537671,895130.9729913131,895492.0629749037,895876.340166466,896286.9700274441,896727.4165436017,897201.5295167112,897713.6274164702,898268.5823801782,898871.912050489,899529.8818785525,900249.6209840243,901039.2544577603,901908.0549909974,902866.6168332795,903927.0552620204,905103.2349432927,906411.0307331457,907868.6245647445,909496.8420328681,911319.5320539135,913363.9924587675,915661.443459139,918247.5494844762,921162.9877650276,924454.0590708782,928160.8006401687,932317.543307724,936963.8095218531,942142.213984762,947897.120458416,954273.5872728268,961316.3832193088,969068.9785680348,977572.4796714359,986864.5110857175,996978.070529422,1007940.3954471893,1019771.8878734007,1032485.1474972132,1046084.161585482,1060563.695002108,1075908.9145089153,1092095.2697009514,1109088.639433065,1126845.738676087,1145314.767610527,1164436.2734587123,1184144.1868282144,1204366.9886141454,1225028.9608788453,1246051.4754011354,1267354.2763538554,1288856.718283297,1310478.9266267277,1332142.8548241097,1353773.219126523,1375298.299036341,1396650.5975974584,1417767.3612583575,1438590.9636245715,1459069.1610513602,1479155.2307193277,1498808.0036509328,1517991.8061621126,1536676.3236163424,1554836.400180725,1572451.7876954016,1589506.855870658,1605990.2749204258,1621894.680511999,1637216.3296304098,1651954.7546781409,1666112.4218993678,1679694.3990634207,1692708.0362850148,1705162.6629109562,1717069.3025695146,1728440.4077592874,1739289.614745022,1749631.5190216615,1759481.4711962107,1768855.3928102734,1777769.6113742832
H,1185890.4737906225,1185890.4737906225,1185890.4737906225,1185890.4737906225,1185890.4737906225,1185890.4737906225,1185890.4737906225,1185890.4737906225,1185890.4737906225,1185890.4737906225,1185890.4737906225,1185890.4737906225,1185890.4737906225,1185890.4737906225,1185890.4737906225,1185890.4737906225,1185890.4737906225,1185890.4737906225,1185890.4737906225,1185890.4737906225,1185890.4737906225,1185890.4737906225,1185890.4737906225,1185890.4737906225,1185890.4737906225,1185890.4737906225,1185890.4737906225,1185890.4737906225,1185890.4737906225,1185890.4737906225,1185890.4737906225,1185890.4737906225,1185890.4737906225,1185890.4737906225,1185890.4737906225,1185890.4737906225,1185890.4737906225,1185890.4737906225,1185890.4737906225,1185890.4737906225,1185890.4737906225,1185890.4737906225,1185890.4737906225,1141083.0925174996,1096275.7112443766,1051468.3299712536,1006660.9486981307,961853.5674250077,917046.1861518847,872238.8048787618,827431.4236056388,782624.0423325158,737816.6610593928,693009.2797862699,648201.8985131469,603394.5172400239,558587.135966901,513779.754693778,468972.373420655,424164.99214753206,379357.6108744091,334550.2296012861,289742.84832816315,244935.46705504018,200128.0857819172,155320.70450879424,110513.32323567127,65705.9419625483,20898.560689425336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
