series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
S,21099.943784922878,21099.15386868366,21098.45664232493,21097.815882342682,21097.209233913032,21096.622854247453,21096.048136822847,21095.479704715883,21094.914179116895,21094.34942199931,21093.784069243564,21093.21724197833,21092.648367483023,21092.077067599203,21091.503088854683,21090.926258447507,21090.346456326497,21089.76359733958,21089.177619715167,21088.588477554145,21087.99613588151,21087.400567346147,21086.80174999249,21086.199665736858,21085.594299312623,21084.985637531085,21084.373668757715,21083.758382537148,21083.13976932218,21082.517820276407,21081.892527129457,21081.263882070314,21080.63187766832,21079.99650681456,21079.35776267831,21078.71563867465,21078.070128440464,21077.42122581673,21076.7689248355,21076.113219710445,21075.454104830136,21074.79157475331,21074.12562420572,21073.45624807814,21072.78344142526,31735.13789164302,42397.13901160212,53058.78306224762,63720.05541794875,74380.92588159467,85041.34551736007,95701.24379221693,106360.52516300303,117019.06446245217,127676.70053346823,138333.2275506177,148988.3833641757,159641.83401097616,170293.153254135,170278.82450782548,170262.11393362112,170242.54228980295,170219.54137449202,170192.47719219772,170160.6244617445,170123.1454641283,170079.07010536993,170027.27578059485,169966.46652837054,169895.15150973928,169811.6232529947,169713.93647836734,169599.8887030096,169467.00423725042,169312.52360207032,169133.40078330843,168926.31102231322,168687.67193396148,168413.6805349344,168100.36815579838,167743.67413133165,167339.53761598066,166884.00495969327,166373.34802648443,165804.18696753867,165173.6096384891,164479.27939483666,163719.5235844717,162893.3966471366,162000.71407895352,161042.0562256716,160018.74348569984,158932.7866537954,157786.81758241067,156584.00601222197,155327.96840227608,154022.67404051457,152672.35283701922,151281.4081816771,149854.3372313034,148395.66007562674,146909.8584685702,145401.32421732423,143874.31688962082,142332.93020893596,140781.06633214396,139222.4171180882,137660.45147478202,136098.4078974732,134539.2913636443,132985.87382204752,131440.6975922184,129906.08107236541,128384.12623293445,126876.72744788801,125385.581284327,123912.19693282075,122457.90701553549,121023.87855715117,119611.12394503744,118220.51174074328,116852.77723512141,115508.53266494481,114188.27703025083,112892.4054694021,111621.21816347755,110374.92875354286,109153.67226399509,107957.51253287915
E,0.0,0.7899162392163356,1.3220478144815229,1.686495971718431,1.9406618551900914,2.1214375682770963,2.252768392401108,2.350365375993713,2.424657799169608,2.4826544091694602,2.5291251977468296,2.567357966307862,2.599647205503441,2.627613288632205,2.652413240029258,2.6748815923630613,2.695625707770578,2.715091108841345,2.7336068221655303,2.751417234347821,2.768704730378388,2.785605952358573,2.8022235882549924,2.8186349920585814,2.834898533505654,2.8510583049553557,2.8671476291656264,2.883191685182296,2.899209481386628,2.915215342568007,2.9312200335457836,2.94723160991596,2.9632560632678313,2.979297811186852,2.99536006978974,3.0114451372028777,3.027554609427817,3.0436895448154613,3.059850589442589,3.0760380727214223,3.09225208033269,3.1084925098754073,3.1247591133389148,3.1410515295244403,3.157369308799472,3.173711932001987,3.539969158246336,4.18674687625378,5.070041120967968,6.170616363631286,7.491996071218335,9.058564498612764,10.914619654951832,13.12482524103008,15.77631988670139,18.98269833301541,22.89013798224889,27.686078177147706,33.61105661252299,40.9745685119366,49.12133913780599,58.42648070431436,69.21609220643847,81.81391061569283,96.56729662319661,113.86344935734374,134.14101718153094,157.89948057527243,185.70728370811622,218.20894179582262,256.13089725468615,300.28557199354714,351.5727924657144,410.9775256112842,479.5626667734068,558.4554982292543,648.8264414835113,751.8589230256468,868.7096279745163,1000.4591770213189,1148.0543337890304,1312.2441658910773,1493.5139881372147,1692.0221690681942,1907.5456905712317,2139.440441516884,2386.6214320008385,2647.566445764016,2920.3443223054433,3202.666462886286,3491.9577429103533,3785.4411936258502,4080.2298444506696,4373.419052326596,4662.173364789405,4943.803228787652,5215.82838675815,5476.02634001691,5722.465618741215,5953.52466897137,6167.897913311563,6364.590979631435,6542.907269190451,6702.428013862372,6842.987813529065,6964.647403778121,7067.66512431431,7152.468271925315,7219.6252498973245,7269.819181347437,7303.823443411724,7322.479404379948,7326.676505457809,7317.3347198236115,7295.38934007839,7261.777986820352,7217.429691756632,7163.255884678041,7100.143101393704,7028.9472264694505,6950.489087936832,6865.551229086027,6774.875693471149,6679.162672128479,6579.069875813001,6475.212509109313,6368.163737073979,6258.455548274134,6146.579930476625
I,3.0647989708402545,1.925381513777123,1.247818973474514,0.8479231706577867,0.6143452491375421,0.47991247206563203,0.4042115823209944,0.36301340296070905,0.34185729411491417,0.3321637089641786,0.32888212653544907,0.32907064669831626,0.3310402895479166,0.33384109467706413,0.33695473136776566,0.34011159410216607,0.3431827177322982,0.34611649134934885,0.3489020636825093,0.35154854898735727,0.35407350612831756,0.3564967969947041,0.35883751544644904,0.36111262880792566,0.3633365418046297,0.3655211300676037,0.36767598908618315,0.36980876045079425,0.3719254639507649,0.37403080174016523,0.37612842142546354,0.37822113574877225,0.38031110179091665,0.38239996479221616,0.3844889722298811,0.38657906352216564,0.3886709401085755,0.39076511992805574,0.39286197960726843,0.39496178703496126,0.3970647264553446,0.39917091776374236,0.4012804313231232,0.40339329932868,0.40550952451717037,0.40762908683693017,0.40975194855347163,0.42881955800550187,0.47211492134993605,0.5420827527244456,0.6393275073646983,0.7643995231588783,0.91882520817376,1.1057083747465368,1.3301298948011775,1.5995009012013353,1.9239774441366753,2.3170176326089997,2.796151890297099,3.384039961708994,4.109902841963308,4.960369826579888,5.945203842291088,7.08632773411694,8.41318913663121,9.96110678852603,11.771016754881396,13.889875186319067,16.371365656138806,19.27673725316207,22.675675226435906,26.647131497295824,31.28004261709099,36.673849805989775,42.93871602960668,50.19531316666135,58.574032631933875,68.2134606679341,79.25796140225465,91.85423396827693,106.14676140874562,122.27215327766089,140.35250047785513,160.48800217369188,182.74927404441465,207.16988016733185,233.73971880403442,262.39990917420624,293.03975605033435,325.49621224656255,359.55603483380355,394.96057326563516,431.4128776378409,468.5866112260328,506.13612009647704,543.7069649440378,580.9462516491479,617.5121907893595,653.0824497288716,687.3610105194726,720.0833926996504,751.0202278403058,779.9792741379333,806.8060316671052,831.3831632787424,853.6289463281719,873.49498143962,890.9633716121289,906.0435629912112,918.769011654332,929.1938119760881,937.3893938636029,943.4413699233512,947.4465903441592,949.5104433798792,949.7444228633212,948.2639710213692,945.1865946889902,940.6302454631132,934.7119489979176,927.5466651312017,919.24635848615,909.919258292647,899.6692861401222,888.5956309769622,876.7924517188037,864.3486891662683,851.3479704416625,837.8685907416411
A,10.164425629428624,9.757752481312002,9.494197573264294,9.32663887369736,9.224308446078489,9.166887035603562,9.140792610746743,9.136831765388026,9.14870185082166,9.17202715358788,9.203732518899207,9.241631808933262,9.284154318519729,9.330160642754528,9.378817168825941,9.429509435267843,9.48178157701167,9.535293500204922,9.589790261516157,9.64507995398039,9.701017593168137,9.757493283407609,9.814423468352063,9.871744424685893,9.929407400398834,9.987374967235207,10.0456182749263,10.104114978570134,10.16284767060996,10.221802692387199,10.280969232042764,10.34033863894592,10.399903902168294,10.459659253434985,10.51959986464771,10.579721617332867,10.64002092683579,10.700494608213322,10.761139773903782,10.821953755624493,10.882934044747472,10.94407824677248,11.005384046558035,11.066849181763798,11.128471422561898,11.190248556135128,11.252178374831074,11.370445261044985,11.587842145331656,11.938383528184008,12.451634100996845,13.156541498375168,14.084810883359356,15.273992439404806,16.770517907148278,18.632954339588988,20.935766988221673,23.773915460629038,27.268659736837368,31.575034621822617,36.891571870405926,43.30363381714567,50.953404306326185,60.02974458279196,70.76594645264959,83.44174821884529,98.38787377542408,115.99225459695293,136.7075095248689,161.05943108776418,189.6562736123225,223.19861012339825,262.48944560587546,308.4441544801557,362.0996569144753,424.62206985672344,497.3118774169314,581.6054823557281,679.071856438176,791.4029421985877,920.3965182592642,1067.9304696573995,1235.9278361253178,1426.3126511426879,1640.9574000201171,1881.6238379319661,2149.899799603076,2447.1353599404574,2774.382135361615,3132.3395552827806,3521.311554267109,3941.176384250616,4391.371233043676,4870.892206594598,5378.3091385283005,5911.793755934127,6469.159036421928,7047.907170883689,7645.283389709234,8258.332978052502,8883.959042887733,9518.978942085321,10160.17768959947,10804.357067006482,11448.379567637548,12089.206654241167,12723.931112920418,13349.803530906112,13964.253114729248,14564.903203127014,15149.581922023941,15716.32848440877,16263.39566310914,16789.248966092728,17292.563027979097,17772.215703041573,18227.280308337096,18657.016424112724,19060.859614940277,19438.41039111784,19789.422687198712,20113.792094071374,20411.544043470927,20682.822109530352,20927.876561145982,21147.053271548208,21340.78306743687,21509.571579187,21653.98963573201
IH,0.0,0.5264576628950806,0.590206774524066,0.5052378533967123,0.39466719966492636,0.30004766842329744,0.23032062339457,0.18295094988125976,0.1525271941167732,0.13389824809719345,0.12305154771273127,0.11714187923994965,0.11426158617712423,0.11318032346397486,0.11312851551339281,0.11363782791352914,0.1144311227842865,0.11534965514903409,0.11630631946959713,0.11725632038125566,0.1181791453665881,0.11906770068211539,0.11992190184881589,0.12074498708895634,0.12154146698526791,0.12231603903208749,0.1230730584094756,0.12381631990963854,0.12454900649636881,0.12527372099802747,0.12599255397621362,0.12670716236798057,0.12741884598215097,0.12812861598448358,0.12883725335660157,0.12954535730413885,0.13025338452446633,0.1309616805984989,0.13167050482068102,0.13238004968376546,0.133090456077685,0.1338018250909931,0.13451422714191802,0.13522770902386957,0.13594229933008928,0.13665801262332936,0.13737485263669266,0.1380928147282356,0.14172202395721617,0.1509478254981513,0.16751367761911828,0.1923827027413395,0.22612412603249932,0.2692806990267139,0.3226530848523217,0.38750867314609344,0.46574516925211495,0.5600424496661413,0.6740331097708016,0.8125188322193142,0.9817585954719479,1.189856692649222,1.4385106957286593,1.730234313205906,2.07003227691741,2.46542963526218,2.9262021280450603,3.464199704512541,4.09332872553907,4.829664694941654,5.691651784837627,6.7003507304733905,7.879703670925392,9.256788007761681,10.86203085338677,12.729352013862822,14.896197900916887,17.403422650314727,20.294967621438985,23.61728826168525,27.418480224622883,31.747066895826563,36.65043000234283,42.17289463631936,48.353518911305315,55.22368330406053,62.80461968225765,71.1050572850959,80.11918417909456,89.82512111987872,100.18407703884175,111.14030319614241,122.62189306743238,134.54239760654292,146.80315231041357,159.29615386426937,171.90728705570038,184.51968974930753,197.01705345995964,209.2866847791435,221.22219226873983,232.7257078897401,243.70959588923319,254.09764111109052,263.82574035957606,272.8421436736024,281.1073072873402,288.59342758112354,295.2837268208172,301.1715584445219,306.259393523672,310.55774205932914,314.0840539911652,316.86163596207354,318.9186115287685,320.28694497347595,321.0015423319087,321.0994377685687,320.61906898012444,319.59964181615067,318.08058166851004,316.1010672772175,313.6996413111442,310.9138912917508,307.7801940330647,304.33351668003786,300.6072675624288,296.63319037776887,292.44129562227454
IN,0.6129597941680509,1.2145252568664748,1.5770247063166132,1.7972731325150364,1.9334481923022824,2.0203763047436047,2.078801951988844,2.121001344845276,2.1541766558111712,2.1825040479694557,2.2083661441947147,2.2330911725053513,2.257394290415694,2.2816395653705634,2.305994305070631,2.3305190409841563,2.3552192582542055,2.3800745470307314,2.4050545546813544,2.430127322545699,2.4552633088951827,2.4804370329263534,2.5056274598771857,2.5308177647735826,2.555994828866364,2.5811486582163465,2.606271819788246,2.631358937817604,2.6564062647883246,2.681411326804887,2.706372636389917,2.7312894632381046,2.756161653168233,2.7809894862813302,2.8057735665196812,2.8305147360943073,2.8552140094439906,2.8798725224379758,2.904491493418582,2.929072193405653,2.9536159233697474,2.978123996946479,3.0025977273313065,3.0270384173812457,3.051447352173495,3.0758257934442583,3.1001749754649484,3.124496102016164,3.1521786441691253,3.188005667227837,3.2371602667523556,3.3048500806016956,3.3962960092466625,3.516927183266407,3.6726925734056004,3.8704467391644175,4.118399046964807,4.426637469061518,4.807754073833717,5.277612939988243,5.856315197208804,6.569432513586413,7.439387063666118,8.490136800737329,9.749578891845516,11.250981449517987,13.03405791189049,15.145970695597232,17.64239674355233,20.58871473265279,24.061337831003915,28.1491958094139,32.955355704277586,38.598755945445134,45.216012256086984,52.963233397947256,62.0177605971757,72.57971676050187,84.87322195130844,99.14710288264713,115.6749006456048,134.75396807472157,156.70345241289388,181.86098644410683,210.57796651735802,243.21337999823277,280.1262538388391,321.66692067878887,368.1674246557015,419.9314984813801,477.22461933224696,540.2646808342083,609.2137960715049,684.1716746216309,765.1709052123115,852.1743399915033,945.0746337888821,1043.695858053409,1147.7969966916635,1257.0770473398195,1371.1813993880821,1489.7091380036238,1612.2209272879197,1738.2471498124264,1867.296017898639,1998.8614182969282,2132.4303013859726,2267.4894747670014,2403.5317063928505,2540.06108240007,2676.597598701192,2812.680992896766,2947.87384440292,3081.763986383908,3213.966283825755,3344.1238386537634,3471.9086859508348,3597.022045796784,3719.19419366901,3838.1840092830653,3953.778259678903,4065.7906676591338,4174.060811664469,4278.452898063683,4378.854441816089,4475.174886659109,4567.344191466886,4655.311405270673,4739.043249655561
D,56.0,56.0,56.00375957984098,56.00797440972741,56.01158245303726,56.01440088071404,56.016543604137105,56.01818838743822,56.019494890793645,56.02058412969094,56.021540334130094,56.02241907928054,56.02325562185322,56.024071595456164,56.02487984746289,56.025687729494706,56.02649924866729,56.02731643297806,56.0281401767826,56.02897075239176,56.029808112220294,56.0306520621974,56.031502357593865,56.032358753077226,56.03322102644003,56.03408898768616,56.0349624803656,56.03584137912988,56.03672558573019,56.03761502464815,56.038509638952895,56.03940938664284,56.04031423754904,56.04122417078485,56.04213917268464,56.04305923515999,56.04398435440155,56.04491452986141,56.045849763459515,56.04679005896752,56.04773542153172,56.04868585730455,56.04964137316034,56.050601976476294,56.05156767496379,56.05253847653839,56.05351438921965,56.054495421053794,56.05548158005389,56.056493656241294,56.05757161643027,56.058767877952995,56.06014173606535,56.06175655101764,56.063679558999056,56.06598371395573,56.06875102061388,56.07207703573867,56.07607645383486,56.08088991077594,56.086692332579865,56.09370334236163,56.10220043823585,56.112473241148344,56.124829323132836,56.13961199639791,56.15721831160493,56.178115130678144,56.202853939308234,56.23208553235677,56.26657550430615,56.30722116457533,56.35507022312117,56.411341367340405,56.47744665184668,56.555015419682455,56.64591924461086,56.75229711558254,56.87657977223595,57.0215117516154,57.19016934196924,57.38597229591596,57.612686884996826,57.87441774677639,58.17558605656694,58.52089191447697,58.91525951728243,59.36376468440118,59.871545573163566,60.443698836274784,61.085164880701996,61.800607095657995,62.594290753178754,63.46996762091342,64.4307721099521,65.47913404086819,66.61671195267985,67.84434945609792,69.1620556169887,70.56900891014375,72.06358303554231,73.6433919224656,75.30535059744831,77.04574825586488,78.86032981957118,80.74438243176505,82.69282367485306,84.70028873826826,86.76121425810244,88.86991705600558,91.02066648868998,93.20774955947286,95.42552832649707,97.66848946275307,99.93128608041715,102.20877212976582,104.49602982685947,106.78839066141798,109.08145059437723,111.3710800809007,113.65342955597188,115.92493100220653,118.18229618844354,120.42251212738496,122.64283425462399,124.84077778264823,127.01410763400276,129.1608273093595,131.27916699991786
R,0.0,0.4180674795862503,1.094271570482759,1.798543562920205,2.457722008873663,3.0600531400362074,3.6143937294804807,4.133913374924967,4.630374515593111,5.112715620525189,5.587202204531842,6.058014786018068,6.527848522275242,6.998395207758129,7.47069265436129,7.945363649682435,8.422773358597379,8.903130242181645,9.38654940384987,9.873091630534127,10.362787039647847,10.855649142599928,11.35168303345133,11.85089002996415,12.353270206691914,12.858823699039151,13.367551307860264,13.879454719110303,14.394536522174134,14.912800131764918,15.434249671527526,15.958889850144482,16.486725845071632,17.017763200289913,17.552007739776787,18.089465496051744,18.630142652110575,19.17404549473166,19.72118037716811,20.271553689436328,20.825171834668133,21.3820412102542,21.94216819274528,22.505559125684194,23.072220309713956,23.642157994448134,24.215378371702407,24.791887569775916,25.373939643644263,25.967018817771265,26.579401783216294,27.221516163016002,27.905526118256404,28.64524597617062,29.456364720410438,30.356939954504135,31.368133622868335,32.515188426748274,33.82867379342033,35.3460610407979,37.113720048166535,39.18946694512488,41.63906060000101,44.535214159287364,47.95989919583208,52.007442070530004,56.78774221140317,62.42955716052242,69.08396697663424,76.92814880870942,86.16956943641009,97.05067395867569,109.85412034809524,124.90858117630638,142.59510209557178,163.35396825211888,187.69198205639236,216.18999710749802,249.51048355037503,288.40482176217915,333.719938643801,386.4038215714284,447.50937991081724,518.1960859484956,599.728829985039,693.4734803226498,800.8887553617371,923.514191646072,1062.9542183827928,1220.8586058380668,1398.8998147100972,1598.7480056767954,1822.0446448250495,2070.375741237765,2345.2457683759067,2648.053253806198,2980.0688855036865,3342.4167976767635,3736.059488019714,4161.786603768919,4620.207634426703,5111.748377701674,5636.650909618079,6194.97669230861,6786.61239218568,7411.277952751045,8068.5364645340405,8757.805393332783,9478.368761082016,10229.3899159711,11009.92457547195,11818.933874258475,12655.297196068474,13517.824612641085,14405.268792884446,15316.33628083552,16249.698071599318,17203.999440402753,18177.869001452986,19169.926990841996,20178.792781731347,21203.091650941253,22241.46082430117,23292.554834112154,24355.050226202937,25427.649656669102,26509.085419761483,27598.122448789098,28693.56083153761
G,16828.0,16828.0,16828.038247315148,16828.102260152067,16828.18391937076,16828.277885163443,16828.38060401794,16828.489681839594,16828.603485254167,16828.720885867508,16828.841094645195,16828.96355351322,16829.087863591125,16829.213737096452,16829.34096470433,16829.46939311238,16829.598909425844,16829.729430158106,16829.86089339451,16829.993253151697,16830.126475279365,16830.260534458197,16830.395411985017,16830.53109412874,16830.667570903715,16830.804835150535,16830.94288184471,16831.081707575217,16831.221310150202,16831.361688298177,16831.502841441255,16831.644769522776,16831.787472876124,16831.930952124796,16832.075208106187,16832.220241813415,16832.366054350867,16832.512646900213,16832.660020694366,16832.808176997518,16832.957117089816,16833.106842255555,16833.257353774068,16833.408652912683,16833.56074092124,16833.7136190278,16833.8672884353,16834.03869181871,16834.24141182784,16834.48690046441,16834.785678356297,16835.148436735733,16835.58704750732,16836.115527461203,16836.751024368776,16837.51490520656,16838.43403714672,16839.542365191817,16840.882910055563,16842.510339156164,16844.494305502405,16846.872734056287,16849.70171250942,16853.053118089592,16857.01450319286,16861.69023923123,16867.203445588148,16873.698480762498,16881.34388782662,16890.33573361071,16900.901292021557,16913.30301091307,16927.842675166612,16944.865638771542,16964.764947281335,16987.985111064525,17015.025222885055,17046.44104668026,17082.845647255133,17124.90809547972,17173.349785290837,17228.937952405555,17292.47610198783,17364.79123788104,17446.71803204726,17539.080358032716,17642.670901872676,17758.229814980714,17886.423543886143,18027.825029376,18182.89639952976,18351.975096292997,18535.264102293026,18732.826614610032,18944.585189085396,19170.32509049265,19409.701356907786,19662.24893368309,19927.395153992034,20204.473830288618,20492.74026026509,20791.38652626551,21099.556563675604,21416.36057894855,21740.888502012356,22072.22225421118,22409.446697673327,22751.65920319526,23097.977831051747,23447.548163295873,23799.54885843091,24153.1960214609,24507.746495985357,24862.500191863757,25216.801563557055,25570.040351885815,25921.65169675056,26271.115721262337,26617.9566794675,26961.74175099463,27302.07955693799,27638.618462439186,27971.04472296078,28299.080523311088,28622.481951167985,28941.03694020678,29254.563211974535,29562.906240358952,29865.93725784513
H,149282.48926432736,149282.48926432736,149282.48926432736,149282.48926432736,149282.48926432736,149282.48926432736,149282.48926432736,149282.48926432736,149282.48926432736,149282.48926432736,149282.48926432736,149282.48926432736,149282.48926432736,149282.48926432736,149282.48926432736,149282.48926432736,149282.48926432736,149282.48926432736,149282.48926432736,149282.48926432736,149282.48926432736,149282.48926432736,149282.48926432736,149282.48926432736,149282.48926432736,149282.48926432736,149282.48926432736,149282.48926432736,149282.48926432736,149282.48926432736,149282.48926432736,149282.48926432736,149282.48926432736,149282.48926432736,149282.48926432736,149282.48926432736,149282.48926432736,149282.48926432736,149282.48926432736,149282.48926432736,149282.48926432736,149282.48926432736,149282.48926432736,149282.48926432736,149282.48926432736,138619.45857214963,127956.4278799719,117293.39718779418,106630.36649561646,95967.33580343873,85304.30511126101,74641.27441908329,63978.243726905566,53315.21303472784,42652.18234255012,31989.151650372394,21326.120958194668,10663.090266016941,0.059573839214863256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
