series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
S,51214.65963738852,51214.19330069233,51213.78084077017,51213.39011138372,51213.00300028716,51212.60910163903,51212.20223188179,51211.77851044981,51211.3353017681,51210.870631353806,51210.38286290009,51209.8705190187,51209.33218104475,51208.766432332,51208.171825445505,51207.546862456125,51206.88998238553,51206.199552518476,51205.473861768434,51204.71111509252,51203.90942839754,51203.066823625195,51202.18122383981,51201.25044821689,51200.27220687188,51199.244095491325,51198.16358974101,51197.02803943261,51195.83466243404,51194.580538310736,51193.262601686205,51191.877635310695,51190.4222628272,51188.89294122408,51187.28595296386,51185.59739777758,51183.8231841146,51181.95902023749,51180.000404952254,51177.94261796415,51175.78070984988,51173.509491637386,51171.12352398502,51168.6171059526,51165.984263357685,51163.21873671126,56115.92826016369,61068.194069699915,66019.97892372872,70971.2292286452,75921.87503509136,80871.82908594098,85820.98492309764,90769.21404912887,95716.3620974925,100662.2439091638,105606.63735056408,110549.27563874921,115489.83786278922,120427.93730161057,125363.10703393139,130294.78221044256,135222.2782068356,139401.32827709545,139362.38805429617,139317.83188152756,139266.6650387732,139207.8444347322,139140.226216934,139062.53389413448,138973.33560102043,138871.02565221366,138753.80856137082,138619.685173229,138466.44133696088,138291.64002052892,138092.61808859272,137866.48919696794,137610.1543986515,137320.32208678845,136993.53878204824,136626.23196645794,136214.76564205266,135755.50854072015,135244.91395412778,134679.6090542048,134056.49044369176,133372.8216564873,132626.32757774903,131815.28041813325,130938.57205197518,129995.76823829797,128987.14142315403,127913.68033117772,126777.07620181591,125579.68710723908,124324.4831259646,123014.97611500467,121655.13836820205,120249.31457899508,118802.13130238961,117318.40762360967,115803.07008944153,114261.07423561571,112697.3343256576,111116.66225812232,109523.71603351881,107922.95771491884,106318.62046883875,104714.68402773225,103114.85775916083,101522.57044385,99940.96583960512,98372.90312580098,96820.9613711056,95287.44723465964,93774.40518968149,92283.62964197327,90816.67839935253,89374.88702834756,87959.3837094292,86571.10427034981,85210.80713821894,83879.08800464007,82576.39404476622,81303.03757092117,80059.20903502357,78844.9893220531,77660.36129984166
E,0.0,0.4663366961927731,0.7508373737031977,0.935542692176862,1.0659479853825442,1.167358608960997,1.2539140373914623,1.3335709889427227,1.410857928215349,1.4883996514203763,1.56776255461746,1.649924308117848,1.7355355935599461,1.82506653184114,1.9188890349505179,2.0173234592707097,2.1206653070050367,2.229200733722591,2.343215747344093,2.4630018337703197,2.58885954768061,2.7211009389491787,2.8600513107041596,3.0060505941947824,3.159454506173674,3.3206355863277537,3.4899841730391765,3.6679093529165954,3.854839906076994,4.051225261107975,4.257536468740729,4.474267200219388,4.701934774412951,4.9410812164415105,5.192274349717996,5.4561089226821675,5.733207771028062,6.024223015838601,6.3298372977020145,6.6507650465684565,6.987753786793327,7.341585476494051,7.713077880009552,8.103085971889245,8.51250337044475,8.942263798467582,9.393342568244982,10.164362668608227,11.204776221637761,12.494257316579596,14.034413071171635,15.84371739050769,17.954776050708666,20.41328738686021,23.27827956796042,26.623376364682542,30.538974298605577,35.13531513841154,40.5465191352633,46.93571510645126,54.501470770129465,63.48579639923594,74.1840714867976,86.95733128754134,102.0371233738774,118.59508510771099,137.22033799023,158.38872434536762,182.54628014995393,210.1492912729438,241.68421627821215,277.6778532624919,318.7022518942629,365.3761646809433,418.36355870958846,478.3690947558822,546.1301833378843,622.4051039767314,707.95667287566,803.5310551220076,909.8315462506479,1027.4875014899985,1157.019065769735,1298.798930351979,1453.0129630698866,1619.622150774114,1798.3287544157072,1988.54980111936,2189.400930076473,2399.693116863272,2617.9439326407723,2842.403831087029,3071.096641062686,3301.8721591855196,3532.467666724459,3760.574485044928,3983.9054130337104,4200.259061682453,4407.577649562627,4603.995635232201,4787.877506072714,4957.843991477943,5112.786820649463,5251.872834927345,5374.538760259947,5480.478245684035,5569.622898658182,5642.1190304716265,5698.301702263438,5738.667471005652,5763.8470071039055,5774.578516634477,5771.682670457767,5756.039532018901,5728.567792750053,5690.20647166509,5641.899114020539,5584.580430843006,5519.165253543017,5446.539632035278,5367.553876930509,5283.0173327898265,5193.694666821694,5100.303462871131,5003.5129216811565,4903.943483226958,4802.16720387585,4698.708739015304,4594.046799730335
I,0.8021820085842077,0.5029544511831534,0.34434262843297814,0.2625871547092964,0.22281361138416594,0.20598542145974946,0.20174056788590888,0.2044614939182916,0.2111208690626396,0.22010220746328069,0.23055522078786567,0.24204419776825067,0.25435675047358475,0.267400177383314,0.28114559029822556,0.2955980038454954,0.3107804832045316,0.32672586540708765,0.343472533057208,0.36106233655688313,0.37953964120193545,0.39895095301817596,0.41934483505171843,0.4407719642078636,0.4632852523830755,0.4869399943835175,0.5117940251792255,0.5379078791766732,0.5653449491257642,0.5941716445333676,0.6244575503694374,0.6562755871200832,0.6897021732208815,0.7248173907698909,0.761705155256674,0.800453389887205,0.8411542049476266,0.8839040825344111,0.9288040668820223,0.975959960437613,1.025482525761491,1.0774876932682984,1.1320967747639716,1.1894366826750211,1.2496401548074354,1.3128459844108975,1.3791992552586374,1.4488515813829586,1.5404676429015964,1.662606598730029,1.8193709459171135,2.0134328174828147,2.2476163796319297,2.5257198993613774,2.8529665380919385,3.2363017463384813,3.684658435810208,4.2092586220025865,4.8239936095681415,5.545913165433415,6.395851231967619,7.399218103463301,8.586994807814392,9.996973848261645,11.675301155636241,13.6653080343538,15.942651436411134,18.528702713119745,21.466451194387083,24.81058683160073,28.623773047417743,32.975548758911074,37.94227218110117,43.60739104375615,50.06170225855748,57.40342217982889,65.7379495289916,75.17722276458622,85.83857837039325,97.8430194098235,111.31281239353171,126.36835018481597,143.1242529859152,161.68473048789227,182.13829588574248,204.5520034802608,228.96546917547283,255.38501681455494,283.77835965895036,314.0702612367719,346.13961107314725,379.8182913669008,414.89210104703085,451.10385314290386,488.158587207834,525.7306627964376,563.4723456487527,601.0233846212234,638.0210168514948,674.1098347895171,708.950996823443,742.230352052344,773.6651644254711,803.0092463641705,830.0564331771969,854.6424363903229,876.6451997511574,895.9839431361756,912.6171170294247,926.5395060889423,937.7787183640187,946.3912813426442,952.4585415238264,956.0825345071977,957.3819608841522,956.488371961023,953.5426402771077,948.691764086564,942.0860330131964,933.8765641162031,924.2132034894406,913.2427779344364,901.1076737683538,887.9447149765278,873.8843102174508,859.0498371862782,843.5572331364033,827.5147615968367,811.0229272118813
A,2.73750774219893,2.6280074325109726,2.621847622592267,2.6763075918029426,2.767785151939719,2.8832766868235407,3.015668729788144,3.161132865762045,3.3176822974196782,3.4843706768102685,3.66084651327319,3.847104777917933,4.0433481127011195,4.249909133903373,4.467206916680133,4.69572269596753,4.935986439566896,5.188569624568622,5.454081593547834,5.733168008612813,6.0265105610961385,6.334827454855222,6.658874385146326,6.999445851418245,7.35737670935236,7.73354390642716,8.128868368211556,8.544317016270973,8.98090490685555,9.4396974846374,9.921812948949249,10.428424731994943,10.960764089793736,11.520122807448423,12.107856020851939,12.725385157265956,13.374200997378562,14.055866861513872,14.77202192264728,15.524384648789779,16.314756377150932,17.14502502227626,18.017168920081698,18.93326080937383,19.895471952047394,20.90607639268633,21.967455357757117,23.08210179396698,24.315779187652055,25.720893809720636,27.34344235459154,29.227922692526008,31.420973093774947,33.974285511992335,36.94718178573331,40.409137143590286,44.44247137546698,49.14539436599772,54.63558181562621,61.05446381860345,68.57243054386363,77.39519425865211,87.7715953124831,100.00320240186642,114.45613612975909,131.53100857674247,151.43662196650808,174.49844286797835,201.12989684718923,231.82252495508456,267.14503421964014,307.7466139011273,354.3622765839043,407.8190279996401,469.0420980284597,539.0606066391625,619.0120438215301,710.1448845505247,813.8185779611982,931.5000711035921,1064.7559755222155,1215.239483404188,1384.67121361158,1574.8133392896366,1787.4366348128606,2024.2804862656585,2287.006425377483,2577.146339930433,2896.0471305501924,3244.814153190806,3624.2562287933897,4034.8352418534505,4476.623333349017,4949.27039882875,5451.984047153962,5983.523415282478,6542.207354074761,7125.936597444709,7732.228697072866,8358.263824406855,9000.93906077899,9656.928535021629,10322.7467182324,10994.8123184746,11669.510492359994,12343.251458843357,13012.52401792396,13673.942904140584,14324.289311110952,14960.54428744114,15579.915013271775,16179.854214991727,16758.07316334309,17312.54883135337,17841.52586983967,18343.514097474057,18817.28220774963,19261.848374493624,19676.468397957713,20060.621981142776,20413.997666018506,20736.476895790005,21028.11760551529,21289.137681529,21519.898571913855,21720.889276738046,21892.71089853932,22036.061890826146,22151.7241051606
IH,0.0,0.13880040833588325,0.15544256253415556,0.1362013847585353,0.11257104946911624,0.09404129763616044,0.08199591151304206,0.0753240557783072,0.07250618306492101,0.0722694680702326,0.0737068154094519,0.07622397823119394,0.079452651701346,0.08317454295025398,0.08726601171440887,0.0916611151305072,0.09632821651843905,0.10125571255797439,0.10644356552084959,0.1118983980973755,0.11763071603908595,0.12365337427263241,0.12998075608031454,0.13662835402009765,0.14361257318874426,0.1509506552061735,0.15866066634019793,0.16676151886247048,0.1752730091338969,0.18421586387303074,0.19361179037261644,0.2034835287128674,0.21385490519202904,0.2247508867688122,0.23619763657107695,0.24822257062497335,0.2608544159808854,0.27412327039974776,0.28806066373703865,0.30269962113211246,0.31807472808181725,0.3342221974509322,0.3511799384479063,0.3689876275721643,0.3876867815181635,0.4073208320007508,0.4279352024455315,0.4495773864663815,0.47229702802943835,0.4993481204549038,0.5338155912026479,0.5779299024635839,0.6332528421824093,0.701042903530624,0.7825776278206481,0.8793904929651136,0.9934391375849927,1.1272341638710752,1.2839548194826138,1.4675718020461734,1.682992432498935,1.936240479744506,2.234681868436756,2.5873079906111465,3.005090038558805,3.5014204632964177,4.090398184471705,4.774760755446331,5.559555417048973,6.454708422159822,7.474575513152221,8.637075441129346,9.963072881516036,11.47606453911053,13.20207117917684,15.16962933758116,17.409799391691415,19.956128517817078,22.84452123895585,26.11297806680865,29.801167084440088,33.94979696154981,38.59976509608085,43.79106307801682,49.56143469336625,55.944799805179855,62.96948039828973,70.65629154192636,79.01658754172462,88.05037859888435,97.74465168237174,108.07203687618976,118.9899539020492,130.4403513141155,142.3501138772286,154.6321652687399,167.18723899318422,179.90623695129443,192.67304910130827,205.36767449715848,217.86946697935645,230.06032873244294,241.82769026136032,253.06714274048636,263.6846238063203,273.5980961448325,282.73869557456953,291.0513585552627,298.49496606604316,305.0420605918205,310.6782054553059,315.4010615551915,319.21925677942556,322.15111922872126,324.22333820847217,325.4696079231801,325.92929895159693,325.64619269309674,324.66730463892577,323.041813919969,320.8201093316902,318.05295602038734,314.79078221821317,311.0830817559603,306.9779254398294,302.52157260825504,297.75817313898335,292.72954971184714,287.47505011784233
IN,0.16042714906517103,0.29239668078336917,0.341114533429155,0.34946995955549964,0.33999309377939374,0.32424304655719344,0.3079214018783997,0.29364607556917455,0.2824471538639065,0.274566568380512,0.2698800567975933,0.26811535139840514,0.26896134386721643,0.2721196371804534,0.2773262266960828,0.2843581613361741,0.29303304141132325,0.30320543525228055,0.3147622758384176,0.3276182287950924,0.34171146651504514,0.3570000013239579,0.37345859426464634,0.39107619548036476,0.40985385000678887,0.4298029992733171,0.45094411347718477,0.47330559800502686,0.49692292569321517,0.5218379547930998,0.5480983996009186,0.5757574267302296,0.6048733550089496,0.635509441095408,0.6677337362639194,0.7016190025385147,0.7372426785663908,0.7746868874156337,0.8140384799336318,0.8553891084776267,0.8988353267791359,0.9444787124715333,0.9924260094287267,1.0427892875597986,1.0956861181015543,1.1512397627657198,1.2095793753441624,1.2708402145653164,1.3351638671370838,1.4063995249292525,1.489425318031904,1.5890745139931353,1.7098574195228307,1.8560490742825804,2.031925793016817,2.2420499018198123,2.4915634415244488,2.786482803423699,3.1340014256192177,3.5428148278000977,4.023485818207022,4.588870053212164,5.254624534515334,6.039824770646533,6.967720596361129,8.066666292508836,9.368652233169815,10.89512580174337,12.668003928192649,14.713913144172748,17.065694152405438,19.76289411864221,22.851952054951667,26.386340079861018,30.42673366109264,35.04120358996825,40.305387953472525,46.30258618841255,53.12370793305167,60.86700262256828,69.63749078149048,79.546015598441,90.70783535602338,103.24068578693661,117.262258625511,132.88707029426212,150.22273363015043,169.3656951248863,190.39655765614236,213.37516926047502,238.33571531156807,265.28209645980934,294.18389981159476,324.9732695678445,357.54295220744683,391.74573085344633,427.3953785887109,464.26915980401617,502.111803116374,540.6407704626696,579.5525648194056,618.5297610367884,657.2484143582924,695.3854995188444,732.6260569122697,768.6697659677883,803.2367231425239,836.0722661727563,866.950751360354,895.6782517387628,922.0941973673476,946.0720225435406,967.5189174627817,986.3748038924036,1002.6106666127424,1016.2263760627835,1027.2481344077999,1035.7256687845384,1041.729283360175,1045.3468674799926,1046.6809417709649,1045.8458085708726,1042.9648581877148,1038.1680687704352,1031.5897253123853,1023.3663726837124,1013.6350086480575,1002.5315155228126,990.1893233879097
D,56.0,56.0,56.00098313318684,56.002084143938234,56.0030488680558,56.00384621682399,56.00451231803902,56.00509310092547,56.005626626582135,56.006140193045496,56.00665208283968,56.007174153467524,56.00771405333908,56.00827682213498,56.00886595335192,56.00948406473378,56.01013330694646,56.01081560657096,56.01153280800117,56.012286755363746,56.013079339694315,56.0139125264415,56.014788372106295,56.01570903506749,56.01667678343877,56.017694001532305,56.018763195783876,56.01988700059393,56.02106818431988,56.02230965553818,56.0236144696341,56.024985835747216,56.02642712408672,56.02794187362517,56.02953380017786,56.031206804875396,56.032964983038056,56.034812633461854,56.03675426812739,56.03879462234348,56.04093866533836,56.043191611311805,56.04555893096189,56.04804636350031,56.050659929170244,56.05340594228058,56.05629102477012,56.05932212031505,56.0625065089922,56.06585182251014,56.06938874084411,56.073169794730454,56.07726331342821,56.081748688451775,56.086714225312384,56.09225727843747,56.09848606398783,56.10552266421816,56.11350694415745,56.12260128767251,56.132996203364485,56.14491695873854,56.15863148808441,56.17445989906123,56.1927859859989,56.21407125296441,56.23887206371,56.26784464564084,56.301664616447724,56.341043343788016,56.38676250367585,56.43970545487195,56.50088247592848,56.571451631381,56.652737414600175,56.74624862589193,56.85369619188003,56.97701104205532,57.11836172294988,57.280171095391715,57.46513118054213,57.676214971422574,57.916683803463954,58.19008869128224,58.50026391277612,58.8513110877712,59.247572092901116,59.69358941143703,60.1940529612693,60.75373308364451,61.37740019206507,62.06973252780691,62.83521446907987,63.67802879494725,64.60194710194322,65.6102231061792,66.7054937559659,67.88969288795029,69.16398158916502,70.52869853093983,71.98333240934907,73.52651737511894,75.15605108372998,76.86893385290453,78.66142646521013,80.52912345278826,82.46703827163697,84.46969660784798,86.53123412853202,88.64549525184376,90.80612991240113,93.0066857888077,95.24069399164571,97.50174674344281,99.78356608597052,102.08006310325308,104.38538753776714,106.69396799660525,109.00054319363275,111.30018485679103,113.58831305331138,115.86070475785536,118.11349651823467,120.34318206902418,122.5466057131305,124.72095224240738,126.86373410690035,128.97277647338632,131.04620074166485
R,0.0,0.13795792703493007,0.36434566432376103,0.6074499777075769,0.8445942411977955,1.0719013710797467,1.2917694400834037,1.5080152576661268,1.724211462063609,1.9432741693765705,2.167488144554402,2.398648502767447,2.638204737977949,2.8873751109821577,3.1472291091771325,3.418744331964116,3.7028451081894573,4.0004287918213075,4.312383996630336,4.639603634658189,4.982994618606275,5.34348541431953,5.722032195212076,6.119624077098023,6.537287741952471,6.976091653901362,7.437150005335277,7.921626489938913,8.430737973128673,8.96575811315515,9.528020974505521,10.118924667160613,10.739935039471202,11.392589448153135,12.078500625685566,12.79936066292748,13.556945122845198,14.353117299731554,15.189832637099837,16.06914331648153,16.99320302859291,17.964271937719552,18.984721849666325,20.05704159320558,21.18384262460522,22.36786486451124,23.61198277617917,24.919211693780454,26.292714409239817,27.738334191494932,29.266320351806254,30.891169847561567,32.631132138667155,34.507903177520205,36.54663417575113,38.776246549872525,41.23001675974439,43.94640500497245,46.9701224084856,50.35345276416413,54.15786488663258,58.45597055775948,63.33390235497214,68.89420677338046,75.25937249044975,82.57614281167675,91.01901141909413,100.78354820531528,112.0835149795749,125.15562196258004,140.26592733187633,157.71624091598133,177.85031462431948,201.0599708631272,227.79134585446235,258.5513584095763,293.9144352486391,334.5294500587363,381.12676531309603,434.52519985815445,495.63867880569904,565.4822549984536,645.1771253913503,735.9542056609059,839.1557789388801,956.234708154748,1088.7507052850465,1238.3631936369125,1406.8203878730367,1595.944353699724,1807.6119923983397,2043.7321155976788,2306.219017271346,2596.9631920550273,2917.8000679780444,3270.4777944755483,3656.6252340071537,4077.72133567052,4535.067018570952,5029.760567152417,5562.677353793967,6134.454474760899,6745.480635614585,7395.891372572768,8085.569465428286,8814.150199461379,9581.030977225979,10385.384670063724,11226.176033269327,12102.180484216406,13012.004553431225,13954.10735736043,14926.82250090316,15928.379890521806,16956.92701858016,18010.549361217792,19087.289611440894,20185.16554319613,21302.186369007646,22436.367512168265,23585.743764043214,24748.380837853645,25922.3853628184,27105.913387454697,28297.17747902282,29494.452518460017,30696.080297597764,31900.473028867418,33106.11587787495
G,16828.0,16828.0,16828.02899875727,16828.07568895113,16828.133864890675,16828.20014997427,16828.27274119264,16828.350714787906,16828.433641784057,16828.52137480386,16828.61392969084,16828.711419693554,16828.814018856163,16828.921941684926,16829.035431920176,16829.15475642928,16829.280202000704,16829.41207379846,16829.550694780915,16829.696405691597,16829.849565399836,16830.01055146471,16830.179760849856,16830.35761074761,16830.544539488652,16830.741007523604,16830.947498469166,16831.164520214897,16831.39260608907,16831.632316083287,16831.884238136492,16832.148989479523,16832.427218041754,16832.719603921596,16833.02686092284,16833.349738158904,16833.68902172714,16834.04553645541,16834.420147723187,16834.813763359372,16835.227335619104,16835.661863241687,16836.11839359184,16836.598024886283,16837.101908507597,16837.63125140728,16838.1873185996,16838.771435747803,16839.403498135835,16840.100257770147,16840.87720270744,16841.749920941686,16842.735149251184,16843.851651977147,16845.121035173514,16846.568575511526,16848.224127895002,16850.12316845982,16852.308028634005,16854.82938000118,16857.74803817399,16861.137166532484,16865.084977663042,16869.698052078682,16875.10542096765,16881.450514110256,16888.825250249243,16897.358182154992,16907.20745245466,16918.55894014942,16931.626897995444,16946.655828767667,16963.922993739903,16983.741226615966,17006.461837706633,17032.47742556045,17062.22440746671,17096.185055970782,17134.8887965956,17178.91248995145,17228.879396300264,17285.456509748354,17349.349960330335,17421.298222858073,17502.06294763773,17592.417343011162,17693.132191320175,17804.959760252932,17928.61606581712,18064.76213078349,18213.98503943385,18376.77969245301,18553.532196451586,18744.505771491364,18949.829929035874,19169.49347527757,19403.341653159685,19651.07747793793,19912.267073334435,20186.34860165493,20472.644218071473,20770.374374772386,21078.673755157368,21396.60812573381,21723.191443734933,22057.402639668362,22398.201593863385,22744.543933716326,23095.394384868618,23449.738508458275,23806.592743603152,24165.012747132598,24524.10008060315,24883.00733830216,25240.941840525953,25597.1680356289,25951.008764077073,26301.845539908856,26649.118001385752,26992.322674795087,27331.011184696777,27664.788031504613,27993.308044046735,28316.273601341847,28633.43170475966,28944.57096935816,29249.518591736076,29548.137341338694,29840.322612867596
H,88457.62182977844,88457.62182977844,88457.62182977844,88457.62182977844,88457.62182977844,88457.62182977844,88457.62182977844,88457.62182977844,88457.62182977844,88457.62182977844,88457.62182977844,88457.62182977844,88457.62182977844,88457.62182977844,88457.62182977844,88457.62182977844,88457.62182977844,88457.62182977844,88457.62182977844,88457.62182977844,88457.62182977844,88457.62182977844,88457.62182977844,88457.62182977844,88457.62182977844,88457.62182977844,88457.62182977844,88457.62182977844,88457.62182977844,88457.62182977844,88457.62182977844,88457.62182977844,88457.62182977844,88457.62182977844,88457.62182977844,88457.62182977844,88457.62182977844,88457.62182977844,88457.62182977844,88457.62182977844,88457.62182977844,88457.62182977844,88457.62182977844,88457.62182977844,88457.62182977844,88457.62182977844,83502.00753834312,78546.39324690781,73590.7789554725,68635.16466403719,63679.55037260188,58723.93608116657,53768.32178973126,48812.707498295946,43857.093206860634,38901.47891542532,33945.86462399001,28990.250332554697,24034.636041119382,19079.021749684067,14123.407458248752,9167.793166813437,4212.178875378123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
