series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
S,656459.8942370301,656286.4678367599,656140.2356323989,656011.816867142,655895.2121950267,655786.5756873429,655683.4361123217,655584.2016207713,655487.84395857,655393.6967445062,655301.3263862752,655210.4493387896,655120.8789763405,655032.4914177471,654945.2035001623,654858.9585525813,654773.7171856137,654689.4513135169,654606.1402633177,654523.7682347058,654442.3226363963,654361.7929928169,654282.1702230672,654203.446163703,654125.6132518111,654048.6643138771,653972.5924247779,653897.3908134629,653823.0527998667,653749.5717528132,653676.9410620964,653605.1541201798,653534.2043104516,653464.0849999655,653394.7895352604,653326.3112402984,653258.6434158612,653191.7793399481,653125.7122688609,653060.4354387528,652995.9420674876,652932.2253567005,652869.2784939818,819703.8400019647,986522.972196018,1153327.0497189467,1320115.765494369,1486888.0266423728,1653641.907796294,1820374.608111485,1987082.3782467947,2153760.3961820463,2320402.576873975,2487001.3018587157,2653547.0522451345,2820027.922957908,2986428.987946354,2985834.7325230683,2985156.62046717,2984376.30483314,2983475.385778325,2982434.0442549502,2981230.20439456,2979838.936982806,2978231.966682951,2976377.2203948186,2974238.3918166063,2971774.517636522,2968939.5733028054,2965682.105530638,2961944.9266775115,2957664.9036476216,2952772.8811094533,2947193.7850403492,2940846.9570325227,2933646.7711414574,2925503.5818318273,2916325.042252083,2906017.8154085367,2894489.676275088,2881651.9710739464,2867422.363011525,2851727.755394679,2834507.2483851854,2815714.960402519,2795322.5346012944,2773321.1584428214,2749722.9509070585,2724561.6149094934,2697892.306690092,2669790.732210511,2640351.535469545,2609686.08876869,2577919.8261193656,2545189.276539942,2511638.9546870883,2477418.2546140472,2442678.4719334994,2407570.0539906193,2372240.1501792776,2336830.507932418,2301475.7360496796,2266301.936981227,2231425.6939095506,2196953.386920713,2162980.8048721044,2129593.015202422,2096864.4522737493,2064859.1852686324,2033631.3286185635,2003225.560920367,1973677.7218944686,1945015.4608292952,1917258.9138926694,1890421.3914958776,1864510.0604481734,1839526.608864028,1815467.8846436217,1792326.500826955,1770091.4032310583,1748748.3975387618,1728280.63444535,1708669.0526196593,1689892.7801340502,1671929.495698118,1654755.7515273383,1638347.2600208237,1622679.146639782,1607726.171494672
E,0.0,173.4264002701508,284.9712490250158,356.3923539657836,401.7142900152444,430.00313201433073,447.13693439255394,456.9386877684907,461.9031438136091,463.66420109799253,463.29617001654924,461.5084388106033,458.7715902047042,455.3993402187084,451.6019395800718,447.52109451239926,443.2528866839691,438.8628766319633,434.3960992319997,429.8837091827659,425.34742084487425,420.80248973436056,416.25972540967217,411.7268579317051,407.20947072602877,402.71164106726553,398.23638233511997,393.7859511247674,389.3620617000771,384.9660365622744,380.5989127265732,376.26151712318995,371.9545203616549,367.6784752561053,363.4338445659989,359.221021070132,355.0403421674264,350.89210055506436,346.77655208506667,342.69392158453405,338.64440720169836,334.62818368167143,330.6454048630151,326.69620560559144,338.9662073929096,363.83673310103404,399.0946035256926,443.7551053205675,497.862966346276,562.3294463387793,638.8320386848866,729.785397043237,838.3842385312819,968.7177192081153,1125.9575422517244,1316.6271924993905,1548.9663551070998,1833.4125537722323,2144.820156793956,2496.146090444098,2897.8060535109175,3359.5516854927673,3891.4410019623065,4504.373640896268,5210.415304619739,6023.016174030953,6957.169434503272,8029.526464888264,9258.469408953013,10664.132494773536,12268.357221534894,14094.561980485634,16167.503440065215,18512.905329881276,21156.930710890836,24125.477255471233,27443.28238239365,31132.8370468429,35213.12388593475,39698.216814592466,44595.803548009506,49905.71718213135,55618.58409526842,61714.70864733179,68163.31630426679,74922.2630719971,81938.28995294284,89147.85886778972,96478.55617797615,103850.99851481363,111181.13041171484,118382.77046423925,125370.24627754651,132060.9592511587,138377.73648627725,144250.8549491611,149619.65765068482,154433.71816604683,158653.54422641132,162250.84044065315,165208.37279543644,167519.4929196518,169187.3885454539,170224.12908808916,170649.57303173834,170490.1981547522,169777.90778162167,168548.8572667371,166842.33564044314,164699.72840786236,162163.57931246236,159276.76171625612,156081.7642277481,152620.09034584617,148931.76812950222,145054.9631488591,141025.68609805065,136877.5853157021,132641.81393019293,128346.96129435924,124019.0386825147,119681.50979035586,115355.35732007597,111059.17777878713,106809.29751238225,102619.90389630297,98503.18647747315,94469.48368545237,90527.43149090797
I,247.51189579884803,170.54329325236156,123.52777581267594,95.0034507632708,77.82775779635261,67.5659319384602,61.47689332381829,57.875932992726646,55.73489950402042,54.43193738674858,53.595268392605334,53.006006425931886,52.53794931325456,52.120469961633376,51.71579065387264,51.30517746671781,50.88063961625594,50.44000541610505,49.98405357781684,49.514883449813055,49.03502267241765,48.546966395284564,48.05296324732065,47.554937714240204,47.054484072971206,46.55289458429442,46.05120114441235,45.550219331248904,45.050589410992,44.5528120347778,44.05727805980873,43.564292785012015,43.07409526670487,42.586873493400276,42.102776178611805,41.621921849111445,41.1444058036232,40.67030541425049,40.199684149873065,39.732594621028575,39.26908087990244,38.8091801559073,38.35292416522503,37.9003400997569,37.45145137544051,37.56794469074764,38.511264729819246,40.384753552761836,43.22544566315365,47.06041110896576,51.93992435776039,57.956838138590854,65.25892371448599,74.05886252774042,84.64509978790619,97.39585062363773,112.79809368045164,131.47330428420986,154.21189910472953,180.68590023974554,211.11894980370374,246.02658780867375,286.10243680997974,332.17345550941036,385.1876811375421,446.2170423056989,516.4668765189547,597.2879891724352,690.1889598382473,796.8471400360351,919.1169708562619,1059.0341589582415,1218.8140295704573,1400.8421112862702,1607.6547668266358,1841.9075338545895,2106.328855758784,2403.6571472958403,2736.5597374202875,3107.5332297561354,3518.7862513281334,3972.107391675454,4468.723252014073,5009.1537164744,5593.073526572561,6219.190636810745,6885.152314780436,7587.4892713563295,8321.606172693973,9081.823807493178,9861.474277280671,10653.046317462395,11448.373784382988,12238.856966174026,13015.704075426927,13770.179260527191,14493.84373523437,15178.778008740012,15817.77541995489,16404.499904485456,16933.60381784643,17400.804417176485,17802.920050596782,18137.869082421734,18404.6360324768,18603.210329346566,18734.50351616651,18800.25077764001,18802.902365978232,18745.509981120085,18631.612490445175,18465.12462763421,18250.231548150325,17991.29138471702,17692.7472716011,17359.049711286218,16994.589651427486,16603.642226450378,16190.3207938688,15758.54065359596,15311.991670095176,14854.118911862002,14388.11036983549,13916.890805631358,13443.120802463876,12969.200137788373,12497.274659714201,12029.24592294665,11566.782919391106
A,1179.0800742750596,1034.4704860071186,936.2658451153331,868.5451168926609,820.936706011504,786.659457518432,761.2626129081531,741.8129839392095,726.3691056422339,713.6400339417944,702.7632540458471,693.1596296567492,684.4383223660899,676.334220675754,668.6665884232893,661.3116126124082,654.1840909060081,647.2251539770206,640.3939904144625,633.662238890118,627.0101666702121,620.4240507681799,613.894373159994,607.414570099958,600.9801607177641,594.5881367013236,588.2365327111938,581.9241225914128,575.650203607358,569.4144425972863,563.2167658833176,557.057280253013,550.9362160968085,544.8538864072077,538.8106571751855,532.8069260031796,526.8431066595539,520.9196179410557,515.0368756664525,509.1952869508912,503.3952461446289,497.63713198830936,491.92130565864846,486.2481094665166,480.61786603338993,477.70650585311427,479.2635629037858,486.4581366451374,500.1531579257695,521.1131164488779,550.1593807064141,588.2898882129438,636.7793500730212,697.2742581799278,771.8951475784539,863.357412936489,975.1218145469763,1111.5867674552842,1278.3366667571095,1476.1141751627117,1707.7127820532962,1977.3051868761909,2290.1643686531816,2652.579288040652,3071.8694098529927,3556.451077999937,4115.931855883075,4761.21950224932,5504.6366234903635,6360.033261078081,7342.889194900614,8470.396291415329,9761.509199141907,11236.95038109097,12919.153164210213,14832.124534501534,17001.20826242984,19452.729149812134,22213.501346913188,25310.18837519035,28768.510139752005,32612.3029566293,36862.45211940552,41535.731866818474,46643.60325329619,52191.03433678901,58175.4170324615,64585.65887431301,71401.52435505463,78593.2890645964,86121.751299994,93938.62207339793,101987.2881931313,110203.91733938569,118518.8515916202,126858.21883938182,135145.68117459424,143304.23602120584,151257.9888702091,158933.82490643705,166262.9190473999,173182.03838221612,179634.6062275558,185571.51177486347,190951.66266215843,195742.28915484654,199919.01764430112,203465.7377934683,206374.2919824071,208644.01796687383,210281.17616817603,211298.2921036988,211713.44248651175,211549.51078913617,210833.43486457062,209595.46578709016,207868.4536102389,205687.17238925796,203087.69368842297,200106.8149630356,196781.54671360287,193148.66017413526,189244.29551666114,185103.62911512912,180760.59728924083,176247.67311160322,171595.69227578104,166833.7236531496,161988.97997828826
IH,0.0,28.008688051978776,32.84268258126199,29.859879410584902,25.18967933173634,20.987746575926103,17.794628384852054,15.561527649595865,14.074204804921404,13.112715884033445,12.500335357867218,12.109535319587334,11.853879212060324,11.677288749345056,11.54465457345926,11.434724295473245,11.33510119479692,11.238886487942171,11.14249845994062,11.044293262136486,10.943713561997251,10.840775886936022,10.73577058249615,10.62909250475358,10.521150366371346,10.412322213732768,10.302937087841116,10.193270869625547,10.083549255226156,9.973953835058548,9.864629072868336,9.755689055098555,9.64722349713388,9.539302833450112,9.431982396194666,9.325305770259643,9.219307444091788,9.11401487896653,9.009450109517562,8.905630972977914,8.802572048151596,8.700285369730338,8.598780970107331,8.49806728956488,8.398151486534644,8.299039672306886,8.264295817851014,8.354242152272509,8.609742285647968,9.054747021154787,9.703901244322783,10.569975720687594,11.66965316697661,13.027722591821558,14.680238168856066,16.677274939012243,19.0858463033904,21.99346413557663,25.51277229384717,29.787684986790804,34.850678841136805,40.74276576332146,47.54211641751726,55.365021892578554,64.36129517818955,74.710660425958,86.6213252513069,100.33036736911274,116.10528616243064,134.24614554806638,155.08785469572342,179.00221211932097,206.39936667457258,237.72833766056698,273.47620088554453,314.16550324033017,360.3494299091818,412.604231564164,471.5184407578314,537.6784849105665,611.650454043101,693.9580161419631,785.0567938096028,885.3059105823879,994.9378542649985,1114.028239724018,1242.4674220331408,1379.9361439665395,1525.8874378574703,1679.5368004180723,1839.8622133795338,2005.6149252982477,2175.3411098612305,2347.4136683218676,2520.0726515872557,2691.4721342056373,2859.7309458824957,3022.98448959107,3179.434946426357,3327.3974531138833,3465.340284597959,3591.9176176602964,3705.994028789227,3806.660435553715,3893.2416835647264,3965.2963835063483,4022.6099015885075,4065.1816009478634,4093.207528820828,4107.059758433616,4107.263542273952,4094.473332294361,4069.448589333901,4033.0301533556676,3986.117790158914,3929.6493784845993,3864.5820607020196,3791.8755549874622,3712.4777195321,3627.312370698055,3537.269286826999,3443.1962763935007,3345.8931516386983,3246.1074246735598,3144.5315301534456,3041.8013748804124,2938.4960181027227,2835.1382950625975,2732.1962089305794
IN,48.95991449450768,90.60431422915946,110.80124146515902,118.6803141085978,119.73975882273004,117.2434078212298,113.09018310388402,108.35306425224347,103.61145843296774,99.15482177085674,95.10635211234039,91.49729843800391,88.3109430612415,85.50810238530384,83.04147693868195,80.86336191669324,78.9294747667935,77.20056892339181,75.642832404421,74.22765939755121,72.9311335953259,71.73341221629637,70.61811091813587,69.57173827915375,68.58319942434154,67.6433726190232,66.74475470396656,65.88116774805982,65.04751824521655,64.23960040314284,63.453935885494204,62.68764339837729,61.93833255705008,61.20401743169518,60.48304601275299,59.77404254815089,59.07586029414748,58.38754270256038,57.7082914560048,57.0374400751189,56.374432071659626,55.71880282088637,55.07016448585712,54.42819345335132,53.792619842720235,53.16321873033208,52.65090510749492,52.40173715500003,52.5603911862032,53.25725193657012,54.60857693684593,56.723197405614755,59.7120502121397,63.69872659672461,68.83042114823972,75.28939173244957,83.30547762905158,93.17050431985717,105.25562616985066,120.03289123299487,137.83893811177668,159.00434366188287,183.91226856438166,213.0258265420888,246.90251289994714,286.20405251633196,331.7053327682603,384.3038843560633,445.03033088779466,515.0597113889384,595.7232864708299,688.5202257347986,795.1283749096385,917.4130883897822,1057.432879623444,1217.4403958320404,1399.8769846379575,1607.3589201020145,1842.6532379050032,2108.641147415701,2408.2672011425266,2744.4728659296384,3120.1138970990187,3537.861979362574,4000.0924358425136,4508.761333713852,5065.276890256464,5670.37151903445,6323.981943224654,7025.14534542047,7771.919375607379,8561.332940853903,9389.373093645392,10251.01116365298,11140.26876206306,12050.321692903934,12973.63739681019,13902.139555591499,14827.392060797498,15740.793776677987,16633.77540958456,17497.99026786328,18325.49164741938,19108.890871161555,19841.491501834447,20517.396803052183,21131.589028552677,21679.980486790133,22159.437496758837,22567.77928752139,22903.754587228897,23166.999104581002,23357.97734704798,23477.912274720176,23528.706189832446,23512.85604452405,23433.366046663577,23293.660086040676,23097.496117320585,22848.88424376616,22552.009864141066,22211.16288731734,21830.67369385519,21414.85623670406,20967.958426838253,20494.11974445868,19997.33585100009,19481.42984896928,18950.029742163384
D,1082.0,1082.0,1082.5249515061369,1083.140503925251,1083.7001512975437,1084.1722676665704,1084.5656295104027,1084.899144488128,1085.1908056813365,1085.4545907967376,1085.7003552516844,1085.9346421936916,1086.161604584534,1086.383775352918,1086.602636382938,1086.819011523213,1087.0333263004718,1087.2457738964956,1087.4564181929438,1087.665255941353,1087.8722530835048,1088.0773651154016,1088.2805478428102,1088.4817625132853,1088.680977774953,1088.8781699362162,1089.0733223909951,1089.266424700245,1089.4574715956062,1089.6464620388185,1089.833398395071,1090.0182857371585,1090.2011312761347,1090.3819439045399,1090.5607338350294,1090.7375123173185,1090.9122914180105,1091.0850838501062,1091.2559028412988,1091.4247620322642,1091.5916753979916,1091.756657186713,1091.9197218722202,1092.0808841163362,1092.2401587390757,1092.3975606946203,1092.553105051692,1092.707998223721,1092.864577210653,1093.025944896705,1093.195653062886,1093.3775279712772,1093.575635239426,1093.794353159906,1094.0385246321084,1094.3136682990623,1094.626241332874,1094.9839569011388,1095.3961683585876,1095.8743402821183,1096.4326345538502,1097.085821747538,1097.8494411006454,1098.7404969605984,1099.7781732550352,1100.9844617744407,1102.3847227806793,1104.0082188569634,1105.8886560043209,1108.0647538182675,1110.5808558280348,1113.4875825820682,1116.8425230448092,1120.7109533761566,1125.1665654589053,1130.2921801710634,1136.1804122009326,1142.9342442838688,1150.6674595060924,1159.5048714972502,1169.5822849750755,1181.046114572641,1194.0525897453963,1208.7664794337873,1225.3592834340911,1244.0068589342275,1264.886480330163,1288.1733670030385,1314.0367546705957,1342.6356275350493,1374.1142662829843,1408.597796472102,1446.187938995454,1486.9591664754405,1530.9554557134468,1578.1877977485362,1628.6325864496255,1682.2309579406924,1738.8891012244603,1798.4795097681745,1860.8430985691455,1925.792074340544,1993.1134197677636,2062.572836914933,2133.918989411874,2206.887886839326,2281.207266059727,2356.6008411718954,2432.7923143382686,2509.5090621273052,2586.4854346722423,2663.4656266261327,2740.2060986766796,2816.4775456703082,2892.0664218565344,2966.776045302651,3040.4273122237287,3112.8590580302557,3183.9281056050777,3253.50904301819,3321.493772923898,3387.7908746048356,3452.3248173537213,3515.0350609062334,3575.8750752083038,3634.8113081295187,3691.822125992514,3746.8967481103955,3800.0341930109757
R,0.0,151.9251030277969,306.27674369395214,454.0076353902783,593.1255832966269,724.2384907206058,848.6831276530625,967.8031597367185,1082.7185451493108,1194.2910762139907,1303.1580001462446,1409.7812319642003,1514.4928565159582,1617.5315065076127,1719.0695348837603,1819.232586690243,1918.1134165164358,2015.7815427485943,2112.2899659990926,2207.6798467688373,2301.9837747737447,2395.2280686650147,2487.434407370824,2578.6209988523115,2668.803426704866,2757.995270599409,2846.208566446936,2933.454151770162,3019.74192791732,3105.081061313938,3189.480139478958,3272.947293066856,3355.4902920914315,3437.1166223066484,3517.8335461743995,3597.648151741994,3676.5673919505484,3754.598116308455,3831.747096429399,3908.021046608891,3983.4266403667907,4057.9705236947284,4131.659325601548,4204.499666436129,4276.4981643773845,4347.661440410093,4418.324277427153,4489.084240343544,4560.734125687625,4634.214520196711,4710.591174478413,4791.055236560779,4876.942865020646,4969.771435786476,5071.29106489806,5183.5518814952475,5308.989202312751,5450.530487625458,5611.729804913819,5796.937646073453,6010.737746362165,6258.122915261302,6544.667533494115,6876.688848914387,7261.402501667205,7707.079697689656,8223.212197249626,8820.689498147318,9511.99099342003,10311.394524280984,11235.201499763745,12301.977462644552,13532.805518701887,14951.548319527486,16585.112241143477,18463.705017033342,20621.075402403807,23094.72056957774,25926.044044587776,29160.444363110946,32847.31260836448,37039.91602295614,41795.14541954022,47173.10657637262,53236.54050136539,60050.064482297916,67679.23502593518,76189.44461103923,85644.67581059007,96106.14771119205,107630.89950679064,120270.3635742918,134068.9843953078,149062.9398870262,165279.01799893068,182733.69420054404,201432.4454578575,221369.3244289451,242526.80494591763,264875.8973911472,288376.5211757082,312978.1118329725,338620.43266075104,365234.55556300556,392743.9727396633,421065.7999771132,450112.0332208483,479790.822521056,510007.73096418165,540666.9504790583,571672.4511059347,602929.0451560011,634343.3524347965,665824.6571754457,697285.651398161,728643.0629978402,759818.1699182261,790737.20428747,821331.652379663,851538.457762029,881300.136032694,910564.8102015418,939286.1760724809,967423.4070056787,994941.0072271555,1021808.6224610588,1048000.816132673,1073496.8187680875,1098280.257534196
G,217141.0,217141.0,217147.01821216327,217156.90723387158,217169.27469808803,217183.21491608577,217198.136808458,217213.6532749995,217229.5098802471,217245.5387611673,217261.62875398484,217277.7059754531,217293.72115939035,217309.64136969298,217325.4445567751,217341.1159671342,217356.645764732,217372.02744773927,217387.2567893968,217402.33112573775,217417.24887392006,217432.00920462955,217446.61181794625,217461.05678906158,217475.34446141415,217489.47537219763,217503.45020009455,217517.2697283572,217530.93481854585,217544.4463917088,217557.8054147876,217571.01289071012,217584.06985110018,217596.977350853,217609.73646404748,217622.34828082108,217634.81390494137,217647.13445188437,217659.31104728315,217671.3448256493,217683.23692929643,217694.98850741412,217706.600715256,217718.07471341416,217729.41166716057,217741.17441233137,217753.8002100714,217767.6495201735,217783.04863108275,217800.3253833825,217819.83924002975,217842.00787605924,217867.33275938852,217896.4262204415,217930.04249080995,217969.11526961147,218014.80463277674,218068.55658832833,218132.1793453838,218206.60851381219,218293.2293324384,218393.78848381824,218510.37105017062,218645.4111451859,218801.72111985704,218982.53202703773,219191.54166537212,219432.96812436223,219711.60732670384,220032.8930889833,220402.9579221964,220828.69227716723,221317.79926557685,221878.84110062083,222521.2726557942,223255.45671049005,224092.65474053213,225044.9866552601,226125.3528411488,227347.31241677736,228724.91289122283,230272.46855129045,232004.28789191064,233934.35412625753,236075.96699289835,238441.3582979813,241041.29737425162,243884.70537017277,246978.29854705624,250326.28028097982,253930.09920044962,257788.28705608804,261896.38494671564,266246.960982912,270829.71695328207,275631.67660619307,280637.4441736693,285829.5189796638,291188.6504592853,296694.2175939385,302324.617463387,308057.6490957221,313870.8808084409,319741.99153915595,325649.07905618567,331570.9302534421,337487.2508520024,343378.85367644834,349227.8062080529,355017.5393290473,360732.9200741167,366360.2918233814,371887.48574076145,377303.8074223286,382600.0027112078,387768.2064971216,392801.87808463443,397695.7264150274,402445.6280882569,407048.54077461147,411502.4142470277,415806.10091706726,419959.2674292956,423962.3085662856,427816.26444329973,431522.74172955804,435083.83942206524,438502.07951732003,441780.3427741689
H,2336554.4374399646,2336554.4374399646,2336554.4374399646,2336554.4374399646,2336554.4374399646,2336554.4374399646,2336554.4374399646,2336554.4374399646,2336554.4374399646,2336554.4374399646,2336554.4374399646,2336554.4374399646,2336554.4374399646,2336554.4374399646,2336554.4374399646,2336554.4374399646,2336554.4374399646,2336554.4374399646,2336554.4374399646,2336554.4374399646,2336554.4374399646,2336554.4374399646,2336554.4374399646,2336554.4374399646,2336554.4374399646,2336554.4374399646,2336554.4374399646,2336554.4374399646,2336554.4374399646,2336554.4374399646,2336554.4374399646,2336554.4374399646,2336554.4374399646,2336554.4374399646,2336554.4374399646,2336554.4374399646,2336554.4374399646,2336554.4374399646,2336554.4374399646,2336554.4374399646,2336554.4374399646,2336554.4374399646,2336554.4374399646,2169657.692093131,2002760.9467462976,1835864.2013994642,1668967.4560526307,1502070.7107057972,1335173.9653589637,1168277.2200121302,1001380.4746652967,834483.7293184632,667586.9839716298,500690.2386247963,333793.4932779628,166896.7479311293,0.0025842958129942417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
