series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
S,1766574.8954106122,1764153.1201445255,1762204.8641105583,1760503.3977934937,1758930.120084635,1757422.7664897928,1755948.641438953,1754490.6390479666,1753039.8988390444,1751591.9330527938,1750144.5793171271,1748696.9159969178,1747248.6863018472,1745799.991690902,1744351.1280232966,1742902.4974852407,1741454.5608101883,1740007.8109727218,1738562.7583629615,1737119.9221288993,1735679.8248583917,1734242.989092499,1732809.9348639217,1731381.177828124,1729957.2277540916,1728538.5872481377,1727125.7506411702,1725719.203000416,1724319.4192430875,1722926.8633383967,1721541.9875891996,1720165.2319872356,1718797.023637428,1717437.776247569,1716087.8896802077,1714747.749563864,1713417.726960873,1712098.178089293,1710789.4440963836,1709491.850881232,1708205.7089641388,1706931.3134004227,1705668.943736329,1704418.8640047607,1703181.3227585817,1701956.5531392682,1700744.7729787247,1699546.1849321073,2020410.4947003992,2341036.823806072,2661429.6132861245,2981575.162583678,3301441.998294441,3620981.427178591,3940127.048729347,4258792.7408544095,4576868.935421327,4894217.041056198,5210661.77655193,5525981.024646729,5839892.639209924,6152037.455196485,6461957.572211795,6769068.830706521,6784379.623049327,6762400.435335822,6736270.885903101,6705251.853126121,6668598.501193432,6625550.073803251,6575348.1277559595,6517269.632782935,6450669.31542622,6375027.012917175,6289995.246730325,6195441.507781018,6091479.692382829,5978486.081673234,5857097.160280123,5728189.035501605,5592840.683842523,5452285.185393108,5307854.17487649,5160920.872581755,5012846.415324545,4864933.068428761,4718386.565580836,4574288.541354208,4433578.951947906,4297047.598034771,4165333.377126575,4038929.666012103,3918194.2098978623,3803362.0122456294,3694559.921623263,3591821.8533070628,3495103.830084472,3404298.2562724436,3319247.0385030042,3239753.3307490614,3165591.808899158,3096517.4746979317,3032273.0545570417,2972595.100792963,2917218.926408407,2865882.514282798,2818329.541574886,2774311.6535228537,2733590.110191474,2695936.9169593286,2661135.536020557,2628981.2628207062,2599281.3387456005,2571854.8598770173,2546532.531381692,2523156.3081503944,2501578.954611166,2481663.550116696,2463282.960836128,2446319.294542172,2430663.3509514453,2416214.0772322062,2402878.0358320107,2390568.889802934,2379206.909230703,2368718.5011348035,2359035.7642387063,2350096.0692617395,2341841.6648143665
E,0.0,2421.775266086767,3710.5590415271486,4401.605116143939,4776.284215241001,4983.010545902376,5100.214801907369,5169.380573127378,5212.4496700829895,5241.016222835755,5261.191783116107,5276.182932484051,5287.658225273274,5296.473603421737,5303.057527572431,5307.615457496886,5310.238357087558,5310.9601787822285,5309.788213911742,5306.71901043669,5301.746616476552,5294.866747699716,5286.078794798903,5275.386691622603,5262.799187274184,5248.329811065718,5231.996683555715,5213.822254584127,5193.833010702558,5172.059173924813,5148.534402881111,5123.295501755827,5096.382139422468,5067.836579677324,5037.703422728935,5006.029357757761,4972.862926224045,4938.254295567945,4902.255042960066,4864.917948793857,4826.296799649692,4786.446200496619,4745.421395928761,4703.278100257996,4660.072336302997,4615.860282727259,4570.698129786222,4524.641943346755,4477.7475370417615,4681.603582721146,5063.487329053594,5588.620710035758,6249.4689026399865,7057.768722783384,8039.768207611307,9234.289391577578,10693.028742953886,12482.628535308897,14688.273555424374,17418.78802348075,20813.391166437952,25050.410416344093,30358.348312263315,37029.74315027957,45438.22497723572,55044.15524245101,66184.66176736388,79180.98658016205,94272.6086596993,111649.71508933119,131448.39011270917,153732.2480187586,178469.8235145549,205513.10891404844,234581.71617764025,265256.64013402874,296986.5692758586,329107.93459788937,360877.6597064948,391515.39225200634,420250.4079867867,446367.7545635399,469248.61327303044,488401.0900141979,503479.321565005,514290.4980143241,520790.845046785,523072.6076191705,521344.5898904576,515908.89220289397,507136.25328577415,495441.9769368408,481263.90739289194,465043.4015179693,447209.78543100174,428168.4089888696,408292.1339461156,387915.9067534251,367333.9624670989,346799.1658201176,326524.002176826,306682.7692756028,287414.577268848,268826.829396907,250998.92129801042,233985.9585521518,217822.34669055266,202525.15421417597,188097.18688351053,174529.74111017917,161805.0265594943,149898.2641213791,138779.47633098628,128414.99417408193,118768.70794177441,109803.09121562472,101480.02683778964,93761.46238755857,86609.92066101584,79988.88824696664,73863.10273674387,68198.7565566791,62963.63297514937,58127.18757605241,53660.586442378146,49536.71047105553,45730.13364271025,42217.08168712422,38975.37640107446
I,1224.382416427038,1100.9166463388522,1056.38043980667,1051.7132172430333,1066.4863165804757,1090.0549031258054,1116.9216295415667,1144.2964723850728,1170.8095046462315,1195.83125924909,1219.1140108109594,1240.6027806184634,1260.3361568046128,1278.3946392517241,1294.8741064825704,1309.872530239155,1323.4836428791477,1335.7942218826715,1346.8832261736952,1356.8218526717092,1365.674024093426,1373.4970538553962,1380.342358326041,1386.256152361303,1391.280098533821,1395.4518983636426,1398.8058229676524,1401.3731850115819,1403.1827558796294,1404.2611327457817,1404.6330603604463,1404.3217121848534,1403.3489351862247,1401.7354622380547,1399.5010956968426,1396.6648653708016,1393.2451637667202,1389.2598612012769,1384.7264030925344,1379.6618915044412,1374.0831527996752,1368.0067930616576,1361.449242772666,1354.4267920794573,1346.9556178386642,1339.0518035096031,1330.7313528504326,1322.010198273363,1312.9042046245759,1303.4291690735365,1300.505575264526,1308.3597618756444,1329.837205413747,1367.2896107533988,1423.153722226194,1500.341091159584,1602.535361451675,1734.4678242856778,1902.2220466714718,2113.6065135505232,2378.6296068722804,2710.1121332151297,3124.4772677939345,3642.764635082355,4291.922614565087,5106.438529964245,6102.508586389165,7303.950163272384,8740.99722529695,10447.408827848774,12458.760553695334,14810.776176183103,17537.323366472086,20667.99086251456,24225.320785721837,28221.885285923552,32657.486771389773,37516.81370109394,42767.88311924709,48361.53925612586,54232.16197102492,60299.591304536734,66472.12463899491,72650.31958462909,78731.25861862444,84612.90816137282,90198.23085737866,95398.77288795623,100137.53223520682,104351.00352038731,107990.37805674298,111021.94601673874,113426.79721615886,115199.94747991058,116349.0307780981,116892.69656997791,116858.84084597185,116282.78189424564,115205.47104120845,113671.80706496935,111729.10249398343,109425.73176532632,106809.97586645711,103929.06583553652,100828.4182612853,97551.04942300566,94137.15055736425,90623.80450313378,87044.82323639441,83430.68617989586,79808.56031571997,76202.3847718792,72633.00446999095,69118.3394442833,65673.57844943213,62311.387381944325,59042.12479357565,55874.05834598315,52813.577431533784,49865.398366608635,47032.75956004637,44317.60488505645,41720.75415539072,39242.06014431608,36880.55200641816,34634.5652850269,32501.85892823991,30479.719908631247,28565.056158529038
A,10921.433958196914,8737.147468307721,7582.711103194887,6974.731975570505,6657.557341177377,6495.561084269718,6416.582827124468,6382.098707945475,6371.447256581931,6373.4719408449255,6382.086458978036,6393.9182363825585,6407.054372868977,6420.373108376932,6433.18661970817,6445.04956062657,6455.655962755693,6464.7833246917835,6472.261958857488,6477.957900532457,6481.763132674623,6483.589784277269,6483.366509476469,6481.036082384887,6476.5536855283335,6469.885607220815,6461.008190883174,6449.90694822891,6436.575785668377,6421.016313793858,6403.23722120403,6383.253700388512,6361.086917166344,6336.763517464499,6310.315166686015,6281.778117905929,6251.192805840076,6218.6034640639755,6184.057763376422,6147.606469539778,6109.303118906992,6069.203710677244,6027.3664147164045,5983.851294041555,5938.720041205306,5892.0357279293285,5843.862567430548,5794.265688960515,5743.3109241408765,5691.064604727676,5699.183486190539,5799.186171939084,6007.771831476659,6336.454833448639,6797.320535273976,7406.464285033284,8186.268276828684,9167.296599645551,10390.318469944861,11908.807503231152,13792.189156929246,16130.09284609227,19037.887139013637,22663.8177417458,27198.11178747656,32884.437577748606,39785.59453449572,48034.37089710956,57815.65618525469,69336.00054543056,82807.2130738239,98432.0624723077,116388.34022384774,136810.57496713984,159770.14863847292,185255.51132132945,213154.82599575806,243243.6295909853,275179.8709608053,308507.96041493554,342672.3500803443,377039.88306015707,410928.9714746068,443642.82181962417,474503.55469337053,502884.17891618283,528235.8903313726,550108.9270738722,568166.0666248773,582188.6584873478,592075.7541726211,597837.3735122868,599583.2231445742,597508.2783797212,591876.5895654778,583004.5212481894,571244.4185367434,556969.4559946217,540560.187855294,522393.1035469014,502831.3107671676,482217.32458700356,460867.8354005833,439070.2578713296,417080.82236210606,395123.9538877602,373392.68555032264,352049.8683324421,331229.96239670727,311041.2228919363,291568.12279032276,272873.8843526747,255003.01800723354,237983.79185297032,221830.5762167881,206546.02558208557,192123.0748633922,178546.73867215574,165795.71122859383,153843.77128663618,142661.00122013615,132214.83261771096,122470.93266880844,113393.94657510184,104948.1114291202,97097.75666675149,89807.70548578714,83043.59065992842,76772.09706887607
IH,0.0,49.042552866107094,69.50524347014995,78.32271699819671,82.70395316141071,85.5655317632652,87.99210454020121,90.32541504214304,92.63076053114212,94.887098064556,97.0583123954658,99.11577021231614,101.04243492011551,102.83102579689647,104.48099524299141,105.99589996401453,107.3815068793341,108.64455817381935,109.79202272348982,110.83067367742764,111.76687187540199,112.60647317912738,113.35480709480998,114.01669422706226,114.5964831811083,115.09809568601159,115.52507365394885,115.88062481593673,116.16766526892229,116.38885822839941,116.54664880848927,116.64329493004348,116.68089459441991,116.66140981881053,116.5866875444018,116.45847782168639,116.2784495593863,116.04820410100272,115.7692868693689,115.44319729649679,115.07139723431933,114.65531802198132,114.19636636720622,113.69592918290994,113.15537750552937,112.57606960834252,111.95935341123115,111.30656827773609,110.619046280748,109.89811300964446,109.14508798402022,108.63785431721945,108.68966417569007,109.5767834856028,111.53653824940665,114.7894866141084,119.56651795041812,126.13480017285387,134.82225992518346,146.042467218752,160.3224538894642,178.33615111607463,200.94624757495825,229.2575165829427,264.68506290225025,309.0414434541751,364.6471001795344,433.3529520270539,517.0719317651033,618.0061163335065,738.6485805600694,881.7159211537744,1050.046473430697,1246.4672973417548,1473.6282188918344,1733.8049904881273,2028.6802169171601,2359.117712267441,2724.951701051972,3124.815222762667,3556.031147711068,4014.5840908425234,4495.182948574418,4991.413349110811,5495.96895867091,6000.942137091362,6498.149123993933,6979.4632292749775,7437.131142931186,7864.0516978570195,8254.00219791659,8601.80374265962,8903.422987995003,9156.01288157409,9357.89877373521,9508.51883542387,9608.328995464744,9658.682834707033,9661.696291702814,9620.105900379709,9537.12782936413,9416.32342037665,9261.475378059746,9076.477348262004,8865.238397917135,8631.602905711294,8379.285592234277,8111.820847558261,7832.5251289523,7544.470972268428,7250.47105667339,6953.0707544714205,6654.54765940586,6356.916695528667,6061.939546078918,5771.137293371163,5485.805315608326,5207.029637039381,4935.704068771049,4672.5476056394,4418.121658233524,4172.8467979692,3937.0187773729704,3710.8236583271164,3494.3519391373684,3287.6116182742107,3090.54016991108,2903.0154353135213,2724.865456015849
IN,74.42321722207876,146.6742781100376,209.31180108498165,267.4140496401096,323.5368006790147,378.919495074112,434.1183599743497,489.33923582093246,544.6123656873151,599.8838399140554,655.0630605682506,710.0470161455711,764.7323598491371,819.0211067699772,872.8230249680341,926.0563439695718,978.6476350410828,1030.531310034768,1081.6489698016533,1131.9487191241815,1181.3845050810078,1229.9155043733183,1277.5055689486087,1324.1227310985223,1369.7387652788134,1414.3288021812039,1457.8709900066888,1500.3461978802516,1541.7377566091466,1582.0312323649102,1621.2142292829815,1659.2762173833296,1696.2083826020385,1732.0034960796515,1766.6558001751384,1800.1609089653005,1832.5157212502718,1863.7183443189724,1893.7680269365444,1922.6651002014473,1950.410925085355,1977.0078456164124,2002.4591467976973,2026.7690164696266,2049.9425104290603,2071.9855202103954,2092.9047430161877,2112.7076533579047,2131.402476032257,2148.998160116009,2165.5043537130723,2181.351080024981,2197.21270636367,2213.9168778637136,2232.4100302741244,2253.7590919342406,2279.1768278183667,2310.0645141683167,2348.0701169989916,2395.163289204528,2453.73082954446,2526.6982267786475,2617.684888406463,2731.2028550024124,2872.9113549392637,3049.9424814281642,3271.3164540687344,3546.7746982910967,3887.2220435304293,4305.082795073197,4814.4706559512815,5431.249835593362,6172.992966256241,7058.818418215075,8109.085093094513,9344.927893457589,10787.62905636705,12457.837653512566,14374.669380424526,16554.73795029326,19011.18428085972,21752.77707818614,24783.156653822,28100.28299260469,31696.13108519143,35556.65437584296,39662.014240399854,43987.05272866995,48501.96956135966,53173.153713198655,57964.11501907962,62836.46153419732,67750.87281387519,72668.02659909337,77549.44535203547,82358.23858660884,87059.72611659249,91621.93558846969,96015.97460826255,100216.28324840085,104200.77672760544,107950.89070148967,111451.543060544,114691.02661547373,117660.84677452556,120355.51748885248,122772.32754244431,124911.08784613943,126773.86888370181,128364.7359456315,129689.4883407629,130755.40744190839,131571.01722671496,132145.85993118398,132490.28854302486,132615.27711972498,132532.2493115255,132252.92498904854,131789.18450437632,131152.94983788504,130356.08168652114,129410.2914188904,128327.06674620527,127117.6099249134,125792.78730726473,124363.08908211566,122838.59809316917,121228.96668003865,119543.40055447587
D,1501.0,1501.0,1501.5492659215186,1502.3277095255705,1503.204906914648,1504.131173195493,1505.089488534062,1506.0749809597637,1507.0866059554103,1508.124050318941,1509.1867651719165,1510.2737971529896,1511.383872213954,1512.5155255004456,1513.6672106155993,1514.837375029552,1516.0245060467703,1517.2271555599625,1518.4439509728409,1519.6735977390124,1520.9148771698804,1522.1666418168695,1523.4278098157815,1524.6973589917282,1525.974321159544,1527.2577768374956,1528.5468504663625,1529.8407061555693,1531.13854394043,1532.4395965159106,1533.7431264044105,1535.0484235130757,1536.3548030372742,1537.661603669533,1538.9681860765443,1540.2739316103402,1541.5782412231374,1542.880534558567,1544.180249194959,1545.476840019043,1546.7697787108607,1548.0585533228775,1549.342667938246,1550.6216423949388,1551.8950120640516,1553.1623276719897,1554.4231551575242,1555.6770755558348,1556.923684902682,1558.1625941527527,1559.3934291070461,1560.6158303448944,1561.8325506760375,1563.0498512663225,1564.277087399861,1565.5262723603546,1566.8118896347628,1568.1510086207604,1569.5636909385355,1571.0736709153364,1572.7093147725545,1574.5048913734734,1576.5022174639457,1578.7527717152973,1581.3204060196283,1584.28482113448,1587.7460180605394,1591.829986243354,1596.683445017977,1602.4745381502557,1609.3960721886401,1617.6687755772127,1627.543802052125,1639.3040940875098,1653.2642566138431,1669.7685720363124,1689.1868106919117,1711.9075877251464,1738.3291928103663,1768.8480589725357,1803.845309576349,1843.6720847164747,1888.6345530486283,1938.9796240196283,1994.8823675078047,2056.4360240428405,2123.645270305118,2196.4231266393895,2274.5915962294357,2357.88584687395,2445.961514845102,2538.404543572261,2634.7428739265683,2734.4592742029117,2837.0046263293307,2941.8110565220204,3048.304398634007,3155.9155928219543,3264.090739053526,3372.2996353477884,3480.0427283083873,3586.8564849278164,3692.3172584509707,3796.0437675917074,3897.698339050215,3996.987080225814,4093.659154722657,4187.505330207261,4278.355958745944,4366.078536004852,4450.574969383156,4531.778667674716,4609.651547289385,4684.181033191386,4755.377117055919,4823.269521027161,4887.905003040257,4949.344828984377,5007.662427983987,5062.9412396534735,5115.27275619295,5164.754757478975,5211.4897336964605,5255.583487394263,5297.143904973839,5336.27988639798,5373.100421210604,5407.713798679977,5440.22693992312
R,0.0,2186.4586462233137,3961.253996894715,5516.622423843227,6956.2413840694535,8336.125779334852,9686.574351883331,11023.98056921112,12357.199999928986,13690.9875384372,15027.855294290517,16369.078472544714,17715.241278681184,19066.534302438795,20422.917494572117,21784.210349892095,23150.142581580665,24520.38328061148,25894.558297056188,27272.26111937772,28653.060116695906,30036.503704757655,31422.124290076114,32809.44146364833,34197.96470741112,35587.19576296588,36976.63074975477,38365.76208536606,39754.08024130189,41141.07535648813,42526.23872431744,43909.064165067335,45289.049293021795,46665.696685941744,48038.514963343005,49407.019779162874,50770.73473372196,52129.19220935402,53481.934133645256,54828.51267387181,56168.49086593325,57501.44318083949,58826.956031609036,60144.628223271684,61454.0713485316,62754.91013153373,64046.782722081996,65329.340942579474,66602.25048989462,67865.19109430168,69117.8566375949,70372.27325367452,71646.91415156143,72963.75950941403,74347.24657808218,75824.36901623335,77425.47451221464,79185.53127263731,81145.78698006153,83355.84561842258,85876.25805524022,88781.77799306344,92165.48763101433,96144.05459925358,100864.44739195146,106512.51121241375,113323.88628075825,121548.12824119085,131462.50596042062,143382.48492899898,157666.2398395291,174715.89266190794,194975.8608715824,218927.96917389394,247082.83674365625,279967.2006661346,318107.17613460455,362007.9241277086,412130.7223034592,468868.9179877153,532524.5820255899,603287.7990693292,681220.3882258494,766245.4666784748,858143.7140315004,956556.5605867975,1060995.9061933449,1170859.458624624,1285450.4136454477,1404000.003141086,1525691.4052708612,1649683.614346017,1775134.0703171315,1901219.1082663145,2027151.5704944746,2152195.198051761,2275675.6637204215,2396988.3117136806,2515602.825138791,2631065.1506792377,2742997.0750220027,2851093.875711757,2955120.467854431,3054906.445016352,3150340.374803114,3241363.6630239105,3327964.2499818886,3410170.352047905,3488044.413964929,3561677.394049171,3631183.466591502,3696695.193713722,3758359.1926571936,3816332.3036361584,3870778.247448569,3921864.750380243,3969761.105908318,4014636.1376669495,4056656.5254860125,4095985.455518854,4132781.556075096,4167198.082378424,4199382.315755781,4229475.1454753755,4257610.80438442,4283916.73249999,4308513.54566468,4331515.08921296,4353028.559251154
G,259563.0,259563.0,259629.47937137834,259731.3367303155,259852.16377206234,259983.2760088582,260120.06302345122,260260.06737425673,260401.9703723298,260545.05564628597,260688.925091464,260833.34836943712,260978.18316461422,261123.33296435088,261268.72475218857,261414.29727320364,261559.99491248233,261705.76455213132,261851.55400627476,261997.31128918868,262142.98432038838,262288.52085600595,262433.8685345657,262578.97497786605,262723.7879156922,262868.2553179982,263012.3255261268,263155.94737884245,263299.0703311729,263441.6445652196,263583.6210926988,263724.95184927905,263865.5897809285,264005.48892255285,264144.6044692276,264282.8928403343,264420.3117369039,264556.8201924635,264692.37861767045,264826.94883901015,264960.4941318257,265092.97924793826,265224.37043811235,265354.635469614,265483.7436391048,265611.6657811108,265738.37427230034,265863.8430318023,265988.0475177915,266110.964720565,266239.4779098688,266378.47406666813,266531.8854904604,266703.4376447473,266897.1781765773,267117.87525939674,267371.36275779275,267664.8936394219,268007.5502474884,268410.75330529135,268888.9108346829,269460.2525195916,270147.90325274115,270981.26047632244,271997.75200689695,273245.0620588801,274756.0614029616,276572.875196874,278746.4469096084,281334.29387032986,284399.1541724598,288007.5015140808,292227.55584859394,297126.67338579724,302768.14742425777,309207.57442094217,316489.0488570631,324641.5313395403,333675.767056649,343582.1032463567,354329.4659460818,365865.62429061567,378118.72148856276,390999.91375581885,404406.85448203434,418227.7028771535,432345.3253884658,446641.3868286541,461000.08419694484,475311.34630815615,489473.39483612037,503394.62848389894,516994.8463250961,530205.8665541783,542971.622910471,555247.834426057,567001.3472611427,578209.2428836452,588857.7972684196,598941.3633419088,608461.2353387467,617424.5403607402,625843.1901006703,633732.9149192241,641112.3934687827,648002.4838657731,654425.5569121174,660404.9278648737,665964.380523012,671127.7757055284,675918.735312023,680360.3928853584,684475.2017650427,688284.7923888693,691809.870957386,695070.1524351736,698084.3216612093,700870.01713267,703443.8327820101,705821.3337670524,708017.082927751,710044.6751270582,711916.7771871302,713645.1715590192,715240.8022288671,716713.8216722636,718073.6379270508,719328.9610696178,720487.8485565328
H,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,5186595.111641958,4864545.593581101,4542496.0755202435,4220446.557459386,3898397.039398528,3576347.5213376703,3254298.0032768124,2932248.4852159545,2610198.9671550966,2288149.4490942387,1966099.9310333808,1644050.412972523,1322000.894911665,999951.3768508072,677901.8587899494,355852.34072909167,33802.822668233886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
