series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
S,475467.88983156584,474143.0449868882,472897.399248631,471705.9354307289,470550.91961993935,469419.7648415764,468303.5466857793,467195.9606774149,466092.58396292466,464990.34926799306,463887.1683109901,462781.66118840844,461672.9613024378,460560.57436049706,459444.27620373876,458324.03859129874,457199.97515589383,456072.30194194167,454941.3085046651,453807.3366711217,452670.7648700734,451531.9965175078,450391.4513625444,449249.55900005833,448106.7539742625,446963.4720550792,445820.147383211,444677.2102624581,443535.08543773927,442394.19074073876,441254.9360166497,440117.7222684065,438982.9409714586,437850.97352425806,436722.1908084571,435596.95283924387,434475.6084909363,433358.4952863848,432245.93924124644,431138.2547560396,430035.7445502491,428938.6996337614,427847.3993116641,426762.11121901043,425683.0913825864,424610.5843070507,423544.8230830853,565126.3964648761,706247.1626092532,846897.5487825964,987065.1599370908,1126727.2393599665,1265846.1469386155,1404366.4629943892,1542212.815062753,1679287.8258738108,1815469.790869581,1950609.8452231514,2084528.4916331512,2217011.4460995346,2347804.8330912665,2476609.836180641,2603076.995394291,2726800.4451352563,2847312.5089392043,2964079.205547243,3076497.3624689844,3183894.156255266,3285529.9714539424,3380605.454815446,3468273.501036733,3547656.61683554,3617869.6720971134,3678047.495408532,3727376.1770919543,3765126.4007388693,3790686.731467965,3660954.252552204,3525612.9392857146,3385145.3154755207,3240501.076824626,3092869.3139690296,2943538.4807110606,2793804.9578832556,2644911.320151367,2498004.6271248097,2354109.33734559,2214111.455170417,2078751.490960059,1948624.316661412,1824184.2985827497,1705754.308153453,1593537.4014973028,1487630.1388026283,1388036.689013092,1294683.0324872795,1207430.7303216814,1126089.8704433464,1050430.924734332,980195.3569179998,915104.9074352956,854869.5497563584,799194.1639332656,747784.0096189586,700349.1044385443,656607.6267641409,616288.4668067127,579133.0485180208,544896.5388735646,513348.5521915269,484273.44646270666,457470.2971853838,432752.6226393297,409947.9234086856,388897.0886150335,369453.7119521465,351483.3523187853,334862.7666434451,319479.13634849805,305229.3037385518,292019.0303262162,279762.28562545247,268380.5721442927,257802.2900947991,247962.1436157379,238800.58898873758,230263.32434776728,222300.8196706382,214867.88534541934
E,0.0,1324.8448446776829,2305.5216139993445,3035.881109101577,3583.7206980708215,3998.1313368196097,4314.723225252783,4559.364588566601,4750.868385343492,4902.929403206398,5025.524479568084,5125.926706236091,5209.441250959504,5279.93994270838,5340.250110924981,5392.437701179985,5438.013596348917,5478.084091031324,5513.460710101614,5544.740401624678,5572.364122348054,5596.65965044403,5617.872875318677,5636.1906627409635,5651.757555988603,5664.687963974202,5675.075043047519,5682.997155190953,5688.522548871584,5691.712736097766,5692.624912967281,5691.313678617034,5687.832239841502,5682.233239073754,5674.569307059979,5664.893414861235,5653.259080196558,5639.720468708747,5624.3324201053565,5607.150421291123,5588.230542823404,5567.629350746344,5545.403802694381,5521.611134809158,5496.308744271375,5469.554070952806,5441.40448072764,5411.917152260994,5849.134526901479,6669.288397647757,7808.186513093569,9224.836737068916,10901.328760475868,12841.113902076799,15066.906002767622,17618.880940625993,20553.506706200296,23943.11796085962,27876.214908157588,32458.384409612674,37813.68748542828,44086.3138484382,51442.25881457047,60070.724260160576,70184.88255365018,82021.5763843515,95839.47113520945,111915.1500713554,130536.67180787811,151994.22103426856,176567.69755559746,204511.40919514035,236036.43904400856,271291.6948732578,310345.0411646539,353166.1762342779,399612.9772077961,449422.8606819979,494879.60181208764,536371.3052598641,573741.2828587858,606624.7891426249,634630.664572069,657438.05448546,674844.0813202562,686781.9580827625,693320.8562454298,694654.5671715167,691083.6179475717,682994.0686567044,670835.2730040258,655098.2088325173,636295.4737221639,614943.6416724058,591548.3631274608,566592.3470277812,540526.1797878232,513761.80370859354,486668.38867588935,459570.2787570436,432746.672488339,406432.6956696084,380821.54235877946,356067.38820133056,332288.81574147876,309572.5302675864,287977.1841714974,267537.1656258898,248266.24214516807,230160.9803981721,213203.8900473579,197366.26131520918,182610.68359822145,168893.24610922128,156165.43168102912,144375.7220077103,133470.93723952942,123397.33546696372,114101.49866851802,105531.03154476066,97635.09864814412,90364.82361927902,83673.572376583,77517.13995076001,71853.8584396692,66644.64137873569,61852.977743958836,57444.88687229616,53388.84382305576
I,1858.6844514261568,1690.8750669496517,1565.3918859662626,1471.3538282798052,1400.7873030718595,1347.8292915850784,1308.1530834693422,1278.553050518185,1256.6435999424627,1240.6404180854977,1229.201198744932,1221.309473018667,1216.1897311925813,1213.2453012042522,1212.0128012960809,1212.1286808778982,1213.3045895861144,1215.3092022580774,1217.9547714066964,1221.087146429664,1224.578338870759,1228.3209606460932,1232.2240426001295,1236.2098724071595,1240.2115869775496,1244.171324811165,1248.0387951709981,1251.7701586242808,1255.3271411256724,1258.676324099893,1261.7885678899434,1264.6385369098784,1267.2043029284018,1269.4670088791659,1271.4105800074615,1273.0214724323923,1274.28845163024,1275.2023951498147,1275.7561152166454,1275.9441978893785,1275.7628561866557,1275.2097951708295,1274.2840874039634,1272.9860575169942,1271.3171748808438,1269.2799535580587,1266.8778588596126,1264.11521994457,1260.9971479883616,1267.1289527351862,1289.5304540620934,1333.2709594878743,1402.1212535065054,1499.1442963739,1627.1973069078435,1789.345457632063,1989.2012876716403,2231.2094741803717,2520.897166660418,2865.107850669542,3272.2329916560616,3752.4512260011084,4317.979895360953,4983.338268902881,5765.615737752049,6684.731465832954,7763.66444118222,9028.624858104196,10509.12992932802,12237.9407019344,14250.81280198517,16586.015104726466,19283.57787629532,22384.247106656294,25928.144528014403,29953.161585288268,34493.14717449491,39575.97890235358,45221.63126688937,51289.99732558033,57661.5804915463,64224.45875670583,70869.33308039748,77488.74876224891,83978.37104754742,90239.12343618706,96179.50448683018,101717.69274108538,106783.22902574475,111318.18002344805,115277.76187339594,118630.45128863047,121357.64214871825,123452.92275891983,124921.05645499144,125776.74860921473,126043.27843938455,125751.06601896274,124936.23489000452,123639.21976781993,121903.45782739716,119774.19158760124,117297.40188128303,114518.88107794119,111483.4497388016,108234.31425662758,104812.55871114695,101256.76104845738,97602.72162802731,93883.29101561871,90128.28347221183,86364.46274108639,82615.5873233153,78902.50332835116,75243.27408208544,71653.336879782,68145.6785140392,64731.022433661514,61418.02155811142,58213.451856799824,55122.40278601522,52148.46155025948,49293.88891702385,46559.784967202526,43946.24371332139,41452.49597263165,39077.04025119782,36817.76168823994,34672.039337020346
A,16263.886413387994,15598.91299457215,15198.921273006445,14991.303162135096,14923.264323864518,14956.337784768744,15062.440570695007,15221.029512422247,15417.044405468407,15639.417497764427,15879.991603869788,16132.733776015877,16393.163162569777,16657.934330229007,16924.53357415853,17191.057436779265,17456.051097906493,17718.390404648973,17977.195732989585,18231.769082335923,18481.54813569099,18726.07271351389,18964.960283522396,19197.888087947653,19424.58010555074,19644.797544365843,19858.33191077975,20064.9999561661,20264.639989300238,20457.109179701612,20642.2815773729,20820.046647963558,20990.308176355597,21152.983431292014,21308.002512773,21455.30782533307,21594.853636034015,21726.605687565985,21850.54084534352,21966.64676372252,22074.921561042087,22175.373496547258,22268.02064469661,22352.89056413812,22430.019959922436,22499.45433844298,22561.247655242376,22615.461956274616,22662.167013514747,22785.437574449665,23050.87550737216,23509.878734649214,24204.386116065598,25171.407099224598,26447.05741391156,28070.052997522427,30084.737901328754,32543.778409235238,35510.67064193302,39062.19927760421,43290.961073025996,48308.03424593997,54245.83568409038,61261.162317664115,69538.35959515838,79292.49752764417,90772.36299866717,104262.99810283213,120087.43383525277,138607.19654166818,160221.11558227998,185361.95213246663,214490.4183854226,248086.27642811555,286636.3996569707,330619.9357534336,380491.00294906506,436659.6428718041,499472.00150933384,567875.105245733,640928.6928582694,717702.82352869,797240.1111664916,878552.1055507305,960633.1812894664,1042482.415482261,1123127.8220253333,1201649.5713499575,1277200.225652979,1349020.936792715,1416453.1762823989,1478945.993992611,1536059.090666424,1587462.174267663,1632931.175888593,1672341.946014772,1705662.0514544845,1732941.2597831206,1754301.2423010634,1769924.9570225084,1780046.0971962477,1784938.9138550705,1784908.6470388756,1780282.732533631,1771402.8910426123,1758618.1556047408,1742278.851045675,1722731.5060132777,1700314.653062868,1675355.4544364035,1648167.0796158228,1619046.7543792988,1588274.3989328262,1556111.7737838964,1522802.0555254833,1488569.7698790685,1453621.0155962473,1418143.9196465076,1382309.2711377484,1346271.2883346817,1310168.4797485978,1274124.5664283428,1238249.438200014,1202640.1216384005,1167381.7419959356,1132548.4651783006,1098204.4091698849,1064404.5171178584,1031195.3866276593
IH,0.0,93.4617805750979,131.72918130827188,144.5427103030595,146.21739972083523,143.5059340293643,139.48800593115533,135.48506154694456,131.99627366938478,129.15113633495076,126.92463925099412,125.23678776324219,123.99649432268964,123.11924429834757,122.53280037540898,122.17776290941231,122.00616749738096,121.979545606241,122.0670415039158,122.24379504330255,122.48963162117425,122.78803366635604,123.12534699591558,123.49017394982808,123.87291112073558,124.26539728136439,124.66064453712576,125.05263202801686,125.43614654493024,125.8066583338136,126.16022333412226,126.49340533336968,126.80321318841159,127.08704950472082,127.34266808505976,127.56813814072427,127.76181376363039,127.92230753194526,128.04846739984453,128.13935622852773,128.1942334694538,128.2125386255911,128.19387620242742,128.13800192501336,128.0448100459234,127.9143216057764,127.7466735358696,127.54210851377434,127.30096549906534,127.02367088894383,127.19342956770208,128.40469616558283,131.20944072332003,136.0731078121374,143.3823106579075,153.4739227612157,166.6704179822003,183.31459796402333,203.801265809582,228.6056420846262,258.3093246635336,293.62490953997616,335.4203219863216,384.74362363454304,442.84864510069144,511.2212811787104,591.6056875336889,686.0289397938029,796.8219741491492,926.6338640882577,1078.4357777504024,1255.5104220109897,1461.4225642842812,1699.9664951152718,1975.0871935990867,2290.773552095483,2650.9242602709537,3059.189656092035,3518.7957098234456,4032.358924558561,4594.141726779229,5195.268141876446,5825.674726153517,6474.836516822422,7132.090657429215,7786.862264977799,8428.884824503915,9048.426824284677,9636.510855532593,10185.107695327408,10687.291804150676,11137.350389444604,11530.843495165587,11864.616762400208,12136.771464026606,12346.598271086667,12494.48215430128,12581.786062773032,12610.720738714324,12584.20738284511,12505.739014452973,12379.245381950455,12208.96525928047,11999.328974457629,11754.853103833886,11480.048458253259,11179.34180079292,10857.011175442905,10517.134289043825,10163.54906658096,9799.825280314977,9429.2460219461,9054.797729049511,8679.167477627932,8304.746298006934,7933.637349071905,7567.667885304399,7208.404063268189,6857.167751895553,6515.054628513546,6182.952955850002,5861.562541334426,5551.4134769643,5252.884344788288,4966.219649268348,4691.546303522371,4428.889052173714,4178.184759939868,3939.2955330226578
IN,74.34760390140715,139.02239426732044,188.57043312386858,226.6528028369822,256.01902505748217,278.7419570313439,296.39025050935845,310.15540269536444,320.94566843997393,329.45571231192514,336.21844847872615,341.6437651996812,346.0475643429939,349.6736276525738,352.7101532885726,355.3023190222673,357.5618725575767,359.5744888865785,361.4054434310105,363.1040091908954,364.70688258003236,366.2408661610726,367.72497987827006,369.1721303551813,370.59043652813693,371.98428650736344,373.35518303168095,374.70242169415235,376.02363615034824,377.3152369568411,378.5727649189074,379.79117540464847,380.96506667516934,382.088862639713,383.1569583862548,384.1638352240269,385.10415070117205,385.97280805017795,386.76500870687323,387.4762909007133,388.10255679060776,388.6400901953648,389.08556662069105,389.4360569998787,389.6890263305714,389.8423281957222,389.8941959954425,389.8432315818701,389.6883918766465,389.42897395621526,389.44857990605993,390.36169784668476,392.90564233825,397.87263326766623,406.07433946954376,418.33111868579954,435.47920529008564,458.3905394279332,488.0014072267136,525.347368244192,571.6029933433451,628.1256983495133,696.5034425073342,778.6062826506163,876.6417489641962,993.2137440279226,1131.384165009496,1294.73571073278,1487.4333726928435,1714.2809584280703,1980.7677336863023,2293.099026080695,2658.2035938812696,3083.7099616847354,3577.8840080646323,4149.521073801619,4807.787865732892,5562.012438630575,6421.424351125004,7394.851354996786,8484.368394203237,9687.000579187748,10995.683167215624,12399.898581754682,13886.19940882435,15438.714374551126,17039.674026366898,18669.96069418603,20309.67109744874,21938.673047842254,23537.136266541158,25086.01908487067,26567.49626867276,27965.317445292985,29265.089988578013,30454.484323879224,31523.363202441295,32463.83942905529,33270.268759428334,33939.18622596613,34469.19505575135,34860.81769187525,35116.318312497824,35239.505759307096,35235.52503428407,35110.6445893802,34872.04559586647,34527.618304434836,34085.76954650119,33555.24442192848,32944.964297329396,32263.882420750917,31520.857752739445,30724.547023332492,29883.31454674674,29005.158953744096,28097.655726440815,27167.914230624832,26222.547824656187,25267.655569877476,24308.814063741884,23351.077952972435,22398.987750433756,21456.583667621202,20527.424277544447,19614.60893427008,18720.802990565455,17848.26497004194,16998.874961920963
D,1501.0,1501.0,1501.7929046143042,1502.9104595662338,1504.1367210525668,1505.3771901535922,1506.5946559088106,1507.7780346424743,1508.9274534723836,1510.047274364083,1511.1429578757013,1512.2197523847697,1513.2822276156833,1514.334180530565,1515.3786910921349,1516.4182264211588,1517.4547497077915,1518.489817225091,1519.5246588894247,1520.5602428454265,1521.597326330927,1522.636495427848,1523.6781960874794,1524.7227584226944,1525.7704158516835,1526.8213203199118,1527.8755545351864,1528.9331419218959,1529.9940548250718,1531.058221362281,1532.125531221876,1533.1958406318588,1534.26897666833,1535.3447410313352,1536.4229133853237,1537.5032543386112,1538.5855081192217,1539.669404991737,1540.7546634502257,1541.8409922151088,1542.9280920563742,1544.015657461395,1545.1033781624383,1546.1909405365018,1547.2780288882204,1548.3643266250963,1549.4495173331347,1550.533285760029,1551.6153187122839,1552.6953058720458,1553.7729405389007,1554.8520153927377,1555.9413663066787,1557.054511919245,1558.2089195755411,1559.4253365433187,1560.7273680345224,1562.141355042612,1563.6965467980078,1565.4255419344918,1567.3649707293375,1569.5563975797918,1572.047432355893,1574.8930481723035,1578.1571096167443,1581.9141184387256,1586.2511823196287,1591.2702058884895,1597.0902909388883,1603.8503143002476,1611.7116268291247,1620.8607859736162,1631.512198784222,1643.91051483961,1658.3325734591383,1675.0886821039937,1694.5229889255208,1717.0127175098273,1742.966059928745,1772.81857651836,1807.0280253234191,1846.003488357788,1890.0787462535204,1939.5022040924312,1994.432976002229,2054.939715303735,2121.0013608540416,2192.5097531579763,2269.2741731917354,2351.0277400094083,2437.435454896907,2528.103564725162,2622.589850569228,2720.4144261109996,2821.070644299565,2924.035749793683,3028.7809694959715,3134.780796297125,3241.5212859815247,3348.507249676007,3455.2682811888,3561.363608164484,3666.3857971764555,3769.9633754164242,3871.762455787651,3971.4874686126486,4068.881112720162,4163.723642406517,4255.831605742873,4345.056144968721,4431.280962247101,4514.420044728991,4594.415232432523,4671.233701509155,4744.865424540594,4815.320658966873,4882.627504862466,4946.829564237513,5007.983725953301,5066.158093251681,5121.43006480632,5173.884575073011,5223.612495485598,5270.709194635889,5315.273252903991,5357.405324980121,5397.207142251256,5434.7806460311085,5470.227242010629
R,0.0,674.6462323513374,1376.4817596319426,2087.228797329787,2800.7432095040176,3516.1199643173195,4234.471822735691,4957.481972474707,5686.79855102063,6423.817590221057,7169.636661503078,7925.0768512546,8690.726566840329,9466.987313161208,10254.113965406901,11052.247581792622,11861.441070783267,12681.678808683446,13512.89143729404,14354.966951689783,15207.758992766047,16071.093062914279,16944.771213334156,17828.575614399568,18722.27131400143,19625.608407942353,20538.3237859681,21460.142572197903,22390.779345724277,23329.939202990412,24277.318705926657,25232.60674701455,26195.48535316536,27165.630443602622,28142.71255212722,29126.39752070749,30116.347168900287,31112.219941898216,32113.67153881252,33120.355521994454,34131.92390766375,35148.027737773176,36168.31763283675,37192.44432534525,38220.05917335559,39250.814653850226,40284.36483550199,41320.3658305391,42358.47622547505,43398.3574905444,44443.10873652909,45498.798847052625,46573.97047906815,47679.24840150613,48827.10253999664,50031.77519792773,51309.36403889055,52678.04718458763,54158.43812418199,55774.06245370418,57551.95366274551,59523.370035839085,61724.638506636205,64198.13350482672,66993.39906129123,70168.42027149085,73791.04521077142,77940.55009517411,82709.32852443492,88204.66990795308,94550.57297269498,101889.51853508705,110384.10322670582,120218.41514776376,131599.01666871883,144755.3922150346,159939.7228701238,177425.86696378223,197507.45678947153,220495.06462160236,246658.64560484065,276227.1591779017,309386.7906147328,346278.7128000094,386997.13993348076,431588.176303521,480049.73646946583,532332.6330797686,588342.7970718467,647944.5061669158,710964.4435162152,777196.381478122,846406.2791353576,918337.5906489533,992716.6002033327,1069257.6243005674,1147667.9504547624,1227652.410542226,1308917.5153989615,1391175.1034605158,1474145.4794857022,1557560.0392337462,1641163.3922032164,1724715.0072433325,1807990.4152290323,1890782.009375033,1972899.487539963,2054169.9824564448,2134437.925633459,2213564.6891091755,2291428.046646384,2367921.4926759703,2442953.4535764605,2516446.4219517508,2588336.040611449,2658570.159103885,2727107.8819991658,2793918.6247356664,2858981.189768994,2922282.873017939,2983818.608191004,3043590.154491662,3101605.331423579,3157877.3029261683,3212423.911839995,3265267.0647031977,3316432.1660865764,3365947.60105933,3413844.2639142666
G,259563.0,259563.0,259590.17570847672,259637.4674223106,259699.7405407987,259773.2511479796,259855.26229977413,259943.76750172157,260037.29087798388,260134.74245110207,260235.3131561765,260338.39857689428,260443.54348529718,260550.40147499417,260658.705559985,260768.24674949885,260878.8584302061,260990.4049805667,261102.77347176542,261215.86762128602,261329.60339143223,261443.905789576,261558.70654659666,261673.9424371481,261789.5540689442,261905.48501462414,262021.681193625,262138.09043624156,262254.66218015854,262371.3472629986,262488.09778414137,262604.86701619416,262721.609351722,262838.28027468733,262954.8363488738,263071.23521764635,263187.43561093195,263303.3973564329,263419.0813929173,263534.4497840455,263649.46573164593,263764.093587687,263878.2988644409,263992.0482425157,264105.30957656866,264218.05189860915,264330.24541887455,264441.8615243123,264552.87277473975,264672.8523900002,264809.6553054282,264969.8197211061,265159.04299122636,265382.6550870833,265646.0567747006,265955.1147348249,266316.51975070435,266738.1208979375,267229.2510075062,267801.05825936806,268466.85667031753,269242.5050427757,270146.8198519939,271202.02253066597,272434.2154904965,273873.8738138188,275556.3307879896,277522.2255405689,279817.87057756,282495.48717004125,285613.248964992,289235.0710179314,293430.08484070294,298271.7517597479,303836.5875528968,310202.50005938235,317446.77555906615,325643.785054737,334862.51334109664,345013.6671489924,356015.91415593645,367784.7079936959,380228.02049985045,393245.7999025351,406731.4129401478,420574.06485133176,434661.59091516247,448883.24528159515,463132.2572208524,477308.02052613953,491317.8479981705,505078.26974740106,518515.8870037716,531567.8155887655,544181.7674811987,556315.8267492062,567937.9789656146,579025.452298783,589563.9248302255,599546.6471909779,608973.5230777955,617850.1832112884,626187.0812996167,633998.6339190596,641302.4201538778,648118.4514974289,654468.5179740808,660375.6127078007,665863.4342054992,670955.9633784451,675677.1107121457,680050.4279238222,684098.8778250989,687844.6558474358,691309.0567079516,694512.3799216502,697473.86824095,700211.6735734821,702742.8454529109,705083.3376826459,707248.0293142956,709250.7566439274,711104.3533976101,712820.6967258472,714410.7570304284,715884.6500056916,717251.6895899266,718520.4407937673,719698.7716038929
H,4279211.0084840935,4279211.0084840935,4279211.0084840935,4279211.0084840935,4279211.0084840935,4279211.0084840935,4279211.0084840935,4279211.0084840935,4279211.0084840935,4279211.0084840935,4279211.0084840935,4279211.0084840935,4279211.0084840935,4279211.0084840935,4279211.0084840935,4279211.0084840935,4279211.0084840935,4279211.0084840935,4279211.0084840935,4279211.0084840935,4279211.0084840935,4279211.0084840935,4279211.0084840935,4279211.0084840935,4279211.0084840935,4279211.0084840935,4279211.0084840935,4279211.0084840935,4279211.0084840935,4279211.0084840935,4279211.0084840935,4279211.0084840935,4279211.0084840935,4279211.0084840935,4279211.0084840935,4279211.0084840935,4279211.0084840935,4279211.0084840935,4279211.0084840935,4279211.0084840935,4279211.0084840935,4279211.0084840935,4279211.0084840935,4279211.0084840935,4279211.0084840935,4279211.0084840935,4279211.0084840935,4136570.6415346237,3993930.274585154,3851289.907635684,3708649.5406862143,3566009.1737367446,3423368.806787275,3280728.439837805,3138088.072888335,2995447.7059388654,2852807.3389893956,2710166.972039926,2567526.605090456,2424886.2381409863,2282245.8711915165,2139605.5042420467,1996965.137292577,1854324.7703431072,1711684.4033936374,1569044.0364441676,1426403.6694946978,1283763.302545228,1141122.9355957583,998482.5686462885,855842.2016968187,713201.8347473489,570561.4677978791,427921.10084840935,285280.73389893956,142640.36694946978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
