series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
S,158081.11841897544,157995.15909453656,157926.45488912563,157861.42663438295,157794.3236328887,157722.51118946678,157644.58374351257,157559.60537352978,157466.80292313817,157365.44144597996,157254.77333286515,157134.01742303523,157002.35054695877,156858.9044902383,156702.76562502817,156532.97617731043,156348.53679601676,156148.4103716634,155931.52716251454,155696.79132325342,155443.08893349892,155169.29760626348,154874.2977251906,154556.98531621115,154216.28650517194,153851.17344915873,153460.68155741616,153043.9277405891,152600.1293480499,152128.6233768135,151628.88546715287,151100.54814506008,150543.41773562823,149957.48935912267,149342.95943667815,148700.23517723483,148029.94059148285,147332.91867992014,146610.22956609898,145863.14448623388,145093.13569460812,144301.86249191538,143491.153722083,142662.98720428898,141819.46666429495,140962.79679829002,140095.25714079343,139219.17541564524,138336.9010276165,137450.77930527288,136563.12703823118,135676.2097693656,140427.74134100226,145135.71846949152,149802.46533850953,154427.09677244487,159006.95429233168,163538.34789032122,168016.93087218472,172437.8846344908,176796.0073246371,181085.755744718,185301.26632958752,189436.36881050238,193484.59992283725,197439.22135371307,201293.24452832484,205039.4640028141,208670.50075045376,212178.85628075653,215556.97820633953,218797.3375137271,221892.51737638752,224835.3128650473,227618.8403694256,230236.65496595597,232682.87337634145,234952.29959810807,237040.5497919973,238944.1726251073,240660.7610338661,242189.05132114544,237893.48552965064,233553.2636072928,229174.05821076673,224773.3619895991,220372.9786162917,215995.6726894399,211663.5531275484,207397.22575755452,203215.32357163605,199134.24983347315,195168.05921989025,191328.43793455794,187624.75809832982,184064.18787470326,180651.84196441717,177390.95931473907,174283.09684511943,171328.32988337698,168525.45183796785,165872.16735045763,163365.27472518425,161000.83478425356,158774.32442938973,156680.77410888846,154714.88910166387,152871.15506272993,151143.92865100267,149527.51430765682,148016.22839699595,146604.4519851446,145286.67353510408,144057.5227568655,142911.79678222642,141844.47974669657,140850.75676384574,139926.0231769226,139065.88987307128,138266.18535008052,137522.9551363081,136832.4590823746,136191.16696894492,135595.7528084949,135043.08816017487,134530.23472531035,134054.43644618805,133613.1112919628,133203.84288217468
E,0.0,85.95932443889293,128.90960640754446,155.31577848418007,175.8852515384313,195.00143039200776,214.5052912118083,235.21660367764946,257.546764494965,281.7457034537672,308.0011327287934,336.47807638241636,367.3341250620101,400.72469918839823,436.8040677505847,475.72442600586214,517.633947660059,562.6741711133718,610.9768612737996,662.6604090823791,717.8258099163725,776.5522669453921,838.8924829686548,904.8677284267852,974.4628010942183,1047.6210221834672,1124.2394420490095,1204.1644539695344,1287.1880339810282,1373.0448356903157,1461.410368799444,1551.9004765091602,1644.0722985748087,1737.426863135457,1831.4133923897966,1925.4353370271192,2018.858075698516,2111.0181335674333,2201.2336937392183,2288.816103042558,2373.0820148120783,2453.365770685981,2529.0316042621453,2599.485253272709,2664.184593366296,2722.6489534351776,2774.4668359563475,2819.3018411844905,2856.8966758022448,2887.0752093015794,2909.742619868236,2924.8837416084666,2932.559783399097,2981.4904806886266,3056.991510324592,3151.9874187539467,3263.29590362839,3389.7196281408424,3531.076671073299,3687.7115250862876,3860.2487199669504,4049.4670179772515,4256.232226826891,4481.457456697805,4726.075240427547,4991.013766738328,5277.17339543187,5585.40160222652,5916.4655369574875,6271.021970579552,6649.584798469518,7052.490575994073,7479.862837591974,7931.576208793115,8407.221559069734,8906.07364911228,9427.062880340489,9968.752836429658,10529.325296690253,11106.574283778737,11697.910474917977,12300.376957348813,12910.676856648526,13382.783417181297,13752.427526196823,14032.814892366365,14228.88369274284,14343.13167115116,14377.963912642543,14336.568016089102,14223.149391594277,14042.883211949018,13801.74272433699,13506.280028811028,13163.398260203441,12780.136290563281,12363.47756688331,11920.189007488552,11456.692149655091,10978.966191635542,10492.48084778488,10002.155840486044,9512.343251343918,9026.828734733668,8548.8476609079,8081.112517430458,7625.848283884439,7184.832946673123,6759.440793025845,6350.686583308144,5959.269126532447,5585.613162565375,5229.908779813521,4892.147868079567,4572.157325223041,4269.628907819202,3984.1457459416188,3715.20563668742,3462.241296226689,3224.637791684955,3001.7473971551985,2792.9021269911054,2597.424197963661,2414.634662908316,2243.8604445835495,2084.439981506333,1935.7276789766129,1797.0973394274563,1667.944727411867
I,45.84267540411229,36.71610298407101,34.811392197339266,35.98648334793316,38.58798409754408,41.96492158300844,45.87153886068433,50.22676126617375,55.01719986463284,60.25799881936199,65.97700226588333,72.20831385892166,78.98962402813092,86.36102851228765,94.3644130409313,103.0430245756301,112.44106991867864,122.60327175874025,133.5743487548413,145.3984018065539,158.11819611976227,171.77433333444054,186.4043120194109,202.04147917099638,218.71388034144974,236.44302176756682,255.24256430838076,275.1169759467863,296.0601767632968,318.05421724508415,341.06803705273046,365.0563563677489,389.9587550962558,415.6989959435243,442.184645221546,469.3070398778093,496.9416405176441,524.9487982681896,553.1749486102804,581.4542284684021,609.6104948168296,637.4597049192363,664.8126012347586,691.4776291350233,717.2640038922127,741.9848357018042,765.460218285107,787.5201880336751,808.0074665315474,826.7799091370601,843.7125953896107,858.699512421386,871.6547993055453,882.5135373635251,894.2871039072165,908.4640448095746,925.7916730034655,946.6684279091796,971.3381403200128,999.9846593257736,1032.7768932994577,1069.8893923788278,1111.510923019116,1157.8471109365237,1209.1200589461725,1265.566287871476,1327.4335929933823,1394.9770496681247,1468.454238760905,1548.1196971525792,1634.2185834100242,1726.9795612154487,1826.6069325607357,1933.2720935775822,2047.1044348366468,2168.1818621582397,2296.521170327884,2432.068556939134,2574.690612653478,2724.166162840939,2880.1793591600567,3042.314423864368,3210.0524310989995,3382.7704661892813,3550.787840326257,3708.597807430178,3852.6202709708723,3980.2983765127246,4089.7413517674527,4179.586073725776,4248.941224248688,4297.357358318687,4324.799910073491,4331.61677760528,4318.498577042769,4286.432484819334,4236.651731879349,4170.583133020031,4089.7949325544296,3995.9469311953426,3890.744445442354,3775.8972110506083,3653.083921144059,3523.922714534051,3389.9476156651067,3252.590680042628,3113.1694171633485,2972.8789416177906,2832.78823425414,2693.839869902714,2556.8525767475703,2422.5260260826076,2291.447301946295,2164.098561234236,2040.8654608628492,1922.0459951636556,1807.8594508207962,1698.4552461994022,1593.9214755364465,1494.2930255112424,1399.5591720033901,1309.6705985607516,1224.5458056595219,1144.0769018125836,1068.1347846186866,996.5737326152656,929.2354379595207,865.9525161336188,806.551532613103
A,172.5940163462334,138.34744735784628,131.24519688070575,135.71974999091333,145.55754381585615,158.3126766856263,173.06224617934396,189.50228618860808,207.58320722679585,227.36264881272592,248.94597898182943,272.46209518258866,298.053384584237,325.87128770887796,356.0739882863741,388.8248026721941,424.29067050663025,462.6404837570208,504.04312856579816,548.6651727421081,596.6681597725614,648.2054877350596,703.4188666960134,762.4343644840162,825.3580695295605,892.2714211112941,963.2262816226307,1038.2398516659337,1117.2895557646284,1200.308052727392,1287.1785483288593,1377.730606865639,1471.7366700811567,1568.9094947975777,1668.9007125395226,1771.3006942373295,1875.6398702980696,1981.3916114288095,2087.9767201328427,2194.7695193461363,2301.105456696567,2406.2900744483322,2509.609130730273,2610.339601436091,2707.761248030627,2801.168407360251,2889.8816473008083,2973.2589372853345,3050.706004770941,3121.6855857094624,3185.725326318914,3242.4241514992127,3291.456978351175,3332.5777176846887,3377.12246001583,3430.701760453454,3496.1379511438513,3574.94000782677,3668.0340474670174,3776.119358472503,3899.838025795939,4039.852574167994,4196.87842360441,4371.693999919766,4565.139430790819,4778.108900603225,5011.538895998029,5266.393224245678,5543.645073043368,5844.256133799494,6169.152752931091,6519.199122390445,6895.167631086108,7297.706652564452,7727.306228638114,8184.26231284782,8668.64045002077,9180.23997493279,9718.559998207387,10282.768593624001,10871.676690286942,11483.718189441983,12116.93775633216,12768.987574836841,13403.416993602317,13999.466517006567,14543.621972031886,15026.21971148291,15440.104862191194,15780.111592351608,16042.85368390986,16226.612361743904,16331.235005621065,16358.013316488119,16309.533761350784,16189.503762247235,16002.561406203376,15754.077659491955,15449.959689253701,15096.462707540173,14700.016197051591,14267.068722525702,13803.953945652494,13316.779047694525,12811.335578872538,12293.031818789388,11766.845044780977,11237.291645511077,10708.412755715202,10183.772990262449,9666.469886253024,9159.151787154791,8664.042093033555,8182.968030277169,7717.392342183641,7268.446552380576,6836.964694529258,6423.5166260948845,6028.440246150261,5651.872114673553,5293.776122906056,4953.969991701936,4632.1494789918825,4327.910260627372,4040.767513399322,3770.173277456314,3515.5317101552628,3276.2123668863696,3051.561658742715
IH,0.0,5.6896301362206785,9.563811066188947,12.73670924280311,15.674716240667212,18.583052668204928,21.561519938731543,24.667442316062832,27.941203051995085,31.416677852385167,35.12555705716744,39.09918409496869,43.369373992973856,47.96880194924196,52.93119864382066,58.291445744917375,64.08560674059734,70.35090425329753,77.12564497639973,84.44908909023268,92.36125917630604,100.9026829567017,110.11406415468684,120.03587624668742,130.70787483059428,142.1685257948235,154.45434846983915,167.59917550056153,181.63333429008088,196.58275849148475,212.46804207903742,229.30345287471786,247.09592685017532,265.8440688261895,285.53718906928634,306.15440843026886,327.66386677016595,350.0220701860171,373.17341174385604,397.0498978906508,421.5711083960501,446.64441163436913,472.1654494501663,498.0188970713225,524.0794939597557,550.2133316147552,576.2793746985255,602.1311829660863,627.6187938365487,652.590719444059,676.8960079497816,700.3863169500171,722.9179470159686,744.3537856560948,764.5651160979942,783.8124153548827,802.5096508492724,821.1138662536853,840.0767131052288,859.8259090393296,880.7606653010214,903.2532530661717,927.6529363456227,954.2904971633095,983.482545753617,1015.5352661225816,1050.7474565997509,1089.4128153841953,1131.821456083665,1178.2606488141473,1229.01478361145,1284.3645520663663,1344.5853439076718,1409.9448596226239,1480.6999491180222,1557.0927003455377,1639.3458207932786,1727.6573784403388,1822.194996427509,1923.0896261249939,2030.4290548543227,2144.2513352374017,2264.538350700449,2391.2097536099072,2524.117526463641,2661.9299227304255,2802.7915460093122,2944.6253062689207,3085.286018846028,3222.6512443554825,3354.684047007662,3479.481291230444,3595.312428011537,3700.6502767683114,3794.194090406841,3874.8849197237864,3941.91340541339,3994.7203666875275,4032.9908070209553,4056.642166197833,4065.8077922058114,4060.8166822354756,4042.1705540968255,4010.5192677188093,3966.635533207279,3911.38972974018,3845.725530119251,3770.636889304785,3687.146820084624,3596.2882515372276,3499.0871506045282,3396.5479866527166,3289.6415346901167,3179.2949451065606,3066.3839557140745,2951.727084222207,2836.081614418904,2720.1411754084756,2604.534708398139,2489.8266179031116,2376.5179121722476,2265.0481496169687,2155.7980227537682,2049.0924275513266,1945.2038832156604,1844.3561846465293,1746.7281865191499,1652.4576337967765,1561.6449681950132
IN,3.4369422838206067,6.686061106026046,9.073378312751926,11.187431383642272,13.274054377063738,15.441687868672378,17.744041232448,20.21346368520464,22.874458235857308,25.74918504003591,28.85972863244644,32.229054208740045,35.881428790902554,39.842618994167125,44.139989408773275,48.80254947333173,53.86096564149827,59.347542790428484,65.29617336084075,71.74225029706548,78.72253873189347,86.27500085828402,94.43856830386562,103.2528565077063,112.75781609712189,122.99331710738655,133.9986631168039,145.81203401470657,158.46985819591382,172.00611747399645,186.45159088939084,201.8330467837819,218.1723959078399,235.4858217758316,253.7829077941497,273.06578366186403,293.32831594719636,314.5553693646966,336.72216591620065,359.79376855834244,383.72471432417836,408.4588188341845,433.92916994305284,460.0583230279343,486.7587043531748,513.9332223317226,541.4760796729912,569.2737727085334,597.2062579607514,625.1482605743565,652.9706948205433,680.5421636959802,707.7305027807586,734.4043330189015,760.4345878932274,785.9250248043884,811.0853310553535,836.1697628259113,861.4485536170788,887.1954497127072,913.683021230177,941.1816062523951,969.9598557824411,1000.2858917733882,1032.4286000218397,1066.6588237552128,1103.2503376160914,1142.4805327398556,1184.6307649248777,1229.986325814356,1278.8359995933483,1331.4711690107665,1388.1844367084,1449.2677320976486,1515.0098811142436,1585.6936265542513,1661.5921005650066,1742.9647682017467,1830.0528814610643,1923.074506261055,2022.2192095361236,2127.6425187317964,2239.4602900466316,2357.743143126405,2482.5111368631806,2613.057448034421,2748.3010253921366,2886.951486462884,3027.597272237582,3168.762207154827,3308.9485895053813,3446.6737402164435,3580.5023102431132,3709.074798605498,3831.1320817099177,3945.535622328661,4051.2831136280774,4147.519481727123,4233.543353124417,4308.809258546992,4372.925977247491,4425.651520000733,4466.885305159847,4496.658103610462,4515.120320651253,4522.529151893833,4519.235102469586,4505.668300005562,4482.324967122724,4449.754352880707,4408.54635798526,4359.320028141158,4302.713035325407,4239.3722189372575,4169.945218157586,4095.0731933925586,4015.384608040875,3931.4900214521062,3843.9778291486173,3753.4108764174002,3660.323865483753,3565.2214739271294,3468.5771021150354,3370.8321696062503,3272.3958841786653,3173.6454119158525,3074.9263822615894,2976.5536678143367,2878.812384638729
D,334.0,334.0,334.013309952398,334.0356829128518,334.06547834588883,334.1021467622921,334.14561875265025,334.1960583765172,334.25376379411847,334.3191276356444,334.3926217779186,334.47479223209416,334.56625833211217,334.66771383792843,334.7799289477419,334.9037527671205,335.0401160015488,335.1900337211005,335.3546080720424,335.53503081284003,335.7325855446829,335.94864949499674,336.1846946991367,336.4422884121128,336.72309256996584,337.02886211040834,337.361441955762,337.72276245930607,338.1148331202189,338.5397343836424,338.9996073622274,339.4966413448349,340.0330589975452,340.61109921200136,341.23299761605466,341.90096483068584,342.6171626335458,343.3836782707388,344.2024972415485,345.0754749619969,346.0043077883902,346.9905039471538,348.03535496828505,349.1399082530685,350.30494141948276,351.5309390591131,352.8180725066672,354.1661831679141,355.5747698757942,357.04298065049454,358.56960913129615,360.1530958305207,361.7915342378743,363.48268168192226,365.2239747391437,367.0125488743336,368.8461488953484,370.72348801863285,372.6443486390105,374.6095697156712,376.6209907827511,378.68138526332814,380.7943974475686,382.9644886712546,385.19689408022055,387.4975894777858,389.87326693431163,392.3313175096272,394.8798193221148,397.52752916314915,400.28387584521636,403.15895346444125,406.16351274868435,409.3089486547092,412.6072823804683,416.07113598195804,419.7136978400563,423.5486773231206,427.5902471469161,431.85297215393166,436.3517235258139,441.10157780818616,446.11770056451195,451.4152149775149,457.0090562698664,462.91381340167584,469.1409599314338,475.6976290234077,482.5860948319147,489.8036132051486,497.34247489401093,505.1902055736866,513.329878847211,521.7405199832945,530.397581663261,539.2734736848926,548.3381286087605,557.5595856326735,566.9045758431055,576.3390934440521,585.8289395034847,595.3402270350241,604.8398386870199,614.2958307939854,623.6777799306802,632.957070299861,642.1071222129855,651.103563548571,659.924347379021,668.549819946626,676.9627438610913,685.1482818127658,693.0939462826051,700.7895207197718,708.2269574890275,715.4002575994768,722.3053368475636,728.9398825703992,735.3032047361165,741.3960846171915,747.2206238174838,752.7800959671155,758.0788029706997,763.1219373002768,767.9154514684828,772.4659355017415,776.7805029577768,780.8666857953611,784.7323382049162
R,0.0,34.434392450002285,62.92046906706572,90.58358326433311,119.62339170545447,151.07494758300834,185.51805332135825,223.3640639696126,264.97253320307044,310.6992654157213,360.9166987004006,416.02311401462896,476.44731126044087,542.6514125803938,615.1328419031906,694.4258744601026,781.102880523814,875.7752739522451,979.0941254913472,1091.7503759250133,1214.474570249126,1348.03602542126,1493.2413389772346,1650.932143550166,1821.982013374769,2007.2924337759575,2207.7877540710533,2424.409058863712,2658.106912844578,2909.8329601842283,3180.530391345106,3471.1233272037002,3782.5052118736426,4115.526350196396,4470.980771701144,4849.59264770973,5252.00252966165,5678.753712003614,6130.279049526728,6606.888574507684,7108.758261567436,7635.920276625016,8188.25502033798,8765.485236524542,9367.172403693168,9992.71556521681,10641.352683795783,11312.164532018396,12004.081056615338,12715.890082919752,13446.248161300076,14193.693301638448,14956.659297347707,15733.491308285835,16522.462352814302,17324.072589237105,18139.97175425592,18972.42976429776,19824.083619618363,20697.8219906124,21596.737585872816,22524.11238349296,23483.418395134067,24478.325362513955,25512.711055751635,26590.671890758134,27716.53253557227,28894.853595313176,30130.436630785793,31428.325814682885,32793.805530993246,34232.39321375551,35749.8267210638,37352.045562128165,39045.16534833351,40835.444930391,42729.24581754886,44732.98365383365,46853.071750055344,49095.856935179014,51467.54828935338,53974.13964235344,56621.32705088955,59414.422788717406,62358.26767544266,65450.45357536273,68684.2578825613,72049.99909558955,75535.76332586636,79127.887461495,82811.35298313556,86570.14796342616,90387.61448890786,94246.78231311205,98130.68351522468,102022.64153786107,105906.5286488981,109766.9874171446,113589.6136133604,117361.09973399463,121069.33992872808,124703.49841214032,128254.04442466312,131712.75748259248,135072.70704730705,138328.21088884672,141474.7763636371,144509.02861654072,147428.62939734734,150232.18979043688,152919.1797269517,155489.83670837755,157945.075739736,160286.40206471152,162515.82792407495,164635.79422865735,166649.09775148684,168558.8242005963,170368.28733266404,172080.97410504363,173700.49573608537,175230.544446792,176674.85558653213,178037.17479763058,179321.22984429236,180530.7067169792,181669.22962091365,182740.3444641149,183747.5054739506
G,20925.0,20925.0,20930.404901270416,20938.510405821424,20948.276262567328,20959.33547488307,20971.596663366563,20985.084204462884,20999.8740196265,21016.067897878766,21033.783343183528,21053.149662363467,21074.30653852993,21097.40356368892,21122.600102282824,21150.065218791347,21179.97754734059,21212.525038838237,21247.904543762605,21286.321197630576,21327.987580076962,21373.122621066177,21421.95023065426,21474.69763271374,21531.59338854776,21592.865103582604,21658.73681942815,21729.426104485323,21805.1408687594,21886.07594224377,21972.409470632963,22064.299196506025,22161.878707650354,22265.253745940005,22374.49867918156,22489.65324368982,22610.71966629299,22737.660270460834,22870.395662071565,23008.803576110393,23152.71844682204,23301.93174137018,23456.19307203248,23615.21207573017,23778.66102370125,23946.17809979862,24117.37126451201,24291.82260442509,24469.093054170626,24648.727370439225,24830.259235288093,25013.21636862259,25197.12553675568,25381.5173546571,25568.985808975434,25761.2015738812,25959.39043722051,26164.578091851316,26377.71494517218,26599.739965843306,26831.613783337492,27074.336295954537,27328.95636856263,27596.577305792267,27878.359826294054,28175.52328398535,28489.345394903467,28821.16048739471,29172.35617689922,29544.368315265983,29938.674050412705,30356.782842676857,30800.2253141319,31270.539854379123,31769.25696979554,32297.881441682694,32857.87245015934,33450.621921736056,34077.43146475877,34739.488362532116,35437.84119217821,36173.37572086154,36946.791792676224,37758.581952730805,38600.05695925727,39464.77423679344,40347.121550879,41241.797166927856,42143.65640206251,43047.705798968644,43949.15232835188,44843.467386290664,45726.4477704202,46594.265860798005,47443.506016683736,48271.18664870342,49074.768753656586,49852.152429531256,50601.66326073813,51322.03060143841,52012.3597624035,52672.09997597771,53301.00981399737,53899.12149599846,54466.70527372899,55004.23483069849,55512.35440465915,55991.84813435765,56443.611953753505,56868.628208453134,57267.943049585214,57642.646567592084,57993.85555946666,58322.698774472025,58630.30445192292,58917.78994691664,59186.25323299658,59436.76607199721,59670.36864852588,59888.06547784154,60090.82240980533,60279.564566939036,60455.17507054476,60618.49442465816,60770.3204428631,60911.408617377405,61042.47284313408,61164.18642173157,61277.18328107564
H,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,169065.60391292186,163430.08378249113,157794.5636520604,152159.04352162968,146523.52339119895,140888.00326076822,135252.4831303375,129616.96299990677,123981.44286947604,118345.92273904532,112710.40260861459,107074.88247818386,101439.36234775314,95803.84221732241,90168.32208689168,84532.80195646096,78897.28182603023,73261.7616955995,67626.24156516878,61990.72143473805,56355.201304307324,50719.6811738766,45084.16104344587,39448.640913015144,33813.12078258442,28177.60065215369,22542.080521722964,16906.560391292238,11271.04026086151,5635.520130430781,5.275069270282984e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
