series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
S,6316971.353048174,6314647.005206422,6312808.91293053,6311160.152321247,6309556.39233773,6307926.001525496,6306232.030805805,6304454.046520837,6302579.4305408085,6300599.2095575845,6298506.055069561,6296293.325094638,6293954.606593636,6291483.499199303,6288873.515858262,6286118.040759642,6283210.316005737,6280143.443399756,6276910.394886962,6273504.028619631,6269917.109258049,6266142.331897752,6262172.349373298,6257999.802844993,6253617.355630033,6249017.730242759,6244193.748584128,6239138.375179573,6233844.7633131845,6228306.303847778,6222516.6764570745,6216469.902929655,6210160.402136116,6203583.046182811,6196733.217209477,6189606.864225973,6182200.559327438,6174511.552579508,6166537.82482807,6158278.1376631865,6149732.0797564145,6140900.108795902,6131783.588265825,6122384.818356341,6112707.060347418,6575571.173170597,7037248.772513841,7497691.546285334,7956776.503352902,8414320.768539017,8870088.038621807,9323789.054891154,9775077.84040046,10223544.867932992,10668707.892177777,11110000.914658187,11546761.63399453,11978217.742969356,12403472.548568608,12821490.598226087,13231084.282431677,13263191.443723194,13181647.232565293,13091380.211372312,12991814.139617918,12882677.61905863,12763925.058567103,12635712.751663465,12498389.71957629,12352488.21442216,12198708.700853704,12037898.33290132,11871023.855418598,11699140.726850292,11523360.553007746,11344818.85523381,11164644.90443016,10983934.938192677,10803729.624350972,10624996.201813951,10448615.358357783,10275372.614897426,10105953.781479552,9940943.925716246,9780829.237466577,9626001.16949108,9476762.26770153,9333333.163138445,9195860.269832745,9064423.809652898,8939045.860900994,8819698.197679069,8706309.749471355,8598773.56384496,8496953.19945966,8400688.51212247,8309800.824231689,8224097.488633061,8143375.872726965,8067426.79866523,7996037.481624656,7928994.011296962,7866083.422625224,7807095.401056454,7751823.665666195,7700067.070838762,7651630.4640624,7606325.334053737,7563970.28003092,7524391.3296305705,7487422.129792495,7452904.031969979,7420686.090292152,7390624.988821082,7362584.911811091,7336437.368883761,7312060.985266693,7289341.265691267,7268170.339186661,7248446.690826092,7230074.88545846,7212965.287576983,7197033.78071979,7182201.489150662,7168394.504017512,7155543.615719394,7143584.053818734,7132455.235504307,7122100.523333445
E,0.0,2324.3478417519195,3580.302196978443,4332.368413594154,4851.077401496202,5266.505435452351,5641.468531456837,6006.534878148276,6376.801267480344,6759.938645715882,7160.051947578945,7579.531498553262,8019.940019038025,8482.436170815794,8967.97511245869,9477.401538510308,10011.490674783543,10570.963889201666,11156.491739486213,11768.69063371884,12408.116091241325,13075.254065129962,13770.511061446417,14494.203450183113,15246.546208899808,16027.641276416618,16837.465674141924,17675.859554045433,18542.5143437226,19436.961174668024,20358.559796594156,21306.48819641933,22279.73315399215,23277.08197657095,24297.11565953878,25338.203720916703,26398.50095117045,27475.946306963655,28568.264157456506,29672.968064269327,30787.367241377116,31908.57579931624,33033.52482982072,34158.97733332866,35281.54593397314,36397.713266228784,38420.847567245495,41172.10909905717,44592.12796142045,48696.28761877105,53549.5467581051,59253.55051166627,65941.20500599504,73775.68001225934,82951.99717542171,93700.08771528845,106288.59898574502,121028.90087033465,138278.76579157443,158445.12085071462,181985.13432441084,209404.73522471695,238503.07965317366,269036.4911136478,301221.7945049876,334916.6681805067,369788.62814017513,405386.57707004814,441179.6682411047,476586.77574236714,511004.10536223056,543832.395071415,574502.8784827397,602500.5243839321,627383.1448719639,648795.3834245276,666477.1337664917,680266.467105062,690097.5798284605,695994.577901844,698062.0810322333,696473.6735570257,691459.1761109165,683291.5926904918,672274.430606696,658729.9202096217,642988.4954132569,625379.7471177567,606224.9364824067,585831.056280013,564486.3558489382,542457.196060281,519986.0717493725,497290.62631513696,474563.48280603695,451972.72426614485,429662.8703880246,407756.2151486773,386354.4091806642,365540.18974534527,345379.1793538914,325921.690703363,307204.4903161752,289252.485956119,272080.31355539395,255693.8081366997,240091.35022481292,225265.08471717982,211202.0133370738,197884.9648356807,185293.4492372334,173404.40381102284,162192.8392610554,151632.39498137188,141695.8122442689,132355.33396181927,123583.0392624985,115351.12061338595,107632.11064024497,100399.06518780437,93625.70854680354,87286.54617161266,81356.94963552631,75813.21802867383,70632.61950095113,65793.41619190929,61274.875371669485,57057.269240836846,53121.86550128365
I,696.9507077352474,506.9747079693682,427.0135709138083,400.3132583735079,399.7321526928474,412.3044383762378,431.8572886115002,455.4741786946262,481.7993867944101,510.2249494424907,540.5007997873026,572.5478737810968,606.3685425812438,642.0036811713253,679.5120502169392,718.960322478143,760.4181587097248,803.9556528184046,849.641864515065,897.5438282915244,947.7257488705883,1000.2482471299172,1055.1675941789317,1112.53490667418,1172.395293688723,1234.786954128484,1299.7402284064651,1367.2766110219573,1437.4077328635967,1510.1343239213834,1585.44516884293,1663.3160694611583,1743.7088300469306,1826.5702825598642,1911.8313705254034,1999.4063112885676,2089.1918572132727,2181.0666768394963,2274.8908770113453,2370.5056864872427,2467.73332048998,2566.377044014899,2666.221449472546,2767.032961402203,2868.560577582137,2970.5368519327944,3072.6791202364493,3197.6639879491468,3357.506438316845,3559.459021671975,3809.1827712421846,4112.423008240944,4475.905456199092,4907.852169456907,5418.331842826174,6019.554422473998,6726.162014540707,7555.535861482953,8528.120012788095,9667.748962665695,11001.954927874907,12562.218586775874,14384.114382682354,16438.383023986276,18697.636043970622,21147.382591076224,23773.516231667203,26557.446109308,29474.34774809064,32492.864295441002,35575.62750570719,38680.328436666125,41761.17773573995,44770.6183302937,47661.153479916284,50387.155242976216,52906.53042543531,55182.14333675496,57182.924063357335,58884.62323161667,60270.205319432294,61329.89936846506,62060.94653823698,62467.097594920284,62557.92036591815,62347.9783018812,61855.93782152047,61103.655438000016,60115.28707794673,58916.45262204312,57533.47939822731,55992.73977334588,54320.09051404059,52540.41542441948,50677.26796550589,48752.607058350106,46786.61693627751,44797.60056977837,42801.93565303754,40814.08223019152,38846.631583081034,36910.38685317422,35014.46690571513,33166.42606610652,31372.38349245324,29637.15704011818,27964.397487628572,26356.71990612689,24815.829755754603,23342.641979228723,21937.391938744848,20599.73751454696,19328.85206181195,18123.508217900577,16982.152775858587,15902.97300335311,14883.954899334409,13922.93395300246,13017.639009431794,12165.729860655947,11364.829176241008,10612.549368480077,9906.514958493632,9244.380974088865,8623.847870874844,8042.673426912091,7498.682019656257,6989.771653285381,6513.919065493752
A,6270.510658018226,5016.4085264145815,4537.033857619375,4436.625711712404,4525.814607315425,4714.082513862479,4958.334145115316,5238.251975953883,5544.472043283407,5872.905987253423,6222.012148079707,6591.482448513831,6981.609205126589,7392.978507702427,7826.320389952631,8282.434171190991,8762.149700667233,9266.305593356828,9795.73533726994,10351.256866246145,10933.663465482252,11543.714976964226,12182.12880790205,12849.570510360889,13546.643835657536,14273.88024069796,15031.72786797457,15820.540052116312,16640.563431146813,17491.925763393374,18374.62357275179,19288.50976619026,20233.28138787673,21208.467693744988,22213.418748102627,23247.29475934544,24309.05638423037,25397.456238701645,26511.03185720412,27648.10034104917,28806.75492910959,29984.86371043308,31180.070677973374,32389.79929544712,33611.25871547314,34841.45274703539,36077.19162459504,37521.796356368424,39297.61334639719,41489.13776710061,44167.433182897636,47403.99210634633,51278.9193180115,55886.255627971725,61338.01208282444,67767.75531748355,75334.16504116182,84224.73802302469,94659.65432060997,106895.69973513232,121230.02410688353,138003.39284745074,157602.45447492914,179840.4585047417,204513.07996837972,231505.73113302686,260694.6625724797,291905.9329904985,324898.7122032071,359360.68343164143,394911.007714073,431108.9189170313,467466.7307216629,503466.0943658492,538576.2430189275,572272.894246997,604056.5248906546,633468.8885761806,660106.8895220732,683633.2189964143,703783.4634881862,720369.6734270104,733280.6149940137,742479.1026095413,747996.9227971165,749927.915197171,748419.7821088976,743665.1650383861,735892.4668422777,725356.8219375276,712331.5339009665,697100.2168749999,679949.7998030788,661164.4840749574,641020.6875340067,619782.9616099058,597700.8332946016,575006.4988602279,551913.2803360274,528614.7473556822,505284.4045704255,482075.84698795964,459123.2910754314,436542.3971654138,414431.30772356095,392871.8356554247,371930.7464971352,351661.0876485553,332103.52649272745,313287.6671299195,295233.3224480072,277951.7243252779,261446.65993445503,245715.52643679708,230750.29989169497,216538.41704077803,203063.57084127932,190306.42230616004,178245.23243943823,166856.4189096031,156115.042650058,145995.22987359026,136470.5350904518,127514.25067171134,119099.66833899979,111200.29772006598,103790.0468124078,96843.36886533472,90335.37984051844
IH,0.0,62.103550614161215,75.65894693052924,75.18750914969016,72.57690401659876,71.24370091169814,71.70957997694666,73.68056394471871,76.75246903045988,80.60609557497816,85.03058948959995,89.90016966720952,95.14605092776006,100.73468117736499,106.65323355328823,112.90064797440527,119.48234514162282,126.40719311711698,133.68579070627004,141.3294940995725,149.349850789683,157.7582500167144,166.56568399455173,175.78256245866902,185.41854993299674,195.4824098315915,205.98184750854858,216.92334871568892,228.31201232248068,240.1513775217315,252.44324658289798,265.1875047822991,278.38193956881355,292.0220613792758,306.10092882776917,320.6089812658989,335.53388194508,350.8603751996471,366.5701612012661,382.6417918998327,399.0505917530835,415.7686067469133,432.7645850131024,450.00399205552753,467.44906319775845,485.0588953655931,502.78957972281853,520.594375996654,540.4709977270071,564.4706531083177,594.2464397270061,631.114225412003,676.2318585953996,730.7669847047164,796.0253923784976,873.5452277610066,965.1694918759918,1073.1075482944357,1199.992668232131,1348.9391182035943,1523.5993766260858,1728.2195995020797,1967.6891886271706,2247.5780698936223,2568.0130327205393,2926.6157936149684,3320.9277221555344,3748.485003953814,4206.421684254008,4691.118954285665,5198.006381058173,5721.510764052808,6255.1264385116465,6791.579906473393,7323.063259927678,7841.511650377432,8338.900633458054,8807.540569876273,9240.347911118617,9631.077116238372,9974.50174386457,10266.538388698213,10504.312034900697,10686.165640143281,10811.620062433492,10881.2926790889,10896.784244348635,10860.54381085031,10775.721082085725,10646.014572849468,10475.522632688491,10268.602909934252,10029.744343696406,9763.454373642775,9474.162822207043,9166.142869628813,8843.448722419489,8509.868965249276,8168.894166957434,7823.697057948128,7477.123479771268,7131.692298967584,6789.602548799057,6452.7461898625115,6122.725043081861,5800.8706293775185,5488.265836357823,5185.767514007953,4894.029271847973,4613.523905112568,4344.565014832328,4087.327505418574,3841.866743705953,3608.1362463752257,3386.003829726518,3175.2662086290593,2975.662071969151,2786.8836918740785,2608.587145135144,2440.401239176487,2281.935243038136,2132.785527403136,1992.5412177627795,1860.7889622750329,1737.1169114677123,1621.1180012695852,1512.3926243973472,1410.5507682582274,1315.213690532678
IN,127.87244915171797,247.63298561470714,324.94052118819144,382.6730545830095,431.84436094759434,477.7897430717601,523.1271531278651,569.1759126163471,616.6365416018851,665.9163809536101,717.2853852511905,770.950503015003,827.0910482517302,885.8753947759903,947.4687346864949,1012.036561766829,1079.7461040122314,1150.7667618353244,1225.270049725504,1303.4292723889066,1385.4190396061003,1471.4146642518751,1561.591460149685,1656.1239439413712,1755.18493994946,1858.9445852973608,1967.569232541503,2081.2202479245,2200.052704697966,2324.2139726166065,2453.8422065957843,2589.0647396164713,2729.9963872309813,2876.737673446751,3029.372990314383,3187.9687061819927,3352.5712402524405,3523.205123735063,3699.871070451482,3882.5440821602706,4071.1716160257865,4265.671843486699,4465.932031193014,4671.807075592717,4883.118223082513,5099.652007323636,5321.159434309057,5547.355444015916,5782.133631177111,6031.345029500527,6301.800153167627,6600.916127487538,6936.69367165155,7317.859955473623,7754.097053201004,8256.320177551488,8836.99231675571,9510.47228601752,10293.397021676632,11205.099008786852,12268.057341170492,13508.376544878574,14956.281030410171,16646.604837514144,18606.60389630339,20856.78001186828,23413.675708476032,26290.19592733534,29495.016010162282,33031.70630640927,36897.85749902493,41084.35700441869,45574.90772097387,50345.84523176193,55366.28083788793,60598.57091851913,65999.08832276278,71519.25048491376,77106.74335755948,82706.87104093605,88263.95827463765,93722.73612122438,99029.64904986603,104134.03278452356,108989.12523452315,113552.8862299961,117788.6145426769,121665.361985259,125158.15375258625,128248.03136799185,130921.93962001038,133172.4818720924,134997.56936004866,136399.989874406,137386.91989031917,137969.40207665905,138161.80747733184,137981.29875803003,137447.30794950595,136581.0392461888,135405.00474525176,133942.59860688704,132217.7130208424,130254.39759148096,128076.56229914537,125707.72304143966,123170.78787743182,120487.88145898297,117680.20470262015,114767.92649890798,111770.10414210516,108704.62916162287,105588.19532225165,102436.28570956172,99263.17601103903,96081.95132642722,92904.53407947447,89741.72084762028,86603.22616825694,83497.7316142386,80432.93865315404,77415.62401177289,74451.69645737707,71546.25408062626,68703.6413200716,65927.50510681412,63220.8496298453,60586.089329289265,58025.099817217226
D,3701.0,3701.0,3702.3914588215953,3704.0866325773304,3705.7712435511876,3707.3973627076493,3708.993610830926,3710.600297190483,3712.2511443589156,3713.970818983885,3715.7768358968146,3717.6819856455922,3719.6962405941304,3721.8280319425176,3724.085039140635,3726.4746542465637,3729.004245566774,3731.6813028610522,3734.5135145822255,3737.508806654266,3740.6753594418556,3744.0216120365963,3747.5562587112927,3751.288240024394,3755.226729769294,3759.3811182775225,3763.760992228962,3768.3761109455227,3773.236379065388,3778.3518154692747,3783.7325183351536,3789.3886262216784,3795.3302751170645,3801.567551436295,3808.1104410036105,3814.9687741182843,3822.1521668688333,3829.6699589332075,3837.5311481791,3845.744322458073,3854.3175890681896,3863.258502440557,3872.5739906836475,3882.2702816933474,3892.352829604159,3902.826242415514,3913.6942116745186,3924.959445130462,3936.623603295169,3948.7331063777865,3961.3803328573003,3974.694699629934,3988.835106220207,4003.9863942831444,4020.3595671104986,4038.1948847933877,4057.7670702998535,4079.3921398896637,4103.435611636903,4130.322003277135,4160.545609129897,4194.682558985709,4233.404119727404,4277.491107550105,4327.849135418878,4385.386657074459,4450.9588397141615,4525.365763781722,4609.35230681812,4703.599133320347,4808.705826698446,4925.169567694004,5053.36266690915,5193.511672513293,5345.680166584502,5509.756791404783,5685.449492589444,5872.2864243604,6069.6234510089,6276.657726640223,6492.446471121429,6715.92980347946,6945.9563521538585,7181.310329522421,7420.738821161927,7662.9781772508495,7906.778580592466,8150.926079630348,8394.26159496696,8635.696617770633,8874.225506147042,9108.934443622064,9339.007248851165,9563.72831725011,9782.483035508538,9994.75604253987,10200.127719840393,10398.26928528143,10588.936841728942,10771.964699860773,10947.258256849269,11114.786672265069,11274.575542050545,11426.69973250703,11571.276500189497,11708.458991192778,11838.430184954766,11961.397323511883,12077.586847021405,12187.239840064702,12290.607980419401,12387.949972239503,12479.528438493364,12565.607242668924,12646.449206773821,12722.31419117866,12793.457501556522,12860.128588783924,12922.570008951841,12981.016612392432,13035.694932696231,13086.822748945608,13134.608796721099,13179.252605769532,13220.944444498225,13259.865353636278,13296.187253453698,13330.073110834186,13361.67715424863
R,0.0,1262.2140442923742,2311.433380097979,3276.279961842269,4224.477855330206,5192.362143201531,6200.1657481561115,7259.922535695546,8379.543469722583,9564.9144275721,10820.974087436134,12152.267289266858,13563.229162925827,15058.331196192561,16642.156444810418,18319.438207271698,20095.0796284628,21974.16307013418,23961.9536798337,26063.89934205078,28285.628049600324,30632.943149799656,33111.81662340077,35728.38040444598,38488.91567515102,41399.84003567309,44467.69243615139,47699.11575873862,51100.83694607724,54679.64458771271,58442.363896303315,62395.82903073365,66546.85275313129,70902.19344113124,75468.51951529148,80252.37138399106,85260.12105396361,90497.92960320043,95971.70276350828,101687.04491157136,107649.21181884312,113863.06256074156,120333.01103310012,127062.97756722136,134056.34117275095,141315.8929685176,148843.79138412586,156641.51972823325,164751.18467718345,173240.58155920566,182195.77432128324,191718.27629748406,201925.01033662344,212949.99136294838,224947.16443488433,238094.12660921965,252596.6293841823,268693.8478870257,286664.44287663454,306833.44825322815,329579.99732665723,355345.85720764066,384644.670878301,418071.7082634985,456189.81009344617,499522.7428673484,548571.4985113754,603812.1717647556,665685.6885232199,734583.964007521,810834.9151506517,894687.9136305496,986300.8871080108,1085730.0255520304,1192922.807650192,1307714.7987845328,1429830.3943315935,1558887.4116033204,1694405.1938085947,1835815.6984655051,1982476.9116058864,2133687.8607298164,2288704.4897335055,2446755.6989277583,2607058.9309387193,2768834.7860070565,2931320.2658803235,3093780.36368482,3255517.8296281327,3415881.043242054,3574270.008485176,3730140.556679804,3883006.8938027043,4032442.6640683752,4178080.722779904,4319611.82024745,4456782.3975229645,4589391.686072844,4717288.289438263,4840366.407292702,4958561.842679223,5071847.912873571,5180231.364258912,5283748.372535206,5382460.6920131305,5476452.001960135,5565824.484122428,5650695.653671048,5731195.455855184,5807463.632473665,5879647.355739313,5947899.122033042,6012374.8942392245,6073232.478637393,6130630.120522697,6184725.301677205,6235673.722370345,6283628.450601056,6328739.221695031,6371151.872043188,6411007.891632699,6448444.081014363,6483592.299417028,6516579.291819344,6547526.583888775,6576550.434773149,6603761.8387629865,6629266.567821005,6653165.247890411
G,305367.0,305367.0,305425.2308841786,305514.92665122845,305623.4636088986,305744.99555916595,305876.9350488279,306018.2683272432,306168.747455419,306328.5027077811,306497.8565356644,306677.2342295632,306867.12096376537,307068.04106271913,307280.5478783267,307505.218691666,307742.65194558335,307993.46550432284,308258.29530424817,308537.79408091644,308832.6300124907,309143.4851943205,309471.05389612814,309816.04057165707,310179.15760053176,310561.1227481168,310962.656333606,311384.4781005205,311827.3037877776,312291.8414037633,312778.78721050295,313288.82143010775,313822.6036911495,314380.76823843253,314963.91893569275,315572.6240969554,316207.41118848376,316868.7614493023,317557.1044840056,318272.8128867901,319016.1969601836,319787.4995956122,320586.89138555736,321414.4660384654,322270.2361676283,323154.12952387135,324065.9857389778,325028.5266653155,326059.993760416,327177.1411133013,328397.10820829426,329738.66191169183,331223.11556145776,332875.11213543254,334723.3824333719,336801.543048206,339148.97094056435,341811.77337738767,344843.8582410408,348308.09653211193,352277.5538203826,356836.7489153302,362082.8754478053,368057.990255514,374798.0454539826,382344.4251794294,390734.94804522995,399999.1030864802,410155.07819179096,421207.7621755819,433147.48515541665,445949.45065284276,459573.84913620073,473966.6220147954,489060.8078430612,504778.36723257764,521032.35820120684,537729.3224364627,554771.7448936398,572060.4619785226,589496.9140132456,606985.1623123494,624433.616923927,641756.4454933291,658874.6551173091,675716.8565304033,692219.7331651575,708328.2466724755,723995.6158019571,739183.1077204922,753859.6805525267,768001.5138088824,781591.4600244252,794618.446852562,807076.8544729216,818965.888767303,830288.9665295281,841053.1251429574,851268.4657692213,860947.6361794145,870105.3569255625,878757.9925721658,886923.1681460285,894619.4297697864,901865.9475695408,908682.2583390912,915088.0450545446,921102.9501199935,926746.4191490336,932037.5721150388,936995.0988074907,941637.175689344,945981.4014429059,950044.7487044269,953843.5297092636,957393.3737916219,960709.2148993531,963805.2874907544,966695.1293739917,969391.5902289487,971906.8447152057,974252.4092183297,976439.1614200295,978477.36199666,980376.6778559014,982146.2064141956,983794.5004987402,985329.593528592,986759.0246907561
H,7670171.239430057,7670171.239430057,7670171.239430057,7670171.239430057,7670171.239430057,7670171.239430057,7670171.239430057,7670171.239430057,7670171.239430057,7670171.239430057,7670171.239430057,7670171.239430057,7670171.239430057,7670171.239430057,7670171.239430057,7670171.239430057,7670171.239430057,7670171.239430057,7670171.239430057,7670171.239430057,7670171.239430057,7670171.239430057,7670171.239430057,7670171.239430057,7670171.239430057,7670171.239430057,7670171.239430057,7670171.239430057,7670171.239430057,7670171.239430057,7670171.239430057,7670171.239430057,7670171.239430057,7670171.239430057,7670171.239430057,7670171.239430057,7670171.239430057,7670171.239430057,7670171.239430057,7670171.239430057,7670171.239430057,7670171.239430057,7670171.239430057,7670171.239430057,7670171.239430057,7197354.620143723,6724538.000857389,6251721.381571054,5778904.76228472,5306088.142998386,4833271.523712052,4360454.904425718,3887638.285139384,3414821.6658530505,2942005.046566717,2469188.427280383,1996371.8079940495,1523555.1887077158,1050738.5694213822,577921.9501350484,105105.33084871457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
