series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
S,719319.5750514347,719049.7261792067,718882.4066171529,718744.2572300916,718609.8417841649,718470.0036308345,718321.117582962,718161.4192945975,717989.7482794487,717805.1161697467,717606.5574862912,717393.0772498077,717163.6318931145,716917.1217425824,716652.3876600144,716368.209347606,716063.3045065033,715736.328622567,715385.8753570624,715010.4775937132,714608.6092219033,714178.6877477076,713719.077829514,713228.0958362818,712704.0155246576,712145.0749261561,711549.4845270232,710915.4368108216,710241.1172167844,709524.716545246,708764.4448147919,707958.5465441399,707105.3173953947,706203.1220746819,705250.4133420424,704245.7519359669,703187.8271705052,702075.4779162228,700907.7136324184,699683.7350791214,698402.9543057347,697065.013490993,721933.2482832978,746681.6796744582,771305.376125087,795792.6786287661,820128.1668029455,844293.7002499378,868268.6900289146,892030.066712537,915552.1325154139,938806.3749767485,961761.2780584454,984382.1521280281,1006631.0005744041,1028466.4411233247,1049843.7015414252,1070714.7110691918,1091028.3098408908,1110730.5981322296,1129765.4449890924,1148075.1711822662,1165601.414211883,1182286.1732180298,1198073.019462145,1212908.4442670231,1226743.3020995613,1239534.2933412774,1251245.4208667013,1261849.3483997092,1271328.587940254,1279179.1626358514,1260147.137995225,1240572.5275061326,1220513.0127829404,1200090.9813949154,1179447.935719766,1158727.713637975,1138068.8741258907,1117600.4634544097,1097439.4043528058,1077688.9250355624,1058437.7803333465,1039760.1080201874,1021715.7878155373,1004351.1810647672,987700.1399480479,971785.1887076814,956618.7949929242,942204.6655607983,928539.0160099827,915611.7781320108,903407.7203913383,891907.4668448792,881088.407542233,870925.4992985498,861391.9599577521,852459.8621416495,844100.6342801319,836285.4776843998,828985.7087713084,822173.0354489024,815819.776273084,809899.0303938583,804384.8056105665,799252.1111104151,794477.0207169062,790036.7117538227,785909.4839548222,782074.762229065,778513.0865344743,775206.0916130235,772136.4789049857,769287.982577796,766645.3312755239,764194.2069119477,761921.2015887856,759813.7735158375,757860.2026369835,756049.5465209036,754371.5969541727,752816.837573612,751376.402791415,750042.0381979652,748806.0625711372,747661.3315752374,746601.2031959102,745619.5049278542,744710.5027088404
E,0.0,269.84887222793895,383.1979311026668,444.7066971079437,490.17960267165967,531.9805117255777,574.4690206264419,619.2719534979786,667.0869055879537,718.2998326876155,773.1966098191969,832.035436302258,895.071458802622,962.5649004116522,1034.7834034670022,1112.002240723789,1194.5036306922198,1282.5755627035082,1376.510252040297,1476.6022476814874,1583.1461823542302,1696.4341447536824,1816.7526527341229,1944.3792092341532,2079.5784281673423,2222.597725082314,2373.662577018621,2532.971367681955,2700.6898478309968,2876.9452565235097,3061.8201664110597,3255.3461352598047,3457.4972658102934,3668.1837963041053,3887.245863661831,4114.447599401326,4349.471733815251,4591.914895478623,4841.283799607501,5096.992518976418,5358.361024013519,5624.615163566104,5894.888234246462,6230.909362055963,6624.460297401956,7075.693929834406,7588.493946712405,8168.687302572798,8823.384088450099,9560.752844481585,10389.956738769535,11321.140956456658,12365.425195557957,13534.878778837898,14842.46411053013,16301.936742172953,17927.69103696519,19734.540972743216,21737.42679799043,23951.040529705617,26389.366971635245,29065.142204107044,31989.23832764435,35169.99135335015,38612.49794624435,42317.91536322231,46282.806262573315,50498.57486559024,54951.0420795087,59620.203819061586,64480.208593980235,69499.57782936786,74631.49921879187,79279.60831991627,83482.98728258214,87208.19576621888,90409.36678023505,93047.47135324782,95096.56531768497,96545.40611500238,97397.12327034891,97667.91491018227,97385.21287574207,96585.57962257686,95312.52307096496,93614.3678137163,91542.28255977674,89148.53007598987,86484.97702773879,83601.87749949751,80546.92578147573,77364.56098418725,74095.4976031119,70776.45153222486,67440.02939486831,64114.74963611044,60825.16590621895,57592.066281213,54432.72535768864,51361.18988496195,48388.582118897364,45523.408342961135,42771.86291309725,40138.120703229804,37624.61295188793,35232.283255464,32960.82185222776,30808.877433351085,28774.246545545942,26854.041256629556,25044.83617989168,23342.796231164524,21743.786655170854,20243.466931692772,18837.370179643167,17520.969636506594,16289.733716555495,15139.17105536372,14064.866839439102,13062.511605110383,12127.923575183555,11257.065488949947,10446.056773373195,9691.181802313638,8988.894897402763,8335.822639089005,7728.763979503252,7164.68857994033,6640.733734547292
I,393.2969374321287,236.01311225023525,190.2021860097128,183.11462040827757,189.9331541661236,202.21009580104703,217.10160037816007,233.68584443065674,251.70248361193902,271.1208567419101,291.99203721502914,314.3981316918042,338.43488786734787,364.2056897858473,391.81941774644736,421.38958576910227,453.0338620086791,486.8736577201832,523.0336691108432,561.6413243309839,602.8261110096303,646.7187677208949,693.4503257861751,743.1509894385682,795.9488438815421,851.968382661769,911.3288482720176,974.142383129846,1040.511992121565,1110.5293228059286,1184.272275151433,1261.802459306825,1343.1625272983279,1428.3734125725314,1517.4315197585847,1610.3059156351403,1706.9355807141783,1807.226788688055,1911.0506877666612,2018.2411631615992,2128.59306314633,2241.8608717487814,2357.7579087867175,2475.956132303321,2607.370056166321,2757.07005696293,2928.1263316473724,3123.080342842268,3344.5060576292253,3595.2279158322667,3878.411186169399,4197.604700038366,4556.764225593516,4960.265143503506,5412.905573619622,5919.898073349201,6486.846667589158,7119.705283915153,7824.713354091669,8608.304366740624,9476.983579671038,10437.172018758483,11495.015390478933,12656.158665047938,13925.489825175317,15306.859504917338,16802.786735483256,18414.164430951856,20139.981161473086,21977.077713729945,23919.95750297111,25960.668769087682,28088.773541905943,30289.581801425436,32446.931418041357,34498.149657839414,36399.60798184852,38116.86923812911,39622.242781101595,40894.4417598124,41918.66848866544,42686.60636221712,43196.18037385529,43451.083122419775,43460.11181169263,43236.37705980835,42796.444927667864,42159.466995582465,41346.34331791442,40378.951889764045,39279.46728973536,38069.78130471777,36771.03008247803,35403.225881881204,33984.98677217737,32533.354507885648,31063.689034207804,29589.62739017792,28123.094907004557,26674.35730565237,25252.103374387178,23863.549186955934,22514.55617717285,21209.756722859474,19952.68214815364,18745.88918922293,17591.08196423796,16489.227337793945,15440.662276230443,14445.19236322316,13502.181098036108,12610.629947093319,11769.249378567902,10976.521294414231,10230.753398436531,9530.126114855662,8872.732710053091,8256.613279773497,7679.783252570591,7140.257033815245,6636.067378059681,6165.281034821028,5726.011166877481,5316.426993187928,4934.761062177821,4579.3145165245905,4248.460668489692,3940.647165751563,3654.3969918411617
A,43.700623991829154,35.58239710722766,34.36944366527801,35.648876337662706,37.92084627756996,40.68024279197478,43.763074690041336,47.123010117781824,50.754861817364365,54.66835853375219,58.87914108477612,63.40566239834474,68.26811157668278,73.48803031362795,79.08816315676208,85.09238244419439,91.52563140933728,98.41386416135431,105.78397331592234,113.6637001715417,122.0815237259491,131.0665253093933,140.64822580751135,150.85639258497181,161.72081339295107,173.27103479284858,185.53606298312752,198.54402539724725,212.32179206631824,226.89455652492754,242.28537699272385,258.5146796920877,275.59972746022567,293.5540582696321,312.3868998603722,332.1025683750145,352.6998606230541,374.1714513237955,396.5033083099153,419.6741401327803,443.65489170217256,468.40830442151287,493.88855765167807,520.0410081677377,548.0557874775857,578.7375669192724,612.7445926297293,650.690505272481,693.1914929978087,740.8914817844725,794.4781522957563,854.6947048327663,922.3491864956883,998.3219355580459,1083.5711451269694,1179.1362623438051,1286.1387573682136,1405.7796626929,1539.3331854909877,1688.1356395165174,1853.5689428236403,2037.0380011585473,2239.9414622543463,2463.635597536886,2709.3914508538746,2978.3458820447936,3271.447703396278,3589.4007180345006,3932.6060628817972,4301.106764687348,4694.537762105615,5112.084763864839,5552.455156372244,6013.660176373236,6482.152824664127,6947.6843853670125,7401.241208508452,7834.566731609282,8240.157601146537,8611.385454388186,8942.62841510558,9229.371570715268,9468.262713352191,9657.121027017383,9794.90209750905,9881.625717978684,9918.2745287218,9906.672034122435,9849.348277951223,9749.400667864962,9610.356324017119,9436.041054148016,9230.458760885867,8997.683862428537,8741.768218229408,8466.663131561152,8176.15626345661,7873.822733843757,7562.989291124242,7246.710180002852,6927.753205162739,6608.594451158554,6291.4201538173675,5978.134305091453,5670.370694269377,5369.508229418333,5076.688532611447,4792.834952341627,4518.672280377664,4254.746594016269,4001.444765679403,3759.013288816131,3527.5761617597213,3307.1516499165514,3097.667812243804,2898.9767315213257,2710.8674307114443,2533.0774910589244,2365.303412826933,2207.209777944994,2058.4372865167643,1918.6097471407795,1787.3401052567954,1664.2355950433348,1548.9020994417106,1440.9478002430048,1339.986196324027,1245.6385634455887,1157.5359238447145
IH,0.0,78.65938748642574,101.19826266387332,107.50786068023702,110.42156339155353,113.78537780118765,118.54985241034093,124.79872108664455,132.40509814763232,141.2298142026398,151.17120435785282,162.1696955503032,174.2008152559712,187.266913879735,201.39028166298235,216.60799577444624,232.9682105951896,250.52751527209665,269.34903760674814,289.50105084267864,311.05590669437,334.08916843343144,358.678854089947,384.90472530940633,412.8475752222993,442.58848121480514,474.20799746871353,507.7852688020213,543.3970525616331,581.1166397115971,621.0126702561827,663.1478420359633,707.5775159365704,754.3482247753952,803.49609763727,855.0452162140641,909.0059247094011,965.3731199915871,1024.1245537605912,1085.219183340081,1148.5956120774686,1214.1706639704644,1281.838139759739,1351.4678030573307,1422.9046448628465,1498.2251622113363,1579.8688392670763,1670.124296338088,1771.0708465566936,1884.6506252925726,2012.7616969567077,2157.3400392832514,2320.424368096564,2504.205311008538,2711.0616977944474,2943.5860972106716,3204.6006863866382,3497.1635503361895,3824.5646932872805,4190.310420966151,4598.09433036914,5051.752938193016,5555.2040218011925,6112.366075962272,6727.057940654686,7402.878650447043,8143.0688850228435,8950.357011224145,9826.794495944276,10773.587280149928,11790.93133787749,12877.86187831399,14032.126269965564,15250.090602667075,16526.32237923566,17833.86004271181,19141.66131855492,20419.691567626724,21640.446118283235,22779.506293240727,23815.852551190168,24732.09651662127,25514.63863937007,26153.728523558086,26643.41154164282,26981.35958759618,27168.596659513067,27209.138891811926,27109.573471108415,26878.602174460626,26526.57392509396,26065.02764440402,25506.262568230148,24862.948721505963,24147.785879104467,23373.215399785106,22551.185989936454,21692.971813466917,20809.039414191902,19908.95860453789,19001.351714718785,18093.875290404183,17193.228372742167,16305.18179708804,15434.623421868802,14585.614776343566,13761.455239532015,12964.750489755923,12197.482564627398,11461.079424705984,10756.48240850424,10084.210396544155,9444.41986700943,8836.960327792267,8261.424854160436,7717.195653890663,7203.484729112,6719.369812927211,6263.825835503029,5835.752224618454,5433.996374894312,5057.3736326899925,4704.684143868052,4374.726902580822,4066.311323626698,3778.26664093712,3509.4494121135294,3258.7493849739853,3025.093957803497
IN,78.62443769546769,143.008995050678,164.28990631746504,172.55846100694816,177.9125925435911,183.66012395606552,190.82100207149045,199.6619321706882,210.21703305726192,222.46219845366952,236.37155852284315,251.93413892281092,269.15736693957405,288.0664657142121,308.70275777961524,331.121848019529,355.391963286522,381.59249686158313,409.812734360071,440.15071880334403,472.7122106875934,507.6097019642447,544.9614469661097,584.8904772906602,627.5235712327989,672.9901515929345,721.4210887113876,772.9473885564466,827.6987487763233,885.8019689582152,947.3792050475597,1012.5460620739133,1081.4095240883146,1154.0657255917408,1230.597574739946,1311.0722452181371,1395.538560811889,1484.0243042263498,1576.533489434619,1673.043644520702,1773.503159320764,1877.8287588097771,1985.9031687462773,2097.5730441765527,2212.647233617602,2333.151138408537,2461.7569588281176,2601.2666924407745,2754.482926285044,2924.2152281156823,3113.3289543982137,3324.803281759136,3561.7872711660148,3827.650450913563,4126.026772416148,4460.851230106008,4836.388189417026,5257.249992240172,5728.403883427021,6255.164808840556,6843.171236430149,7498.340909748605,8226.80342870574,9034.80684028791,9928.59608353913,10914.262222216259,11997.562936002021,13183.71669834011,14477.175354583107,15881.382268479496,17398.525605116836,19029.298396699145,20772.678513131214,22625.742278530095,24583.158833110832,26617.34069990273,28693.16786556557,30773.159164672332,32819.737374849254,34796.5953156571,36669.7460177904,38408.39975990901,39985.680646681576,41379.16553049698,42571.23057108079,43549.20248759554,44305.3242492623,44836.55546176999,45144.23499886456,45233.637400936444,45113.455577245586,44795.24098641881,44292.82938378311,43621.77604565902,42798.81966444763,41841.389302976786,40767.16423681385,39593.692425161295,38338.06986578184,37016.680261476395,35644.99225114302,34237.40989301836,32807.171061670364,31366.287851005658,29925.522876674448,28494.395459496714,27081.211970896187,25693.115065548307,24336.147060005387,23015.323294174963,21734.71190047018,20497.516977473017,19306.16270299548,18162.37641380677,17067.26911942931,16021.412302650104,15024.9101900319,14077.46695410392,13178.448538805973,12326.938985718727,11521.791285601643,10761.672892825398,10045.106124331174,9370.503724383028,8736.199915820696,8140.477281548541,7581.5898299360015,7057.782597530915,6567.308134447598
D,3701.0,3701.0,3701.709569635671,3702.6224576794702,3703.592263267491,3704.588352749112,3705.6147864864074,3706.684199537687,3707.809982306704,3709.004380588407,3710.278384760216,3711.642068102127,3713.104966498181,3714.6763950709765,3716.3656901456147,3718.1823891227323,3720.1363638682337,3722.2379206384726,3724.497876168483,3726.927616655795,3729.5391441763754,3732.345113475647,3735.3588609392646,3738.594426736969,3742.0665705513734,3745.790780882768,3749.7832776133323,3754.0610072874183,3758.64163039798,3763.543499849701,3768.7856296894947,3774.3876531511796,3780.3697690524846,3786.752675609934,3793.5574908027206,3800.8056585228405,3808.5188398981204,3816.718789369251,3825.427215342657,3834.6656255275693,3844.455157395951,3854.816394573595,3865.7691703732357,3877.332360106634,3889.523664250744,3902.3593849792337,3915.8745561046994,3930.1262175084967,3945.192054229922,3961.168508350615,3978.1695415430827,3996.3262375159375,4015.787144021938,4036.7191996364877,4059.309104121623,4083.7650161577735,4110.3184814377355,4139.226503915062,4170.773673879003,4205.274260048507,4243.074160782114,4284.55259359274,4330.12338439596,4380.235700545225,4435.374057303426,4496.057418878184,4562.837215603915,4636.294111298485,4717.03338179783,4805.6788087852165,4902.865052481361,5009.228540947157,5125.396999070392,5251.977831228366,5389.545661066234,5538.626106825345,5699.50157226547,5872.174435377807,6056.3761380500355,6251.590008365985,6457.079098705628,6671.916848629087,6895.019840852442,7125.181979436832,7361.109212192118,7601.453771497228,7844.84688838085,8089.929031141098,8335.376896772079,8579.926603879943,8822.392767954358,9061.683359924398,9296.810440879419,9526.897020704237,9751.180402888838,9969.012452896262,10179.857267045703,10383.28672840006,10578.974421861421,10766.68834880166,10946.28283783894,11117.68999780183,11280.911005591948,11436.00746873895,11583.093052253123,11722.325513477968,11853.899247950196,11978.038414204217,12094.990676045418,12205.02157681971,12308.409541202067,12405.441485482343,12496.409006661426,12581.605113296682,12661.32145638812,12735.846016154126,12805.461199840596,12870.442306331914,12931.056314938578,12987.560958033735,13040.204039962171,13089.222967660235,13134.844461555276,13177.284418445195,13216.747901109104,13253.429232309762,13287.512173577772,13319.170171692604,13348.566658084492
R,0.0,22.358107224858855,78.82313400656662,145.78084724199465,216.3952440712839,289.28871489469856,364.76013092928974,443.55209511535804,526.4724065767368,614.2954395995378,707.7506285031857,807.5346677789203,914.3275504992788,1028.8069127957729,1151.6596765814006,1283.5912610943924,1425.3328821907462,1577.6474106300595,1741.3341508894118,1917.2327983551754,2106.2267500027874,2309.2458811893607,2527.2688547170656,2761.3249936777934,3012.4957234483786,3281.9155681706643,3570.7726714638,3880.3087988776188,4211.818770014995,4566.649260934372,4946.196912213868,5351.90567489459,5785.263325513348,6247.797082748974,6741.0682620512,7266.665911220858,7826.199379477179,8421.289785253823,9053.560363913886,9724.625695773735,10436.079837163421,11189.48340247115,11986.349672803213,12828.129836450047,13716.197497022555,14652.065522915607,15638.395447973258,16679.19795430621,17779.802151266278,18946.792415046337,20187.97303100462,21512.373005027373,22930.288537395594,24453.35712439733,26094.657178981135,27868.82769743993,29792.202966626566,31882.95737729194,34161.25506838007,36649.398424500454,39371.96845685517,42355.948904945086,45630.824610717085,49228.64347223117,53184.03024218648,57534.13978446385,62318.53734068067,67578.99408671755,73359.18794565497,79704.30237905307,86660.51972397987,94274.41048481358,102592.22560448342,111659.1047826724,121518.18211730468,132207.4552451649,143749.81085220157,156150.6471703073,169397.89384193913,183462.90489806898,198301.79110433365,213857.06229510915,230059.51787574554,246830.3254732524,264083.217178326,281726.72579598625,299666.3835375752,317806.8121008466,336053.6443156721,354315.231501744,372504.105623441,390538.1798331347,408341.68406823894,425845.84338966274,442989.3154249968,459718.4095691805,475987.1146435142,491756.9637850334,506996.76576116134,521682.23102911294,535795.5190254895,549324.7306877435,562263.3673417701,574609.7740570743,586366.5825432722,597540.1657651075,608140.1137745843,618178.7378521282,627670.6079412916,636632.1265603115,645081.1408706881,653036.5933593491,660518.2106217955,667546.2289902307,674141.1552031207,680323.5599314197,686113.9017338557,691532.3788835491,696598.806467878,701332.5161928006,705752.276404555,709876.2299612464,713721.8477322687,717305.8956650265,720644.4135282297,723752.7036130562,726645.3278430912,729336.1119077565,731838.1551895365
G,305367.0,305367.0,305415.5733456792,305484.5497524262,305564.5978621187,305652.83118727175,305748.58876104746,305851.9943528164,305963.46456359903,306083.54156297905,306212.8369933672,306352.0139552595,306501.78202555457,306662.89670806954,306836.1603473072,307022.42346393527,307222.586128277,307437.5992105614,307668.4654196828,307916.2400638802,308182.0314708081,308467.00100261066,308772.36259799125,309099.38176944945,309449.37398057815,309823.70232601266,310223.7744356901,310651.0385258731,311106.97852229484,311593.10818616196,312110.9641819702,312662.09803746064,313248.06696083624,313870.4234987407,314530.70404051867,315230.4161998355,315971.02513355005,316753.93888932886,317580.4929071618,318451.9338347747,319369.4028518013,320333.91873116983,321346.3608970269,322407.45276514714,323529.02911949804,324721.44544241024,325995.08473664447,327361.0290765825,328831.4094002707,330419.6364765985,332140.5914282888,334010.8047669542,336048.6331581612,338274.4348357282,340710.7405361117,343382.4142548864,346316.79601487267,349543.8168535346,353096.0743544676,357008.855376372,361320.0913708807,366070.23108273617,371302.0157770357,377060.1437190769,383390.8136731053,390341.1418134331,397958.45262296643,406289.4518561147,415379.2980096423,425270.5973147858,436002.35522676015,447608.9238799683,460118.9892013272,473552.8108074134,487823.3015026074,502850.40895772586,518548.0615142893,534821.9313622513,551570.6653973598,568688.2405124479,586066.6099169515,603598.2901411966,621178.7134112068,638708.2497402056,656093.8504577565,673250.2984075375,690101.0749581893,706578.8719500033,722625.7886275677,738193.2603406988,753241.768276599,767740.3786916845,781666.1569726205,795003.4971980433,807743.4023821577,819882.744797669,831423.5300953804,842372.1836330679,852738.8726644588,862536.8739057919,871781.9925167438,880492.0356856615,888686.3417492113,896385.3640407245,903610.3073793272,910382.8142120244,916724.6968350902,922657.7117870573,928203.372368122,933382.7952524084,938216.5772803755,942724.6987159101,946926.4494999507,950840.375309079,954484.2405174117,957875.0054513877,961028.8156109888,963961.0008015517,966686.0823736846,969217.7870025903,971569.0656512483,973752.1165542408,975778.4112310132,977658.7226899744,979403.1551192729,981021.1744777418,982521.6395018358,983912.8327328844,985202.4912450887
H,787406.0962483905,787406.0962483905,787406.0962483905,787406.0962483905,787406.0962483905,787406.0962483905,787406.0962483905,787406.0962483905,787406.0962483905,787406.0962483905,787406.0962483905,787406.0962483905,787406.0962483905,787406.0962483905,787406.0962483905,787406.0962483905,787406.0962483905,787406.0962483905,787406.0962483905,787406.0962483905,787406.0962483905,787406.0962483905,787406.0962483905,787406.0962483905,787406.0962483905,787406.0962483905,787406.0962483905,787406.0962483905,787406.0962483905,787406.0962483905,787406.0962483905,787406.0962483905,787406.0962483905,787406.0962483905,787406.0962483905,787406.0962483905,787406.0962483905,787406.0962483905,787406.0962483905,787406.0962483905,787406.0962483905,787406.0962483905,761142.6501632797,734879.204078169,708615.7579930582,682352.3119079474,656088.8658228366,629825.4197377259,603561.9736526151,577298.5275675043,551035.0814823936,524771.6353972828,498508.18931217206,472244.74322706135,445981.29714195064,419717.8510568399,393454.4049717292,367190.9588866185,340927.5128015078,314664.06671639706,288400.62063128635,262137.17454617564,235873.72846106492,209610.2823759542,183346.8362908435,157083.39020573278,130819.94412062205,104556.49803551132,78293.0519504006,52029.605865289865,25766.159780179136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
