series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
S,312710.8604593128,312610.7428146533,312519.93281858077,312432.2268399024,312343.5681029325,312251.2006102626,312153.1487028785,312047.895636754,311934.1842268865,311810.8925326734,311676.95574981516,311531.31659804727,311372.8933227183,311200.5586315733,311013.1254812139,310809.3372311249,310587.8606774696,310347.2810979403,310086.09882663266,309802.72712258267,309495.49125148373,309162.62880026776,308802.2913086853,308412.5473426219,307991.38715745125,307536.7291099192,307046.4279756156,306518.28531663184,305950.0620205231,305339.4930969879,304684.3047726353,303982.23386705195,303231.0493658699,302428.5760301331,301572.7197982225,300661.49465001374,299693.05051668896,298665.7017382093,297577.9554988133,296428.53961402614,295216.4290052553,293940.8701840753,292601.4030806188,291197.8795904695,289730.4782817786,288199.7147968908,286606.44759676623,284951.8788266417,283237.5502213563,281465.33411162475,318306.1426758043,354757.79367825,390797.7849911958,426390.5110570032,461485.57243722025,496016.94244741404,529902.4711840837,563043.468847641,595324.3086257007,626612.1270087697,656756.789132332,685591.3398342663,712933.1833506563,738586.2263849427,762344.178042915,783995.1234554776,803327.3772386429,820136.4862246529,834233.1034819345,845451.318528467,853656.9243800092,858755.0494496387,860696.5917195234,859482.9637114203,855168.7792043491,847862.2690426925,837723.383615299,824959.7045723812,809820.4326081192,792588.8309703289,734904.8569222044,679697.5405427396,627013.7225521398,577032.8482650915,529943.4476159409,485889.589196335,444951.4507292912,407143.0391562383,372418.4171986646,340681.7668281596,311798.6676478878,285607.1057803205,261927.40456016627,240570.6889610402,221345.76225004785,204064.43943179675,188545.47929058113,174617.30623924246,162119.72983952233,150904.86509713845,140837.4389646086,131794.64414121784,123665.67461090285,116351.05127387552,109761.82221803945,103818.70150477515,98451.19308814226,93596.73255013331,89199.86840543961,85211.49639373073,81588.15399591552,78291.37796329198,75287.12455969029,72545.25016668819,70039.04862736656,67744.84099424412,65641.61303760756,63710.69583594339,61935.48491673683,60301.19367478779,58794.63711713573,57404.04233423092,56118.88245275951,54929.73117127248,53828.135306092816,52806.50307663375,51858.00613386502,50976.493582747804,50156.416469792865
E,0.0,100.11764465949241,170.90411180017423,224.4292681184942,268.2021514647447,306.92921384166925,343.5952784573923,380.12928889041984,417.81484097985197,457.54356699702,499.97163645580855,545.6164609325587,594.9164440750193,648.2678464049992,706.047427483397,768.6261920756872,836.3775073158854,909.681585382001,988.9275396131998,1074.5137357405265,1166.8468596913542,1266.3399389690328,1373.4094427576665,1488.471520269572,1611.9374013862962,1744.2079686410418,1885.6675092164564,2036.6766663569206,2197.5646291942503,2368.6206268906126,2550.0848258650894,2742.1387662753973,2944.8955142023715,3158.3897470986676,3382.568029589587,3617.2795718803973,3862.267790829116,4117.163011142944,4381.476648310358,4654.597203435466,4935.788371519248,5224.189518395377,5518.818718172795,5818.578464687528,6122.264080440986,6428.574749240557,6736.1269995170205,7043.47036973811,7349.104901075909,7651.5000305922695,7949.114404796978,8576.363465894623,9489.82240427261,10667.854802113365,12107.945405976388,13823.70925909005,15842.16161510507,18201.454573029456,20949.046824866666,24140.14202132708,27836.174438002123,32103.11179297008,37009.368862488875,42623.175000207506,49009.31128669638,56225.22656129717,64316.65041037527,73312.934286793,83222.45311665548,94028.47039129463,105685.89340599618,118119.31259967008,131222.63075435406,144860.4555560891,158871.2718964452,173072.25062331549,187265.4088705486,201244.72908385933,214803.77817585223,227743.34712297432,239878.6517465039,247110.23777666787,250372.00821193404,250278.4808565955,247312.18533442696,241903.6066871475,234461.02381676182,225377.23062646235,215026.40645874356,203757.7755374998,191889.3196102717,179703.01755578464,167442.11526478193,155310.40781095158,143473.25295975362,132059.925186054,121166.90029005881,110861.69328338571,101186.93102642868,92164.40956352682,83798.9537833513,76081.95785007179,68994.53581037243,62510.251985325274,56597.43064409629,51221.06522854133,46344.36059946595,41929.94901758171,37940.823358759066,34341.030698716124,31096.166956788118,28173.709598054036,25543.221082044918,23176.451258638033,21047.362546232056,19132.097670108087,17408.90609272304,15858.042075842599,14461.644579880638,13203.60690585355,12069.4420823349,11046.14844877273,10122.078640489593,9286.814193878714,8531.047220282635,7846.47000568517,7225.672947316871,6662.050908970711,6149.7178401315105
I,216.93644084121604,190.91136462215238,179.35366101534544,177.20395003200994,181.3775532311789,190.0107670500042,201.99680045188398,216.69987750071218,233.77908008917566,253.0798447083902,274.567189215455,298.28468466994184,324.3293076706981,352.8360803820982,383.96873072582395,417.9140388246692,454.8784193856791,495.0858339118676,538.7764613509396,586.2057612187464,637.6436889175557,693.3738995541986,753.6928230578336,818.9085216390267,889.3392580483292,965.3117144005661,1047.158809582373,1135.2170704795894,1229.8235198295104,1331.3120523844686,1440.0092819380466,1556.2298550505975,1680.2712432410412,1812.40804399514,1952.8858419533194,2101.914704612221,2259.6624110745684,2426.2475368298747,2601.7325410352087,2786.1170239050075,2979.3313391256597,3181.2307581976715,3391.5903889064175,3610.101047605662,3836.3662739046595,4069.9006563854896,4310.129609386624,4556.390704482003,4807.936617417569,5063.939703767424,5323.4981666234235,5585.643729623548,5887.419925371643,6256.505449291907,6714.806665493621,7281.316885024284,7974.293704544217,8812.865766748806,9818.19028114948,11014.264278790779,12428.461580735913,14091.833745487596,16039.182589702814,18308.887581722545,20942.455631785997,23983.75514908119,27477.90185851118,31469.781149862116,36002.2197553412,41113.855678647036,46836.79509695739,53194.18266252387,60197.841106138454,67846.15199002273,76122.34850279873,84993.37254391385,94409.41384268153,104304.20245038727,114596.07286460644,125189.7638899909,135978.86828835512,146848.80453898257,157234.19068634795,166743.30061625387,175101.03876122943,182119.99157935876,187684.01101654413,191737.1486657923,194274.67908865196,195334.84539709042,194990.87658175483,193343.25001478248,190512.34274875524,186631.65503802788,181841.7654658433,176285.12610275604,170101.7488260792,163425.78134554345,156382.92889640896,149088.6467501783,141647.00933669464,134150.15240669355,126678.18331446814,119299.45908746775,112071.14054237734,105039.94165599169,98243.00538835385,91708.84920249404,85458.33494743894,79505.62813897071,73859.12075533536,68522.29938107853,63494.54690431816,58771.87109192894,54347.55736361824,50212.74610823659,46356.93708568998,42768.424980737116,39434.67115347634,36342.61718258213,33478.94602184636,30830.296572492807,28383.437282057133,26125.40407074166,24043.607501623716,22125.91368543706,20360.702969040092,18736.91001751246,17244.04847601928
A,165.9407438154987,156.9562097564197,157.13641567085475,163.44270118452778,174.04715540907233,187.87172643479678,204.30469096088729,223.0261734757821,243.90082011100432,266.9118687415892,292.12075230533276,319.6424549556874,349.6305849704209,382.26843504425574,417.763722079536,456.34557442436943,498.2628737611617,543.7833903736098,593.1933537954142,646.7972249315084,704.9175109623388,767.8945094662139,836.0858948869998,909.8660760261048,989.6252622582679,1075.7681816285567,1168.7123978498853,1268.886176840766,1376.7258577970547,1492.6726896086925,1617.1691012668527,1750.6543851657054,1893.55978514867,2046.3029968849462,2209.282106609819,2382.869015137321,2567.4024168469446,2763.1804273152347,2970.4529774426746,3189.414115156725,3420.194376752496,3662.8534072961847,3917.373021923447,4183.650906108405,4461.495152093085,4750.619820025659,5050.641695751586,5361.0783928942,5681.347915586932,6010.769761161142,6348.567600809896,6693.873532570049,7074.854085387695,7514.38666439911,8032.234558068833,8646.872986117627,9376.95702850807,10242.473429909607,11265.63385140529,12471.561110879018,13888.802904365833,15549.686449115914,17490.50681186895,19751.524190742857,22376.733158417876,25413.361572294118,28911.059949215378,32920.7544596596,37493.1581882187,42676.9644059578,48516.77924682246,55050.885056291096,62308.95488724796,70309.85859863594,79059.70844703345,88550.28547385054,98757.96791965434,109643.25164046056,121150.91357389369,133210.8267902045,145739.393621294,158641.52536615625,171471.93722320374,183890.40503392115,195628.39237744387,206473.72832183426,216263.04435338566,224877.20721726303,232237.5816326877,238302.22408271107,243061.7330783009,246534.7791076987,248763.4639726218,249808.69473479094,249745.74590890462,248660.14978379893,246644.01330248459,243792.8190709945,240202.7322418105,235968.40623074805,231181.25893253743,225928.17682624492,220290.59613219884,214343.9068153928,208157.1255308431,201792.7864813291,195307.00367778097,188749.66351203498,182164.71230547174,175590.509180863,169060.2199492316,162602.23254666434,156240.5788170472,149995.35109332897,143883.1050995854,137917.24322121398,132108.37422725165,126464.64713914736,120992.05818680018,115694.73073463216,110575.16875206049,105634.48489192766,100872.60456871286,96288.4476308299,91880.08932729939,87644.90230258049,83579.68133377194,79680.7524672138,75944.06812889561
IH,0.0,12.651265136453395,17.838865706802263,19.91433777894023,20.888997118741106,21.648974146167774,22.555241763743552,23.734574405436096,25.21708700710815,26.998859248507117,29.0687995011243,31.41898898169414,34.04777160740878,36.959925099909086,40.16585591198829,43.68062785133371,47.52311753590779,51.715367466822556,56.28212139366111,61.250500527458016,66.6497772929593,72.51120965357903,78.86790686997122,85.75470441327775,93.20803103708289,101.26575482783605,109.96699773534935,119.35190998758631,129.46139722336608,140.33679437558317,152.0194814909635,164.5504379173172,177.96973272385767,192.3159509095364,207.6255569334691,223.93219937591647,241.26596308336013,259.6525779114545,279.11259606834506,299.66055296159175,321.3041292221908,344.04333405675254,367.8697320910909,392.7657372439502,418.70399775183637,445.64689612757076,473.5461864915924,502.3427893355654,531.966760393542,562.3374460022737,593.3638322864899,624.9450899177605,656.9713103178813,691.544539473191,731.393049526011,779.240390312837,837.6377258207817,909.0019481309553,995.7295810802948,1100.324654724209,1225.5137910066035,1374.3385154305988,1550.2217339889658,1757.0071960103473,1998.970343918511,2280.7978084755587,2607.5318728673437,2984.476061220384,3417.0589259410126,3910.6552295009533,4470.366947433461,5100.770552794764,5805.641379037372,6587.66987569405,7448.187630465256,8386.922597026225,9401.80271036973,10488.824922927852,11642.00284960663,12853.401076441558,14113.258308606404,15410.195498686982,16731.49946388696,18037.460204525043,19284.18630831977,20432.3718044661,21450.2544893409,22314.22649862621,23008.51258212649,23524.47608492169,23859.769728948042,24017.419984550404,24004.890541949633,23833.157379158783,23515.823346934652,23068.29636391726,22507.05031476832,21848.981752509164,21110.869264014796,20308.93656575049,19458.515530238023,18573.80163555956,17667.691818696374,16751.69330367324,15835.891495767355,14928.965279896376,14038.238830645587,13169.76014833817,12328.39782479393,11517.948891861553,10741.25192565741,10000.300808664364,9296.355653325227,8630.0483461731,8001.480976457397,7410.316072907557,6855.858098174429,6337.126057522433,5852.917382891302,5401.863471924509,4982.477409505662,4593.194490848485,4232.406212629663,3898.4884126213938,3589.824227611772,3304.822511321603,3041.9323143201937,2799.6539811444845,2576.547369410715
IN,13.373811082610269,26.346119645535744,37.324571915938115,47.26091869534227,56.766434450572966,66.24387637365129,75.96901569070396,86.14111251631647,96.91425022067075,108.416869254905,120.76402547693311,134.06516399220808,148.4291302860801,163.9674805979172,180.7967459929792,199.0400526779693,218.8283451388164,240.30136186693682,263.60845308361934,288.90929196251557,316.37450674307473,346.18624549248506,378.53867482915194,413.6384066561016,451.7048416472273,492.970414156803,537.680719969583,586.0945056620454,638.4834962230789,695.1320359904533,756.3365169627725,822.4045682496876,893.6539809541734,970.4113442778212,1053.010371237942,1141.7898962005354,1237.0915315500272,1339.2569772718455,1448.6249849924402,1565.527987004595,1690.2884108226626,1823.2147105953559,1964.5971579019874,2114.7034456467554,2273.7741694633064,2442.0182607344022,2619.6084535023556,2806.676873708871,3003.3108429364547,3209.5489898022897,3425.377760176529,3650.728412398195,3885.47457573021,4131.7773523387705,4393.439315437559,4675.499374087179,4984.016071060807,5325.99161615607,5709.39725455079,6143.269233007468,6637.851897678475,7204.769599207369,7857.211989936724,8610.118229001768,9480.345016367937,10486.801827458254,11650.534868576498,12994.739824108266,14544.683126040558,16327.512873713626,18371.94411432879,20707.809123291947,23365.47139852048,26375.11173258949,29765.905069644305,33565.11682767536,37797.15589154112,42482.62762397682,47637.43333838537,53271.96240854184,59390.41959117411,65990.32356067016,73062.20370318255,80562.01876507775,88422.90034314351,96563.02829186911,104891.48506524046,113312.92224683025,121731.40479069634,130053.58645324362,138191.28102102142,146063.46422636113,153597.73855713563,160731.30105409856,167411.46429355,173595.78907181288,179251.8922355222,184356.9943491133,188897.26985907313,192867.0578184564,196267.98487762985,199108.04488724054,201400.67174307402,203163.83453460434,204419.17700116584,205191.2169834211,205506.61610614267,205393.5253794515,204881.0087360143,203998.543666402,202775.5959843893,201241.26424745083,199423.98837208934,197351.3164204357,195049.72330385988,192544.47517193775,189859.53346336875,187017.49293306624,184039.54839101885,180945.48535757078,177753.69032872265,174481.1768331668,171143.62393511648,167755.42428333475,164329.73922061324,160878.55884566394,157412.7652595204,153942.19753124123,150475.71718424454
D,10853.0,10853.0,10853.21718465338,10853.523425003532,10853.865295045869,10854.223897094736,10854.59554569235,10854.982752213717,10855.390204374413,10855.823106874032,10856.28659711191,10856.785622077063,10857.324992816508,10857.909491947243,10858.543984105554,10859.233512575624,10859.983379242476,10860.799210046613,10861.687009332818,10862.653206222582,10863.704695428047,10864.848874181962,10866.093676323486,10867.44760407946,10868.919757698319,10870.519862802019,10872.258295095107,10874.146101889834,10876.195019758632,10878.417487502284,10880.826653519618,10883.436376581987,10886.261218954452,10889.316430769004,10892.617924547483,10896.182238798212,10900.02648967571,10904.168309801975,10908.625773504215,10913.417307930022,10918.561589756773,10924.077427515473,10929.98362989517,10936.298860774594,10943.041482131679,10950.229386395806,10957.879820215807,10966.009202002033,10974.63293594512,10983.76522550036,10993.418889539158,11003.605184494952,11014.333635861036,11025.611882326793,11037.483648468991,11050.039495195242,11063.41673867604,11077.796490991635,11093.401355082144,11110.495075085282,11129.384381898884,11150.422814422625,11174.016125517,11200.628829173787,11230.791425146395,11265.107809838359,11304.262335186047,11349.025914154641,11400.260505469303,11458.921259979466,11526.055597245384,11602.798522596466,11690.36360581427,11790.029227944555,11903.119957062041,12030.983220648,12174.961775956175,12336.362809037308,12516.424785502788,12716.283402509025,12936.938129719549,13179.22086435272,13443.76815917385,13730.99831935252,14040.64794728602,14371.700160162058,14722.46330837206,15090.700479591818,15473.769484572354,15868.757319864784,16272.60271630253,16682.204108925103,17094.511888280475,17506.604574313642,17915.74911191798,18319.445966539533,18715.460111832264,19101.839329129172,19476.921463402876,19839.33239813719,20187.976529849926,20522.02145778079,20840.878475373476,21144.18027818109,21431.75710662156,21703.61233757195,21959.898338590672,22200.893211564002,22426.978884583714,22638.620865005432,22836.349843946005,23020.745242444813,23192.420710582457,23352.011530828175,23500.16383326653,23637.525500551343,23764.73862195686,23882.43334644651,23991.22298221725,24091.700192943576,24184.434147461703,24269.96848869082,24348.819998215462,24421.47784439468,24488.40331354518,24550.029935243714,24606.76392381048,24658.984868369615,24707.04661341432
R,0.0,9.3860365787638,24.403825708902083,42.110014336906374,61.395765399522155,81.98238984854811,103.94617915667074,127.50203929575395,152.91094538342978,180.4448065543485,210.37670517041983,242.98148139574312,278.5399009077333,317.3435640024305,359.69950753897103,405.93422549756605,456.3971352026268,511.4636080639958,571.5376898497926,637.0546118660744,708.4831645330144,786.3279774668215,871.1317276416246,963.4772793466298,1063.9897455252888,1173.3384486759935,1292.2387499876843,1421.4537072034525,1561.7955145030146,1714.1266713120249,1879.3608213733746,2058.463198759351,2252.4506139575315,2462.390910983753,2689.401825957901,2934.6491790336454,3199.344335303321,3484.7408765693717,3792.1304348854624,4122.837650632476,4478.2142325977275,4859.632114919923,5268.475725542322,5706.133402515627,6173.988017487932,6673.406889251768,7205.731093420842,7772.264296249538,8374.261260340216,9012.916186601526,9689.351069517972,10404.604250908358,11159.619360423323,11956.81148611654,12800.851097373969,13698.828284827094,14660.217998772358,15696.842338466213,16822.91018174118,18055.157517495754,19413.085718562215,20919.284038184247,22599.818269427917,24484.66526628884,26608.170717344932,29009.504383173444,31733.08297822391,34828.926535650404,38352.91030100324,42366.87197754623,46938.53450081656,52141.20826730514,58053.24432797877,64757.22143072135,72338.86435982215,80885.707683001,90485.53633057517,101224.65079809798,113186.01864966475,126447.38412914229,141079.4131822758,157143.9516418771,174692.4697902643,193746.2877293158,214289.00110234265,236267.78374896036,259598.06701119695,284169.3248993289,309851.0285539901,336498.36808664206,363957.54940564587,392070.5590117101,420679.33225644205,449629.2902377514,478772.23645318096,507968.6278834576,537089.2554188065,566016.3844202152,594644.4171994716,622880.1453661972,650642.6618352231,677863.0005853239,704483.5678850467,730457.4225116128,755747.4552512219,780325.5103186062,804171.4837610109,827272.4267685352,849621.6753276315,871218.0219545832,892064.9403788695,912169.870002484,931543.5636910353,950199.4998821118,968153.3580397469,985422.5550509335,1002025.8391633607,1017982.9374214272,1033314.2521971115,1048040.6022698383,1062183.0039310653,1075762.4877300025,1088799.946700152,1101316.0121830592,1113330.953673064,1124864.599427567,1135936.274908488,1146564.7564329328,1156768.237708224
G,635096.0,635096.0,635107.3452388224,635126.7119345801,635152.144051508,635182.53647106,635217.3174054741,635256.2533043919,635299.3292035554,635346.6755945993,635398.524008102,635455.1803311637,635517.0090834855,635584.4244642642,635657.885576572,635737.894217526,635824.9942261596,635919.7717511246,636022.8560263647,636134.920379787,636256.6832817346,636388.9092878232,636532.4097575634,636688.0432443676,636856.7154592922,637039.378713583,637237.0307461235,637450.7128428649,637681.507157517,637930.5331471974,638198.9430442047,638487.9162962737,638798.6529231019,639132.3657569304,639490.2715596171,639873.5810377728,640283.4878106483,640721.1564217301,641187.7095232429,641684.2144014668,642211.6690481928,642770.9880178111,643362.9883384448,643988.3757672841,644647.731693136,645341.5009918691,646069.9811320647,646833.3128085864,647631.4723513398,648464.2661162843,649331.327017404,650232.1133039321,651203.9788734724,652279.3567643979,653488.2281962417,654860.289362345,656426.7793001456,658221.998390619,660284.5703752862,662658.4969707177,665394.0355200849,668548.4050418049,672186.2999550465,676380.1673780984,681210.1861164506,686763.875907681,693135.2665386661,700423.5698306814,708731.3236844727,718162.0150396598,728817.2342701919,740793.4618864586,754178.6330571868,769048.6601125696,785464.112851103,803467.2583286967,823079.6455709735,844300.3883684195,867105.2547929625,891446.620110144,917254.2854033479,944437.1121838642,972439.4155996506,1000811.3398220161,1029172.665611045,1057197.853537151,1084610.1463372111,1111179.0525353695,1136718.5916973029,1161085.1850454335,1184174.8275679883,1205919.5476504962,1226283.3272640198,1245257.712778808,1262857.3444342248,1279115.6006585576,1294080.5091439278,1307811.0301308366,1320373.7745984085,1331840.1839621319,1342284.169545065,1351780.189422184,1360401.7264631148,1368220.1233987347,1375303.7272932539,1381717.295746384,1387521.6194470704,1392773.3194931436,1397524.7825048054,1401824.201489206,1405715.6953013942,1409239.4841578433,1412432.1028514726,1415326.6370212885,1417952.971025435,1420338.038667409,1422506.0702664196,1424478.8313908936,1426275.8500404786,1427914.6302183485,1429410.8507314567,1430778.5487365641,1432030.2880542928,1433177.3126366802,1434229.6858251113,1435196.4161996443,1436085.5709178743,1436904.3774880695,1437659.3149305764
H,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1160061.688335081,1121392.9653905784,1082724.2424460757,1044055.5195015729,1005386.7965570702,966718.0736125675,928049.3506680648,889380.6277235621,850711.9047790593,812043.1818345566,773374.4588900539,734705.7359455512,696037.0130010485,657368.2900565458,618699.567112043,580030.8441675403,541362.1212230376,502693.3982785349,464024.67533403216,425355.95238952944,386687.2294450267,348018.506500524,309349.7835560213,270681.06061151857,232012.33766701585,193343.61472251313,154674.8917780104,116006.1688335077,77337.445889005,38668.7229445023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
