series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
S,1794763.4550399748,1794489.2309868268,1794228.504662567,1793967.183903753,1793695.2265068153,1793405.080544153,1793090.675107474,1792746.762052921,1792368.4815353032,1791951.0699845417,1791489.6584254187,1790979.127745998,1790413.9995100668,1789788.348614481,1789095.7290622147,1788329.1073463622,1787480.800053956,1786542.4137086903,1785504.7858406315,1784357.9269675245,1783090.9637050705,1781692.0836621602,1780148.483165376,1778446.3192215315,1776570.667481589,1774505.4883185383,1772233.6034724587,1769736.686037753,1766995.2668536631,1763988.7605866452,1760695.51493339,1757092.8863929987,1753157.3459199402,1748864.6174395252,1744189.8516515973,1739107.8367406025,1733593.24653875,1727620.9253595236,1721166.2071604892,1714205.2649629407,1706715.484634989,1698675.8553431588,1690067.367323722,1680873.4062563244,1671080.1325723003,1660676.833612488,1649656.2367442746,1638014.7723885276,1625752.7773737744,1612874.6310524894,1599388.8190589247,1585307.922299461,1770316.8841622795,1952241.5644522242,2130871.3203280014,2305918.4238009066,2477008.7473669425,2643678.44635548,2805374.267906159,2961456.2740612244,3111202.654227104,3253816.8843721137,3388437.79631174,3514153.193293039,3630017.5280090333,3735073.8839447964,3828380.111810217,3909038.5191999697,3976228.051579759,4029237.497966534,4067497.961915192,4090612.699595363,4098382.4619074813,4090824.6825668365,4068185.2032861025,4030941.6802253854,3979798.325588541,3915672.15787313,3839671.422556149,3753067.268827256,3657260.1032969104,3553742.2731120726,3244390.498797449,2953810.2472054847,2681432.928566784,2427308.5694947303,2191576.5731774797,1974228.5724274563,1775019.9861085068,1593458.4594189408,1428830.913341757,1280247.8979335323,1146693.125506497,1027071.3344672127,920250.8166984527,825098.9219636982,740510.0941876404,665426.7537511749,598853.7728332069,539867.5002088852,487620.3506154071,441341.9353994192,400337.61532946175,363985.23199374916,331730.6411822556,303082.54320218024,277606.9889737509,254921.84083531192,234691.38435464693,216621.22144132262,200453.52401548525,185962.68927259315,172951.40994166554,161247.15373144305,150699.0334948767,141175.0419050564,132559.620305243,124751.52982421023,117661.9930256714,111213.07567650489,105336.2802235935,99971.32494135195,95065.08522724774,90570.67603022365,86446.65680048805,82656.34259125998,79167.20699380364,75950.36443529688,72980.12101598109
E,0.0,274.22405314795054,480.1055667780963,645.4052122365513,788.2815667269858,920.7712160439128,1051.022409514192,1184.7309821641693,1326.0653033493752,1478.2637934408547,1644.0225938758474,1825.7487545212648,2025.727239548216,2246.232687224258,2489.605702045825,2758.306277489089,3054.952314397503,3382.3481967836847,3743.506425485728,4141.6640134954905,4580.294473250357,5063.115621510743,5594.092993992845,6177.438339038654,6817.602411173481,7519.261091989456,8287.29371967117,9126.752410442683,10042.821112444011,11040.763156973171,12125.85617883378,13303.313483458434,14578.191259825418,15955.281488275403,17438.990978548336,19033.207693833545,20741.15635691953,22565.24626476187,24506.91521084393,26566.474366223665,28742.959820930584,31033.997148574643,33435.68573829649,35942.50965803477,38547.28141045203,41241.12408817392,44013.496138752394,46852.261266748974,49743.80402815226,52673.18954380683,55624.36362861007,58580.38766235165,61523.700864250284,66962.63299864312,74608.7031203247,84308.21162054165,96024.59832758477,109818.3322707179,125827.19686308216,144248.10393258772,165320.4555773778,189310.48691407964,216495.83018882485,247149.61976694796,281523.71369475144,319830.9676172254,362226.8988255471,408791.4642678724,459511.991631696,514268.4995157692,572822.6882611442,634811.765525932,699748.0027058142,767024.5341024837,835927.459159908,905653.8429858307,975334.7816226962,1044062.3456107555,1110918.9644027725,1175007.677848298,1235481.660406171,1291571.5111069616,1342608.9832001976,1364667.4381521223,1364111.2691603985,1345413.3744003726,1312062.6958375487,1266998.1574200625,1212807.1122549993,1151807.2164935656,1086073.3192720364,1017441.6708258537,947508.1090877182,877628.2783094589,808923.140416327,742290.407067816,678421.1534303107,617820.263180714,560829.1914625391,507649.6257943531,458366.8502289605,412971.8953991563,371381.83638928254,333457.85244713863,299020.8727692045,267864.79619543895,239767.39118478048,214499.0610862634,191829.7053496757,171533.92719306488,153394.83918028927,137206.70608712352,122776.64420062641,109925.57157072361,98488.57749314525,88314.8535843365,79267.30446728258,71221.93405485884,64067.08404242591,57702.58458310724,52038.86311939719,46996.04577775929,42503.07633631164,38496.8702660734,34921.51544259432,31727.526563303527,28871.156848099163,26313.768036986083,24021.257848904657
I,117.75087499280356,103.54142572160504,96.74594269420191,95.04937647871357,96.99299953994546,101.6715082044637,108.5390042167445,117.284811776056,127.75412328697358,139.89744449781136,153.73855860588446,169.3544132870935,186.86269688221822,206.41438473147204,228.1895076992574,252.39501692307118,279.26401652787774,309.0558894677223,342.05700207859917,378.5817732271642,418.9739551888139,463.6080090917651,512.8904765914776,567.2612569869162,627.1946989159187,693.2004105384556,765.8236834993038,845.6454153473848,933.2814037180842,1029.380874697193,1134.624098718977,1249.7189415985322,1375.3961975202708,1512.4035567986336,1661.4980758523236,1823.43704187707,1998.9671616972796,2188.8120542718975,2393.6580896249015,2614.1386928511242,2850.8173183472218,3104.169393160313,3374.563624519024,3662.2431591023947,3967.3071633440895,4289.693457579172,4629.16287492342,4985.2860223221705,5357.433091984184,5744.767304732488,6146.242463929792,6560.604963909297,6986.400437411691,7421.9850517586465,7918.044499550055,8513.152475035566,9238.033464907243,10118.944476398769,11180.23072392991,12446.16317396146,13942.176383359085,15695.611168917663,17736.042248073376,20095.24553455068,22806.839031146606,25905.618347463496,29426.603998277475,33403.82258801358,37868.85636283439,42849.21304684448,48366.58730237789,54435.103180604885,61059.64033794887,68234.3530153737,75941.48826348176,84150.59830030041,92818.22202558717,101888.08433851719,111291.8313768162,120950.28773438923,130775.19068879346,140671.32876090362,150538.98937955507,160276.60435548428,169297.58964047735,177218.41908550466,183794.80931756544,188884.4670065524,192423.3501930731,194408.9186232055,194887.10693212674,193941.4286830215,191683.48272150737,188244.5674763257,183768.31173816524,178404.30925430486,172302.75905609308,165610.09784626236,158465.58435571476,150998.768966481,143327.7604347283,135558.1873572964,127782.74531121727,120081.2204966799,112520.88586579026,105157.17461867946,98034.54717402009,91187.48005542655,84641.51761566177,78414.33944327259,72516.80719325195,66953.96418477163,61725.96930088189,56828.953507860744,52255.79276437463,47996.795339772594,44040.30475856335,40373.221894071656,36981.45130404737,33850.27787867391,30964.680385319745,28309.588655298692,25870.09105900878,23631.598633566824,21579.971822789455,19701.61531119269,17983.545918404572,16413.437995424025,14979.65024926442
A,1015.3834638841304,974.641482569401,984.6798150887074,1031.2127851748137,1105.5031036369287,1202.4183844222205,1319.1893352561694,1454.6180839974347,1608.5756120330718,1781.6851193394634,1975.1251794521052,2190.5102697678954,2429.821470961275,2695.3698773230203,2989.781504479715,3315.99647551748,3677.2778140159025,4077.2267874054655,4519.802755940331,5009.346102350888,5550.603179768339,6148.752406944582,6809.430715173646,7538.759545997205,8343.369535799715,9230.422918425527,10207.632541526551,11283.276236171461,12466.205111766692,13765.844179913409,15192.183553534627,16755.758335768885,18467.6152234852,20339.263821820034,22382.61071948828,24609.874530890123,27033.480390156,29665.932800787323,32519.666312986476,35606.87422078509,38939.31633273273,42528.1078494602,46383.492440177004,50514.60369475581,54929.220172687536,59633.52020074745,64631.843311256576,69926.46569086412,75517.39716701215,81402.2070567222,87575.88562647838,94030.74697750577,100756.3779205467,107739.6359060218,115417.44052070433,124157.47944607788,134285.14144718117,146106.2069582204,159925.0241228477,176058.42229970935,194845.80806151353,216655.8742601555,241890.23385014108,270984.14153545664,304404.33780792006,342643.9725151457,386214.5553074741,435634.94296054647,491417.502892207,554051.7728279348,623986.1452461035,701608.3137019593,787225.3971768154,881044.7824353605,983156.7743864164,1093520.1115170524,1211951.2885114949,1338118.4409806984,1471540.3043042026,1611590.4804284936,1757506.9550350013,1908406.5240687898,2063303.5322260873,2221132.1123162503,2376581.1095503327,2525693.0838448526,2665471.004736707,2793663.3737440044,2908635.7376404675,3009282.922289106,3094959.4612435442,3165417.6350112767,3220748.75063907,3261326.452446734,3287752.346582774,3300804.795106931,3301391.8135132194,3290508.8356937654,3269201.837659635,3238536.020415983,3199569.9898601323,3153335.1599535984,3100819.951996139,3042958.265618841,2980621.6489789346,2914614.5871106964,2845672.3485211697,2774460.871649202,2701578.226763982,2627557.248849421,2552868.998146195,2477926.763863869,2403090.3808911396,2328670.6778422412,2254933.9169277498,2182106.121894339,2110377.219954617,2039904.9477515346,1970818.4906087269,1903221.8392820277,1837196.8598090126,1772806.0804693403,1710095.2058739099,1649095.372281105,1589825.1608090892,1532292.3866226198,1476495.6827083114,1422425.8967465453,1370067.3190272818
IH,0.0,7.679684134271811,10.981462455921056,12.356256697313054,13.002583287387228,13.485220172335792,14.056096366280222,14.818323291697347,15.808412985312996,17.036372845705678,18.504485048922778,20.21555731969785,22.176154130106035,24.397565553503675,26.895854599452782,29.69160730101892,32.80965584962682,36.27887610799983,40.13208432600489,44.406026222076434,49.14144070095831,54.38317847593035,60.18035708959623,66.58653573024786,73.65989478082244,81.46340588056835,90.06497840275537,99.53756775759479,109.95922996517908,121.41310567065761,133.98731536306877,147.77474619115935,162.87270964107051,179.3824486686707,197.40847290019474,217.05770148019687,238.43839531070137,261.6588640302655,286.8259383271879,314.0432051974252,343.40901256993635,375.01426021569546,408.940005748334,445.25492734440587,484.0126979023436,525.2493378984427,568.980625244568,615.1996490182569,663.8745990794117,714.9468845140279,768.3296700063268,823.9069104173814,881.5329502032885,941.0327363948445,1002.202672600162,1068.236365342299,1143.4080153069096,1232.07488628884,1338.3486095580458,1466.0808818469727,1618.9754347508213,1800.7304177869178,2015.1652327419106,2266.3117386530603,2558.462337264518,2896.1730285002295,3284.2217554637605,3727.5233337806376,4231.003119935933,4799.432853857333,5437.23395321076,6148.255818013393,6935.539135856532,7801.076391492017,8745.58340906036,9768.296485748768,10866.809321601326,12036.962459787926,13272.795410700392,14566.568243095753,15908.855467843401,17288.710837212675,18693.89756145605,20111.174704599838,21526.627414175593,22894.33715290617,24164.007204504673,25292.011561880594,26245.048947317104,27000.606524022933,27546.122811418816,27877.67717157554,27998.557594601414,27917.852932830705,27649.13085677279,27209.229304831315,26617.175892521853,25893.24337119866,25058.144698985765,24132.367070886085,23135.64019813212,22086.53049326373,21002.1498912377,19897.965987800795,18787.699041660384,17683.291098214926,16594.932914010184,15531.13532524072,14498.833038937373,13503.510374695077,12549.340115404422,11639.328233979079,10775.458774948193,9958.834536508937,9189.810393539943,8468.117115613386,7792.974369236868,7163.192261977613,6577.261304554638,6033.431054819841,5529.777984858751,5064.263298647633,4634.781540725928,4239.2008921242605,3875.396062093587,3541.274664590312,3234.7979264986616,2953.9965178542207,2696.9822288655196
IN,6.529765136926712,11.770846951232945,15.189602061665912,17.556810775226808,19.362756960788897,20.92007202258528,22.42948514880195,24.021838292357362,25.784922824748993,27.780619319796667,30.05585123858731,32.64960032665626,35.59742213977297,38.93438145605984,42.69699503308994,46.924556299184474,51.660080201588634,56.95101903480521,62.84984397488981,69.41455091523284,76.70912576164908,84.80398892894746,93.77642838774749,103.71102331216792,114.70005493972037,126.84389688480272,140.2513733497404,155.04007015145922,171.33658006325336,189.27666059660908,209.00527903575224,230.67651637623982,254.45329896248325,280.506924283233,309.01634584159285,340.1671815891116,374.1504114595296,411.16073242889183,451.3945446217134,495.0475495807093,542.3119521238186,593.3732702812205,648.4067734931846,707.5735871747556,771.0165212697826,838.8557006145618,911.1840946648606,988.0630620909244,1069.5180405162657,1155.5345219116114,1246.0544586730434,1340.9732433346376,1440.1373957262801,1543.3430752104232,1650.335512955485,1763.7209479826597,1887.7303327021432,2027.4634167262006,2188.469545280806,2376.5529124679056,2597.7181481545863,2858.1952867483687,3164.500992301011,3523.5058695282873,3942.486677058305,4429.148322165724,4991.6046664846235,5638.310288632463,6377.938125557195,7219.200828766442,8170.616977624293,9240.227022576444,10435.26782520126,11761.818611374842,13224.434668807187,14825.787802059716,16566.33406768115,18444.029422225525,20454.11254159876,22588.971274145308,24838.105167750105,27188.191562382846,29623.257230767827,32124.951877833155,34672.914365906494,37218.273462157595,39700.5348418179,42057.596544700944,44231.722013332976,46173.01791478623,47841.29675908174,49206.849530129766,50250.4616085333,50962.899090667,51344.03146422686,51401.718775052424,51150.5654297733,50610.62272637579,49806.10524525758,48764.17115591116,47513.8029167636,46084.812757498956,44506.98684374272,42809.37323236843,41019.71166364959,39163.99785386603,37266.17112514424,35347.91176022627,33428.53318811005,31524.953769804513,29651.733344354692,27821.16061333722,26043.378711329853,24326.53778293001,22676.964945383203,21099.34356915516,19596.895291140816,18171.559542338557,16824.16659701602,15554.60122084302,14361.954908873595,13244.66546589787,12200.6433019333,11227.384307980434,10322.0695567027,9481.65235490291,8702.93337466909,7982.624722016933,7317.403878657631
D,10853.0,10853.0,10853.11335339373,10853.275441575448,10853.457821944998,10853.649742200714,10853.848786255781,10854.056256536831,10854.274977411951,10854.508312172864,10854.759771822133,10855.03290104761,10855.331285979628,10855.658609641196,10856.018721698654,10856.415708910992,10856.853961890412,10857.338237776325,10857.873719920595,10858.466076048302,10859.12151625734,10859.8468519585,10860.649556566432,10861.537828478751,10862.52065663545,10863.607888728488,10864.810301921514,10866.139675731638,10867.608866509752,10869.231882726372,10871.023960021528,10873.001634708085,10875.182814128413,10877.586841958328,10880.234556236232,10883.148337579703,10886.352144750379,10889.871534458514,10893.73366208234,10897.967259838522,10902.602588904721,10907.671362090117,10913.206633899372,10919.242655260781,10925.814690803758,10932.958797378476,10940.711563503226,10949.109810580861,10958.190258007888,10967.98915565794,10978.541888593185,10989.882560172322,11002.043560908827,11015.055131416526,11028.94492849879,11043.737603842954,11059.504947290903,11076.381836585628,11094.567463396304,11114.321707742052,11135.961301315658,11159.857643493944,11186.436718945393,11216.180887333468,11249.63201922038,11287.395341720045,11330.143329250328,11378.618979450674,11433.637833442906,11496.088131416047,11566.928545220802,11647.18300755569,11737.932268892999,11840.301960751127,11955.447124049255,12084.533365387939,12228.715018989327,12389.1109016947,12566.7784360823,12762.687066929004,12977.691996360772,13212.509304742596,13467.693504032846,13743.618489172062,14040.462716720438,14358.199257740149,14696.123418173807,15052.78811620629,15426.102343023376,15813.48355750578,16212.016925381504,16618.602202870945,17030.081276937493,17443.34456581625,17855.416640689124,18263.52233377355,18665.13500801142,19058.008877061337,19440.197383707226,19810.059697382247,20166.257381868207,20507.743214711223,20833.744016742792,21143.73918375279,21437.436415773835,21714.74592610082,21975.754194571684,22220.698118257544,22449.94021556357,22663.945362304792,22863.259383750345,23048.489696127228,23220.288084314234,23379.335618011868,23526.329644402376,23661.972748679247,23786.963542150825,23901.98911827549,24007.719007504733,24104.80045998139,24193.854889035938,24275.475316412267,24350.224670891537,24418.634804387995,24481.20610281927,24538.40758246397,24590.677375640524,24638.42352204275,24682.024993732142
R,0.0,42.03066463734988,86.79873894922494,134.0793572975554,184.29180507633268,238.12245676945778,296.3589197567819,359.8267950090217,429.3742567941734,505.8774978304649,590.2542785266442,683.479901720492,786.6033642806981,900.7630235780895,1027.201796218023,1167.28215518561,1322.5012471497662,1494.506428722357,1685.111471630992,1896.3136342048936,2130.311747990555,2389.5254249180034,2676.615450810977,2994.5053929131564,3346.404410154549,3735.8312130030304,4166.639073158899,4643.041730633459,5169.639985858572,5751.448696766096,6393.923825091017,7102.989092888821,7885.061720485971,8747.076622659597,9696.508343524956,10741.38991613704,11890.32774494606,13152.511533726964,14537.71822501361,16056.308886572147,17719.217483391323,19537.930517048324,21524.456604133877,23691.285205991946,26051.333915229534,28617.883949109346,31404.50379136958,34424.96125383637,37693.1245854626,41222.8536241547,45027.88234877359,49121.69452683692,53517.394449849875,58227.57498669448,63264.18535291652,68656.56727300891,74450.71822801021,80708.38452669569,87506.48209004631,94937.02095194778,103107.54338509939,112142.00505256621,122181.99217028178,133388.15168472737,145941.70333102925,160045.89638759417,175927.26840908418,193836.55908072006,214049.13175074093,236864.76072223842,262606.6562896741,291619.62323573045,324267.2823269115,360928.32719843724,401991.8385814712,447851.7307947185,498900.45791708,555522.1550840493,618085.4302397239,686936.0504426258,762389.7824035893,844725.648306541,934179.8451600658,1030940.5499586648,1135143.7956448165,1246702.4403613475,1365340.9485258146,1490629.7302387487,1622017.637558892,1758862.0722384793,1900456.4597742658,2046054.9357013514,2194894.1286247475,2346211.9677705667,2499263.502662204,2653333.7932532043,2807748.000542042,2961878.871613059,3115151.863420565,3267048.18374973,3417106.0454236194,3564920.4324846673,3710141.667281788,3852473.048099281,3991667.801142343,4127525.561054435,4259888.562972165,4388637.698229684,4513688.556533035,4634987.550625727,4752508.195680881,4866247.5951078115,4976223.167154706,5082469.6324698925,5185036.271396141,5283984.45090266,5379385.414371379,5471318.322612346,5559868.531169666,5645126.086903655,5727184.425739522,5806139.253134905,5882087.589049584,5955126.9598441515,6025354.720463037,6092867.49136928,6157760.695914187,6220128.185083447,6280061.937816926
G,635096.0,635096.0,635101.6992575539,635111.6773949446,635125.0909904661,635141.474016033,635160.6106025148,635182.4542276016,635207.0767467496,635234.6366475327,635265.3597223131,635299.5277979411,635337.4727275026,635379.5738529861,635426.257790677,635477.9998021482,635535.3262755467,635598.8180074163,635669.1140784181,635746.9161786668,635832.9932738148,635928.1865202722,636033.414342635,636149.6775820822,636278.0646134658,636419.7563126273,636576.0307352627,636748.2673454039,636937.9506063026,637146.672720321,637376.1352787693,637628.1495591784,637904.6351883287,638207.6168768649,638539.2189281915,638901.6572333885,639297.2284879124,639728.296407328,640197.2747801372,640706.607276814,641258.7440349669,641856.1151590566,642501.1014053283,643196.0024627917,643943.0033816529,644744.1398328125,645601.2629964935,646516.0049655644,647489.7456016515,648523.5817936764,649618.3000357504,650774.3531643986,651991.8419771543,653270.5023020618,654662.2011248558,656212.8098696589,657965.0055885243,659960.7054955824,662243.0835458221,664858.1772765802,667856.116686121,671292.0073180718,675226.487937826,679725.9674015396,684862.5311757061,690713.4991468358,697360.6150261495,704888.8546742237,713384.8557141073,722934.9923974497,733623.1453765987,745528.2426707696,758721.6723078046,773264.6857469243,789205.9218268457,806579.1822372833,825401.5810991642,845672.173915337,867371.1464951552,890459.6145816797,914880.0522019936,940557.3336255846,967400.3424958929,995304.0741402291,1023666.2514043765,1052016.8696885915,1079978.8855991992,1107247.7671747787,1133580.0627432542,1158786.0941493912,1182724.3515848801,1205296.4472778535,1226442.1566405448,1246134.421728625,1264374.3592442048,1281186.3830825,1296613.5644734777,1310713.3374111191,1323553.6289955955,1335209.4628628618,1345760.0543640072,1355286.3913269571,1363869.2751673467,1371587.7838544303,1378518.1102158728,1384732.7254122638,1390299.8171593982,1395282.9544870926,1399740.9346685202,1403727.7727475646,1407292.7992982478,1410480.8372762974,1413332.4337979688,1415884.1272357712,1418168.734063478,1420215.6433801807,1422051.1100018567,1423698.5394617377,1425178.7602556732,1426510.2802609198,1427709.5255032345,1428791.0604026204,1429767.7893431655,1430651.1399321957,1431451.228677685,1432177.0100538835,1432836.410071341,1433436.4455418552,1433983.3302499445
H,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5990050.577915625,5790382.225318437,5590713.87272125,5391045.520124063,5191377.167526876,4991708.814929688,4792040.462332501,4592372.109735314,4392703.7571381265,4193035.4045409393,3993367.051943752,3793698.6993465647,3594030.3467493774,3394361.99415219,3194693.641555003,2995025.2889578156,2795356.9363606283,2595688.583763441,2396020.231166254,2196351.8785690665,1996683.525971879,1797015.1733746915,1597346.820777504,1397678.4681803165,1198010.115583129,998341.7629859415,798673.410388754,599005.0577915665,399336.70519437897,199668.3525971915,4.016328603029251e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
