series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
S,1065.599093825821,1041.3765061352406,1024.4378004706662,1011.6056048197278,1001.3392705433197,992.7881957749173,985.4456729906843,978.9935638758561,973.2236744973138,967.9947523382242,963.2076936484227,958.7906980944896,954.6901191941489,950.8646906419443,947.2818067008587,943.9150787638193,940.7426988367234,937.7463213135619,934.9102826583648,932.2210447080464,929.6667882915972,927.2371095939176,924.9227880294934,922.7156048666079,920.6081986233099,918.5939476861877,916.6668735248933,914.8215598224045,913.0530841530268,911.3569597353323,909.7290854066158,908.1657024007334,906.6633568224185,905.2188669378698,903.8292945698126,902.4919200128618,901.2042199836786,899.9638481981325,898.7686182299809,897.6164883563112,896.5055481368507,895.4340065092096,1579.4281700996007,2262.345259951985,2944.17573428213,3624.912118140882,4304.489711518696,4982.765138568867,5659.50784062939,6334.3922518492045,7006.984405752019,7676.719871221475,8342.871263131743,9004.503844959565,9660.417530770254,10309.073369023085,10263.474759136867,10210.196186185098,10147.562881747792,10074.20313318171,9988.900875236073,9890.585516517445,9778.375350461867,9651.638794645978,9510.05462361629,9353.659026940195,9182.871316521298,8998.493902351864,8801.686099084833,8593.914936886915,8376.888824565587,8152.481292077152,7922.6521199121125,7689.3722240628485,7454.557118317159,7220.012022222485,6987.3900304525805,6758.163393394684,6533.6069568484345,6314.792169575486,6102.5897432362335,5897.67897139331,5700.561811009475,5511.5800366255535,5330.934041519479,5158.702142103575,4994.8595143368475,4839.296137053864,4691.833327946619,4552.238630463103,4420.238945062099,4295.531899477927,4177.795524558351,4066.6963499359113,3961.896062254679,3863.0568824319635,3769.845821404623,3681.9379692391785,3599.018962969135,3520.7867660655056,3446.952878541695,3377.2430824136745,3311.3978133151904,3249.172235978348,3190.3360893083145,3134.673356040158,3081.9818024986666,3032.0724257540037,2984.7688384006906,2939.906615184234,2897.33262064743,2856.9043327536438,2818.4891739576833,2781.9638583339997,2747.213761043899,2714.132314545259,2682.620434446957,2652.585976722564,2623.9432270694138,2596.6124224835958,2570.5193045795327,2545.5947037817027,2521.7741532282266,2498.997531028668,2477.2087293926043,2456.3553490758263,2436.3884175647545,2417.2621294264654,2398.9336072833194
E,0.0,24.222587690580365,36.300733476627855,41.84874087520169,43.71761103822883,43.49620992949394,42.11068368973701,40.11276664657272,37.83353647316633,35.470694622840576,33.14012255619301,30.90714527800242,28.805825676950544,26.851011327705177,25.045909888183893,23.386868230381523,21.866385658348495,20.475004194855835,19.202481651990343,18.038505689820465,16.973114274068177,15.996929019141689,15.101270198178755,14.278197924375116,13.52050829701712,12.821703098055002,12.175944973679682,11.578005693530509,11.023212244588017,10.507393667052213,10.026830336739323,9.578206621205103,9.158567339522005,8.76527814266478,8.395989739585914,8.048605781465968,7.721254155590547,7.412261412458892,7.120130042888411,6.8435183279865015,6.581222498603534,6.332160958780028,6.095360347501735,6.983150426798978,8.779410039347603,11.30931855875906,14.490360325996612,18.335253300162343,22.941346240878353,28.481460871937138,35.20214073977213,43.43092203864662,53.592570810003664,66.23396996677252,82.05761305648261,101.96389526982172,127.10219659043214,154.87615190548425,186.43165327284103,222.38159965095113,263.0602568982042,308.58934246354727,358.8772648645958,413.6006874348303,472.19079801330327,533.8355085681125,597.5025641740557,661.9837464528429,725.9563762302605,788.0554706483292,846.9485687922975,901.4054632550329,950.356552328803,992.9357275304201,1028.5060778915697,1056.668790696747,1077.257204776296,1090.3189458587776,1096.0894875726694,1094.9604499072698,1087.4456065898753,1074.1470544336735,1055.7234087273139,1032.8613079303395,1006.2509893205479,976.5662624495997,944.4488691558469,910.496975016192,875.2573774765716,839.2209266000942,802.8206203421208,766.4318430218542,730.3742503685069,694.914856476368,660.2719387689871,626.6194403493437,594.0916104797632,562.7876805287046,532.7764229041609,504.10048354784544,476.780414426822,450.818361500845,426.2013864986975,402.90441827391584,380.8928423405977,360.124746204895,340.5528440401706,322.12610775659704,304.79113315326975,288.4932700874654,273.1775448418761,258.7894014305443,245.27528670506143,232.58310199469096,220.66254178033628,209.46533766691365,198.94542375495772,189.0590374691168,179.76476800879496,171.02356286065614,162.7987012597266,155.05574210371142,147.7624526070764,140.88872291735336,134.40647099396293,128.28954125663833,122.51359983307648,117.0560286608213,111.89582021430635
I,214.23298802398585,162.59307693226,127.51897718549618,102.95281778753755,85.25147497903484,72.13470109495398,62.142025504362394,54.32247767976029,48.048118266627824,42.89865857735632,38.58873115943591,34.92145688047591,31.75851977890821,29.00073559552313,26.57535232955137,24.427699881986687,22.51566504649602,20.806010576071376,19.27190290228106,17.891235228198404,16.64547623410415,15.518867782318232,14.497855683890693,13.57067723006249,12.727055148943212,11.957964677335461,11.255451626779346,10.612486684097501,10.02284603535803,9.481011599972977,8.982086274145969,8.521720981680575,8.09605125962668,7.701641727118483,7.3354372037639175,6.9947195285714265,6.677069327275003,6.380332114960883,6.102588221691794,5.842126104158531,5.597418664601936,5.36710224476602,5.149958000990953,4.94489539902542,4.940201202180331,5.2420323191250855,5.901234613209723,6.9423687533137715,8.386237431150908,10.265179838712703,12.633122496378114,15.572909650529096,19.20310287170622,23.685902231841297,29.237389321997725,36.14099572900082,44.7649151654135,55.58400346192695,68.51722961157992,83.69791534573581,101.33144872869491,121.63054065944084,144.7773229950987,170.89445345226102,200.02005107618334,232.08633902440562,266.9038093849241,304.1531339025079,343.3865399033741,384.03931102673016,425.45078365671793,466.89300384990867,507.60433215512023,546.8248689768012,583.8306323993143,617.9638677521914,648.657564461626,675.4530521853164,698.010318191967,716.1113427159061,729.6572405540924,738.660312361228,743.2322601753564,743.5698362297107,739.9391063824195,732.6593542333443,722.0874602388533,708.6033871155533,692.597207279802,674.4579325188608,654.5642576718094,633.2772116704052,610.9346205580438,587.847225662405,564.2962622986989,540.5322860241497,516.7750302908581,493.2140873690316,470.0102201248658,447.2971326941556,425.1835509384504,403.75548700665695,383.0785850494696,363.20046626658166,344.15301046988577,325.9545279498419,308.6117895665295,292.12189472282154,276.47396637968257,261.6506697639715,247.62955714590584,234.3842452815479,221.88543507225614,210.10178491746697,199.00065033594345,188.54870288477184,178.71244137001304,169.45860794819873,160.75452107091803,152.56833641199802,144.86924600657863,137.6276248765464,130.81513345713165,124.40478320404463,118.37097186966453,112.68949410388855,107.3375322682517,102.29363165463303,97.53766367295393
A,38.615870610360965,37.07123578594653,36.330706301598234,35.98994212223789,35.83283149071655,35.73927825703261,35.64268214436326,35.50748935224158,35.3164765577093,35.063255502261505,34.747752171783524,34.37344678977291,33.94568230611768,33.4706318362973,32.95467658658918,32.40404081617911,31.824587860950363,31.22171665871826,30.600320342753243,29.96478244121928,29.318995111515253,28.66638953049342,28.009972220046983,27.352363444245977,26.69583533262136,26.04234836040995,25.39358544091759,24.750983280692548,24.115760894855306,23.488945329820822,22.871394727856234,22.263818914776042,21.666797713239742,21.080797189193735,20.50618403428181,19.94323827663959,19.39216449904522,18.853101728622637,18.32613214725569,17.81128875722497,17.30856212270593,16.817906294869754,16.33924401649549,15.872471291249392,15.45157648910713,15.102565245110034,14.845045455497951,14.695311944426138,14.669397494783517,14.78567690622611,15.067086241906404,15.543199640246058,16.25244587430295,17.244733850304545,18.584735768361384,20.356065399045455,22.666585269594286,25.655067045328636,29.375163906591272,33.913499655498974,39.37201590502473,45.858820439561335,53.48142685755327,62.34024132164143,72.52174484556598,84.09152751360742,97.08766874041382,111.51509051294056,127.34149115134954,144.49532651600177,162.866083276719,182.30683434052622,202.6388290400447,223.6576879624285,245.140664306545,266.8544025137394,288.56265932337124,310.03353374469265,331.04586035389775,351.3945366157248,370.8946655939927,389.38449122348095,406.72717940441663,422.81155317628037,437.5519252239969,450.8871885806879,462.7793299733626,473.21152333526857,482.1859468893837,489.72144876069683,495.85116562927965,500.6201782654659,504.08326815177037,506.30282160862976,507.34691235724097,507.28758045053564,506.199314960344,504.15773956817054,501.2384940303471,497.5163000966223,493.06419756464476,487.9529344710944,482.2504946957814,476.02174625998845,469.3281941394594,462.2278223231977,454.7750109998341,447.02051603969943,439.011499283005,430.79159948328396,422.40103504800766,413.876730936234,405.2524631982449,396.55901566462995,387.8243442086682,379.0737448171403,370.33002241503067,361.6136580051819,352.94297221233086,344.3342837701904,335.80206186862847,327.3590715936554,319.0165119536053,310.7841461978191,302.6704243059316,294.6825976625242,286.8268260387944,279.1082770847417,271.53121859633603
IH,0.0,8.793313486928675,11.061587721726532,10.753820413661849,9.591912697425286,8.285559175481664,7.0953034065441045,6.0912107879348,5.2692108327511775,4.601498244043549,4.056947193063398,3.6083128236745017,3.233918937942949,2.9172718566625457,2.646070160204813,2.4111892933848322,2.205832138202896,2.0248783725370023,1.8644087141508277,1.7213660422998607,1.593317467818959,1.4782883505740596,1.3746465435141593,1.28102126595192,1.1962456913275124,1.119315736782477,1.0493599384891055,0.9856169518582711,0.9274183438270587,0.8741751063537084,0.825366831704053,0.7805328320390875,0.7392647138485657,0.7012000697155536,0.6660170511991643,0.633429654329843,0.6031835946800777,0.5750526797430351,0.548835607412749,0.524353134006065,0.5014455656673201,0.47997053457611116,0.45980102706996195,0.44082363520775114,0.4229370068351525,0.41381890332750887,0.4216577976344834,0.45262673481697485,0.5108141708284669,0.5991141033714291,0.7202980176235856,0.877962329048078,1.077302037648789,1.3257758747744193,1.633763340548434,2.015312995970855,2.4890686818755725,3.0794463928582,3.8181204348712083,4.717570323328969,5.789495601872716,7.048164611397361,8.509428092495648,10.188671269237538,12.098605923399248,14.247139851739352,16.63543710622111,19.256300089938915,22.093030194197503,25.11891573201668,28.29744847094478,31.583293493291002,34.92394939608823,38.261956059604614,41.537450377795615,44.69084441582033,47.66540588379539,50.40955210115692,52.87871692812863,55.03670584716892,56.85650905011919,58.32058984393237,59.420702306068605,60.15731659415784,60.53874312293206,60.58004961213585,60.30186002885635,59.729114091726004,58.88985250375225,57.814078317458055,56.532730263656816,55.07679051168807,53.476537799613816,51.76094747768549,49.95723279824695,48.09051663590892,46.183619498871224,44.25694790385423,42.32846662406659,40.4137386836021,38.52601799293798,36.67638096754159,34.87388515575981,33.12574467530395,31.437514009837514,29.813273371518235,28.255810342383217,26.766793839629152,25.346937596296684,23.996151310988203,22.71367840779292,21.498219975636907,20.348044942807817,19.261086906538438,18.235028298224968,17.267372740041147,16.355506554766976,15.496750442122,14.688402344375522,13.927772502183945,13.212211657356487,12.53913329981059,11.906030787126081,11.310490091359977,10.75019885258889,10.222952344557685,9.726656886655995,9.25933116945487,8.81910589898742
IN,42.846597604797175,78.44244625639871,97.6865773926472,106.65928545370473,109.20034810368958,107.77112887984758,103.9604156189089,98.79603816852014,92.94169696187701,86.82318933695365,80.71019900703338,74.76969875782919,69.10102944846764,63.759057711266806,58.76952847798474,54.13927957403588,49.86305766868566,45.928075788930585,42.31706339786178,39.010305864984886,35.98700342416751,33.22616990200679,30.707218899153197,28.410336927980097,26.316710912031763,24.40865597803516,22.669675036573555,21.084471893382982,19.63893300198834,18.320088429056483,17.11605947223762,16.015998191107954,15.010022581197484,14.089150035372844,13.245230959037238,12.470883843027895,11.759432687638542,11.104847369575564,10.501687320887935,9.945048723999085,9.430515305031056,8.954112717951237,8.512266446888107,8.101763107479098,7.719714995990559,7.401380435271345,7.197282512674839,7.159563679296343,7.336454672984637,7.772184885638938,8.509966794158816,9.596485514356935,11.087094686126624,13.051493000513837,15.580024347507152,18.790960419944152,22.83924460840833,27.927238629676125,34.31803054704743,42.21398093938274,51.809870104765174,63.3085941060244,76.92125594104371,92.8596609093923,111.32430293666724,132.48937101632345,156.48602150482282,183.38531413933953,213.18241786646342,245.7837646368154,280.99867725511314,318.5366133002393,358.01060683058796,398.9468486280988,440.79973029068674,482.97117804123377,524.8327766707009,565.7490529099813,605.10033788193,642.3038241129891,676.8317262264918,708.2257966978573,736.1077954287944,760.1858307047504,780.2567568612525,796.2050188892294,807.9984733862689,815.681792533617,819.3680813710704,819.229319132975,815.4861840908399,808.3977490310907,798.2514507318238,785.3536494664834,770.0210097174352,752.572855235667,733.324583072382,712.5821636568122,690.6377077873079,667.7660461573986,644.2222418489511,620.2399398668476,596.0304488872673,571.7824475407189,547.6622094089981,523.8142462595006,500.3622768009773,477.410437519053,455.04466220179137,433.33416701702885,412.3329880178971,392.08152741826484,372.6080736870075,353.93026833502665,336.0564991546464,318.9872056112348,302.71608711270665,287.23120905080697,272.51600489199285,258.5501752776205,245.31048715863665,232.7714775238927,220.90606736457178,209.6860922253253,199.0827560939063,189.06701553621286,179.60990094594825,170.68278159338058,162.25758086476014
D,2.0,2.0,2.0087933134869287,2.0198549012086553,2.030608721622317,2.040200634319742,2.048486193495224,2.055581496901768,2.0616727076897026,2.0669419185224536,2.071543416766497,2.0756003639595604,2.0792086767832347,2.0824425957211776,2.08535986757784,2.088005937738045,2.09041712703143,2.0926229591696326,2.0946478375421695,2.0965122462563204,2.0982336122986203,2.099826929766439,2.1013052181170133,2.1026798646605274,2.103960885926479,2.1051571316178066,2.106276447354589,2.1073258072930785,2.1083114242449366,2.1092388425887636,2.1101130176951175,2.1109383845268215,2.1117189173588606,2.112458182072709,2.113159382142425,2.1138253991936238,2.1144588288479538,2.115062012442634,2.1156370651223773,2.11618590072979,2.116710253863796,2.1172116994294634,2.1176916699640396,2.1181514709911093,2.118592294626317,2.1190152316331523,2.1194290505364797,2.119850708334114,2.120303335068931,2.1208141492397594,2.121413263343131,2.1221335613607546,2.1230115236898026,2.1240888257274513,2.1254146016022255,2.127048364942774,2.129063677938745,2.1315527466206206,2.134632193013479,2.13845031344835,2.143167883771679,2.148957379373552,2.1560055439849495,2.1645149720774453,2.1747036433466826,2.186802249270082,2.2010493891218212,2.217684826228042,2.2369411263179813,2.259034156512179,2.284153072244196,2.3124505207151405,2.3440338142084314,2.37895776360452,2.4172197196641245,2.45875717004192,2.5034480144577405,2.5511134203415358,2.6015229724426927,2.6544016893708213,2.7094383952179903,2.7662949042681095,2.824615494112042,2.8840361964181107,2.9441935130122685,3.004732256135201,3.065312305747337,3.1256141657761933,3.1853432798679195,3.2442331323716718,3.3020472106891297,3.3585799409527866,3.413656731464475,3.467133269264089,3.5188942167417743,3.568851449540021,3.61694196617593,3.6631255856748015,3.707382533578656,3.7497110002027223,3.790124738886324,3.828650756879262,3.8653271378468035,3.9002010230025634,3.9333267676778676,3.964764281687705,3.994577555059223,4.022833365401606,4.049600159241235,4.074947096837532,4.09894324814852,4.121656926556312,4.143155146531949,4.163503191474757,4.1827642783812955,4.20099930667952,4.218266679419561,4.234622185974328,4.250118936416451,4.264807338760826,4.27873511126301,4.291947322920366,4.304486456220177,4.316392487007303,4.327702977098664,4.338453175951253,4.348676128295811,4.3584027851824665,4.367662116351921
R,0.0,8.79538377761008,27.949374202715806,51.46448369168471,76.33049249092781,101.03927631891808,124.8492805168697,147.41542205717752,168.60016376782977,188.37555952476265,206.7715609122664,223.84819107676083,239.68024604564573,254.34870849984438,267.93584605401423,280.52238756743935,292.1859057285265,302.99992020112023,313.03344256002055,322.3507978441392,331.01162164939495,339.0709689567466,346.5794932725706,353.5836685410808,360.1260351737874,366.24545739654127,371.9773830762776,377.35409993170526,382.40498396707625,387.1567373547874,391.63361399797054,395.8576317388957,399.84877071775287,403.6251577809567,407.2032371251415,410.5979275688745,413.8227669882087,416.8900445490285,419.8109214297248,422.5955407605486,425.2531275176404,427.79207910538247,430.22004734448166,432.54401255828367,434.77035041883113,436.9062567829683,438.969773230858,440.9923697039156,443.01807830607555,445.101778564857,447.3080167520144,449.71095498957993,452.39563689804993,455.46060801180045,459.0219344025748,463.218747295546,468.2205613668292,474.23674813036564,481.528682783622,490.4202450873019,501.2792641389511,514.5164583205682,530.5883397407182,549.9993704919393,573.301564442601,601.0906793337037,633.9985276764994,672.6812222216946,717.8034989405594,770.019634894035,829.9518554077317,898.1674436604903,975.15597102039,1061.3081235135492,1156.8975011946209,1262.0665316850964,1376.8173049145273,1501.0077508824047,1634.3531937478854,1776.43296403344,1926.7014648513318,2084.502883639604,2249.088621951818,2419.636477040144,2595.2706385537144,2775.0816463726474,2958.1455750715722,3143.5418511853572,3330.3692577502884,3517.759825571796,3704.89044422686,3890.9921425779703,4075.357085597781,4257.343410600608,4436.378082085325,4611.957981920246,4783.649472824337,4951.086680645928,5113.968737523893,5272.056216252023,5425.166968444967,5573.171557513815,5715.988453757342,5853.579134479495,5985.943208052584,6113.113658066556,6235.152282693734,6352.145385500149,6464.1997573233775,6571.438974553545,6674.000027140297,6772.030279774927,6865.684761787762,6955.123775153528,7040.510805397256,7122.010716925316,7199.788212163505,7274.006532673392,7344.826379963114,7412.405033852351,7476.895646855634,7538.446693995117,7597.201558643399,7653.2982363457795,7706.8691400116,7758.040991341759,7806.934784831581,7853.665812122679,7898.343735850343
G,3398.0,3398.0,3402.1182399314375,3408.2899641110985,3415.404941171111,3422.8376570223036,3430.2327310286814,3437.392242693021,3444.2120754654125,3450.6444014679673,3456.6750053348037,3462.3093734620666,3467.5640985755235,3472.461564654549,3477.026680011412,3481.2848983132,3485.26105213491,3488.9786988093583,3492.459787657037,3495.724526657349,3498.791370521606,3501.6770802507735,3504.3968223653874,3506.9642876890757,3509.3918171335863,3511.6905268285773,3513.870428099323,3515.940539824549,3517.908991997479,3519.7831201219497,3521.569550569751,3523.2742773151335,3524.902730620077,3526.459838316999,3527.9500803554793,3529.377537266821,3530.7459331684086,3532.0586738875472,3533.3188807374913,3534.5294204302036,3535.692931563277,3536.8118480736694,3537.888420009164,3538.924731930096,3540.1119828259225,3541.60462752022,3543.527398443004,3545.9909989995476,3549.1082948582025,3553.0087025841226,3557.8510212895717,3563.835966561252,3571.2199405479887,3580.331562640453,3591.5924313560135,3605.5435807164536,3622.8791267955526,3644.488599245751,3670.8201027726245,3702.5165626554244,3740.325107118062,3785.04969510061,3837.5149795195643,3898.5300412268284,3968.8489885012527,4049.129222160675,4139.890074646278,4241.475378014781,4354.023547245467,4477.44812001461,4611.430564370612,4755.425808001436,4908.679623019565,5070.255931583227,5239.071403105153,5413.934421615193,5593.585566395367,5776.737081576526,5962.109308449892,6148.462622712257,6334.623981926006,6519.507693671883,6702.1304319322035,6881.6208461650585,7057.224325706156,7228.303611627358,7394.336003751936,7554.9079086137335,7709.707430773074,7858.515639386179,8001.197056226145,8137.689819869226,8267.995890425227,8392.171574756876,8510.318576532532,8622.575710187306,8729.111363356396,8830.116748266659,8925.799948116342,9016.380738548798,9102.086145721745,9183.146689966707,9259.793256463807,9332.254530673392,9400.754935546873,9465.513009001415,9526.740163138067,9584.639770686445,9639.406528758193,9691.226054868854,9740.274675107192,9786.719369122164,9830.717841144147,9872.418690483886,9911.961658817718,9949.477935052962,9985.090501672645,10018.914509196125,10051.057667782241,10081.620647069845,10110.697477125592,10138.375944879665,10164.73798170608,10189.860038873003,10213.813448476432,10236.664768201705,10258.476108853567,10279.305444076612,10299.206902071288
H,9590.391844432392,9590.391844432392,9590.391844432392,9590.391844432392,9590.391844432392,9590.391844432392,9590.391844432392,9590.391844432392,9590.391844432392,9590.391844432392,9590.391844432392,9590.391844432392,9590.391844432392,9590.391844432392,9590.391844432392,9590.391844432392,9590.391844432392,9590.391844432392,9590.391844432392,9590.391844432392,9590.391844432392,9590.391844432392,9590.391844432392,9590.391844432392,9590.391844432392,9590.391844432392,9590.391844432392,9590.391844432392,9590.391844432392,9590.391844432392,9590.391844432392,9590.391844432392,9590.391844432392,9590.391844432392,9590.391844432392,9590.391844432392,9590.391844432392,9590.391844432392,9590.391844432392,9590.391844432392,9590.391844432392,9590.391844432392,8905.363855544363,8220.335866656334,7535.307877768307,6850.279888880279,6165.251899992251,5480.223911104224,4795.195922216196,4110.167933328168,3425.1399444401404,2740.1119555521127,2055.083966664085,1370.055977776057,685.0279888880291,1.1368683772161603e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
