series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
S,47981.547682108765,47881.348935773,47814.694225925465,47761.28445506032,47712.574965480984,47664.90215894544,47616.66622599694,47567.1482376507,47516.00806333789,47463.070181867566,47408.23210204428,47351.42519998694,47292.59801895902,47231.70921230301,47168.72463126381,47103.61619436723,47036.36151957921,46966.94387802679,46895.35227654977,46821.58158348751,46745.63265846173,46667.5124671258,46587.23417081717,46504.81718519301,46420.28720401777,46333.676185495526,46245.02229940984,46154.36983406351,46061.76906268543,45967.27606962115,45870.95253725296,45772.8654951985,45673.08703390462,45571.6939852749,45468.76757343436,45364.39303913499,45258.659241633155,45151.65824211998,45043.48487295584,44934.23629704867,44824.01156172542,44712.91115137988,44601.03654304313,44488.48976882266,44375.37298890023,44261.788078475685,44147.83623170402,44033.617585304826,43919.23086413707,43804.77305063652,43690.33907961668,43576.02155954451,43461.910521026526,47403.72432726316,51332.27685133562,55247.569488618574,59148.71730092755,63034.18937637179,66901.94031925708,70749.46352476346,74573.79196080653,78371.46454084187,82138.46960090665,85870.17246996035,89561.23151512451,93205.50592474187,96795.95845972613,100324.55716668603,103782.18141074278,107158.53940449032,110442.1065249556,113620.09590384763,116678.47472751417,119602.04095122252,122374.5751718127,124979.08062543477,127398.1201719215,129614.2524277118,131610.5600759827,133371.25254386428,134882.3140117152,136132.15787080172,137112.24215182316,133761.96752902723,130282.9984579513,126688.49814791942,123008.8116192366,119279.30852166293,115535.63673208996,111811.44743034574,108137.1331591683,104539.1185781635,101039.5292358084,97656.14337655506,94402.55463134681,91288.4830620268,88320.18027163182,85500.88341693649,82831.28259588196,80309.97539578186,77933.89071330008,75698.67092391111,73599.0069741188,71628.92506082886,69782.02642005621,68051.68358866687,66431.19755119095,64913.92064399028,63493.35013628091,62163.19718288763,60917.43545563337,59750.333288605136,58656.47267298141,57630.757946638914,56668.416565158914,55764.9939266026,54916.34385783427,54118.61605579956,53368.24151061548,52661.91671452402,51996.58727683248,51369.43141483547,50777.843669465976,50219.419097504615,49691.938115508965,49193.35211064011,48721.76988719305,48275.44498228402,47852.763857634265
E,0.0,100.19874633576663,145.9169481650893,168.8374018783607,182.26835008398214,191.85622130294746,200.00383516018934,207.73106212831223,215.46587253260554,223.38220300654189,231.5446161632959,239.9703169565905,248.6557482239013,257.5879859921238,266.7496088473289,276.1207682956284,285.6800637418321,295.4049130797561,305.2717170170123,315.25594582908894,325.33220399014385,335.47429633272117,345.65530548031677,355.84768411713196,366.02336282620706,376.15387285003123,386.2104823928026,396.1643446424608,405.9866553964734,415.6488179680102,425.12261290549395,434.3803699707705,443.39513978720095,452.14086258828763,460.59253156907965,468.7263484645557,476.5198691480607,483.95213725392586,491.003804075657,497.6572332675762,503.896589175872,509.707907936599,515.0791507951034,520.0002394156924,524.4630732546467,528.4615293571356,531.9914452033778,535.0505854666723,537.6385937520023,539.7569305562164,541.4087988279165,542.5990586067586,543.3341322885541,543.6219020958445,557.1108246235973,581.0411262749747,614.1160211536828,655.9556602235316,706.7740476319832,767.2016805283877,838.1977410732264,921.0150449662904,1017.1952097357492,1128.5807393130954,1257.3361086395475,1405.9727048288455,1577.3735885883384,1774.8141199718234,2001.9739546921253,2262.9350376636194,2562.15922779379,2904.438324781195,3294.8088280964525,3738.4240927330325,4240.378039615869,4805.477576600815,5437.965585425396,6141.202641930026,6917.323063566903,7766.888458630197,8688.56833424459,9678.880992847628,10732.02759745342,11839.847198977935,12844.882564485008,13755.447230221022,14560.935809714501,15247.93428042213,15805.553249998262,16227.175359514727,16510.82458295866,16658.90566768974,16677.620000716386,16576.22049449614,16366.211280786867,16060.566274415318,15673.016952104954,15217.44004752476,14707.359812450894,14155.567119581754,13573.848881971906,12972.815660738625,12361.812371345319,11748.89606063544,11140.86521801573,10543.326489039306,9960.786564127542,9396.759109807419,8853.878679833178,8334.015452870035,7838.386317126773,7367.65923000013,6922.048922230839,6501.402909916014,6105.277452929286,5733.003588075051,5383.74370308059,5056.539334508825,4750.350996494883,4464.090901412593,4196.649437577528,3946.916238457611,3713.79662474731,3496.2241343155565,3293.1697823034106,3103.648619429041,2926.7240842322426,2761.5105767614823,2607.1746183930636
I,229.5129323044496,147.44073146103943,113.55966945535037,100.39169221749543,96.24275642062543,96.10318424808183,97.81655249416028,100.44941768847028,103.59391910442602,107.06852533873055,110.78932868381045,114.71456744429241,118.82064905917503,123.0917485643658,127.51526949575614,132.0798436420789,136.77443541009401,141.58793100503215,146.5089442079196,151.52572250736898,156.62610311236512,161.79749684859829,167.02689025490506,172.30086149148266,177.6056079110661,182.9269840501594,188.25054912040375,193.56162314945203,198.84535088228915,204.0867724739344,209.2708999140765,214.38279803911422,219.40766891591886,224.33093832954287,229.1383430772645,233.81601776566288,238.35057982669488,242.7292115128842,246.93973769977973,250.9706984140497,254.81141511552744,258.4520498882076,261.8836568351717,265.0982251219428,268.08871326794014,270.8490744426031,273.37427267760984,275.66029005588564,277.7041250786124,279.5037825404713,281.05825535863727,282.3674989008906,283.4323984414574,284.2547304392048,284.8371183814875,287.74788431196936,294.1179520721089,304.42997032903673,318.9225641532422,337.7892721548682,361.2729919479018,389.7101400060184,423.55242872300573,463.3799475314776,509.91183884974157,564.0171214144746,626.7263335330683,699.243669257159,782.9586534863338,879.4558980829861,990.5209919486608,1118.140077119976,1264.4901788263078,1431.9169635992978,1622.8964093977684,1839.9770303932014,2085.699964791223,2362.495545477006,2672.5570027175413,3017.6946484983237,3399.177052314457,3817.56894866764,4272.578382435433,4762.927309407681,5286.260011897752,5811.4528149235775,6320.075037041001,6798.292300644635,7234.694753075705,7619.9048385819715,7946.653933114225,8209.901023034585,8406.859946088047,8536.907042946841,8601.381710758145,8603.307777155327,8547.06755732418,8438.058530446153,8282.357640277049,8086.412038054793,7856.768784599784,7599.850325475503,7321.777835711207,7028.240943227887,6724.4098591443,6414.884441727345,6103.674020419919,5794.201714626974,5489.327316901546,5191.383414622631,4902.220171611567,4623.254985986028,4355.524015887628,4099.733277451984,3856.3076453451436,3625.4366152830507,3407.1161199474427,3201.1860307494635,3007.363237781028,2825.270390533192,2654.4605143648237,2494.4378035144964,2344.674940812078,2204.6273159695725,2073.7445158092455,1951.4794470589754,1837.2954302111334,1730.6715751214635,1631.106718322064
A,25.50355847947233,24.174852709025966,25.00917852678238,26.75538937734985,28.88958295194191,31.193247927271138,33.57724801098044,36.00730143520265,38.472224241061916,40.97035824189249,43.50376631522819,46.07575300059853,48.689810198943256,51.349173554814584,54.05664007306323,56.81449699048503,59.62449761656007,62.487856716891656,65.40525388121966,68.37684014978456,71.40224610732602,74.48059090595399,77.61049220044792,80.79007718401171,84.01699497719746,87.28843062482518,90.60112092895176,93.9513723052068,97.33508080198325,100.74775437048554,104.1845374205034,107.64023764341054,111.10935503146565,114.58611297209364,118.064491248454,121.53826073419789,125.00101953171924,128.44623027014921,131.8672582524194,135.25741012036528,138.60997269332518,141.918251629107,145.17560955646613,148.37550333511714,151.51152011239242,154.57741186442652,157.5671281335413,160.4748467015953,163.29500197064496,166.0223108565099,168.65179603689586,171.1788064327761,173.59903483897315,175.9085326565757,178.10372171530273,180.46641584390113,183.2060769662505,186.49415593913744,190.485233696591,195.33030963273632,201.18569146040866,208.21958703487462,216.61762029655455,226.58795887347412,238.36642706744286,252.22179305500805,268.4613018154989,287.43643722808474,309.54881497723136,335.2560191261089,365.07709268327693,399.59727455268455,439.4714454268387,485.4256129101944,538.2556477662998,598.8224021617069,668.0423266289924,746.8727872595965,836.2914969062996,937.2698305776213,1050.7402914452475,1177.558997645298,1318.4647091054856,1474.0365215643835,1644.6528249096464,1827.3819832813688,2019.6188198224738,2218.6722684335427,2421.711157713925,2625.824266332435,2828.113764272132,3025.791502978179,3216.264844106778,3397.20581031964,3566.6010630903625,3722.782553092108,3864.4402444187112,3990.619292927229,4100.704576527913,4194.395630406321,4271.674928656269,4332.772164204018,4378.1267873036895,4408.35062980343,4424.19201226069,4426.502333537548,4416.205795122664,4394.272622937653,4361.6959187495995,4319.472097946913,4268.584744105447,4209.991625997935,4144.614571758114,4073.331870475272,3996.9728670107556,3916.314425686753,3832.0789580775327,3744.93373575141,3655.4912376292727,3564.310311529093,3471.8979589441838,3378.7115801290834,3285.161542492767,3191.6139587640923,3098.393582250668,3005.786744762138,2914.044278516991,2823.3843767682883,2733.9953591752806
IH,0.0,45.793403450502815,63.011593432087174,68.88259238277092,70.5621678186884,70.96647427469252,71.2352214474245,71.77423028301399,72.69496236697887,73.99780669478238,75.64682870640485,77.59892553937105,79.8141448884447,82.25847084948968,84.90379222761318,87.72697362827019,90.70877492102221,93.83287986796105,97.08510156666648,100.45276081889175,103.92421137900293,107.48848290442001,111.13501581452549,114.85346720407728,118.6335716372865,122.4650445288514,126.33751884541441,130.24050814605923,134.16339067065354,138.09541041708002,142.0256920363931,145.94326700832914,149.8371090072705,153.6961766829763,157.5094623005009,161.26604483923768,164.95514626397596,168.56618976756266,172.0888588571731,175.51315622289385,178.82946139424774,182.02858626132732,185.10182761458913,188.04101594206222,190.83855981469125,193.48748528896243,195.9814698594705,198.31487060091675,200.48274624718192,202.48087306249377,204.3057544642237,205.95462445651785,207.42544502701003,208.7168977437257,209.8283698647138,210.75993533798538,212.02409102750607,214.2224463247217,217.8926360484747,223.4766752716064,231.3374375249221,241.78958720796874,255.13108226273386,271.6706292753471,291.75043426752325,315.76502256241696,344.1772043694591,377.532110090801,416.469907944401,461.73746295302794,514.1988364449137,574.8441635966735,644.7960813316821,725.3125143743225,817.7842812745096,923.7256904701217,1044.7561140932685,1182.570526276936,1338.897253680725,1515.4417823172341,1713.8164410308282,1935.457128707777,2181.5298847920503,2452.831852130619,2749.692805962666,3071.8846432520854,3413.03010091017,3764.7735134012105,4118.224952986932,4464.586314074031,4795.532343469868,5103.505450905914,5381.955658401233,5625.5220599736,5830.1475129263035,5993.122979829298,6113.064464706404,6189.831060120296,6224.396325939208,6218.686953887865,6175.402709160605,6097.83041037783,5989.66266896724,5854.829671152039,5697.349781543945,5521.202415281393,5330.224615310799,5128.031156908354,4917.956798851464,4703.018485201558,4485.894824058356,4268.919968397237,4054.0890350599284,3843.072360706269,3637.2361551250838,3437.667429095346,3245.201411952086,3060.4500081317765,2883.830155124623,2715.5912268410207,2555.840870920935,2404.56887431137,2261.668819528361,2126.957427179261,2000.1915823397592,1881.0831175149121,1769.3114774921014,1664.5344255488033,1566.396969983054
IN,36.278797392907336,66.88791989790121,79.74038684065373,85.22872815391298,87.77790351874123,89.27287539619087,90.51215007817775,91.82857986916903,93.35545055014832,95.14074791955656,97.19626410064865,99.51868515837697,102.09861384724465,104.92439228554488,107.98368306260053,111.26408576061539,114.75334094972719,118.43936073079793,122.31018956726734,126.35394053771618,130.55872671330164,134.9125963065741,139.40347540979585,144.01912001353537,148.74707803841795,153.5746616587183,158.4889299564631,163.47668179325814,168.52445867022288,173.61855724176735,178.74505104800699,183.8898209311594,189.0385935039092,194.17698694433764,199.29056330498443,204.36488644546512,209.38558463123587,214.33841678775667,219.20934136127772,223.9845867161444,228.65072199478146,233.19472738074404,237.60406273725206,241.86673364277442,245.97135391033206,249.90720375664603,253.66428287909577,257.23335780041805,260.60600295070117,263.774635070933,266.73254063953266,269.4738961403789,271.99378110541744,274.28818397474936,276.35400092019785,278.1890278730256,280.19737639395953,282.8987668120192,286.80798883229437,292.39709961878305,300.09497530915814,310.30186148531965,323.4086299750276,339.81646845796297,359.9555606815561,384.3025348525235,413.3968960115155,447.85673077826823,488.3938760970685,535.8285628682434,591.1033131988794,655.2955968182068,729.6284425339215,815.4778628083238,914.3756022712852,1028.0053979424783,1158.1906914589297,1306.8716300344356,1476.0693127869679,1667.835661031845,1884.1880739954508,2127.0291914510985,2398.053574162461,2698.644806846337,3029.768227956285,3391.8659471080045,3780.391303708957,4188.594879569939,4608.595278848951,5031.93927564544,5450.012422397872,5854.397601682586,6237.196302678244,6591.303994271419,6910.6278652728815,7190.239009816508,7426.45678709005,7616.868475913668,7760.291588999503,7856.689013212711,7907.048527921228,7913.238426677202,7877.850212102961,7804.037950866455,7695.362141728246,7555.64409455213,7388.835015669868,7198.90236348478,6989.734647162785,6765.064720562242,6528.41077354464,6283.033623772254,6031.908532321938,5777.709568575534,5522.8044955624455,5269.258200072539,5018.8428203279655,4773.052900680631,4533.124105776158,4300.054238958678,4074.6255189114668,3857.4272659809412,3648.8783297898067,3449.248749550995,3258.6802767590725,3077.205506826361,2904.7654628419523,2741.225552645653,2586.3898818332837
D,768.0,768.0,768.433648971945,769.030348728974,769.6826449795461,770.3508462755224,771.022876225099,771.6974511249608,772.3771302671329,773.065528449419,773.7662641532867,774.4826155713439,775.2174527257947,775.9732673032144,776.75222887038,777.5562407899906,778.3869873399138,779.2459706000992,780.1345381409103,781.0539031872553,782.0051588960658,782.98928813803,784.0071698981795,785.0595831656747,786.1472089856512,787.2706311928318,788.4303362301861,789.6267123681732,790.8600485739913,792.1305332301465,793.4382528632248,794.7831910137148,796.1652273537057,797.5841371394886,799.0395910692778,800.5311556015374,802.0582937761386,803.6203665683855,805.2166347945812,806.8462615771214,808.5083153670554,810.2017735126358,811.9255263536352,813.6783818131988,815.4590704517909,817.2662509414561,819.0985159132108,820.9543981259557,822.8323769018825,824.7308847709642,826.6483142657382,828.5830248072168,830.5333496233103,832.4976026426001,834.4740853085359,836.461093262096,838.4569228445229,840.4647235794265,842.4933420400893,844.5567160306018,846.6729690972685,848.8636610833646,851.1533316039906,853.5693418412303,856.1419763303933,858.9047601890201,861.8949545640331,865.1542032679007,868.7293123246905,872.6731499479705,877.0456569256298,881.9149564316316,887.3585479052758,893.4645618006157,900.3330407189226,908.0771978709635,916.8245864869803,926.7180947364718,937.9166616551067,950.5955929825469,964.9463448687821,981.1756417053633,999.5038053897906,1020.1621998423889,1043.3897376728146,1069.4284543573963,1098.5182253092298,1130.8385352874334,1166.4897435549517,1205.488024585352,1247.7662375893442,1293.1784042766858,1341.506978380015,1392.472387422873,1445.7442928534995,1500.9539362686512,1557.7069055418851,1615.5956825448663,1674.2114148006262,1733.154469134632,1792.0434575304469,1850.5225578897089,1908.26707324144,1964.9872744709191,2020.4306500774671,2074.382741195751,2126.666772756654,2177.1423052678833,2225.7031300097938,2272.274617368169,2316.810707229902,2359.2907050490016,2399.7160199660743,2438.1069542439263,2474.499627702496,2508.9430977340735,2541.4967153774414,2572.2277410276474,2601.209229620214,2628.5181843561427,2654.233969928085,2678.43697041762,2701.2074731919606,2722.62475787858,2742.766368507371,2761.7075468871853,2779.5208059723113,2796.275623161087,2812.038234978891
R,0.0,6.99838065835981,30.47731896822181,60.43236248641084,92.84459903108143,126.19796191543936,160.00886087262055,194.20669010576094,228.87534788534492,264.1476187670991,300.16380011862867,337.0569066280774,374.94853238306297,413.9487194330219,454.1571164450362,495.6643668112929,538.553350727228,582.90018025826,628.7749493548222,676.2422737679746,725.3616616256594,776.1877517234914,828.7704504102476,883.1549919166698,939.3819418919984,997.4871598846506,1057.5017334015354,1119.4518938174772,1183.3589226045551,1249.2390549630272,1317.1033868449426,1386.9577904806035,1458.80284278151,1532.633770353977,1608.4404142816823,1686.20721729995,1765.9132354746207,1847.5321760049592,1931.032462288869,2016.3773269187768,2103.5249328193686,2192.428522297097,2283.0365933502517,2375.2931021921486,2469.1376905735747,2564.505936158682,2661.329623915269,2759.537036229328,2859.0532592475042,2959.800502791488,3061.698431075973,3164.6645013965426,3268.6143079343456,3373.461927848727,3479.120266894125,3585.5014019000496,3692.5317664159898,3800.343542600898,3909.3136448998034,4020.0456329381036,4133.338278098117,4250.158757070806,4371.626410571786,4499.007893201556,4633.722721872762,4777.357855568302,4931.6901129834,5098.715548690351,5280.68519008478,5480.146719596117,5699.991745156634,5943.508226338379,6214.437406230706,6517.034232796033,6856.129733765972,7237.193140128251,7666.390754575005,8150.637676334004,8697.637596843011,9315.905080616218,10014.764183282688,10804.317095449718,11695.376896493417,12699.359583858719,13828.13237081983,15093.817780592415,16508.39608591237,18081.362702233488,19818.871133386616,21723.411492575608,23793.740558684913,26024.978772924114,28408.844035476206,30934.001835669733,33586.508644620444,36350.32140905129,39207.843818837304,42140.48049524185,45129.17304677816,48154.896381595376,51199.098998515,54244.07653238132,57273.273078864644,60271.50941067028,63225.140918828714,66122.15089765495,68952.18666705689,71706.54708463195,74378.13037386602,76961.35103019612,79452.03400834525,81847.29357384758,84145.40323144938,86345.6621136474,88448.26219282119,90454.1597191059,92364.95341505797,94182.77119500599,95910.16652861364,97550.02503350055,99105.4814541758,100579.8468540087,101976.54560162703,103299.06156049263,104550.8927781768,105735.51390853657,106856.3455751955,107916.72988936449,108919.91136133538
G,53409.0,53409.0,53427.84270045715,53455.28285760924,53487.03328070233,53521.3094373315,53557.38862435784,53594.99999669554,53634.06449922148,53674.58355802552,53716.59130854773,53760.13402743775,53805.261226792805,53852.02174977411,53900.462009147675,53950.625141525896,54002.55055094727,54056.273616998704,54111.825472628516,54169.23281286126,54228.51771982694,54289.69749994423,54352.78453354532,54417.78613906207,54484.70445456395,54553.536339575185,54624.27329997746,54696.901438544715,54771.40143331398,54847.74854559822,54925.912659010326,55005.858350403476,55087.544993152456,55170.92689271405,55255.953453921116,55342.56937899541,55430.71489481749,55520.32600757682,55611.334782550075,55703.66964642668,55797.255709323836,55892.0151034125,55987.86733491355,56084.729646120846,56182.51738406442,56281.144372440685,56380.523283504466,56480.566006735186,56581.184011251804,56682.28869915204,56783.791747184805,56885.60543442392,56987.642953889466,57089.818706353995,57192.04857486765,57296.81507917742,57406.08175462061,57521.56827172492,57644.92286917015,57777.83402981272,57922.10880355068,58079.73461761005,58252.934495287904,58444.22136607641,58656.454648330524,58892.900796964605,59157.29854141586,59453.92878007367,59787.68835344883,60164.16607328849,60589.7183743702,61071.54075856515,61617.72984127812,62237.32936803625,62940.35218955054,63737.769084945794,64641.45478801855,65664.08192028927,66818.955070506,68119.78019276212,69580.36885341918,71214.2824153219,73034.42749675333,75052.62022582254,77279.14203759441,79694.66402185979,82281.42065596634,85019.6520398087,87887.07572267132,90859.36146815635,93910.93462397592,97015.84893971727,100148.61038553754,103284.89112261018,106402.10335242018,109479.82266588265,112500.06444083396,115447.42630401277,118309.1154471015,121074.88234135887,123736.8828232967,126289.4892968004,128729.0695163174,131053.74857807148,133263.166732176,135358.24270681053,137340.949578104,139214.1079199911,140981.19906283612,142646.1997734139,144213.43851168585,145687.4725774028,147072.98488187863,148374.6987172421,149597.3087005276,150745.42600199408,151823.53599119373,152835.96652196386,153786.86520597205,154680.18417618488,155519.67100356432,156308.8645929827,157051.095041271,157749.486587253,158406.96291807666,159026.25421693732,159609.90544411118,160160.28543644282,160679.59649082273
H,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,121668.93403136978,117613.30289699079,113557.6717626118,109502.04062823282,105446.40949385383,101390.77835947485,97335.14722509586,93279.51609071688,89223.88495633789,85168.2538219589,81112.62268757992,77056.99155320093,73001.36041882195,68945.72928444296,64890.09815006397,60834.467015684975,56778.83588130598,52723.20474692699,48667.573612547996,44611.942478169,40556.31134379001,36500.68020941102,32445.049075032024,28389.41794065303,24333.786806274038,20278.155671895045,16222.524537516052,12166.893403137059,8111.262268758066,4055.6311343790735,8.094502845779061e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
