series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
S,597649.7309475436,597312.4438176496,597104.2302042424,596929.5740602463,596758.0230961596,596579.490736039,596390.2979713597,596188.7735682854,595973.8627059313,595744.6867682688,595500.404613498,595240.1697164841,594963.1180533582,594668.3660945607,594355.0123808614,594022.1406323625,593668.8237589807,593294.1285875391,592897.121257104,592476.8732707556,592032.468195374,591563.008992572,591067.6259504744,590545.4851699872,589995.7975414927,589417.8281291828,588810.9058610728,588174.4334037798,587507.8970831152,586810.8766952273,586083.0550392484,585324.2269919934,584534.3079389855,583713.3413746373,582861.5054883226,581979.1185626877,581066.6430259598,580124.6880210869,579154.010380845,578155.5139289057,577130.2470613078,576079.3985997187,575004.2919459817,573906.3776053821,572787.2241824421,571648.5079865591,597211.5670910429,622691.4076625176,648087.8383163287,673393.5477601715,698597.6093042745,723686.7570937928,748645.7569530386,773457.4137583378,798102.4324568842,822559.2193067626,846803.6596171511,870808.8903610088,894545.0810169191,917979.2361107805,941075.0350944487,963792.7281159265,986089.1092078976,1007917.5908975765,1029228.4056497858,1049968.9592707134,1070084.358780015,1089518.131738064,1108213.145234811,1126112.72070522,1143161.9259236795,1159309.009005434,1174506.9226121325,1188714.8718191946,1201899.808365759,1214037.7891311808,1198395.5532196683,1182204.4419940352,1165504.4811357912,1148406.0183008977,1131039.5126858335,1113538.9385595312,1096034.4905033205,1078648.3763349794,1061492.0659115573,1044664.5254683527,1028251.2468082447,1012323.9372202805,996940.7432910813,982146.884535521,967975.5805989318,954449.1687817811,941580.3247518174,929373.3164276651,917825.2375395056,906927.1822715701,896665.3351324983,887021.9606124702,877976.2853440981,869505.271606744,861584.2853920723,854187.6651934029,847289.1994915608,840862.5218534116,834881.4328649469,829320.157976497,824153.5498925333,819357.2435073828,814907.7706566779,810782.6411844158,806960.3960601034,803420.6375481059,800144.0407495141,797112.3502151328,794308.3647704151,791715.9131992834,789319.8230012,787105.8840604449,785060.8087433521,783172.1896629361,781428.4561156051,779818.8299963978,778333.2818326644,776962.487436987,775697.7855645289,774531.1368644441,773455.0843364586,772462.7154396016,771547.6259480478
E,0.0,337.28712989405386,467.50180096154963,534.0463605388494,582.0970555952715,626.0172391713099,670.4411164130668,716.923440064716,766.0430073843858,818.0685616881732,873.1692241409273,931.4803893245002,993.1236400385375,1058.211948284364,1126.8500905257822,1199.13343393504,1275.1461018451546,1354.9588468398792,1438.6267474529873,1526.186781082401,1617.6553101610846,1713.0255185139413,1812.2648397202468,1915.3124256881063,2022.07671020369,2132.433128281815,2246.222057244423,2363.247049168295,2483.2734262710883,2606.027310571198,2731.1951564366586,2858.4238491825786,2987.3214245407544,3117.458452594371,3248.3701157801142,3379.5589941065714,3510.4985522819916,3640.6373035997944,3769.403604940602,3896.2110169539146,4020.4641442704237,4141.5648533548965,4258.918751170366,4371.941796907078,4480.066912195704,4582.75045283915,4679.478407305504,4837.056184342974,5041.603413767459,5289.569521883489,5581.840416246519,5921.436299965979,6312.647263441542,6760.73224520151,7271.833963202742,7852.973297424828,8512.068471332903,9257.954925067033,10100.392363725166,11050.048475856282,12118.44908016268,13317.883909421415,14661.25676389067,16161.868895999854,17833.125654933963,19688.1590101012,21739.362899153537,23997.84457341059,26472.803160148796,29170.856108167856,32095.344216429752,35245.65537046747,38616.614463228194,42197.99073724109,45974.172673218505,49924.0538353639,54021.160830481305,57719.67143401839,61071.73690870128,64047.12636329028,66602.4883755677,68700.98163350983,70318.06420739414,71442.85634642011,72077.73224461447,72237.02067628014,71945.21126412909,71234.9148255314,70144.76150369822,68717.37514481743,66997.52253671862,65030.50032072199,62860.79174884176,60531.000899587125,58081.053683361264,55547.64253661473,52963.88430473842,50359.15745407814,47759.0844255334,45185.62672552984,42657.263465603835,40189.2278902228,37793.7805101441,35480.501459950974,33256.58841223654,31127.149685864002,29095.485027226918,27163.34891385515,25331.19315231513,23598.38705880745,21963.414672070387,20424.049307839712,18977.50637440137,17620.575777840524,16349.735496123018,15161.248029848444,14051.241475146746,13015.776935949321,12050.90391895603,11152.705250912457,10317.332936508863,9541.036245477733,8820.183185999409,8151.276393059526,7530.964338135375,6956.048652538031,6423.488252032181,5930.400855471619,5474.062405133684
I,525.9721806991461,315.5833084194876,259.5490331574068,253.02984587131579,262.9681496500959,278.9318486800768,297.6511079018509,318.12853622145184,340.0892872638406,363.48891738114617,388.35669351491606,414.74537475625976,442.71479602452536,472.326163111159,503.6397121787438,536.7133918880098,571.6018200572934,608.3552758366443,647.0186523417995,687.630348852154,730.2211009839209,774.8127555946658,821.4170021589587,870.0340763628211,920.6514553987138,973.2425680478057,1027.765546061302,1084.1620464690945,1142.3561770870283,1202.2535594811359,1263.7405647907844,1326.6837579326923,1390.9295846442697,1456.3043334517201,1522.6144008870879,1589.6468831098477,1657.170510563053,1724.9369345375258,1792.6823657334135,1860.129555373474,1926.9900994773561,1992.9670369405171,2057.7577024936636,2121.056786872766,2182.5595490099736,2241.9651191216026,2298.979827512455,2353.3204919411464,2418.7213093473347,2500.533897940095,2601.23025323917,2722.477955124227,2865.9061417198936,3033.385185773263,3227.131845665798,3449.7546508036494,3704.279963709868,3994.171609487887,4323.346789675749,4696.187097506858,5117.54173842162,5592.719086484768,6127.462009189199,6727.9018749987645,7400.485874064891,8151.872355048109,8988.78946360476,9917.853618181976,10945.34640486726,12076.951375429666,13317.455940303174,14670.427861063397,16137.88039621945,17719.94441385879,19414.56912312229,21217.27484815727,23120.980933649967,25115.929120076376,27082.663317250837,28960.364032624646,30706.24766208292,32285.62137877381,33670.00176135802,34837.190883198375,35771.60560262413,36464.39017195953,36913.21336820882,37121.77344483102,37099.076592827776,36858.56655869355,36417.1808254354,35794.39912509378,35011.336816715826,34089.92134609579,33052.17630160426,31919.62555417644,30712.820166359106,29450.983333435004,28151.763467286128,26831.082373993544,25503.063951534117,24180.02856756587,22872.538914268196,21589.484368069076,20338.192453402695,19124.557725381834,17953.180103569688,16827.5063108119,15749.96953750759,14722.123731697355,13744.769998962896,12818.073487983076,11941.669851616989,11114.760928818172,10336.199711082605,9604.56496031524,8918.226053695802,8275.398764174724,7674.192759182302,7112.651629122909,6588.78625303489,6100.602281035486,5646.122469511915,5223.404551462682,4830.555265521602,4465.741106426878,4127.196299498406,3813.228443774896,3522.2222139673986
A,58.44135341101622,46.75308272881298,45.20236041701864,46.97304677548954,49.92846432342568,53.40398911318713,57.20008003430579,61.26427196970478,65.59054707920488,70.18747599923522,75.06813003119133,80.24687720798752,85.73834300758664,91.55703946122973,97.71718871476693,104.23259148078728,111.11649373179509,118.38143763013255,126.03909308630747,134.10006974094313,142.57371042304655,151.46786778336093,160.78866631581755,170.54025250459247,180.72453640156522,191.34092854442744,202.38607675027737,213.8536079371456,225.7338807058911,238.01375492348166,250.67638495013009,263.70104341101757,277.0629824937756,290.73333962448254,304.67909401248113,318.8630799408288,333.24406180790135,347.7768748018426,362.4126337315739,377.099010977862,391.78058281043093,406.3992414988007,420.89466879119095,435.20486451923813,449.26672238053646,463.01664342838677,476.3911765248754,489.327674045864,503.3209185903187,519.2457473535543,537.7199217134116,559.2581377241431,584.3419955843542,613.4559854387419,647.1093143734201,685.8514007658662,730.2841398602128,781.0721598061666,838.9514860652685,904.7366359301491,979.3259176238421,1063.7045167026065,1158.944786395234,1266.2030146145478,1386.7118282544861,1521.767332671275,1672.710093978786,1840.899179629598,2027.678703032353,2234.3366882602504,2462.056585613242,2711.862412588537,2984.5592278020977,3280.671401811358,3600.3818408720886,3943.4758476181037,4309.293569733994,4696.694917996795,5092.145472753548,5486.0237162333,5869.933333265321,6236.154753448263,6577.660350991248,6888.260483724505,7162.7518395023935,7397.02667275581,7588.1301454305485,7734.264719000631,7834.746500303745,7889.921711687094,7901.053023818482,7870.185822369513,7800.003918080005,7693.683051804704,7554.749051882295,7386.945882974046,7194.117243474042,6980.103931848071,6748.657975170137,6503.373523871873,6247.633766557275,5984.572590650864,5717.049380712766,5447.635173404453,5178.608342341478,4911.958035355429,4649.393702544408,4392.359211887759,4142.0502307347015,3899.4337411647393,3665.268744036734,3440.1273828522026,3224.415879484778,3018.3948166820423,2822.1984259891565,2635.852644531956,2459.2917909040825,2292.3737807185153,2134.89385798342,1986.5968612326833,1847.1880751596073,1716.342741151525,1593.7143152424003,1478.9415710556461,1371.6546495827383,1271.4801582344037,1178.045419436665,1090.9819648910934,1009.9283661020371
IH,0.0,105.19443613982922,115.6137494287951,109.60663329836285,105.30495570657797,105.14587225918989,108.25922176658518,113.55678489328398,120.29600958468245,128.05135734370987,136.60157524512428,145.84210081631642,155.73130416798813,166.26037696516613,177.43716458295052,189.27762947371298,201.80132740177322,215.02894119861804,228.98084842285078,243.67619708034746,259.13222280371355,275.3636741265934,292.38228064879036,310.1962339001887,328.80966898574945,348.222144960406,368.42812752757686,389.41648115708506,411.1699800892808,433.6648494040114,456.87034858479115,480.7484108619037,505.25335206805147,530.3316627519771,555.9218968267728,581.9546690434363,608.3527720543709,635.0314217649372,661.8986370885274,688.8557571749393,715.7980957548928,742.6157285442988,769.1944058126803,795.4165783906332,821.1625217309447,846.3115393073881,870.7432237862502,894.3387521725008,916.9821896231467,941.3625184583065,969.8919939464456,1004.2688466976148,1045.6740915158066,1095.0229392677643,1153.1461987841053,1220.9018353431406,1299.2397208028415,1389.239159452237,1492.1315411104706,1609.3148288846064,1742.3629923103708,1893.0313590458293,2063.2575969076265,2255.1572689151153,2471.012416551952,2713.2513264073486,2984.417500120321,3287.125896585408,3624.0047898657986,3997.6221324629114,4410.396166651244,4864.49119382792,5361.700856895744,5903.322921711879,6490.031209531616,7121.751831427602,7797.551978097505,8515.550001730813,9272.855217581846,10044.13381676641,10804.579110559724,11533.254646259122,12212.773560704634,12828.762287899557,13369.60814113367,13826.39920236406,14192.916845928108,14465.591433653366,14643.381194939477,14727.567474305844,14721.478473651092,14630.1626225453,14460.035276785871,14218.521079563474,13913.71077441502,13554.046749531866,13148.046937229192,12704.072408299016,12230.140378629108,11733.781507276519,11221.938316856507,10700.90023996586,10176.27007977831,9652.956443235093,9135.18683678819,8626.536494558197,8129.96854150734,7647.8817035506845,7182.1624049648035,6734.238700356911,6305.134047331365,5895.5194216188265,5505.762702145765,5135.974608778175,4786.050763850007,4455.709676180303,4144.526620499636,3851.9635138880262,3577.394981654917,3320.1308652099406,3079.435460272807,2854.543790798163,2644.675226936505,2449.0447480904777,2266.872137790428,2097.389378184764,1939.8464903404306,1793.516043729463,1657.6965353072906
IN,105.19443613982922,190.09560844189474,216.54055555541504,226.6771012929377,233.55434876558425,241.09255377125652,250.36928875342488,261.6002825420053,274.7601690788027,289.7735064463723,306.5705176451249,325.1007398808583,345.33399705364013,367.25790137769826,390.87469597746326,416.19823848437363,443.2513029593063,472.06319363830517,502.6676174500965,535.1007574771943,569.3994965089755,605.5997493272279,643.7348716946527,683.8341225436284,725.9211635460283,770.0125871929495,816.1164708419044,864.2309599818558,914.3428892650855,966.4264546599495,1020.4419543540804,1076.334619717039,1134.0335606250442,1193.4508516538328,1254.4807869494593,1316.9993318868312,1380.8637988341839,1445.9127723976922,1511.9663064001288,1578.8264105722965,1646.277839578523,1714.0891906845661,1782.0143092880455,1849.7939938971454,1917.1579842325546,1983.8272082389658,2049.5162562388014,2113.9360435529843,2176.7966169434067,2240.610798004555,2308.476978658151,2383.390233101413,2468.101365902776,2565.1563461813757,2676.9840697375585,2805.988221022012,2954.6304909113364,3125.50295319867,3321.3904046870502,3545.3238619046238,3800.6259407163443,4090.9481257685993,4420.299161496052,4793.063031124749,5214.0042688192325,5688.257711196319,6221.299293258644,6818.8942058389675,7487.018749252004,8231.752641280606,9059.139459846592,9975.01438655482,10984.800479061441,12093.27727409533,13304.328452250891,14620.678327552849,16043.629726123616,17572.81801229466,19205.997241070625,20917.46351904836,22674.307642522006,24441.412265632858,26183.496032831245,27866.387099408395,29458.066192536648,30929.574311422966,32255.76784306125,33415.887433269156,34393.9181060587,35178.73560389427,35764.05042075611,36148.17386809867,36333.638971985274,36326.7131792906,36136.84036064811,35776.047268862974,35258.34532658784,34599.15319811414,33814.75974219016,32921.8411844311,31937.041068461094,30876.616979039005,29756.154292072097,28590.344316640883,27392.82210802411,26176.057861280915,24951.29503284336,23728.528065947587,22516.51270086188,21322.802229002777,20153.803611216485,19014.84805015313,17910.271325497873,16843.499923792493,15817.13968916799,14833.064365581036,13892.501981768224,12996.117540483478,12144.090912092583,11336.18920130432,10571.83315919319,9850.157456681298,9170.064827034275,8530.274230660938,7929.363302415766,7365.80541611428,6838.001748954289,6344.308755222554,5883.061468622549
D,4387.0,4387.0,4388.08951066255,4389.286935330265,4390.422143617385,4391.512798943578,4392.601806624529,4393.723059618151,4394.899180071724,4396.14509943699,4397.471341815385,4398.886139766799,4400.396642885775,4402.00956960139,4403.731547113797,4405.569283878591,4407.529653676284,4409.6197328286535,4411.846811871897,4414.218392394891,4416.7421743045725,4419.426036019272,4422.278008709551,4425.30624503076,4428.518982478851,4431.924501377527,4435.531077483571,4439.34692923443,4443.38015973561,4447.638693683474,4452.130209534855,4456.862067363578,4461.841232981635,4467.074199044933,4472.566904005948,4478.324649913089,4484.3520201839,4490.652798590701,4497.229890787364,4504.08524976925,4511.219806690149,4518.633408456328,4526.32476347582,4534.291396859293,4542.5296162473805,4551.034489280052,4559.799833529717,4568.818219496421,4578.080987017023,4587.5782751781135,4597.328073160038,4607.373354143554,4617.774680075754,4628.604844807518,4639.946121132093,4651.889386623672,4664.534404899789,4677.990777508149,4692.379284472948,4707.833459461888,4724.501315004551,4742.547165410862,4762.153505117665,4783.522897206342,4806.879815883538,4832.472370717423,4860.57382131478,4891.483770616295,4925.528904987426,4963.063132125112,5004.466956300537,5050.145927793396,5100.528012797531,5156.059754469015,5217.20113707156,5284.419123711762,5358.179912220248,5438.940039216289,5527.136552880146,5623.176562243511,5727.204791216625,5839.109038031338,5958.560259712943,6085.049335580192,6217.91827630453,6356.388818648858,6499.59039763382,6646.588041271339,6796.409806427398,6948.072960232149,7100.608040845731,7253.080056991447,7404.606304548153,7554.370523959664,7701.633353538338,7845.7392283416375,7986.120022195549,8122.295830113613,8253.873343664405,8380.542289627429,8502.07039066904,8618.297273946859,8729.127706982646,8834.524486163773,8934.501246874397,9029.115409260728,9118.461422572778,9202.66442548064,9281.874400529776,9356.260868175057,9426.008139394296,9491.31112523137,9552.37168610162,9609.395492584003,9662.589361995639,9712.159030602366,9758.30731923405,9801.232649792948,9841.127871195706,9878.179355282631,9912.566325843518,9944.460386895795,9974.02521951354,10001.416419699266,10026.78145290845,10050.259703806421,10071.982602610833,10092.073811922777,10110.649460263165
R,0.0,31.981534519966946,129.6117033684878,237.1449344400496,344.0407039756923,450.743879815939,559.5183249400926,672.3689741987934,790.7980113995457,915.9372312290603,1048.6968219028035,1189.8675795566687,1340.1821412573404,1500.3498244318173,1671.0761378385696,1853.0737162905543,2047.0684591412294,2253.802902282293,2474.0378900637093,2708.5531004101017,2958.1467072343235,3223.6343238566697,3505.847298071308,3805.6303917764726,4123.838859286468,4461.334930206013,4818.983700811852,5197.648440066109,5598.185321524571,6021.437599843101,6468.229259893961,6939.358177331507,7435.588841454578,7957.644704035029,8506.200231009176,9081.87274710533,9685.214176108337,10316.702791014262,10976.735098266952,11665.617988066166,12383.56128790405,13130.670858595451,13906.942370780065,14712.255894965243,15546.371429554389,16408.92547901896,17299.428778624915,18217.265243267735,19161.692196491695,20132.153105891295,21130.070360414386,22158.77105787479,23223.096163917555,24329.09302696006,25483.846038960015,26695.41758676595,27972.864553615444,29326.305093526345,30767.01982917132,32307.577922274024,33961.98199068265,35745.82746738204,37676.47239202042,39773.21321925028,42057.46126816418,44552.913076374665,47285.70627855551,50284.55082444625,53580.8235365804,57208.61237737037,61204.69558826454,65608.4403561307,70461.60614249519,75808.03954502188,81693.25074234983,88163.86627593503,95266.9590509724,103049.26370157878,111556.29337491783,120829.00290984321,130889.03561989966,141737.83694576094,153358.2625446346,165716.42644973675,178763.5610126743,192437.9838991634,206667.2325483111,221370.35210311005,236460.27222561088,251846.18523179606,267435.8353007902,283137.6386233456,298862.57143217314,314525.78271298105,330047.90815599257,345356.0797288757,360384.640087865,375075.5824525893,389378.74454437604,403251.79000947316,416660.01286919334,429576.00048615335,441979.1888454285,453855.34112007165,465195.9769563332,475997.77603274945,486261.97549814964,495993.77708203095,505201.7761373557,513897.4217073274,522094.51394783193,529808.7428971633,537057.270652185,543858.3574573193,550231.031002324,556194.7973146047,561769.3909784991,566974.5619754957,571829.8961765305,576354.6663949464,580567.7108953295,584487.3363225096,588131.242144045,591516.4638699319,594659.3325100641,597575.4479411985,600279.664071616,602786.0839063334,605108.0628235034
G,261540.0,261540.0,261610.19904810571,261707.49947408258,261818.64971620988,261939.8006750999,262070.0926737937,262209.63054527406,262358.842710805,262518.27805582783,262688.54139891407,262870.27275756135,263064.14032873214,263270.8376142286,263491.08162854065,263725.6111931214,263975.1849780459,264240.5791618481,264522.5846486879,264822.003806135,265139.6466978076,265476.3267928119,265832.8561416141,266210.04001668154,266608.6710262626,267029.52272107115,267473.3427263038,267940.8454451361,268432.7043943416,268949.54424757056,269491.93267667264,270060.37209573085,270655.2914256155,271277.0380082806,271925.8698090967,272601.9480516743,273305.3304323714,274035.9650605711,274793.685265582,275578.2054015154,276389.1177677687,277225.8907450228,278087.86822535214,278974.2703907287,279884.19586761505,280816.62525733066,281770.42601337016,282744.3586088038,283751.08762298647,284800.38873531815,285901.29864979326,287063.038452974,288295.45782161935,289609.29932236066,291016.4000565625,292529.8755999667,294164.30277319433,295935.9064044563,297862.75022843934,299964.92925214075,302264.7587320582,304786.95277549,307558.7833327883,310610.2080022736,313973.9527513392,317685.5335819484,321783.1996325243,326307.7795725434,331302.4138065015,336812.1573390108,342883.4424540562,349563.3967509377,356899.0204305191,364936.2366066462,373718.8390814532,383287.3724557371,393677.98848049267,404921.3290403791,416934.4348855841,429645.20092785824,442975.23017036635,456837.10295189044,471135.7318859842,485770.92171236774,500640.21278507286,515641.63959545793,530676.2188604911,545650.0642843968,560476.076810326,575075.1974133229,589377.2383035421,603321.3289333747,616856.0262750343,629939.1455311006,642537.3690250474,654625.6887982613,666186.7336321146,677210.0248657342,687691.1983329593,697631.2226265812,707035.6371537192,715913.8273503646,724278.3491240933,732144.3101436015,739528.8119761627,746450.4542295029,752928.8996978435,758984.4979465136,764637.963697534,769910.1057067269,774821.6014666713,779392.8129552767,783643.6387141038,787593.3977319518,791260.7408857435,794663.5860194092,797819.0730969158,800743.5362288731,803452.4897295506,805960.625703164,808281.8209787252,810429.1515079398,812414.9126088304,814250.6436785859,815947.1562132299,817514.5641603438,818962.3157959861,820299.226460062,821533.5116077644
H,801586.9703031527,801586.9703031527,801586.9703031527,801586.9703031527,801586.9703031527,801586.9703031527,801586.9703031527,801586.9703031527,801586.9703031527,801586.9703031527,801586.9703031527,801586.9703031527,801586.9703031527,801586.9703031527,801586.9703031527,801586.9703031527,801586.9703031527,801586.9703031527,801586.9703031527,801586.9703031527,801586.9703031527,801586.9703031527,801586.9703031527,801586.9703031527,801586.9703031527,801586.9703031527,801586.9703031527,801586.9703031527,801586.9703031527,801586.9703031527,801586.9703031527,801586.9703031527,801586.9703031527,801586.9703031527,801586.9703031527,801586.9703031527,801586.9703031527,801586.9703031527,801586.9703031527,801586.9703031527,801586.9703031527,801586.9703031527,801586.9703031527,801586.9703031527,801586.9703031527,801586.9703031527,774867.4046263809,748147.8389496091,721428.2732728373,694708.7075960655,667989.1419192937,641269.5762425219,614550.0105657501,587830.4448889783,561110.8792122065,534391.3135354347,507671.7478586629,480952.18218189117,454232.6165051194,427513.0508283477,400793.48515157594,374073.9194748042,347354.35379803245,320634.7881212607,293915.22244448896,267195.6567677172,240476.09109094547,213756.52541417372,187036.95973740198,160317.39406063023,133597.8283838585,106878.26270708673,80158.69703031497,53439.13135354321,26719.565676771457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
