series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
S,672369.663156683,671999.6308241653,671769.9583899323,671574.1129628324,671380.7947709198,671180.4998076234,670970.0601226941,670748.1437524374,670513.9419661133,670266.7860608916,670006.0356955267,669731.0467218359,669441.1624215201,669135.71175815,668814.0098582525,668475.3593297533,668119.0520195069,667744.3711022158,667350.5934773829,666936.9924744328,666502.8408713681,666047.414231767,665569.994562237,665069.8742886875,664546.3605452854,663998.7797648526,663426.4825537795,662828.8488283771,662205.2931830208,661555.270453579,660878.2814326005,660173.8786857002,659441.6724117368,658681.3362828869,657892.6131948377,657075.3208522348,656229.3571104882,655354.7049922528,654451.4372955834,653519.7207110751,652559.8193673927,651572.0977285557,650557.0227722154,649515.1653859254,648447.2009279714,670671.793801799,692826.3423210866,714909.6577080998,736914.892177997,758832.5727215736,780651.5378653748,802359.1410574146,823941.1961468749,845381.8272973577,866663.2780259614,887765.6982937614,908666.9175591399,929342.2092081001,949764.0523401509,969901.8987301512,989721.9553275512,1009186.9956783763,1028256.2170132141,1046885.1632434311,1065025.737459899,1082626.3303245436,1099632.0924476113,1115985.3788040874,1131626.3907517525,1146494.035591345,1160527.014338901,1173665.1352701036,1185850.8341503583,1197030.8628164476,1207158.0875399462,1192875.434699522,1177856.9185696477,1162123.6070323812,1145763.4744667993,1128889.2010994863,1111625.2333785011,1094101.4517574836,1076448.5056662902,1058793.8460795402,1041258.3591633363,1023953.6576880282,1006980.0722680647,990425.3372718984,974363.9219617363,958856.9254878865,943952.4361445763,929686.2491899924,916082.8408157935,903156.5055638035,890912.5779301235,879348.6738674595,868455.9027678053,858220.0141999549,848622.4555732362,839641.3267413921,831252.2253420874,823428.982542393,816144.2930715536,809370.2462475256,803078.7664210483,797241.9721262085,791832.4634620933,786823.5470213448,782189.4071766583,777905.2318504972,773947.3001127144,770293.0381376991,766921.0492503559,763811.1230271287,760944.2277116751,758302.4895638025,755869.1621881948,753628.5883856567,751566.15663087,749668.2539022577,747922.2162659387,746316.2783411045,744839.5225426834,743481.8288033811,742233.8253160042,741086.8407037685,740032.8579169323,739064.4700649419,738174.8383211433
E,0.0,370.03233251765346,498.81302465517166,558.6538094175144,599.6513765974328,636.447459611586,673.3555709198615,711.6771289677556,751.8354789723608,793.9985103914357,838.2599749363692,884.6918692369771,933.3591296857196,984.3233054724471,1037.6430010405609,1093.3733605485,1151.5652538097074,1212.2643528014319,1275.510151936399,1341.3349472948298,1409.7627806410237,1480.8083530190613,1554.475914107266,1630.7581355801556,1709.6349789698052,1791.0725707736858,1875.0220997531007,1961.4187534530106,2050.1807128951273,2141.2082260887787,2234.3827823978645,2329.5664108216565,2426.601125814354,2525.308544306881,2625.48969703351,2726.9250560449887,2829.3747983630237,2932.579323071802,3036.260035747832,3140.120410024098,3243.8473313222503,3347.112722452449,3449.5754449901965,3550.883464237704,3650.6762593337057,3748.5874538794287,3889.846873680544,4063.824118582297,4268.446243852479,4504.830731097216,4775.4788374846385,5083.694914544088,5433.421959522869,5829.217571191306,6276.27733562995,6780.4737843255025,7348.398767236415,7987.402895580547,8705.626874716783,9512.019117952063,10416.333020431017,11429.09605357513,12561.541620122509,13825.493581108429,15233.192764811925,16797.05488635324,18529.350486384115,20441.800097439344,22545.082189200788,24848.25773360546,27358.123453872973,30078.515642418195,33009.59711164827,36147.17021072327,39482.06737103988,42999.6756233567,46294.04820701103,49404.98390896277,52294.52361889187,54910.35217933144,57202.652282101066,59129.75562921135,60660.586081159585,61775.73906690981,62467.665607488874,62740.14839829934,62607.220913936064,62091.686556112254,61223.396335766985,60037.43230184569,58572.32200866543,56868.381256239096,54966.252543847455,52905.67857664768,50724.52599632996,48458.05539979738,46138.419911683966,43794.36571953504,41451.10333381355,39130.31700956144,36850.28086355862,34626.05292539901,32469.72199198495,30390.686181754354,28395.946121738398,26490.399488751325,24677.127010905206,22957.662942034123,21332.24543154969,19800.044146096676,18359.364000764675,17007.82498212429,15742.518852499878,14560.144072750893,13457.120622820743,12429.686582448945,11473.97839872782,10586.096745666104,9762.159800198127,8998.34564003247,8290.925327358445,7636.288090640929,7030.959863145972,6471.616287439855,5955.0911538429555,5478.381110099508,5038.647360599343,4633.2149667839785,4259.570265735082
I,638.4237448379064,383.0573374061829,319.39341814638453,312.3629353864202,322.62759155434685,338.708880681625,357.26331255894706,377.32875573232366,398.6429027739591,421.1508281820703,444.8602098747847,469.79834491991164,495.99903669136245,523.4982836226166,552.3325814050202,582.5380113841027,614.1495688196237,647.2005628152815,681.7220327654605,717.7421611014786,755.2856738848836,794.3732255858984,835.0207670102559,877.2388972479964,921.0322021647726,966.3985834873124,1013.3285839991635,1061.8047157732694,1111.8007997192271,1163.281325998806,1216.200846038416,1270.5034079096135,1326.122047720921,1382.978350324804,1440.9820930493443,1500.0309862717986,1560.0105244203514,1620.7939603854816,1682.2424153158545,1744.2051343482049,1806.519896971814,1869.0135884662798,1931.5029362031257,1993.7954116114997,2055.69029533724,2116.9798996508575,2177.4509385761066,2247.9221986105445,2332.312178953463,2432.470293162046,2549.7766570690737,2685.664714203296,2841.79427406885,3020.115535229411,3222.901680166732,3452.7740923041447,3712.7269151849605,4006.152043449465,4336.863663691949,4709.120562441691,5127.643774045281,5597.626509693955,6124.732634962498,6715.079263525365,7375.198365917684,8111.971745393446,8932.533433559878,9844.13366437262,10853.95927791639,11968.906872141997,13195.30742304679,14538.604525395238,16002.99284196199,17591.02859542823,19303.229594355576,21137.68774346307,23089.72146906422,25058.272445069517,26992.33749729397,28852.127411820235,30601.10687952504,32205.297492467987,33634.22726188373,34862.09163710854,35868.711367008116,36640.15175982482,37168.96744078359,37454.08760393204,37500.38875912122,37318.02153373712,36921.5670944086,36329.0988519971,35561.218381389626,34640.1232375933,33588.75079853105,32430.028284759443,31186.24609377006,29878.560439433688,28526.622455216526,27148.32449598756,25759.650198154643,24374.612618302745,23005.26408133426,21661.761834417335,20352.474856824323,19084.11890501777,17861.908826755753,16689.71916987554,15570.246009976763,14505.16464363722,13495.279295289898,12540.662250167816,11640.780856456615,10794.611653588994,10000.741504491396,9257.456064891645,8562.816240301121,7914.723487348269,7310.9749345710325,6749.309349297657,6227.444979346878,5743.110265322985,5294.068362771275,4878.1363423810235,4493.199857617108,4137.223987688754,3808.260883242188,3504.4547650677787,3224.0447540291434
A,80.8005228275992,64.64602069315927,63.05587959764196,65.72837972592582,69.69956766848871,74.13260318355654,78.80645175177395,83.67639903477027,88.74653463312819,94.03309813588697,99.55422501685274,105.32729665168101,111.36842469824197,117.69248868771325,124.31327860998239,131.24362254487363,138.49547298435118,146.07995096052932,154.00735306338106,162.2871270450146,170.92782103392705,179.93701055671443,189.3212068723765,199.0857496128602,209.23468637763384,219.77064172209126,230.69467788225387,242.00614956766486,253.70255520982963,265.7793871567713,278.2299834386981,291.04538388002527,304.2141934844263,317.7224561581206,331.5535419486181,345.6880510485805,360.1037378350185,374.775458171468,389.6751430852768,404.7718017357333,420.031556305893,435.41771107875604,450.89085749727667,466.4090164613469,481.9278184908859,497.40072169366067,512.7792667342153,529.4101322869212,548.0451314212685,569.2222696767858,593.4062187310309,621.0453649665019,652.599665245023,688.5578961788071,729.4507182377581,775.8618442787842,828.4381684817433,887.8991681436547,955.0456339508139,1030.7676145694963,1116.0513124036227,1211.9845171746458,1319.7600064839223,1440.676179127956,1576.134024702893,1727.6293848171272,1896.7393462812693,2085.101550814612,2294.385240784574,2526.253021502033,2782.312642073021,3064.0586058973677,3372.8041300391765,3709.6048663634856,4075.176829949674,4469.812067732144,4893.296622895061,5333.024627913246,5780.129604304657,6226.35501666015,6663.492581571605,7083.449133011125,7478.4732218180125,7841.411247869919,8165.945447337213,8446.789935874303,8679.831508472618,8862.209179853697,8992.332461837279,9069.843229623622,9095.52956819152,9071.202150212348,8999.544565749708,8883.94880653759,8728.346072878036,8537.041503004253,8314.559584816616,8065.505115164572,7794.442784627299,7505.796893512434,7203.77140629968,6892.289546475003,6574.951412251311,6255.007627686518,5935.346794236163,5618.49443183355,5306.621153867405,5001.557968336233,4704.816804822773,4417.614606657298,4140.899578671681,3875.3784277795667,3621.543665547181,3379.700252202582,3149.991046554056,2932.4206847950163,2726.877643598796,2533.1543508258965,2350.9652928499013,2179.9631335884696,2019.7529095480606,1869.9044002417183,1729.9627967327706,1599.457805069113,1477.9113280068784,1364.8438694030197,1259.7798024368617,1162.2516366020366,1071.8034101664023
IH,0.0,127.68230282613119,139.111617252351,131.97382791387184,127.07374723502718,126.7280062717955,129.7749592192904,134.97728494204654,141.53688118721746,149.0106093567722,157.17056429443622,165.9067199630207,175.1706769523514,184.9455038679837,195.230112191228,206.03126808098514,217.35949976278968,229.22695981410226,241.6462587222784,254.62977719245407,268.1892120676681,282.3352341736986,297.0771977891275,312.42287201615466,328.3781796764756,344.94693719929853,362.1305931138886,379.9279650810886,398.3349768170094,417.3443972268298,436.9455847940366,457.1242408615184,477.86217593874125,499.1370935873557,520.9223967743667,543.1870218279953,565.8953052733102,589.0068888480104,612.4766678891826,636.2547880269199,660.2866947108143,684.513239524938,708.8708465153308,733.2917408662795,757.7042412290638,782.0331158471975,806.2000013597989,830.1238818300129,855.9288150865791,885.4382310646708,919.9145904837728,960.2518969198802,1007.1744562505612,1061.3687781556014,1123.5609474406747,1194.561016831986,1275.2897809502906,1366.796794149758,1470.274188509235,1587.0683459386607,1718.6900732892009,1866.8231126685737,2033.3302930831583,2220.256237234875,2429.825205332134,2664.432361515509,2926.626494116573,3219.0820365724894,3544.5581667362594,3905.842867071299,4305.680172838089,4746.679484528762,5231.206824878024,5761.259299441316,6338.3257438082455,6963.238515907311,7636.023450567223,8355.756897365629,9101.775443235078,9853.763725151359,10593.819502754213,11305.872549079544,11975.26079437725,12588.712744718438,13134.571075084848,13603.093648780858,13986.724718696969,14280.276633312347,14480.995834199184,14588.509713418467,14604.665962670491,14533.285220855738,14379.852337459435,14151.172430897881,13855.016092825033,13499.774484339487,13094.140509341867,12646.827415332413,12166.331575804954,11660.74219219328,11137.597402622905,10603.783858473063,10065.475194179533,9528.103877248795,8996.36055912888,8474.215119013359,7964.953973469434,7471.228802068623,6995.112520155659,6538.159042930906,6101.4640785366955,5685.724827613009,5291.29703281433,4918.248304997036,4566.407052081773,4235.406656226546,3924.7247924665553,3633.717966639928,3361.651482024591,3107.7251322195702,2871.0949712378565,2650.8915383546155,2446.2349216730495,2256.2470362103627,2080.061474096552,1916.8312598040352,1765.7348149534062,1625.9804072478867,1496.8093279884001
IN,127.68410460559228,240.40487691808286,288.8428498630357,318.8716449950274,343.9752686261215,368.1899131712861,392.78307903404817,418.20503325997583,444.6608506667423,472.27911208181087,501.1623448682545,531.4025967575888,563.0865877705613,596.2976358275689,631.1164944513499,667.6217527404618,705.8900061499493,745.9958729108706,788.0118885121631,832.0082958381431,878.0527424496879,926.2098934603761,976.5409667360798,1029.1031961506392,1083.9492281331525,1141.1264566329685,1200.6763018380702,1262.6334384604609,1327.024980106173,1393.869627139279,1463.176786491682,1534.9456730257261,1609.164403285018,1685.809093727695,1764.8429767798032,1846.2155492252944,1929.8617685113877,2015.7013134396093,2103.637926378933,2193.5588545241962,2285.3344077793004,2378.817650524674,2473.8442437935564,2570.232453203267,2667.7833363492327,2766.2811212689994,2865.493785034317,2965.173838562204,3067.2665424575753,3174.2728876313176,3288.770654086041,3413.31155291191,3550.4349467944157,3702.714570093625,3872.8125783378196,4063.533782582212,4277.878571408783,4519.094542794557,4790.727083398448,5096.668928595398,5441.20837613136,5829.075379166583,6265.484223459032,6756.17089870727,7307.422609097078,7926.096147290654,8619.621110400663,9395.983218308873,10263.682381851542,11231.659765942099,12309.18803076115,13505.719359923047,14830.686946728641,16293.25743450748,17902.034467310892,19664.71698717228,21587.72007804383,23675.770728565705,25912.830407172325,28274.539558481745,30731.43552690222,33250.20136790233,35794.62891075592,38326.65886236212,40807.53122365089,43198.992459719855,45464.48505274395,47570.246602154926,49486.25717147857,51186.99016518546,52651.94057112072,53865.92258326377,54819.14468794703,55507.08313563349,55930.18380472813,56093.4277734675,56005.79780724921,55679.68203593803,55130.24804276911,54374.81612494751,53432.25526261294,52322.41988653193,51065.64027891559,49682.274663911805,48192.326919448446,46615.13045138168,44969.0961233931,43271.5201897129,41538.44685785006,39784.579323004036,38023.232766860085,36266.322805691874,34524.38311868239,32806.60641067982,31120.90340006152,29473.975120142575,27871.394441336426,26317.69333103226,24816.452947666246,23370.394200748775,21981.466891469132,20650.935975192162,19379.463857259296,18167.187948930314,17013.792974546028,15918.57773850794,14880.516236401576,13898.313133622738,12970.453742185999
D,4387.0,4387.0,4388.33953394524,4389.798974520497,4391.18353149089,4392.5166809893135,4393.846203268096,4395.207691581422,4396.62375826423,4398.108642642544,4399.671935009741,4401.320834672458,4403.061386637882,4404.899128147822,4406.839418814321,4408.887606829611,4411.049111370699,4413.329462067765,4415.734316045479,4418.269462727001,4420.940821423301,4423.754434158661,4426.716454906578,4429.833135777671,4433.1108103893575,4436.555874496258,4440.174763891715,4443.9739295658055,4447.959810104513,4452.1388013289215,4456.517223197629,4461.10128402751,4465.897042126107,4470.9103649723265,4476.146886129836,4481.611960128894,4487.310615606177,4493.247507047567,4499.426865534439,4505.85244894847,4512.527492141761,4519.454657626548,4526.635987380276,4534.072856395641,4541.765928629715,4549.715116019925,4557.9195412362005,4566.377504826851,4575.086457389993,4584.066133328941,4593.35539692046,4603.006357103661,4613.080501941545,4623.646918297327,4634.781895308926,4646.5693395774715,4659.1016560871885,4672.480910015014,4686.820177568025,4702.245041787462,4718.8952108065405,4736.926242856867,4756.5113605578135,4777.843329743693,4801.136366688338,4826.628022708779,4854.580977143706,4885.2846490476,4919.056515352144,4956.242999932435,4997.21977580042,5042.39130404828,5092.189421375141,5147.070786774982,5207.513011171881,5274.009325084544,5347.0616914219545,5427.172344130109,5514.833827001656,5610.321900903059,5713.699195219144,5824.840524280276,5943.452107286178,6069.086341491767,6201.156390944004,6338.953120966949,6481.665190686043,6628.401990764998,6778.2184874472705,6930.140758987124,7083.1909745537605,7236.410687723603,7388.8815349615115,7539.742695100455,7688.204740478362,7833.559765860813,7975.187898926983,8112.5604658980465,8245.240204964903,8372.878991030857,8495.213564009247,8612.059747536681,8723.30561412911,8828.904004815504,8928.86475344584,9023.246904188996,9112.151149804304,9195.712661333926,9274.094428983057,9347.481190218714,9416.073984862373,9480.085347971875,9539.735129040215,9595.246909709247,9646.844980936336,9694.75183348093,9739.186111860414,9780.360980803622,9818.482854046853,9853.750437514309,9886.354042046345,9916.475124521005,9944.286020175121,9969.94983295953,9993.62045470549,10015.442687631003,10035.5524482084,10054.077033609577,10071.135434825674
R,0.0,31.117834427541613,136.05681556189282,252.0689941622647,368.5656748618433,486.34817742134555,607.68182950776,734.355482998223,867.5831563429806,1008.2046672718113,1156.8565794267588,1314.0771449164727,1480.363864997753,1656.203425177775,1842.0867841890527,2038.516577072197,2246.0105965499806,2465.1032653682096,2696.3460505259904,2940.3072833223414,3197.5716060854534,3468.7391462326914,3754.4244592952714,4055.2552538811115,4371.870897957439,4704.920699789829,5055.06195469639,5422.957748675649,5809.274511081418,6214.679310435614,6639.83688999526,7085.406442727794,7552.0381288477665,8040.369342990051,8551.020742400984,9084.592052171745,9641.657668456695,10222.762085737468,10828.415179419238,11459.087380271438,12115.204782329642,12797.144230724864,13505.22844035894,14239.721200252978,15000.822721612929,15788.665190040436,16603.30858373702,17444.736819891434,18313.13354677699,19210.122717646067,20138.64065627618,21102.649909607408,22106.94870821839,23157.086983658104,24259.357260323934,25420.833178991008,26649.438805408423,27954.039552909824,29344.550044401985,30832.056556197444,32428.952694220487,34149.087186611956,36007.92241948625,38022.70172973593,40212.62255741096,42599.01137248282,45205.49484085292,48058.16000695278,51185.69439524683,54619.494958546056,58393.732864038204,62545.359400262525,67114.03705683273,72141.9793653813,77673.68370873059,83755.54330407527,90435.32817766245,97761.53028192531,105780.21340161459,114523.45737447903,124008.67891973892,134239.24981287718,145204.98422274258,156882.57228631267,169236.17799146313,182218.33125481915,195771.15117292947,209827.87242828473,224314.6072547266,239152.2550756294,254258.46594212664,269549.5683260294,284942.3833991652,300355.86382009956,315712.51283041935,330939.5571876251,345969.86369271955,360742.6028750568,375203.67429588095,389305.9158176883,403009.124226968,416279.91714120196,429091.4666219651,441423.13382895355,453260.0318404431,464592.54083991825,475415.796566025,485729.1695116074,495535.7490363172,504841.8434632715,513656.5044486137,521991.08148726594,529858.8103609169,537274.4376352561,544253.8819476925,550813.9317605252,556971.9784498274,562745.7830183406,568153.2743240867,573212.3764706545,577940.862879368,582356.2345309355,586475.6199018726,590315.6942099422,593892.6157074943,597221.9769094108,600318.7688035395,603197.3562584376,605871.4630102395
G,261540.0,261540.0,261629.55716138566,261750.2824997537,261885.49081797904,262030.6215819414,262184.6579264579,262347.6269652024,262519.87078795105,262701.83394470456,262894.0016189488,263096.8816844494,263310.999439973,263536.89590053173,263775.12697759486,264026.26276638557,264290.88670840487,264569.5945569322,264862.993119018,265171.6987603569,265496.3356631102,265837.5338281525,266195.92681438226,266572.14920922706,266966.8338264751,267380.60863009945,267814.093385831,268267.8960458492,268742.608876084,269238.804340208,269757.0307593952,270297.80777225527,270861.6216249342,271448.9203270896,272060.1087151753,272695.54347006226,273355.52814131835,274040.3082352995,274750.06642838934,275484.91797009157,276244.90634304675,277029.9992482668,277840.0849838054,278674.96928360977,279534.3726803473,280417.9284515401,281325.1812023772,282266.6222971633,283250.170275132,284283.2419705856,285373.5246765723,286529.31105348835,287759.69349817786,289074.7187123113,290485.5364514621,292004.5539341338,293645.59967962967,295424.0976012731,297357.2506457779,299464.2320159669,301766.3806564757,304287.39607966965,307053.52571163443,310093.73574536765,313439.8540465854,317126.6710703164,321191.9821879307,325676.5525512549,330623.98397672974,336080.46273990563,342094.3681001746,348715.7242954475,355995.4840431997,363984.63946561713,372733.16674746457,382288.8232905821,392695.8297895287,403900.1575796484,415857.41030696075,428514.0045549766,441803.695319047,455648.1805489181,469959.0734148185,484640.4658770823,499591.75350022304,514710.5048053616,529895.203821354,545047.7310320105,560075.4859197477,574893.0926648512,589423.6661886661,603599.6460528368,617363.2292598874,630666.449322688,643470.9584915731,655747.5736996434,667475.6458341707,678642.3076498986,689241.6492043005,699273.8621345111,708744.386214538,717663.0840157547,726043.4625326513,733901.954553601,741257.2674487794,748129.8029167481,754541.1480174395,760513.6354247241,766069.9691406137,771232.9108052868,776025.0210972987,780468.4504418843,784584.7732409748,788394.8600296008,791918.7822870145,795175.7450372807,798184.0428248378,800961.0351168325,803523.1376451311,805885.8266424693,808063.6533399506,810070.2664716374,811918.4408737709,813620.1105707824,815186.4050087221,816627.6873310055,817953.5937940194,819173.0735939827,820294.4285244871
H,699536.5467373593,699536.5467373593,699536.5467373593,699536.5467373593,699536.5467373593,699536.5467373593,699536.5467373593,699536.5467373593,699536.5467373593,699536.5467373593,699536.5467373593,699536.5467373593,699536.5467373593,699536.5467373593,699536.5467373593,699536.5467373593,699536.5467373593,699536.5467373593,699536.5467373593,699536.5467373593,699536.5467373593,699536.5467373593,699536.5467373593,699536.5467373593,699536.5467373593,699536.5467373593,699536.5467373593,699536.5467373593,699536.5467373593,699536.5467373593,699536.5467373593,699536.5467373593,699536.5467373593,699536.5467373593,699536.5467373593,699536.5467373593,699536.5467373593,699536.5467373593,699536.5467373593,699536.5467373593,699536.5467373593,699536.5467373593,699536.5467373593,699536.5467373593,699536.5467373593,676218.661846114,652900.7769548687,629582.8920636234,606265.0071723781,582947.1222811328,559629.2373898876,536311.3524986423,512993.467607397,489675.5827161517,466357.69782490644,443039.81293366116,419721.9280424159,396404.0431511706,373086.1582599253,349768.27336868003,326450.38847743475,303132.5035861895,279814.6186949442,256496.73380369888,233178.84891245357,209860.96402120826,186543.07912996295,163225.19423871764,139907.30934747233,116589.42445622702,93271.53956498171,69953.6546737364,46635.76978249109,23317.88489124578,4.729372449219227e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
