series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
S,211216.3205608323,211139.81051046684,211092.24809013493,211051.5173471223,211011.42610451454,210970.19651637942,210927.2777661506,210882.45964471114,210835.6256210142,210786.68399005348,210735.54866791453,210682.13385007664,210626.35255526495,210568.11627064287,210507.33492076423,210443.91694295045,210377.76940839196,210308.79817217326,210236.90804778418,210162.0030051871,210083.9863925059,210002.76118166323,209918.23023832054,209830.29661640988,209738.86387743038,209643.83643452803,209545.1199211894,209442.6215841607,209336.25069995414,209225.91901402883,209111.54120143031,208993.0353473502,208870.3234457241,208743.331913628,208611.99211886496,208476.24091776018,208336.02119981052,208191.28243546965,208041.98122300016,207888.08182999783,207729.556724897,207566.3870935101,207398.56333544583,207226.0855350981,207048.9639018084,206867.2191737864,206680.88298043123,206489.99815783545,206294.6190124784,206094.81152842497,205890.65351374372,205682.23468233825,212215.46638259967,218736.77415956592,225245.96594256177,231741.80690353466,238222.6059313934,244686.38400297382,251130.90513694595,257553.66132572573,263951.840400308,270322.28563990723,276661.4496043584,282965.3427647718,289229.47702258476,295448.80419779883,301617.6497547252,307729.64234656637,313777.6401911421,319753.6558498483,325648.7816837569,331453.11911240034,337155.71579791274,342744.51599597273,348206.33050355414,353526.8338031809,358690.59702124086,363681.16600319376,368481.19393673347,373072.63727258355,377437.0219517221,381555.78394724906,378664.8740641055,375562.08849287924,372241.7151401797,368712.2522846911,364988.52294178645,361089.79648366343,357038.96092401823,352861.7888507494,348586.1415864734,344241.1233326019,339856.23111698416,335460.5485387178,331082.02366804786,326746.86016406596,322479.03844229755,318299.97224677715,314228.29632744286,310279.77364342945,306467.30572544923,302801.02734135336,299288.4660325247,295934.7479565675,292742.83331467287,289713.7670432473,286846.9330717645,284140.30304262275,281590.6727864188,279193.881949408,276945.0139351633,274838.57474478334,272868.650400347,271029.04345054325,269313.38962824136,267715.25610119075,266228.22297063074,264845.9497655193,263562.2286841427,262371.0262763074,261266.5151591539,260243.09723421026,259295.4197349484,258418.38529182898,257607.15706196454,256857.15983734114,256164.0779216628,255523.85045277505,254932.66474587066
E,0.0,76.51005036547028,101.23664062565396,111.75144845959477,118.48841832669582,124.35296130169839,130.15628578400967,136.12687267430672,142.3313304810545,148.79156113913763,155.51730845687814,162.51512863014153,169.790797791909,177.3498996438839,185.1979139390275,193.34017212971864,201.78178052943906,210.52753748454006,219.58185078144652,228.94865614915852,238.63133646461176,248.63264112417076,258.9546051775247,269.59846800581926,280.5645915070682,291.8523779172951,303.46018754555,315.3852568372406,327.6236173052574,340.1700159835631,353.01783816391463,366.1590332731728,379.5840448356312,393.2817455409177,407.23937850184376,421.4425058363963,435.8749657419957,450.51883924617584,465.35442781401275,480.36024296704477,495.51300901942386,510.78767996324314,526.1574714354481,541.5939085730133,557.066890411278,572.5447713033103,587.9944596374293,603.381533907841,618.6703759528131,633.8243209197097,648.8058232510582,663.5766377157477,678.0980142401245,700.2091424686892,727.8367922518128,760.5692844419689,798.5740961346133,842.2566298823957,892.1582465644625,948.9307542144636,1013.3355782053425,1086.2514343000757,1168.6854887789473,1261.7863893683755,1366.85851845226,1485.3770229655215,1619.0031208313094,1769.5990200746016,1939.2415539080414,2130.233342942999,2345.1099486927337,2586.6410892964896,2857.8235670315003,3161.8631399376964,3502.1422073808653,3882.1699439490394,4305.511502744712,4775.693232360826,5296.081635637319,5869.73515776691,6499.229904534375,7186.463063506421,7932.44102527358,8667.643848326179,9400.999664150535,10124.56146730043,10826.429445408126,11493.809146889602,12114.106217780218,12675.600746220309,13167.982108629229,13582.774197651866,13913.637929447339,14156.53966495183,14309.785207633211,14373.930436191487,14351.588560682834,14247.159502106766,14066.508938307372,13816.623618623227,13505.266397123956,13140.649924334626,12731.142860827451,12285.017470467785,11810.242964416446,11314.325261148346,10804.191006813615,10286.111749847172,9765.662991642648,9247.71230711861,8736.430696720796,8235.321651662394,7747.262960862108,7274.556957659131,6818.985617531685,6381.867617760422,5964.115118676642,5566.288601885198,5188.64859363117,4831.203509795615,4493.753187051278,4175.92792010541,3877.2230170578173,3597.0290235887173,3334.6578615641993,3089.3651875363807,2860.3693093155466,2646.867010964655,2448.0466337514617
I,144.11901749517185,86.93590104014291,72.99397905121212,71.22598612810012,72.98399600080117,75.85416310611589,79.1608563450818,82.71442756727897,86.46185154304938,90.38903471583544,94.49335886000114,98.77586199844987,103.23893142582304,107.88555880677217,112.71904868463315,117.74286641547906,122.96053452458924,128.37554954586534,133.9913096080101,139.81104856664422,145.83777437930317,152.07421022864042,158.52273734803828,165.18533881032624,172.06354377504033,179.15837187992923,186.4702776216228,193.99909470662809,201.7439804726184,209.70336058523327,217.874874310039,226.25532074473853,234.84060647425468,243.62569518144784,252.60455980898362,261.7701379228663,271.114290974713,280.62776819704317,290.3001758926047,300.11995289386357,310.0743529710225,320.1494349551232,330.3300613158373,340.59990589055803,350.9414714016964,361.33611732229684,371.76409855621034,382.20461528851564,392.63587423551047,403.0351613827554,413.3789261461701,423.64287672737134,433.80208626308035,443.83110919271144,455.8203713142064,470.4739512131349,488.1059793774897,508.9509344858446,533.2591593173238,561.3270875749906,593.5086245497283,630.2217892918154,671.9547824680136,719.2726444828156,772.8247721981702,833.3532819109325,901.7020914459704,978.8265103219313,1065.8030323546473,1163.838905458062,1274.2809027781764,1398.6225352274591,1538.5087288209143,1695.736746330037,1872.2518735736749,2070.1361369360284,2291.5881024051814,2538.8916723690118,2814.371802364631,3120.3352741202443,3458.99515558753,3832.3784176645604,4242.217401180036,4689.827432088787,5157.327391909446,5636.329267706923,6119.638480657966,6599.718549745488,7068.586431339021,7518.043455513798,7939.995775591762,8326.791341863318,8671.537397258006,8968.373257996132,9212.680102720144,9401.216654645461,9532.17702216873,9605.173814495478,9621.155262128652,9582.269006861752,9491.687346867286,9353.409155019852,9172.052738050275,8952.651967074842,8700.465496959341,8420.806170807155,8118.895068919224,7799.742313146475,7468.0547970052185,7128.169526493018,6784.01021866627,6439.064170297745,6096.376112069018,5758.555731522031,5427.795708425863,5105.89739455781,4794.301631791344,4494.122594940496,4206.182937268312,3931.0488850747543,3669.0642597541973,3420.382694087636,3184.9975520940206,2962.769259684964,2753.449910011001,2556.705127363802,2372.1332619586865,2199.282050066866,2037.662914724101
A,16.013224166130204,12.810598253195252,12.532076745984691,13.0472697218261,13.773258467421606,14.555127563626177,15.35566182304246,16.169301056704995,16.998416539087028,17.846893345868285,18.718493245664853,19.616516479673685,20.543798926461484,21.502781691532284,22.49558431800854,23.524065996186344,24.589873207489763,25.694475546309924,26.839191905357858,28.025208958843958,29.253593516600848,30.525299995931814,31.8411739925925,33.20195272398301,34.60826295650162,36.06061690551853,37.55940650257111,39.1048963537637,40.69721566092879,42.33634933889688,44.0221285350931,45.75422073913889,47.532119658193736,49.35513502681371,51.22238251680842,53.1327739118473,55.08500771246809,57.07756033887493,59.108678100779365,61.17637010491626,63.278402271205735,65.41229262734113,67.57530804842742,69.76446260279926,71.97651765699916,74.20798388184683,76.4551252874074,78.71396539737665,80.98029565293784,83.24968611259516,85.51749848803514,87.77890152699024,90.02888872275658,92.26229829692099,94.70897583670337,97.49091872097537,100.69343767653957,104.38978004721659,108.6506437785428,113.54874522043366,119.16171194691765,125.57437224798196,132.8808157420494,141.18637496289512,150.60959956353065,161.28426109492068,173.36140542610866,187.0114515314798,202.42631581140392,219.8215185154453,239.4382020401139,261.54495907889475,286.4393314299502,314.44879795265587,345.93102385933315,381.2730956651985,420.8894208019492,465.2179342483483,514.7142348567363,569.8432817090408,631.0683275355146,698.8368636773358,773.5635087843635,855.6099958423547,943.1907613002371,1035.1438286932116,1130.3024224997994,1227.3779491633668,1324.9576584043023,1421.5354466989584,1515.5566271491898,1605.469708897492,1689.7805124295273,1767.1044907658443,1836.2136133190604,1896.0748877604483,1945.87851022749,1985.0546327281204,2013.278699920564,2030.4661390788192,2036.7578242912887,2032.4981516357261,2018.2077600233556,1994.5529392468725,1962.3136228394385,1922.3516142961691,1875.5803853571654,1822.9374529728698,1765.3600176956406,1703.764252156363,1639.0283772577427,1571.979461930305,1503.3837304270892,1433.940055952819,1364.2762552650684,1294.9477688434422,1226.4383080738385,1159.1620677372875,1093.4671327511403,1029.6397473449429,967.909158427972,908.452789556299,851.4015452507788,796.8450858258511,744.8369493552234,695.3994294051672,648.5281445574307,604.1962586328132,562.3583292010444
IH,0.0,28.59200470448787,39.27301892010907,44.73510840244076,48.59203857697243,51.91197409800665,55.03888194651728,58.10369530641831,61.16965310235655,64.27495126811054,67.44621774966257,70.70344577819056,74.06224294448157,77.53510607393997,81.1322555360101,84.86222011958488,88.73225741936787,92.74865711576881,96.91695810623804,101.24210140468449,105.72853485891305,110.38028159313836,115.20098105156775,120.19390927313925,125.36198335818737,130.70775384843375,136.23338782470353,141.94064485195193,147.83084740837603,153.90484707932274,160.16298754329443,166.60506520087455,173.23028817839753,180.03723436189964,187.02380907203462,194.1872029685355,201.52385076668955,209.02939135281972,216.69862989663298,224.52550257197402,232.50304451105526,240.62336162810485,248.87760695440295,257.2559621259767,265.74762465615277,274.3408016063362,283.02271023863995,291.77958619245635,300.59669967313096,309.45838007428733,318.3480493760927,327.2482645702512,336.14076925952077,345.00655446621874,353.82592856201256,362.9984451800754,372.9715811539381,384.1523682101427,396.9008791986778,411.5441598085968,428.3929575229569,447.7568664888646,469.95731202087154,495.33875694077864,524.2786552241294,557.1966109812886,594.5630931636199,636.907950691895,684.8288746386223,738.9998597856363,800.1796214982799,869.2198197291805,947.0728252324843,1034.7986301607937,1133.570354447039,1244.6776318062557,1369.5269797702226,1509.638077039864,1666.634705313786,1842.2289859591244,2038.197486701434,2256.3478290722646,2498.4746366057616,2766.3040677777776,3061.4268071967995,3381.5207644342668,3723.1330207776537,4082.1762986140566,4454.00681554438,4833.4634950446825,5214.943987973826,5592.5268097501175,5960.132280692885,6311.709493848021,6641.434461831868,6943.904378369765,7214.3141846113,7448.604060935859,7643.569696588902,7796.930792579709,7907.356809520292,7974.452132396607,7998.705344602567,7981.409056514631,7924.5576999614605,7830.730945579043,7702.970049408415,7544.653641837963,7359.378395005001,7150.848790132397,6922.778975889265,6678.808555138426,6422.433122740022,6156.949536523129,5885.415249624806,5610.620560487246,5335.072330476613,5060.987554906767,4790.295124655711,4524.644155789587,4265.417368706394,4013.7481443633737,3770.540054873229,3536.4878446196717,3312.0990150962175,3097.715334140915,2893.5337430504565,2699.626270323619,2515.9586773146984
IN,28.591111750541067,51.940596003656026,59.66510725914089,63.207604695172265,65.74990970676191,68.17489577903284,70.72470685020724,73.46305909053892,76.40436411460364,79.54987201367753,82.89780774284262,86.44620225955282,90.19365343574837,94.13948980088654,98.28375648821195,102.62714592987766,107.17091109010886,111.91677404402297,116.86683481890799,122.02348258184345,127.38931004212624,132.96703132085432,138.7594031972362,144.7691494503016,150.99888791959782,157.45105987736622,164.12786131705005,171.0311758046614,178.1625086006006,185.52292183296032,193.1129705842023,200.93263983786093,208.98128231810418,217.25755734074048,225.7593708782124,234.48381712212682,243.4271219039411,252.58458840660154,261.9505456662551,271.51830042262657,281.28009292821866,291.22705736904805,301.3491875820418,311.6353087753406,322.0730559664768,332.6488598486714,343.3479407764048,354.1543115271983,365.05078944667355,376.01901851815575,387.03950181640835,398.09164470793814,409.15380904846825,420.2033785028468,431.2168349754469,442.5896819576827,454.78459394892536,468.2417419340828,483.3671172102165,500.5419447776475,520.1363675288621,542.5228794637601,568.0886138946274,597.2465826207097,630.4461754916252,668.1832262864453,711.0098923012695,759.5445244603037,814.4816304819819,876.6019542009631,946.7826055503066,1026.00707347238,1115.374834017826,1216.110124900648,1329.5692942509909,1457.2459463392006,1600.7729056509502,1761.9198133109535,1942.584973895179,2144.7799118211533,2370.605009260542,2622.214624341222,2901.770276757342,3211.3808845246976,3553.029677810636,3924.7889466874544,4323.420330102908,4744.851858347928,5184.262950674898,5636.133067144908,6094.3272554981,6552.229587176125,7002.918981103179,7439.375780088384,7854.704571143191,8242.357775106928,8596.345162798278,8911.416435164958,9183.20698128006,9408.340472341504,9584.485624966113,9710.367889204852,9785.739697269895,9811.3150728587,9788.675783863619,9720.156852071043,9608.71920878122,9457.8167419995,9271.264071275731,9053.110258470351,8807.522446999363,8538.682223364376,8250.696389871066,7947.522876205781,7632.911726135902,7310.360481111388,6983.082837914429,6653.989166182293,6325.6773115925325,6000.432057462785,5680.231647310393,5366.759861106975,5061.422268827896,4765.365439889962,4479.498052913563,4204.513016760049,3940.909873584049,3689.016902684315,3449.012477168251
D,979.0,979.0,979.2333783774096,979.5539390910176,979.9190833724386,980.3157093255794,980.739433804095,981.1886812456745,981.6629448124397,982.1622338456953,982.6868694558972,983.2373901005152,983.8144974290683,984.419020485928,985.0518903191154,985.7141213990371,986.4067978111875,987.1310628801974,987.8881112693649,988.6791828524905,989.5055578337334,990.3685527222101,991.269516865245,992.2098293166345,993.1908958704004,994.214146131002,995.2810305213512,996.3930171528643,997.551588499169,998.7582378284428,1000.0144653598134,1001.3217741176379,1002.6816654644209,1004.0956342991049,1005.5651639128191,1007.0917204991558,1008.6767473208464,1010.3216585394674,1012.0278327195938,1013.7966060236998,1015.6292651190977,1017.5270398233065,1019.4910955194365,1021.5225253784104,1023.6223424300807,1025.7914715304614,1028.0307412772975,1030.340875930962,1032.7224874020937,1035.1760673713711,1037.7019796102643,1040.3004525743954,1042.9715723431868,1045.7152759806834,1048.5313453927167,1051.4194017548616,1054.3823275452683,1057.4266577113149,1060.5622495418831,1063.8018993718692,1067.161073002443,1070.6577726691417,1074.3125276279222,1078.148490725467,1082.1916264397253,1086.470980165752,1091.0190222604906,1095.872063220169,1101.0707383612812,1106.6605615729904,1112.692548135852,1119.2239062421352,1126.3187956434674,1134.049149689151,1142.495553771295,1151.748168715046,1161.907681806601,1173.0862608415773,1185.4084777877752,1199.0121585118382,1214.049103839869,1230.6856155921273,1249.1027500555267,1269.4962118892374,1292.0757952878926,1317.0642781944405,1344.6654848022752,1375.055055322073,1408.3752681129304,1444.7304972871955,1484.1829903670287,1526.7492664562521,1572.3975113404122,1621.046286240646,1672.5647626671766,1726.7745746196645,1783.453256421134,1842.339121750606,1903.137346557675,1965.5269520381046,2029.1683467550715,2093.711078923671,2158.8014676048683,2224.0898198556056,2289.2369934904714,2353.9201256045326,2417.837409506071,2480.711862345119,2542.2940788860133,2602.364011243726,2660.731848860967,2717.2380974174093,2771.7529703596106,2824.1752134551384,2874.430482628391,2922.4693898521273,2968.2653225333456,3011.812129996426,3053.12175749062,3092.221894576499,3129.153691501831,3163.969584782915,3196.731262005063,3227.507786038942,3256.373890512434,3283.408451465831,3308.693134573251,3332.3112130155514,3354.3465478964854
R,0.0,8.444253410361064,26.861623129719327,49.00521062369763,73.1111052785418,98.68256669068205,125.59032154062197,153.81823259212229,183.3897326374077,214.34537786237465,246.73519081871984,280.61551892103273,316.04743702574757,353.0957870983643,391.8285441949526,432.3163793038667,474.63235127006106,518.8516854542306,565.0516099706884,613.3112285434102,663.7114146429842,716.3347155960097,771.2652582914463,828.5886502541034,888.391871427017,950.7631531566306,1015.7918417219413,1083.5682443764124,1154.1834563431348,1227.7291675669621,1304.2974483175371,1383.9805129805945,1466.8704615911322,1553.0589988652994,1642.6371306885521,1735.6948382231076,1832.3207300130373,1932.6016726935916,2036.622401154186,2144.4651092622566,2256.20902252718,2371.9299543679517,2491.6998479428016,2615.586305800035,2743.6521099131387,2875.9547349648824,3012.545858039607,3153.470868164427,3298.76837940268,3448.4697514404,3602.598621812481,3761.170454083275,3924.192106420583,4091.6614250765665,4263.566867309059,4439.934186053559,4620.9745402799235,4807.100086918441,4998.908484259378,5197.165714775884,5402.794633058519,5616.8703064071005,5840.621630538325,6075.438486209534,6322.88383478136,6584.710338185036,6862.881253887939,7159.595481828361,7477.316726650239,7818.806785677095,8187.1629802022735,8585.859711860938,9018.7940418721,9490.335051670449,10005.376540430012,10569.392339328855,11188.493166153208,11869.483501862496,12619.916443291128,13448.143882061357,14363.358700005052,15375.624992736628,16495.89169107754,17735.984420511413,19108.57011600444,20626.674516131818,22302.22322780448,24145.5500120937,26165.07908796566,28367.039795180415,30755.2050221571,33330.671109442526,36091.699624584086,39033.63784123097,42148.92896647709,45427.21648307989,48855.540214632274,52418.61553988067,56099.18210161352,59878.404728887064,63736.307278866385,67652.21968097094,71605.21945293651,75574.55107125369,79540.00947763598,83482.27734108605,87383.20915328947,91226.05854906783,94995.6482159106,98678.4842588172,102262.81885428194,105738.66644924569,109097.77966716373,112333.59153197838,115441.13068598657,118416.91604003648,121258.83683374271,123966.02347267192,126538.71381230751,128978.11882748811,131286.29088193376,133465.99712562686,135520.5999187825,137453.94562236263,139270.26261242255,140974.06896982642,142570.08996513748,144063.18519537683,145458.285027913
G,57536.0,57536.0,57556.55224706456,57583.74658872537,57613.765434191984,57645.593974836076,57678.99785800795,57713.9606391022,57750.527248403385,57788.76050867574,57828.72912601484,57870.50442391301,57914.15948699793,57959.768951491016,58007.40895351618,58057.15710117697,58109.09243471987,58163.2953660571,58219.847596040054,58278.832009546466,58340.33254867564,58404.43406424045,58471.222145600856,58540.782928774985,58613.20288270542,58688.56857354834,58766.96640688767,58848.482347851,58933.201619215695,59021.20837773799,59112.585369114335,59207.413562188114,59305.77176324541,59407.73621149713,59513.38015711903,59622.77342351223,59735.981955751886,59853.067357504915,59974.08641901641,60099.090639080765,60228.125744224366,60361.231208623154,60498.43977855602,60639.777005445176,60785.260791751454,60934.900954168406,61088.69880868737,61246.6467821802,61408.72805516108,61574.916240338964,61745.17510145386,61919.458316700555,62097.70929078119,62279.861019293705,62467.95227298048,62663.46490832161,62867.77019591323,63082.284394305694,63308.53266190478,63548.185578305834,63803.08881277784,64075.29256984115,64367.08309599198,64681.01718427733,65019.960179258036,65387.12781069129,65786.1320645662,66221.03116577807,66696.38356839771,67217.30560861852,67789.53215611386,68419.47918697924,69114.30668324442,69881.97963256271,70731.32415822845,71672.07496884087,72714.90941285864,73871.46251563437,75154.31655568765,76576.95812669382,78153.69538656628,79899.52849070505,81829.96721994384,83960.79169330017,86289.10747648784,88814.41842359264,91534.0936519099,94442.30573288728,97529.79037276641,100783.9001631123,104188.83947479264,107726.04302315658,111374.66865859662,115112.17141708234,118914.92281227202,122758.83926015328,126619.98649770263,130475.13222638947,134302.22606120977,138080.79326453758,141792.2358900691,145420.0412612658,148949.90279636806,152369.76191605325,155669.7821492046,158842.26772642892,161881.53912966474,164783.77748716212,167546.8486001297,170170.1159695111,172654.25063168936,175001.0440435839,177213.22877529686,179294.31043300292,181248.4130791893,183080.139453329,184794.4465200084,186396.53626972102,187891.7612503886,189285.54399289237,190583.30928880043,191790.42816150098,192912.17232357946,193953.67791650913,194919.9173692092,195815.6782779953,196645.54829250454,197413.90508301932,198124.91055872513
H,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,202374.29143959572,195628.48172494254,188882.67201028936,182136.86229563618,175391.052580983,168645.24286632982,161899.43315167664,155153.62343702346,148407.81372237028,141662.0040077171,134916.19429306392,128170.38457841073,121424.57486375753,114678.76514910434,107932.95543445114,101187.14571979795,94441.33600514475,87695.52629049156,80949.71657583836,74203.90686118517,67458.09714653197,60712.28743187878,53966.477717225585,47220.66800257239,40474.858287919196,33729.048573266,26983.23885861281,20237.42914395962,13491.619429306429,6745.809714653238,4.729372449219227e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
