series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
S,3231537.6102017323,3231062.941900518,3230690.035144221,3230341.4495092067,3229985.0377202006,3229606.519885533,3229198.5925192973,3228756.592506056,3228276.763658983,3227755.557049506,3227189.3417944596,3226574.278551235,3225906.257243783,3225180.8598994077,3224393.333094541,3223538.563919508,3222611.057137863,3221604.912739225,3220513.803719532,3219330.9542079386,3218049.118209649,3216660.5593340723,3215157.0319616557,3213529.764383703,3211769.4445321015,3209866.2090011076,3207809.6361503806,3205588.744165308,3203191.9950344376,3200607.3054807433,3197822.0659487965,3194823.1687981593,3191597.0468779653,3188129.7236515675,3184406.8759955424,3180413.910706244,3176136.0556016797,3171558.4658996467,3166666.3462791266,3161445.0886874353,3155880.425540144,3149958.59747783,3143666.5343015413,3136992.0471209493,3129924.029134721,3122452.6618463136,3114569.622929761,3106268.291432407,3097543.9455701886,3088393.9480709205,3078817.9138840153,3068817.8551271833,3058398.298399404,3047566.3700612173,3036331.8457620875,3174785.7301657153,3312154.1431428404,3448405.506810462,3583444.0910278116,3717134.2554265237,3849311.122416558,3979784.598801629,4108340.2535483567,4234738.814116455,4358715.187142486,4479977.508341401,4598206.551534912,4713055.7591001205,4824152.134915468,4931098.2338350285,5033475.47043456,5130848.942549339,5222773.914127193,5308804.022579784,5388501.167364864,5461446.902900211,5527255.009335095,5585584.763567287,5636154.298413286,5678753.339604548,5713254.565922387,5739622.859465149,5757921.804634884,5768316.9501339635,5771062.854202085,5616471.957001967,5460830.416195868,5304724.432743157,5149235.525811204,4995545.505994667,4844777.952095243,4697930.367550782,4555845.612070854,4419203.136420361,4288521.649810769,4164168.8739411845,4046375.6461936766,3935252.419522278,3830806.7049378897,3732960.38616632,3641566.154171178,3556422.573091763,3477287.501313394,3403889.754631938,3335939.017604901,3273134.0906135077,3215169.610984012,3161741.4136818927,3112550.7068662504,3067307.2352769715,3025731.594283039,2987556.8427101886,2952529.5456786295,2920410.3612812255,2890974.26811256,2864010.5150812687,2839322.360950425,2816726.6587850424,2796053.329930274,2777144.763198921,2759855.167464352,2744049.899665311,2729604.7851594756,2716405.4432476084,2704346.6273781736,2693331.5868985383,2683271.4551260304,2674084.666869845,2665696.407258402
E,0.0,474.6683012145469,705.1745671471323,842.2078320173141,945.9572714181321,1040.6879246602014,1136.4089134980286,1237.4862526896854,1346.0692239556538,1463.4550662463225,1590.6338014188066,1728.5069042179298,1877.9761404039796,2039.9806426580922,2215.513254727481,2405.6284533423805,2611.446698985018,2834.1570879272776,3075.018981241907,3335.362798462788,3616.5899572136923,3920.1718456260905,4247.647664354956,4600.620943001328,4980.754511702555,5389.763689185693,5829.4074331568245,6301.477188282337,6807.78316266771,7350.137767561868,7930.335969240233,8550.132329105149,9211.214550567409,9915.173411794929,10663.469044281399,11457.39362029529,12298.030638770815,13186.211149172512,14122.46742494106,15106.984789149885,16139.552499696305,17219.51481210139,18345.72354475964,19516.493661923956,20729.5635495752,21982.06177311018,23270.48215772977,24590.669007764634,25937.814167653967,27306.467416625717,28690.561378543385,30083.451721812315,31477.972933047604,32866.50939132001,34241.080873053696,35593.44101238968,37625.56453642809,40165.10031275808,43155.55480646129,46597.2927706911,50519.80675432962,54968.957147839734,60001.1840616406,65680.83707993054,72078.78173480053,79271.39482032557,87339.50198559772,96367.01262958968,106439.10183024588,117639.84116649244,130049.22102189308,143739.55140542777,158771.28321082494,175188.35859986773,193013.27503970766,212242.1257973294,232839.95042812702,254736.7798723781,277824.77986954607,301956.8735223004,326947.1539526523,352573.2830289753,378580.92175542866,404690.06853460136,430603.01381228806,456013.0068687191,474850.64561420283,488501.43538265233,497439.91169980983,501897.9580064034,502096.1245039067,498314.8716971957,490905.16566796496,480276.091618069,466874.75074224046,451165.1013891524,433608.7987199144,414649.3857753389,394700.2846271255,374136.5180105576,353289.7946025321,332446.43730118766,311847.5778892005,291691.0512038964,272134.4728697644,253299.05800022825,235273.82022965525,218119.8714628779,201874.61683965707,186555.70337703874,172164.63335785927,158689.99492335191,146110.29347790527,134396.38983193797,123513.56605102241,113423.24926700669,104084.42861774856,95454.80219780645,87491.69039323297,80152.7500066158,73396.52073919977,67182.83231648085,61473.097127372166,56230.50990102784,51420.172800154425,47009.16143974356,42966.54478032817,39263.3696024151,35872.61833313339
I,123.26326834830667,81.591168823298,68.2474511712193,66.3301244587938,69.17201748975583,74.16564157187373,80.31298736067345,87.25372184456944,94.88031240940893,103.18605923783444,112.2054449380075,121.99099527282357,132.60452281078136,144.11399602948097,156.59257917720097,170.1184870594313,184.77512657716778,200.65132093861556,217.84153763234303,236.4460881992692,256.5712842768915,278.329539077878,301.839403733749,327.22552661180936,354.6185218780432,384.1547316423114,415.9758641564893,450.228488838545,487.06336745333726,526.6345996957627,569.0985608182588,614.6126089718784,663.3335407607291,715.415775335108,771.0092503727218,830.2570177250917,893.2925325303131,960.2366373758817,1031.1942527458948,1106.2507965372265,1185.4683688054029,1268.8817528957734,1356.4943003636188,1448.2737840448792,1544.1483205775298,1644.002479681491,1747.673711514551,1854.9492342535214,1965.5635304803404,2079.196601803664,2195.4731253896157,2313.9626429472078,2434.1808918268252,2555.5923593286307,2677.6141057054583,2799.6208598696894,2920.9513462022464,3062.2272117978846,3231.92789850334,3433.9713540277594,3670.961912695503,3945.508232792762,4260.712872813819,4620.322710088732,5028.748398947024,5491.035444566704,6012.814915251078,6600.2389452087245,7259.897088774068,7998.706410646411,8823.767658008022,9742.180725698869,10760.814531811677,11886.029329413246,13123.353408136658,14477.12101481163,15950.083897676306,17543.014691227105,19254.32573853079,21079.731081718965,23011.981401373327,25040.700945754,27152.351552230684,29330.341744575875,31555.289096276174,33805.43253635625,36057.16527057484,38112.778239251114,39882.968063194814,41322.85865647014,42409.701911733675,43135.056808066474,43501.74987722651,43522.181117095526,43216.83103581969,42612.669328149655,41741.466768039085,40638.10299283014,39338.972110813374,37880.56706379948,36298.29422737832,34625.54132144083,32892.99828390091,31128.213579250427,29355.357333061234,27595.156877046,25864.968646365174,24178.951742010813,22548.311809496256,20981.5883181709,19484.96317883387,18062.573428050433,16716.815120382045,15448.62942520122,14257.765146333191,13143.0144664758,12102.420707203484,11133.45835916286,10233.186657467857,9398.378637456044,8625.627983930335,7911.436152013652,7252.282248550383,6644.678067652061,6085.210510498029,5570.573416927589,5097.5906161735265,4663.231781544307,4264.622459281606
A,1109.3623420376694,887.4898736301354,838.1522585192689,860.9188185513907,916.1310245021593,988.313120040831,1071.6360565395207,1164.139056246596,1265.4323201938337,1375.7843149011928,1495.7600678779293,1626.07890686244,1767.5596920713583,1921.1009882780322,2087.675212963378,2268.3283677529607,2464.1819624828718,2676.4357291593005,2906.3705091759084,3155.3510029204704,3424.828183748327,3716.341212860919,4031.5186937616013,4372.079093164932,4739.830137158793,5136.6669704643255,5564.568844619459,6025.594079132379,6521.873019361169,7055.598697469151,7629.014889912192,8244.401258440352,8904.055263730266,9610.270553953627,10365.311557479276,11171.384052254225,12030.60154692613,12944.947392938828,13916.232654659754,14946.049897320208,16035.723210303155,17186.25496478352,18398.270006804814,19671.95820436602,21007.016492504677,22402.59178385499,23857.22632167576,25368.807233981843,26934.5221860698,28550.823109003162,30213.399988962552,31917.166624380083,33656.2600856147,35424.05534157315,37213.196151040946,39015.642862054796,40822.737235681736,42817.0857362495,45098.238759139116,47730.583375952636,50765.727727260324,54252.9213086395,58243.94601408228,62795.466178879506,67970.18764791984,73837.40877857944,80473.18997801146,87960.20248327938,96387.23880731186,105848.33021683416,116441.40103706389,128266.3881179672,141422.76462949367,156006.43083850318,172105.9713346006,189798.32810172776,209143.99990979666,230181.94646071157,252924.4438819158,277352.1978435825,303410.0621448898,331003.7250001266,359997.70572345966,390214.9482811292,421438.2074630278,453413.3055726839,485854.0778113889,516892.8548207887,545409.5873158462,570636.360378792,592021.4505644892,609183.0276332591,621891.3516813947,630057.3915675703,633720.375312803,633032.4025795172,628240.4217719253,619666.6384274239,607688.5735205952,592719.8677192944,575192.6896317729,555542.3354302917,534194.349185867,511554.27169512445,487999.9509673857,463876.2216015872,439491.67933663545,415117.2344296116,390986.115289965,367295.00402655144,344206.01101802004,321849.2301833973,300325.6554580019,279710.278452974,260055.22488105492,241392.82147611893,223738.51495750458,207093.5897749642,191447.6519811126,176780.86292962302,163065.91904742195,150269.78320252398,138355.17972213987,127281.86941968756,117007.72352910887,107489.61662749565,98684.15879823691,90548.28673271245,83039.73241974719
IH,0.0,18.499156219551296,28.53951559489237,35.38066923709131,41.11875050068284,46.59947880384268,52.17645364958631,58.011353182443216,64.1925086716337,70.7815858143973,77.83189554330814,85.3955703334429,93.52641253807333,102.28108912305342,111.71971413376113,121.906217648058,132.90864896433348,144.79946489769273,157.65581736658135,171.55984091892458,186.59893597260339,202.86604171843595,220.45989172855474,239.48524455599113,260.05308074594234,282.28075664152624,306.29210416222134,332.2174643921441,360.1936413793166,390.36376106577114,422.8770188007198,457.8882975057117,495.55763734634536,536.0495368201207,579.532064611634,626.1757615283259,676.1523124610342,729.6329697735214,786.7867119790617,847.7781251719794,912.7649995950757,981.8956400588567,1055.3058967588636,1133.1159323730549,1215.4267520892618,1302.3165352395563,1393.8368202142813,1490.0086078780957,1590.818462270772,1696.214700284828,1806.1037735105926,1920.3469547034456,2038.7574475177792,2161.098040469624,2287.0794238446256,2416.359280945759,2548.5422524010087,2683.1808542423087,2822.975797427174,2971.5785056314758,3132.7932282752504,3310.3616818595137,3507.971151521065,3729.3351018788653,3978.286755336137,4258.864438048397,4575.382413238808,4932.485875634241,5335.189712069327,5788.900089207667,6299.41697337336,6872.914764610208,7515.897544063208,8235.125118233538,9037.506202200584,9929.955813065673,10919.215318828265,12011.635634858025,13212.926735457668,14527.879811885987,15960.071815425797,17511.565432886586,19182.62034537474,20971.43349939753,22873.92670539072,24883.59892514809,26991.458041718153,29186.040740877652,31427.578033936043,33667.63805750472,35856.826085577246,37948.220214702196,39899.22383992699,41672.741185780294,43237.95849261773,44570.808041374075,45654.13805289394,46477.608990314024,47037.34825497043,47335.406751467606,47379.067762247294,47180.06028699645,46753.72624909888,46118.1850315347,45293.530994188906,44301.09108198295,43162.76123735844,41900.43268880508,40535.512661814115,39088.538812030805,37578.88272436904,36024.5350656987,34441.96327002496,32846.03179229483,31249.974803246132,29665.411536994012,28102.395189654253,26569.487170561766,25073.84952293721,23621.349378287403,22216.67033050055,20863.42657223417,19564.276503582914,18321.033288649658,17134.77049572368,16005.921513646505,14934.371897052668,13919.544165398807,12960.474875160397
IN,23.172943305457363,45.77841473532048,59.996142472043694,71.35713935887458,82.07947300986913,93.07349539619888,104.73706907020762,117.27069221121867,130.8022120930158,145.4361295438505,161.27312678208256,178.41790304027447,196.98246822673605,217.08770977557543,238.86433253231462,262.4535951213349,288.00800098126564,315.69199908648227,345.68270965974546,378.1706749711208,413.3606293071588,451.47227942026046,492.74108494348746,537.419026526592,585.7753475132707,638.0972527462278,694.690545543872,755.8801810612439,822.0107111667184,893.4465926893002,970.5723274908418,1053.7923993868142,1143.530969597701,1240.2312893094856,1344.3547852373129,1456.3797720362504,1576.7997442355247,1706.1212003661362,1844.8609534085408,1993.542884922449,2152.6941055483444,2322.840492282051,2504.5015832655354,2698.1848239802785,2904.379174738893,3123.5481081722783,3356.122046760206,3602.49031391474,3862.9926970491547,4137.910746586882,4427.458959921807,4731.776022702186,5050.916300131269,5384.841786874227,5733.414734298787,6096.391176971524,6473.415575651013,6864.016780878132,7271.611958411526,7701.128689714585,8158.110443556588,8648.454540380288,9178.404299871554,9754.633418968951,10384.356561607303,11075.440898326113,11836.509476447205,12677.03279299459,13607.405999936964,14639.008493752905,15784.241383190165,17056.537000495002,18470.333488003216,20041.006744709648,21784.751835213006,23718.406524129077,25859.21106258845,28224.500829264292,30831.331936302115,33696.04434391795,36833.77212941268,40257.91591877965,43979.597581123424,48007.121513013786,52345.46962501021,56995.8580183656,61955.382029727916,67216.77015498588,72735.7605394416,78452.38660123241,84299.71374987667,90208.16998376482,96108.30014482136,101932.88130669853,107618.6678794746,113107.81331023514,118348.95780653,123297.97206641197,127918.36466659543,132181.37973561833,136065.82610162278,139557.68777420837,142649.56873636768,145340.0236599604,147632.82159899027,149536.1831843144,151062.0243811109,152225.2322820048,153042.99126392542,153534.171494511,153718.78642033436,153617.52155918846,153251.33361482137,152641.11653915196,151807.42955706117,150770.28120398166,149548.9629709916,148161.9260816511,146626.695131268,144959.81271250034,143176.80965890316,141292.19610434744,139319.46913971205,137271.1334194654,135158.73161005825,132992.88206741228,130783.32157593833,128538.95137437283,126267.88503511735
D,3018.0,3018.0,3018.0609764690967,3018.1550477267283,3018.2716686287167,3018.4072032546983,3018.5608033241,3018.732786082436,3018.9240016947915,3019.135591481633,3019.368900024401,3019.625447626734,3019.9069264300706,3020.2152059178566,3020.5523423578134,3020.9205901641185,3021.322414475718,3021.7605047340003,3022.237789210748,3022.7574504840213,3023.322941861781,3023.938004739122,3024.606686855039,3025.333361391729,3026.122746833985,3026.9799274779753,3027.910374446994,3028.9199670360986,3030.01501416746,3031.202275693426,3032.488983234598,3033.8828601856594,3035.3921404626153,3037.0255855019755,3038.7924989561984,3040.702738461656,3042.7667237871838,3044.9954406051825,3047.400439065931,3049.993826302578,3052.788251952954,3055.7968857592537,3059.0333863023834,3062.511859949362,3066.2468091445076,3070.2530692629816,3074.5457333727613,3079.1400644214127,3084.0513945790417,3089.295011728469,3094.886033395912,3100.839268755594,3107.1690697123663,3113.8891724575074,3121.012531291566,3128.551146899443,3136.5158916300634,3144.9163346583987,3153.760570173642,3163.065594382801,3172.860439226855,3183.186676121255,3194.0982098364393,3205.661099082491,3217.953642801313,3231.066774909324,3245.1047403554626,3260.186004658242,3276.44434471413,3294.0300673676884,3313.1112991386353,3333.8752842547137,3356.5296188510188,3381.3033376568287,3408.4477569113105,3438.236965192354,3470.9678441891447,3506.959496324214,3546.551957752972,3590.104085709341,3637.990530035416,3690.597730833172,3748.318927182709,3811.548214118679,3880.6737434946353,3956.070224734813,4038.090938699324,4127.059526650944,4223.2618447547275,4326.852663601823,4437.827113852445,4556.017512471516,4681.101513586272,4812.616365430042,4949.977042042685,5092.496949898468,5239.410164041061,5389.894224236562,5543.092589320974,5698.135953364708,5854.1617705800845,6010.331502157983,6165.84527013297,6319.953766214573,6471.967406782097,6621.262842755491,6767.28702241219,6909.559066902908,7047.6702547136265,7181.282426306674,7310.125117865736,7433.99171772185,7552.734914604918,7666.2616768005555,7774.5279684494835,7877.533375844345,7975.315784314859,8067.946216291433,8155.523914113832,8238.171727474606,8316.031845162577,8389.2618939149,8458.03141348272,8522.518706170968,8582.908050792012,8639.387264827927,8692.14559428655,8741.371907943689,8787.253171097818
R,0.0,222.43994028312812,403.20269982927664,575.6096148670584,753.6408296739476,943.6420061631266,1148.9839526845435,1371.9223871107768,1614.3445174222625,1878.0729586927343,2164.9937243798113,2477.1144768354666,2816.595349159541,3185.769224233756,3587.158224990714,4023.489124827523,4497.708765094784,5012.999909455555,5572.797691604504,6180.806691528596,6841.018613394477,7557.730497908731,8335.563368390742,9179.481176468607,10094.809877490025,11087.25642615846,12162.927438957498,13328.34722137317,14590.47480479028,15956.719580505182,17434.955057130544,19033.530203668808,20761.277774993112,22627.518951140675,24642.06355894233,26815.20508687834,29157.70965503229,31680.798065544168,34396.12003949629,37315.719748583346,40451.99177937782,43817.626729712196,47425.54573562685,51288.82336783637,55420.59852207228,59833.97315978841,64541.8990343952,69557.05286080208,74891.70074713198,80557.55309847028,86565.61161168452,92926.0103929395,99647.85362816877,106739.05260218286,114206.1651741006,122054.24105545688,130286.67638434893,138905.0811290172,147947.52315701605,157472.3770629,167551.43866280207,178267.40200032215,189713.38903634224,201993.458294061,215223.5949203271,229532.9461129489,245065.17937017255,261979.8853873807,280453.95932522643,300682.89054929774,322881.87982628023,347286.68859059626,374154.1100930278,403761.93949998164,436408.3119113963,472410.2765414442,512101.4846664907,555828.8907156225,603948.4015397618,656819.4585837702,714798.599786138,778232.1189646907,847448.0147723921,922747.4921761568,1004396.3393555728,1092616.5448551702,1187578.5381009656,1289394.4023947811,1397801.1806949577,1512306.2136444729,1632256.1779784658,1756880.042602903,1885323.26920737,2016678.7344221408,2150015.5636873785,2284405.608463634,2418946.9345261245,2552783.7520043114,2685122.4332958343,2815243.5126027227,2942509.785735833,3066370.807295099,3186364.2070751833,3302114.3204352264,3413328.655228072,3519792.7098017232,3621363.6221655956,3717963.0786490394,3809569.8490173235,3896212.2502715643,3977960.777902824,4054921.084415548,4127227.432468775,4195036.70500356,4258523.017483419,4317872.947595456,4373281.374825303,4424947.905417666,4473073.846472739,4517859.685412267,4559503.026933675,4598196.938096319,4634128.65268883,4667478.587952884,4698419.629628637,4727116.644774554,4753726.185615099,4778396.351568913,4801266.780451206
G,267897.0,267897.0,267911.2401307492,267932.39548915735,267957.6618691015,267986.0407500879,268017.2615669791,268051.35403001355,268088.4788306239,268128.8611390645,268172.7650429814,268220.484330847,268272.33983553096,268328.6794430312,268389.8792134877,268456.34499252366,268528.5142602459,268606.8581107684,268691.8833112981,268784.1344100909,268884.1958682178,268992.6941895196,269110.3000197346,269237.7301808854,269375.74960115895,269525.17309393245,269686.86693244014,269861.7501589504,270050.79555937985,270255.03022619995,270475.5356245316,270713.4470687931,270969.95251054666,271246.29053274746,271543.7474419696,271863.6533489832,272207.37712994905,272576.32016618236,272971.9087706254,273395.58522451535,273848.7973688133,274332.9867221812,274849.5751308336,275399.9499953393,275985.44816490466,276607.338639926,277266.80427726725,277964.92274794495,278702.64705139,279480.78594153887,280299.9846647666,281160.7064451196,282063.21517555264,283007.55978238554,283993.5607219991,285020.79904269316,286088.60840037215,287217.38181359647,288422.3417372844,289717.01581058145,291114.9426152906,292630.5455147582,294279.62369193946,296079.6695428179,298050.1059619809,300212.4818221775,302590.6373131272,305210.83740793634,308101.86437612487,311295.05575421394,314824.2712405651,318725.77025881695,323037.98154532537,327801.1473736646,333056.82828982687,338847.25976769184,345214.5600784762,352199.79867404007,359841.945922407,368176.7371452209,377235.4953318872,387043.96623346815,397621.22541880235,408978.7182430695,421119.48996532545,434037.6545067502,447718.1232141242,461963.7243267074,476618.85148228786,491542.13446611573,506599.15960658115,521662.12977608544,536611.6617104567,551338.9011883917,565747.2666150657,579753.589508463,593288.6202168972,606296.9588229879,618736.5117769334,630577.5882622529,641801.7482090826,652400.502864969,662373.9532136916,671729.4342340209,680480.2159839036,688644.2970171543,696243.312361857,703301.5674704503,709845.2011630379,715901.4744203556,721498.1776366883,726663.1462750649,731423.8734407864,735807.2073975855,739839.1222284911,743544.5504725229,746947.2674760154,750069.8182523794,752933.4787505801,755558.2445238171,757962.8408220783,760164.7490792518,762180.2456140753,764024.4491103113,765711.3740872608,767253.9881230986,768664.2710587813,769953.2747987568,771131.1826459041
H,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4502344.365247717,4352265.7964428365,4202187.227637956,4052108.658833076,3902030.0900281956,3751951.5212233155,3601872.9524184354,3451794.383613555,3301715.814808675,3151637.246003795,3001558.677198915,2851480.1083940347,2701401.5395891545,2551322.9707842744,2401244.4019793943,2251165.833174514,2101087.264369634,1951008.6955647536,1800930.1267598732,1650851.5579549929,1500772.9891501125,1350694.4203452321,1200615.8515403518,1050537.2827354714,900458.713930591,750380.1451257106,600301.5763208303,450223.00751594995,300144.43871106964,150065.86990618933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
