series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
S,435749.17360209645,435649.0946792944,435557.50526649615,435468.21874634863,435377.3584742439,435282.36902115,435181.44611688534,435073.2054198586,434956.48818586237,434830.24578286504,434693.46984192514,434545.1489666325,434384.2409960559,434209.6544468734,434020.23542945797,433814.7578802208,433591.9158566351,433350.3171750432,433088.4779908988,432804.8181162986,432497.6569922481,432165.2103129648,431805.58735391754,431416.7890941578,430996.7072524329,430543.1243786196,430053.7151586577,429526.049102886,428957.59479437245,428345.7258749601,427687.72894156637,426980.81351290713,426222.12420638825,425408.75523566664,424537.76730078104,423606.2068946001,422611.12799188826,421549.616021354,420418.81394807,419215.9502157444,417938.36821825407,416583.5568909922,415149.1819387486,413633.11715211824,412033.4752128967,410348.6373543494,408577.28122781776,406718.40633511293,404771.3564176838,402735.8382484413,400611.9363488246,398400.1232493347,445161.0669598643,491462.8694204035,537273.8522778319,582550.0853573073,627234.17670517,671254.503328497,714524.6208345304,756942.7389794298,798391.2541718166,838736.4009806665,877828.1322604424,915500.3674599796,951571.7632991086,985847.1599290569,1018119.8372389849,1048174.6785229555,1075792.2822035619,1100753.98935093,1122847.7112512125,1141874.3561633534,1157654.5782997478,1170035.5154309247,1178897.1525101482,1184157.951567673,1185779.4224272806,1183769.369897005,1178183.6333409655,1169126.2249716988,1156747.8650480304,1141242.9979863036,1073785.6457105028,1007858.9679947819,943592.0109788213,881249.3573388823,821123.6809624381,763483.7322671177,708550.2391063716,656486.6173410184,607397.8298917172,561333.7817181455,518295.163405656,478240.4693457483,441093.38302527904,406750.0107377934,375085.63638505194,345960.8032410047,319226.62370957504,294729.2862614713,272313.77659411595,251826.86221286913,233119.4095649484,216048.1133975731,200476.72152151025,186276.8366170452,173328.37174956957,161519.72917316874,150747.76380717894,140917.5842288129,131942.23567041237,123742.30169728979,116245.45418276108,109385.97499340538,103104.26747364577,97346.37134447823,92063.49094268032,87211.54374139116,82750.73372008618,78645.15230106669,74862.40815488003,71373.28612056437,68151.43471942595,65173.081203913986,62416.772726021154,59863.14199101696,57494.69564835597,55295.62363505345,53251.62770608061
E,0.0,100.078922802064,171.65255103990523,226.60856097945594,272.14712088831135,312.70714980455523,351.0886241083125,389.11159631337915,428.0065110469399,468.6476118349141,511.6940304078034,557.6760996188882,607.0488502717326,660.2256293998604,717.5995209353146,779.5571659854312,846.4877563740212,918.7888866910735,996.8702934972707,1081.156109398032,1172.0860115689302,1270.1154885384435,1375.715349878026,1489.370539662135,1611.5782734546415,1742.8454925770102,1883.6856140235168,2034.6145469905234,2196.145946105944,2368.7856762971564,2553.0254744314116,2749.335808204342,2958.1579530823496,3179.895333187473,3414.9042014356046,3663.4837673293882,3925.8659165753543,4202.204703794571,4492.565836319624,4796.916401381319,5115.115118595387,5446.903422138177,5791.897689954194,6149.582938593693,6519.308290096504,6900.284490624494,7291.583719031238,7692.141867929802,8100.763411772946,8516.128898660902,8936.805018545405,9361.257114326214,9787.863918482686,10588.290611798222,11719.451569561443,13159.130113724923,14903.014680668517,16961.887058759006,19359.194078524997,22129.039055471865,25314.517989541957,28966.269520334903,33141.086274043344,37900.43575724862,43308.75470422119,49431.4090709799,56332.25188440715,64070.76216110631,72698.80798583005,82257.14117884697,92771.79298034642,104250.59140968746,116680.0529289068,130022.9071494997,144216.4905779274,159172.19534236853,174776.08735183848,190890.72434929773,207358.11797302877,224003.7046852408,240641.12560941232,257077.56948680792,273119.4078652479,284422.2040079191,291804.7202222959,295786.4298177758,296754.8202306648,295043.8048798522,290968.5370646278,284838.4514170555,276959.5485829456,267631.68703992816,257143.967944432,245769.86841545324,233762.9810528319,221353.75712975112,208747.38005654232,196122.7371892811,183632.36928285455,171403.2328743874,159538.09596686528,148117.39115473905,137201.36557171197,126832.38862474488,117037.30277585876,107829.72712515206,99212.24656759726,91178.43983047863,83714.7172303727,76801.95336266422,70416.91124853189,64533.46297194809,59123.617892087175,54158.37350302544,49608.40632217996,45444.6211869115,41638.57735132712,38162.80908235087,34991.05728718567,32098.42724876803,29461.48594520107,27058.310790476513,24868.500033519642,22873.153542327676,21054.83131175497,19397.495784408173,17886.442970187527,16508.226389452535,15250.577040534872
I,59.53240523233994,35.719443139403964,23.86256197716365,18.48694173305917,16.59643956857849,16.568260361211575,17.53654745205135,19.04979768613661,20.881317865207908,22.92497931283549,25.138340015472146,27.51194493680126,30.05300272906782,32.77689118662298,35.70287709902959,38.85206846648253,42.24652152069196,45.90892338864661,49.8625438359346,54.1312971372311,58.739833949577836,63.71362433379282,69.07901404741341,74.86324641093655,81.09444660675528,87.80156700631036,95.01429253108802,102.76290492533934,111.07810456204152,119.99078822841153,129.53178135001426,139.731523367799,150.6197055082178,162.2248609958846,174.57390885307626,187.69165380194067,201.60024641197668,216.31860948017356,231.86183863923497,248.24058728614244,265.4604480148081,283.521344710608,302.41695119501577,322.1341536614599,342.6525749857624,363.9441792039592,385.97297392709356,408.69482714028976,432.0574126888563,456.0002958145975,480.4551664520436,505.34622376075805,530.5907107366384,556.099592928394,590.8471191361858,639.1712978314628,703.1352956361238,783.872285545162,882.324058738932,999.6252085329777,1137.2848533141914,1297.2552569355453,1481.93777966865,1694.1527186829323,1937.0852851529407,2214.2117605755584,2529.205639242901,2885.8219943920753,3287.758602832761,3738.493995576101,4241.105144415858,4798.070525805499,5411.067366569332,6080.774490486225,6806.693901885479,7587.004720218849,8418.462150491887,9296.351880478418,10214.506879178805,11165.389423745937,12140.236768665724,13129.264648514274,14121.919158907996,15107.164762629705,15972.854678077743,16671.588401415076,17187.54352832586,17520.638604967393,17678.935446108066,17674.926148303384,17523.622071950824,17241.4627249455,16845.595311701247,16353.330361462107,15781.69689377031,15147.072031537497,14464.879661714738,13749.35797857536,13013.395035130563,12268.428846204384,11524.405968412575,10789.790549013078,10071.614767249488,9375.56132093901,8706.068972801319,8066.452978253969,7459.033295639115,6885.264686520043,6345.864036464101,5840.931386244961,5370.062208250676,4932.449364560809,4526.973930810007,4152.284665570395,3806.8663591850873,3489.0976246039,3197.298914184328,2929.771679574306,2684.8296548533353,2460.823252599748,2256.1580328922446,2069.3081485794914,1898.8255963438091,1743.3460199300168,1601.591725333478,1472.3724820757138,1354.5846029563836,1247.2087188125442,1149.3065959696146
A,430.6521817063942,413.4260850424709,414.473921087823,428.0560608628286,450.75124675643644,480.54021460960195,516.2644342667148,557.3037012393073,603.3824210400232,654.4522246499247,710.6202913247596,772.1053293219964,839.210483460654,912.3067263180858,991.8228208542098,1078.2394483611442,1172.0859996587096,1273.939074899183,1384.4220716447737,1504.205446438416,1634.0073619755462,1774.5945101966367,1926.7829493324627,2091.4388213150805,2269.4788320051643,2461.87038485973,2669.6312619420783,2893.828746618268,3135.578081409276,3396.0401534730618,3676.418300088179,3977.9541282036253,4301.922246440595,4649.623815652162,5022.378835965791,5421.517104749443,5848.36780161167,6304.247683633696,6790.447906554474,7308.219525304385,7858.757769479738,8443.185235061033,9062.534181510078,9717.728171576044,10409.563337628271,11138.68960082138,11905.592205492581,12710.573958547224,13553.738580076217,14434.975575320503,15353.947028144396,16310.076691856511,17302.541714725485,18330.26728585186,19457.526953481352,20738.452738393946,22221.107682208898,23950.8747180862,25973.21593115932,28335.894769662904,31090.75644356366,34295.14476046614,38013.00750037971,42315.713574950285,47282.57760624423,53001.06382177676,59566.623343864034,67082.10887656172,75656.71008397255,85404.36279327812,96441.60590695366,108884.89072349343,122847.3859498309,138435.36434687622,155744.2989750216,174854.8333545987,195828.81595566767,218705.6019251695,243498.82219556495,270193.8022936228,298745.78212960885,329079.046861166,361087.0313346655,394633.4105090997,428823.9504599844,462944.0515356953,496398.9748501569,528685.8565842267,559380.6194792029,588131.5250281474,614655.2750960223,638733.6709168775,660209.9298760104,678984.3386914174,695009.2253363538,708283.3834749664,718846.1476662952,726771.3319061238,732161.2299635621,735140.8468226838,735852.4948251762,734450.8512032626,731098.5389245042,725962.2620706814,719209.5012940293,711005.7545116578,701512.2927353098,690884.3903251766,679269.9823804818,666808.6987471341,653631.2235453129,639858.9305531284,625603.7476533256,610968.2073695414,596045.6448858457,580920.5095416488,565668.7603838266,550358.3207663106,535049.5710976874,519795.86257819267,504644.03810294427,489634.9494290526,474803.96222027746,460181.44271710643,445793.221563596,431661.0317905234,417802.9191443952,404233.62390028685,390964.93403819785
IH,0.0,11.906481046467988,12.869051703558387,10.960522047037932,8.967692466607602,7.631351367517124,6.983143578281494,6.865114001289841,7.111010203424049,7.59555201674905,8.237273456254616,8.988513667901316,9.824464196303502,10.73463776852251,11.717067198426193,12.774659933765852,13.913035604144804,15.139307622546792,16.46143385817639,17.887894759885214,19.427550957766293,21.0895931663539,22.883534700146686,24.819219133328506,26.906828356149294,29.15688330857686,31.580233398499473,34.18803248572885,36.99170018858972,40.00286763960773,43.23330695954604,46.694843790222215,50.399252311822536,54.35813231660379,58.58276814302013,63.08396960490778,67.8718954836381,72.95586068482845,78.34412878678124,84.0436924102363,90.06004459613958,96.39694516048581,103.0561867662924,110.03736616957724,117.33766671147157,124.9516585928886,132.8711237333082,141.08491203808728,149.57883564523598,158.3356071718074,167.33482712729074,176.55302452065985,185.96375329250083,195.53774560610734,205.2431212999195,216.859400741255,232.10985777972994,252.23575207983237,278.0605708262006,310.168641341354,349.067852727773,395.3042442228083,449.5308284304215,512.5418747676787,585.2833625590679,668.8472027683679,764.4536908150242,873.4242976061921,997.1454594906089,1137.0233917912506,1294.4299712776306,1470.6402513794349,1666.7630295110373,1883.6669099102198,2121.905320695266,2381.6447754663914,2662.6011652229317,2963.988918783629,3284.4874363094123,3622.228308747128,3974.8055777576064,4339.309802979289,4712.385143627849,5090.307182045789,5469.077945934815,5824.345676940742,6134.920871054928,6387.4501960257285,6575.496487910907,6697.576836327682,6755.476611640545,6753.056571021883,6695.461038978807,6588.593075308223,6438.753238282531,6252.376919094323,6035.833963245892,5795.272051778427,5536.49490069153,5264.8708041162645,4985.268678439815,4702.0190254856725,4418.896971652967,4139.12420065265,3865.3863801701864,3599.8626506420696,3344.263890323838,3099.876756873761,2867.6108845548915,2648.047042895373,2441.484499744306,2247.986250806937,2067.421159622491,1899.502385103373,1743.8217530733205,1599.8799533909564,1467.112618230482,1344.9124650334666,1232.6477757966863,1129.677539359845,1035.3636117011704,949.0802569460689,870.2214241602951,798.2060965669225,732.4820243323911,672.528122492864,617.8557842384757,568.009328348922,522.5657692921473
IN,11.906481046467988,23.474968797439253,29.952465564067058,33.87470721159865,36.61048281303829,38.89049659635291,41.10015101750043,43.4407366510799,46.01752933722831,48.88747777562977,52.08468830872628,55.63381068799777,59.55690391684714,63.87684253275252,68.6189272848475,73.81159405927447,79.48669312311871,85.67958184552742,92.42915131947565,99.77784257647536,107.77167471508966,116.46029060560917,125.89701790157645,136.1389395779441,147.2469668400906,159.28590682293057,172.32451743365766,186.43554170984788,201.6957140567715,218.18573066883653,235.99017634779156,255.19739984318642,275.8993298069926,298.19122352680586,322.1713408343754,347.94053603090293,375.60176137693634,405.25947670636043,437.0189610759017,470.985524076716,507.26361652045296,545.9558426571057,587.1618788522726,630.9773066892193,677.4923716832371,726.7906820948848,778.9478655760206,834.0302044330366,892.0932729911499,953.1806027375151,1017.3224024646313,1084.5343614047167,1154.8165632463727,1228.1525379016832,1304.5084759344184,1385.6463774282558,1474.145825670173,1572.9258097702384,1685.0490911085924,1813.6798456605711,1962.1193455334062,2133.876972186333,2332.7529378534027,2562.919848915857,2828.995922003368,3136.1053171065596,3489.92198925655,3896.693523866647,4363.241168682104,4896.932089748429,5505.620025084656,6197.551160357059,6981.233289267291,7865.268137270967,8858.149014496177,9968.028529476067,11202.463683784472,12568.147996842436,14070.642114431124,15714.11542420346,17501.111411428614,19432.34880949826,21506.56909579196,23720.438692918895,26068.511547431164,28523.06684851762,31047.690604611034,33603.83803954811,36154.04226996548,38663.51236051532,41100.94341718335,43438.92148062551,45654.098702391944,47727.2194581686,49643.03684539575,51390.1425843904,52960.72767073714,54350.28955425439,55557.30113902669,56582.85628992792,57430.30542288545,58104.89315576222,58613.4080551356,58963.85241410135,59165.13790152403,59226.81096026074,59158.810086157064,58971.25563929157,58674.27164197865,58277.83809960822,57791.67171994401,57225.132473765014,56587.15319961697,55886.189371670225,55130.18618741083,54326.56025939119,53482.193384870305,52603.436095677505,51696.11893928159,50765.56969624863,49816.63498815552,48853.7049659126,47880.73998630452,46901.29838146789,45918.56460071308,44935.37715651233,43954.25593743073,42977.42856166623,42006.85553743466
D,1072.0,1072.0,1072.2280774475564,1072.4745936477304,1072.6845505512536,1072.856333330756,1073.0025175084752,1073.1362847867363,1073.2677911211845,1073.404007779189,1073.549506193876,1073.7072972571964,1073.8794788822038,1074.0676737576466,1074.2733036808063,1074.4977527660594,1074.742460822094,1075.008975305758,1075.2989799365844,1075.6143108729743,1075.956966722597,1076.3291158250418,1076.7331025748306,1077.1714536010581,1077.6468840937605,1078.1623042846093,1078.7208259416602,1079.3257686613988,1079.9806657007414,1080.689269067837,1081.455553573777,1082.2837195333307,1083.178193790179,1084.14362873113,1085.1848989455889,1086.3070951828065,1087.5155152620105,1088.8156516013964,1090.213175053064,1091.7139147640655,1093.3238338302726,1095.0490005708182,1096.8955553268902,1098.8696727794622,1100.9775198850712,1103.225209645071,1105.6187510489988,1108.1639956629842,1110.8665814648498,1113.7318746534315,1116.764910274964,1119.9703326083581,1123.3523363283389,1126.9146095158096,1130.6602796046225,1134.5918633405645,1138.7459654977547,1143.192201435012,1148.0239637577602,1153.3504195772928,1159.2919292267923,1165.9785820307088,1173.5509270988005,1182.1620224800624,1191.9801410414204,1203.1916765831747,1216.0039392674462,1230.6476149173461,1247.3787031082484,1266.4797616288545,1288.2602853620692,1313.0560485046212,1341.227249844401,1373.1553280035662,1409.2383603606554,1449.8850256189926,1495.5071921730264,1546.5112860992406,1603.288685277326,1666.2054705206651,1735.5919318858098,1811.7322715184691,1894.8549590831185,1985.1241806328533,2082.632778246874,2187.397009889088,2298.9666575875453,2416.4856027544524,2538.8419338498884,2664.8004306992725,2793.0974668832446,2922.5036160717987,3051.863407593034,3180.119914114464,3306.3292857784654,3429.6683645794697,3549.4372671882384,3665.058129375704,3776.0708502884595,3882.1265035440733,3982.9789964032675,4078.475503820017,4168.546154712501,4253.1933933362325,4332.481377680173,4406.52571168346,4475.48374233145,4539.54558974743,4598.926020933428,4653.8572276083205,4704.582526560694,4751.350967276045,4794.412805969184,4834.015786839058,4870.402159431503,4903.806354414223,4934.453237799999,4962.556864718639,4988.319657353547,5011.931936862712,5033.571745361413,5053.404900844379,5071.585234873017,5088.254969655004,5103.545197592078,5117.576432332105,5130.459205755204,5142.294690116796,5153.175328761618
R,0.0,17.564089959420013,40.72077476544645,64.58453725134127,88.14866279357275,111.70184286170993,135.84313526503703,161.15201954517283,188.1099036053306,217.10703384745852,248.47069844968064,282.4927079584368,319.4504905690312,359.6218222448236,403.2947235711067,450.77410028876244,502.3863463438161,558.4827452857176,619.4422050906494,685.6736526000664,757.6182779440779,835.7517344510065,920.5863477296997,1012.6733562233868,1112.6051862922418,1221.017752602933,1338.5927661535084,1466.0600258046127,1604.1996636858798,1753.8443097467343,1915.8811357646123,2091.253734232039,2280.9637827532642,2486.072440004955,2707.7014151231847,2947.033648782156,3205.3135414718035,3483.846662826651,3783.998875582565,4107.194809114401,4454.915620790799,4828.695988791237,5230.120287728375,5660.817908494001,6122.45769619469,6616.741494749619,7145.396803454699,7710.168569217327,8312.8101577586,8955.073567281645,9638.698968248353,10365.403672269755,11136.870650956665,11954.736741178684,12820.580685885681,13738.535271518984,14715.838345206774,15762.58514121671,16891.389704294153,18117.18325081486,19457.189522318506,20931.053728751187,22561.087475228713,24372.59466367155,26394.24953791706,28658.503016951905,31201.996007512353,34065.95867949576,37296.573400974725,40945.27698420424,45068.97591890252,49730.14713852563,54996.7972449802,60942.25550323732,67644.78057322529,75186.96785589097,83654.9531824037,93137.41879273816,103724.41835920932,115506.04834373672,128571.00238227827,143005.05292983106,158889.50952879255,176299.70546659158,195303.56418582733,215931.08616750367,238170.72509178036,261975.51662212718,287270.61100858275,313959.9132345525,341931.52965827635,371062.2387290036,401221.2431098559,432273.38353494694,464081.9171189275,496510.91155450663,529427.2801258437,562702.4727462257,596213.8379154903,629845.674394284,663489.9963443207,697047.0399916675,730425.542786704,763542.8273745904,796324.7225730451,828705.3522419238,860626.820729691,892038.8207953622,922898.1867946546,953168.412701651,982819.1513778622,1011825.708517844,1040168.5419724266,1067832.7747214637,1094807.7276558466,1121086.4765317799,1146665.4359636996,1171543.9721015622,1195724.0446643743,1219209.8782435204,1242007.662215483,1264125.2781842425,1285572.053581714,1306358.5398656507,1326496.3136472756,1345997.7990372572,1364876.1095032992,1383144.9075728813,1400818.2807803473
G,118692.0,118692.0,118694.43089609352,118698.60030064028,118704.10457516903,118710.71497178909,118718.31056302441,118726.83843223931,118736.28987149283,118746.68606008655,118758.06941251432,118770.49835344184,118784.04418920883,118798.789278758,118814.82602114507,118832.25636335213,118851.19164379293,118871.75265426916,118894.06984407191,118918.28361490759,118944.54467057483,118973.01439453888,119003.86523398603,119037.28107196852,119073.45757072871,119112.60246977097,119154.93582209827,119200.69015150495,119250.1105131118,119303.45443860299,119360.99174701596,119423.00420157374,119489.78499306129,119561.63803075223,119638.87702300778,119721.82433149788,119810.80958562868,119906.16804726167,120008.2387202128,120117.3622043154,120233.87829995852,120358.12337586025,120490.4275202289,120631.11150317335,120780.48358596224,120938.83622017474,121106.44268657945,121283.55372936348,121470.39424576817,121667.16009396945,121874.01508293273,122091.08820682227,122318.47118330245,122556.21634978885,122813.40371316801,123098.06673951776,123417.699256455,123779.6903646185,124191.69105203034,124661.92182531995,125199.43155351435,125814.31589846138,126517.90052396871,127322.89057485045,128243.48422879363,129295.44481827742,130496.12340117499,131864.42201202133,133420.68741821885,135186.5262520953,137184.5349991655,139437.94243832148,141970.16748940753,144804.30155995215,147962.5307675459,151465.51914663345,155331.77846499401,159577.0530551773,164213.74880606905,169250.4341023077,174691.43721672587,180536.5598040407,186780.92017384013,193414.93344112503,200323.48926162496,207411.3648561934,214595.9553436702,221804.06783164208,228970.6201147697,236038.18499540826,242956.85137837706,249684.14086015205,256184.858536886,262430.83171132737,268400.5303882204,274078.5842834957,279455.2207262879,284525.65090783447,289289.4311558198,293749.8229809458,297913.17164163577,301788.3186096013,305386.0590474429,308718.6515080322,311799.3836882701,314642.1952828433,317261.35679153004,319671.2015006666,321885.9067252187,323919.3196895852,325784.8230660889,327495.2351056993,329062.7394177728,330498.8397248572,331814.33528470004,333019.3130937929,334123.1534332149,335134.54576427856,336061.5124113873,336911.43787107506,337691.10195240745,338406.7152812516,339063.9559884477,339668.0066505714,340223.5907639469,340735.00821082253,341206.1693245335,341640.6272815722,342041.6086462543
H,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1471794.0581265385,1422734.2561889873,1373674.454251436,1324614.6523138848,1275554.8503763336,1226495.0484387823,1177435.246501231,1128375.4445636799,1079315.6426261286,1030255.8406885774,981196.0387510261,932136.2368134749,883076.4348759237,834016.6329383724,784956.8310008212,735897.02906327,686837.2271257187,637777.4251881675,588717.6232506162,539657.821313065,490598.0193755137,441538.2174379624,392478.4155004111,343418.6135628598,294358.81162530853,245299.00968775724,196239.20775020594,147179.40581265464,98119.60387510336,49059.80193755208,8.003553375601768e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
