series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
S,815000.5493512903,814960.6730825343,814929.1342001521,814899.1155224296,814867.6878659592,814833.4478657786,814795.5744930364,814753.4499460838,814706.5051170022,814654.1542824977,814595.7650478241,814530.6419925526,814458.0153898282,814377.0315253056,814286.7432007638,814186.0998327527,814073.9368912246,813948.964563549,813809.7555943873,813654.7322895776,813482.152702209,813290.0960499829,813076.4474488909,812838.8820915107,812574.8490504731,812281.5549501056,811955.9478228738,811594.7015525474,811194.2014030159,810750.5312395632,810259.463166296,809716.4504260061,809116.6245319776,808454.7977179488,807725.4718930825,806922.8553613683,806040.8885949828,805073.2803224806,804013.5550879955,802855.1132400936,801591.3040042177,800215.5118715374,798721.2559980972,797102.3016608603,795352.7820841115,793467.3281676995,791441.202868741,789270.4362731143,786951.9568112397,784483.7136925493,781864.7855138201,779095.4701794249,776177.3517724283,773113.3408202172,828785.0860570951,883998.4931993625,938731.1566453788,992930.7988550282,1046523.6141960906,1099418.1381178885,1151506.6510065957,1202665.3865666692,1252754.327844619,1301617.0938998724,1349081.271675775,1394959.4683193716,1439051.304959902,1481146.5152321344,1521029.2343615142,1558483.4617557833,1593299.5560000648,1625281.4889771272,1654254.4648600249,1680072.4212359756,1702624.8915012176,1721842.729551299,1737702.278364727,1750227.6914249333,1759491.2706722675,1765611.844681331,1768751.3557516239,1769109.9395320758,1766919.8573447564,1762438.6777366402,1697064.7027994292,1633218.975202235,1571005.375995211,1510740.5768711073,1452758.5256476833,1397341.8375552557,1344701.0974723208,1294973.3449686484,1248228.450744962,1204478.55114495,1163688.2877061185,1125784.7340938982,1090666.4512652154,1058211.416238374,1028283.7476122126,1000739.2568214614,975429.9150018772,952207.3566824275,930925.5533047828,911442.7887383763,893623.0604620812,877337.0174205151,862462.531138996,848884.9820763819,836497.3293810439,825200.0197288204,814900.7800010344,805514.329248345,796962.0376057803,789171.5534334014,782076.414783876,775615.6571649091,769733.4263012017,764378.6020533433,759504.4376848633,755068.2171685027,751030.9320923632,747356.9788868038,744013.8764795343,740972.0040477233,738204.358231126,735686.328966931,733395.4929799753,731311.4238915725,729415.5178813036
E,0.0,39.87626875604999,60.580646041979925,74.13937556089809,85.42313523723163,96.45340634987272,108.1200913738826,120.8680763373645,134.97267663354114,150.6510189899507,168.10790758576863,187.55552635609953,209.2227146331657,233.3601228880669,260.2437829618876,290.178113223257,323.4987672295734,360.57548301509263,401.8149823591734,447.6639183033967,498.6118396309561,555.194118599563,617.9947668850007,687.6490418045453,764.8457192521843,850.3288808922256,944.8990309698812,1049.4133229562606,1164.7846389632734,1291.9792268254225,1432.012563040746,1585.9430773283614,1754.8633502988614,1939.8883845902462,2142.140557763376,2362.730899110502,2602.736399654591,2863.17317226121,3144.965433219839,3448.9104819740987,3775.64011237508,4125.5791922111985,4498.902486508356,4895.491155177982,5314.890700027909,5756.27243586146,6218.400776535603,6699.6087197078505,7197.783848166906,7710.366915955551,8234.364644783825,8766.377731701377,9302.644296151992,9839.098127796424,10371.440206312416,11217.481396339525,12314.394284283946,13646.293796897464,15223.138976386634,17069.84188095961,19220.800948993892,21717.11513888067,24604.967353320382,27934.35644512381,31757.72854080747,36128.25978900613,41097.66423271719,46713.492544575754,53015.97414226047,60034.54380440737,67784.2796122147,76262.54958811241,85446.20458066004,95289.65172003269,105724.0900506065,116658.09154909529,127979.58038490823,139559.12157105384,151254.29954843057,162914.86686993498,174388.28505791695,185525.26745970885,196184.96339304713,206239.48451515348,215577.55600027816,220850.19734840852,223058.11740488862,222717.33869558625,220186.40271100198,215777.7667012954,209791.02267076797,202517.90786171163,194238.06247777079,185212.88197460712,175680.23466329393,165850.9271738901,155907.00203398964,146001.62419411278,136260.20163522477,126782.37576753614,117644.55542204072,108902.72552169337,100595.32280066589,92746.02818625388,85366.37481539579,78458.11077044116,72015.28659367804,66026.06037984777,60474.22901632704,55340.50429865357,50603.558481467924,46240.866464208,42229.37220117499,38546.00582029847,35168.07591223078,32073.5589384287,29241.305006638155,26651.176579614228,24284.13414809341,22122.280586936005,20148.873859690793,18348.315950541877,16706.124375283976,15208.891335837943,13844.234511591076,12600.742599163073,11467.917993816307,10436.11842589145,9496.498901839921
I,10.71528337886647,6.434035911260547,5.173542064625625,5.096948886564119,5.4964520069460185,6.107081321407782,6.8361534527792855,7.657255459962502,8.56914502812171,9.580122133105883,10.702304576439726,11.949697711660521,13.33768275438281,14.883014302046142,16.603988244803585,18.520659893974553,20.65507369744253,23.031494770543276,25.676641537668395,28.6199206829807,31.893665072939406,35.533374020583416,39.57795374856804,44.0699542985257,49.05579741591579,54.585988065351415,60.71530015695898,67.50292476113687,75.01256655150074,83.31247146714607,92.475365685099,102.57828304636217,113.70225524344616,125.93183657754128,139.3544332263654,154.05940610353082,170.13691698627602,187.6764901517526,206.7652668380473,227.4859379682294,249.9143521988734,274.1168117677967,300.1470878387365,328.04320971306754,357.8241075592338,389.4862148074303,423.00016211469006,458.30771737360567,495.31914284003176,533.9111482608226,573.9256153657753,615.1692524302608,657.414307092941,700.4004218927678,743.8376622594511,787.4106845805311,841.3723252658621,909.8146465861316,994.6728145736365,1097.4360279275588,1219.8170077581303,1363.9743803634087,1532.5546739765146,1728.6644206969713,1955.811742997333,2217.8263090423457,2518.7548464759475,2862.7263773716313,3253.782543619126,3695.671967741904,4191.612652399505,4744.032275050227,5354.302066748917,6022.484786308439,6747.120090639388,7525.070544971548,8351.448249341869,9219.635812941935,10121.40700215202,11047.143049559429,11986.131705872602,12926.928860631231,13857.757798256807,14766.919266401888,15643.186424291718,16476.161956373187,17149.566625195235,17626.45997949542,17901.61572147288,17983.676154977416,17888.096871033813,17634.001818641882,17242.45954660696,16735.30877906348,16134.251234622836,15460.133344290663,14732.398823176198,13968.704029139199,13184.683274919504,12393.844728199063,11607.573302112149,10835.215649220998,10084.223479894645,9360.334104787344,8667.770590498194,8009.447634425367,7387.172814641715,6801.836019847591,6253.582502574211,5741.967101042864,5266.088771136334,4824.705719927066,4416.332209438988,4039.318578835609,3691.9162848380656,3372.329844798744,3078.7575350999423,2809.4225897581337,2562.596491251538,2336.6157705161195,2129.8935519643983,1940.926903168257,1768.300884347529,1610.6900438494422,1466.8579740714772,1335.6554279839727,1216.0173988100346,1106.9594832131318,1007.5737799296189
A,77.89325017918924,63.67447878516766,61.57553334051034,64.80490068112772,70.68322838817679,78.18360202735057,86.94938562031072,96.9015942210493,108.08192039562857,120.59020418730651,134.55992061558578,150.14909669100643,167.5375922800665,186.92709278008235,208.54233456195004,232.63295945554438,259.4757484853766,289.3771282488998,322.67590031851717,359.74616489373574,401.00041476877567,446.89277257732977,497.92233638364036,554.636587141673,617.6347966379606,687.5713562251144,765.1589247873416,851.1712688170534,946.4456381922344,1051.8844883967085,1168.4563239885883,1297.1953999785226,1439.1999788515602,1595.6288033499054,1767.6954117222672,1956.6598967297168,2163.8176970088375,2390.485015052501,2637.9804864054477,2907.6027863572367,3200.603959880922,3518.158403185604,3861.327614297754,4231.021065530994,4627.953827980799,5052.601887110431,5505.156412616441,5985.47856234389,6493.056680992823,7026.967968315562,7585.846806769363,8167.861927073484,8770.704431539649,9391.588380820825,10027.265185841155,10674.052454849858,11404.84799183944,12264.236600561933,13284.870402199867,14495.819824241624,15926.798884367512,17610.31349684534,19582.7522303998,21884.89184380261,24562.007684156015,27663.637029341007,31242.975470860554,35355.859900032105,40059.29195411219,45409.47674556111,51459.389999576786,58255.93850553851,65836.83796611609,74227.3902997608,83437.38907171827,93458.40724666291,104261.7188138896,115797.07254207577,127992.47505769742,140755.05933012706,153973.02436699052,167518.5442483933,181251.47003242094,195023.59412314577,208683.21732067963,222079.75426474173,234290.21551772434,244799.11154579825,253308.3013471298,259659.70347662945,263798.7222687516,265752.28454195906,265612.0822583437,263519.860844911,259653.9246519505,254216.84404703643,247424.56226621664,239497.0841024489,230650.83719427674,221092.6953515138,211015.56827334987,200595.4015620518,189989.39520067596,179335.23408841793,168751.12598597916,158336.45544987795,148172.8827275516,138325.74065369784,128845.60769468048,119769.9595779556,111124.82422584448,102926.38432093346,95182.48848944291,87894.04580021303,81056.28922137839,74659.90214029897,68692.00837065511,63137.03059064926,57977.42521047218,53194.303558452186,48767.95026909642,44678.250078104524,40905.03406590155,37428.35589276198,34228.70785368647,31287.185740924964,28585.61060456874,26106.614596405852,23833.69720375584
IH,0.0,2.13819079183263,2.312130095823672,2.144250217621006,2.048233817149652,2.0817792444741996,2.219759635137555,2.4315970255184762,2.697316040564583,3.0070627291398733,3.357754604305065,3.75032737190681,4.188025718722493,4.675479255885415,5.2182576500365485,5.8226901941743066,6.495822566866531,7.245441876748221,8.080134907326027,9.009362549273519,10.043542477979027,11.194136389204305,12.473739894002811,13.896173732122353,15.476574910338382,17.231486003882818,19.178940308044073,21.33853984805386,23.73152246927595,26.380813345317094,29.311055267896275,32.548611035286,36.121530164477235,40.05947106142973,44.393568760402054,49.15623747864787,54.38089664528384,60.10160889954754,66.35261898650077,73.16778369927543,80.57988522488543,88.61982363176217,97.31568893879889,106.69171930254518,116.76715931531851,127.55504103724466,139.0609198228195,151.28160668089288,164.2039480645908,177.8037117044232,192.04464236635943,206.8777532484815,222.24091628677076,238.05880737517347,254.2432502870074,270.6939862880114,287.29987595986074,306.0533843419271,328.7292315639286,356.5670255928485,390.4600508343624,431.17964950263524,479.5275010052286,536.4172325730915,602.9080984362652,680.2095197888127,769.6672954466376,872.7361208310003,990.9394806807104,1125.816503797094,1278.8553713173364,1451.413880901494,1644.6294233362833,1859.3225873665592,2095.900513047086,2354.267586412835,2633.7517649899314,2933.054506740178,3250.230876499951,3582.7040540914895,3927.3154747732106,4280.408616098607,4637.941450501536,4995.620193055465,5349.045447519169,5693.861297517429,6025.898264264053,6319.948223154256,6556.517404926328,6725.1884726852495,6822.676320403828,6850.485257666809,6813.154804487789,6717.072134442462,6569.66663326541,6378.841542121908,6152.557307620828,5898.521979970264,5623.965573484169,5335.484726741579,5038.947227762899,4739.446677461116,4441.29764773382,4148.061951609148,3862.5973029302613,3587.1206567803497,3323.279751039985,3072.227668930195,2834.696495714551,2611.067271874028,2401.434407557789,2205.6635044545965,2023.4421364479417,1854.3235865578883,1697.7638479042848,1553.1523958227715,1419.8373510397837,1297.1457017087587,1184.3992536338442,1080.9269482371906,986.0741385745359,899.2093538831784,819.7290192163712,747.0605331493812,680.6640462488515,620.033227715551,564.6952582186416,514.2102437118359,468.1702078297044
IN,2.1430566757732943,4.143812810222793,5.155467770555058,5.847849327256166,6.478937603140769,7.148021776877432,7.894804131686248,8.737814014512459,9.689067821800343,10.759535589454792,11.961118930088553,13.307352740778006,14.813674262174615,16.497571933906194,18.37872386981946,20.47916072054223,22.82346134754211,25.438981447363176,28.35611330122259,31.60857480536348,35.233726299722626,39.27291394344634,43.77183834287591,48.78094679497071,54.35584686735134,60.557738093293295,67.45385730492058,75.11793154121918,83.63063052557678,93.0800083870696,103.56192158358313,115.18040686902002,128.04799964841624,142.28596923154936,158.0244434169684,175.40239065712197,194.5674239796083,215.675387153745,238.8896806632409,264.38028332698303,292.3224254297332,322.89487156762806,356.27777668355,392.65008753226317,432.18647453252197,475.0537958923446,521.4071169979089,571.3853329109737,625.1064695374396,682.6627682273169,744.1156873864238,809.4909808831363,878.7740341650806,951.9056526246541,1028.7785007275777,1109.2343831840278,1193.0625402654211,1282.1167741263173,1378.9462055472925,1486.3177250184917,1607.1123392039349,1744.362298025751,1901.3302330380359,2081.5914403038596,2289.1051200149186,2528.2692030493113,2803.9555280693367,3121.5217855914984,3486.795715951535,3906.0264216135465,4385.797784541149,4932.9001126194,5554.158367781367,6256.21857567313,7045.2980127066,7926.909054943932,8905.570565663635,9984.523772302427,11165.471204246847,12448.357094954554,13831.205627340143,15310.029730169274,16878.81825458141,18529.603853310993,20252.608366348217,22036.45754255318,23868.452926326543,25713.483401381138,27531.38116515305,29283.600327186236,30935.88293330439,32459.33690091952,33830.81339280229,35032.91438132223,36053.76482552159,36886.618539628726,37529.346575775955,37983.85009282353,38255.4352828554,38352.18286544185,38284.33862795982,38063.74501258672,37703.32744513157,37216.64343568578,36617.49772781837,35919.62303328002,35136.4231411286,34280.773334573176,33364.871946276995,32400.136381138407,31397.136887607485,30365.561633030316,29314.207124721754,28250.988627838367,27182.965895934587,26116.38020107456,25056.699293732054,24008.667516999627,22976.358832898266,21963.230985866518,20972.17942975327,20005.589983022266,19065.389457548827,18153.09373552489,17269.852953118072,16416.493595087042,15593.55741758798,14801.337202413984,14039.909409764201
D,1072.0,1072.0,1072.0408507426898,1072.0850246452108,1072.125991154952,1072.1651232440774,1072.2048962281244,1072.247305366745,1072.2937617189068,1072.3452947083608,1072.402745496321,1072.4668963522126,1072.5385474223872,1072.6185608438586,1072.7078872036777,1072.807583498959,1072.9188276497582,1073.0429321858223,1073.181358411822,1073.3357316853662,1073.5078581170694,1073.6997428501945,1073.9136100069588,1074.1519243523087,1074.41741470035,1074.7130990620055,1075.042311498798,1075.4087306034814,1075.8164094710721,1076.2698069516575,1076.7738198872812,1077.3338159275256,1077.9556663907254,1078.6457784892082,1079.4111260675759,1080.2592778141072,1081.1984216999128,1082.2373841837934,1083.3856425009521,1084.6533281421778,1086.051219441913,1087.5907210475991,1089.2838279612656,1091.1430718527356,1093.1814474687008,1095.4123172292575,1097.8492925357145,1100.506090926007,1103.3963690114872,1106.5335321012574,1109.9305225400246,1113.5995900059474,1117.5520482704128,1121.7980241304897,1126.346205294796,1131.203594840082,1136.3752803714888,1141.8642261439882,1147.7114630233295,1153.991928407665,1160.804242757616,1168.2640929862202,1176.50190271871,1185.663411893213,1195.9118155557303,1207.430546105338,1220.4261422767065,1235.1308546733212,1251.8047262680727,1270.7369066427173,1292.2459508721356,1316.6788461547326,1344.408520799055,1375.829633287843,1411.3525196849957,1451.3952945808549,1496.3742458337902,1546.6928217397326,1602.7296615799658,1664.826246096778,1733.2748251507041,1808.3073033253181,1890.0857263037765,1978.6949156839573,2074.1376590825485,2176.3326924008684,2285.1155305200614,2400.2420292442175,2520.986435993435,2646.250564186503,2774.7372010605277,2905.086370968432,3035.966838525239,3166.134097165829,3294.4656690912975,3419.981017028413,3541.8505973722795,3659.396953112591,3772.0898917286713,3879.537352177873,3981.4733040721735,4077.743822781136,4168.292298367219,4253.144552015061,4332.394454359367,4406.190473469896,4474.723432973263,4538.215636996532,4596.911419649379,4651.069101738476,4700.954283957165,4746.834370731516,4788.9741987696725,4827.632635790037,4863.060014856169,4895.49627562559,4925.169693508617,4952.296089576797,4977.078426819104,4999.70671113167,5020.358127645807,5039.197354276924,5056.377004512062,5072.038160367386,5086.310964146126,5099.315244174677,5111.16115518563,5121.9498185639,5131.773951393642
R,0.0,14.361071935345375,27.32857131595265,40.067069776059164,53.357097357510064,67.71406178172401,83.5013580460502,101.00735301539251,120.49193688365264,142.21342068939114,166.44414189180978,193.48005174816822,223.64731462525353,257.3075742149278,294.86276626835297,336.7599417851344,383.4963493231223,435.6249164307704,493.7602163012821,558.584979026584,630.8571929479004,711.4178331610682,801.1992473724408,901.234221889523,1012.6657412671708,1136.7574430768811,1274.9047536245525,1428.6466704496806,1599.6781323355199,1789.862886587777,2001.246725775106,2236.0709213331597,2496.7856289492233,2786.0629802756357,3106.809507484889,3462.177472262442,3855.5745905670183,4290.671561341205,4771.406724914807,5301.987099962738,5886.884982755145,6530.829246575252,7238.790461198505,8015.95897155429,8867.715140528184,9799.59108188644,10817.223392159982,11926.296638466689,13132.477671671179,14441.34120441001,15858.287508492313,17388.453526756613,19036.619135589026,20807.110706666677,22703.70446876167,24729.532432189568,26886.99378332431,29191.72503805807,31668.620627413744,34349.59198181771,37272.660626397876,40481.910078690795,44027.94455794134,47968.628197808066,52369.962809386256,57307.00736647954,62864.76020149057,69138.92645708437,76236.48694294273,84275.97635685702,93387.37368647252,103711.50946700998,115398.90646210226,128607.99400421887,143502.6716780584,160249.24320476732,179012.7922384345,199953.1227710564,223220.43179502425,248950.9150868584,277262.5241983407,308251.0918526612,341987.0241982505,378512.72418978164,417840.8647755458,459953.57848894445,504802.5765290444,552168.1580474075,601721.5883598136,653067.2955409583,705773.0830555314,759392.8710726585,813484.3287296754,867622.5954367119,921410.7234093101,974487.2390352797,1026531.1499238074,1077264.721203193,1126454.3583284726,1173909.9411801028,1219482.9476339996,1263063.6838649518,1304577.9066159225,1343983.083736029,1381264.4974541122,1416431.3533543847,1449513.0191931652,1480555.4830228994,1509618.090336908,1536770.595331951,1562090.541734569,1585660.9735315447,1607568.464827398,1627901.4503102398,1646748.8328321562,1664198.8418322161,1680338.1152412992,1695250.9776715243,1709018.8887451428,1721720.037063532,1733429.057324086,1744216.8502833736,1754150.48750683,1763293.1850439603,1771704.3322591865,1779439.5639911944,1786550.865985012,1793086.705131402,1799092.1774573582
G,118692.0,118692.0,118693.31019877788,118695.30067308461,118697.73664120004,118700.54335534059,118703.71248673285,118707.26494577681,118711.23626031654,118715.67100412503,118720.6208850222,118726.14433999782,118732.30677768521,118739.18112560108,118746.84854678542,118755.39927374716,118764.93354114908,118775.56261209001,118787.40989800505,118800.61217382576,118815.32088998593,118831.7035818299,118849.94537521638,118870.25058464454,118892.84439701174,118917.97463005225,118945.91354949708,118976.95972292831,119011.43988108034,119049.71074889376,119092.1607989318,119139.21186886699,119191.32057277819,119248.97942323289,119312.71756799889,119383.10103235923,119460.73234624662,119546.24942586146,119640.32357342241,119743.65645775688,119856.97594424449,119981.03065686535,120116.5831793123,120264.40183746349,120425.25105251528,120599.88031239685,120789.01187725592,120993.32741007539,121213.45380180205,121449.94853652659,121703.28501020829,121973.83826984654,122261.8716728893,122567.52497416416,122890.80432663519,123231.57463205744,123600.142977963,124004.75215642515,124453.1230299534,124953.30368136488,125514.16071911203,126145.69096752076,126859.24162312422,127667.67729580853,128585.50538797503,129628.95650364371,130816.00843450098,132166.3381200735,133701.18485351617,135443.10973003623,137415.640971711,139642.80221516322,142148.5306191705,144956.0027400049,148086.89710706216,151560.63168397333,155393.6204199992,159598.59483319905,164184.03364750018,169153.73629517833,174506.5655876138,180236.37243980766,186332.102714308,192778.07439855018,199554.40350331424,206637.54992647775,213893.93743929153,221222.8697074168,228540.60514438455,235775.1826195539,242864.9072864692,249757.92787456952,256411.9786083824,262793.98173991364,268879.4480881848,274651.7040171565,280101.00228078733,285223.5769323052,290020.6945050884,294497.74201290426,298663.3803478932,302528.7809369101,306106.9546812619,309412.1753828158,312459.4949182931,315264.34410413005,317842.21119281295,320208.388957851,322377.7810879598,324364.7588925974,326183.0599363228,327845.72102640814,329365.03887181275,330752.552638129,332019.0434932945,333174.54704259225,334228.3752726171,335189.14525632607,336064.81241558614,336862.70659864513,337589.56961499446,338251.5931876611,338854.4565418406,339403.3630574779,339903.07557980367,340357.9501130417,340771.96772473754,341148.76456679346,341491.65997887414
H,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1766322.0178516502,1707444.6172565953,1648567.2166615403,1589689.8160664854,1530812.4154714304,1471935.0148763754,1413057.6142813205,1354180.2136862655,1295302.8130912106,1236425.4124961556,1177548.0119011006,1118670.6113060457,1059793.2107109907,1000915.8101159357,942038.4095208808,883161.0089258258,824283.6083307709,765406.2077357159,706528.8071406609,647651.406545606,588774.005950551,529896.605355496,471019.20476044103,412141.804165386,353264.403570331,294387.002975276,235509.60238022095,176632.20178516593,117754.80119011093,58877.40059505592,9.167706593871117e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
