series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
S,668483.9592411055,668251.3899810042,668064.832330496,667896.989509993,667734.5426419353,667570.9013659285,667402.7193383276,667228.2138736706,667046.3542583581,666856.4693459072,666658.0578044897,666450.6964038503,666233.9957735679,666007.5791750296,665771.0724538866,665524.099446753,665266.280071243,664997.2297590273,664716.5595842446,664423.8767749749,664118.785457801,663800.8875639306,663469.7838630971,663125.0751094368,662766.3632918706,662393.2529851234,662005.3527987672,661602.2769217425,661183.6467592511,660749.0926580048,660298.2557146995,659830.7896613396,659346.3628197,658844.660115826,658325.3851440517,657788.2622686008,657233.038749428,656659.4868776249,656067.4061044378,655456.6251467974,654827.0040512435,654178.4361972875,653510.8502206154,652824.2118361241,652118.5255406281,651393.8361751941,650650.2303274748,649887.8375551326,649106.8314124717,648307.4302637371,647489.897868177,646654.5437238936,674060.1662192252,701405.3957512045,728688.7936193591,755905.8834602108,783050.103652709,810113.2792868218,837085.815485588,863956.7285912833,890713.5809609751,917342.3557122374,943827.2912022818,970150.6860457283,996292.6809305439,1022231.0215563719,1047940.8066732641,1073394.22588906,1098560.2933508386,1123404.5854372052,1147888.9931276157,1171971.5026497077,1195606.021216968,1218742.267961931,1241325.7532598912,1263297.872137539,1284596.1388816158,1305154.589738639,1324904.3781355135,1343774.581616417,1361693.2313153255,1378588.563192431,1366132.0327388209,1352870.766321844,1338789.657891167,1323916.1874168783,1308302.8345794692,1292019.013347165,1275146.5145764695,1257776.1860557087,1240005.0416170312,1221933.5622343007,1203663.167422533,1185293.9054638415,1166922.4213965703,1148640.248376713,1130532.446974184,1112676.5956188168,1095142.1171651573,1077989.9127462748,1061272.2649521069,1045032.9674939382,1029307.6371898482,1014124.1655018997,999503.2701655307,985459.1119553238,971999.9467344907,959128.7881785178,946844.0616151943,935140.2340645515,924008.409665777,913436.8831875906,903411.6472292821,893916.8510621457,884935.2108876851,876448.3726633796,868437.2296365435,860882.1973980578,853763.4496820474,847061.1183499051,840755.461055051,834827.0000286162,829256.635288913,824025.7353856931,819116.20856475,814510.5569954878,810191.9164557125,806144.0836228787,802351.5328854497
E,0.0,232.5692601012456,356.099533982473,427.4376855744448,474.04690603633844,509.21921382031246,539.4004103520826,567.7257960032694,595.7290179561086,624.1685305895985,653.4274288805038,683.7068856702842,715.1196951685687,747.7354520089273,781.6023060838577,816.7573674727788,853.2316082471384,891.0520928427303,930.2429086365036,970.8254612705102,1012.8184568526476,1056.2377274220169,1101.0959759339903,1147.4024783796663,1195.1627621275643,1244.3782707993423,1295.0460219411098,1347.158261989479,1400.702122372479,1455.6592804526604,1512.0056291300796,1569.7109591352546,1628.7386582840932,1689.0454321984425,1750.5810511933475,1813.2881281788848,1877.101932507857,1941.9502447101481,2007.7532569810141,2074.423524126356,2141.8659694068733,2209.9779493606597,2278.649381217957,2347.762935952685,2417.194299345814,2486.812502671363,2556.4803237654714,2626.0547583142934,2695.3875602118783,2764.3258488120714,2832.712779848253,2900.388275742983,2967.189809999133,3076.2807738172605,3217.63923094083,3386.996900554006,3583.3274838328693,3807.49610280245,4061.553394229417,4348.383043317976,4671.541228062473,5035.199624785248,5444.1441260284155,5903.803367263872,6420.292724560309,7000.465266283929,7651.963796241126,8383.269024235819,9203.738808102924,10123.632750130766,11154.115450696016,12307.230602142436,13595.837013005998,15033.496774448591,16634.305343603704,18412.65359022584,20382.91312980759,22559.038841850725,24954.08658669354,27579.649907097133,30445.22685074551,33557.53662296956,36919.81490204174,40175.63572482064,43368.95561908263,46489.23266390157,49503.78213870349,52371.8427500509,55051.322820792055,57502.48078683816,59690.179193333366,61585.33586124464,63165.81147934879,64416.837828060714,65331.05218937539,65908.19905926805,66154.56476260001,66082.21414035012,65708.09797944539,65053.09504433835,64141.04439805393,62997.81348270483,61650.43643365537,60126.346362907665,58452.715605141035,56655.90962383947,54761.05362774139,52791.70596213444,50769.62889628206,48714.64532863619,46644.56893864575,44575.195184295306,42520.34104869183,40491.922374740236,38500.058824984,36553.1978292672,34658.250233897525,32820.73166936766,31044.904860805727,29333.91918726962,27689.944739073075,26114.298924012815,24607.564338919994,23169.69716267187,21800.12575383658,20497.83946492117,19261.467930312192,18089.351260352963,16979.601692376287
I,208.7869693347118,156.53078308771958,133.48225224786023,124.7692687991088,123.18432888822741,125.2284352162458,129.20014050613884,134.27086151162314,140.03683049658372,146.30169539595738,152.9708470477351,159.99992324020184,167.36961632716194,175.07327337508823,183.11073298162216,191.48521334691458,200.2017007972477,209.26608157785245,218.6846456215357,228.4637790521458,238.60975413050215,249.12857053926453,260.02582428775605,271.306591742561,282.9753220254079,295.03573403514036,307.49071600256997,320.34222644464086,333.5911959800704,347.23742986955415,361.2795114349949,375.71470673831396,390.53887108464295,405.7463580695985,421.3299320225401,437.2806848105157,453.5879580623498,470.2392719491482,487.22026171574845,504.5146231962181,522.1040685640343,539.9682935626099,558.0849574329806,576.4296767015258,594.9760339106965,613.6956022693793,632.5579870667991,651.5308845353883,670.5801586651002,689.6699362662168,708.7627203524465,727.8195216744009,746.8000079793943,765.6626703114994,787.3697797425209,813.4471726329183,844.7427855881137,881.8211555891926,925.1655210508461,975.2803853258017,1032.7439665140623,1098.236385316241,1172.556845319296,1256.6364244049223,1351.5496429978034,1458.5261882063805,1578.9632371024443,1714.4383048760044,1866.7222179325122,2037.7915614661201,2229.839717363138,2445.285365127337,2686.777058558239,2957.1922202222972,3259.6286319093847,3597.386271139393,3973.9371915946913,4392.881119800124,4857.884599827059,5372.601922700161,5940.576781091959,6565.124627340504,7249.19708516796,7995.23142702884,8780.336691952616,9590.399571688253,10414.10801865181,11240.71452503208,12059.334714956669,12858.889338062765,13628.316024476615,14356.884355904882,15034.532717981187,15652.182398326127,16202.002768084812,16677.61247891722,17074.209617145305,17388.630072722488,17619.338363428877,17766.358855686387,17831.157764424875,17816.48757782275,17726.205791328743,17565.079251678417,17338.58422929063,17052.710775399613,16713.778173871728,16328.266527363401,15902.667844501031,15443.358501719038,14956.49368842391,14447.923426931906,13923.128987009635,13387.177971317778,12844.696005458816,12299.852792561736,11756.360253989458,11217.480542698977,10686.041854863537,10164.460153349532,9654.765132607992,9158.628981856691,8677.396729448097,8212.117166924803,7763.573550336633,7332.313455256498,6918.677318830494,6522.825336825911,6144.762496734531
A,607.1045597490814,499.28424148445123,457.5111996365329,448.06738991387016,454.68643990827525,469.528923064839,488.82807202332657,510.7859133810127,534.5560370469135,559.751620245792,586.2074847665076,613.8650404921668,642.7166701860762,672.7788548783066,704.0791826807696,736.6500517667789,770.5255898872882,805.7401094449025,842.327286707741,880.3196744479878,919.748360688084,960.6426844634785,1003.0299668695341,1046.9352384489412,1092.3809549255136,1139.3866985591271,1187.968864959976,1238.1403364917358,1289.9101440998857,1343.2831198497006,1398.259542800306,1454.8347811445972,1512.9989338371881,1572.7364752217718,1634.0259064538454,1696.839417788593,1761.142566058531,1826.8939718918973,1894.0450414108536,1962.5397172884345,2032.3142641250795,2103.2970931202794,2175.40863095389,2248.561237647573,2322.6591779435644,2397.5986504111206,2473.2678780680562,2549.5472637855128,2626.3096131305515,2703.420426598051,2780.738262398018,2858.1151701067442,2935.397194572808,3012.4249485066025,3097.771444942834,3196.4661814167957,3311.7847105493565,3446.213896836837,3601.9733993654386,3781.302191275552,3986.623117626085,4220.645851401326,4486.44007158547,4787.49538644314,5127.776367108958,5511.776679672212,5944.573878174167,6431.884961235714,6980.121775772068,7596.444494474144,8288.810555797214,9066.015568434808,9937.721727169059,10914.468281128917,12007.657591165078,13229.50939893811,14592.975233335237,16111.60456409934,17799.354572260745,19670.336450297247,21738.49316710021,24017.206777998785,26518.8376755087,29254.203565180796,32160.326042550896,35194.27555031954,38318.6208917739,41495.987539157446,44687.41889186456,47852.388970888474,50949.55504762674,53937.831136156805,56777.56347017203,59431.67620497251,61866.69999879809,64053.62485949662,65968.54137661622,67593.0540597437,68914.46734346183,69925.75856744975,70625.36257657752,71016.79943866072,71108.18035286276,70911.62754472818,70442.64237293524,69719.45261640128,68762.36555933232,67593.14857306347,66234.45384295733,64709.29904067517,63040.61133176763,61250.83828122253,59361.62604586997,57393.56273412626,55365.98293932168,53296.82815306954,51202.5569634952,49098.098556313555,46996.842981445974,44910.66184581023,42849.95347388491,40823.707081133056,38839.581081098964,36903.99125468451,35022.20511871503,33198.439417535614,31435.958210128752,29737.169525967114,28103.71900997184
IH,0.0,19.033959451421914,26.018777654494905,28.228954710999737,28.798873559535707,29.006166188079348,29.320467664024825,29.876549033262528,30.682060459017826,31.70491472751528,32.907405641834885,34.257634023836445,35.73186582058101,37.31369099633723,38.99237393160297,40.76127334218121,42.61658327550358,44.556409080131345,46.58011789749158,48.687892513678776,50.880427941342184,53.158724985130384,55.52394835060552,57.97732711062696,60.52008269585164,63.153374637317725,65.87825768806897,68.69564619941035,71.60628310265827,74.61071181217241,77.70924999760538,80.90196459006448,84.18864766473597,87.56879303082523,91.04157349001835,94.60581881718204,98.25999458440594,102.00218199972306,105.83005896985375,109.74088262509004,113.73147356571391,117.79820210407317,121.93697678507854,126.14323547058892,130.41193926990127,134.7375695892729,139.114128557975,143.5351430667518,147.9936726267672,152.48232122328426,156.99325329871203,161.51821395466771,166.0485534128997,170.5752557210076,175.08897163173282,179.85398427254165,185.17252473012962,191.30844710894357,198.47608130458138,206.85177681062697,216.5903782934771,227.8401767151335,240.75470765765897,255.50160008086408,272.26920434765714,291.2717379917385,312.75353077239237,336.9927683836832,364.30497455766056,395.04634308135536,429.6169292638109,468.4636261366901,512.0827764991623,561.0222024353568,615.8823663671612,677.3163119467529,746.027971706689,822.7683766202383,908.3292684429362,1003.53360908255,1109.2225140688147,1226.2382216263047,1355.4028555481757,1497.492955724647,1653.210034768474,1820.9002589331828,1998.256165293054,2182.822213295173,2372.102927334091,2563.565704351875,2754.6372587045057,2942.720732289324,3125.234979083559,3299.66952253368,3463.6471126417728,3614.9865145209433,3751.759606705973,3872.3384905704916,3975.4298898316124,4060.0955471650213,4125.758543812612,4172.196442942446,4199.522874441442,4208.1596430913105,4198.801675437345,4172.377156914328,4130.005090770446,4072.952277035248,4002.591404388446,3920.36160676858,3827.7324899544005,3726.1723040886945,3617.120642141944,3501.9657912798466,3382.026658363143,3258.5390325847875,3132.6458347445678,3005.390929104308,2877.716034284328,2750.4602579703396,2624.3617901207763,2500.0613151767475,2378.1067404325436,2258.958880955348,2142.9977877826595,2030.529452877586,1921.792669485615,1816.965868717214,1716.173791490006
IN,33.22222679557032,65.4503225908868,88.39902000842947,106.99352103324401,123.64519454581807,139.5463928762997,155.2970276038952,171.20832409960096,187.45035038695954,204.1238378221332,221.29525992708196,239.01404686202963,257.3210907307976,276.25298775857334,295.8441804609322,316.1280550245513,337.13751067951574,358.90525561545223,381.4639558934548,404.8463009415779,429.08501816154995,454.2128536745523,480.26252838837,507.2666745192824,535.2577555603757,564.2679715230263,594.3291506280206,625.4726282548211,657.7291137529212,691.1285456155761,725.699935479445,761.471201424384,798.468991093993,836.7184952318138,876.2432523247923,917.0649451604788,959.2031902338099,1002.6753210798922,1047.496166757805,1093.6778268638502,1141.229444607648,1190.1569796375863,1240.4629824498832,1292.1463723542454,1345.202221095113,1399.6215443369838,1455.3911033116356,1512.4932189905783,1570.905601184423,1630.6011949789345,1691.5480468926946,1753.7091930813622,1817.0425718169076,1881.50096233604,1947.0319519802142,2014.0560536706132,2083.2239884428664,2155.301929222416,2231.1229514718293,2311.5720949761453,2397.5881925610092,2490.1739899136005,2590.4104478385593,2699.473350268615,2818.6514506741682,2949.3659162077925,3093.1910555563036,3251.8763874222536,3427.37009303656,3621.843831167829,3837.7187912359905,4077.6927231746495,4344.7675111297585,4642.276650294006,4973.911741533478,5343.746839157454,5756.259179934619,6216.344499189034,6729.324823116594,7300.946344619192,7937.364780972166,8645.115520918267,9431.06594585302,10302.347602899208,11266.266456415751,12326.267434924832,13483.446669440234,14737.067515303195,16084.705225247748,17522.27568515367,19044.054059924874,20642.726575911875,22309.49088799284,24034.20704331987,25805.59390702555,27611.461905893655,29438.970821992414,31274.90058233129,33105.92323317978,34918.8653158601,36700.951447134314,38440.021834565734,40124.71852785384,41744.637253764595,43290.44357478066,44753.953759335614,46128.18210137937,47407.357458622326,48586.912497848425,49663.44956700833,50634.687294645606,51499.39199135623,52257.29774104298,52909.018765601155,53455.957265160854,53900.209511402034,54244.472531904874,54491.953290996,54646.28186332477,54711.42972155358,54691.63392582477,54591.32771329605,54415.07774149547,54167.52803798789,53853.35054791546,53477.202046537364,53043.68709164095,52557.3266261699,52022.53180024091
D,1936.0,1936.0,1936.2624168882462,1936.6211318831733,1937.0103180886294,1937.4073616361782,1937.8072630802499,1938.2114977275892,1938.6233989428279,1939.0464055616653,1939.483514040652,1939.9372009895405,1940.4095032313392,1940.9021303730433,1941.4165657802023,1941.9541448088105,1942.5161112529813,1943.103656435022,1943.7179455561097,1944.3601350923434,1945.0313840398528,1945.7328609767496,1946.4657482790126,1947.231244380152,1948.0305646586276,1948.8649413324868,1949.735622605969,1950.6438712249546,1951.590962541279,1952.5781821494027,1953.6068231357174,1954.678182966254,1955.7935600298078,1956.9542498485616,1958.16154096596,1959.4167105210524,1960.721019519259,1962.07570781119,1963.4819887935048,1964.9410438486896,1966.4540165439064,1968.0220066126537,1969.6460637467483,1971.327181230042,1973.0662894492216,1974.8642493209288,1976.7218456782034,1978.6397806627995,1980.61866717318,1982.6590224208603,1984.7612616501754,1986.9256920784023,1989.1525071144038,1991.4417809145084,1993.7934633341513,1996.207375332813,1998.6869814815984,2001.2399131431578,2003.8774393769227,2006.6137841600548,2009.4656027602457,2012.4516852535335,2015.5928661698658,2018.912096799488,2022.4346394951506,2026.188353353401,2030.204050839409,2034.515912937401,2039.1619559147655,2044.1845460931265,2049.630960557181,2055.553991863569,2062.012593781949,2069.072563047742,2076.807249095374,2085.2982797986942,2094.636286396485,2104.9216050859322,2116.264926358161,2128.787856268571,2142.6233468620035,2157.915946452617,2174.821815102226,2193.5084473071925,2214.1540435434767,2236.946475882557,2262.0508153646006,2289.600320560999,2319.6943960616595,2352.398041899479,2387.7413416825643,2425.7189017126334,2466.289525996865,2509.3764328667867,2554.8682292822414,2602.6207475957385,2652.4597479683957,2704.184407987361,2757.5714617700974,2812.379813326852,2868.3554311266316,2925.236329790183,2982.7574572520275,3040.6553280362027,3098.672271993744,3156.560199770583,3214.0838186950305,3271.0232635397538,3327.1761341625297,3382.358955369083,3436.408092978821,3489.180173933195,3540.5520676058527,3590.4204907126946,3638.701299970363,3685.32853556569,3730.2532752312354,3773.442353889784,3814.876997984289,3854.5514172190465,3892.4713898859786,3928.6528715347836,3963.12065068645,3995.9070697357456,4027.0508242304068,4056.5958493957514,4084.5902990989944,4111.085619395744,4136.13571633092
R,0.0,108.81444926488403,206.46746607068548,299.9655350769599,393.15829402267366,488.2351382543828,586.5002774274974,688.7801815580026,795.6410433384236,907.506646735071,1024.7232521909095,1147.595861856534,1276.408781952478,1411.4374325650444,1552.9552011793573,1701.2374444698596,1856.563821602252,2019.219632961573,2189.496552427509,2367.6929786919095,2554.1141373700343,2749.072010993151,2952.885141778529,3165.8783329669054,3388.38226312094,3620.733020975039,3863.271564392056,4116.34310463745,4380.296415884517,4655.483069231085,4942.256590307323,5240.9715396464735,5551.982515290424,5875.643077557969,6212.304596482629,6562.315023107418,6926.017586590703,7303.749419918006,7695.840117918285,8102.610232238762,8524.369708927983,8961.416275299376,9414.03378378286,9882.490521504082,10367.037495342429,10867.90670319171,11385.309403061925,11919.434392496976,12470.446311521275,13038.483982948346,13623.65880436749,14226.053206452674,14845.719192395329,15482.676973235824,16136.913713646958,16809.934107019122,17504.246167306745,18223.070622647083,18970.19014131602,19749.88560608479,20566.927085972937,21426.60016667407,22334.756384946628,23297.88144036976,24323.17781116212,25418.66013233385,26593.26266800241,27856.958701332725,29220.891832859485,30697.519104927153,32300.76559554796,34046.18966102102,35951.15735002704,38035.023653162774,40319.31718263647,42827.923596987785,45587.26161087332,48626.443799511224,51977.412692114434,55675.040957376346,59757.182967223074,64264.66387318339,69241.19176487763,74733.178738115,80789.45800343936,87448.155410392,94739.26550422395,102685.3165723555,111301.27123019386,120594.18020001719,130562.84024014034,141197.5849853995,152480.27429981212,164384.50988899934,176876.07918114236,189913.6108405153,203449.41187570823,217430.44741039828,231799.41934664565,246495.89889281927,261457.46966968384,276620.84218249575,291922.9061556782,307301.69389681466,322697.23488781136,338052.2886959361,353312.94967663987,368429.1225426443,383354.8725475867,398048.6577181929,412473.45328072767,426596.78023350233,440390.6510212766,453831.44559299725,466899.73090197693,479580.0362650903,491860.5960531145,503733.0700424928,515192.2505081649,526235.7638498434,536863.7732764723,547078.6878672945,556884.8822119263,566288.4298242675,575296.852635354,583918.8881009091,592164.2748077112,600043.5569226133,607567.9073903266
G,124506.0,124506.0,124522.12873094273,124546.82431440003,124576.4672148522,124609.34247531596,124644.65694330283,124682.06448411533,124721.43639684789,124762.75033937498,124806.03656855426,124851.35190896694,124898.76713657641,124948.3608496501,125000.21647285904,125054.42077008025,125111.06307878316,125170.23488435739,125232.0295491173,125296.54210584234,125363.86907179806,125434.10826152287,125507.35858751064,125583.7198432081,125663.29246535408,125746.17727401166,125832.4751893594,125922.286924742,126015.71265579281,126112.85166570677,126213.80196699976,126318.65990035482,126427.51971143529,126540.47310684125,126657.60879069782,126779.01198369008,126904.76392669542,127034.94137150612,127169.6160614779,127308.85420527704,127452.7159472258,127601.25483805305,127754.51731014023,127912.54216160376,128075.36005376547,128242.99302672793,128415.45403788281,128592.74652823362,128774.86402140227,128961.78976010959,129153.4963847689,129349.94565860809,129551.0882434387,129756.86352982286,129970.20429929339,130193.3483098304,130428.23731317122,130676.74188699697,130940.79260539741,131222.46225458724,131524.0236050042,131847.99604883656,132197.1882849719,132574.74091503114,132984.17101773657,133429.41977452807,133914.9036286912,134445.56905368913,135026.9506621337,135665.2320362002,136367.30826380991,137140.84870045277,137994.3579344146,138937.2323152701,139979.80872669234,141133.40157550393,142410.3232786093,143823.88292770734,145388.3573885557,147118.92895378816,149031.58393085867,151142.9673189826,153470.1900957892,156030.58763392983,158816.77708466235,161824.42399441672,165048.46282501545,168481.56134549523,172113.56051994674,175931.3822451024,179919.19233121033,184058.71979805393,188329.67680970393,192710.2401639757,197177.56247930642,201708.2857679696,206279.03432297657,210866.86839539383,215449.68493574645,220006.55643547792,224518.0033330825,228966.19931148284,233335.1119665796,237610.5837176933,241780.35947668462,245834.06856298778,249763.1687469103,253560.86023768486,257221.9770211338,260742.86230138922,264121.23400508746,267356.04544157535,270447.3453387939,273396.1406355967,276204.26463724585,278874.2524498962,281409.2250108785,283812.7825262827,286088.9077124243,288241.8789065735,290276.1928561526,292196.4968048393,294007.5293588409,295714.0695275871,297320.8932815027,298832.7369475497,300254.26676405704,301590.0539341877,302844.5545473803
H,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,847753.2917859347,819494.8487264036,791236.4056668724,762977.9626073412,734719.5195478101,706461.0764882789,678202.6334287478,649944.1903692166,621685.7473096855,593427.3042501543,565168.8611906231,536910.418131092,508651.9750715608,480393.53201202967,452135.0889524985,423876.64589296735,395618.2028334362,367359.75977390504,339101.3167143739,310842.8736548427,282584.43059531157,254325.9875357804,226067.54447624926,197809.1014167181,169550.65835718694,141292.21529765578,113033.77223812463,84775.32917859347,56516.886119062314,28258.443059531157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
