series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
S,1538428.5195429283,1538100.9704296559,1537890.9584090612,1537718.9686367442,1537554.567784245,1537385.743892687,1537207.3890173903,1537016.9600767877,1536812.8406403034,1536593.7203424645,1536358.3578816822,1536105.4886011595,1535833.7865302775,1535541.8469024776,1535228.1763408144,1534891.1858935014,1534529.1851206573,1534140.3765770698,1533722.8504723443,1533274.5794600688,1532793.4135779005,1532277.0753935478,1531723.1554311311,1531129.1079672729,1530492.2472997548,1529809.7446048558,1529078.6255128135,1528295.768544181,1527457.9045629187,1526561.6174144787,1525603.34592844,1524579.3874748435,1523485.9032705897,1522318.9256363492,1521074.367404539,1519748.0336741682,1518335.6360978154,1516832.809868741,1515235.133551317,1513538.151864782,1511737.4014882504,1509828.4399035552,1507806.8772319034,1505668.410950853,1503408.8633006592,1501024.2211049928,1498510.6776423713,1495864.6761139082,1493082.9541632608,1490162.588819466,1487101.0411565835,1483896.199899741,1480546.4231592973,1477050.5774470903,1473408.0731243063,1533226.5308676218,1592700.797329105,1651815.8891743557,1710539.2735086703,1768827.9941820605,1826631.4922761288,1883892.5124733648,1940547.178422778,1996524.7244215934,2051747.1071930677,2106128.6092136046,2159575.500119146,2211985.807131709,2263249.242027154,2313247.333033655,2361853.8113175663,2408935.3011526624,2454352.3589593563,2497960.8980093384,2539614.021955811,2579164.2712005484,2616466.2618340785,2651379.668664365,2683772.4736968065,2713524.372092086,2740530.2023234027,2764703.2492465163,2785978.2608953556,2804314.0238796924,2776954.465507774,2726846.6226317566,2675498.1645300784,2623144.265003138,2570104.5409954293,2516718.058896543,2463316.217439491,2410209.522117457,2357680.3425515364,2305978.9000372547,2255321.39259828,2205889.698860469,2157832.2789200693,2111265.9605595577,2066278.342230425,2022930.5830846503,1981260.389529341,1941285.046455843,1903004.3775987774,1866403.5519046723,1831455.6804776783,1798124.1713588128,1766364.827260436,1736127.6848713432,1707358.6040665326,1680000.6219430505,1653995.0906851683,1629282.6204076705,1605803.8488283039,1583500.0592903355,1562313.667624957,1542188.5968699532,1523070.557142151,1504907.2461411352,1487648.4839429206,1471246.2939939506,1455654.9405818672,1440830.931564924,1426732.9937979425,1413322.0275009573,1400561.0447722827,1388415.0965417014,1376851.191480487,1365838.209720612,1355346.8136730709
E,0.0,327.5491132724153,472.0173718380826,549.5547611696504,603.9877186924383,651.9514836364383,699.8485095101571,750.2352326100211,804.2298860939525,862.4208755181837,925.2098004753428,992.9412542353522,1065.9521895311857,1144.5909295744877,1229.2247072296198,1320.242845578334,1418.0582508402367,1523.108210538538,1635.854854563815,1756.7853949622038,1886.4121668179937,2025.2724550615217,2173.9280755532045,2332.964670266727,2502.9906709394354,2684.635881420669,2878.5496255736384,3085.398404892666,3305.863008105868,3540.635014163131,3790.4126304385995,4055.8958100246605,4337.780596008581,4636.752646969196,4953.479906977976,5288.604395489538,5642.7331079751575,6016.428037235128,6410.195348167119,6824.47376537518,7259.622263208026,7715.907181230541,8193.488924123503,8692.408442660178,9212.573730518629,9753.746608759013,10315.530104062262,10897.356756309548,11498.478213660179,12117.956486803436,12754.657236458983,13407.245457669691,14074.183899567483,14753.734519262558,15443.963213184008,16142.74799927997,17045.894704607435,18127.49310452745,19384.367264348955,20824.400020682562,22461.499594436646,24313.487520335002,26401.24021303803,28748.345992924274,31380.950646135338,34327.64233931092,37619.30148403054,41288.87162377186,45371.01962599274,49901.65894029817,54917.31366697759,60454.30619435797,66547.758522876,73230.40776239744,80531.24982721031,88474.04169572791,97075.71080032122,106344.73861549587,116279.60224460413,126867.37037283997,138082.5559757345,149886.32569202068,162226.15367827783,175035.98612645135,188236.95283168016,200677.90075505036,211869.9852364152,221827.93456618505,230479.086706506,237745.87011095512,243573.90323663954,247940.57972387708,250855.9526993947,252360.21194847795,252519.52840690175,251421.1513647211,249168.2897431533,245875.13229883488,241662.24753626122,236652.51706569825,230967.68618771262,224725.56004374038,218037.83169714172,211008.4988134938,203732.8065917991,196296.6443854529,188776.32010630568,181238.63820067156,173741.21211737988,166332.94942376262,159054.65601884763,151939.71446319396,145014.79974331462,138300.60345894075,131812.54425794867,125561.44825442562,119554.18813883956,113794.2737686848,108282.39028984914,103016.88237762189,97994.18510255426,93209.20331986013,88655.64244508174,84326.29409766034,80213.28044177356,76308.26119356658,72602.60724865204,69087.54475693592,65754.27326843393
I,567.9125701197817,345.18715153869607,268.7149989959187,248.21409562552475,249.69709365132135,260.3873437555688,275.51054582374394,293.31617139812215,313.1999511539546,334.99569522369023,358.7082054208903,384.41262134923795,412.2165835115238,442.2461130001585,474.6404477406993,509.5502596652335,547.1371430507324,587.573571998996,631.0430181289995,677.7401050269665,727.8707452457143,781.6522309272932,839.3132577392994,901.0938640887427,967.2452674256485,1038.0295783753716,1113.7193720422677,1194.597094371692,1280.9542800880738,1373.0905575543843,1471.3124150291978,1575.9317023464864,1687.2638421373945,1805.6257254923148,1931.3332685763858,2064.6986093199766,2206.0269270673048,2355.612873134419,2513.7366067398975,2680.659438837421,2856.6190960668036,3041.8246283599756,3236.4509966279975,3440.633391262112,3654.4613476492123,3877.9727411569256,4111.147760589971,4353.902975339049,4606.085626604103,4867.468286348963,5137.744038144248,5416.522340868836,5703.32573848773,5997.5875760190265,6298.650872716553,6605.768488023206,6918.104693872301,7270.363927128787,7678.980627916513,8153.372796385658,8700.682453539048,9327.751805320886,10041.944568976223,10851.490814524965,11765.634887232329,12794.697544016875,13950.093024879216,15244.312429841659,16690.872413009536,18304.222889150733,20099.605202092815,22092.851555354566,24300.117012739465,26737.537008446478,29420.80616273093,32364.678369929796,35582.393599684656,39085.04345207505,42880.894846314986,46974.698692367805,51367.01719511418,56053.60865689824,61024.91136871767,66265.6676618403,71754.7249855563,77465.04296235787,83173.17033649755,88655.37899716965,93778.33173890496,98447.91683222073,102592.98158203499,106160.49852898734,109114.17128355536,111433.74615490585,113114.14005847732,114164.16314431356,114604.86070232245,114467.58482657166,113791.92680618772,112623.63314763196,111012.60757909922,109011.07631424422,106671.96864203844,104047.54203774054,101188.26174779845,98141.92968587534,94953.04645304274,91662.3829928816,88306.73425867452,84918.82568019402,81527.34355259337,78157.06216495296,74829.04305751382,71560.88485196886,68367.00533564675,65258.940677045226,62245.64965606613,59333.81351373842,56528.12441396371,53831.55754772767,51245.623605434754,48770.599718017664,46405.73805381188,44149.45209184676,41999.48121022058,39953.034666399326,38006.916337742274,36157.631764971455,34401.47912450732
A,64.01356635615082,60.4591781625185,63.7416752279822,69.77032793723558,77.03594424551747,85.00150680752364,93.4970181106228,102.4916996394316,112.00830165869107,122.09097815818618,132.79335862327696,144.17423528585005,156.29612092349817,169.2248873980478,183.02980962383577,197.7837599161069,213.56345601918008,230.44972562469346,248.52777238140612,267.88743648057135,288.6234456327486,310.8356529376945,334.6292580357386,360.11500748804707,387.409369743799,416.6346793850753,447.91924462621546,481.3974113015897,517.2095758195624,555.502138807896,596.427390447461,640.1433178118785,686.8133239307133,736.6058478085034,789.6938743021753,846.2543226313462,906.4673024203643,970.5152266019343,1038.581771306044,1110.8506740706966,1187.5043633957475,1268.7224148646249,1354.6798318171975,1445.5451518919078,1541.4783846682299,1642.6287901086978,1749.1325124712544,1861.1100897527435,1978.6638644127872,2101.8753269575104,2230.8024297431016,2365.4769138673682,2505.901697006325,2652.0483742607244,2803.8548872402507,2961.223418478882,3124.018568619817,3296.081503544757,3480.514897714232,3680.1847706786784,3897.957792323893,4136.8233832392025,4399.966223047838,4690.817331941788,5013.095363688798,5370.842475275044,5768.455872050991,6210.714558019734,6702.799956605918,7250.308498429385,7859.25384642547,8536.056106878925,9287.515172668824,10120.765303161968,11043.208215832035,12062.422400264177,13186.047107871284,14421.640540964654,15776.513150766139,17257.538602100336,18870.946773890835,20622.10499744888,22515.295415359,24553.497686156217,26738.187089267685,29069.158263996364,31522.883009925434,34067.2305042538,36672.15255283039,39307.796520990305,41944.3949576893,44552.73093446977,47104.751570581226,49574.16541689406,51936.9555312134,54171.77983132065,56260.249836937306,58187.09017622466,59940.18829353608,61510.548151864336,62892.16407384217,64081.83166702873,65078.91241274249,65885.06730073183,66503.9731595259,66941.0333105731,67203.092057779,67298.16045726648,67235.15889451813,67023.68028889122,66673.77627978836,66195.76753255347,65600.07832720036,64897.09484046764,64097.04597634857,63209.90521431539,62245.31169976761,61212.50867094503,60120.29727618238,58977.00386337933,57790.45890146164,56567.9858060292,55316.39807581135,54042.003293051195,52750.61269185357,51447.55514811255,50137.69458874389,48825.449953745505,47514.816970296844
IH,0.0,113.54978155383884,173.96075163045182,214.5028178244816,247.87297790956148,279.01034345161224,309.92507001884593,341.520367541507,374.2809818852168,408.5340983130972,444.5488745158351,482.57502732264163,522.8583697354819,565.6476051282801,611.1977832282026,659.7724616953647,711.645347401909,767.1017110066431,826.4396858096939,889.9714916914828,958.0245971637219,1030.942820734121,1109.0873669118882,1192.837788474537,1282.5928636454553,1378.7713740554993,1481.8127665815227,1592.1776793059512,1710.348308917593,1836.8285938978033,1972.144184851208,2116.8421704077455,2271.4905243224252,2436.6772368298984,2613.0090910921676,2801.1100438500034,3001.6191683134043,3215.1881170847696,3442.4780636984638,3684.156083392595,3940.890937219672,4213.348228765966,4502.184909784557,4808.043120126135,5131.543358603131,5473.27699491401,5833.798148473291,6213.6149778285,6613.180444072028,7032.882632918687,7473.034742425209,7933.864866042103,8415.50572304312,8917.984509487364,9441.213061758079,9984.978540362592,10548.93485303961,11132.595042326207,11742.447947086228,12387.7765220622,13079.04317281428,13827.345293980796,14644.307194218734,15542.144430683202,16533.792215660873,17633.05366652409,18854.749242702732,20214.858269304714,21730.64641022597,23420.773221138963,25305.37309708178,27406.10172643662,29746.138921591173,32350.137650613808,35244.10845386153,38455.22840869915,42011.5646202553,45941.70406362248,50274.28462995418,55037.42649388706,60258.068354934316,65961.21948841393,72169.14548353365,78900.51250686681,86169.52125881564,93985.06679931133,102349.96346559226,111222.1349085291,120517.96125053671,130133.50087021795,139953.8735339057,149858.6799770828,159726.04422467135,169436.07076872716,178873.90207299474,187932.36996409204,196514.1906584087,204533.661892415,211917.84586209615,218607.24909822547,224556.034134705,229731.8156494311,234115.10521526248,237698.47434768613,240485.50609115977,242489.6020520706,243732.70568266552,244243.99477515038,244058.58741458913,243216.29676241323,241760.4615205127,239736.87111693743,237192.7977760903,234176.14179362677,230734.6915473477,226915.49599653075,222764.34456886264,218325.34729812492,213640.60673822486,208749.97242039655,203690.86832660553,198498.18391961206,193204.2196073786,187838.67804838324,182428.69335987352,176998.891020454,171571.47202008736,166166.31557281772,160801.0954468541
IN,109.17563702724681,204.4792418463519,244.85663388962143,265.40258611850675,279.3968384192832,291.89805035836974,304.86593420662473,319.0933855376747,334.9360313624212,352.588147283708,372.1873755569225,393.85479249257753,417.7105351041357,443.8801684365773,472.49752936055614,503.7062163478149,537.6605472223581,574.5262968562718,614.4813329586601,657.7161937054186,704.4346216659545,754.8540562251021,809.2060808584334,867.7368181775695,930.7072630948591,998.3935421865856,1071.0870851458005,1149.0946920374076,1232.7384778866085,1322.3556739642731,1418.2982630152771,1520.9324236603004,1630.6377573554237,1747.8062697003634,1872.8410766449401,2006.154805370262,2148.1676594476844,2299.3051184503393,2459.995243665411,2630.665564093398,2811.739520686737,3003.632451930101,3206.747110536388,3421.4687093342936,3648.1595044207875,3887.1529353523547,4138.747355487591,4403.199400418492,4680.717058486929,4971.452524315986,5275.494933619359,5592.863094701763,5923.498348343665,6267.257702407528,6623.907399689024,6993.117086427823,7374.454753679684,7767.382623705512,8178.102838225397,8615.188845220931,9087.935254984637,9605.828673345282,10178.465669893318,10815.639061255126,11527.479523476126,12324.60764755465,13218.278619671592,14220.51179993234,15344.200641004387,16603.19877725098,18012.377432733436,19587.648269121855,21345.9447730141,23305.154487947322,25483.994016787805,27901.818937948643,30578.36177077121,33533.39304358849,36786.30346120564,40355.6091486199,44258.38685814955,48509.65162086012,53121.695208908895,58103.409437058144,63459.62317418785,69190.4853543365,75290.92773964163,81713.56975229378,88374.04152589387,95173.06059147765,102005.86741091222,108767.33495193075,115355.49978181887,121674.37647989723,127636.28211360224,133163.69771165628,138190.64765325058,142663.5850373211,146541.79385170032,149797.34256438175,152414.64298721877,154389.68109599935,155728.99287365677,156448.45896872986,156571.9881974912,156130.15293357035,155158.83042594933,153697.8941079032,151789.9888452162,149479.41444825826,146811.13306596963,143829.90854393065,140579.5795762007,137102.4635169086,133438.88397193255,129626.81264346669,125701.61420365385,121695.882070272,117639.35269220309,113558.88617987737,109478.50170621792,105419.45694482117,101400.36181076385,97437.31785002878,93544.07572710417,89732.2043424603,86011.26614049157,82388.99412269516,78871.46694733032
D,12217.0,12217.0,12217.23588150457,12217.597257134443,12218.042852420587,12218.557768875482,12219.137368225684,12219.781187974342,12220.490641898734,12221.268150758118,12222.116814986794,12223.040294151095,12224.042766564124,12225.128921176161,12226.303963578961,12227.57362918928,12228.944200922748,12230.422530277228,12232.016061354743,12233.732857581545,12235.581630970735,12237.571773798862,12239.713392570413,12242.017344134454,12244.495273800227,12247.159655274927,12250.023832217594,12253.102061167841,12256.409555567208,12259.962530543706,12263.778248076916,12267.875062101455,12272.272463041041,12276.991121193996,12282.052928314288,12287.48103665082,12293.299894622804,12299.535278221798,12306.214317143385,12313.36551456539,12321.018759407716,12329.20532983436,12337.957886694283,12347.310455548606,12357.298395901256,12367.958356243173,12379.32821354123,12391.446995856733,12404.35478686907,12418.09261121183,12432.702299704588,12448.22633378577,12464.707668721456,12482.189535480784,12500.715221528351,12520.327831182949,12541.070026623373,12562.983751077116,12586.109936195451,12610.502993154252,12636.23661698271,12663.406236683706,12692.130334322033,12722.55153960397,12754.837858101439,12789.18416622041,12825.81401413486,12864.981739152136,12906.974873070996,12952.116814344641,13000.769723667876,13053.337587719936,13110.269379408019,13172.062223991063,13239.26445932499,13312.478456001938,13392.363040644263,13479.635344794822,13575.071884863659,13679.508667897962,13793.840116108839,13919.016612545765,14056.040493026505,14205.960346568172,14369.863538162575,14548.866932484665,14744.105872273296,14956.721546602676,15187.767737663407,15438.124520728592,15708.456048982296,15999.187830302604,16310.49526235801,16642.300564977482,16994.276894254082,17365.858808125136,17756.25823979339,18164.48503096539,18589.370990606523,19029.596411063525,19483.71799651905,19950.197231153386,20427.42832382141,20913.764999288524,21407.545550832034,21907.115714930853,22410.849067757073,22917.16476949414,23424.5425925207,23931.535261418652,24436.778206243143,24938.99688626882,25437.011880981336,25929.741970349558,26416.2054395431,26895.51984644089,27366.90048560748,27829.657771817685,28283.19375138442,28726.997931940437,29160.64260214418,29583.77779298924,29996.126012746186,30397.47686861546,30787.681670318416,31166.64809436386,31534.33497275261,31890.747256490245,32235.93119246908
R,0.0,17.42642040177404,55.13559428364029,102.61083387732559,156.02010684781976,214.07092685957022,276.4478531455872,343.22319494265724,414.634882075032,491.00302871188353,572.6990051701077,660.134490434987,753.7582207839341,854.055789240183,961.5507348551604,1076.8062505379378,1200.4272503169716,1333.0626930592566,1475.4081188896869,1628.2083769143253,1792.2605310339413,1968.4169331990477,2157.5884536313174,2360.7478565285137,2578.9333080272945,2813.252000877541,3064.8838774309825,3335.085429173387,3625.1935471280317,3936.629393021884,4270.902256133073,4629.613355235809,5014.459539046529,5427.236832088314,5869.843765985078,6344.284428951893,6852.671158769977,7397.226796962616,7980.286414394821,8604.298411315578,9271.824888197225,9985.541177891599,10748.234424945022,11562.801094756162,12432.243294011998,13359.663784905428,14348.259579435598,15401.314007019277,16522.187159066594,17714.30462840999,18981.144479753566,20326.22240975596,21753.07508196536,23265.24165242409,24866.243536009755,26559.56250094579,28348.617218666564,30236.738437439322,32227.365959838622,34325.378265641695,36537.58665056711,38872.91384139823,41342.472017284825,43959.62646692306,46740.07778797819,49701.9738387248,52866.05393050644,56255.82417128133,59897.76119183994,63821.540380526785,68060.28368413988,72650.82079404347,77633.95606081255,83054.73177246067,88962.67654268946,95412.02558101888,102461.89769240328,110176.41215701406,118624.72738329596,127880.98264390312,138024.12453225767,149137.6012307794,161308.91041819504,174628.99073263156,189191.45210352866,205091.64678967925,222425.59029854918,241287.5552108005,261760.90798120838,283910.4621458395,307779.09627931804,333386.2564248657,360727.5331150568,389775.01911783824,420478.312813249,452766.070804275,486548.01473503746,521717.2906670823,558153.0749181596,595723.3209654569,634287.5480005348,673699.5820315324,713810.1737255318,754469.4321166296,795529.0286726878,836844.1410476866,878275.119435037,919688.8703142619,960959.9622995415,1001971.466680984,1042615.5511598493,1082793.8493734645,1122417.6312993672,1161407.8007663745,1199694.7463352478,1237218.0709867943,1273926.2245940238,1309776.061254254,1344732.3413842442,1378767.1961740786,1411859.569662687,1443994.651422719,1475163.3106854365,1505361.5407384296,1534589.9206155462,1562853.0994819147,1590159.3077000158,1616519.8973407045,1641948.91386601
G,939387.0,939387.0,939445.9042361134,939530.788675099,939629.6169182464,939738.2340194683,939855.4766025513,939981.3326655885,940116.2499390341,940260.8772488951,940415.9692360879,940582.3527625067,940760.9166593888,940952.6103532915,941158.4459108827,941379.501439526,941616.9250598375,941871.9391467192,942145.8447139286,942440.0258815642,942755.9543866718,943095.1941012029,943459.4055188284,943850.3501664161,944269.8948887594,944720.015946935,945202.8028617213,945720.4619239455,946275.3192835945,946869.8235191352,947506.5475779552,948188.1899683741,948917.5750735824,949697.6524484918,950531.4949522552,951422.2955626082,952373.36271376,953388.1139979153,954470.0680722953,955622.8346194221,956850.1022191091,958155.624006709,959543.201014296,961016.6631200468,962579.8475664501,964236.575050195,965990.6234354668,967845.6991974313,969805.4067630318,971873.2159806347,974052.4280168981,976346.140046511,978757.2091658225,981288.216022294,983941.4287054082,986718.767488431,989621.771041605,992687.1904421131,995947.1172460828,999433.0718708434,1003177.9923302011,1007217.317799147,1011589.6923579726,1016337.5143613929,1021507.4241294856,1027150.7638651845,1033324.0168756108,1040089.2197940319,1047514.333599668,1055673.5535287198,1064647.5332513438,1074523.4946869754,1085395.1917298036,1097362.694379061,1110531.9598562962,1125014.1598138479,1140924.7381997474,1158382.1830779552,1177506.5077639332,1198417.4517056218,1221232.4288700197,1246064.2698085508,1273018.8215413503,1302192.4851930907,1333669.7832145353,1367521.054567678,1403609.6225711806,1441710.8999980276,1481602.9482581888,1523050.7617079893,1565805.3847570107,1609608.0822028222,1654196.053466857,1699308.3058574467,1744691.0741444116,1790102.492834945,1835316.3867635035,1880125.141164857,1924341.6762140626,1967800.5943175408,2010358.5960865053,2051894.2759906473,2092307.4137863377,2131517.875361492,2169464.228846835,2206102.170631003,2241402.842868006,2275351.110415029,2307943.8517929185,2339188.306338825,2369100.5085988515,2397703.831378355,2425027.6507785325,2451106.139951283,2475977.193087052,2499681.477162527,2522261.606050157,2543761.4295609603,2564225.4286951898,2583698.2076651417,2602224.0730006155,2619846.690138404,2636608.8082386274,2652552.0444855466,2667716.719756599,2682141.7382320534,2695864.5042314567,2708920.870274087,2721345.111048855
H,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1865488.1691725408,1801880.53375665,1738272.8983407593,1674665.2629248686,1611057.627508978,1547449.9920930872,1483842.3566771965,1420234.7212613057,1356627.085845415,1293019.4504295243,1229411.8150136336,1165804.1795977429,1102196.5441818521,1038588.9087659613,974981.2733500705,911373.6379341796,847766.0025182888,784158.367102398,720550.7316865071,656943.0962706163,593335.4608547254,529727.8254388346,466120.1900229438,402512.55460705294,338904.9191911621,275297.28377527127,211689.64835938043,148082.0129434896,84474.37752759876,20866.74211170792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
