series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
S,17829.890465822475,17829.112817093315,17828.39266182338,17827.67702497352,17826.93409519846,17826.14352689108,17825.291071693096,17824.365594301165,17823.357403378424,17822.25730825236,17821.056076115525,17819.744110095846,17818.31124903942,17816.746634373103,17815.038614086036,17813.174667574578,17811.141342742703,17808.924201053505,17806.507768686475,17803.875493398096,17801.00970756613,17797.891598470498,17794.501187260637,17790.817318350644,17786.817661202866,17782.47872662026,17777.775899767254,17772.68349217086,17767.174814905877,17761.22227502685,17754.79749706066,17747.871471005004,17740.41472778146,17732.39754246387,17723.790164848528,17714.56307606523,17704.68726897214,17694.134549066275,17682.87785162048,17670.891569778923,17658.151887465247,17644.63711023934,17630.327986736764,17615.208013086507,17599.263712761873,17582.484884692774,17564.86481315131,17546.400433891988,17527.092452238452,17506.94541019954,18533.71393064514,19557.944977177172,20579.511228495925,21598.208987211783,22613.770916431866,23625.874167400503,24634.145158612882,25638.162112916645,26637.456249209234,27631.512328850895,28619.76909602228,29601.62002638172,30576.41470143478,31543.461047013436,32502.028604359315,33451.352935219686,34390.641194735166,35319.07883720113,36235.83735189592,37140.08286267517,38030.98537036721,37939.72569008251,37760.72580940348,37574.1029920891,37380.08927464683,37179.178095321826,36972.003599963115,36759.273305866765,36541.72809476936,36320.116869190395,36095.17958437639,35867.63544619828,35638.17456459847,35407.45209078296,35176.08423721158,34944.64577220949,34713.66868737831,34483.64180014197,34255.011096920665,34028.180654654294,33803.51400441982,33581.33582290045,33361.93385649841,33145.56099944631,32932.43746165828,32722.752974481515,32516.668993146173,32314.320863742658,32115.819930154197,31921.255562707523,31730.69709553562,31544.195663923718,31361.785936369433,31183.48773885365,31009.307570999506,30839.24001548859,30673.269043389635,30511.369219006945,30353.50680853505,30199.64079726431,30049.7238203631,29903.703012402464,29761.52078081906,29623.115508456893,29488.42219020875,29357.37300861079,29229.897853042567,29105.924786960473,28985.38046735439,28868.190520371707,28754.279876805653,28643.57307089988,28535.994505681963,28431.46868780683,28329.920434669228,28231.2750563327,28135.458514622598,28042.397561541995,27952.019858992593
E,0.0,0.7776487291605099,1.2811315227066598,1.6398129385882183,1.9258496244034908,2.1798278344546986,2.424928223927306,2.674759680058494,2.9376953456575254,3.219274731204365,3.523536035294844,3.8537563775554613,4.21286407156385,4.603668948401477,5.028991387315024,5.4917345318086905,5.994924129038981,6.541729317859382,7.135471519009058,7.779625144954021,8.477811928266636,9.23378959365848,10.05143499979809,10.934721550459647,11.887690511023186,12.91441580818603,14.018961908817758,15.205334454614949,16.477423467057882,17.838939130137277,19.293340405032435,20.843757028600496,22.492905790491672,24.24300236221895,26.0956703511009,28.051849653143606,30.111706557351486,32.2745483815677,34.53874566647568,36.901665089737776,39.35961625931604,41.9078153828798,44.54036847716766,47.25027627734084,50.0294623452966,52.86882508492391,55.758313491297486,58.68702553962045,61.643327214002326,64.61498934252643,67.58933869595803,72.27243349484539,78.31549562113204,85.54330139431136,93.89308835748085,103.37509311409232,114.04743284179261,126.00022745974177,139.34549116332195,154.21048571562693,170.7330317343738,189.05781807239686,209.3331137852115,231.70753211742243,256.32666351972927,283.3295127792966,312.84476106337576,344.98693657782087,379.852622109542,417.51685547684195,458.02989010360903,501.4144778208336,540.7076856390067,576.6757550505678,610.0131166608771,640.9593135215604,669.5464383670602,695.7242706425471,719.4232180611727,740.5850577129698,759.1767363266754,775.1951594785373,788.6671908575393,799.6471679903075,808.2132273493305,814.463178757164,818.5103564856199,820.4796912082426,820.5041357774701,818.7215085205364,815.2717739786232,810.2947534485191,803.9282407813313,796.3064891684262,787.5590298070983,777.8097818151903,767.17641344756,755.7699167663004,743.6943608632142,731.046792122623,717.9172535613742,704.3888987970158,690.5381795474118,676.4350886775105,662.1434436390851,647.7211976798058,633.220768429176,618.6893754124217,604.1693797182993,589.6986204759785,575.310744004419,561.0355225099917,546.8991600486677,532.9245841606242,519.1317221484514,505.53776142413506,492.15739371141933,479.0030431738001,466.08507875714645,453.4120112009481,440.99067529298816,428.8263980270034,416.92315337850386,405.28370444619947,393.909733720267,382.801962238036,371.96025837591014,361.38373700622117,351.07084972147146
I,2.8540753920336295,2.6257493606709392,2.5940250858411824,2.6803008375863415,2.8419297810330937,3.0562242792828385,3.311619221139009,3.602790649163528,3.927961404715252,4.287416687669362,4.682689239976513,5.1161152512863,5.590595547346874,6.1094704285512735,6.676457340757266,7.295623122626862,7.971375034262123,8.708461639789961,9.511978386595382,10.387374776974351,11.340461128840008,12.37741349491798,13.50477559059988,14.729456701536016,16.058724578392262,17.500192322131937,19.061798246106534,20.751777689672874,22.57862576592556,24.55105006498679,26.67791241429291,28.96815892749248,31.43073776159773,34.07450425366484,36.908113426584855,39.939900238045425,43.177748392437756,46.628949032322616,50.30005115829178,54.19670617224197,58.3235094726027,62.6838425202299,67.27971920745043,72.11164066704022,77.17846282233035,82.47728097929341,88.0033355797538,93.74994286565932,99.70845365343004,105.86824270284465,112.21673031636054,118.73943686146748,125.8142859034854,133.70898296200528,142.62963363374843,152.75146195595602,164.23802157013182,177.25310965129762,191.96808651076827,208.56629148897366,227.24558130863758,248.21959011225744,271.7180423387219,297.9862865359292,327.2841243638396,359.8839611379372,396.06828726781754,436.12650396721267,480.35112473668664,529.0334110156622,582.4585315091748,640.9003658814179,704.6161010274432,772.2455619336772,842.7131072768638,915.188398569798,988.9624580394102,1063.390385857721,1137.8673572651833,1211.8209741084065,1284.7112780141808,1356.0339272790986,1425.3242179018098,1492.160782764193,1556.1684251672414,1617.0198829330016,1674.4365052687863,1728.187924028212,1778.0908504648887,1824.0071485808232,1865.8413386901846,1903.5376770986504,1937.0769443743125,1966.473058459106,1991.769611710828,2013.0364140702038,2030.3661086541774,2043.8709116115754,2053.6795152508084,2059.934182324666,2062.788049899916,2062.402653352521,2058.945674579189,2052.5889133506817,2043.5064766939915,2031.8731781242636,2017.8631363067373,2001.6485611792843,1983.3987145861163,1963.2790319557166,1941.4503914076975,1918.068516813871,1893.283501700333,1867.2394414027026,1840.0741615285633,1811.919031500901,1782.8988527225988,1753.1318116899142,1722.7294891727327,1691.7969173562499,1660.4326775912741,1628.7290321203789,1596.7720838290186,1564.641958710793,1532.4130063323264,1500.1540141349565,1467.9284319178785,1435.7946033115375,1403.8060014724706
A,0.613540307239136,0.5889986949495706,0.6037755495141807,0.6427822029014022,0.6979109935779184,0.7649357704307996,0.8418002639250521,0.9276732234531057,1.0224275441726913,1.1263539875938016,1.2400047735148334,1.3641091094862765,1.499528591360153,1.6472347121938704,1.808298625369964,1.9838876781902748,2.175265644260845,2.3837949105980085,2.6109396020666202,2.858269019112429,3.1274609729791565,3.420304707915337,3.738703148042748,4.08467422326947,4.460351028573231,4.867980562864091,5.309920782976333,5.788635698997556,6.306688232154338,6.866730558480318,7.471491672931692,8.123761931759203,8.826374367839177,9.582182625990892,10.394035434199523,11.264747612499233,12.197067723448885,13.193642584879193,14.256978993817448,15.389403145747577,16.59301836987727,17.86966193199271,19.220861774160692,20.647794157091866,22.15124323883247,23.731563656001995,25.3886471660478,27.121894358120176,28.930192345925303,30.81189922078693,32.764835872329186,34.78628558524971,36.95774617501379,39.34026135732561,41.98379486022478,44.93321777680906,48.232111004153325,51.92517728464844,56.059774014669706,60.68688641019796,65.86173407402651,71.64412215444207,78.09859651609133,85.29443060942594,93.30545333522579,102.20971780782182,112.08900772418153,123.0281792031341,135.11434017079438,148.43587560865507,163.08133433988166,179.1382006457952,196.69158106428287,215.47991673609943,235.2898856007375,255.95093276594378,277.31113461331984,299.2262265881877,321.55523892736494,344.15940987300127,366.9026578439322,389.6527150503712,412.28245186412556,434.6711481777803,456.70559143884196,478.2809495964003,499.30140574484176,519.6805628478329,539.3416386270675,558.2174764521607,576.2504001746308,593.391940713439,609.6024607105779,624.8507013124158,639.1132724808242,652.374105454022,664.6238832292423,675.859462335115,686.0832967650966,695.3028727878369,703.5301614482514,710.7810939219818,717.0750634741208,722.4344565830112,726.8842148008978,730.4514281132667,733.1649599059056,735.0551031320272,736.1532668715877,736.4916921732955,736.1031958506971,735.0209407529409,733.2782309359791,730.9083301103545,727.9443017281809,724.4188690867053,720.3642938624059,715.8122715425004,710.7938422855282,705.3393158156515,699.4782090335145,693.2391951075235,686.6500628913718,679.7376855950564,672.527997716393,665.0459793172809,657.315646803097,649.3600494341766,641.2012708651044
IH,0.0,0.11416301568134518,0.19919554410922072,0.26806431810425035,0.32832067429359924,0.3844873406478172,0.43938731279347143,0.4948864898685591,0.5523109711613325,0.61268348248754,0.6768590111615862,0.7456040897136761,0.8196444280430832,0.899694649587331,0.9864778122759613,1.0807390169153184,1.183255521744495,1.2948447264133107,1.4163707927444884,1.548750328934638,1.6929573649442373,1.8500277267981295,2.02106284142637,2.2072329521415552,2.4097796871784802,2.630017894103993,2.869336628312415,3.129199162854084,3.4111418690869604,3.716771803308993,4.047762824261336,4.405850061123343,4.792822552481087,5.210513884982259,5.660790677244968,6.145538781222497,6.666647110574303,7.225989054228219,7.8254014933079095,8.466661510369653,9.151460960113202,9.881379158241325,10.65785403693047,11.48215220763574,12.355338460225111,13.27824530682376,14.25144324421608,15.275212455383647,16.34951669453431,17.473980097552726,18.647867629220332,19.870069819384728,21.139092353723004,22.468819613158328,23.881412131918534,25.403392902329806,27.063647959355812,28.892545640720616,30.921686679630017,33.18399085679047,35.71394510967823,38.547909715698694,41.724421244053644,45.284454955893494,49.27162259346454,53.73228868350146,58.71559248999158,64.27336537911111,70.45993568739217,77.33181582960427,84.94726964068767,93.36576187761563,102.64729629739695,112.85165353198497,123.97373569579192,135.9663122250617,148.75721219190876,162.25854742953973,176.37202877141104,190.99239095249965,206.0099116468109,221.31248978284717,236.787486885051,252.3234067166528,267.81142867392845,283.1467859237948,298.2299727030287,312.96776721462624,327.27406219823393,341.07050188326605,354.2869303036112,366.8616612255246,378.74158398058256,389.88212229116834,400.2470648327781,409.80828695768236,418.54538288974277,426.4452269698181,433.50148135015763,439.7140660489647,445.0886056046227,449.6358648119117,453.371184257701,456.313924659897,458.4869273932873,459.9159970880469,460.62941082852245,460.65745727003934,460.0320079315428,458.7861220084176,456.9536852756688,454.56908300715907,451.6669063106229,448.2816908588013,444.44768667213305,440.19865736612195,435.5677071054203,430.5871333962031,425.28830378880997,419.70155454506687,413.85610934128607,407.78001612172494,401.5001002821999,395.04193244437056,388.4298091734747,381.68674509225065,374.83447494829704,367.8934642986282,360.88292758159724
IN,0.11416301568134518,0.20749491167030343,0.27466366357451594,0.32830728339734144,0.3756136786735987,0.420753319011508,0.46622819047121067,0.5136211417784248,0.5640132438074502,0.6182172200331395,0.6769089057378311,0.7407021274361156,0.8101921554108729,0.8859816750793672,0.9686970129528377,1.0589989087072826,1.1575902115874854,1.265221813607503,1.382697535434148,1.5108783439214473,1.6506860869453062,1.8031068171778712,1.9691937061465885,2.150069503684299,2.3469284649116156,2.561037641396574,2.793737412129985,3.046441112098302,3.32063360117481,3.6178686040519623,3.9397646436830596,4.287999387152956,4.664302225203473,5.07044491604549,5.508230141844992,5.979477853518112,6.486009317125291,7.029628823767399,7.612103084502802,8.235138401831216,8.900355788386713,9.609264289487085,10.363232856105279,11.163461204890819,12.010950187669721,12.906472269572584,13.8505427776489,14.843392625823299,15.884943243250712,16.97478442842335,18.112155818954314,19.295932606509176,20.52461603920242,21.81209778231637,23.180442934792676,24.65593464061032,26.26706916733149,28.043685265601013,30.016728950018816,32.21835398413361,34.68218066583375,37.443608926761506,40.540124702540695,44.01156291524585,47.900303822439,52.2513866988737,57.11252879664196,62.53404010324078,68.56862668198168,75.27107795582906,82.69783647807388,90.90645257924734,99.95493067137089,109.9009786817595,120.73736767570668,132.4151621162614,144.86114210620553,157.98708894006458,171.6950850274185,185.88088663369265,200.43637526452525,215.25156227740848,230.21635479104197,245.22216021367967,260.1633459633283,274.93854617686776,289.45180055039117,303.61351245196954,317.34121905974854,330.5601728444826,343.2037398839355,355.2136256401203,366.53994272654785,377.1411378409431,386.98379655487474,396.0423452047496,404.29866890490285,411.7416638848826,418.3667411051697,424.1752965723509,429.1741620763188,433.37504830524944,436.79399053419434,439.4508053863383,441.36856557218357,442.5730980474154,443.09250971027393,442.9567435905498,442.19716746487506,440.8461959619884,438.9369464888896,436.5029287038016,433.5777667728853,430.19495326235347,426.3876332236573,422.18841681475703,417.6292186537891,412.74112201216013,407.5542659126211,402.09775319556263,396.3995776459551,390.4865683273164,384.38434934200666,378.1173133240341,371.7086070671912,365.1801277941942,358.5525286786536,351.8452323387863,345.0764511278903
D,130.0,130.0,130.00036517894023,130.00100235567615,130.00185982639917,130.00291004213827,130.0041399209983,130.0055454111413,130.00712842927393,130.008895133963,130.0108549552194,130.01302005794466,130.01540505898623,130.01802689655602,130.02090479476763,130.02406029061618,130.02751730448796,130.03130224302402,130.03544412752245,130.03997474351897,130.0449288085497,130.05034415582907,130.0562619319199,130.06272680657437,130.06978719286042,130.07749547550418,130.0859082451004,130.0950865354847,130.1050960611373,130.11600745100614,130.12789647461054,130.14084425572526,130.1549374683695,130.1702685092495,130.18693564025668,130.2050430941287,130.22470113597208,130.2460260730557,130.26914020515127,130.29417170775386,130.32125444080128,130.35052767605146,130.38213573709834,130.41622754712134,130.4529560808732,130.49247771910322,130.53495150555878,130.58053830886382,130.6293998938776,130.68169790951814,130.73759280240813,130.79724266797643,130.86080205273427,130.92842072325504,131.00029285877488,131.07668352453754,131.15794262620707,131.24451246865027,131.3369324974526,131.4358432410432,131.54199052999786,131.65623050998184,131.7795356340957,131.91300162428877,132.0578552721246,132.21546287222503,132.38733902773922,132.57515552603434,132.7807499500573,133.00613366551858,133.2534988072123,133.52522388137152,133.82387760711734,134.1522206405854,134.51320486120454,134.90976584154237,135.3446880754032,135.82052519983978,136.33954971963598,136.90371973710955,137.5146566373175,138.17363083103245,138.8815541457307,139.6389781065709,140.44609759013045,141.3027593830864,142.20847514921422,143.16243825823463,144.16354388665027,145.21041177536935,146.3014110247832,147.4346863238903,148.60818504285237,149.81968466408333,151.06682008163148,152.34711035857285,153.65798459426804,154.9968066151024,156.36089826175973,157.74756110173374,159.15409644667636,160.57782359973135,162.0160962979292,163.46631734900183,164.9259514907765,166.3925365249268,167.86369279568578,169.33713109860844,170.81065911508438,172.2821864755227,173.74972855843197,175.21140913444165,176.66546196407418,178.11023145615596,179.5441724904947,180.96584950414913,182.37393493554123,183.7672071150379,185.14454768465217,186.50493862334696,187.8474589482011,189.1712811555265,190.4756674599951,191.7599658840124,193.02360624400845,194.2660960750501,195.48701653022735,196.68601828665302,197.86281748563925
R,0.0,0.04537273198195237,0.12642616936129897,0.23494962765538221,0.366664760589732,0.5195790603842666,0.6930697110787098,0.8873736408015466,1.103304220218309,1.3420950421214717,1.605315501003634,1.894827428166705,2.2127656453033344,2.5615328539629685,2.943803477961118,3.362533413994143,3.820973949350739,4.322688832637259,4.8715738875881165,5.471878781924436,6.128230680782682,6.845659570643231,7.629625058865496,8.486044449127826,9.421321871631209,10.44237821299129,11.556681546738352,12.77227771285164,14.097820635023403,15.54260189861557,17.116579041965892,18.83040194057996,20.695436589997236,22.723785521415444,24.92830401767887,27.322611239650954,29.921095328392212,32.73891152134553,35.79197231541583,39.09692873083912,42.67114178110191,46.53264333922655,50.70008571177044,55.19267938981909,60.03011864034585,65.23249482895405,70.8201976216134,76.81380449198862,83.23395925397432,90.10124063625415,97.43602220622464,105.2583252231391,113.58766624367712,122.44629128988645,131.86381057438356,141.87966991750085,152.544466899633,163.92070944333216,176.08336055469235,189.12035848127476,203.13320903325803,218.23769205397792,234.5646917208882,252.26114105389155,271.4910590085429,292.43665052448705,315.29943406806234,340.3013566644415,367.685852838899,397.71880129314496,430.68933172372215,466.91043420579075,506.7193252644853,550.4775283108074,598.5569145565723,651.3186266125886,709.099933618158,772.2062564499171,840.9060344330409,915.4272987665138,995.9554068647545,1082.631676077012,1175.552785930819,1274.770872222449,1380.294253580212,1492.088731994783,1610.0794036943942,1734.1529108234945,1864.1600600398624,1999.9187322636508,2141.217008498991,2287.816439623986,2439.455392859968,2595.852413792124,2756.7095498482595,2921.715588632638,3090.5491721085064,3262.881755049121,3438.3803832241674,3616.7102733088736,3797.537182401792,3980.529560262441,4165.36048191459,4351.709362114478,4539.263456384842,4727.719155908256,4916.783085608635,5106.173016284694,5295.618602752013,5484.86196065934,5673.6580950256675,5861.775193649899,6048.994798422947,6235.111867266684,6419.934738974341,6603.28501266701,6784.997352940828,6964.919231084482,7142.910612018693,7318.84359586604,7492.6020223157,7664.081045215217,7833.186684109514,7999.8353587632755,8163.953412051684,8325.476625990104,8484.349735097909,8640.525940756574,8793.966429727805
G,9720.0,9720.0,9720.178335674023,9720.472133432635,9720.848186443089,9721.289835323822,9721.789728208021,9722.345829173737,9722.959223181222,9723.632915376553,9724.371181263874,9725.179222414381,9726.062991930545,9727.029114455538,9728.084859002027,9729.238141371157,9730.497543132602,9731.87233974087,9733.372533418858,9735.008888080165,9736.792964414188,9738.737153670572,9740.854708845847,9743.159772004032,9745.667396417011,9748.393562127023,9751.355183436768,9754.570106740022,9758.05709703145,9761.835811391784,9765.926757746289,9770.351237252631,9775.131268800937,9780.28949431393,9785.849063827143,9791.833499712731,9798.266539886166,9805.171960397447,9812.573378446003,9820.494037552617,9828.956577346757,9837.982791152192,9847.593375241031,9857.807674237218,9868.643427645871,9880.11652282862,9892.240759907425,9905.02763403971,9918.486140256733,9932.622605598423,9947.440552628166,9962.940597598583,9979.514601589519,9997.474441520317,10017.09181082902,10038.624009841928,10062.33068641258,10088.484816219358,10117.380041850933,10149.33569375,10184.700286888781,10223.853942197093,10267.209961632538,10315.215649216843,10368.352389967627,10427.134956690832,10492.109999711747,10563.853679392567,10642.968420479418,10730.078796737327,10825.826590112092,10930.86510700507,11045.852871421608,11169.851620410038,11302.09881070792,11441.991150583002,11588.980281938198,11742.525206399661,11902.073408675742,12067.05641410018,12236.892395934627,12410.991947440678,12588.764952245718,12769.627454540247,12953.007959564431,13138.352891343571,13325.131104313996,13512.837443494924,13700.995403853858,13889.158970006984,14076.913732002811,14263.877377506491,14449.699658950045,14634.061928584784,14816.676326513236,14997.284697809479,15175.65730551907,15351.5913971688,15524.90967373696,15695.458702030883,15863.107304192106,16027.744951636705,16189.280185131574,16347.639077869402,16502.763754280768,16654.61097384656,16803.150786278977,16948.365262056064,17090.247300357238,17228.799514893726,17364.033196902164,17495.967353620952,17624.627819852525,17750.046439690923,17872.260315129,17991.311118023623,18107.244461765393,18220.109328950515,18329.957551368527,18436.843338685863,18540.822852309386,18641.953821045794,18740.295195324063,18835.90683691216,18928.849241230557,19019.183289539775,19106.970028453492,19192.270474400582,19275.14544082644
H,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,22082.41436243713,21034.668132987983,19986.921903538834,18939.175674089685,17891.429444640537,16843.683215191388,15795.936985742239,14748.19075629309,13700.444526843941,12652.698297394792,11604.952067945644,10557.205838496495,9509.459609047346,8461.713379598197,7413.9671501490475,6366.220920699898,5318.474691250748,4270.728461801598,3222.9822323524486,2175.236002903299,1127.4897734541494,79.74354400499988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
