series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
S,42211.46550493688,42184.966271823425,42163.33138399125,42144.11689846189,42126.08739790493,42108.617321288715,42091.390501139555,42074.24824461177,42057.11219914981,42039.94508744667,42022.730682510526,42005.46357835352,41988.143955221465,41970.77489447175,41953.36099648125,41935.90766528314,41918.420734837615,41900.906270680396,41883.370461837076,41865.8195593805,41848.25983924273,41830.69757777149,41813.13903410114,41795.590436274724,41778.05796952868,41760.54776591304,41743.06589481364,41725.61835414759,41708.21106211045,41690.849849409555,41673.54045194802,41656.288503939875,41639.09953144517,41621.97894631869,41604.93204056787,41587.96398111701,41571.079804974666,41554.28441480144,41537.582574874614,41520.97890744562,41504.47788948565,41488.08384981379,41471.800966601484,43161.33086609468,44850.24382956242,46538.552854420144,48226.22950115138,49913.219029026586,51599.448667544224,53284.8318296846,54969.26993354897,56652.65280254559,58334.85819622584,60015.75077665823,61695.180670791,63372.98170553931,65048.969343900186,66722.93832215395,68394.65997137241,70063.87919602636,71730.31107571001,73393.63705144587,75053.50065504882,76709.50273844854,78361.19615985047,80008.07988554963,81649.59247069719,83285.10489014267,84913.91270261086,86535.22754908091,88148.16801064122,89751.749883749,91260.59516849153,91136.47725638743,91002.20889456647,90856.80093738406,90699.47848796907,90529.57427794753,90346.49101829782,90149.69281409531,89938.70885187878,89713.1421378916,89472.68002581244,89217.10491193322,88946.30416160732,88660.278633704,88359.14932787462,88043.16179095511,87712.688022367,87368.225726363,87010.39487207966,86639.93163606747,86257.67990976339,85864.58064962941,85461.65942479957,85050.0125721538,84630.79239987742,84205.1918878966,83774.42931900715,83339.73324131558,82902.328114954,82463.42093846887,82024.18908732387,81585.76953270196,81149.24954670777,80715.65894285298,80285.96385025035,79861.06197738013,79441.77928709552,79028.86797862269,78623.00565419841,78224.79553689825,77834.76760119658,77453.38047784448,77081.02399873247,76718.02225455426,76364.63704742711,76021.07163138936,75687.47464523827,75363.94415396525,75050.53172667857,74747.24649006165,74454.05910687897,74170.90563866335,73897.69126041447,73634.29380287492,73380.56710473,73136.34416293388,72901.44007434903
E,0.0,26.499233113458594,40.18980622324794,47.35562347975383,51.18818576356105,53.31234440425079,54.55643627135281,55.342993069430875,55.88753368521094,56.29989045819721,56.63591832129206,56.923906222029316,57.17807601364839,57.40548480959444,57.60955502260275,57.79187938981746,57.95314322813306,58.093594824898844,58.213284542528996,58.31218559780981,58.39025437776378,58.44745992867459,58.48379778992535,58.49929592949601,58.494016737316294,58.46805708559029,58.421547469017625,58.354650729451365,58.26756061128097,58.16050026368888,58.033720741246746,57.88749952293894,57.72213905513664,57.53796531785761,57.335326411534744,57.1145911613021,56.876147736400284,56.62040228316906,56.347777570981926,56.05871165127451,55.75365653048539,55.43307685825725,55.09744863264726,54.74725792438049,55.118988362733916,55.98321480514793,57.22072935357573,58.77436315195999,60.622116004118055,62.76239976183675,65.20609727348136,67.97242346628214,71.08689660183157,74.58048219936069,78.48939761726334,82.85530249532272,87.72573107566974,93.15469383008096,99.20341441602362,105.94118859847681,113.44636255491157,121.80743330982817,131.12427620630746,141.50950443030897,153.08996411915462,166.00836559230765,180.4250465960025,196.5198568618758,214.49414435122773,234.57281183267835,257.006397434189,282.07311405303216,310.08075962256254,341.2382779956623,373.2054047539199,406.7285696948109,442.11617856536213,479.4765503806595,518.8155513977979,560.0758951074043,603.1523876963417,647.8975521352836,694.1237767083535,741.604651978897,790.0766756704344,839.2418484281875,888.7713685746975,938.3104600630354,987.4842540395266,1035.9045603037716,1083.177300917637,1128.9103327844514,1172.7213601223052,1214.245632158275,1253.1431355905636,1289.1050233658882,1321.8590676613844,1351.17398121852,1376.8625124732216,1398.7832814717697,1416.8413811160717,1430.9878184852055,1441.2179115315234,1447.5687861385159,1450.1161371458,1448.970425116804,1444.272679584648,1436.1900708877379,1424.9113983042103,1410.642623822563,1393.6025602241243,1374.0188006624649,1352.1239557992944,1328.152244707041,1302.3364678139683,1274.905374541716,1246.081425152906,1216.0789357065983,1185.102586805023,1153.3462708116926,1120.9922481795056,1088.210581171025,1055.1588122984938,1021.9818549843262,988.8120649896615,955.7694628515612,922.9620797110236,890.4864013374818,858.4278877241322
I,62.89997954618036,53.16005554385224,48.57186554748552,46.57654036510026,45.87545530149,45.809892197674834,46.04654387647871,46.41760772664155,46.839361256353826,47.27067911815148,47.691905598593394,48.09410843624458,48.47362811676614,48.829327235925994,49.16121483613517,49.469769126320394,49.75561326016287,50.01936812542352,50.26159260517358,50.48276596527604,50.683289575750976,50.863496658757605,51.02366458173398,51.16402714906294,51.284785806505305,51.38611938472846,51.46819234236523,51.53116161443732,51.5751822249615,51.60041183182748,51.6070143619783,51.59516287752956,51.56504179444861,51.51684855734146,51.45079485776965,51.367107469600256,51.26602876309931,51.14781694959322,51.01274610028746,50.86110597599311,50.693201698842245,50.50935329237259,50.30989511246252,50.095175188356684,49.86555449032274,49.72260135613061,49.720611539988965,49.88908265535499,50.24508420836797,50.800017599237826,51.563300382934365,52.54438817050825,53.753914360423515,55.20437444153575,56.91058662646564,58.89005428772224,61.16329845635613,63.75419827615683,66.6903614603738,70.00353871224394,73.73009207138495,77.91152525041201,82.59508315500516,87.83442734155274,93.69039381027632,100.23183902659765,107.53657922501552,115.69242670222442,124.79832476104586,134.96558001063715,146.31918661810462,158.99923156941728,173.16236273865712,188.98329228325042,206.6384074275699,225.95500614626567,246.8897597615595,269.44845338158086,293.6508696917687,319.51453465664537,347.0463837402058,376.2378147779522,407.06128018818333,439.4677022852826,473.3844726529999,508.7139957240355,545.3328147889393,583.0913813532794,621.8145240316999,661.3026535237934,701.3337120480996,741.6658429990935,782.0407227839066,822.1874646617458,861.826976481463,900.6766325649537,938.4551060882911,974.8872029402828,1009.708541233047,1042.669931767423,1073.54133262328,1102.1152740587665,1128.2096762555814,1151.6700102953232,1172.3707803698426,1190.2163311297363,1205.141007088964,1217.108710310758,1226.1119177317528,1232.1702302896304,1235.3285326282562,1235.6548448987285,1233.2379475393823,1228.1848564761244,1220.6182205465482,1210.6737057204757,1198.4974224299451,1184.243443535392,1168.0714515688558,1150.144545255647,1130.6272271888852,1109.6835871070446,1087.475688626019,1064.1621615691051,1039.8969972379025,1014.8285400539859,989.0986659267934,962.8421353992785,936.1861080089578
A,74.24654917786029,59.39723934228823,51.81857807927602,47.977608972360564,46.06783530056916,45.162035591547664,44.782143651205494,44.680144381321256,44.72620197824561,44.851426197765306,45.01853047186137,45.206750719674616,45.40406693114439,45.60317128411022,45.79936287998857,45.98943645247184,46.17108628741262,46.34257903941818,46.5025683288464,46.649985225729395,46.78397023921664,46.903828698305524,47.00899984245127,47.099034339266495,47.17357726200335,47.232354795057496,47.27516360816188,47.301862216200895,47.312363860075585,47.306630576936584,47.28466821328888,47.24652219212463,47.19227388626909,47.12203748058421,47.035957229037535,46.93420503099198,46.81697826571532,46.684497835919274,46.53700638072751,46.37476662628721,46.198059848620616,46.00718442852645,45.80245448259812,45.58419855789576,45.35275838063209,45.227937542872915,45.26834355467196,45.50151515734231,45.940204922580634,46.59104430822333,47.45908072641761,48.55011837718341,49.87191917499832,51.43483422781312,53.252170080269536,55.34044999214293,57.71965386959003,60.4134803752036,63.449654259282724,66.86029183173264,70.6823327413342,74.95804417662073,79.73560282548813,85.06975965971264,91.02259241136136,97.66435020783118,105.07439402623896,113.34223522894689,122.56867225307991,132.86702232666545,144.36444062107768,157.2033132435294,171.5427026243077,187.55981386005323,205.4303223084509,224.91494677852103,245.9434067770626,268.50953170919183,292.6259651160234,318.3037739153577,345.5425141251209,374.3247577583174,404.6126271201432,436.34537094888043,469.4376423161942,503.7783976470434,539.2304372238927,575.6306372434906,612.790919032005,650.4999789861228,688.5257715239414,726.618701909503,764.5154501055315,801.9433140384165,838.6249335346633,874.2832367960937,908.6464409611305,941.4529375647794,972.4559022527593,1001.4274848878792,1028.1624596015927,1052.4812424164663,1074.2322146714607,1093.2933215482897,1109.5729446686746,1123.0100744912622,1133.573830970142,1141.26239895463,1146.1014578245204,1148.1421929291328,1147.4589798760862,1144.1468321444374,1138.318698551909,1130.1026905213564,1119.639310602438,1107.0787440023907,1092.5782645820905,1076.2997964040546,1058.4076618998404,1039.066538375748,1018.4396361225768,996.687103976721,973.9646618626788,950.4224546383468,926.2041174256145,901.446039467588,876.2768113156003,850.8168387061983,825.178105727255
IH,0.0,4.8340977698754655,8.585787213520385,11.725753003871088,14.495514133171653,17.020105342297,19.36530111216046,21.566717420789473,23.64461423239779,25.611417905233374,27.475535955719767,29.243284634409214,30.91985749300148,32.50980815192145,34.01728832966071,35.44616370815834,36.80006974463177,38.08243871120663,39.29651355341093,40.445356200408575,41.531853947712754,42.55872553138131,43.528527531876684,44.443661280427506,45.3063802330743,46.1187976965414,46.88289476936093,47.60052836806616,48.27343922539604,48.90325976746686,49.49152179621097,50.03966392061791,50.54903869502122,51.02091943490514,51.45650669070272,51.856934368123966,52.22327548999361,52.55654759966711,52.85771781007198,53.12770750549171,53.3673967055428,53.57762810253104,53.75921078462834,53.91292365817985,54.039518583010484,54.13972323491345,54.222020939133216,54.29848196523787,54.38260997130178,54.48828786297539,54.62931598632756,54.819265363787295,55.071496456749045,55.39926422496921,55.81586852144438,56.334829501909745,56.97007877454011,57.73616290197676,58.64845901400052,59.72340400025536,60.97873972392119,62.433777294279665,64.10968384608192,66.02979558832953,68.21996114430135,70.7089194186003,73.52871638733852,76.7151652924076,80.3083546961882,84.35320867298002,88.9001030186096,94.00554067622203,99.73288851445638,106.1531760478599,113.34595453653682,121.3988371811763,130.38011352918943,140.35002685426915,151.3651044362569,163.47948996601048,176.74493472658133,191.21014890143766,206.91981747828495,223.91342221658527,242.22394633111645,261.8765148787786,282.8870171134774,305.2607568162913,328.9911781125684,354.0587153245899,380.42981486412157,408.056174497586,436.8742403231997,466.8049945526078,497.75405797362987,529.6121202449538,562.2556995248917,595.5482210241403,629.341392570136,663.4768448081817,697.7879947799107,732.1020847218192,766.2423432738543,800.030213981967,833.2875959719456,865.8390437882452,897.513877352367,928.1481584513282,957.5864967297755,985.6836554319707,1012.305934740946,1037.3323181461362,1060.6553745419556,1082.1819154799375,1101.833412988595,1119.5461885195973,1135.2713878122981,1148.9747597749279,1160.6362598834407,1170.2495001528323,1177.8210685182855,1183.369740567412,1186.9256060909986,1188.5291319714145,1188.2301816063784,1186.0870094666648,1182.1652475969051,1176.5368989665296,1169.279350630074
IN,4.905826232452657,9.09297243324156,11.907065340559626,13.951055451711937,15.539987249384076,16.841467667003972,17.947173906677357,18.909356912090118,19.75952550328416,20.51804275018814,21.199081096808985,21.81320376268092,22.36872984276038,22.872474303996807,23.33016504254238,23.74669155046874,24.12626433015891,24.47252566787583,24.78863269797236,25.07732363932209,25.340972954758204,25.58163856417526,25.80110290142271,26.00090891535247,26.182391755562765,26.346706690211867,26.494853693943462,26.627699076708637,26.7459944782056,26.850393517475087,26.94146635788342,27.019712421927906,27.085571466924524,27.13943321120431,27.181645680741553,27.21252242806249,27.2323487587708,27.241387086013255,27.23988151962389,27.228061784448343,27.206146551372115,27.174346254764902,27.13286546131215,27.081904847440452,27.021662835663484,26.95233693409268,26.882017446225266,26.821844232435623,26.783625856257146,26.778772303739157,26.81791129441318,26.910848151398213,27.06668924668293,27.29403625456592,27.601205319481263,27.996450043465636,28.488180074903315,29.085173607995184,29.796785305486946,30.633152655146397,31.60540441835483,32.72587507022632,34.00832918839541,35.468199728940725,37.12284407772739,38.99182169483479,41.09719707006714,43.46387155707834,46.119947420119466,49.097127068593764,52.43114991778762,56.16226853538849,60.335764636856375,65.00250399066144,70.2195272884964,76.04927619392858,82.53157522994847,89.6970354372935,97.57223469014204,106.18140026389335,115.54657717574452,125.68712187868023,136.6188842801568,148.35324380377287,160.8960850730153,174.24676761538092,188.39713290773136,203.33058871861044,219.0213096012473,235.43359108146524,252.5213924349549,270.2280984898032,288.48652454125914,307.21918041006023,326.3388002938554,345.74913487568034,365.3459917715993,385.0185004548895,404.65056888726093,424.12249173472014,443.3126646379007,462.09935578465115,480.3624850776059,497.9853624296928,514.8563399510483,530.8703377021052,545.9302088995714,559.947917558892,572.8455091198521,584.5558622372786,595.0232172785468,604.2034838666249,612.0643358227294,618.58510694723,623.756505148718,627.5801654662764,630.0680645565238,631.2418203024632,631.1319004423242,629.7767636293789,627.2219552440475,623.5191787157166,618.7253611978591,612.9017302919174,606.1129162367806,598.4260916614596,589.9101587138883,580.6349911890172,570.6707372306972
D,0.01,0.01,0.014840570676062911,0.023437854346176464,0.03517930825283942,0.04969423202718704,0.066737127464022,0.08612835891176066,0.10772395438700444,0.13140022899886714,0.1570459408537308,0.1845582668321513,0.21384070852276052,0.24480196802010884,0.2773553071365157,0.3114181449619854,0.34691177144464896,0.38376111685776904,0.42189454834258133,0.4612436803281866,0.5017431932728039,0.5433306587962836,0.5859463708949493,0.629533183568874,0.6740363553647668,0.7194034013027776,0.7655839525395199,0.8125296239828508,0.8601938899435903,0.9085319677961565,0.9575007095269191,1.0070585009752784,1.0571651685159364,1.1077818928890126,1.1588711298550933,1.210396537332747,1.2623229086645635,1.314616111652746,1.3672430330053538,1.420171527838348,1.4733703738857162,1.5268092300794174,1.5804585991720903,1.6342897940879226,1.688274907700411,1.742386785749625,1.7965990026257919,1.8508936274036434,1.905264815589693,1.959720244430064,2.0142814926658827,2.0689839578631486,2.1238766267820264,2.1790218645338704,2.234495308938317,2.2903859154766386,2.346796177889468,2.403842540180179,2.4616560123927815,2.520383002291201,2.5801863765381685,2.6412467674161317,2.703764144174591,2.7679596715408077,2.8340778816984664,2.902389190066101,2.9731927894485333,3.046819961536587,3.123637849217273,3.204053737618976,3.288519896098175,3.3775390372608785,3.471670452314257,3.571536884183004,3.677832200415603,3.791329926340591,3.912891317802162,4.043446011632321,4.183983968603125,4.335551752457075,4.499250143126484,4.676231741122211,4.8676979223620185,5.074894807585024,5.299108052156289,5.541656338820514,5.803883509022002,6.08714931473484,6.392818818816008,6.72225051946945,7.076783323022753,7.45772253728667,7.866325103161193,8.30378432254521,8.771214373743632,9.269634929474456,9.799956205746714,10.362964771384299,10.959310437546767,11.589494524656383,12.25385977172253,12.95258211173995,13.685664488615473,14.452932838197219,15.254034300790353,16.088437677346942,16.95543608844025,17.854151746022684,18.78354270431872,19.74241141912822,20.729414915021813,21.743076337727732,22.781797654421315,23.84387325732096,24.92750422541632,26.030813004575812,27.151858276853286,28.2886498046256,29.439163053315276,30.601353416980977,31.773169893142775,32.95256807607724,34.13752236078927,35.32603727236506,36.51615785695877,37.705979090889855,38.893654282951886,40.07740246186504,41.25551475573164
R,0.0,15.567989867235813,29.108532927357118,41.80094230433549,54.23830493201443,66.71499916985657,79.37302280848054,92.27666741241696,105.45070013368768,118.89991578817248,132.61915999771904,146.59846949798555,160.82570556607027,175.28789766805886,189.9719219940647,204.86483623803736,219.95403643382144,235.2273217273009,250.67291178003003,266.27944020400923,282.03593636217596,297.931802081798,313.95678677392794,330.10096282147686,346.3547022148699,362.7086549269001,379.15372924434683,395.6810741169352,412.2820634930556,428.94828255862456,445.6715157652139,462.44373651738306,479.25709838188146,496.10392767990066,512.9767173258568,529.868121780947,546.7709529960612,563.678177225914,580.5829126040555,597.4784273764103,614.3581386989683,631.2156119130462,648.0445602190612,664.8388446769383,681.5924744680644,698.2996073600914,714.9784403001377,731.66065432001,748.3858916624878,765.1989940684797,782.1487459769054,799.287437498092,816.6708796859929,834.3586793568854,852.4146758116217,870.9074931497329,889.9111894445373,909.50599893673,929.7791716308897,950.8259194929508,972.7504815716028,995.6673227019929,1019.702482450971,1044.9950928449123,1071.6990852674473,1099.9851087311736,1130.042683468335,1162.082615361481,1196.3396980150733,1233.0757300753178,1272.5828755069135,1315.1873936387467,1361.253763532088,1411.1892231636748,1465.4487375309063,1524.5361773076625,1588.9226674627766,1659.075758890616,1735.4703530143586,1818.591620855689,1908.9341811268728,2006.9993155283798,2113.290971102843,2228.31088263855,2352.5529889095415,2486.4972662765254,2630.6030986203937,2785.302316148214,2950.9920546099024,3128.0276045105597,3316.7154334213324,3517.3065713275782,3729.990547870024,3954.8900608397244,4192.056537565292,4441.466725681934,4703.0204185223265,4976.5393847421965,5261.767533751668,5558.372310102575,5865.947273128318,6184.015784565273,6512.035697990279,6849.404920678846,7195.467701496926,7549.521487854304,7910.8241903783055,8278.601695323297,8652.055471102856,9030.37012586041,9412.720786751413,9798.280187658434,10186.22536950653,10575.743915379318,10966.039660554643,11356.337834803498,11745.88961037507,12133.976043695366,12519.911411721727,12903.045955005267,13282.768048787782,13658.505830937156,14029.728321296998,14395.946071221982,14756.711384845035,15111.618155145738,15460.301358335651,15802.436249618559,16137.737302186939
G,87.0,87.0,90.64352811693598,96.16944988084703,102.68064003132295,109.71879065575568,117.04900375984768,124.55027402919535,132.1596924021917,139.84398271717646,147.58497027657398,155.3721601906592,163.1989471756929,171.06068139026618,178.9536833150604,186.87474399747003,194.8208734792485,202.78917603021097,210.77679005859218,218.78086089723755,226.79853019641826,234.82693360981273,242.86320253509942,250.90446775664154,258.94786390427663,266.99053418618354,275.02963513004335,283.0623412059851,291.08584927417706,299.09738283378977,307.0941960660258,315.07357767098824,323.03285450092136,330.9693949931164,338.88061240568476,346.7639678590179,354.6169731853425,362.4371935884503,370.2222501154702,377.9698219424623,385.6776484756343,393.34353127009314,400.9653357682299,408.5409928600772,416.0685002682564,423.6471189783462,431.3445650269048,439.2121638883017,447.2933805703954,455.6286551507371,464.2582093434766,473.22376120659555,482.56967076614035,492.3438066970005,502.59829529689904,513.3902425912011,524.7824826226916,536.8443851835862,549.6527462686502,563.2927798565377,577.8592277891054,593.4576041633636,610.2055910283405,628.2346028538908,647.691537928123,668.7407353256722,691.5661561630384,716.3738072923137,743.3944241134406,772.8864264863282,805.1391574133611,840.4764077886673,879.2602215572982,921.894963527694,968.8137273699788,1020.1278306797371,1076.0512218699355,1136.8402537886386,1202.7661726725378,1274.101031342899,1351.109005977663,1434.0398090676802,1523.1228756602743,1618.5618450161917,1720.529226093469,1829.161297444942,1944.553364021556,2066.7555219883434,2195.7690873627494,2331.543833341992,2473.9761586764207,2622.9082781314487,2778.128488519751,2939.3725226637775,3106.3259617573954,3278.6276366594743,3455.8739131161146,3637.623726743927,3823.4042121777366,4012.7167577850823,4205.043312811082,4399.852777191882,4596.607314552274,4794.768444756072,4993.80279231294,5193.187389440391,5392.414456198049,5590.99560358667,5788.465427794002,5984.384484078962,6178.341646568901,6369.955875187152,6558.877422915631,6744.788525680161,6927.403623499879,7106.469165429896,7281.763052565684,7453.093773311351,7620.299283587428,7783.245681997903,7941.8257264947915,8095.95723504154,8245.581408415454,8390.661108797038,8531.17912332564,8667.1364374762,8798.550539020136,8925.453769536074,9047.891736971986
H,51086.647220719424,51086.647220719424,51086.647220719424,51086.647220719424,51086.647220719424,51086.647220719424,51086.647220719424,51086.647220719424,51086.647220719424,51086.647220719424,51086.647220719424,51086.647220719424,51086.647220719424,51086.647220719424,51086.647220719424,51086.647220719424,51086.647220719424,51086.647220719424,51086.647220719424,51086.647220719424,51086.647220719424,51086.647220719424,51086.647220719424,51086.647220719424,51086.647220719424,51086.647220719424,51086.647220719424,51086.647220719424,51086.647220719424,51086.647220719424,51086.647220719424,51086.647220719424,51086.647220719424,51086.647220719424,51086.647220719424,51086.647220719424,51086.647220719424,51086.647220719424,51086.647220719424,51086.647220719424,51086.647220719424,51086.647220719424,51086.647220719424,49380.94961987083,47675.252019022235,45969.55441817364,44263.856817325046,42558.15921647645,40852.46161562786,39146.76401477926,37441.06641393067,35735.368813082074,34029.67121223348,32323.973611384885,30618.27601053629,28912.578409687696,27206.8808088391,25501.183207990507,23795.485607141913,22089.788006293318,20384.090405444724,18678.39280459613,16972.695203747535,15266.99760289894,13561.300002050346,11855.602401201751,10149.904800353157,8444.207199504563,6738.509598655968,5032.811997807374,3327.1143969587793,1621.4167961101848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
