series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
S,7493430.250865342,7488914.370854407,7485178.791812388,7481758.04522866,7478393.877577055,7474938.582387786,7471303.472019232,7467431.220519683,7463280.963685048,7458820.2587558525,7454020.74765911,7448855.827117711,7443299.411460661,7437325.295213619,7430906.849813984,7424016.911531535,7416627.783956987,7408711.314153018,7400239.0207276875,7391182.26224234,7381512.439589476,7371201.228482084,7360220.839186559,7348544.300765507,7336145.766743363,7323000.838482249,7309086.901793428,7294383.471506121,7278872.537944603,7262538.90858996,7245370.537680425,7227358.836182392,7208498.954482433,7188790.030336863,7168235.395083792,7146842.731871531,7124624.180668788,7101596.386062034,7077780.485265556,7053202.035309916,7027890.879967837,7001880.958552456,7157959.589736158,7312514.5920931995,7465546.33120634,7617015.924572585,7766859.386427236,7914996.259036402,8061334.897835936,8205775.752374348,8348213.466752577,8488538.301889589,8626637.184326503,8762394.565393416,8895693.200762756,9026414.915263865,9154441.389983268,9279654.991197081,9401939.649389654,9521181.789005054,9637271.304186122,9750102.571738083,9859575.489448229,9965596.52546465,10068079.7625821,9995772.449494723,9910244.799294341,9823230.331044713,9734861.804017017,9645340.48875329,9554904.724600915,9463811.238313578,9372323.515497506,9280704.183464596,9189209.774849648,9098086.990090942,9007569.974251077,8917878.333922135,8829215.730589401,8741768.944630701,8655707.334212527,8571182.629163826,8488329.008630158,8407263.4166977,8328086.074149549,8250881.148005436,8175717.543903158,8102649.78983731,8031718.983277581,7962953.777188234,7896371.383889225,7831978.5789683815,7769772.690516672,7709742.561774108,7651869.477817116,7596128.049177976,7542487.0472630365,7490910.188137815,7441356.862688771,7393782.812373155,7348140.750751825,7304380.931788608,7262451.666516923,7222299.790142658,7183871.081993099,7147110.640954769,7111963.219186364,7078373.516962607,7046286.441514968,7015647.332698072,6986402.158237002,6958497.6812094,6931881.602295095,6906502.679191043,6882310.825445944,6859257.190821167,6837294.225135805,6816375.727406634,6796456.881950171,6777494.282975706,6759445.949065969,6742271.328816843,6725931.298789653,6710388.1548192585,6695605.597618539,6681548.713524759,6668183.951145579,6655479.094581841,6643403.233830386
E,0.0,4515.880010935351,7331.753607826435,9259.313105289424,10737.726339050003,12006.173038456662,13196.10269098825,14380.832053106795,15602.284421574474,16885.423537638933,18246.044333211197,19694.970143870025,21240.302415382448,22888.612454049206,24645.55634026381,26516.17340304948,28505.00933927273,30616.140595880053,32853.14186406004,35219.01985905886,37716.12661646111,40346.0603351083,43109.559170791734,46006.39215006652,49035.25087777614,52193.645589221516,55477.80913676681,58882.6125732107,62401.49601918533,66026.41842546483,69747.829628116,73554.66772422621,77434.38426109258,81372.99903781882,85355.18548352284,89364.3866310305,93382.9606895587,97392.35418283138,101373.29961317078,105306.0336908389,109170.531381315,112946.7504140517,116614.88049681137,121059.58695966912,126122.34644693893,131716.1686017187,137796.88281036334,144345.78622852822,151359.17186887862,158841.99359755064,166804.0018224213,175257.34436241828,184215.02938595717,193689.89102509004,203693.84526644333,214237.31212640632,225328.73322059732,236974.14575313326,249176.79318114062,261936.76443860083,275250.6606484016,289111.29248735163,303507.41382986115,318423.4985787715,333839.5680397529,349731.0760095453,364032.39288011915,376907.91741912556,388515.26763905736,398911.4497509795,408104.7912589785,416083.5362789121,422831.5642809097,428336.89614125737,432596.08708518517,435616.2260982798,437415.51379693183,438022.98252518015,437477.69699817913,435827.6471072137,433128.4713195964,429442.10509364156,424835.4207774779,419378.90653662034,413145.4181992351,406209.02751756343,398643.98215103213,390523.7861022142,381920.4040519049,372903.5888383651,363540.32806070236,353894.4033361063,344026.05399579514,333991.73586211365,323843.96511168143,313631.23700536316,303398.0093709263,293184.7410827519,283027.9763280768,272960.4661234765,263011.3193002933,253206.17597378715,243567.39731624798,234114.2662445997,224863.19438986163,215827.93142623839,207019.77349308864,198447.76803869256,190118.91294862202,182038.34829386495,174209.53944659256,166634.45066770405,159313.70857396247,152246.75514805168,145431.99016687745,138866.90309658667,132548.1946416562,126471.88824437563,120633.43191419895,115027.79082753474,109649.53118099918,104492.89580804271,99551.87208289927,94820.25263939152,90291.68942733578,85959.74161792149,81817.91785302297,77859.71331323164,74078.64205656192
I,9682.898072480277,8129.389914027841,7531.9832395090725,7471.185030747405,7721.857167789178,8163.724141898476,8733.245442338874,9397.650346549804,10140.901897787611,10956.098229065536,11841.352308400114,12797.552196586987,13827.13762458423,14933.424995632893,16120.227224569468,17391.630820344733,18751.85545251429,20205.155320186263,21755.74016166144,23407.703849100093,25164.954074065467,27031.13974268996,29009.57449863525,31103.155891699338,33314.28043989561,35644.75536808599,38095.70823643251,40667.496039178426,43359.615673950684,46170.61795406935,49098.027553002,52138.271418661374,55286.61826202411,58537.13169689513,61882.639475805205,65314.7210256838,68823.71513635498,72398.74920162537,76027.79086984879,79697.72234761689,83394.4369411717,87102.95674369829,90807.56971339585,94491.98376785548,98280.99511171386,102254.56459549739,106466.20790393009,110953.94084003245,115746.75250561934,120868.40079364514,126339.60733605312,132179.29542694188,138405.25380556541,145034.45335075207,152083.1510556101,159566.860847206,167500.23864243831,175896.91033173373,184769.26067837919,194128.1951448031,203982.8834596811,214340.49215799716,225205.91266125123,236581.49129195197,248466.76767203596,260858.22807156562,273749.0803429095,286810.2943147066,299791.3617929562,312506.63725044206,324809.1828585288,336576.9387338994,347705.5879604989,358105.0267503145,367697.7323563747,376418.08045124065,384212.08498694375,391037.27024395426,396862.5195958737,401667.8234168267,405443.8941277611,408191.64318111853,409921.53039705666,410652.8047979146,410412.66045783757,409235.3324160084,407161.1573613578,404235.6222282706,400508.421497005,396032.54119586945,390863.3845966132,385057.95156003896,378674.0805577059,371769.75966159947,364402.5103194732,356628.8455565516,348503.8023814652,340080.54662678717,331410.0472114315,322540.81585383444,313518.7075657883,304386.77678807947,295185.1837601715,285951.1456164837,276718.92674182163,267519.86307056947,258382.4152531098,249332.24591607094,240392.3165907417,231583.0002595082,222922.2058593724,214425.51147297682,206106.30332189816,197975.91804718098,190043.786112893,182317.57449619006,174803.327129615,167505.60183683544,160427.60275136854,153571.30742935376,146937.58806297192,140526.32637191986,134336.52189796508,128366.39355373337,122613.47438333678,117074.69958107467,111746.48788706698,106624.8165370838,101705.28998971307
A,2915.670411659902,2334.1618267732297,2081.4770073873037,2011.9083936968295,2047.0660678497106,2144.8936194188955,2282.9956929316013,2449.639105935028,2638.886397990822,2847.96025455354,3075.8138875998784,3322.353743092665,3588.015060169818,3873.5281169215154,4179.7872672692365,4507.775080077822,4858.515676104442,5233.043174500905,5632.377581628329,6057.503956574401,6509.352610806642,6988.779170263881,7496.543940359303,8033.290380674102,8599.522731170422,9195.5829965565,9821.627621591204,10477.60429294026,11163.229388932898,11877.966668379611,12621.007841900322,13391.25570103529,14187.31048843886,15007.460173673775,15849.675251380131,16711.608601027758,17590.60084080925,18483.69147499296,19387.635978510854,20298.92879062317,21213.832008437417,22128.4093890328,23038.5650945077,23940.08645579715,24871.297776915053,25855.408211347956,26906.897918662253,28035.27721287038,29247.27812908288,30548.115327689404,31942.196933965824,33433.511470076235,35025.824538552086,36722.76383265332,38527.83843851,40444.41921562457,42475.695855812395,44624.6197680941,46893.83827567273,49285.62358634347,51801.79892481798,54443.66368859543,57211.91926688767,60106.59710027379,63126.99056972039,66271.59233349102,69538.03874562157,72827.07858554594,76067.0041243874,79207.83818598739,82212.25803147288,85050.7771610778,87699.23584796759,90137.5330352084,92349.01206073722,94320.17594673883,96040.55371035464,97502.62057439168,98701.72089877703,99635.96880681298,100306.11644553802,100715.38835078421,100869.28514284256,100775.3622681258,100442.99060325325,99883.10597577938,99107.95435642566,98130.83885186187,96965.87381621565,95627.75050125024,94131.51774804373,92492.38033491404,90725.51676987954,88845.91757208174,86868.24443724465,84806.71013235349,82674.97851395137,80486.08370852724,78252.36722542686,75985.43158382912,73696.10891589055,71394.44294812885,69089.68275257773,66790.28668877234,64503.93501851168,62237.54975975949,59997.320447107646,57788.734578027375,55616.61164171228,53485.13974660923,51397.91398049635,49357.97575069715,47367.8524598578,45429.596973358406,43544.82642704352,41714.76000809207,39940.25541736289,38221.84378855257,36559.76289827638,34953.988552154115,33404.26407566756,31910.127875529528,30470.939068170886,29085.901197324016,27754.084083161844,26474.443861621825,25245.841284953636,24067.05836368993,22936.813436622448
IH,0.0,786.9162059700708,1428.3293189983654,2005.500099889361,2563.6096629463927,3128.437111847677,3715.3562457671887,4334.200898142072,4991.901089117789,5693.913996878503,6445.00238663105,7249.659148061253,8112.339425806698,9037.58764503632,10030.106573228233,11094.79379722984,12236.7591917165,13461.330547448133,14774.05104621902,16180.670378140667,17687.1302732203,19299.544672540847,21024.174484046278,22867.39674072856,24835.667944286484,26935.481402774243,29173.318439082082,31555.593448704796,34088.592914226916,36778.40863575131,39630.86560671098,42651.44514815997,45845.2041058754,49216.69110658757,52769.86105469561,56507.989220625714,60433.58641802054,64548.31688091507,68852.92052639533,73347.14131663938,78029.66341211104,82898.05673252947,87948.7334139548,93176.91647128387,98576.62175044866,104152.15351809944,109914.20905052821,115877.57306817044,122059.75808338355,128480.20407825867,135159.80621656013,142120.63249046684,149385.74887932552,156979.1027305765,164925.4347310467,173250.20148171167,181979.49759518597,191139.9703577085,200758.72249934907,210863.20018702955,221481.06440168584,232640.0446221718,244367.77435260947,256691.6085749317,269638.4237260055,283234.4013082155,297504.79674889724,312473.695623723,328137.85442239675,344473.7505190103,361443.34959404054,378997.606379546,397078.7558345823,415621.9684178763,434556.6779996604,453807.7446491976,473296.5334994832,492941.9460767614,512661.4160006116,532371.8680339789,551990.6331832387,571436.3101260695,590629.5630601135,609493.8471540455,627956.0545544313,645947.0759853389,663402.2751347366,680261.8750983382,696471.2580499125,711981.1809683527,726747.9116451583,740733.290310985,753904.7230610406,766235.113841442,777702.7421045444,788291.0933776243,797988.6499453997,806788.6486526647,814688.8125180933,821691.0624417329,827801.2148122841,833028.670298686,837386.0985636119,840889.1230811004,843556.0096906439,845407.3619868618,846465.8261360949,846755.807235295,846303.1988889064,845135.1272787729,843279.7106417601,840765.8347498865,837622.9447074909,833880.8531377896,829569.564625015,824719.1161057138,819359.4327610339,813520.1988481012,807230.7428200339,800519.9360179387,793416.1041716472,785946.9509164017,778139.4925177471,770020.0029943046,761613.9688358265,752946.0525301233,744040.0641354515,734918.9401632843,725604.7290687793
IN,766.5919524823653,1466.840301911598,1983.4959149500187,2408.141811710425,2791.2239624717668,3160.9984500758014,3533.7538014566744,3919.338394332452,4324.153845016401,4752.778110351545,5208.846535851552,5695.530455536722,6215.797052354723,6772.549871374831,7368.7037331020765,8007.223066325471,8691.13927519887,9423.55548523652,10207.643069984273,11046.632224643447,11943.797702349477,12902.440218110807,13925.863714015717,15017.348537326436,16180.120540441085,17417.31613054707,18731.943356377928,20126.839207974386,21604.623415256014,23167.649156912536,24817.951227505553,26557.192352402217,28386.608481388896,30306.954026103966,32318.448126908675,34420.72313443055,36612.776562901076,38892.927810318775,41258.78093921136,43707.19476764235,46234.26143124812,48835.294443745646,51504.82710799196,54236.62191698329,57023.691340861056,59869.532651257774,62783.67092847567,65779.0437380718,68870.47868151563,72073.81518468095,75405.4027778142,78881.81656946585,82519.6953503053,86335.64625949784,90346.18277418974,94567.67629724876,99016.3096245776,103708.02533944233,108658.46505446387,113882.89719905167,119396.13220023333,125212.42470232735,131345.36307415625,137807.7469508966,144611.45399922764,151767.29750218583,159284.87674182918,167172.4225119307,175411.40407026213,183965.0617373213,192785.11965025577,201815.8468906166,210996.6722504693,220264.0078333776,229552.63537820565,238796.84339370386,247931.41183848298,256892.49098806366,265618.3941117931,274050.30957542156,282132.9313576898,289815.004523099,297049.7820805643,303795.3907910461,310015.1052139906,315677.53120569745,320756.7019608224,325232.091376814,329088.5509393698,332316.17743682466,334910.11960375326,336870.33227990725,338201.2868741695,338911.646877091,339013.91690700245,338524.0733426177,337461.184028012,335847.02387041476,333705.69242089294,331063.2387624242,327947.29825467046,324386.74492131546,320411.362531347,316051.5367334562,311337.9699625323,306301.4202556096,300972.46459537337,295381.2869439318,289557.4907375708,283529.93528267386,277326.5952207875,270974.4420129863,264499.346225694,257925.9992770936,251277.85322018655,244577.07709045472,237844.52832807845,231099.73779214968,224360.90691296748,217644.9155743321,210967.33937715486,204342.47500544158,197783.37249293437,191301.87327092874,184908.65296288184,178613.26797759125,172424.20503844655,166348.9328703087,160393.9553469768
D,51082.0,51082.0,51082.83198729805,51084.34212502533,51086.46249133205,51089.17293325783,51092.480553459405,51096.40870893615,51100.9911537595,51106.26896894207,51112.28900523776,51119.10314895588,51126.76803662834,51135.34501510274,51144.900235936504,51155.50482280831,51167.23507749588,51180.17270432273,51194.40504055548,51210.02528413158,51227.13271199551,51245.83288313785,51266.23782066987,51288.466167208,51312.64330764999,51338.90145319526,51367.37968025937,51398.22391780235,51431.58687656805,51467.6279138449,51506.51282763291,51548.413574555474,51593.50790650294,51641.97892184529,51694.01452810452,51749.806814226504,51809.55133202062,51873.44628791822,51941.69164790467,52014.48816026163,52092.03630256821,52174.53516119849,52262.18125326199,52355.16730250725,52453.68098209307,52557.90363827819,52668.02116811743,52784.230778634745,52906.74530837815,53035.79611144754,53171.6350953614,53314.53625958487,53464.79693553259,53622.7388417162,53788.70901559328,53963.08065234575,54146.25386179841,54338.65634297308,54540.74396841694,54753.001265732135,54975.94178068325,55210.10830431486,55456.07294537273,55714.437028832086,55985.830801422875,56270.91292567577,56570.3697451849,56884.914305491286,57215.28511722724,57562.21726174083,57926.420950481835,58308.56618214236,58709.271101049744,59129.09277796345,59568.51974095126,60027.965910234285,60507.76576241883,61008.17063538558,61529.34612357832,62071.37052602203,62634.23430832122,63217.84053217115,63822.006195635775,64446.464416971605,65090.86738545324,65754.78999520621,66437.73407280538,67139.13310643048,67858.35738359937,68594.71944573529,69347.47977081714,70115.85259982718,70899.01182835492,71696.09689124986,72506.21857536507,73328.46470294872,74161.90563590007,75005.59955871911,75858.59750538692,76719.94810248778,77588.7020075267,78463.91602753455,79344.65690863997,80230.00479229672,81119.05633827635,82010.92751837669,82904.75608807326,83799.70374608054,84694.95799402635,85589.73371021447,86483.2744527987,87374.85350865837,88263.77470489456,89149.37300019845,90031.01487342015,90908.0985265243,91780.05391879549,92646.34264868186,93506.45769907218,94359.92306111282,95206.29325091443,96045.15273269049,96876.11526103184,97698.82315416746,98512.94650920496,99318.18236949552,100114.2538534367,100900.90925321955,101677.92111124886
R,0.0,647.8521879398047,1258.7484136072915,1878.9755069459056,2535.5880334703597,3245.4296192232096,4020.0048557910213,4868.121275278807,5797.328811670408,6814.709448682584,7927.315185923098,9142.415348150687,10467.640226377509,11911.067990228592,13481.280113612545,15187.398780594642,17039.11333267539,19046.699321372067,21221.031810169447,23573.593507976762,26116.47772359089,28862.385798029176,31824.61848688772,35017.060668755774,38454.15871738277,42150.889879336544,46122.72303802837,50385.570316034755,54955.72906924404,59849.81395758451,65084.67893667448,70677.32920053414,76644.82331421069,83004.16600217862,89772.19229775801,96965.44400341035,104600.03965351376,112691.53940133096,121254.8064613693,130303.86691842809,139851.7698572787,149910.4498652538,160490.59400874883,171601.51538039884,183251.03525524776,195453.87360463833,208229.78270897383,221602.47753644083,235599.0355492203,250249.57001725872,265587.0600729906,281647.2680620646,298468.70283172955,316092.60414263286,334562.9330550495,353926.35873765446,374232.2353612492,395532.56457762537,417881.94014357886,441337.47188690427,465958.6866347586,491807.40405840636,518947.58570374403,547445.1558146678,577367.7929375742,608784.6917290246,641766.2948755242,676383.9955691915,712690.6681911239,750723.2059156563,790504.8024297557,832046.1394346564,875346.0466014463,920391.9409538361,967160.209903667,1015616.6228340914,1065716.8115287377,1117406.8344085582,1170623.8250562167,1225296.7172774533,1281347.0344197575,1338689.7284037191,1397234.0530905798,1456884.4567120052,1517541.4788106787,1579102.638273399,1641463.3004340911,1704517.5127731902,1768158.800358842,1832280.9137997988,1896778.5240601173,1961547.8599842703,2026487.2857708125,2091497.8168947448,2156483.5741020027,2221352.176078995,2286015.072235739,2350387.81773675,2414390.29347635,2477946.87413349,2540986.5477661514,2603442.9906282895,2665254.60102491,2726364.4960750625,2786720.4752396834,2846274.9544022456,2904984.874175219,2962811.5859537246,3019720.7190578827,3075682.0321047143,3130669.2515356205,3184659.900002121,3237635.117085537,3289579.474599715,3340480.78850305,3390329.9292297014,3439120.6320420825,3486849.3088090993,3533514.8624283415,3579118.5049362974,3623663.580189105,3667155.39184756,3709601.0372640276,3751009.247745321,3791390.2355541433,3830755.5479118433,3869117.928176473,3906491.1842917716,3942890.0645341417
G,2026399.0,2026399.0,2027105.859203336,2028253.4799332349,2029702.8166448383,2031383.5656167513,2033262.861321803,2035328.4136865041,2037579.4087226333,2040021.594588899,2042664.6269548845,2045520.6338306603,2048603.4373754652,2051928.1278472226,2055510.824093704,2059368.5302945487,2063519.0394227398,2067980.855977621,2072773.1225343996,2077915.5412055966,2083428.2847372163,2089331.8940334064,2095647.1601603113,2102394.9897257225,2109596.253183746,2117271.616188724,2125441.354678469,2134125.154928761,2143341.900394332,2153109.447728693,2163444.3949403875,2174361.845175108,2185875.170087041,2197995.777153012,2210732.8855645866,2224093.3154842015,2238081.295454367,2252698.292592987,2267942.86988955,2283810.5744411773,2300293.8598475535,2317382.0452406807,2335061.3125869688,2353314.7429982084,2372263.89199847,2392005.5018544644,2412622.698453764,2434191.693770219,2456785.7722690618,2480477.638170232,2505340.7711097263,2531450.1769300676,2558882.7629409544,2587717.472587576,2618035.2582091438,2649918.9373239246,2683452.9584688274,2718723.0915253665,2755816.05136325,2794819.060542273,2835819.355542841,2878903.640827777,2924157.495533444,2971664.7384687928,3021506.758182306,3073761.816008297,3128504.331126363,3185485.3949714354,3244481.8318990828,3305295.1378111667,3367735.731646662,3431615.335827562,3496743.832657238,3562928.5811335547,3629975.0651926333,3697688.2295687688,3765874.1286171256,3834341.665589024,3902904.2880946966,3971381.558444804,4039600.5506855357,4107397.0478107464,4174616.5274139293,4241114.934447013,4306759.247195053,4371427.847880438,4435010.712988394,4497409.440801285,4558537.1349959,4618318.163697332,4676687.813264899,4733591.855456295,4788986.045603405,4842835.5681472905,4895114.444415186,4945804.915957774,4994896.815165482,5042386.933299353,5088278.394545053,5132580.043256856,5175305.850222294,5216474.342560179,5256108.060771295,5294233.04549381,5330878.355671795,5366075.619120147,5399858.615855271,5432262.89404951,5463325.41804926,5493084.247562129,5521578.246857956,5548846.822632464,5574929.689042134,5599866.658326177,5623697.455378771,5646461.554615247,5668198.037483462,5688945.469000944,5708741.791744763,5727624.235780497,5745629.243085602,5762792.405098123,5779148.4121014755,5794731.013238073,5809572.9860271,5823706.114343603,5837161.173896091,5849967.924317308,5862155.107057173
H,4214813.238072462,4214813.238072462,4214813.238072462,4214813.238072462,4214813.238072462,4214813.238072462,4214813.238072462,4214813.238072462,4214813.238072462,4214813.238072462,4214813.238072462,4214813.238072462,4214813.238072462,4214813.238072462,4214813.238072462,4214813.238072462,4214813.238072462,4214813.238072462,4214813.238072462,4214813.238072462,4214813.238072462,4214813.238072462,4214813.238072462,4214813.238072462,4214813.238072462,4214813.238072462,4214813.238072462,4214813.238072462,4214813.238072462,4214813.238072462,4214813.238072462,4214813.238072462,4214813.238072462,4214813.238072462,4214813.238072462,4214813.238072462,4214813.238072462,4214813.238072462,4214813.238072462,4214813.238072462,4214813.238072462,4214813.238072462,4032063.708549598,3849314.179026734,3666564.64950387,3483815.119981006,3301065.5904581416,3118316.0609352775,2935566.5314124133,2752817.001889549,2570067.472366685,2387317.942843821,2204568.4133209568,2021818.8837980926,1839069.3542752285,1656319.8247523643,1473570.2952295002,1290820.765706636,1108071.2361837719,925321.7066609078,742572.1771380438,559822.6476151798,377073.11809231574,194323.5885694517,11574.059046587674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
