series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
S,124614.93780216346,124582.60517496931,124557.95915367622,124536.57641924161,124516.49880067291,124496.85745909056,124477.26587777224,124457.55140939236,124437.63638445431,124417.48539974846,124397.08192247644,124376.41789220754,124355.48909156087,124334.29308045677,124312.8282715776,124291.09351508945,124269.08791139984,124246.81072651959,124224.26135390426,124201.43929754701,124178.34416490827,124154.97566447007,124131.33360550362,124107.4178989145,124083.22855861756,124058.76570316868,124034.02955751198,124009.02045476552,123983.73883800129,123958.18526199239,123932.36039490967,123906.26501995535,123879.90003692434,123853.26646368601,123826.36543758,123799.19821672079,123771.76618120629,123744.07083422565,123716.11380306252,123687.8968399893,123659.42182304928,123630.69075672238,123601.70577247182,123572.46912916798,123542.98321338685,123513.25053958,123483.2737501136,123453.05561517413,123422.5990325385,123391.90702720675,123360.98275089553,123329.82948139116,129305.04154710722,135278.42627583546,141249.963071873,147219.50620617013,153186.83186253023,159151.6589426262,165113.65615058862,171072.4417310786,177027.57898930978,182978.56903555067,188924.84132670952,194865.74212324785,200800.520730418,206728.31324031175,212648.1233805877,218558.79997959867,224459.01046245013,230347.20969187704,236221.60335922087,242080.10501431525,247920.28570119603,253739.31504444615,259533.89251751566,265300.16753334005,271033.6469495461,276729.0886049034,282380.3796412543,287980.39867076854,293520.86139314424,298992.1501398851,298376.5382022194,297682.8626610312,296900.36546414706,296019.36112483067,295030.4025797302,293924.1609909215,292691.55745680985,291323.9999468301,289813.673858296,288153.8611690979,286339.2686131358,284366.3448221349,282233.5651517186,279941.6629269077,277493.7878900661,274895.5768619133,272155.1277096569,269282.87496725505,266291.37296425726,263194.99914742215,260009.59562164918,256752.07026897193,253439.97994054438,250091.11729438556,246723.12025737166,243353.11935237274,239997.4338144465,236671.32303560933,233388.79583016864,230162.47657471814,227003.5245923689,223921.60125379145,220924.87811076012,218020.07886136707,215212.54794379236,212506.3389353664,209904.31657169797,207408.26698958737,205019.01165058027,202736.52125376058,200560.02675067825,198488.12530286048,196518.87965734446,194649.90995251745,192878.4774069767,191201.5596946647,189615.91807957675
E,0.0,32.332627194142454,47.27887038179338,54.47795840172343,58.21220638809102,60.389904153239335,61.86453300190607,63.01966071602631,64.02880703321622,64.97116953682034,65.88331614851148,66.78237205717822,67.67648185053665,68.569569441318,69.46352880762338,70.35924825095958,71.25709934124907,72.15717657425454,73.05941865227459,73.96367212933743,74.86972612592038,75.77733200469443,76.68621493027999,77.59608088345234,78.50662104138544,79.41751458697507,80.32843055992419,81.23902911397671,82.14896240270653,83.05787523239272,83.96540556958982,84.8711849594077,85.77483889058288,86.67598713069108,87.57424404664339,88.46921892027845,89.36051626538412,90.24773615019892,91.13047452793637,92.00832357687632,92.88087205089742,93.74770564087272,94.6084073470388,95.46255786223193,96.30973596572714,97.14951892730102,97.98148292104909,98.80520344841754,99.62025576985022,100.4262153444012,101.222658276619,102.00916176996878,102.78530458602336,105.15594178638987,108.66332125441687,113.11214971296019,118.44380895419552,124.67454834489484,131.86593998918926,140.11154384854197,149.53179137261725,160.27317955868222,172.5099097106707,186.4471192421816,202.3253596157595,220.4262300905207,241.07921466852707,264.66985155948055,291.6494208774214,322.54638121297535,357.97982513735485,398.67525915078545,445.4830438267346,499.39985128394505,561.5935034483005,633.4315365456478,716.5137816678399,812.7091399339304,924.1965396353885,1053.5097609266033,1203.5853631748307,1377.812307044668,1580.0809809837895,1799.7327191526817,2042.3106598605336,2310.6224362102,2606.3949688620046,2930.7188773875587,3284.1076594965643,3666.4338927159606,4076.8309533960364,4513.595624136024,4974.110896216064,5454.802964893426,5951.14344183881,6457.704484416504,6968.2701837505865,7476.002323339743,7973.653103018939,8453.812393668433,8909.173307009278,9332.797901765123,9718.364958744665,10060.383845414402,10354.3621481734,10596.919369239136,10785.843890255683,10920.094981692355,10999.755420366431,11025.94299311709,11000.690728788264,10926.806185916525,10807.719709833005,10647.3304957766,10449.85780052306,10219.702958809474,9961.326166232308,9679.140421945529,9377.423668450574,9060.24906563707,8731.432501948784,8394.495862944546,8052.64421714451,7708.754903532039,7365.376474780154,7024.735527202226,6688.749598699975,6359.044511055521,6036.974749969057
I,31.97560425353532,19.18796537361993,13.816609205770883,11.657616318959725,10.874661107523355,10.670724073462276,10.703409795066305,10.82802590111249,10.985057411881522,11.151146093278516,11.317914424616259,11.482939056830132,11.645985194666444,11.807491883112665,11.968001989940348,12.127976142080904,12.287754005338831,12.447565864750457,12.607556638721878,12.767808925346037,12.928361363970927,13.089222125521845,13.250378408818449,13.411802962258772,13.573458496812044,13.735300646072046,13.897279942569938,14.059343135530714,14.221434071156574,14.383494283941845,14.545463397998523,14.707279404026174,14.868878855300338,15.030197011276691,15.191167947634293,15.35172464513164,15.511799065399511,15.671322218996593,15.830224229212355,15.988434393889174,16.145881246737105,16.302492619087655,16.458195702684492,16.612917113877806,16.766582959434764,16.919118904074722,17.070450239767435,17.220501956783814,17.369198816454396,17.516465425566132,17.66222631230942,17.806406003673228,17.948929104174717,18.089720375800457,18.343009533645926,18.74474913494166,19.302607641691147,20.017012803476426,20.88937835276537,21.92493693027191,23.133490551007373,24.52949663023925,26.132062218486507,27.965057231070485,30.05741251792955,32.44361758467222,35.164420420793235,38.267734283275054,41.80976355319639,45.85636916078424,50.48470230097981,55.785142904645674,61.863586501709406,68.84412956899216,76.87220885229095,86.1182538415492,96.78191250861816,109.09690701663132,123.33656614280466,139.8200615655703,158.91934191896098,181.06670649125073,206.76288343701265,236.58536832825592,270.12174751540954,307.5192424058995,349.0661173713937,395.058321132845,445.75110536759144,501.33420583495695,561.9124062258243,627.4868767211027,697.9370406991447,773.004196375542,852.2786262728002,935.1920193909775,1021.0168494134502,1108.87393304748,1197.7487686057182,1286.516487648439,1373.974433950123,1458.8806236204823,1539.9957441069382,1616.126000018579,1686.1640524895931,1749.1255225070308,1804.1789917477292,1850.6680616574158,1888.1247337744671,1916.2740651098004,1935.03066030893,1944.4880384954793,1944.9022329899103,1936.6711448430965,1920.3111920886079,1896.432702809891,1865.71532375739,1828.8844897543163,1786.6897515379176,1739.8855145503953,1689.2145157582852,1635.3941708937487,1579.1057661993555,1520.98634809686,1461.6230792959734,1401.5497767518882,1341.2453204895548,1281.1336171764315,1221.5848131336008
A,102.74209833211413,83.64285623062852,75.49157771839887,72.27519136965924,71.30382305731683,71.36740066419473,71.91740362190477,72.70254996487837,73.60602778219678,74.57244018188155,75.57480820628817,76.59953467088552,77.63946817962119,78.69065017772375,79.75075575350935,80.81832551550805,81.89237460384876,82.97218625214002,84.0571985573372,85.14694004681647,86.24099178484357,87.33896446577904,88.44048426723346,89.54518397785283,90.65269737921217,91.76265567426026,92.87468522245491,93.9884061194424,95.10343132841483,96.21936617560709,97.33580808895228,98.45234650144874,99.56856286819068,100.68403076375894,101.79831603820193,102.91097701734809,104.02156473808685,105.12962321244467,106.23468971635704,107.33629510038124,108.4339641204599,109.52721578739711,110.61556373405367,111.6985165994785,112.77557842931398,113.846249091876,114.91002470933394,115.96639810341529,117.01485925504323,118.05489577728805,119.08599340097997,120.10763647229336,121.1193084615729,122.12049248263149,123.47794889131413,125.38552820555225,127.95636317821018,131.2691442570664,135.39165148639444,140.3931522652548,146.3514434844449,153.35741397103087,161.51857440291838,170.96230596815036,181.83924453172048,194.3270602281961,208.63482341444723,225.0081232656848,243.735103974335,265.1535953362952,289.65953441560555,317.71690020192284,349.8694118218633,386.75427110512226,429.1182598164425,477.83652733714484,533.9344211942685,598.612713640495,673.2765526740682,759.5684019566577,859.4051129840236,975.0190712141178,1109.0030465693508,1264.3579234189992,1441.0880983035067,1640.465387070003,1864.1675508765888,2113.955572503256,2391.5126040186187,2698.3263931197657,3035.5789691564605,3404.034349873148,3803.924840072439,4234.840804450441,4695.631091893819,5184.322476593962,5698.066687901723,6233.122771984665,6784.880656934991,7347.92900720079,7916.167034603617,8482.956285014192,9041.305000611144,9584.0748995621,10104.19844732043,10594.894091527938,11049.867498987385,11463.488416618402,11830.935114584756,12148.301137341918,12412.661962773447,12622.101867527672,12775.703604094619,12873.505279003153,12916.430027314578,12906.194718394512,12845.204063015468,12736.436214089814,12583.32536838339,12389.6460900973,12159.403185238352,11896.730038664586,11605.7974458338,11290.734172533219,10955.559785444275,10604.12972738597,10240.092165447233,9866.855811808282,9487.567694322115
IH,0.0,6.395120850707064,6.973514628555357,6.182865480775509,5.363362939419055,4.8049193375237556,4.490292644689436,4.342548947333772,4.295024335922435,4.303126394616044,4.340317069183994,4.391907613331071,4.4502105604276405,4.51140931315326,4.573720167819599,4.636377038225122,4.699096390517207,4.761807123749275,4.824520429756211,4.887270780265049,4.950091598504856,5.0130070018125865,5.076030450588714,5.139165985060393,5.20241013607939,5.26575374470255,5.32918344645481,5.392682794417313,5.456233073497973,5.519813875775133,5.583403500886988,5.646979232632267,5.710517529998581,5.773994160033045,5.83738429171777,5.900662564011446,5.963803136985527,6.026779732058024,6.089565665333736,6.152133876713588,6.214456956533166,6.276507170888175,6.3382564864038375,6.399676594938984,6.460738938538869,6.521414734833165,6.5816750029971995,6.641490590342,6.700832199563169,6.759670416654391,6.817975739474495,6.8757186069450515,6.932869428846779,6.989398616176481,7.045276612021164,7.123334865825416,7.241959554620083,7.4117002455937815,7.63781559108001,7.923166978630375,8.270204050903628,8.682088421542467,9.163261907456233,9.719724015098942,10.35919065498873,11.091231583173037,11.927437341453029,12.881641084098725,13.970208709867464,15.212406302920087,16.630853396738942,18.252071980451298,20.107143404678016,22.23248787555104,24.67078375819581,27.472046232254304,30.694886718143863,34.40797559885755,38.691730624409615,43.64025132506435,49.36351483068674,55.989839427061824,63.66860732898794,72.57321546599954,82.90419014453894,94.67737903081158,107.92999749291562,122.73794739182264,139.19763782806584,157.4073944558137,177.4533795498973,199.39880051757012,223.27488587899563,249.07283357628003,276.7365870615404,306.15671486198346,337.1658937879052,369.53656971258994,402.9813221767629,437.1563108929059,471.66795610700007,506.08273018457044,539.9396510524773,572.7648083032482,604.0870554033149,633.4538924217002,660.4465549754748,684.6934134362534,705.8809552020601,723.7618460462454,738.159814169243,748.9713435823087,756.1643778465468,759.7744043800776,759.8984050594354,756.6872196773791,750.3368798894468,741.0794414377358,729.173782506839,714.8967571593926,698.5350050789525,680.3776307464607,660.70988303792,639.8078942908925,617.9344784785978,595.3359420176884,572.2398275024198,548.8534890834338,525.3633866028
IN,6.392518029208322,12.680104456802809,16.30799484980467,18.8025003157815,20.82443625695494,22.65665531043028,24.41802813523644,26.157022944672644,27.892385662057837,29.630656349607484,31.37359797058075,33.1212697274258,34.87324537824551,36.62905873785967,38.388339046661585,40.1508301603365,41.91637222700634,43.684875924234106,45.456299434050486,47.23063059680262,49.007873965330425,50.788041742464436,52.571147564248676,54.35720228370083,56.14621112758688,57.93817178210592,59.7330731017677,61.530894234565345,63.331604024952114,65.13516060260325,66.94151109614297,68.75059143180307,70.56232619075786,72.3766285079827,74.19340000148189,76.01253072467789,77.8338991373461,79.65737209217913,81.4828048351772,83.31004101878749,85.13891272718719,86.96924051340959,88.80083344820635,90.63348918066086,92.46699401064022,94.30112297321467,96.13563993519291,97.97029770392673,99.80483814853406,101.63899233367795,103.47248066602286,105.30501305347018,107.13628907725261,108.96599817694326,110.79381984840944,112.64227549320871,114.54070441456471,116.51949738648486,118.60863184103894,120.83787576958271,123.23755463146458,125.8394557062378,128.6777347993442,131.7898069119166,135.21724492715038,139.00672313466038,143.21104477081505,147.89029260092738,153.1131418978317,158.9583769479188,165.51665563796425,172.89257168682894,181.20707056258595,190.60028292944315,201.23484843531364,213.29981254911033,227.01518963014274,242.63729589943478,260.4649656182571,280.8467712638468,304.1893719375205,330.9671109821776,361.73297018051454,397.130959127629,437.90996826660637,484.7241460298735,538.2463354628379,599.1959644683602,668.3398173721956,746.4831214830567,834.4558182099684,933.0951738878564,1043.2249452728702,1165.6312618484815,1301.035629678722,1450.0658013397176,1613.2256090650521,1790.8651687643528,1983.1530841884,2190.0523737423264,2411.3017807515953,2646.4039036567233,2894.6212099414583,3154.9805118731083,3426.285934451833,3707.1398550344675,3995.9707969337796,4291.066862876502,4590.6130296796355,4892.730505719459,5195.516373054448,5497.081877550518,5795.5879647175625,6089.27695351278,6376.4995626136815,6655.73682481274,6925.616722309114,7184.925632661342,7432.614882654109,7667.802861917284,7889.773251176467,8097.969976295246,8291.989515705181,8471.571173336188,8636.585889808284,8787.024108966045,8922.983151454182,9044.654477447155,9152.311151175429
D,146.0,146.0,146.15229729366595,146.31836880819435,146.4656113235127,146.5933377073748,146.7077649759865,146.8146995333653,146.91811563256502,147.02039995179226,147.1228772183681,147.22624016626546,147.33083172272796,147.43681174099797,147.54424918355025,147.6531705346561,147.76358403454464,147.87549117119744,147.98889173935498,148.1037858002869,148.22017423619343,148.33805872523598,148.4574415199208,148.57832519330833,148.70071241467542,148.82460577068255,148.9500076298735,149.0769200425224,149.2053446672264,149.33528271689008,149.46673491841142,149.59970148190274,149.73418207649897,149.87017581071507,150.00768121596772,150.14669623233266,150.2872181959224,150.42924382748166,150.57276922194106,150.71778983876473,150.86430049299116,151.01229534690842,151.16176790233254,151.31271099347575,151.46511678040295,151.6189767430826,151.77428167604234,151.93102168364274,152.08918617598462,152.24876386546492,152.40974276399763,152.57211018091476,152.73585272156288,152.90095628660904,153.06740607206987,153.23518657007568,153.4048259947664,153.5772904198734,153.75379715293107,153.93568873421566,154.1243758468252,154.32132751113636,154.52808804011423,154.74630752685053,154.97777894032913,155.22447900091518,155.488612328959,155.7726595690159,156.07943079678208,156.41212583541082,156.77440332228983,157.17046057012098,157.6051265023702,158.0839702326724,158.61342820758048,159.20095324216618,159.85518924337887,160.58617592614652,161.40558836362237,162.32701674612096,163.36629220734622,164.54186494319563,165.87524099919162,167.39148389968562,169.11978654886647,171.09411730622594,173.34882193720802,175.91913247664496,178.84208853240477,182.1570256572545,185.90562099083303,190.13160359354498,194.8802077853966,200.19741158134806,206.12898337880463,212.71935661047988,220.0103586415028,228.0398321008959,236.8402005054443,246.437042566477,256.8477485737959,268.0803358697984,280.1324975063796,292.9909484282485,306.63111758971866,321.0172137752808,336.10266966112687,351.8309452139889,368.1366501868235,384.94692815299095,402.183032518296,419.7620188448041,437.59847750192785,455.606235447566,473.69996475855504,491.7966470970661,509.81685631574663,527.6858346841994,545.3343507884687,562.6993382969827,579.7243240490363,596.3596610955134,612.5625873970687,628.29713400441,643.533907951512,658.2497750839954,672.4274669381449,686.0551338878415,699.1258643646999
R,0.0,19.204173703099443,38.068005024104664,55.75710284160996,72.5051210325853,88.70762244152309,104.680712831281,120.63210537856854,136.68622046616014,152.91368452185557,169.3532692643255,186.02586727886055,202.94270833121277,220.10995102736976,237.53115625160882,255.20858004709953,273.14383077597216,291.33819334840706,309.7927834225593,328.5086169524473,347.4866387952755,366.72773224272544,386.23272013359093,406.002362578169,426.03735356499135,446.3383174048175,466.905805363267,487.74029257232127,508.84217520905725,530.2117678986976,551.8493012966411,573.75491981173,595.9286794426284,618.3705457078305,641.0803916566646,664.057995953739,687.3030410328995,710.81511131929,734.5936915198307,758.6381649835797,782.947812134214,807.5218089773534,832.3592256857636,857.4590252656548,882.8200623073851,908.4410818239095,934.3207181803,960.4574941176181,986.849819874345,1013.4959924084841,1040.39419472334,1067.5424952998535,1094.9388476382326,1122.5810899114738,1150.4669447332017,1178.6622940119864,1207.2805172430071,1236.4654387742955,1266.3811352024711,1297.2073299459703,1329.1385016506229,1362.3852788947215,1397.1772438023556,1433.7666827943303,1472.4330906781631,1513.4883956967692,1557.2829694445627,1604.2125463626871,1654.7262214108641,1709.3357323436803,1768.6262709318048,1833.2691089002008,1904.0363712408318,1981.8183429615215,2067.643755716193,2162.703568008678,2268.378825934694,2386.273268870905,2518.2514228234786,2666.4829979305337,2833.4944676319483,3022.228743188617,3236.1138514579325,3479.141452751728,3755.9558683896357,4071.311950292492,4430.219411443006,4838.028976894164,5300.46741375084,5823.633803079214,6413.964777351083,7078.172185348984,7823.154354115441,8655.881488315737,9583.256271333015,10611.952003054812,11748.232310549825,12997.758322313091,14365.390938088993,15854.997200201711,17469.270557923475,19209.574855643088,21075.821099563887,23066.38450060451,25178.067087203453,27406.10854428499,29744.24512324326,32184.813749308447,34718.89606493542,37336.49527207925,40026.73738139481,42778.08787654064,45578.57482382363,48416.01001642138,51278.20072005805,54153.145850207955,57029.21182786425,59895.284813236765,62740.89740715683,65556.3291659303,68332.68134934596,71061.92718877544,73736.93961718005,76351.49885452204,78900.2825100729,81378.84097325089,83783.56084566795,86111.61904805279,88360.93004403169
G,13764.0,13764.0,13766.30226807683,13769.668794197178,13773.547936580691,13777.692978789739,13781.993085541348,13786.398194305415,13790.885554772844,13795.444772232808,13800.071091295615,13804.762360416853,13809.517647463555,13814.33660024401,13819.219145971543,13824.16534672156,13829.175327821618,13834.24924105718,13839.387244942343,13844.589493626463,13849.85613033266,13855.187283268227,13860.583062936059,13866.043560269194,13871.568845264823,13877.158965930183,13882.813947428496,13888.53379135672,13894.318475112812,13900.167951326073,13906.082147333982,13912.060964695162,13918.104278732138,13924.211938100096,13930.38376437949,13936.619551691496,13942.919066335919,13949.282046451684,13955.708201700287,13962.197212972776,13968.748732120965,13975.362381713585,13982.03775481819,13988.774414809563,13995.571895205418,14002.429699530145,14009.34730120732,14016.324143481688,14023.359639371274,14030.453171650212,14037.60409286289,14044.811725369917,14052.075361426367,14059.394263292728,14066.881968093518,14074.619418383101,14082.67365071696,14091.107527698747,14099.985068980006,14109.374678498443,14119.351422196407,14129.998941424621,14141.411308958328,14153.695001702466,14166.9711035197,14181.377826913362,14197.07343586546,14214.239655504396,14233.085663485306,14253.852771189859,14276.819919275431,14302.310131333175,14330.698091168708,14362.419033126585,14397.979160309591,14437.967831424385,14483.071781582516,14534.091663024165,14591.961204443809,14657.769286699007,14732.78521029364,14818.487375562738,14916.595496233684,15029.106303953735,15157.257572369104,15302.681778293736,15467.211318084932,15652.801554733158,15861.485509583355,16095.332767955842,16356.403841961688,16646.697535148927,16968.091372240146,17322.276531961477,17710.689717690588,18134.4451856428,18594.270698577413,19090.451410971786,19622.785557157276,20190.555286618608,20792.51510524336,21426.899226660633,22091.447843378886,22783.45104092755,23499.807940380004,24237.0977772538,24991.65907627977,25759.672882306022,26537.24613428259,27320.491665342586,28105.601901438502,28888.914031810353,29666.96515993196,30436.536649494563,31194.687509203224,31938.777182989757,32666.47851500551,33375.78194085137,34064.99212692098,34732.71835359425,35377.85993354352,35999.58789253441,36597.324034738005,37170.71838354476,37719.62584534605,38244.08279806744,38744.28416603351,39220.56141324039,39673.36177149871
H,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,180197.7277603981,174191.1368350515,168184.5459097049,162177.9549843583,156171.3640590117,150164.77313366512,144158.18220831853,138151.59128297193,132145.00035762534,126138.40943227873,120131.81850693212,114125.22758158551,108118.6366562389,102112.04573089229,96105.45480554568,90098.86388019907,84092.27295485247,78085.68202950586,72079.09110415925,66072.50017881264,60065.90925346604,54059.318328119436,48052.727402772834,42046.13647742623,36039.54555207963,30032.95462673303,24026.363701386428,18019.772776039827,12013.181850693223,6006.59092534662,1.6370904631912708e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
