series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
S,62270.33176428967,62256.9570856457,62247.13171131681,62239.34287943752,62232.74527823615,62226.86248842485,62221.42445002191,62216.277348645766,62211.333127813414,62206.54102935393,62201.87149227975,62197.30702266158,62192.83700840383,62188.45477098919,62184.15588743228,62179.937234215424,62175.79644193968,62171.73158380524,62167.74099732767,62163.823182045344,62159.97674061958,62156.20034475046,62152.49271531192,62148.8526106558,62145.27881962504,62141.770157294304,62138.325462299974,62134.94359510407,62131.6234368129,62128.36388832979,62125.1638697127,62122.02231966008,62118.93819507924,62115.910470709205,62112.9381387808,62110.02020870296,62107.15570676814,62104.34367587207,62101.58317524457,62098.87328018914,62096.21308182977,62093.60168686362,62091.03821731887,62088.52181031688,62086.05161783834,62083.62680649294,62081.24655729227,85750.53597261079,109418.87529289591,133086.29417729907,156752.80110622608,180418.37798375584,204082.97924990635,227746.53211465947,251408.93639953263,275070.0633595915,298729.7532547156,322387.8115803618,346044.00388276466,369698.0490392163,393349.61081399466,416998.28741866775,440643.5987159795,464284.97060881805,487921.71604773105,511553.01196993235,535177.8713485898,558795.1093841516,582403.302713305,606000.7403540836,616982.7570490084,616882.6367113714,616769.1889633306,616640.4315003558,616494.4225248591,616329.1544968956,616142.5206772548,615932.3142504813,615696.244555925,615431.9644484173,615137.1062509839,614809.3247685393,614446.3458540991,614046.0186706496,613606.3693645345,613125.6535253194,612602.4046565841,612035.475980572,611424.073260436,610767.7769151431,610066.5524537527,609320.7490734174,608531.0870494449,607698.6352096173,606824.7802690848,605911.1900798999,604959.7729255175,603972.6348945858,602952.0371437195,601900.3545539072,600820.0369446649,599713.5736707556,598583.4621146211,597432.180319763,596262.1637935202,595075.7863427029,593875.3446885538,592663.0465321096,591441.0016997571,590211.2159840709,588975.5872999658,587735.9037948133,586493.8435785738,585250.9757723205,584008.762607916,582768.5623459497,581531.632811968,580299.1353816142,579072.1392730661,577851.6260298826,576638.4940990573,575433.563427822,574237.5800187765,573051.2203964723,571875.0959499223,570709.7571249168,569555.6974477476,568413.3573682248,567283.1279149206
E,0.0,13.374678643969924,20.483228968149852,24.111263445423894,25.811097675626254,26.45082994366166,26.515860766510322,26.276744727363926,25.883320241929013,25.417690450380743,24.924083541954918,24.425676491104497,23.934056455516192,23.454523293132375,22.989044759703447,22.53788942929751,22.100517201281093,21.676055087568248,21.263543116420923,20.862054294206963,20.47074680630556,20.088880798773822,19.715817531739315,19.351010535885727,18.99399385613851,18.644369956054852,18.30179848980692,17.96598642102418,17.636679594097046,17.313655683496457,16.99671837048369,16.68569257441059,16.380420570248276,16.080758840238357,15.786575527860112,15.497748382746147,15.214163103956466,14.935712005452011,14.662292941576512,14.393808442015843,14.1301650153205,13.87127258794603,13.617044052167875,13.367394901416855,13.122242935775878,12.881508023763077,12.64511190925325,12.412978054584393,13.17809302633296,14.70822461525243,16.839493129718193,19.467884399571247,22.53797691253167,26.032837070045055,29.9663594921455,34.37818280998367,39.33088897010103,44.90911195124471,51.22024309294932,58.39652806935453,66.59846225249099,76.01949199313282,86.89211733948466,99.49557001697431,114.16531321813946,131.30468019055735,151.399038375296,175.03293431819412,202.91073827050255,235.8813590630286,274.96762716230313,319.23326579092634,367.83455114725587,421.873079565112,482.18617106995254,549.5068016286552,624.5182556668017,707.8650969847585,800.1448031026846,901.8899693097117,1013.5455356031542,1135.443578580304,1267.777671384263,1410.5787563054955,1563.6945069104029,1726.7740959026346,1899.2600461903357,2080.3884034036582,2269.1978557729963,2464.5477088090856,2665.1438893800114,2869.5715038059416,3076.331990306051,3283.8826403404746,3490.6762313319186,3695.1986940765873,3896.003083735516,4091.738570944417,4281.173654919459,4463.213267608211,4636.909845694679,4801.468770961173,4956.248809826674,5100.758322651686,5234.648073658102,5357.70146852648,5469.822995722769,5571.025565359079,5661.417339741629,5741.188543772885,5810.598639268036,5869.964150611308,5919.64734339596,5960.04588440059,5991.5835508029695,6014.7020083865755,6029.853641564412,6037.495390942915,6038.083535376816,6032.069343544394,6019.895513621556,6001.993317420377,5978.780366318307,5950.658919544955,5918.01466018324,5881.215869997948,5840.612940474156,5796.538163887594,5749.305754587594
I,142.4557256867562,85.96383932400238,53.53137384468723,34.84100419967743,24.011958889262306,17.68786433087714,13.950900538252194,11.703915164445775,10.318361910568036,9.433514396512138,8.841867676903792,8.423684377507051,8.109581534405336,7.859126181926554,7.64857600929831,7.463847704578729,7.296476075462266,7.141285945981425,6.99504623067598,6.855688213537601,6.721848687715799,6.59260073435824,6.46729334239077,6.345454523380692,6.22673175120493,6.110854564192161,5.997610499004486,5.886829176953253,5.778371476717697,5.672121956377,5.567983406954097,5.465872844279486,5.365718499463529,5.2674575217764055,5.171034202383831,5.076398587016996,4.983505384171078,4.892313100995376,4.802783356503168,4.714880333999181,4.628570343471425,4.54382147122537,4.460603298954718,4.37888667820284,4.298643549080828,4.219846794384923,4.142470122049405,4.066487970290993,3.9918754309296385,4.04164977130618,4.261270972868399,4.657866618360806,5.222850306220286,5.944173840987432,6.812468735078491,7.823803206006321,8.980715925907983,10.292492820183615,11.77522366843949,13.451923651010596,15.352866513020064,17.51620629955998,19.98893503179797,22.828216744045466,26.103143809879413,29.896973820013045,34.30992144531243,39.46259812035746,45.500211970995075,52.59766012138925,60.96566381284758,70.85811119328123,82.31220327850158,95.24585029085202,109.7460049558688,125.96888325932774,144.09956922044682,164.3344102115899,186.87175285641726,211.90531616181175,239.61798764310663,270.1752580311964,303.7181361791251,340.35569678029367,380.1575939295589,423.14698642931637,469.2943813371639,518.5129092377817,570.6554945163201,625.5142777456044,682.822494215741,742.2588294569213,803.4540815363223,865.9997846066137,929.4583094661452,993.3738692108349,1057.2838275523666,1120.7297317870134,1183.2675625932989,1244.4767953288465,1303.9679872280535,1361.3887276751277,1416.4279029194809,1468.81832404561,1518.3378431298675,1564.809135916823,1608.0983611028366,1648.1129191564705,1684.7985311642292,1718.1358443700747,1748.1367496057624,1774.840569953299,1798.310252405227,1818.6286670196844,1835.895092531201,1850.2219444786706,1861.7317821280508,1870.5546139531475,1876.8255081145371,1880.6825040109547,1882.2648132452878,1881.7112928820895,1879.1591703014078,1874.7429969171815,1868.5938072010345,1860.8384595464768,1851.5991362785608,1840.9929813554954,1829.1318558557552
A,91.0955784668849,87.45175532209464,85.01336942066249,83.23573393040122,81.81665534491935,80.58901885290977,79.46117421618453,78.3835957985652,77.33017520146912,76.28772015547958,75.25007116610651,74.21481934627514,73.18148849085851,72.15053950082687,71.12283475223583,70.09935803264159,69.08107505739268,68.06887012070607,67.06352297762724,66.06570613382691,65.07599174845232,64.09486239677561,63.12272273195833,62.15991061326817,61.20670708848968,60.263345045578355,59.330016559905594,58.40687905801097,57.49406045191397,56.591663400242275,55.69976884028503,54.81843891738095,53.947719419303816,53.08764180566182,52.23822490667533,51.399476352279684,50.571393781238235,49.75396587062745,48.94717321840719,48.15098910555345,47.36538015916805,46.590306933881564,45.825724425555,45.07158252861437,44.32782644619927,43.59439706057188,42.87123126983549,42.15826229588657,41.45541996761796,40.841311879614274,40.37300141665003,40.09228513563969,40.031046622192044,40.21550303673191,40.6694811934542,41.416955713589644,42.48408282753974,43.90093092401801,45.703071260290415,47.93316092763924,50.64262864278115,53.89356212442648,57.76089246025586,62.33497462151048,67.72467308823353,74.0610767239119,81.5019871878751,90.23735004491911,100.49582703279808,112.5527411238887,126.73966195962548,143.4559359058341,163.01075366759042,185.63408954694208,211.6339990538006,241.37255687719426,275.25542887180353,313.7261913188294,357.26174664910405,406.36725972109787,461.5698866632757,523.4109502386316,592.4364309401552,669.18580696464,754.1794289583754,847.9047646212993,950.8019866749244,1063.2494916664107,1185.5500116891483,1317.9180042082849,1460.4689704386,1613.2112613068678,1776.0407907743304,1948.7389042383354,2130.97346349903,2322.303028453193,2522.183855933298,2729.979310136323,2944.971193619519,3166.3724642455277,3393.340798622473,3624.992490248471,3860.416222773697,4098.686327156874,4338.875208196307,4580.06470432504,4821.3562195328195,5061.879534210114,5300.800260408247,5537.325955465036,5770.710946065159,6000.259943151021,6225.330547656168,6445.334759010804,6659.739604060402,6868.067004712669,7069.892999460688,7264.846427963354,7452.607179988844,7632.90410097924,7805.512636864087,7970.252290994527,8126.983956528342,8275.607178512733,8416.057391448288,8548.30317037216,8672.343526519082,8788.205272415184,8895.940475814441
IH,0.0,28.000741225402574,30.201604562312596,24.872517365077346,18.66662833034351,13.589322421699938,9.933753308831987,7.4622533086111975,5.846239274082492,4.806036910392161,4.137853352962739,3.7040682037154875,3.4157547946008515,3.2170211943772085,3.0733625199937737,2.9637167820080768,2.875308033784826,2.8004017891191326,2.7343057278364986,2.6741551638867764,2.618182298044554,2.565279198400038,2.5147372297447026,2.466091717507495,2.4190290951308153,2.373331077403141,2.3288407831598033,2.285441907848016,2.243045699257212,2.201582640753924,2.1609970100005276,2.1212432229468545,2.082283308820494,2.044085118803804,2.0066210233568604,1.9698669441023888,1.9338016211283207,1.8984060502392097,1.8636630457146437,1.8295568975567917,1.796073100999458,1.763198141967063,1.7309193262668015,1.6992246432092366,1.6681026564752828,1.6375424166284884,1.6075333908702598,1.578065406557751,1.5491286057213776,1.5207134083815872,1.5169952289969968,1.558396701712419,1.656022777844738,1.8134623386860662,2.0300525055751497,2.3036368601314496,2.6324179422643956,3.016040670053301,3.4561615418731177,3.956730222496227,4.52414723177205,5.167404357508772,5.898273580445034,6.731585081822136,7.685621555807607,8.782650789142615,10.049618395572939,11.51902573554796,13.23002316210843,15.229755012324805,17.574999621449983,20.33415449185603,23.589622841637393,27.387871331436976,31.734843590531046,36.65045499032489,42.174873896047544,48.363566266969755,55.28148072819842,62.9984646341822,71.58578341546028,81.11324730142371,91.6465556030129,103.24464219999899,115.95694942700234,129.82066122378544,144.857997861217,161.0737204126586,178.4530163036315,196.95993841051313,216.53654985216713,237.10288687019982,258.5577973019001,280.78064851151646,303.63383395005246,326.96594950725967,350.61546602309875,374.4146970445163,398.193852748316,421.7849808683468,445.0256203231762,467.7620285859442,489.8518847647281,511.1664122537325,531.5919038744947,551.0306659474265,569.4014241580672,586.6392528796836,602.6951010697035,617.5349928209887,631.1389802909671,643.4999223411822,654.6221550515174,664.5201114470868,673.216938222038,680.7431476856889,687.1353341133956,692.4349754990187,696.6873345704442,699.9404669203799,702.2443392118474,703.6500565731241,704.2091953958288,703.9732356692659,702.9930855952323,701.3186904049119,698.998716927134,696.0803054317062,692.608880503404
IN,28.491145137351243,53.3638277634434,63.779226403931325,66.3853444881457,64.92240368146267,61.479451766399556,57.208946355726916,52.733415425829534,48.37689352804172,44.29655257553844,40.55745789212823,37.17491031755888,34.13831996331838,31.424565296318782,29.00537469570731,26.85131866073289,24.93388866479821,23.226503812854656,21.704924029571703,20.347341586179844,19.134304658913603,18.04855922370714,17.07485718651479,16.199756805623316,15.411429083913147,14.699476837827792,14.054769265565573,13.469292712392939,12.936017206482273,12.448777779649946,12.002169345129767,11.591453836899255,11.212478340968056,10.861603022337409,10.535637746032027,10.231786392201787,9.947597965909683,9.680923697765833,9.429879420090112,9.192812584059098,8.968273356261651,8.754989298558641,8.551843193604714,8.35785363041072,8.172158010491334,7.99399767602749,7.822704897621112,7.657691491135347,7.498438861259761,7.344489294237342,7.22004666082532,7.1553328625088914,7.17815704346493,7.3110792212528395,7.5713845831588635,7.972289347337618,8.524544875347312,9.238044807395783,10.123283446226111,11.19264024198003,12.461525452862382,13.949446936211528,15.681065800879502,17.687309523754756,20.00661050449811,22.686338585266103,25.784499011625396,29.371773119844754,33.53398778737612,38.375111241087744,44.02088685010547,50.62323243962234,58.3655494363006,67.41538692824031,77.90259680173342,89.9579299017477,103.72677451347525,119.37307096937536,137.0792081530993,157.04408032736302,179.48006537700434,204.60914604945285,232.65821075093726,263.8535341372545,298.41446823002155,336.54643749266575,378.4334086143898,424.23008536412135,474.05414977624184,527.9789227841193,586.0268414530548,648.164140330502,714.2970793856255,784.2699834714429,857.86525549097,934.8054080032617,1014.7570379396544,1097.3365581825367,1182.1174078098638,1268.6383965761133,1356.412801878026,1444.937827817429,1533.704052988778,1622.2045313118829,1709.9432626250405,1796.4428107183026,1881.250910388509,1963.9459672348523,2044.1414107276785,2121.4889101933936,2195.6805034673625,2266.4497186874487,2333.571791348839,2396.8630921242975,2456.17988718401,2511.416553080756,2562.503363975711,2609.4039612778806,2652.1126057432116,2690.651300661302,2725.0668627164678,2755.4280050516068,2781.8224854433684,2804.3543616385587,2823.1413860148905,2838.3125629325405,2850.0058844823616,2858.3662538029284,2863.5435996829838
D,371.0,371.0,371.6956033522905,372.4458812541854,373.0637722707045,373.52749461069624,373.86508489646036,374.11186236734324,374.2972420462355,374.4424761885965,374.56186929177153,374.66466316570643,374.7566808104851,374.84153608151524,374.92145434900624,374.99780380184757,375.0714294002633,375.14285872033264,375.2124271955594,375.2803536913318,375.34678590759245,375.41182762805147,375.47555511282064,375.5380270178698,375.5992904555747,375.6593847485906,375.71834379686175,375.77619760304054,375.83297328050446,375.8886957378203,375.9433881566004,375.9970723341851,376.049768935501,376.10149768219287,376.15227749725426,376.20212661729676,376.2510626807693,376.29910279797525,376.34626360710973,376.39256131943466,376.43801175593927,376.48263037728066,376.526432308395,376.5694323588652,376.6116450399009,376.653084578607,376.69376493007894,376.73369978775315,376.7729025923539,376.81138653971067,376.84916458766406,376.8868502674182,376.92556445577424,376.96670390227905,377.01175451261423,377.0621857250181,377.11941340729504,377.18480877417227,377.2597342193184,377.34559328766346,377.44388764297076,377.5562779527609,377.6846482614177,377.83117505662847,377.99840324217723,378.18933190637296,378.4075133209914,378.6571691493471,378.9433284639262,379.2719929227833,379.65033535864444,380.08693910976564,380.5920866669916,381.1781076082167,381.85848585095283,382.6468529662477,383.5573352691631,384.60505695011295,385.80652010257796,387.1798402945175,388.7448682641677,390.52322514834054,392.53826633185224,394.81497932277483,397.3798156834352,400.2604552384206,403.4855015476202,407.08411017398544,411.08555495657225,415.51874175573266,420.41168342189803,425.79095351900327,431.68113912577013,438.1043144666032,445.07955697145974,452.6225256044782,460.7451181005571,469.4552194356357,478.75654886525547,488.6486076719674,499.12672481451085,510.18219334157726,521.802486980926,533.9715438792858,546.6701030738345,559.8760788517233,573.564958562528,587.7102105133592,602.2836901081819,617.2560342093024,632.597035638696,648.2759916676646,664.262022165069,680.5243547180506,697.0325754635683,713.756845556146,730.6680841468365,747.7381194733628,764.9398101830127,782.2471393542096,799.6352838777518,817.0806619322315,834.5609612661517,852.0551509052013,869.5434787573975,887.0074574085579,904.4298401998777,921.7945894694498,939.0868386289983
R,0.0,7.2622856560493485,31.53809571181725,58.139589460229715,82.33641915219023,103.18774322956635,121.01404347679039,136.4250781427355,149.98885356492224,162.14919354983,173.22951837907877,183.45936901720574,193.00132312763813,201.97213104336595,210.4576790624276,218.52304495412216,226.21907720798777,233.58665429884903,240.65944697528525,247.46573245233733,254.02961285404228,260.37185885012053,266.510515133558,272.46135171131544,278.2382126251588,283.85329405669864,289.31737188636924,294.6399915973015,299.82962905876786,304.89382805250824,309.8393187384892,314.6721201904611,319.3976294270966,324.02069888042365,328.5457038962762,332.9766016020352,337.3169822753233,341.57011418550974,345.738982746669,349.8263247088799,353.8346580197099,357.7663079061531,361.6234296568183,365.40802852303494,369.12197710436953,372.7670305377107,376.3448397686575,379.8569631486595,383.3048765705375,386.68998232809395,390.0167640978841,393.3071497646488,396.59878866633795,399.93968980629126,403.38357050609454,406.9869649921872,410.80796676676823,414.9061823069869,419.34349980712756,424.18539136947754,429.50258244036854,435.3730130246201,441.8840800872132,449.1351958632075,457.24072976122903,466.33342814841615,476.56843095455866,488.12802982617416,501.2273416583423,516.1211052679417,533.111848841875,552.5597223125452,574.8943422463142,600.6221869885393,630.3034464332736,664.5300960960568,703.9351579226474,749.2064294322093,801.0980050981005,860.4386937491652,928.1376946650989,1005.1878987265162,1092.6669473266627,1191.7359862550509,1303.6359449418474,1429.681146387576,1571.2500938053763,1729.7733717845065,1906.7187291642997,2103.573563758649,2321.825190100889,2562.9394239082526,2828.338144740176,3119.376587362765,3437.321152820663,3783.328517859631,4158.426757813049,4563.499090498825,4999.2707083398645,5466.299006408897,5964.967349389294,6495.482363229769,7057.8745977396875,7652.002291552924,8277.557884537158,8934.07686562622,9620.948514593534,10337.428091151742,11082.65003963824,11855.641807712373,12655.337918313213,13480.593981389733,14330.200382018407,15202.895431573881,16097.37781643473,17012.3182227647,17946.370055257856,18898.179201890995,19866.392825571995,20849.66718726185,21846.6745240206,22856.10901993896,23876.69191858497,24907.17583295464,25946.34831349239,26993.034737035432,28046.10057998606,29104.453138027675,30167.042752621095
G,29068.0,29068.0,29069.657139687388,29072.19503779713,29075.182453990976,29078.380481806962,29081.657773264258,29084.94312212318,29088.19884420086,29091.40582048463,29094.555104645264,29097.643230282418,29100.66960265234,29103.635062674846,29106.5411079289,29109.38947980089,29112.181952953888,29114.920235131794,29117.605925914188,29120.240505938924,29122.825340988173,29125.361692542196,29127.850730412414,29130.293545269567,29132.69116007615,29135.04454006223,29137.35460120261,29139.622217302807,29141.84822586076,29144.033432884204,29146.17861683446,29148.284531848705,29150.35191037141,29152.3814653047,29154.37389176868,29156.329868546254,29158.25005927336,29160.135113423898,29161.985667129335,29163.802343865154,29165.58575503015,29167.336500439407,29169.05516874778,29170.742337817363,29172.398575039788,29174.024437622003,29175.620472842573,29177.18721828402,29178.72520204576,29180.3579845252,29182.18035225378,29184.266786860815,29186.678882487693,29189.47136647997,29192.696868088828,29196.40973812652,29200.669238682098,29205.542385827353,29211.106681891637,29217.4529351278,29224.688339195844,29232.9399733364,29242.3588850389,29253.124928844318,29265.452556459408,29279.597783906953,29295.866600711874,29314.625134042097,29336.31193712572,29361.45283556044,29390.678835827326,29424.74767440258,29464.301081879392,29509.876250399288,29562.146861290024,29621.89034089501,29689.974932211797,29767.353538046926,29855.05892348125,29954.19788181995,30065.943195601627,30191.522775996204,30332.205678886185,30489.284944112595,30664.05744530558,30857.80118265652,31071.750688408756,31307.07142268522,31564.834190691206,31845.99068988161,32151.351284213946,32481.566000339495,32837.10955778385,33218.2710023628,33625.14823634281,34057.64745914598,34515.48727509523,34998.207010208396,35505.178621027764,36035.62147958287,36588.6192775794,37163.138302423504,37758.04638731399,38372.13191579374,39004.1223566293,39652.70190783029,40316.527931094824,40994.24595412051,41684.503104184245,42385.95991001019,43097.30046942976,43817.24102792312,44544.53704874404,45277.98888031385,46016.446142473316,46758.810961594274,47504.04018700063,48251.14671902019,48999.20007350279,49747.32629982847,50494.70736014019,51240.580067447736,51984.23466988666,52725.01315817312,53462.307363453205,54195.55690349731,54924.24702665469,55647.90639522504,56366.1048429435
H,555516.4138590347,555516.4138590347,555516.4138590347,555516.4138590347,555516.4138590347,555516.4138590347,555516.4138590347,555516.4138590347,555516.4138590347,555516.4138590347,555516.4138590347,555516.4138590347,555516.4138590347,555516.4138590347,555516.4138590347,555516.4138590347,555516.4138590347,555516.4138590347,555516.4138590347,555516.4138590347,555516.4138590347,555516.4138590347,555516.4138590347,555516.4138590347,555516.4138590347,555516.4138590347,555516.4138590347,555516.4138590347,555516.4138590347,555516.4138590347,555516.4138590347,555516.4138590347,555516.4138590347,555516.4138590347,555516.4138590347,555516.4138590347,555516.4138590347,555516.4138590347,555516.4138590347,555516.4138590347,555516.4138590347,555516.4138590347,555516.4138590347,555516.4138590347,555516.4138590347,555516.4138590347,555516.4138590347,531844.7879518496,508173.1620446646,484501.5361374796,460829.91023029457,437158.28432310955,413486.6584159245,389815.0325087395,366143.4066015545,342471.78069436946,318800.15478718444,295128.5288799994,271456.9029728144,247785.27706562937,224113.65115844435,200442.02525125933,176770.3993440743,153098.77343688929,129427.14752970426,105755.52162251924,82083.89571533422,58412.269808149205,34740.64390096419,11069.017993779176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
