series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
S,1656227.9233249961,1655900.4245760238,1655619.3742365555,1655349.0666147526,1655069.069810606,1654766.760692318,1654433.393848943,1654062.0149189392,1653646.3385377952,1653180.13071422,1652656.8543829822,1652069.4516050743,1651410.1961791324,1650670.5822221243,1649841.2311402808,1648911.8084609201,1647870.9469714193,1646706.1754780286,1645403.854284941,1643949.1197388025,1642325.8411566562,1640516.5942818385,1638502.6561347712,1636264.0267341814,1633779.483614102,1631026.6752825563,1627982.259671023,1624622.0931125046,1620921.4743656847,1616855.446595913,1612399.157988399,1607528.2788172911,1602219.4694107673,1596450.8897058782,1590202.73723325,1583457.7967409543,1576201.9816350893,1568424.845360757,1560120.0400991647,1551285.7009369154,1541924.7360440702,1532045.0072746992,1521659.3907009896,1510785.712491239,1499446.561737626,1487668.9878063162,1475484.0950431176,1462926.5518493117,1450034.0340098732,1436846.6236252605,1423406.185121852,1409755.73875926,1498721.6647239262,1586132.2221754177,1671992.1104791274,1756249.7948418849,1838809.9015635478,1919542.9709730877,1998292.8093190424,2074881.9985833506,2149116.1678629653,2220787.557659793,2289678.2980884234,2355563.7091015857,2418215.8284203666,2477407.283701432,2532915.5484938296,2584527.5550366445,2632044.5800064853,2675287.272152381,2714100.6544813314,2748358.90982557,2777969.748620794,2802878.1622722484,2823069.3842804446,2838570.9128772905,2849453.490738967,2855830.986018843,2857859.17065123,2855733.442740251,2849685.5863314173,2839674.9545471664,2723837.3838602463,2610949.2855750564,2501055.4286781806,2394450.4749237993,2291498.803457054,2192546.846706981,2097882.4614821677,2007719.0051857627,1922192.625942075,1841366.5848035389,1765239.1427615713,1693752.9988424177,1626805.084632095,1564256.0070108145,1505938.7337853396,1451666.3122154782,1401238.5384935874,1354447.5798107903,1311082.6035432273,1270933.4993704741,1233793.7961335147,1199462.8805871243,1167747.6233653354,1138463.5110535026,1111435.3741666304,1086497.790459593,1063495.2323110146,1042282.0165753954,1022722.1056887163,1004688.8001618452,988064.3549958062,972739.5460081128,958613.2065185204,945591.7502213347,933588.6922690081,922524.1775023501,912324.5222829286,902921.7744167744,894253.2941184441,886261.3577744353,878892.7853589943,872098.5916776487,865833.6611175865,860056.4452306603,854728.6822327304,849815.1373466889,845283.362825291
E,0.0,327.49874897241074,540.8913466560552,699.4565963721706,834.9531423180061,964.7698639709602,1098.825563278897,1243.19887429939,1402.0436532211143,1578.6042407132688,1775.7578052732692,1996.3079969092278,2243.1475238547946,2519.351173403334,2828.231225388121,3173.3715569378123,3558.648394405953,3988.2411583305156,4466.634347686506,4998.609969430114,5589.22914858564,6243.801009538032,6967.836591224932,7766.98541252605,8646.952346787668,9613.39272749615,10671.784133218895,11827.274131802638,13084.504432904112,14447.413411901998,15919.02079804855,17501.200387863086,19194.44881749853,20997.66051451353,22907.920712342675,24920.329586599408,27027.870906228254,29221.337879527666,31489.327003470746,33818.30771149797,36192.77162405118,38595.46054305298,41007.66741160494,43409.599754744486,45780.79108744606,48100.542807793114,50348.37744418992,52504.48389637121,54550.13644198538,56468.07157732599,58242.80992814955,59860.914160279804,61311.177692704754,64017.20079047034,67714.8575814199,72250.82193461634,77547.282166256,83576.5876257753,90343.53407196754,97873.15077770701,106202.24912054883,115373.42423586968,125430.58194657858,136415.3677636234,148364.10591206906,161305.0264846758,175255.68164633214,190220.53878219213,206188.79792585265,223132.51819613785,241005.15674136637,259740.62614040985,279252.9643236506,299436.6870968887,320167.8600779427,341305.88767219253,362695.97538814496,384172.18214488006,405560.9447345553,426684.930083507,447367.054294665,467434.5015113291,486705.0993357703,499045.12517952453,505841.59216498083,507945.0785578971,505960.7248529079,500386.60270127875,491676.46309412195,480264.81632214785,466573.6167721567,451010.534635646,433964.0198600573,415797.83474995825,396846.359645298,377411.22018688935,357759.3684548665,338122.52762929606,318697.80042495887,299649.1992432969,281109.85309128405,263184.665642276,245953.22943033813,229472.8361087569,213781.45760822872,198900.60531302632,184838.00265565846,171590.03025014352,159143.92181321554,147479.7039634305,136571.88402502876,126390.89776175281,116904.33410246708,108077.95694048877,99876.54548067604,92264.57479323234,85206.7575610807,78668.46676140364,72616.0574235041,67017.10382362783,61840.566637510914,57056.902761645724,52638.12879425371,48557.84757404307,44791.24572949653,41315.06890182433,38107.5801702512,35148.50622251549,32418.974966158232
I,105.64971199732398,93.85510284676687,92.76399004023442,97.91094052176186,107.02808433512865,119.01099923228774,133.37695894483332,149.98142062274047,168.87020365066132,190.2030699026002,214.21493482818323,241.19695351753012,271.4881349892579,305.47255241878605,343.57953097404106,386.2854029410441,434.116044418909,487.64972361243525,547.5199419826087,614.4180122208093,689.0951314368252,772.3636958074231,865.0975765355694,968.2310441203972,1082.7559945593462,1209.7171026737383,1350.2045100330772,1505.3436542943657,1676.2818700303942,1864.1714452904337,2070.148909652313,2295.310463269661,2540.68363450888,2807.195474254024,3095.637850635851,3406.6306856028236,3740.5842551174983,4097.66193339745,4477.7449709459215,4880.401028430952,5304.858219648224,5749.986330111578,6214.28666714939,6695.891669222767,7192.574975787932,7701.77216473584,8220.61184025839,8745.95624106102,9274.4500766079,9802.575920901472,10326.714223164465,10843.205845599156,11348.415011731633,11838.790636166776,12351.981263976975,12913.862032644623,13543.024780512671,14253.755538702655,15057.9529405004,15966.324725721583,16989.100623075014,18136.423413117423,19418.524408949506,20845.751139437063,22428.489590021138,24177.007390922317,26101.23503638124,28210.497471647686,30513.206660159773,33016.52591534709,35726.018006018,38645.2906701071,41775.654686104695,45115.81065627192,48661.5808610385,52405.70177267634,56337.691008069276,60443.79970953939,64707.05772697331,69107.41477391633,73621.97623856802,78225.32786279936,82889.93936295017,87586.13248350135,92111.73762689781,96326.90970265048,100131.7950118805,103455.03192494283,106247.50125621364,108478.57282635485,110133.48989505101,111211.23719204094,111722.59742240832,111688.28326443487,111137.12120257433,110104.30356664954,108629.73904210675,106756.53232900183,104529.61761294046,101994.56203265073,99196.54658419645,96179.52405048895,92985.5471238211,89654.25506256588,86222.50393686157,82724.12359910598,79189.78373560612,75646.95147389795,72119.92380507731,68629.91932597307,65195.21533780069,61831.31801507174,58551.15507195378,55365.28202263722,52282.09470182245,49308.042145675594,46447.83521302008,43704.647443852795,41080.30560913927,38575.46821006951,36189.79084833905,33922.077925608704,31770.42055510982,29732.320896450507,27804.80337048406,25984.513388038442,24267.804346527933,22650.81372275243,21129.5291279268
A,655.8506201942116,560.45114623582,537.1993803868085,555.2981742018512,598.977426151804,660.4116714020618,736.0076876774959,824.4597458215837,925.7336021281021,1040.5390785390518,1170.0600038094199,1315.8199349105842,1479.6196595032754,1663.5127160903487,1869.8010259370442,2101.0410199416197,2360.054942465054,2649.9442032509273,2974.1027168012033,3336.2286366777935,3740.3330359515116,4190.744052931953,4692.104896994148,5249.363944728619,5867.754989945424,6552.765576200982,7310.091272079999,8145.5737845914755,9065.120984067547,10074.607274099893,11179.753317185228,12385.984945511467,13698.272153959455,15120.950371327795,16657.527687060614,18310.483290226697,20081.063936433413,21969.08664993913,23972.75693052872,26088.512309488495,28310.90105404265,30632.505071090076,33043.914591749606,35533.76008722879,38088.80420828507,40694.09355198293,43333.16697746468,45988.314265357636,48640.87637335273,51271.576569589175,53860.870449927745,56389.302318744856,58837.855620227245,61188.28597344791,63678.30021986799,66464.03335155887,69651.62818647796,73317.94327244708,77523.73757148598,82321.78539523558,87761.63794078343,93892.18848072895,100762.79715297231,108423.4562580325,116924.29613391201,126314.61827503241,136641.5757276762,147948.58570611078,160273.5448634695,173646.91582861214,188089.7587155864,203611.78900628822,220209.5502177369,237864.7936415291,256543.1564886569,276193.2230370867,296746.0406516758,318115.14431668236,340197.1206887468,362872.7172014478,386008.4752630283,409458.84098809917,433068.68396984966,456673.02548824745,479039.5275352337,499361.89449954533,517102.4549738481,531909.4178162025,543570.7836899591,551986.1252093113,557146.9343314575,559121.0178084684,558038.8549531739,554081.0615348018,547466.7043659702,538442.4803917393,527272.8696774902,514231.37931688805,499592.96218349144,483627.6467014945,466595.36548047216,448741.92884372815,430296.0569854889,411467.3623428388,392445.16105741286,373397.9877504129,354473.6896036504,335799.9822833037,317485.3600555397,299620.2642319129,282278.42679698707,265518.3188994782,249384.64623853614,233909.84484458147,219115.5410911709,205013.94885550058,191609.18453825876,178898.48719347783,166873.33638593755,155520.46469550085,144822.76514687348,134760.09638641003,125309.99027879194,116448.2678722945,108149.57048824015,100387.81312258248,93136.56748756686,86369.38193919852,80060.04529059287
IH,0.0,4.225988479892959,5.909136246671513,6.723768850909819,7.345047428798284,8.026537918800337,8.853362739588631,9.849618788193284,11.021811932076918,12.375092443328143,13.918477043256171,15.665960190700131,17.636324196988976,19.85270697055915,22.342270008776772,25.136036612491914,28.26887959281175,31.77961647029147,35.711171950971774,40.110774422798514,45.03015927279324,50.52575549083939,56.65883340933806,63.49559107754459,71.10715527669768,79.56947108574354,88.96305170129258,99.37255838183133,110.88617942484862,123.59477752561929,137.59077725757712,152.96676929415463,169.81381583015997,188.21945278127367,208.26539883020595,230.02499900395452,253.56045055582808,278.91988038450336,306.13436451006197,335.21499935509115,366.1501496763591,398.9030069381723,433.40959301244396,469.5773362216885,507.2843296021729,546.3793554691341,586.6827274407535,627.9879633208751,670.0642624702336,712.6597225268297,755.5051954394096,798.3186541780174,840.8099209340323,882.6855960757019,923.6540247301093,965.0724269371054,1008.6678870052567,1056.0647598734229,1108.6627840403453,1167.651664821141,1234.06637087159,1308.8438464968312,1392.8675731258904,1486.9973114962454,1592.0853752306482,1708.9818187537685,1838.5308102625725,1981.5600309871904,2138.8645331012285,2311.186211173113,2499.189907442541,2703.4371515475787,2924.3585903362355,3162.22625202821,3417.1268743792716,3688.9375782532156,3977.3051635440197,4281.630229784442,4601.057174099364,4934.470898209132,5280.500775495937,5637.532106345224,6003.724946657675,6377.039853787618,6755.24973715683,7129.13216635756,7488.390600949562,7823.780441880396,8127.733182823886,8394.424694798086,8619.659908608202,8800.709388988374,8936.140721107207,9025.654790744422,9069.927579569447,9070.456846106572,9029.414026276958,8949.502734369411,8833.825795676203,8685.762782106167,8508.859703381248,8306.731994120059,8082.981361822706,7841.126510580034,7584.547281711666,7316.4413795749315,7039.79258384438,6757.349182262336,6471.611277277755,6184.825610292417,5898.986592107778,5615.842312320488,5336.904410412612,5063.46081590993,4796.59049530662,4537.179472692733,4285.937514291749,4043.4149811511616,3810.0194570712524,3586.031849573637,3371.621740138673,3166.8618264681936,2971.74135491749,2786.1784864763704,2610.0315758695433,2443.1093716331625,2285.18016652586,2135.9799434056467,1995.2195727184371
IN,7.568620670664146,13.735292882497614,17.91475005058841,21.24187323681194,24.32142920320818,27.48369521062207,30.918651195723754,34.74650484880206,39.054842706379304,43.91830994872673,49.40917025471068,55.60313084479663,62.58273356945757,70.43951711800828,79.2755788618743,89.20486085130806,100.3543233398753,112.86508266084368,126.89354238111538,142.61251846626442,160.21234071237302,179.90189867852112,201.90958805929648,226.4841015285108,253.89499602956153,284.4329562740317,318.4096622219615,356.1571572805013,398.02660491807376,444.38631569215994,495.61892592608467,552.1176152047884,614.2812642762259,682.5084794494752,757.1904453412737,838.7026152758012,927.3953071971584,1023.5833407475129,1127.5349249282485,1239.4600808581972,1359.4989548082624,1487.7104365009795,1624.0615401837679,1768.418025536899,1920.536727898626,2080.0600305687913,2246.5128466227225,2419.3023868869063,2597.7208800173453,2780.9512873041454,2968.0759272581327,3158.087801745075,3349.904304292089,3542.3828987262623,3734.3382872236793,3927.5018240220143,4125.137825982734,4331.23785236725,4550.077533545007,4785.992921656638,5043.283984384074,5326.187044784601,5638.8803414297645,5985.501129860245,6370.161599502507,6796.956271691357,7269.956793532264,7793.192022910012,8370.612573593728,9006.039903587869,9703.100787060994,10465.148714835694,11295.174459022524,12195.708708559436,13168.720301254772,14215.514096847317,15336.632903137297,16531.768037160145,17799.683041884513,19138.154769790053,20543.935491890108,22012.73891858587,23539.252069523023,25117.173859692248,26739.24424956357,28385.064797706174,30027.997163407825,31639.183869908222,33190.000496948545,34653.6059337572,36005.93658419332,37226.329037431686,38297.874668558856,39207.56932623155,39946.301471966915,40508.71240835004,40892.957175559095,41100.39156993464,41135.208221195,41004.042183158024,40715.5638633924,40280.07434838149,39709.11536235835,39015.103341619484,38210.99451456644,37309.985530777485,36325.25213271764,35269.72663782991,34155.91360103506,32995.741945077076,31800.45105331679,30580.50778333657,29345.551042955703,28104.360434915194,26864.84548581008,25634.052094881776,24418.18303883005,23222.62962385982,22052.011864032567,20910.22486807595,19800.48942136189,18725.40504543072,17687.00409677984,16686.805724666483,15725.868741413837,14804.842666762506,13924.016389999702,13083.364050654203,12282.58787183061
D,3810.0,3810.0,3810.0513205964044,3810.1230814158803,3810.204735170772,3810.293933760985,3810.39140840272,3810.4989240427035,3810.618538261476,3810.7523876471287,3810.9026713328913,3811.0716979514673,3811.2619460849055,3811.4761224084978,3811.717214585349,3811.988540129025,3812.293793301467,3812.6370918616226,3813.023024970175,3813.456703067391,3813.94381013723,3814.4906584405444,3815.104245514409,3815.7923129656024,3816.5634063130265,3817.426934842451,3818.3932301201394,3819.47360146828,3820.680386339235,3822.026993148066,3823.5279337505403,3825.19884241065,3827.0564778177386,3829.118704524589,3831.404450124125,3833.933634604674,3836.727068659907,3839.8063183097715,3843.193534029461,3846.911243682771,3850.982109888959,3855.4286539683576,3860.272950236769,3865.5362960566945,3871.238864595973,3877.3993485787278,3884.034604334637,3891.1593060737823,3898.785620477058,3906.9229113718925,3915.5774834719687,3924.7523729447867,3934.4471910087605,3944.658024949792,3955.3773989953042,3966.5942955026712,3978.314178971192,3990.5634876906,4003.388386190922,4016.85203749021,4031.032052442,4046.0186106062797,4061.913269837315,4078.828317028049,4096.886480044943,4116.220837289879,4136.974790264353,4159.301992086861,4183.36614727442,4209.340615493821,4237.407766013257,4267.758041975331,4300.588705764126,4336.102249558639,4374.504469060952,4416.002213320395,4460.800839136478,4509.101414030553,4561.097726377419,4616.973174071627,4676.897613203476,4741.024254911249,4809.486701347631,4882.39621030044,4959.8392724731975,5041.875332680101,5128.451838120805,5219.391194339316,5314.403540048066,5413.107101674259,5515.049377157712,5619.726919327045,5726.603134624805,5835.124034182642,5944.7319966755085,6054.877609930507,6165.029650622417,6274.683265442655,6383.3664338975905,6490.644816345135,6596.125114818251,6699.457094253325,6800.334425589272,6898.494519064787,6993.7175162211615,7085.8246035464745,7174.675800596031,7260.167362081282,7342.228918045082,7420.820459888193,7495.9292635412,7567.5668251502175,7635.765869740965,7700.577479757823,7762.068378319941,7820.31839156467,7875.418105546229,7927.466725752155,7976.570141279591,8022.839190941893,8066.388124906149,8107.333252744655,8145.791766873909,8181.880729117659,8215.716207442987,8247.412549670309,8277.08178105356,8304.83311298339,8330.772550614265
R,0.0,96.8014224172222,182.88811732619504,267.1712285064832,355.09260264479565,450.2348840449397,555.2247966763572,672.2422704960426,803.3110881636632,950.4693844445721,1115.8748323347882,1301.8749984600956,1511.0597765275907,1746.3052673249465,2010.814291822771,2308.1563995252964,2642.308928915353,3017.699923643418,3439.2532471451063,3912.4359247710213,4443.307495106324,5038.570925132931,5705.624411349864,6452.613136730551,7288.479774844925,8223.012226729217,9266.886747460212,10431.704277534916,11730.017454489593,13175.345464287273,14782.17362763923,16565.934437013642,18542.96670320017,20730.449575129616,23146.308500273826,25809.09072559084,28737.808718577216,31951.750914795346,35470.260450280664,39312.483967629814,43497.09412167283,48041.99096149728,52963.98882293193,58278.49661760816,63999.20034661648,70137.75721241374,76703.5107944297,83703.23636947531,91140.92461307466,99017.61066357842,107331.25394859511,116076.67236510667,125245.53248338198,134826.39552330048,144804.81703356205,155200.57025208522,166057.10904084644,177434.75679000438,189406.53236352425,202055.7535346624,215474.78635592316,229764.49568994518,245034.09087037382,261401.1573009762,278991.72948124097,297940.3028829391,318389.7090348067,340490.7959608545,364401.86896384554,390287.85752139793,418319.18460966035,448670.32613409404,481518.0607517673,517039.4241484406,555409.3963430959,596798.3651185555,641369.4223438962,689275.5618359997,740656.8566334015,795637.699406424,854324.1917096969,916801.7656756102,983133.1156185018,1053356.5072147364,1127484.06660036,1205346.2558842106,1286648.0679666784,1371006.431209314,1457977.339122564,1547077.028591041,1637799.3730541477,1729630.5460794056,1822061.4523433454,1914598.1593220758,2006770.4549706979,2098138.6278443676,2188298.5740525858,2276885.3568044365,2363575.3666991005,2448087.248295006,2530181.7684840756,2609660.8045211253,2686365.625041914,2760174.627392297,2831000.6805845094,2898788.2066349005,2963510.1151861437,3025164.6882157354,3083772.494083642,3139373.3937528776,3192023.687107349,3241793.434105892,3288763.9741329746,3333025.657318444,3374675.793713221,3413816.8198899645,3450554.6776248114,3484997.3956329995,3517253.862700954,3547432.778810283,3575641.7698272727,3601986.6508921036,3626570.8236591257,3649494.7929041493,3670855.788634313,3690747.480633675,3709259.773290191,3726478.669526648,3742486.193659714
G,255112.0,255112.0,255121.38676009947,255136.8897729411,255156.93757859146,255180.8689825001,255208.5211897,255240.0156976516,255275.64822945694,255315.83356592938,255361.07947708498,255411.97619826376,255469.1943229449,255533.48735533113,255605.6969290936,255686.7596143766,255777.71470231176,255879.71258432334,255994.0234422717,256122.04599260297,256265.31601351465,256425.51434502986,256604.47399714828,256804.1859371154,257026.80305853087,257274.64176791665,257550.1805648069,257856.05494694147,258195.04795150761,258570.07565624666,258984.16702050623,259440.4375550304,259942.05647726735,260492.207239237,261094.04160507242,261750.6277959479,262464.8935944064,263239.5656839703,264077.10686335224,264979.6530843762,265948.9524861409,266986.3087069985,268092.5307313044,269267.8913622658,270512.0961117191,271824.26388167194,273202.9203113755,274646.00411535555,276150.88618292904,277714.4006872761,279332.8869955102,281002.2408053478,282717.9726740042,284475.2719559793,286310.13119725813,288250.9725753717,290321.82363851997,292544.4816985705,294939.9515452079,297529.37542402284,300334.6129689341,303378.57890054735,306685.40880006214,310280.4966761618,314190.43018001463,318442.8380867245,323066.15830153454,328089.3318093531,333541.42763915856,339451.20527159044,345846.6233465236,352754.3064939032,360198.985147835,368202.92589995905,376785.37195685424,385962.0143212597,395744.5142488638,406140.09627991443,417151.2287559804,428775.4053547601,441005.0370382916,453827.45919484494,467225.0539693777,481174.98208661436,495478.5996838259,509977.0174300963,524535.7252452745,539037.5575693565,553379.6245582529,567472.0417662517,581237.3786695945,594610.2987895057,607537.1502789808,619975.4150326822,631893.0010904009,643267.4004919977,654084.7504631217,664338.8396025706,674030.0981525308,683164.6057077568,691753.1427819241,699810.3056286298,707353.6972476599,714403.2019178142,720980.3460096767,727107.7442442604,732808.6279012803,738106.4496292609,743024.5583379857,747585.9370303792,751812.9962328592,755727.4158014744,759350.0282229503,762700.7370187867,765798.4644361391,768661.1232247049,771305.6079196249,773747.8016519323,776002.5950738884,778083.9145065335,780004.7568857091,781777.2294990016,783412.5928703807,784921.3054643269,786313.0691506127,787596.8745988414,788781.0459628269,789873.28437336,790880.7098881152
H,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,3083179.693586985,2980396.8789166366,2877614.064246288,2774831.2495759395,2672048.434905591,2569265.6202352424,2466482.805564894,2363699.9908945453,2260917.176224197,2158134.3615538483,2055351.5468835,1952568.7322131516,1849785.9175428033,1747003.102872455,1644220.2882021067,1541437.4735317584,1438654.65886141,1335871.8441910618,1233089.0295207135,1130306.2148503652,1027523.4001800168,924740.5855096683,821957.7708393199,719174.9561689715,616392.1414986231,513609.3268282747,410826.51215792634,308043.69748757797,205260.8828172296,102478.06814688123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
