series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
S,35464.73598664907,35420.90547218317,35380.12034769666,35341.77817435812,35305.43175113086,35270.747202194165,35237.47372861801,35205.42164537739,35174.446359409296,35144.43663866971,35115.30599776985,35086.986357044414,35059.42336567047,35032.5729461118,35006.39873692876,34980.87019760044,34955.96120194149,34931.648992605726,34907.913402762206,34884.736275670846,34862.10103099598,34839.99234003056,34818.39588183466,34797.2981595488,34776.68636150546,34756.54825572844,34736.87210934691,34717.64662662635,34698.8609009325,34680.504377141355,34662.566821897686,34645.038299785,34627.90915396139,34611.16999018119,34594.81166339478,34578.825266321626,34563.202119543006,34547.93376277385,34533.01194705737,34518.42862768922,34504.17595772516,34490.246281961365,34476.63213130326,34463.32621745832,34450.32142790346,34437.610821088754,34425.187621847814,57089.45904180889,79744.71000972335,102391.23051930715,125029.25116815923,147658.82351968673,170279.76602176673,192891.6358174024,215493.7109409519,238084.9739853774,260664.09140919044,283229.38444620883,305778.7886295142,328309.79945918184,350819.4018635562,350627.56709974044,350420.3928369197,350195.2058419451,349949.594370389,349681.26735214045,349387.9659555087,349067.4089605651,348717.26036723313,348335.11205203726,347918.4770411107,347464.79068798356,346971.41810796695,346435.66686140455,345854.80424334365,345226.0787209403,344546.74512264086,343814.09316530044,343025.4788354883,342178.3580411184,341270.32183720445,340299.13242062175,339262.75899706804,338159.412560773,336987.5786032142,335746.0467872929,334433.9366905245,333050.7188332175,331596.2303598701,330070.6849252414,328474.6765394231,326809.17733610177,325075.5294323552,323275.43123521446,321410.91871037456,319484.342255147,317498.3399073195,315455.80767328385,313359.86777445604,311213.83559453004,309021.18606674584,306785.5201761292,304510.5321727465,302199.97800427617,299857.64538485644,297487.3258266004,295092.78887382324,292677.75870041974,290245.8931596288,287800.76531354035,285345.84741745604,282884.497291435,280419.94697753113,277955.2935556109,275493.49197234516,273037.34972604533,270589.52324350836,268152.5157830321,265728.6766994008,263320.2019111552,260929.13541716101,258557.37171778752,256206.65900539464,253878.60299888896,251574.67130749603,249296.19821933703,247044.38982067493,244820.32936164233,242624.98279376197
E,0.0,43.83051446590061,75.83420678895342,98.98301653819188,115.49821816890335,127.04272916150887,134.86322502142633,139.8954962360728,142.84275595032335,144.23396771954012,144.46737073321606,143.84301133943848,142.5870928361818,140.87022546283958,138.82112164519867,136.53688538927597,134.09075160323036,131.53791376127253,128.91991682416096,126.26797213972999,123.60546146598934,120.94983040319465,118.31402156301436,115.70756042776753,113.13737885995208,110.608440233862,108.12421440769985,105.68703891814889,103.29839387678858,100.95911134495424,98.66953491194528,96.4296413902919,94.23913366355109,92.09751154622533,90.00412586881205,87.95821975367348,85.95896010158727,84.0054615908914,82.09680494561195,80.232050814028,78.41025028320107,76.63045281421013,74.89171219912963,73.19309100049513,71.53366382675416,69.91251971513397,68.32876383050058,66.78151864059247,74.56471566833778,89.51900952831166,109.97707523800048,134.784670132909,163.25191929593947,195.08846894399937,230.34124624377924,269.34321791239205,312.6767753225418,361.15285258061033,415.80561409209986,477.90206269953507,548.9659292864756,630.8155120743805,711.6060512624716,794.2229591091882,880.7120675567857,972.5886523339138,1071.0321656510596,1177.0081450133748,1291.3434628861178,1414.7714514502854,1547.9573703666179,1691.510867299034,1845.9896853798296,2011.897379017292,2189.676880921381,2379.7012102403696,2582.2622905427384,2797.558670177409,3025.6828486691165,3266.6088719422064,3520.18083871351,3786.102940619774,4063.9316256039374,4353.07041861616,4652.767850979665,4962.118839147671,5280.069718212362,5605.426981962783,5936.86961865694,6272.964770650644,6612.186297622943,6952.93569747426,7293.564744193147,7632.399143467304,7967.762486750098,8297.999801894357,8621.500049515482,8936.716992946202,9242.187968608767,9536.550194914544,9818.554373665442,10087.075451446246,10341.1205139601,10579.833879418955,10802.499535198447,11008.541123642275,11197.519727998519,11369.12973879245,11523.193095984114,11659.652204965143,11778.561816980191,11880.080149118827,11964.459497723192,12032.03657381634,12083.222761651065,12118.494473111828,12138.383742600352,12143.469180063674,12134.367374610078,12111.724818124085,12076.21039768437,12028.508487514111,11969.31265564828,11899.319987399924,11819.226016902168,11729.72024930994,11631.482249458126,11525.178267674171,11411.45836981578
I,181.31110014150698,138.00382098054212,105.91890018210691,82.13885698264527,64.5026119237161,51.40977610305584,41.67554005317035,34.42307059102575,29.00372017844066,24.937863669057432,21.87103516412477,19.541413881937448,17.755727999427847,16.371401859698064,15.283333069081527,14.414102351373668,13.706727987526163,13.119305959990559,12.621047089314628,12.189348737584835,11.807632367833058,11.463747783998055,11.148796463060139,10.856264655197938,10.581385303585135,10.32066887264961,10.071558765451437,9.832178562843957,9.601146872677758,9.377441910982224,9.16030262360622,8.949156622724562,8.743567774326905,8.543198164969704,8.347780572686979,8.157098596991185,7.970972361910528,7.789248264778956,7.611791654415205,7.43848162416697,7.269207326726457,7.103865379834179,6.942358050629298,6.784591993027474,6.6304773756287565,6.479927283553891,6.332857310896602,6.189185284557905,6.048831077590156,6.097938079603863,6.43492558718328,7.101299899904463,8.105527971761676,9.440232694264964,11.093981774569771,13.059013781885373,15.33609215587926,17.937466223883476,20.88870659046475,24.229995697939792,28.017302628036948,32.32375592430315,37.24144661956107,42.603158884656025,48.339426804135115,54.43836517081634,60.92128625702949,67.82804215024059,75.20831061168452,83.1164699924006,91.60860238402441,100.7407228334847,110.56768116793985,121.14240040487823,132.51525130877525,144.7334474538077,157.84039861664337,171.87499458308142,186.87081399872238,202.85526827425957,219.84870144398903,237.86347475370175,256.90307035388764,276.9612520744252,298.0213228859229,320.0555182357602,343.0245719130354,366.8774864559611,391.55153350636675,416.97250122733067,443.0551963650165,469.7041983050706,496.8148521692074,524.2744782553058,551.963766536584,579.7583179969185,607.5302896467888,635.150097332723,662.4881299507385,689.4164302746198,715.8103010575635,741.5498000112485,766.5210933049244,790.6176439362615,813.7412182987938,835.8027011429948,856.7227155944436,876.4320507179361,894.871904137836,911.9939513483939,927.7602565405139,942.1430420519404,955.1243349742945,966.6955101093665,976.8567484629573,985.6164299103627,992.990477677435,999.001670964469,1003.6789404976005,1007.0566601131354,1009.1739457405769,1010.0739714131184,1009.8033102501515,1008.41130676295,1005.9494853593949,1002.4709985842037,998.0301174374868,992.6817650699462,986.4810942558532
A,1631.793069505088,1566.5213467248843,1511.7637784941573,1464.9672488599083,1424.2166508700127,1388.0740102657383,1355.4587202090515,1325.5581920430097,1297.7610774288007,1271.6072816215442,1246.75049356578,1222.9300630243547,1199.949868533909,1177.66242126722,1155.956895482619,1134.750107209288,1113.9797091140053,1093.5990530866572,1073.573309135739,1053.8765316361353,1034.489440652252,1015.3977435203708,996.5908649813284,978.0609865293414,959.8023199832516,941.8105586057858,924.0824628984602,906.6155486091372,889.4078523479678,872.4577561465577,855.7638567881303,839.3248691387782,823.1395552889092,807.2066732708547,791.5249406048604,776.0930090555642,760.9094478408616,745.9727331899043,731.2812426461765,716.8332528924607,702.6269401653134,688.6603825488864,674.9315636078343,661.4383769490365,648.1786314013513,635.1500565787914,622.350308650839,609.7769761882769,597.4275859870987,586.9755961549764,579.6381647810157,576.283120443034,577.5354516672444,583.8707528568417,595.6932395864395,613.3994204651916,637.4299825483367,668.3129991288622,706.7016439002199,753.4094386425425,809.4458234898195,876.0546120329346,954.757731199673,1044.8804466464558,1146.2952956209956,1259.2488074340145,1384.2508766974206,1522.0036747986137,1673.355386865638,1839.2693678738437,2020.8026691646153,2219.090016115326,2435.330673517919,2670.776504852785,2926.7200973182394,3204.4822018990517,3505.3980003727693,3830.8019053536564,4182.010754135438,4560.305389543239,4966.910740788065,5402.974628620903,5869.545622369316,6367.5503696359965,6897.77089890569,7460.822456682087,8057.132479749367,8686.921316158889,9350.185293337248,10046.682687790937,10775.923079683942,11537.160480454479,12329.390507672328,13151.351754841806,14001.53137186679,14878.174741567227,15779.29901566022,16702.710165726618,17646.02311529836,18606.68445123619,19581.997167386417,20569.14687102392,21565.22888147453,22567.27566825718,23572.28411011352,24577.242103040964,25579.154101444776,26575.065238415857,27562.083735843706,28537.401379901294,29498.311900160705,30442.227149464867,31366.691035408476,32269.391202019222,33148.168501507505,34001.02433061941,34826.12593429255,35621.809801285366,36386.58329267932,37119.12465518668,37818.28157763509,38483.0684514655,39112.662495187265,39706.39889907473,40263.765140513555,40784.39461281573,41268.05970146919,41714.664432065016,42124.23680389208
IH,0.0,7.524989524019333,13.16416659864629,17.405454091465927,20.60995678503704,23.044844616997647,24.907726906008623,26.34471759446768,27.46382234200835,28.344856748185602,29.046792567580002,29.613197142959773,30.076259482368762,30.45976896044622,30.781318070746455,31.05393050201423,31.287263761506704,31.488496953051193,31.662985672179182,31.814744734457047,31.946803697879957,32.06146845952507,32.160513549187,32.245323328001334,32.31699554880782,32.376417217265995,32.42432008944257,32.46132121599749,32.48795251957547,32.50468234030022,32.511931107785955,32.51008272522793,32.49949282885957,32.48049477507065,32.45340397867284,32.41852105764353,32.3761341162491,32.32652040797076,32.26994755343241,32.20667444013824,32.136951895532754,32.061023199205124,31.979124481403293,31.891485041510116,31.7983276103744,31.699868573364842,31.596318165977266,31.487880650228853,31.374754477517897,31.257132441823078,31.142930616669833,31.04405677309768,30.974001404292405,30.946447889545116,30.97461264857342,31.071082325414196,31.247973541073453,31.517292225854952,31.891411621035836,32.38362083832907,33.008720535900906,33.78366035294003,34.72822583058946,35.86579209263652,37.212519603605365,38.78149587783397,40.585161371286226,42.636694886174965,44.950774356572765,47.54396702975273,50.434902355371264,53.64431846431308,57.195034608144674,61.111878344645746,65.4215819705318,70.15265421324453,75.33522832359401,81.00088511711891,87.18244837048125,93.91374978682487,101.22936119223566,109.16429252027127,117.75365535278678,127.03229321471721,137.03438138253716,147.79300057743055,159.33969048927113,171.70399052891148,184.9129764480182,198.99080241855106,213.9582587616407,229.8323557105257,246.6259433602146,264.3473772995939,283.00023836813847,302.5831135817774,323.0894436033193,344.50744027858343,366.8200758135488,390.0051432240064,414.03538583464103,438.8786919147845,464.4983490735136,490.85335184002184,517.8987549509643,545.5860642622754,573.8636568910798,602.6772221534746,631.9702150663657,661.6843145899666,691.7598793623371,722.1363943778562,752.7529028484641,783.548418323399,814.4623129975633,845.4346789828543,876.4066601280668,907.320752733632,938.1210742045147,968.7535993094492,999.1663642625092,1029.3096393121812,1059.1360709146893,1088.6007948853878,1117.6615221692539,1146.2785990545963,1174.4150437794317,1202.0365615543133,1229.1115400554957
IN,35.78228963694553,68.2995633878771,89.30292169540394,102.05773745564255,108.95565547759367,111.7435953558684,111.69323448321022,109.72638818202142,106.50771350793158,102.51320721497557,98.0807774619146,93.44754449406553,88.77732099974085,84.18082952565696,79.73055181772149,75.47161362889052,71.42974420957415,67.61707958773378,64.03637853521906,60.68407175810151,57.552454950337314,54.6312549743786,51.908738204939,49.37248552111313,47.009925497736624,44.80869301775087,42.75686256992163,40.843092254496185,39.0567047657093,37.38772444483755,35.82688422697454,34.365612439994884,32.996006586122526,31.7107991720781,30.503319151137028,29.36745145052422,28.29759627039659,27.288629275110605,26.33586339379835,25.43501266153162,24.5821583322522,23.773717356503205,23.00641322347136,22.277249105272766,21.583483202551772,20.922606167602602,20.292320469507253,19.690521561705726,19.11528071346122,18.56482937106038,18.07429631194479,17.695028271989987,17.48187815957329,17.48636471491449,17.753849868649656,18.323300227594792,19.228595082587425,20.500673018050726,22.170067016146643,24.269570460676942,26.836914572913276,29.91743339087335,33.56675650865089,37.85361194504357,42.807455968248036,48.44134775231512,54.76480928344588,61.7906997389047,69.53856986748977,78.0359905319059,87.31874857533032,97.4304333786174,108.42171167300148,120.34945179560457,133.2757775516879,147.26708497573162,162.39302942363375,178.72547747953132,196.33741315475817,215.30178775684524,235.690305751321,257.57214376399327,281.01260581072063,306.0717243441955,332.80282332696004,361.25106587703675,391.4520147091514,423.4302382530903,457.19799864836966,492.7540595250255,530.0826513990852,569.152630555699,609.9168634967042,652.3118635459083,696.2576992995741,741.658186639092,788.4013674102795,836.3602690736055,885.393931093393,935.3486759775567,986.0595960556631,1037.3522215623757,1089.0443315523942,1140.9478666924851,1192.8709020461033,1244.61963849703,1296.000373297187,1346.8214131709083,1396.8948972358196,1446.0385014700544,1494.0770013310594,1540.843674191984,1586.1815283106782,1629.9443499161614,1671.9975645529591,1712.2189129627448,1750.4989454347226,1786.7413416795393,1820.8630658600184,1852.794368450805,1882.4786481203682,1909.8721878680099,1934.9437802501204,1957.6742567442234,1978.0559361796404,1996.092006763672,2011.7958556044052,2025.1903588251882,2036.3071444271693
D,9.0,9.0,9.012036698180145,9.033093617878873,9.060934746018468,9.093901679531859,9.130763370618302,9.17060486011993,9.212744907400204,9.25667503372778,9.302014430486846,9.348476618124613,9.395844805817255,9.443953691101603,9.492676024128585,9.541912695358752,9.591585427469116,9.641631390932288,9.691999239652935,9.742646194150579,9.793535896896962,9.844636836334058,9.895921189332517,9.947363971235983,9.998942411761572,10.050635496551713,10.10242363007067,10.154288387272954,10.206212330124767,10.258178871436325,10.310172173157584,10.362177069742348,10.414179009721936,10.466164010490388,10.518118622666439,10.570029901394827,10.62188538267782,10.673673063358738,10.725381383765432,10.776999212301927,10.828515831479232,10.879920925022766,10.931204565799094,10.982357204380085,11.033369658116525,11.084233100631325,11.134939051669516,11.185479367261149,11.235846230166329,11.286032140580765,11.336029907086367,11.385845000526896,11.435501938981401,11.485046819428716,11.53454762628101,11.584093484452332,11.633793651992454,11.683776768255203,11.734190676841669,11.785203013137403,11.837002669305296,11.889802212100028,11.943841320299562,11.999391320910249,12.056760930932015,12.116284717053121,12.178318180271374,12.2432367208832,12.311436819515318,12.383338435081267,12.459388026857734,12.540061853108112,12.62586934405191,12.71735643074933,12.81510875751447,12.9197547286661,13.031968350041325,13.152471827523776,13.28203788251524,13.421491740130842,13.571712741441392,13.733635527347001,13.908250739357772,14.096605182186703,14.299801394975637,14.518996582389445,14.755400863805402,15.010274808335828,15.28492623525488,15.580706273219377,15.899004687016696,16.241244496871936,16.608875931957506,17.003369775988084,17.426210177972905,17.87888701470113,18.362887902804264,18.87968996683779,19.430751475456667,20.017503460278956,20.641341431442513,21.30361730030368,22.00563161346821,22.748626193743288,23.53377727308388,24.3621891906446,25.234888716119826,26.152820045127477,27.116840499900725,28.127716955384688,29.18612299832106,30.292636815309063,31.447739795356938,32.65181582322292,33.90515123196784,35.20793537663166,36.56026178578634,37.962129843855756,39.4134469544479,40.91403113341443,42.46361397982188,44.06184397336424,45.70829004784277,47.40244539206104,49.14373143171277,50.93150194846508,52.76504729535734,54.64359867075424,56.56633241632886
R,0.0,68.53673866621747,137.5060877784992,206.2588640287528,274.34666683046714,341.4663865557443,407.4195072711145,472.08233104849955,535.3842522084062,597.2919552558716,657.7979642396582,716.912382387316,774.6569656046954,831.0608990538457,886.15781289436,939.983696555971,992.575461887803,1043.9699725872417,1094.203406674133,1143.310855061596,1191.3260859054317,1238.2814239242405,1284.2077081470889,1329.1343019511482,1373.0891368220548,1416.0987767603008,1458.188494224652,1499.3823513583568,1539.7032822872602,1579.1731737321782,1617.8129422033144,1655.6426067608381,1692.6813568197203,1728.9476148117233,1764.459093738982,1799.2328497951787,1833.2853303159065,1866.6324173667283,1899.2894672980226,1931.2713465987422,1962.5924643729315,1993.2668017475708,2023.3079385010694,2052.729077180555,2081.543064954367,2109.7624134247694,2137.3993166053947,2164.4656672486153,2190.973071690148,2216.9328633616915,2242.4231546015917,2267.574029812066,2292.5550926332708,2317.5660883339633,2342.830625772701,2368.592755716076,2395.11607261511,2422.6850127711373,2451.6080803319487,2482.2228180264774,2514.9024366393655,2550.0641176500517,2588.179103717081,2629.7847914340587,2675.398096504327,2725.533687951659,2780.717420428828,2841.4965395047107,2908.447684737857,2982.1833560274795,3063.3572713945064,3152.668885450543,3250.867229720141,3358.7541611275014,3477.187052206199,3607.080918926843,3749.409955107722,3905.2084235392144,4075.5708416786206,4261.651393216058,4464.662495542961,4685.87245695021,4926.602166079881,5188.220769537242,5472.140311287999,5779.809328982656,6112.705426916414,6472.326871992411,6860.18328667555,7277.785540250765,7726.634965435098,8208.21205027919,8723.964774199108,9275.296770977498,9863.55551000414,10490.020689536805,11155.893032319484,11862.283664769464,12610.20424668156,13400.557999760607,14234.13176120086,15111.589163989793,16033.46501965245,17000.160952763064,18011.942310640512,19068.93634700125,20171.131655612506,21318.378809662358,22510.392144981295,23746.752610607266,25026.9115985487,26350.195655922085,27715.81197678629,29122.85456775929,30570.310980628667,32057.069506368673,33581.92672795054,35143.595333775185,36740.712099171054,38371.8459499051,40035.5060287941,41730.149694044056,43454.19038568489,45206.00530422964,46983.94285332613,48786.329805564244,50611.47815765896,52457.69164787615,54323.271914753204
G,4372.0,4372.0,4372.878146525185,4374.397488608967,4376.380618241018,4378.694630754583,4381.239938116878,4383.941929500528,4386.74474268686,4389.606604367339,4392.496339044424,4395.390749962431,4398.272651809104,4401.129391266446,4403.951733201046,4406.733021239312,4409.468544491211,4412.1550593317215,4414.790427939804,4417.373344849766,4419.903129916809,4422.379571450816,4424.802807285132,4427.173234558968,4429.491441255043,4431.758154236286,4433.974199807074,4436.140473790565,4438.25791884258,4440.3275072730485,4442.350228062291,4444.327077074455,4446.259049709127,4448.147135413151,4449.99231361213,4451.795550725523,4453.557798008708,4455.279990025881,4456.963043603771,4458.607857151372,4460.215310257715,4461.786263500316,4463.3215584125965,4464.8220175706565,4466.288444768988,4467.721625261817,4469.122326052189,4470.491296215079,4471.829267244063,4473.323175010455,4475.116692793972,4477.32008893584,4480.020506468414,4483.291266745961,4487.199873870346,4491.814772131536,4497.211076824148,4503.475571482754,4510.711286746856,4519.04197279097,4528.61676425423,4539.615323799383,4552.253743783979,4566.510806217116,4582.4231024852,4600.06821231879,4619.554074072613,4641.012256484769,4664.593672885029,4690.465803033904,4718.810819038421,4749.8242215158125,4783.713725404413,4820.698220053796,4861.006683551013,4904.876968161868,4952.554399609247,5004.290152319172,5060.339378643654,5120.959084167257,5186.405754483357,5256.93275169541,5332.787511371684,5414.208582493044,5501.422563633232,5594.640997653883,5694.057294023003,5799.843751980061,5912.148758808556,6031.094235256397,6156.773394697725,6289.248874209868,6428.551284801524,6574.678215191733,6727.593709530177,6887.22822503839,7053.479061489082,7226.211241401211,7405.25880836563,7590.426501436068,7781.491756269722,7978.2069787725995,8180.302034349889,8387.486895319733,8599.454390373328,8815.883002853527,9036.43966874903,9260.782530329709,9488.563606964488,9719.431350580588,9953.033059194402,10189.017127766216,10427.035121143532,10666.743658943546,10907.806106805454,11149.894072472303,11392.68870862281,11635.881827271247,11879.176832910787,12122.289483427889,12364.94848920589,12606.895961813836,12847.887724292179,13087.693495351261,13326.096959840143,13562.895737668649,13797.901263016482,14030.938585178425,14261.846101807521
H,317469.7935474455,317469.7935474455,317469.7935474455,317469.7935474455,317469.7935474455,317469.7935474455,317469.7935474455,317469.7935474455,317469.7935474455,317469.7935474455,317469.7935474455,317469.7935474455,317469.7935474455,317469.7935474455,317469.7935474455,317469.7935474455,317469.7935474455,317469.7935474455,317469.7935474455,317469.7935474455,317469.7935474455,317469.7935474455,317469.7935474455,317469.7935474455,317469.7935474455,317469.7935474455,317469.7935474455,317469.7935474455,317469.7935474455,317469.7935474455,317469.7935474455,317469.7935474455,317469.7935474455,317469.7935474455,317469.7935474455,317469.7935474455,317469.7935474455,317469.7935474455,317469.7935474455,317469.7935474455,317469.7935474455,317469.7935474455,317469.7935474455,317469.7935474455,317469.7935474455,317469.7935474455,317469.7935474455,294793.379722628,272116.96589781047,249440.55207299293,226764.13824817538,204087.72442335784,181411.3105985403,158734.89677372275,136058.4829489052,113382.06912408768,90705.65529927015,68029.24147445262,45352.82764963509,22676.413824817555,2.1827872842550278e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
