series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
S,110724.46544382357,110700.66032911529,110678.60307318068,110657.88265427989,110638.21490459512,110619.40173062528,110601.30370931621,110583.8215774469,110566.88367510737,110550.4373968565,110534.44335204399,110518.87136312693,110503.69771491433,110488.90325767588,110474.47209471451,110460.39067110141,110446.6471385236,110433.23091071508,110420.13235082432,110407.34255039923,110394.853172199,110382.65633762417,110370.744545451,110359.11061261446,110347.74763058542,110336.648932827,110325.80807016048,110315.21879180851,110304.87503053738,110294.77089077834,110284.90063893022,110275.25869527254,110265.83962707892,110256.63814263494,110247.64908594573,110238.86743197685,110230.28828231365,110221.90686115464,110213.71851157601,110205.7186920203,110197.90297297387,110190.26703380619,110182.80665975019,176375.62202815028,242563.7043645538,308747.23758975894,374926.3334463593,441100.9823493973,507271.0350926498,573436.1963223448,639596.0206972272,705749.9067633789,771897.0857769281,838036.6038754332,904167.2965108239,970287.7541489959,1036396.2780681651,1036290.7204578479,1036176.3083670466,1036051.4910467799,1035914.9309953038,1035765.3702361991,1035601.5571233581,1035422.2063268303,1035225.9772502392,1035011.4629603961,1034777.1854169364,1034521.5948012377,1034243.0718314145,1033939.9325316818,1033610.4352259617,1033252.7896696369,1032865.1682861135,1032445.719472588,1031992.5829025337,1031503.906693293,1030977.8662342939,1030412.6843917666,1029806.6527258554,1029158.1532820477,1028465.6804570412,1027727.862395235,1026943.481350671,1026111.4924537523,1025231.040353818,1024301.4732669702,1023322.354040564,1022293.4679467352,1021214.8270310181,1020086.6709613919,1018909.4644407331,1017683.8913548808,1016410.8459236582,1015091.4211990508,1013726.8953108123,1012318.715894259,1010868.4831486477,1009377.9319692902,1007848.913575309,1006283.3770210501,1004683.3509362035,1003050.9257910507,1001388.2369320762,999697.4485820616,997980.7389498213,996240.2865494858,994478.2577887165,992696.79585004,990898.0108598099,989083.9713150712,987256.6967195141,985418.1513653059,983570.2391873715,981714.7996100727,979853.604302656,977988.3547587467,976120.6806160741,974252.1386350549,972384.212258454,970518.311678752,968655.7743447865,966797.8658444749,964945.781105787,963100.6458634747,961263.51834426,959435.391128178,957617.1931484805,955809.7917969258,954013.9951053592
E,0.0,23.805114708293125,38.96954470435206,48.40624194098962,54.05785248393232,57.21845042760035,58.74873727691718,59.22003659526678,59.01064057779759,58.37025157209314,57.46305524353559,56.39648381150687,55.24039989627522,54.03987177437929,52.82366506554826,51.60987446965535,50.409648708614235,49.229646319130225,48.073648428832534,46.94361293162703,45.84035959744818,44.764012188599565,43.71428125599667,42.69064300252187,41.692450761787896,40.71900311893381,39.76958439721653,38.843487744372624,37.940027435225296,37.05854463292599,36.19840930076985,35.35901994997349,34.5398022601051,33.74020719457493,32.95970897204927,32.19780309198772,31.45400451334018,30.72784602665105,30.018876826372257,29.32666127238332,28.65077782134763,27.990818105678514,27.346386138092036,26.717097621492748,31.00305304468376,38.597111375653704,48.42966118415293,59.86212705103238,72.58045580991282,86.50767666280969,101.73909336735717,118.49852692082698,137.11228038762465,157.99729359632607,181.66046611366593,208.70690960034565,239.8557119178338,275.962546934177,310.4690449716687,345.3893362796869,381.9411078050107,420.90993710226076,462.8476056195535,508.17980905498837,557.264248360213,610.4213881626243,667.9500089923533,730.1341570452475,797.2450955477791,869.5402367324726,947.2601588186013,1030.624348585576,1119.8260718853935,1215.0266602064216,1316.3494548547228,1423.8736395073806,1537.6281979393736,1657.5862448045643,1783.6599855565014,1915.696561419586,2053.475023019328,2196.7046496815774,2345.0247899315987,2498.0063434012836,2655.1549377887363,2815.9157806707635,2979.6800897989087,3145.7929324496426,3313.562239783492,3482.268710646968,3651.176284299258,3819.5428451243315,3986.6308248124137,4151.717387499074,4314.103918345409,4473.124582489726,4628.1537751519445,4778.612340805574,4923.972495933876,5063.761442732342,5197.563707748912,5325.0222782375695,5445.838639114235,5559.771834729764,5666.636692666745,5766.3013522931815,5858.684239996198,5943.750627125824,6021.508896966249,6092.006634710491,6155.326640504127,6211.58295104219,6260.916940673676,6303.493559041262,6339.49774935343,6369.131079706477,6392.608609584715,6410.156004815128,6422.006906815016,6428.4005558737545,6429.5796633456275,6425.788523872284,6417.271355964747,6404.270857318626,6387.026959980687,6365.775769806917,6340.748674440198,6312.171604190807,6280.264430639078
I,132.43932355869183,99.35890059766251,75.42123195202473,58.023242486395304,45.31972975502225,35.99819520926342,29.121811012111912,24.019565468463835,20.2091706965877,17.342787868231294,15.168691270659588,13.504100108999404,12.215859604240423,11.206656688499029,10.405150973372585,9.758884693552027,9.229171776333665,8.78740120729693,8.41235451602656,8.0882529135981,7.803331181335204,7.548793096886552,7.318044115373216,7.106126163881427,6.909300223798366,6.7247372958673886,6.5502890735526105,6.38431739379217,6.225567140617185,6.07307134942992,5.926080227114455,5.784007972032036,5.646392867885255,5.512867294257097,5.383135158192216,5.256954887881694,5.134126601161224,5.0144824117081646,4.8978790963590715,4.784192541192914,4.673313529077859,4.565144539891881,4.459597315930211,4.356591006015368,4.2560507476563965,4.339060406142588,4.682062558644847,5.302866219753541,6.1912261461652305,7.327846654346135,8.69540634877873,10.284433392020457,12.096095702876339,14.14333179291724,16.451261264455106,19.057467747828596,22.012516228685577,25.380923903663597,29.242724345254885,33.41551991035089,37.83692740214157,42.505159310774125,47.44791473401597,52.7063716268886,58.32715911949272,64.3584823994286,70.8483525472752,77.84383343300922,85.39073363016544,93.53344741836275,102.31479601866198,111.77579821276534,121.95534087391832,132.88974217224066,144.61221267545423,157.15222719177257,170.53482552308526,184.779864512318,199.90124734114934,215.9061590176004,232.79433922470133,250.55742492094487,269.17839501486776,288.6311478514717,308.8802390142842,329.8808020600606,351.578668407196,373.9106949848025,396.8052998363522,420.1831971715002,443.958314928,468.03887028792695,492.32857227041586,516.7279158697935,541.1355294564478,565.449536387166,589.5688929105291,613.394667298028,636.8312293780385,659.7873249279689,682.1770152932129,703.9204687615693,724.9445962769038,745.1835297316877,764.5789461095484,783.080245003974,800.6445904358052,817.2368304103297,832.8293093261441,847.4015892427849,860.9400962292386,873.4377076625995,884.8932955424086,895.3112397461123,904.7009237809268,913.0762240814879,920.4550023411324,926.8586088128156,932.3114030242066,936.8402969576287,940.474324474399,943.2442396296894,945.1821455347713,946.321154578256,946.6950801115019,946.3381591269543,945.2848050006997,943.5693890194491,941.2260491545335
A,904.9327225850758,868.7354136816728,839.9988290456398,816.242026183063,795.8190703505658,777.6405488393558,760.9874900789587,745.3870822664518,730.5297342415909,716.2137896950043,702.3087298156128,688.7307274984084,675.426444566494,662.3623226699166,649.5175293955599,636.8793314114492,624.4400751815879,612.1952293193112,600.1421255446735,588.2791573677513,576.6052770942496,565.1196859998197,553.8216485696771,542.7103855989246,531.7850167471918,521.0445335490311,510.48779071023944,500.1135079786598,489.92027777143755,479.90657560464837,470.07077156094863,460.41114178141714,450.92587943401537,441.61310489484947,432.47087504618213,423.49719169013144,414.69000912710135,406.0472409710393,397.56676628090054,389.24643508624075,381.08407337896205,373.0774876354656,365.22446892527785,357.5227966544129,349.97024198468796,343.80236061533344,339.7993451514753,338.44001192651285,340.0227295918975,344.7546067095502,352.81502577489823,364.4002663512837,379.7552908060675,399.1976825046359,423.1376345223321,452.0969678008117,486.72947300533326,527.8444204959399,576.4348408137521,631.7974927861765,693.7660054159871,762.4882328735358,838.3045408304173,921.6810524427729,1013.1727705926317,1113.4028481972493,1223.050456844127,1342.8430689509955,1473.5508040502527,1615.9814941089205,1770.9756764680553,1939.401033596519,2122.1459798894552,2320.1122093595486,2534.2060982882635,2765.328922157745,3014.3659060965183,3282.1741871154836,3569.569825890738,3877.314065023075,4206.099087466179,4556.533580199928,4929.128450835757,5324.283075270152,5742.2724697406,6183.235778453905,6647.1664472078955,7133.904414269186,7643.130593723699,8174.363856391504,8726.960633063956,9300.117178872504,9892.874450940099,10504.125468886135,11132.624953531835,11777.000976737207,12435.768307113476,13107.343103696941,13790.058592749892,14482.181360907363,15181.927909367643,15887.48113662228,16597.00644890356,17308.66723554863,18020.63948836631,18731.125387585675,19438.365720114678,20140.65103705564,20836.331495505914,21523.8253637768,22201.62619878712,22868.30872931289,23522.5334990192,24163.050338965513,24788.700750892294,25398.419290482874,25991.234044414905,26566.26629685248,27122.7294805573,27659.927505464973,28177.252553793147,28674.182425891642,29150.277515432936,29605.177486449746,30038.597718384375,30450.325578908934,30840.216577955027,31208.19045027013,31554.227207980704
IH,0.0,7.576141461791373,13.175044496215058,17.341870473854698,20.46676468639403,22.829947013494483,24.633416684799084,26.023318788358814,27.10577598892559,27.958132825463377,28.636969257089945,29.183831430032164,29.629344088890782,29.99617178074299,30.301158355093747,30.556877938010118,30.77276294468568,30.955927084570906,31.111767680740805,31.24440778848245,31.357021647492733,31.452074907458567,31.53150240762204,31.596840070265646,31.6493229840564,31.689958510215366,31.719580891356788,31.738892129930093,31.74849265244251,31.748904359610215,31.74058798977483,31.723956227397352,31.699383622538523,31.66721411638301,31.6277667669096,31.581340119391406,31.528215555087904,31.468659868395953,31.402927260595384,31.33126089179269,31.253894097766615,31.171051352208007,31.08294903513631,30.98979605343653,30.891794348278054,30.78913931574111,30.6923829967215,30.6163320726687,30.576646084541157,30.58822304389341,30.664690238263308,30.81853140713998,31.061548585618347,31.405478385652852,31.8626660613893,32.44675550445081,33.17338769363286,34.06092091247293,35.1311984347217,36.410397085899085,37.91396641036908,39.653614244025846,41.64081499087913,43.88849900874152,46.411807349227345,49.22837882089565,52.35841216141581,55.82462625154528,59.652177693875956,63.86856169111848,68.50350493958533,73.58885064065554,79.15843167896304,85.24792637437884,91.89469086351666,99.1375625317566,107.01662971418442,115.57296397671978,124.8483126104978,134.88475048390174,145.72429206170492,157.40846617484775,169.97785794832743,183.47162409428236,197.9269894661467,213.37873425462712,229.85868239494624,247.39520256429395,266.01273351329274,285.73134535479386,306.5663478164852,328.52795537153577,351.62101764571486,375.8448216389724,401.1929701936706,427.6533389020507,455.2081113869263,483.83389072145417,513.5018827727365,544.1781455380295,575.8238971475115,608.3958741666446,641.8467311542848,676.125472109785,711.1779044465804,746.9471064217723,783.3738994833823,820.3973177174421,857.9550674335535,895.9839708700347,934.4203889828839,973.2006192671898,1012.2612655128092,1051.5395772926618,1090.9737578032593,1130.5032394107761,1170.0689268952829,1209.6134089286038,1249.0811387692304,1288.4185855153628,1327.5743575310494,1366.499299858505,1405.146567560747,1443.4716770116809,1481.4325371746056,1518.9894628932411,1556.1051721697609,1592.7447693290528,1628.8757158739468
IN,25.504281499237937,49.05169533270545,64.42197894429509,74.003189855533,79.49887419091591,82.12653326876979,82.75750093677844,82.0158481321994,80.34854372907363,78.07538622591125,75.42465245226317,72.55862857684811,69.591950327079,66.60481571281107,63.65252948763485,60.7724147797576,57.98882905823838,55.31681101015101,52.76473573052909,50.33624960677761,48.031680675921656,45.849066138347766,43.78489987639364,41.83467485291334,39.99327504970743,38.255256950173624,36.61504991274256,35.06709700806208,33.60595220692687,32.22634563589417,30.92322555164491,29.69178342594345,28.52746686485232,27.425983851836683,26.383300890137573,25.395636941599843,24.459454555593034,23.57144920757874,22.72853758893009,21.927845383159468,21.16669491050367,20.442592909297172,19.75321863865211,19.096412425146646,18.470164730896936,17.872605787365163,17.336881210656497,16.908314253936673,16.632180193189797,16.548307506514508,16.689752917317193,17.083701166126037,17.753427165906963,18.72064492479012,20.00789401189507,21.640821967692837,23.650346077984217,26.07474890482746,28.961799994521165,32.371016009679956,36.322222154974774,40.82170916616855,45.87494088285481,51.492296027947575,57.69128677172161,64.49706115454725,71.94212071592848,80.06571890254946,88.91316060701836,98.53509612180414,108.98683864731503,120.32770359171636,132.62035439168406,145.93013507942476,160.32436994483976,175.871613154901,192.6408349811945,210.70053580951648,230.11778409314803,250.95717970440887,273.27974960046305,297.1417881914493,322.5936600860965,349.67858775824266,378.43145086724894,408.8776272106576,441.0319073427229,474.8975155583447,510.46526909046673,547.7129049627346,586.6046000421244,627.0907046144589,669.1077035176216,712.578411844192,757.4124048448881,803.5066743202681,850.7464968592856,899.0064931053793,948.1518520747634,998.0396906089355,1048.52051541971,1099.4397539014337,1150.6393198861422,1201.959181684473,1253.2389019218529,1304.3191216488424,1355.042964765477,1405.2573427412378,1454.814143736582,1503.5712943616652,1551.3936862930534,1598.1539636900468,1643.7331707196183,1688.021261453212,1730.9174769066594,1772.330596046202,1812.1790691879155,1850.3910433983397,1886.9042902951942,1921.666047090244,1954.632781857111,1985.7698938920003,2015.0513597110125,2042.4593347377966,2067.9837201201954,2091.6217034105966,2113.377281083757,2133.2607700752255,2151.2883147258917
D,9.0,9.0,9.009123916748162,9.024990569943995,9.045875314937057,9.070523357485452,9.098017371023426,9.127683295846557,9.15902307419327,9.191666451401122,9.225336318525446,9.259823705639203,9.294969676672466,9.33065217681229,9.36677644606879,9.403268009432418,9.440067534863172,9.477127049740798,9.514407148456778,9.551874925377106,9.589502440246708,9.62726557553463,9.665143183081938,9.703116444848833,9.741168392500553,9.77928354511466,9.81744763492979,9.85564739885961,9.893870419236519,9.932105001484148,9.970340079549066,10.008565142243178,10.046770175372627,10.084945615812691,10.123082314645636,10.16117150719397,10.199204788317077,10.23717409174066,10.275071672489846,10.31289009172334,10.350622203436588,10.388261142630377,10.425800314638261,10.46323338537938,10.5005542723586,10.537757136277724,10.57483637315327,10.611799086782247,10.64867021258869,10.685493544718952,10.722330818934886,10.759260182286022,10.796374815939245,10.833782114204922,10.871603605748081,10.909975686573759,10.9490511839709,10.989001761596422,11.030021191914408,11.072329553155829,11.116178448197545,11.161838085740671,11.209592774186087,11.259740640513359,11.31259538368006,11.368488936951435,11.427774475939069,11.490829501513234,11.558058874801093,11.629897752925318,11.706814405370832,11.789312901363584,11.877935658769113,11.973265840260101,12.07592957576662,12.186597983064102,12.305988951635278,12.434868649183889,12.574052705735633,12.724407027411331,12.886848190926884,13.062343370849455,13.251909754750594,13.456613406704957,13.67756754705843,13.915930225898457,14.17290137895652,14.44971926740154,14.747656316686484,15.068014383753592,15.412119495901436,15.781316117872182,16.176961015657028,16.600416795632018,17.0530452055101,17.53620028893295,18.051221488166668,18.599426789285822,19.182106001539914,19.800514257519787,20.455865813598642,21.14932822129954,21.882016930165012,22.654990371812882,23.469245563582124,24.325714258897257,25.22525966055635,26.168673702864886,27.15667489912291,28.189906742589184,29.268936641797723,30.39425536503731,31.566276963925805,32.785339142279696,34.051704033828045,35.365559350657556,36.72701986349666,38.13612917493767,39.592861747340855,41.097125148348674,42.648762478553444,44.24755494780662,45.893224568841326,47.58543693922113,49.32380408505729,51.10788734239453,52.93720025460317,54.811211466493226,56.72934759815327
R,0.0,38.15417656917346,76.74294522663078,115.41755567691463,153.91870008969235,192.05584272533684,229.69108878978435,266.7266594731002,303.0952080510458,338.7523599719712,373.6709850649018,407.836813208212,441.2450883925998,473.8980229875535,505.80286702880875,536.97044906333,567.4140777386858,597.148718761315,626.1903815930159,654.555665533753,682.2614266309074,709.3245359357907,735.7617066074605,761.5893727187953,786.8236067221447,811.4800656702698,835.5739586860867,859.1200300044098,882.13255330333,904.6253341042653,926.6117178265681,948.1046016950402,969.116449162901,989.6593058639415,1009.7448163727455,1029.384241251557,1048.5884740123445,1067.3680577348405,1085.7332011649387,1103.6937941798035,1121.2594225516273,1138.4393819752318,1155.242691348679,1171.678105313067,1187.7541260694838,1203.4790144990377,1218.9103122029874,1234.139417171749,1249.2805056343068,1264.4633189983829,1279.8290879149604,1295.5288909517858,1311.7238685008238,1328.5868632839326,1346.3052047749688,1365.0844830174467,1385.153265190963,1406.7687987029003,1430.2238226650059,1455.8546810586236,1483.974416522959,1514.8910924817635,1548.9192862734074,1586.387723831326,1627.6447016473198,1673.0622113957284,1723.03927679001,1778.0047841409614,1838.4199576451147,1904.7805539559895,1977.6188042041128,2057.5051022979746,2145.0494189716887,2240.9024078431457,2345.7561607271905,2460.3445636438246,2585.4432019635296,2721.8687628290895,2870.4778854102556,3032.1654147396816,3207.8620228588115,3398.5311716888027,3605.1654052209788,3828.7819739290076,4070.417811221404,4331.123899617242,4611.959082368704,4913.983393634474,5238.250996181233,5585.802829160199,5957.659079084558,6354.811594193974,6778.2163656032,7228.786197878677,7707.383687073236,8214.814616078904,8751.82186590525,9319.0799277564,9917.190085243525,10546.676319441125,11207.981972469279,11901.467188501912,12627.407135121959,13385.990993225734,14177.32169056747,15001.4163427653,15858.207356290859,16747.54414067,17669.1953717859,18622.851744687774,19608.12915251103,20624.57222781755,21671.65818366034,22748.800893749627,23855.355154036944,24990.621071638223,26153.848531101772,27344.24169242611,28560.963479801143,29803.140024661145,31069.865031196976,32360.204036896597,33673.1985449033,35007.870008953374,36363.22365534689,37738.252129796354,39131.93896007885,40543.261828186376,41971.19564813185
G,4372.0,4372.0,4372.879994027314,4374.320565392216,4376.109979319213,4378.108314042579,4380.223485309152,4382.395226069465,4384.584389160664,4386.765811594152,4388.923561026813,4391.04777450048,4393.132560460295,4395.174609934572,4397.172279972335,4399.124990989616,4401.032832301883,4402.896305354888,4404.71615773781,4406.493276815242,4408.228622328447,4409.923184322792,4411.577957418712,4413.193925536698,4414.772053234244,4416.31328116379,4417.8185240488565,4419.288670156832,4420.724581625185,4422.127095242458,4423.49702344224,4424.835155367807,4426.142257927443,4427.419076798764,4428.666337363369,4429.884745566515,4431.07498870379,4432.237736140466,4433.373639970673,4434.483335623796,4435.5674424250865,4436.626564116775,4437.661289345133,4438.672192118131,4439.659832237583,4440.805909534086,4442.232713307072,4444.02299296374,4446.2358919525805,4448.918944245969,4452.116838467986,4455.877786298094,4460.258273315849,4465.3268474139395,4471.167469330713,4477.882838155356,4485.598021894567,4494.464670784578,4504.666066410698,4516.143049764439,4528.910917373924,4543.029979507116,4558.5895865590455,4575.6994864059025,4594.485163444217,4615.085325056621,4637.650525111748,4662.342362376993,4689.33293584035,4718.804372167564,4750.948313678053,4785.96529604876,4824.063968635447,4865.460125174295,4910.375523277231,4959.036480064251,5011.672239806251,5068.513118205589,5129.788437104929,5195.724272881517,5266.541051244198,5342.451030155837,5423.655720625967,5510.343301607225,5602.686089672851,5700.838126135571,5804.932943521454,5915.081569749929,6031.370822107876,6153.861934453877,6282.589550532304,6417.561104428445,6558.756596740386,6706.12876267744,6859.603616668481,7019.0813477307765,7184.437531234126,7355.524616069976,7532.173641722155,7714.196137315135,7901.386154248575,8093.522385283417,8290.37032563512,8491.684435433017,8697.210267496614,8906.686529451714,9119.84705448558,9336.42266028679,9556.14288074399,9778.7375596473,10003.93829984938,10231.479765042317,10461.10083446648,10692.545613490505,10925.56430510961,11159.913949039646,11395.359036282585,11631.672007857194,11868.633646879405,12106.033373392727,12343.669451339487,12581.349116874271,12818.888636892678,13056.113306217016,13292.857391376947,13528.964028372862,13764.285081234637,13998.68096760536,14232.020457002334
H,926801.4600479968,926801.4600479968,926801.4600479968,926801.4600479968,926801.4600479968,926801.4600479968,926801.4600479968,926801.4600479968,926801.4600479968,926801.4600479968,926801.4600479968,926801.4600479968,926801.4600479968,926801.4600479968,926801.4600479968,926801.4600479968,926801.4600479968,926801.4600479968,926801.4600479968,926801.4600479968,926801.4600479968,926801.4600479968,926801.4600479968,926801.4600479968,926801.4600479968,926801.4600479968,926801.4600479968,926801.4600479968,926801.4600479968,926801.4600479968,926801.4600479968,926801.4600479968,926801.4600479968,926801.4600479968,926801.4600479968,926801.4600479968,926801.4600479968,926801.4600479968,926801.4600479968,926801.4600479968,926801.4600479968,926801.4600479968,926801.4600479968,860601.3557588542,794401.2514697115,728201.1471805689,662001.0428914262,595800.9386022836,529600.834313141,463400.7300239983,397200.62573485565,331000.521445713,264800.41715657036,198600.3128674277,132400.20857828506,66200.10428914243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
