state,beta,gammaE,alpha,gamma,gamma2,gamma3,a1,a2,a3,eta,h,Hiding_init,c1,I_initial,metric1,metric2,r1,r2,reopen
kl,21.51886028152184,0.20658643231618665,0.24562674030587905,0.04,0.04,0.0733507178091196,0.09832756482777333,0.001,0.12218843481352455,0.10877123151631043,0.03355219468807581,0.7773318140031976,0.9700000000000002,0.014725680420138072,0.00759933400975652,0.02203007901209805,0.9995402915452528,0.9940399249889272,2021-03-25
dl,4.158499697793457,0.2,0.822556558096008,0.04650113235073509,0.07363737047658342,0.04,0.43527356884194734,0.02093619017838164,0.12857395033733693,0.27182158445693905,0.03333333333333333,0.7793513270158363,0.81,0.00014775265494962895,0.005092892052433105,0.008980859073641101,0.999725198686594,0.9992226509393124,2021-03-25
tg,70.47623644468551,0.2256956238531612,0.30467052891250873,0.14453327238862346,0.2,0.055149274221114784,0.4999635037417182,0.007534255643334848,0.04461911294365287,0.024963915408553885,0.03333333333333333,0.8267496005657629,0.9600000000000002,0.0023515719997916733,0.0043601303871618055,0.010449894672076646,0.999704800040818,0.9984686329947234,2021-03-17
rj,48.014078026299146,0.2000266298624709,0.5818079044763611,0.06285460484725834,0.1490279839815438,0.199995738582858,0.2672085022711933,0.008993712063408855,0.14114168053793172,0.028194777924672895,0.03334705390694316,0.6699920795437512,0.81,9.802289498815179e-05,0.00792471420797035,0.008990983591347097,0.9996104913409338,0.9996841156677854,2021-03-28
hr,40.92714092979746,0.2007137560327704,0.18639161426900552,0.07410866981060009,0.1594001493426492,0.1607802387817764,0.1429223864127083,0.005692776310490531,0.1164039546680778,0.0325517540725216,0.03333333333333333,0.6859975422499505,0.8200000000000001,0.0003560950976235715,0.00905288843005194,0.007271641930839566,0.9994685549190288,0.9996816910493276,2021-03-26
jk,5.230803368596672,0.2710047604719885,0.7440995991597443,0.09116449897267334,0.15912021186681868,0.17759760906620886,0.36896239800218456,0.013786773525284323,0.029923671473653036,0.12360261642971505,0.03333333333333333,0.5591165176898929,0.8300000000000001,0.0005381028124267097,0.006353181520674851,0.010652588972819258,0.9996655324991044,0.9984924069105644,2021-03-25
ka,1.5409055736844668,0.2722728352568988,0.8655865824182785,0.04,0.04,0.08450937421768341,0.4478042893502848,0.012512508044303572,0.10703723733208688,0.3118720432034831,0.03333333333333333,0.6004196208617241,0.8,0.00038197363512527515,0.002839005544097752,0.005856470180650946,0.9999655963481442,0.9996839481577102,2021-03-27
la,0.810926905152196,0.278625127595096,0.17693434349366013,0.04,0.04,0.04,0.17196696269426529,0.0031987499458022532,0.18246819749866544,0.6190545628132645,0.04744708672940212,0.5532733440841493,0.9600000000000002,8.688086829847888e-05,0.011823875516941671,0.010422307245339964,0.9974364607214424,0.993982979274062,2021-03-23
mh,1.9334863006785796,0.2000001158286118,0.7771796923817683,0.04064787576676741,0.04046287291810924,0.1999999926127914,0.04090412587520981,0.0016085313888321415,0.1926921855806435,0.2871248771859341,0.04165978463223603,0.37559431337943655,0.81,0.0014668204702167635,0.00504323808273324,0.008407756938903888,0.999848149308026,0.9992920286015928,2021-03-15
pb,6.5303833983391115,0.25189570027070873,0.8106169192308612,0.040773747934588614,0.10480693484165926,0.16965796392185642,0.3546738130419176,0.035046437202372265,0.021918341938458576,0.13848379286087678,0.033352755584740684,0.5352688926771244,0.8600000000000001,0.00046111485169001776,0.011583782654489349,0.014038255029989106,0.9993819059342556,0.9988021748363921,2021-03-28
tn,1.7735030895315635,0.2831819206835802,0.6970717967636348,0.04,0.040184844768725865,0.18772851587800324,0.11479979305703347,0.004266219369739494,0.13310102456575051,0.2028581194660988,0.07142857142857142,0.5168969001294201,0.8,0.0009092982962548537,0.008859136729923688,0.007957377352381759,0.9994139760023852,0.9990917755388982,2021-03-24
