series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
S,1785498.1564962757,1784753.5854474255,1784133.7886142945,1783539.1335885478,1782920.1025491015,1782249.8349088682,1781511.520933046,1780692.5710712015,1779781.8994015926,1778768.6447457448,1777641.5589409706,1776388.7081466217,1774997.325203124,1773453.7399952274,1771743.3560711707,1769850.6610278734,1767759.2671736316,1765451.983136883,1762910.9188699573,1760117.6270067801,1757053.2832544262,1753698.9076315328,1750035.6269992383,1746044.9775190328,1741709.2434862722,1737011.8265340822,1731937.6366323396,1726473.493817851,1720608.527415429,1714334.5578873134,1707646.4456044233,1700542.390940943,1693024.1712469456,1685097.3024433223,1676771.116090564,1668058.7465880322,1658977.0273664608,1649546.2992061947,1639790.137810772,1629735.011194581,1619409.8800814548,1608845.7562261987,1598075.2343266127,1587132.0130400392,1576050.4196753656,1564864.951564284,1553609.8451119587,1542318.6812750157,1531024.0338855074,1519757.1649771046,1508547.7691847642,1497423.7674575006,1486411.1487895397,1475533.85745435,1464813.7223132884,1522860.5166375686,1580395.758925216,1637455.9050844468,1694046.591746968,1750153.3928493087,1805748.643191908,1860795.6825307768,1915251.450941479,1969068.05472197,2022193.7058533065,2074573.2933740492,2126148.75073543,2176859.322943648,2226641.7993501863,2275430.7542788284,2323158.822913541,2369757.0305104335,2415155.186791984,2459282.352916587,2502067.3848197465,2543439.553479518,2583329.2394881425,2621668.6960931406,2658392.871593899,2693440.27871156,2726753.895413155,2758282.07882297,2787979.4714696836,2815807.8773704637,2840538.8260659077,2795984.6103357384,2751108.507286109,2705931.0758726755,2660571.190801953,2615191.3183298446,2569969.401208006,2525083.848254106,2480705.2198660783,2436991.510987686,2394085.4974117707,2352113.357464843,2311184.140266302,2271389.8270959896,2232805.8204531544,2195491.7421338763,2159492.44894211,2124839.192752717,2091550.865285255,2059635.2792122231,2029090.4469800661,1999905.8272902155,1972063.5166792572,1945539.3700926597,1920304.0398011776,1896323.9265157487,1873562.0401881873,1851978.7708295428,1831532.5718329079,1812180.559852396,1793879.036361957,1776583.9366871514,1760251.2126516523,1744837.1550798144,1730298.6623085213,1716593.4606371087,1703680.282325595,1691519.0063725363,1680070.7668910974,1669298.0334757508,1659164.6675275525,1649635.958094131,1640678.640388914,1632260.8997875398,1624352.3637606588
E,0.0,744.5710488502708,1176.8136362298642,1475.034366990289,1722.51059164035,1958.8852201685515,2203.7644317065324,2467.595508794674,2756.6904797308093,3075.546656757132,3427.9154827123552,3817.289106074627,4247.113337062037,4720.868956790228,5242.086289089969,5814.3223357174775,6441.113393604017,7125.908661547563,7871.98717610755,8682.359317037139,9559.654089224157,10505.993950966717,11522.859879942673,12610.950501568663,13770.040326657318,14998.843328008055,16294.889086391404,17654.419403629836,19072.31346750169,20542.049238938438,22055.707643790713,23604.024385372268,25176.491827609338,26761.510591957267,28346.58749385232,29918.573489335366,31463.932690710048,32969.03149257921,34420.43561293163,35805.202496780534,37111.157053645584,38327.14001501723,39443.22014114693,40450.86386933453,41343.05855308699,42114.38797860565,42761.06117958784,43280.89756638002,43673.27295506024,43939.032189334204,44080.37469912508,44100.719573357324,44004.55660194518,43797.2893367859,43485.07561039895,43074.67020715033,43279.19619698068,43907.299097795825,44846.645075277585,46033.25940014563,47432.52143844106,49027.52638946831,50812.02737958807,52786.18487337897,54954.01323198143,57321.83855872056,59897.349026024356,62688.984633774955,65705.5150368902,68955.7158796208,72448.09139898095,76190.61357910374,80190.46182922789,84453.75566035761,88985.2783278792,93788.1931631608,98863.75705381526,104211.03762759114,109826.64232093154,115704.46872069653,121835.48633948926,128207.56027360425,134805.3269450101,141610.13130643283,148600.03348125052,155722.53971740953,161372.80457698894,165901.1203768537,169471.22655455332,172162.0257379666,174017.06882651645,175068.47036930497,175348.10381833476,174892.37929426698,173743.7545158423,171950.5897513397,169566.19273250567,166647.5110422255,163253.72619270877,159444.892830872,155280.70308841785,150819.41783482593,146116.982432364,141226.32889415277,136196.8561128558,131074.07335748972,125899.38847272898,120710.02043633428,115539.01560031441,110415.34764251369,105364.0826550304,100406.59262990509,95560.80266423417,90841.45933920791,86260.40981578396,81826.88315440423,77547.76715675522,73427.87561621235,69470.20223976912,65676.15867004744,62045.79500227938,58578.001974385945,55270.6946280279,52120.977715598914,49125.29348333257,46279.552713765945,43579.250079933794,41019.56496515058,38595.448950335325
I,335.51191672990643,286.66786281279906,280.4541604862429,295.76509234533825,323.0736037610692,358.2123232194349,399.5117244450379,446.4806404732001,499.1977941156799,558.0315616085205,623.5112340317723,696.2680096780351,777.0077887494768,866.4980876461588,965.560737116981,1075.0663385642063,1195.9284366431073,1329.0962798346768,1475.5454676606873,1636.2659969283916,1812.2473495490246,2004.4603740912407,2213.835833740326,2441.23964026141,2687.4449731680534,2953.101695059403,3238.7037114442114,3544.555173914926,3870.7366714361506,4217.072773536341,4583.1024565684065,4968.054035302785,5370.826215702509,5789.976766361831,6223.7200710626685,6669.934480147185,7126.179942864758,7589.725906123633,8057.588944418308,8526.579081847205,8993.353319591728,9454.47452482531,9906.473594374014,10345.91269182802,10769.447371586091,11173.885537936665,11556.241423333347,11913.78308308009,12244.07226629713,12544.995907773544,12814.78886686085,13052.047896620224,13255.737142658065,13425.185735427585,13560.078246303416,13660.438925043542,13726.610726637082,13792.906060290165,13879.51358706114,13998.324027673214,14156.44514298224,14358.298371309378,14606.855035104623,14904.355883910877,15252.723112350679,15653.790584871087,16109.42697607194,16621.595680232054,17192.3768877198,17823.966307860843,18518.658637329267,19278.82020207831,20106.853138492388,21005.152370466138,21976.056097187527,23021.790305374096,24144.407827116036,25345.722601358,26627.240013957933,27990.084454161894,29434.925507562606,30961.904483576604,32570.563226741986,34259.777364014204,36027.69627434818,37871.692114304395,39787.01540059555,41693.04927838633,43537.62376883687,45283.97498870684,46904.45519877978,48377.51922283068,49686.29046372001,50817.86974697793,51762.97270569358,52515.692033721185,53073.287430717355,53435.960564948866,53606.60041780513,53590.498632034316,53395.041383364616,53029.38716325304,52504.14048589671,51831.03091448417,51022.605524625695,50091.941343589366,49052.382645921934,47917.30638984622,46699.917630158954,45413.075489839764,44069.149235001,42679.903178051936,41256.40852102749,39808.979825691895,38347.1335353319,36879.565849174534,35414.14723815837,33957.93096577895,32517.173117588314,31097.36182807708,29703.253607475548,28338.914899789284,27007.767236221447,25712.6345766398,24455.79164974546,23239.012305808046,22063.617081529002,20930.519343326556,19840.269522635615
A,1436.09257595918,1192.4480335186518,1142.1743729489517,1188.6900493468283,1288.2079351361094,1421.374216177012,1580.2133291549399,1762.1062322747448,1967.0114652367433,2196.18346065452,2451.582136967176,2735.6009073934956,3050.940188537119,3400.5458529655616,3787.5747263907733,4215.3689139605785,4687.429813516877,5207.386862584318,5778.9580307707565,6405.9000540108345,7091.947000270402,7840.736242064663,8655.721429399035,9540.072675240304,10496.564910608038,11527.45623453117,12634.359046482286,13818.107752355776,15078.62780451056,16414.811679565686,17824.408013167027,19303.930399844267,20848.592245349297,22452.273475427894,24107.523847426753,25805.60611688552,27536.580467111875,29289.429545160638,31052.221321373578,32812.30497159307,34556.53323256513,36271.50333606669,37943.80777897764,39560.28587891208,41108.267292072574,42575.79938067791,43951.85142547671,45226.49007570252,46391.021996054944,47438.10129211324,48361.80086835786,49157.6483118389,49822.62813698252,50355.15323367514,50755.009113887936,51023.275052660276,51162.22648303644,51319.36604596676,51578.09853758566,51984.74091754833,52564.68904583389,53331.960953546724,54294.74459442826,55458.56321580564,56828.03576751964,58407.81725386611,60203.06465342596,62219.62987726851,64464.09538445741,66943.71755132919,69666.3135590283,72640.11082961287,75873.5687442129,79375.17745273242,83153.23623208993,87215.6130180812,91569.48681206597,96221.07528568388,101175.35085111934,106435.74958056769,112003.87853187972,117879.22816924514,124058.89756655227,130537.34085982776,137306.14389388752,144353.8401184684,151660.18962753454,158880.69151545467,165800.818708047,172275.87446356541,178201.82219475703,183501.16864800415,188116.12541653038,192005.21662636838,195141.43773178838,197511.0352038089,199112.46363667518,199955.32476962928,200059.21950952633,199452.50764049252,198171.00009681724,196256.62079367356,193756.07726048309,190719.57625712245,187199.61480308493,183249.87018559265,178924.20549195955,174275.80061353056,169356.41282674432,164215.76613880516,158901.0646449311,153456.62215797577,147923.59826617318,142339.82964782647,136739.7448053651,131154.35025424964,125611.27649796949,120134.87273158913,114746.34004819652,109463.8938943682,104302.94756570338,99276.30959844391,94394.3889574115,89665.40291409544,85095.58343117287,80689.37870821956,76449.64729126656,72377.84280440325,68474.18792667644
IH,0.0,13.680078321795888,20.037197954140403,23.663463400131164,26.500783845324598,29.345813417527854,32.51481464283928,36.13272329302006,40.25575842158454,44.92143920252633,50.16768290775478,56.03921086156418,62.58905190263277,69.87835065426913,77.97571696211668,86.95653114540602,96.90229396862104,107.89999233741699,120.04141701710044,133.42236490193844,148.1416647768666,164.29997473405868,181.99830950363827,201.3362670333305,222.40993640179425,245.30948425450185,270.1164348030982,296.90067900178224,325.7172712849572,356.6030961732025,389.57351058468066,424.6190888735864,461.7026142601215,500.7564702117586,541.6805865481465,584.3410861990783,628.569759091296,674.1644600091317,720.8904889374685,768.4829677702699,816.6501794899397,865.077788516805,913.4338174244754,961.3742187738759,1008.5488539047691,1054.6076747012798,1099.206900180923,1142.014986838409,1182.7182087618883,1221.0256887536132,1256.6737527618527,1289.4295144524294,1319.093632374626,1345.5022168118412,1368.5278953230427,1388.080073879529,1404.1044535336546,1416.5818802975173,1426.899710404173,1436.7277866454826,1447.5700095121233,1460.6339890687186,1476.836983894925,1496.8599302798048,1521.2097536084937,1550.2741952571973,1584.3646594626675,1623.747382791687,1668.6648989730286,1719.3500385877314,1776.0344207231092,1838.9529612015822,1908.3455083704193,1984.4563809224132,2067.5323316314652,2157.8192858629936,2255.5580887087917,2360.979424709407,2474.298037057814,2595.7063593996,2725.3676756555374,2863.408936210113,3009.913378026733,3164.9131182232777,3328.381912323306,3500.228287098289,3680.2892712631965,3868.2717525086064,4060.7097990093403,4253.361057191489,4442.137503269252,4623.416997159865,4794.110542535433,4951.644865372209,5093.923600954533,5219.288821912179,5326.48786573277,5414.6445255362605,5483.232292778237,5532.04764455493,5561.182135067131,5570.992800056931,5562.070957229795,5535.209861595884,5491.371878877122,5431.65591268371,5357.265801049449,5269.480318035092,5169.625302277138,5059.048305822631,4939.096027036655,4811.094669999051,4676.333265312589,4536.049896652058,4391.420704754118,4243.55148555302,4093.4716605500735,3942.130373439667,3790.394455385976,3639.0479999503114,3488.7932953674062,3340.2528746745875,3193.9724613409644,3050.4246079995273,2910.012847380711,2773.07619655294,2639.8938772916645,2510.6901362227354,2385.639067892969
IN,35.16397559531151,69.55721514960938,98.07741634269206,125.32126291900627,153.57266138806324,184.06695742180696,217.5756505286028,254.67835229522433,295.8904924794314,341.7244541699104,392.71999825177477,449.46052832223205,512.5828146972827,582.7836539798983,660.8250111881758,747.5382838921516,843.827891870075,950.6741773333996,1069.135482841468,1200.349203435029,1345.5315628722803,1505.9758318694114,1683.0486864555116,1878.1843978236589,2092.8765538784355,2328.667040128914,2587.1320566174345,2869.8650204173196,3178.456300737759,3514.4698548141705,3879.4169742025074,4274.72750697829,4701.719083354426,5161.565030021897,5655.261800443092,6183.5968625100695,6747.118060526916,7346.105496718904,7980.546953034982,8650.11779554096,9354.166174143764,10091.704156764188,10861.40522979996,11661.608368557218,12490.328646152706,13345.274120917109,14223.868532975073,15123.279160651426,16040.44904408354,16972.132681299267,17914.934242460564,18865.34732970802,19819.795329598986,20774.6714574033,21726.377671350932,22671.361733674294,23606.151807310638,24527.388096170314,25435.380623759134,26332.54853006578,27222.50416153352,28109.525630589982,28998.26067792977,29893.56658867612,30800.429030407384,31723.925852461696,32669.2158078507,33641.54042833057,34646.23213730843,35688.724498688185,36774.5621072264,37909.40852948063,39099.05120339004,40349.40247640162,41666.49611174193,43056.478682041896,44525.59533609664,46080.16949043363,47726.57607615548,49471.20807132256,51320.43617430657,53280.56162554749,55357.762362949514,57558.03289639174,59887.11850394357,62350.44457878585,64953.04218226039,67699.3343244008,70585.19786474248,73601.13225965046,76733.99209173846,79968.0223945708,83285.55544057261,86667.54196504655,90093.9983086544,93544.40575469862,96998.07619608007,100434.48777222558,103833.58956395207,107176.07292026357,110443.60700463572,113619.03688452537,116686.54350848419,119631.7659790711,122441.88750547054,125105.68724020649,127613.56084131957,129957.51305061452,132131.1258506879,134129.50587775395,135949.21474771184,137588.18582500666,139045.6307528324,140321.93879260737,141418.57171138778,142337.9566259711,143083.3788767647,143658.87667489634,144069.13895152908,144319.4075453802,144415.3845973076,144363.14578195376,144169.0597967789,143839.71434815237,143381.84872142063,142802.29289531225,142107.9130585562,141305.56330581315,140402.04322848795
D,5615.0,5615.0,5615.479438005828,5616.18167040564,5617.0109904896835,5617.939748546532,5618.968214753622,5620.107743163149,5621.374066380989,5622.784887290544,5624.359223688596,5626.117422237211,5628.081396921541,5630.2749201986035,5632.723907426614,5635.456678494436,5638.50419510256,5641.900275262897,5645.681785568487,5649.88880955166,5654.564788084588,5659.756625636245,5665.5147543831135,5671.893146708071,5678.949265547215,5686.743941416504,5695.341164851576,5704.807783521232,5715.213094523209,5726.628324417025,5739.125992433231,5752.779156007645,5767.660542240781,5783.84157391762,5801.391304104578,5820.375278764782,5840.854351947024,5862.883482536327,5886.510544948109,5911.775188198443,5938.707778269497,5967.328457501297,5997.646351891718,6029.658952812608,6063.351693998846,6098.697738072744,6135.657979717303,6174.181265316907,6214.2048218373075,6255.654881268783,6298.447481392171,6342.489419152208,6387.6793296573505,6433.908861808417,6481.063920755566,6529.025947698699,6577.673208839782,6626.882067396121,6676.528215305986,6726.535966400749,6776.888156552323,6827.620327986728,6878.810345360275,6930.56821997449,6983.027827521788,7036.340809623264,7090.672396853804,7146.19873339732,7203.105294080845,7261.586053674506,7321.843146830767,7384.086825625891,7448.535575098758,7515.416286118291,7584.964412053136,7657.424054077532,7733.047932173597,7812.097207085832,7894.8411242300035,7981.556455005703,8072.5267149262,8168.041142024437,8268.393423492036,8373.88016367963,8484.799092528407,8601.447020204158,8724.117551061914,8853.098577893805,8988.667720949808,9130.981131917846,9280.046283107724,9435.727376160352,9597.761669611697,9765.778163681895,9939.31567450461,10117.839548099146,10300.757026037334,10487.431448532936,10677.195447870312,10869.363204085184,11063.24176446061,11258.141384928194,11453.384834250257,11648.31560476795,11842.304989584321,12034.758009292262,12225.118197141026,12412.871276613922,12597.547787669075,12778.724736185126,12956.026354938907,13129.124073686933,13297.735800913722,13461.624621033865,13620.59700888371,13774.500658842071,13923.222019495539,14066.683616986698,14204.841241563016,14337.68106281592,14465.216730022597,14587.486505160748,14704.550467773075,14816.487823065567,14923.394337530393,15025.379920044217,15122.566360824103,15215.085235815532,15303.075980009276
R,0.0,244.4152784815421,453.1001282979776,656.1354706051302,868.9458491982048,1100.2657767410997,1355.8558662826701,1640.252693064771,1957.6055066023719,2312.087759132166,2708.110265030188,3150.4416333713575,3644.2851835662586,4195.335147098129,4809.822505214884,5494.554854912564,6256.951766223279,7105.075578776737,8047.656734636577,9094.112211914873,10254.555255356547,11539.794333664951,12961.319071897538,14531.270816891803,16262.395512026926,18167.976707079215,20261.74683163034,22557.775333868,25070.332939136526,27813.73210980154,30802.144769389888,34049.399451237856,37568.761189097524,41372.69861333909,45472.643770557916,49878.75106268536,54599.66232584692,59642.28537523701,65011.593288143486,70710.45126824823,76739.47714539919,83096.94045966926,89778.70372433201,96778.20794430195,104086.5028783919,111692.32096936394,119582.19241132948,127740.59755157438,136150.15178695702,144791.81734691208,153645.13586883678,162688.47546192963,171899.28600180286,181254.35666829714,190730.07019325107,200302.64888012176,209948.38814948048,219643.87411190904,229390.63744114857,239204.8579529601,249111.21877722244,259139.32422447653,269321.67895267595,279692.6039697026,290287.70532024046,301143.66176132485,312298.19062829256,323790.10769720696,335659.430880272,347947.4977545361,360697.0786727038,373952.47391206503,387759.5870520631,402165.9687924916,417220.8264969856,432974.99533443694,449480.8672776725,466792.2745790268,484964.32478491624,504053.18494279106,524115.81343176804,545209.6388288029,567392.1864027628,590720.6541894239,615251.4421053904,641039.6391575707,668138.4754337663,696597.7996314066,726409.006111488,757525.7733607366,789875.5180234052,823366.268067443,857891.2741121966,893332.4996801802,929563.5413803714,966452.2327511571,1003863.0361755295,1041659.2541104917,1079705.0574517846,1117867.3163234012,1156017.216914707,1194031.6517156004,1231794.3765656175,1269196.934606163,1306139.353535016,1342530.627990511,1378289.0032002032,1413342.0791519466,1447626.7565305515,1481089.0466229117,1513683.7674767436,1545374.1479654124,1576131.360226179,1605933.999354165,1634767.527386117,1662623.6966142345,1689499.9652282349,1715398.916270863,1740327.6889670272,1764297.4296918327,1787322.7682058297,1809421.3233226358,1830613.2408909292,1850920.765868278,1870367.8493314455,1888979.7904957468,1906782.9131912654,1923804.275751309,1940071.4128928843
G,173276.0,173276.0,173311.51960087175,173367.65924090188,173438.02543640262,173520.1974316835,173613.64562750226,173718.77573315226,173836.4918432812,173967.9991664818,174114.71745465472,174278.24542147,174460.34837278564,174662.95599609092,174888.1640287856,175138.23662160424,175415.60761128107,175722.87953283067,176062.81946455038,176438.35091046753,176852.54098412456,177308.58221517358,177809.7683846808,178359.4639234323,178961.06658998865,179617.9633859974,180333.47996345666,181110.8241235494,181953.02438342723,182862.86497300214,183842.81898972276,184894.98175331787,186021.00663224628,187222.04573046014,188498.69780606654,189850.9656325046,191278.22471091486,192779.2048158424,194351.98533363512,195994.0047711228,197702.0842133483,199472.46393529608,201300.8518614595,203182.48214868733,205112.18186206516,207084.4435298941,209093.50130116724,211133.40847765002,213198.11433654997,215281.53837851563,217377.64040728184,219480.48514991227,221584.3004403684,223683.52829706855,225772.86851370588,227847.3146420422,229902.18246936682,231966.80716480748,234061.39537330414,236200.79487852278,238396.80156350363,240659.55974143062,242998.40728562616,245422.38406365662,247940.53759801635,250562.10691542982,253296.6328280126,256154.02291048339,259144.58736593006,262279.0547519319,265568.57226627955,269024.69279955124,272659.3495441044,276484.8181844616,280513.6663350946,284758.68979463883,289232.83526776877,293949.10941871046,298920.4744330735,304159.7306549565,309679.3873141589,315491.52284303185,321607.6367809693,328038.49575119757,334793.976441947,341882.90890437807,349311.6189865615,357009.87373200007,364924.15080342186,373008.7390180145,381221.6912257659,389523.1378629031,397874.7413832732,406239.68475685845,414582.8878905736,422871.29612762434,431074.1618273568,439163.28038293216,447113.1638596383,454901.14756400505,462507.43169650645,469915.0640578511,477109.8717709271,484080.3508200314,490817.52229970036,497314.7638679622,503567.6241926822,509573.6272940016,515332.07271534676,520843.83646922064,526111.176751162,531137.5475292128,535927.4223176733,540486.1297437247,544819.7019170148,548934.736113443,552838.2698792412,556537.6693417315,560040.5302692077,563354.5912441084,566487.6581909783,569447.5394241444,572241.9903408259,574878.6668757553,577365.0868465044,579708.5983487705,581916.3544030166,583995.2931040569,585952.1225802288
H,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,2056504.5163650159,1987914.4238717782,1919324.3313785405,1850734.2388853028,1782144.146392065,1713554.0538988274,1644963.9614055897,1576373.868912352,1507783.7764191143,1439193.6839258766,1370603.591432639,1302013.4989394012,1233423.4064461635,1164833.3139529258,1096243.2214596882,1027653.1289664505,959063.0364732128,890472.9439799751,821882.8514867374,753292.7589934997,684702.666500262,616112.5740070243,547522.4815137866,478932.3890205489,410342.2965273112,341752.2040340735,273162.1115408358,204572.0190475981,135981.92655436037,67391.83406112264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
