series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
S,1940191.7308555143,1939151.8689698302,1938316.9843824625,1937543.2839428002,1936756.9565763609,1935917.5363597088,1935000.2645750064,1933987.5300869094,1932864.6882727684,1931618.0031421345,1930233.6239512996,1928697.069940209,1926992.9692901454,1925104.9308750955,1923015.4919781622,1920706.1167391185,1918157.2355783852,1915348.323376626,1912258.0177129877,1908864.2798554904,1905144.6013336922,1901076.25820996,1896636.6137888257,1891803.468568459,1886555.4538366434,1880872.4625643655,1874736.10831669,1868130.199995384,1861041.2176033321,1853458.7721494548,1845376.0315568666,1836790.0942135702,1827702.292751669,1818118.4127883767,1808048.8146192029,1797508.4500112308,1786516.7709952618,1775097.5325304477,1763278.495726898,1751091.0426017782,1738569.7168211613,1725751.7073465812,1712676.2932716266,1699384.268413426,1685917.3635180867,1672317.6824146016,1658627.166313147,1644887.097908448,1631137.6542251888,1617417.5144135433,1603763.5261172182,1590210.431703493,1576790.6536358187,1563534.1366212268,1550468.2428848108,1612506.6806494093,1673906.8528027032,1734713.754158074,1794936.8755511523,1854561.739972558,1913557.552409758,1971882.1723253313,2029485.2944808458,2086310.460945775,2142296.330721902,2197377.4936998994,2251485.0194432046,2304546.8665343965,2356488.235349132,2407231.9190278985,2456698.6890218877,2504807.7393792695,2551477.2055298258,2596624.7671410167,2640168.3396394765,2682026.8545901114,2722121.124943282,2760374.7870336766,2796715.3071148843,2831075.0362130906,2863392.2933231913,2893612.453636776,2921689.0157903805,2947584.6202581893,2971271.9901655214,2917845.781450451,2864168.486891605,2810267.416941432,2756283.20046488,2702408.0171993948,2648852.6109890207,2595828.087887178,2543535.591736267,2492160.3798061456,2441868.5035508797,2392805.1330148936,2345093.9805369833,2298837.491513889,2254117.5811615926,2210996.7578200256,2169519.510651636,2129713.8648771667,2091593.0268272995,2055157.0567611728,2020394.5207922019,1987284.084855019,1955796.0236418743,1925893.6259307608,1897534.4848039234,1870671.6670126303,1845254.7603016081,1821230.8010000316,1798545.0867591135,1777141.8811129278,1756965.017696295,1737958.412597496,1720066.4935665065,1703234.554738512,1687409.0452497103,1672537.7996854289,1658570.2177638516,1645457.400065002,1633152.2459969309,1621609.5195737674,1610785.887981005,1600639.9373341533,1591132.1695053868,1582224.9834033912,1573882.6436460605
E,0.0,1039.8618856840294,1666.7739565886664,2107.119381609841,2472.022589404011,2817.0379569602865,3170.901772828657,3549.455481505376,3962.4057237701313,4416.60917874536,4917.665942070055,5470.686105851138,6080.648801752336,6752.556641733579,7491.483305576206,8302.560879755127,9190.928752115302,10161.653972000899,11219.62747972546,12369.438338011241,13615.227534882904,14960.523327396502,16408.061078559622,17959.591884773512,19615.6858333109,21375.537310710726,23236.78123223374,25195.33019370318,27245.2431712078,29378.63634037829,31585.645728582058,33854.4496941461,36171.35668121567,38520.960461830604,40886.361377391324,43249.448231708986,45591.231806540745,47892.21780148655,50132.80462788012,52293.69011035936,54356.270862312595,56303.01888148271,58117.821636357265,59786.274380345945,61295.916389127,62636.40600202793,63799.632510712174,64779.765865048365,65573.24769575398,66178.72918238984,66596.96277525231,66830.6557109054,66884.29368206536,66763.94299872425,66477.03919000074,66032.16933255632,66314.53911751157,67133.7057055654,68372.81882854458,69962.36613257737,71863.05574703321,74054.79970556,76529.69233877827,79287.5618043388,82333.15369607501,85674.33359952914,89320.91430931474,93283.857040668,97574.68897123064,102205.03907674093,107186.23222552684,112528.90571375564,118242.62799532412,124335.50959438871,130813.80317001442,137681.4947103429,144939.89161989928,152587.2164378013,160618.21727668002,169023.80785474705,177790.75117908002,186901.40146041976,196333.51862477767,206060.16877829353,216049.72215835252,226265.95749424066,234690.0302379002,241653.0626954521,247306.63425492716,251720.45753394504,254931.7385106599,256969.8797532355,257868.36552328343,257669.86979814776,256427.73756977954,254205.52623423276,251075.53940546355,247116.8869070048,242413.38676784132,237051.5002759816,231118.41562773107,224700.34731015717,217881.08579142348,210740.80950637755,203355.15533787815,195794.5329608602,188123.661348221,180401.30158386345,172680.15822278475,165006.92123289828,157422.4215888198,149961.87548032386,142655.19453247308,135527.34215844868,128598.71898470462,121885.56305620988,115400.35314506956,109152.20588208588,103147.25956966678,97389.0393997864,91878.80039269551,86615.84570258687,81597.81902488062,76820.97071015027,72280.39786799291,67970.25925672686,63883.96612712445,60014.350444175514,56353.81207162342
I,337.76864897137494,281.86741565115665,268.80335882310203,278.14941567541416,300.17095239699785,330.3335264335165,366.6474465093305,408.38044233626727,455.4330821114918,508.03589501666954,566.6027141671149,631.6597544222013,703.8111869099146,783.722007386466,872.1087280324191,969.7331467517681,1077.3967387328223,1195.93432561583,1326.2062202163702,1469.0883197309022,1625.4597764619366,1796.1879871863603,1982.110748741929,2184.015547988631,2402.6160983668397,2638.5264053057504,2892.23283570167,3164.0648745238614,3454.1654615810867,3762.4619968650604,4088.6392641973416,4432.1156297959205,4792.023906049254,5167.198216669736,5556.168049689682,5957.160440347609,6368.110897278905,6786.683292282387,7210.298503504229,7636.171166068918,8061.353476062244,8482.78464390669,8897.3443264032,9301.908199790112,9693.403776531768,10068.864614330898,10425.481206948303,10760.64706629156,11071.99878324589,11357.449168425164,11615.212901339282,11843.824437420804,12042.148220258927,12209.38150858682,12345.050345602573,12448.999367641041,12521.376269174289,12590.894654686977,12675.365064175912,12785.876338391576,12929.436989350364,13110.626561538902,13332.617877065652,13597.803313944167,13908.173757769724,14265.543872579121,14671.682035213547,15128.380886836158,15637.490408812953,16200.92671226177,16820.66438134881,17498.716973854447,18237.10836378952,19037.836512599446,19902.830669551575,20833.902738421544,21832.693489466525,22900.61436945303,24038.78582013482,25247.973223082976,26528.521819509275,27880.292184569207,29302.598045137387,30794.148397937268,32352.995992426004,33976.49427366672,35661.264821860066,37339.2837547012,38964.47982837697,40503.30236880905,41930.00496689073,43224.30396185838,44370.2223136378,45355.50868090955,46171.31762144201,46811.990562721425,47274.85821008935,47560.028301789396,47670.14583253608,47610.125199163056,47386.85998298678,47008.91886938436,46486.2369666439,45829.811369952855,45051.408739553706,44163.29125359336,43177.96577089929,42107.959537781324,40965.62438610589,39762.97015102187,38511.527012946295,37222.23564752868,35905.36344340537,34570.44460552774,33226.24168095796,31880.725900658013,30541.07370056302,29213.676844475143,27904.163698149205,26617.429378865058,25357.672711000654,24128.438141627506,22932.660999639615,21772.714708590607,20650.458780675028,19567.28662250101,18524.172369436368,17521.71613266466,16560.18719100634
A,1753.8104482669762,1403.048358613581,1296.8257673541443,1316.9822004356733,1406.9542241852691,1540.1268979657557,1704.5248580792952,1895.3869511209532,2111.560898767404,2353.752702948983,2623.6770450837153,2923.644818420058,3256.361711021901,3624.8272844567678,4032.2801367913926,4482.162013518771,4978.086973001363,5523.808148352695,6123.177801164587,6780.097961947318,7498.459850822939,8282.070896509958,9134.568738299397,10059.322213898653,11059.32005611599,12137.048856062924,13294.362783514118,14532.348544478744,15851.190037270107,17250.03805801842,18726.891109281383,20278.493783625174,21900.259240303396,23586.221903279256,25329.02565407425,27119.95148871801,28948.986917380556,30804.937415352502,32675.578126654058,34547.84193781554,36408.03814163205,38242.094344290796,40035.81314696771,41775.13452432578,43446.39474903151,45036.57314888054,46533.51886731507,47926.151035811854,49204.627247574055,50360.47683096267,51386.69704857041,52277.811898008644,53029.89458677581,53640.55594121158,54108.90195565405,54435.46437983996,54622.10868483099,54818.77815062932,55113.48972643767,55557.06092968362,56178.48840267678,56994.3801278358,58014.65369582306,59245.91738136667,60693.428985916646,62362.19059695166,64257.522960110524,66385.3282987201,68752.16661087245,71365.21902758756,74232.1806579881,77361.10679421034,80760.2255674676,84437.72413308125,88401.51236769804,92658.96675704302,97216.6569485025,102080.05791454352,107253.25154911708,112738.62261454764,118536.55513164628,124645.13644480612,131059.87719263362,137773.45617765022,144775.49956979568,152052.40392562863,159587.21210519405,167027.7938126232,174147.97473595015,180792.23561582266,186847.85200105372,192230.8838534567,196879.11001656356,200748.36894807353,203810.48793216379,206051.87486635294,207472.31478102176,208083.76117244217,207909.04372562116,206980.48265276029,205338.4338680546,203029.80375138277,200106.5757620316,196624.38850961736,192641.19897824412,188216.05722354498,183408.011144336,178275.15257097714,172873.8093282323,167257.8823434315,161478.3223667344,155582.73744075492,149615.1198305453,143615.67959216825,137620.77118869254,131662.89941961897,125770.79127970329,119969.52108173985,114280.67715460766,108722.55956795966,103310.39955981355,98056.59259018576,92970.93816454492,88060.88072990706,83331.74701959088,78786.97619495876,74428.33999627523,70256.15086829927,66269.45667191054
IH,0.0,36.494815532170165,55.07035484332368,66.18789172247301,74.69640086263593,82.81468457495782,91.5493769568841,101.36446564732246,112.49378748634743,125.08432043573343,139.26010799802282,155.14952994992532,172.8960333393262,192.6616509028928,214.62752319455132,238.993245035874,265.97575149443486,295.80796051051436,328.7371733326187,365.02314688551166,404.93572319921213,448.75189833762414,496.75222356176823,549.2164499090991,606.4183528409027,668.6197063552204,736.0634164206812,808.9658717245713,887.5086246534067,971.8295751579135,1062.0138915547407,1158.0849611604249,1259.9957148915255,1367.6207081628759,1480.7493603331445,1599.080752205387,1722.2203528328398,1849.6789923129732,1980.8743179698158,2115.134871342192,2251.7068088700403,2389.763167827857,2528.4154594074816,2666.7272613282844,2803.7293904440676,2938.436167380457,3069.862244023881,3197.039452129801,3319.033146607818,3434.9575573924803,3543.989724919991,3645.3816708158956,3738.4705417320183,3822.6865546897234,3897.5586616030464,3962.7179344564515,4017.898747442402,4062.937895797844,4100.827711656947,4135.510872812611,4170.844800321142,4210.188543801416,4256.302562837277,4311.391580561183,4377.201155437779,4455.123762738742,4546.29468551756,4651.6707313644165,4772.090949149337,4908.321155766371,5061.084918781216,5231.083626719547,5419.007919479425,5625.542301723257,5851.364340172316,6097.139497827321,6363.512395014756,6651.09510340297,6960.452963161938,7292.088352250697,7646.422817964791,8023.777993091313,8424.355752200372,8848.21810861873,9295.267401134912,9765.22736381739,10257.625705560527,10771.778842061176,11299.87593910595,11831.670796191149,12356.627383227926,12864.857407894906,13347.499704662834,13796.851214060265,14206.392560490181,14570.77075095645,14885.763840062074,15148.235747642626,15356.08285120441,15508.172055840649,15604.270082039617,15644.964413743837,15631.577123479849,15566.073396030108,15450.966934983582,15289.224564902837,15084.172276266778,14839.404751313028,14558.7001057183,14245.941226713872,13905.044717537909,13539.898097479849,13154.305574824204,12751.942418693496,12336.317711545507,11910.745068989609,11478.32076650936,11041.908610209153,10604.130825988967,10167.364212955457,9733.740806490014,9305.152318414053,8883.257660693438,8469.492910225616,8065.083131211188,7671.055534852789,7288.25352073617,6917.351207939995,6558.868124962523
IN,19.40641778804814,35.2295395760236,44.91921055182918,52.06914094187577,58.43584866103263,64.89221847417238,71.88943610546619,79.68106089648445,88.43176133436387,98.27008787980986,109.3140998066153,121.68383402990588,135.50739681126922,150.92395275407765,168.08517760173564,187.1559079834948,208.3143132045736,231.75171308456592,257.67206569458216,286.29109835805417,317.83502991527604,352.53882053970875,390.64388228448155,432.395187118242,478.03771905705867,527.8122333055617,581.9503083852078,640.6687071202939,704.1630986668335,772.6012354427017,846.1157240216764,924.7965751795404,1008.6837620304236,1097.7600527979562,1191.9444123191488,1291.086280243197,1394.9610311488887,1503.2669006898607,1615.6236220732771,1731.572959993113,1850.581257474187,1972.044029201917,2095.29254804916,2219.602285359797,2344.202985713984,2468.2900883797956,2591.037154418089,2711.608923105883,2829.1746051932964,2942.9210233139916,3052.065230179902,3155.866270557543,3253.6358002994057,3344.7473313668834,3428.643932230789,3504.844274850505,3572.946979568951,3632.6332651851435,3685.2929451700093,3733.0825113906094,3778.397377217795,3823.5933275681764,3870.8542803413775,3922.1431978862547,3979.198045084887,4043.550266334624,4116.55279373364,4199.41034904603,4293.208204084457,4398.937531001829,4517.5165767824565,4649.807488057406,4796.6289089681795,4958.764606395974,5136.968421069477,5331.965845434267,5544.452515961151,5775.089893463731,6024.498397732199,6293.248265924717,6581.8484186355345,6890.733642620666,7220.250432859202,7570.641876140753,7942.03200023215,8334.410052986987,8747.615210400274,9181.322237488732,9631.357656190006,10091.671587456032,10555.403585489377,11015.480696953553,11464.97056031873,11897.30288217466,12306.416642340475,12686.861744288099,13033.869312053133,13343.397654586242,13612.157548538064,13837.619076408837,14018.0018125602,14152.250146944216,14239.995694311203,14281.50890916309,14277.642143459696,14229.766417401053,14139.704119847915,14009.659723472792,13842.150406292132,13639.938233825174,13405.965292525929,13143.292891387246,12855.045678250586,12544.3612610649,12214.345689973814,11868.034948881934,11508.362427949014,11138.13220224118,10759.99782595128,10376.446264455793,9989.786525471949,9602.142512687384,9215.449607181214,8831.454480420809,8451.717654390133,8077.618346486297,7710.361166500043,7350.9842678892255,7000.368593620157
D,5615.0,5615.0,5615.454899821976,5616.141339642239,5616.966357106295,5617.897431259135,5618.929698026917,5620.070840807679,5621.334326502984,5622.7365367390075,5624.295685189782,5626.031531704224,5627.965436356838,5630.120547257924,5632.522032220088,5635.197316932964,5638.176314991594,5641.491644038763,5645.178824987982,5649.276461308249,5653.826394281308,5658.873828710258,5664.467422093007,5670.659328937021,5677.505190784713,5685.064061729202,5693.398258818727,5702.573126870821,5712.656707940252,5723.719307092221,5735.832948284383,5749.0707170786645,5763.505990554732,5779.211559086516,5796.258649408873,5814.7158634154375,5834.64805210846,5856.115148749005,5879.17098920325,5903.8621504397815,5930.226839845643,5958.293868314257,5988.08173883117,6019.597879565001,6052.838046387293,6087.785914515548,6124.412872891386,6162.678028309635,6202.528419561611,6243.899435293834,6286.715423224428,6330.890473062165,6376.329351130442,6422.928561431948,6470.577505750283,6519.159714358607,6568.554118923778,6618.636340145585,6669.279964412456,6720.395876872532,6771.944107282576,6823.932767301564,6876.411838400704,6929.46571057074,6983.206255189726,7037.767101636771,7093.299236187955,7149.967796172088,7207.949845313443,7267.432905895298,7328.6140459395165,7391.699352577991,7456.903655595806,7524.450393451967,7594.571536805038,7667.50750203324,7743.507000364246,7822.826778075842,7905.731210784092,7992.491720945516,8083.3859930470335,8178.696966069573,8278.71158807578,8383.719323450261,8494.010409560062,8609.873866446776,8731.59527055813,8859.454311337437,8993.722157500528,9134.57261743845,9282.051782914092,9436.074416400357,9596.432024988506,9762.805663296946,9934.780369007673,10111.859917224558,10293.481359175064,10479.029120468977,10667.848536168894,10859.258720147262,11052.564662498557,11247.068445539624,11442.079474445009,11636.923633731543,11830.951303510701,12023.54419665447,12214.121006848294,12402.141885514962,12587.111790998084,12768.582775019431,12946.155288633243,13119.478602488807,13288.250444305464,13452.215960419313,13611.16610858501,13764.935586495669,13913.400395331726,14056.475130664243,14194.110084775388,14326.288235414502,14453.022186607284,14574.351117729968,14690.337787929177,14801.065634323102,14906.635994411554,15007.165475849255,15102.783490251884,15193.62996202484,15279.853218319065
R,0.0,354.34538565346793,652.8844400951564,937.7830577129914,1231.5134215636701,1547.0772951641384,1893.0092070278415,2275.8470413173523,2701.36851779981,3175.2245066408013,3703.276824926043,4291.790855954504,4947.556514203949,5677.973410953793,6491.117488962559,7395.797121444618,8401.601948615798,9518.945230311687,10759.099092431525,12134.221188809172,13657.370727285119,15342.511401900381,17204.498488174944,19259.047189456687,21522.679283420915,24012.64523270576,26746.819218776407,29743.565056735057,33021.57166588908,36599.65770813124,40496.546147752495,44730.610795984576,49319.5983238267,54280.33068033708,59628.39424812134,65377.82330267118,71540.78631798826,78127.28428921946,85144.87045635757,92598.40057274335,100489.8221631824,108818.0100889351,117578.65424289783,126764.20342639952,136363.86751521786,146363.67802042348,156746.60520108446,167492.72809139517,178579.45224741477,189981.76875921895,201672.54714983556,213622.8542062767,225802.29055245942,238179.33685330203,250721.70189488772,263396.6653695358,276171.40895460086,289013.3301567798,301919.7051874222,314906.6069967937,328001.90444954816,341240.915576359,354663.76651331194,368313.8343050693,382236.8702742442,396480.54464405886,411094.2467325536,426129.0352107408,441637.6711614569,457674.69071500807,474296.4889760136,491561.3961279312,509529.7321680337,528263.8300779348,547828.019267913,568288.5624235946,589713.5398044257,612172.6758386072,635737.1036886381,660479.0644286512,686471.5386422744,713787.8096491041,742500.9592035005,772683.2983613933,804405.7382367578,837737.1075065425,872743.4256907024,909487.1433386849,947960.0108968496,988105.3282147234,1029830.966714524,1073017.6879568028,1117525.0640540584,1163196.1689409716,1209861.6196876767,1257343.2388431102,1305457.4484889319,1354018.425515957,1402841.0095102775,1451743.3401334528,1500549.1992462731,1549090.0381194612,1597206.6782941453,1644750.6838477345,1691585.4117039482,1737586.754461804,1782643.5966254864,1826658.0099500965,1869545.216889725,1911233.3529582396,1951663.0593649743,1990786.9367737852,2028568.8896708628,2064983.3888245302,2100014.676873026,2133655.93935543,2165908.460652148,2196780.781443853,2226287.871524931,2254450.329188915,2281293.6159878504,2306847.3334855475,2331144.546691981,2354221.157186396,2376115.327504504,2396866.957168252,2416517.2097580694,2435108.0896473955,2452682.0664162776
G,173276.0,173276.0,173309.58543599985,173363.41886408863,173431.47455889714,173511.31588937537,173602.30051850274,173704.71423326555,173819.35446727125,173947.3321589948,174089.97970378055,174248.810368737,174425.5024666135,174621.895126043,174839.98904990786,175081.94881068694,175350.10473687368,175646.95314879555,175975.15402222672,176337.52530042263,176737.03314408413,177176.77745945103,177659.97210833084,178189.9192992245,178769.97779750553,179403.5247812134,180093.91140870203,180844.4124508711,181658.1706637314,182538.13692023585,183487.00746175364,184507.15994328586,185600.59020471433,186768.85187635518,188013.00099851735,189333.54778671314,190730.41750144408,192202.92208986433,193749.74387264828,195368.93207879667,197057.91251608072,198813.51014050562,200631.98378905046,202509.07189651078,204440.0476534979,206419.7817944268,208442.81103898663,210503.41014738954,212595.6655810185,214713.5488731247,216850.98799278692,219001.9352117068,221160.43023985214,223320.65766599416,225476.99800844886,227624.071938086,229756.7774709859,231898.60297690477,234066.8859070211,236275.18968515706,238534.83262667936,240855.863998993,243247.6842688137,245719.43856572374,248280.2664691451,250939.46083158356,253706.56854805138,256591.45344698246,259604.33338189602,262755.7985108378,266056.81458425254,269518.7131229299,273153.16921081394,276972.16697355924,280987.9524903489,285212.973788609,289659.80763512175,294341.0730231917,299269.33153773134,304456.975138312,309916.1023159784,315658.384033673,321694.92133103014,328036.09693827044,334691.423675311,341669.3927847012,348977.3256351965,356557.33899934986,364362.2442305747,372349.74838997977,380479.8101152433,388713.5897218965,397013.1971689616,405341.8238893957,413664.03959932487,421946.1369502358,430156.46136897604,438265.69354290445,446247.0692466968,454076.53140786005,461732.81547865376,469197.47291375784,476454.8397214333,483491.95817261375,490298.46013953397,496866.4204127849,503190.1878730688,509266.2016930316,515092.79890949704,520670.0188098311,525999.4086729424,531083.8345356475,535927.2998464751,540534.7741389533,544912.0332143723,549065.5117730012,553002.1689711228,556729.3670041237,560254.7625161288,563586.2104060171,566731.6794292395,569699.178875863,572496.6955292441,575132.1400688668,577613.3020681213,579947.812746953,582143.1146650135,584206.4375786791,586144.7797312908
H,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2246669.5395632405,2171780.5549111324,2096891.5702590244,2022002.5856069163,1947113.6009548083,1872224.6163027002,1797335.6316505922,1722446.6469984842,1647557.662346376,1572668.677694268,1497779.69304216,1422890.708390052,1348001.723737944,1273112.7390858359,1198223.7544337278,1123334.7697816198,1048445.7851295117,973556.8004774037,898667.8158252956,823778.8311731876,748889.8465210795,674000.8618689715,599111.8772168634,524222.8925647554,449333.90791264735,374444.9232605393,299555.93860843126,224666.95395632324,149777.96930421522,74888.9846521072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
