series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
S,424427.52556318743,424311.4342067594,424223.12923402886,424145.35176089866,424070.71927744045,423996.0473209737,423919.938400568,423841.75591463025,423761.1870155379,423678.0562820402,423592.246281736,423503.6637107096,423412.22497535974,423317.85007231665,423220.4600132277,423119.9757665859,423016.3178513272,422909.406212955,422799.16022464447,422685.49874614866,422568.3402119118,422447.60273626575,422323.20423061284,422195.0625304893,422063.0955316638,421927.22133494995,421787.3583996125,421643.4257053117,421495.34292253386,421343.0305914278,421186.4103089293,421025.404924005,420859.93874079443,420689.9377293708,420515.3297437786,420336.04474694346,420152.0150419805,419963.1755093607,419769.4638493219,419570.8208288407,419367.19053240854,419158.520615782,418944.76256180834,418725.87193735334,418501.8086502944,418272.53720547387,430245.35597556137,442205.5161410636,454152.6538577711,466085.75721530186,478003.43092004367,489904.00651319564,501785.57943232695,513646.0108433124,525482.9116181368,537293.6162032662,549075.1496521499,560824.189034858,572537.0194931555,584209.4847791959,595836.9319261699,607414.149628127,618935.2999034065,630393.8426646763,641782.4529177154,653092.9304685597,664316.1022472982,675441.7176729173,686458.3379056479,697353.2203808766,708112.2007107583,718719.5748919753,729157.9857795517,739408.318974536,749449.6146070609,759259.0029299782,756604.3440759802,753719.339164485,750585.0825630494,747188.966636961,743521.9147835165,739577.6688304362,735352.7614676435,730846.6910741936,726062.1206116165,721005.0286892187,715684.7803852065,710114.1025595291,704308.9582647535,698288.3222771279,692073.8660247806,685689.5653969703,679161.2488687638,672516.1058643368,665782.1762278266,658987.8411443215,652161.3340612263,645330.2874023422,638521.3274894223,631759.7264337743,625069.1161410798,618471.2662318108,611985.9247906215,605630.7185214584,599421.1071368923,593370.3856345259,587489.7274571803,581788.2613206654,576273.1746361549,570949.8368651508,565821.936741102,560891.6280003571,556159.6790259966,551625.6225737743,547287.9024847202,543144.0149696838,539190.6426622416,535423.7801704095,531838.8503126566,528430.8106021092,525194.2498496707,522123.4749988892,519212.5884904724,516455.55659032,513846.26920954254,511378.5918053947,509046.409984921,506843.66744418134,504764.397870194
E,0.0,116.09135642804065,169.56892223014134,196.47571869129544,212.165486542128,223.1877970462236,232.34037833807253,240.8207507743861,249.14342463443143,257.5311307417777,266.08179182341405,274.8398253028091,283.8266130618243,293.05353218639425,302.5275316194162,312.2535187754227,322.2353784015038,332.47640325323795,342.97947058783234,353.7471079073146,364.7815097719742,376.0845324864719,387.65767839343044,399.5020749989685,411.6184513247841,424.0071126411829,436.6679141863154,449.6002342311987,462.8029467396942,476.27439382384875,490.012358175203,504.014035646968,518.2760081634203,532.7942171380155,547.5639375887631,562.5797531472907,577.8355321660769,593.3244051360814,609.0387436340684,624.9701410249999,641.1093951497006,657.4464932313078,673.9705992355975,690.6700439199146,707.5323178029219,724.5440672825607,741.6910941223107,766.352617495432,796.6381326513562,831.872352437219,871.9659590762706,917.1295953134791,967.746814700153,1024.3203764166774,1087.4525057792507,1157.8411860280548,1236.2843984479791,1323.6887133174669,1421.0806581367247,1529.6201917673582,1650.6160043751875,1785.5425182175381,1936.0585045847638,2104.027209051604,2291.5378104089978,2500.927933554075,2734.8067918613965,2996.078345795917,3287.963626438507,3614.021080390386,3978.1634435035676,4384.669246347559,4838.186601978907,5343.726443512901,5906.641895046165,6532.590020727028,7227.471868506886,7944.235219450091,8695.221255050696,9482.770804623939,10304.991416681176,11157.739944757202,12035.32532412266,12930.798120335874,13836.129146812125,14742.382325166325,15639.915931628693,16518.618977817376,17368.177579247877,18178.360293099107,18939.308457516665,19641.816548071936,20277.588111856785,20839.454682726762,21321.547914418956,21719.418623598413,22030.100119613977,22252.11674261395,22385.441632749717,22431.410198572743,22392.597431695463,22272.668111455892,22076.20911920842,21808.552652609003,21475.598241392447,21083.640271341108,20639.20636728446,20148.910593614026,19619.324100040263,19056.864641032276,18467.705372771383,17857.702501684864,17232.34072553988,16596.694960100158,15955.406561124204,15312.672107823353,14672.242782918569,14037.432439875101,13411.132565665459,12795.832506513243,12193.64350699774,11606.325305679873,11035.314222392677,10481.751855827264,9946.51367985654,9430.236980047419,8933.347706506893,8456.085935294483,7998.529728693457
I,103.15807330957982,67.2249172615225,52.80309711826328,47.54826064259914,46.20857251700274,46.551175092348934,47.62844196248017,49.039601036626095,50.616264881845005,52.28856464279043,54.02822603189044,55.82441057927029,57.67349663116219,59.57478072619735,61.52868593164615,63.536026348132495,65.59771272393958,67.71463955384397,69.88764487349408,72.11749773325845,74.40489512907244,76.75046130506371,79.15474688737709,81.61822710279,84.14129900049566,86.72427780939589,89.36739260658888,92.07078145843592,94.8344861672359,97.658446729504,100.54249559045678,103.48635176382896,106.48961487562045,109.55175918362383,112.67212762058385,115.84992590678074,119.08421677709741,122.37391436777797,125.71777880878098,129.1144110686323,132.5622480998063,136.0595583337696,139.60443757579975,143.1948053504501,146.82840174899826,150.5027848303253,154.21532862637133,157.9632218025477,162.31637070522947,167.49969021402032,173.60742945223535,180.69408735167502,188.81149967618222,198.02316373299726,208.4094122912195,220.06925585742923,233.12129591908229,247.7046485994541,263.9802121975694,282.1323740096026,302.3711665814085,324.9348583037495,350.0929588358116,378.14962007831696,409.4474117771723,444.3714445951505,483.3538012778936,526.8782173673393,575.4849257958663,629.7755435742415,690.4178326081683,758.1501095434317,833.7850109633316,918.2122405256752,1012.3998352370197,1117.3933923131824,1234.3126016843023,1364.3443409541808,1504.616477815965,1654.2135216112133,1812.7202418152765,1979.7194193274058,2154.618156372866,2336.5891388593495,2524.554792960841,2717.1907996593104,2912.941778200007,3110.0470989898554,3306.5760197331283,3500.4712206673535,3689.5992829614015,3871.8060792737742,4044.974591947328,4207.082420986146,4356.2562216699835,4490.820516651831,4609.338728686984,4710.644827149566,4793.864612615088,4858.426315340736,4904.060797538683,4930.792179589373,4938.920125363797,4928.995305908064,4901.789712614116,4858.2635211004535,4799.53013406962,4726.820878813867,4641.450627719833,4544.785371912126,4438.212530020967,4323.114532958018,4200.846004176627,4072.714661556921,3939.965906356075,3803.77093799681,3665.2181397912864,3525.307417251597,3384.94713358782,3244.9532719749204,3106.05045670912,2968.8744812022733,2833.9760160139035,2701.8252014506497,2572.816863896268,2447.27613076174,2325.464254081864,2207.5844861183427,2093.787881046282
A,296.26902019931885,237.01521615945506,215.4448765534481,210.08845814372836,211.79063651047932,216.64367377843107,222.97879334753114,230.0835257275332,237.65436812329185,245.56300736976127,253.7563551032751,262.21373044449666,270.9284724760679,279.9000103705829,289.1304191006685,298.6229049264915,308.3811248563918,318.408868932804,328.709901895207,339.2878757838205,350.1462746517688,361.2883740761466,372.7172075844221,384.43553630056186,396.4458200169349,408.7501887896899,421.3504145926389,434.2478827923562,447.44356333467346,460.93798161016093,474.7311890172623,488.8227332782036,503.211628590694,517.8963257210714,532.8746821638061,548.1439325092433,563.700659176803,579.5407636849104,595.6594386418997,612.0511406540862,628.7095643581113,645.6276177944692,662.7973993477046,680.2101764859847,697.8563665384396,715.7255197526606,733.8063048768649,752.08649751131,772.1983454822376,795.0269710379961,821.1302067601189,850.9344436798398,884.8276669455396,923.2056131938527,966.4967459450678,1015.1778434780554,1069.7856439771583,1130.9271051633752,1199.289523661315,1275.6511601562852,1360.8927377919003,1456.010045438688,1562.1278033322174,1680.514898234248,1812.6010498421153,1959.9949189679096,2124.503603660766,2308.153385756109,2513.21148138057,2742.208408797403,2997.9604098405807,3283.5911418125706,3602.551591204451,3958.6368475282807,4355.9980176042445,4799.147166598294,5292.952759237278,5842.622671288202,6441.853121318049,7088.347249732591,7780.788451304546,8517.702332650362,9296.987444149116,10115.696247684584,10969.924321319815,11854.76146910292,12764.291073877037,13691.634360976053,14629.038408742683,15568.00582938983,16499.46200718454,17413.953495434467,18301.86911912915,19153.67380762899,19960.144373940086,20712.596441276994,21403.092473828056,22024.6222935349,22571.249393421593,23038.218591041154,23422.022896179464,23720.429705018625,23932.468422938648,24058.383249255374,24099.556066569785,24058.405147113917,23938.265738379392,23743.258568528763,23478.15198483361,23148.222880457583,22759.120851696214,22316.739229223676,21827.095803407647,21296.22526408756,20730.084635794745,20134.4723348363,19514.960919051966,18876.843149669574,18225.090635914275,17564.32408021704,16898.793975023545,16232.370509434233,15568.541412587634,14910.416478364217,14260.737570949892,13621.892992554303,12995.935194031405,12384.600918683944,11789.33298299261
IH,0.0,18.09078801034221,26.368883534447424,30.511194920753013,32.92801663033027,34.64083437761825,36.08130580583431,37.43112640812791,38.76644448227541,40.11909922113193,41.50249750742406,42.92248572918781,44.38187485344474,45.88229515908898,47.424937150268974,49.010834467936604,50.64096290964379,52.316268605008375,54.037670923377924,55.80605776632311,57.622279577071,59.48714397436795,61.401411305518856,63.36579091060402,65.3809377993465,67.44744948572745,69.56586279812797,71.73665054895206,73.96021799850907,76.23689908392224,78.56695240809168,80.95055699954189,83.38780786400454,85.8787113548168,88.42318039305239,91.02102957069434,93.67197017172357,96.37560514713158,99.13142408080465,101.93879818410645,104.7969753578698,107.7050753614183,110.6620851291651,113.66685427625542,116.7180908355918,119.81435726936775,122.9540667988872,126.13548009692029,129.35670238709287,132.7161508731674,136.3325849047808,140.3182431188837,144.7731380232311,149.78696183858483,155.44313456842565,161.8229737560481,169.00937804280872,177.08995596634858,186.1597094940136,196.32341901665822,207.69786478083114,220.41399532038136,234.61912934447938,250.47925733700328,268.18149288239965,287.93671035749264,309.9823937541471,334.58570968629965,362.0468048340647,392.70231300524233,426.9290385130769,465.14775957630843,507.82706689755236,555.4871175409006,608.7031420108741,668.1084927338086,734.3969652964241,808.3240610788838,890.7067938984671,981.6999246421963,1081.2676285651758,1189.3082150849386,1305.6665624689717,1430.1136792042646,1562.319931356688,1701.8306875850117,1848.0473073814271,2000.2145695677127,2157.4150675006695,2318.570853880892,2482.4524010885675,2647.694674848087,2812.819802090488,2976.2654789272156,3136.417950275808,3291.6481354105276,3440.349302323626,3580.974626035215,3712.0730073191617,3832.3216723002615,3940.55430368278,4035.783747665219,4117.218669957444,4184.273872536508,4236.574305174735,4273.9530922325885,4296.444131349692,4304.269998182885,4297.826007642444,4277.661339449837,4244.458140302738,4199.0094750104945,4142.196924507216,4074.9685298160402,3998.3176674812084,3913.2633222851787,3820.8321043866176,3722.0422459398296,3617.889710806278,3509.3364627111546,3397.300863435556,3282.6501136337465,3166.1946040907533,3048.6840135794746,2930.8049694586753,2813.1800770941695,2696.3681223440612,2580.86525602678,2467.1069789063413
IN,17.842368037715097,32.22129267197066,37.59402469851014,39.42941858160898,39.999653808309446,40.22748433857372,40.470346933198364,40.85239225463882,41.40435353886692,42.12187375629625,42.98935701809033,43.98934444575971,45.10589152647814,46.32552238520239,47.63725532363976,49.03231351302992,50.503764633028105,52.04617954415246,53.655337688948904,55.3279827247269,57.06162342472384,58.85437269618385,60.704817726571875,62.61191518633766,64.57490646612078,66.59324888702878,68.66655963387693,70.794569822555,72.97708664312736,75.21396194284334,77.50506594910341,79.85026509939831,82.24940315770996,84.70228496627067,87.20866231693319,89.76822153479397,92.38057245370605,95.04523853329826,97.76164792353956,100.52912532847716,103.34688455769086,106.21402168394822,109.1295087498673,112.0921879861626,115.10076652011352,118.15381156592044,121.2497460991296,124.38684502573102,127.56323186318895,130.8759661969745,134.44216864228127,138.37252659230936,142.7656677430749,147.7100404173504,153.28790651504278,159.57945426658983,166.6664312882834,174.6352303686181,183.579536018724,193.60267652731665,204.81981466444685,217.3600860887385,231.36877073410443,247.0095625234751,264.4669867377706,283.94900117488197,305.68980552112055,329.95287180673165,357.03419619216436,387.2657574668677,421.0191494155375,458.7093315309087,500.7984143959209,547.7993615062762,600.2794476682399,658.863265091559,724.2350122360369,797.1397386193413,878.3831536851715,968.1177997315547,1066.3082639717202,1172.8541888507148,1287.602534750671,1410.3274206522162,1540.7037186474831,1678.2830338130484,1822.4749545924815,1972.534655364479,2127.5573701549815,2286.4800162723573,2448.0900326899045,2611.0412335955352,2773.8761649846824,2935.0541218558224,3092.9836735538556,3246.058291114987,3392.693501475469,3531.3639266287146,3660.6386066110726,3779.213147233267,3885.937460633481,3979.838156001786,4060.134962660507,4126.250901247969,4177.816236702556,4214.666529242959,4236.835332408709,4244.542262271768,4238.177276604509,4218.282059345725,4185.52941008292,4140.701498874989,4084.667773291057,4018.3632070550966,3942.7674676836345,3858.885462447701,3767.7296049417932,3670.3040340125826,3567.5909167517,3460.538880221043,3350.05354384014,3236.990066185018,3122.1475757990984,3006.2653244050625,2890.020381172564,2774.0266767834673,2658.835204226677,2544.9351878735974,2432.7560418730577
D,648.0,648.0,648.1098765654772,648.2700311345637,648.4553445274673,648.6553367761879,648.8657320284291,649.0848761562365,649.3122185809731,649.5476712197989,649.7913393690213,650.0434097532541,650.3041046058481,650.5736632328989,650.8523348421958,651.1403758721975,651.4380490393049,651.7456229865419,652.0633721033638,652.3915763631259,652.7305211319596,653.0804969412651,653.4417992276118,653.8147280456293,654.1995877582091,654.5966867065225,655.0063368608138,655.4288534518183,655.8645545819542,656.3137608150366,656.7767947430879,657.2539805287857,657.7456434221593,658.2521092502664,658.7737038787523,659.3107526443783,659.8635797578079,660.4325076761531,661.0178564450015,661.6199430098671,662.2390804972412,662.8755774656505,663.5297371273749,664.201856541719,664.8922257809876,665.6011270705685,666.328833904792,667.0756101404976,667.8417090705133,668.6273724795158,669.4334399008441,670.2614721669564,671.1137118051015,671.99300878046,672.9027578146465,673.8468602906481,674.8297114832801,675.8562101621746,676.9317871978992,678.0624504668368,679.2548442416107,680.516322073644,681.8550328459476,683.2800201993385,684.8013359376982,686.4301683216504,688.1789863825768,690.0617015392978,692.0938478790291,694.2927824657596,696.6779069491868,699.2709115450878,702.0960421160959,705.180390566542,708.5542080369205,712.2512393990194,716.3090762663661,720.7695241029942,725.6789770009626,731.0887912835022,737.0512632326079,743.6184715443999,750.8418772850791,758.7719993704443,767.4579659089419,776.9469029378798,787.2831752367202,798.5075116701757,810.6560541767739,823.7593727160302,837.8414902055648,852.9189618798906,869.0000522745262,886.0840498860837,904.1607543715841,923.2101640534753,943.2023828375039,964.0977559503278,985.8472337920177,1008.3929533378756,1031.6690175378073,1055.6024455740778,1080.1142610322288,1105.1206812343112,1130.5343692321662,1156.2657101652042,1182.2240756336728,1208.3190431191892,1234.4615419432535,1260.5649024197703,1286.545790371391,1312.3250147203507,1337.8282011628924,1362.986329782539,1387.7361387033984,1412.020399440873,1435.7880724363595,1458.9943533708831,1481.6006222802864,1503.5743083060877,1524.8886831915856,1545.5225964602353,1565.4601646824224,1584.690426433926,1603.2069735542486,1621.0075681963087,1638.0937539812066,1654.4704683828083,1670.1456623063382
R,0.0,62.71724744332331,119.77611000487985,175.12018172081514,230.52803675786782,286.8414023509355,344.49162575048945,403.72683774622163,464.71093495444774,527.5673957422506,592.3991761448615,659.2981077696184,728.3495962194286,799.6351483570064,873.2338475384761,949.2232842449321,1027.6801808430387,1108.6808289034473,1192.3014020173775,1278.6181803068641,1367.7077091357178,1459.6469069888785,1554.5131329963456,1652.3842216999535,1753.3384907044601,1857.4547254646377,1964.8121444433107,2075.490347117134,2189.5692467351114,2307.1289893010526,2428.2498599216724,2553.012177412477,2681.4961778661373,2813.7818877493023,2949.9489869936283,3090.076662477494,3234.243452250434,3382.527080828124,3535.004285878193,3691.7506366232706,3852.8403443052202,4018.346065081594,4188.338695760331,4362.88716282035,4542.058205212765,4725.916151488929,4914.522691856495,5107.936645822227,5306.213726139601,5509.735374641596,5719.097401514175,5935.052245987652,6158.48021329823,6390.3771539381605,6631.852097692006,6884.131418911413,7148.567701657987,7426.652331643023,7720.031327328713,8030.524213162552,8360.14592280926,8711.131844956813,9085.966212554717,9487.414100650323,9918.55734456103,10382.8347214438,10884.086754330603,11426.605496329748,12015.189630142606,12655.205168846338,13352.651960946418,14114.23607731573,14947.447979650953,15860.646128154302,16863.145368318546,17965.309031253833,19178.643178887396,20515.89081811627,21991.123196276283,23617.46080950905,25407.623489007965,27374.05413544382,29528.8621713021,31883.67785779474,34449.45504947259,37236.241630611825,40252.93093197222,43507.005804180226,47004.286773785476,50748.69567494161,54742.04584166783,58983.869148021055,63471.288827048214,68198.94511174716,73158.97842203814,78341.07222166733,83732.55496810304,89318.55796384015,95082.22356216413,101004.95622649469,107066.70748974758,113246.28496097936,119521.67518631258,125870.3703538455,132269.68946951706,138697.08563237303,145130.4323017894,151548.28287289935,157930.0993631564,164256.44747832709,170509.1567017476,176671.4452852657,182728.01108001327,188665.09001192253,194470.48467623166,200133.56600358113,205645.25125232697,210997.9617275661,216185.56364043272,221203.29542604246,226047.68465922674,230716.4574666105,235208.44305205616,239523.47564771445,243662.29588966432,247626.45330726294,251418.21131800194,255040.45584153375,258496.60839208294
G,39068.0,39068.0,39076.99470330253,39090.132823070606,39105.355668682496,39121.79415007509,39139.08663486417,39157.088257316085,39175.74693500713,39195.05044952634,39215.0038395414,39235.61973072655,39256.91419019692,39278.90494172574,39301.61059057746,39325.05028041733,39349.24353513476,39374.21017960752,39399.97029383453,39426.54418074322,39453.952339090705,39482.21543766757,39511.354289090006,39541.389822375015,39572.34305389822,39604.235056519516,39637.086926750984,39670.919749888635,39705.754563057206,39741.61231613669,39778.513830554715,39816.479755942884,39855.530524668844,39895.68630426935,39936.96694782381,39979.39194232224,40022.98035509702,40067.75077840337,40113.72127225022,40160.909305599875,40209.331696072535,40259.004548309465,40309.94319116673,40362.16211392958,40415.674901755905,40470.49417057487,40526.631501684904,40584.09737631178,40643.474014087216,40705.19715923042,40769.65023503186,40837.209744483,40908.268511075374,40983.249075848,41062.61293338302,41146.86823839479,41236.57722500849,41332.36395456124,41434.922729025864,41545.02738523965,41663.541633102985,41791.43057921037,41929.77356769436,42079.778463501316,42242.79749496208,42420.344758990555,42614.11547057034,42826.00700530126,43058.141736264355,43312.89160050296,43592.90424181742,43901.13046092838,44240.85255707826,44615.71296310721,45029.74235657946,45487.38617257841,45993.52815283788,46553.509249491566,47169.0248310391,47842.72645487616,48577.44704474487,49375.872898142494,50240.36930354083,51172.86060841234,52174.73272134095,53246.74945333752,54388.98225229272,55600.755529906906,56880.610303290276,58226.28847466895,59634.73921892601,61102.147866494175,62623.98650813418,64195.08442936554,65809.71550634668,67461.69893854744,69144.50920482051,70851.39092623226,72575.47439042277,74309.8878039438,76047.86284016908,77782.83068160266,79508.50645611568,81218.96068097375,82908.67700959096,84572.59618815061,86206.14664886468,87805.26258122477,89366.39062929837,90886.48656671976,92363.00341169929,93793.872475664,95177.47880614076,96512.63240244128,97798.53646594663,99034.75380808339,100221.17238924747,101357.97080969503,102445.58442547896,103484.67262369297,104476.08766479703,105420.84538748095,106320.09797414466,107175.10889256836,107987.23006105801,108757.88122922058,109488.53152324684,110180.68307174009,110835.85660428298
H,366219.87051336095,366219.87051336095,366219.87051336095,366219.87051336095,366219.87051336095,366219.87051336095,366219.87051336095,366219.87051336095,366219.87051336095,366219.87051336095,366219.87051336095,366219.87051336095,366219.87051336095,366219.87051336095,366219.87051336095,366219.87051336095,366219.87051336095,366219.87051336095,366219.87051336095,366219.87051336095,366219.87051336095,366219.87051336095,366219.87051336095,366219.87051336095,366219.87051336095,366219.87051336095,366219.87051336095,366219.87051336095,366219.87051336095,366219.87051336095,366219.87051336095,366219.87051336095,366219.87051336095,366219.87051336095,366219.87051336095,366219.87051336095,366219.87051336095,366219.87051336095,366219.87051336095,366219.87051336095,366219.87051336095,366219.87051336095,366219.87051336095,366219.87051336095,366219.87051336095,366219.87051336095,354012.5414962489,341805.2124791369,329597.88346202485,317390.5544449128,305183.2254278008,292975.89641068876,280768.5673935767,268561.2383764647,256353.90935935266,244146.58034224063,231939.2513251286,219731.92230801657,207524.59329090454,195317.2642737925,183109.93525668047,170902.60623956844,158695.2772224564,146487.94820534438,134280.61918823235,122073.29017112032,109865.96115400828,97658.63213689625,85451.30311978422,73243.97410267219,61036.64508556016,48829.316068448126,36621.987051336095,24414.658034224063,12207.329017112032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
