series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
S,218965.74573881138,218020.37331954905,217265.69724374084,216600.9551428784,215979.76899617913,215380.16783838574,214791.70858233518,214209.53017635006,213631.50525184302,213056.84761083894,212485.42323571097,211917.4068710168,211353.11016686287,210792.89565805485,210237.1339565439,209686.1828137798,209140.3772993844,208600.0256469665,208065.40799008214,207536.77656477515,207014.35664433075,206498.34782481776,205988.92546187367,205486.24215359802,204990.42921386345,204501.59810654007,204019.84182519873,203545.23621055597,203077.8412022328,202617.7020238745,202164.85030214157,201719.30512096902,201281.0740130393,200850.1538907537,200426.53191919278,200010.18633367217,199601.08720455246,199199.1971519704,198804.47201313236,198416.86146476134,198036.30960322163,197662.75548476295,197296.13362823726,196936.37448254388,236516.89400603197,275995.91162098985,315371.6922940623,354640.9206990253,393797.7696750604,432833.4676261218,471736.08361374686,510490.3612161996,549077.5154333294,587474.9586914392,625655.9507040551,663589.181891808,701238.3083139027,738561.4620076843,775510.7665316719,812031.8941268155,848063.7079996192,883538.0398223867,918379.6571631315,952506.4764235622,985830.0721949554,1018256.5223559865,1049687.6092267015,1080022.3714526864,1109158.9713243658,1136996.8115812365,1163438.808801395,1188393.7114571098,1211778.3427011755,1233519.6521289048,1213622.987068592,1193021.3395604305,1171732.5005913798,1149856.4020110606,1127520.6092869593,1104858.4911112762,1081999.6823722206,1059065.5754964757,1036167.1160085718,1013403.8050413239,990863.41553704,968622.1652567857,946745.1909118551,925287.2175960534,904293.3468697823,883799.9066773484,863835.3210820472,844420.9693305411,825572.0128308584,807298.1757307833,789604.4702685957,772491.8622273216,755957.8749072936,739997.1322553932,724601.8433358077,709762.2313491498,695466.9110295696,681703.2185740646,668457.4983649128,655715.3506979496,643461.8445749395,631681.6993946058,620359.4391117651,609479.5221479319,599026.4500444948,588984.8575614791,579339.586648025,570075.7464495421,561178.7612736649,552634.4082139251,544428.8459267697,536548.6358738168,528980.7571762386,521712.6160807825,514732.05090591963,508027.33322060364,501587.16590578225,495400.6786588022,489457.4214219327,483747.35614721477,478260.8472496322,472988.6510481899,467921.9044489667,463052.1130847549,458371.1390917757
E,0.0,945.3724192623342,1419.9044288392379,1663.8834608306306,1792.0077527998692,1860.579732717417,1897.6897413700742,1917.5220181887873,1927.323875978239,1930.8538464897483,1930.1045080286744,1926.1692120720854,1919.6804095571597,1911.032251293139,1900.494011460161,1888.2680301929397,1874.5193696045087,1859.3910146406463,1843.0116792901024,1825.499832984643,1806.9658016351714,1787.512895275122,1767.2380503040524,1746.2322353057502,1724.5807461918134,1702.363452971225,1679.655027915632,1656.5251683700235,1633.038819223747,1609.256396095225,1585.234008508768,1561.023681668602,1536.6735753005441,1512.2281981454091,1487.7286169021195,1463.2126586590255,1438.7151060840279,1414.267884852577,1389.9002429724337,1365.6389218150302,1341.5083187874886,1317.530641679834,1293.7260548018448,1270.1128170863901,1246.7074123837729,1331.7396857679523,1494.811120415524,1716.1115445814953,1984.2130082264725,2294.0184634245184,2645.100622891867,3040.4843014981416,3485.826543194913,3988.910602532573,4559.366019726929,5208.538087318874,5949.444486448645,6796.769365089734,7766.853967625197,8877.648422955652,10148.59269746675,11600.397608314805,13254.700799810642,15133.57915692355,17258.909288360308,19651.58177699348,22330.592216861627,25312.050874764023,28608.170385651232,32226.303941294656,36168.11190910272,40428.930742375356,44997.40417184225,49855.41471129753,54978.32678676227,59288.13871053596,63008.00706098622,66212.81912654922,68927.63708049273,71164.29314833065,72934.84709293612,74256.02744548442,75150.05244079628,75644.00073223465,75768.65489312101,75557.23081759307,75044.18251839576,74264.16580047965,73251.19037943479,72037.96142111169,70655.39638632466,69132.29572061889,67495.14321556564,65768.01192899497,63972.55321172181,62128.04888249305,60251.5094235194,58357.80392085115,56459.81015775278,54568.575682249124,52693.482767218346,50842.411955337055,49021.900347308256,47237.29197838388,45492.87856942208,43792.02967024864,42137.31176927685,40530.59635566851,38973.157216651074,37465.75745694431,36008.72685983186,34602.03028699981,33245.327850515074,31938.027596206077,30679.331421928633,29468.274923543813,28303.761821131615,27184.59357197917,26109.494728166763,25077.134547279726,24086.14531642345,23135.13780335327,22222.71420482231,21347.478921594146,20508.047452153092,19703.05366301619,18931.155662645557,18191.040478145587,17481.427709029096
I,2328.5711460752887,1415.2507838108681,949.2144769309357,710.6716174031678,588.6747985379084,526.5978851741797,495.32878579466694,479.82009215285325,472.2625624887537,468.5926527481306,466.69470699998146,465.4705891548926,464.35587654561226,463.06710606930915,461.46912629606834,459.50516220325073,457.15976861748936,454.4391079186724,451.36039528103333,447.94621911898673,444.2214684926513,440.2116635842301,435.94204722989144,431.4370932764433,426.72024600197125,421.8137895456822,416.7387917972371,411.51509178820197,406.16131301863527,400.69489251444486,395.13211951276935,389.48817999830226,383.7772046635331,378.01231867372337,372.2056921191318,366.3685903620709,360.5114237066042,354.6437959744071,348.7745516845929,342.9118216217,337.06306664276667,331.2351196266753,325.4342255101793,319.66607938760706,313.9358626769208,308.24827737491,312.8019191760667,330.93157777774377,362.7978527059307,407.4217883101026,463.7282335396567,531.0234844864177,609.1708753863301,698.620262972177,800.3782771539935,915.9638698951346,1047.369002037019,1197.0306646178003,1367.813316230818,1562.997326128032,1786.2674084331115,2041.6943779625135,2333.7034323096614,2667.0224658704587,3046.6047234836724,3477.5215457636605,3964.823161093976,4513.368449874063,5127.628184902024,5811.470081861451,6567.937551111128,7399.036719971887,8305.547538389972,9286.874229986299,10340.947947243858,11464.190511479843,12552.874584914794,13564.979483740288,14482.020743709063,15295.124911516821,16000.013559746489,16595.22244470053,17081.437536329235,17461.168808634815,17738.492695664572,17918.786614954606,18008.447920970917,18014.61049819913,17944.874886483427,17807.06438329889,17609.014778520497,17358.401044759426,17062.60098132073,16728.59353334396,16362.888129830939,15971.480703229034,15559.831874282645,15132.862943759483,14694.96569728357,14250.022503952769,13801.433705092775,13352.149800480025,12904.706417040086,12461.260473462857,12023.626326349633,11593.310998373603,11171.547849217046,10759.32826063678,10357.431073843161,9966.449646691473,9586.816496027708,9218.825562487573,8862.65218609,8518.370915403999,8185.971294552757,7865.371783890538,7556.431974332977,7258.963254043898,6972.738081073316,6697.498007847358,6432.960594090745,6178.825334543088,5934.778717251353,5700.498517673652,5475.657423589161,5259.9260760606285,5052.975602555937,4854.479709868774,4664.116396712497
A,4996.239205331281,4748.965998315364,4705.0165386173,4759.158173914681,4859.93510287732,4981.621832345015,5111.146339125886,5241.761388356936,5369.920702846094,5493.718398277054,5612.102618617895,5724.476320965841,5830.4930075532075,5929.951165141153,6022.7389224628605,6108.804372677952,6188.139076411858,6260.768375557588,6326.745258975783,6386.1461096422345,6439.06747612307,6485.623428512773,6525.94327315947,6560.1695103078055,6588.455974848869,6610.966128744506,6627.871487841646,6639.350172664997,6645.585575969882,6646.765141207859,6643.079246560144,6634.720189312446,6621.881265321621,6604.75593827516,6583.537093420571,6558.416370462242,6529.583570391408,6497.226131126494,6461.528666989352,6422.672567220132,6380.835648932538,6336.191860125463,6288.911028590944,6239.158652787399,6187.09573097742,6132.878625157922,6098.5321833609205,6098.846827491048,6143.87679397664,6240.868813692199,6395.680709872568,6613.79402464593,6901.030406560222,7264.066823884205,7710.822998804911,8250.773086264873,8895.215542858034,9657.520874409945,10553.365925116073,11600.954677253143,12821.2183781528,14237.981699842272,15878.076411903778,17771.379891829005,19950.753174799727,22451.852805563696,25312.793180540088,28573.641874853816,32275.739771981665,36460.85022688284,41170.155930144705,46443.13696996536,52316.37686037038,58822.35311500145,65988.27383307365,73835.02100794826,82164.5493911615,90833.72143780917,99721.62052543477,108718.38017465363,117721.9630210821,126637.81932936859,135379.46010277365,143869.16776207025,152038.5444558129,159828.79947357593,167190.7656115849,174084.67314518456,180479.72551779854,186353.5246496795,191691.39159627227,196485.62316950562,200734.7187876404,204442.60523729597,207617.88078734637,210273.09449503085,212424.07172654077,214089.2929068663,215289.32928099242,216046.33693832107,216383.60843494447,216325.17994993582,215895.49094113428,215119.0926395997,214020.40136644687,212623.49250814546,210951.9309939151,209028.63423843688,206875.7637101169,204514.64153229978,201965.68880105982,199248.38259255784,196381.2289236703,193381.7492132572,190266.47806224527,187050.97042492218,183749.81647927652,180376.66271986024,176944.23799232452,173464.38336492237,169948.08488973335,166405.50844626094,162846.03598365292,159278.30258644337,155710.23388376806,152149.0834047909,148601.46955487045,145073.41194898591,141570.3668922431
IH,0.0,465.71422921505774,530.1734016675873,471.170291380639,392.15273392358444,325.82406248003383,278.21251123622636,246.6944406669725,226.86817993858494,214.83620978503922,207.71766983884612,203.56074991395303,201.11012829065854,199.5868055579495,198.52072645750334,197.63543396600653,196.77287591489292,195.84609560492106,194.8101834353726,193.64475193397067,192.34350052212258,190.9080637181993,189.34441288769926,187.66076520024347,185.86637572490804,183.9708443605173,181.98372195609437,179.91429008331977,177.77144165486513,175.56362024188292,173.29879368534745,170.98444783044334,168.62759210909127,166.23477209426738,163.81208611473238,161.3652041617964,158.89938799128032,156.41951172421477,153.93008249341926,151.4352608352191,148.938880623557,146.44446840910112,143.9552620710793,141.47422872175912,139.0040818270933,136.54729752470732,134.10613013379754,133.72149500896703,137.1433267164836,145.33231783822097,158.6024522376133,176.90530984078293,200.07645658677342,228.00130521678454,260.709023319525,298.4164141562336,341.54231104088893,390.70735283541626,446.72826908381523,510.61133498857686,583.5465870271888,666.9024404111492,762.2191840973945,871.1991854448421,995.6913552889796,1137.6674353289905,1299.1879645041627,1482.3563780356685,1689.2606037219743,1921.9027190941656,2182.1186352927634,2471.4912290564307,2791.261652163381,3142.2444904447148,3524.752834584063,3938.539051263767,4382.756102386833,4836.209054201241,5279.247042927361,5697.745782868841,6082.43577411423,6427.542630498305,6729.709424589151,6987.292054578151,7199.920100921468,7368.212293669274,7493.5724347870355,7578.024898533897,7624.070661186001,7634.556930753413,7612.559188686395,7561.276544289656,7483.941544409568,7383.745044287596,7263.776005399104,7126.975417817621,6976.1030538266805,6813.71546326612,6642.1534954863555,6463.537639054651,6279.769568573924,6092.538443226331,5903.330686231664,5713.442167888408,5523.991903217953,5335.936549613298,5150.085145399053,4967.113664782224,4787.57907819958,4611.932700674922,4440.532686333543,4273.65558687056,4111.506937813116,3954.230871057024,3801.918777427366,3654.6170607180775,3512.334036375065,3375.04603502979,3242.7027745717432,3115.232065273897,2992.5439113845778,2874.534070151134,2761.0871258978914,2652.0791328912305,2547.37987655124,2446.8547983067674,2350.3666251791446,2257.776741117073,2168.9463332560263
IN,447.60613304936277,839.5209122171952,1007.1118291831851,1064.2678723124855,1068.45898798455,1048.6779857151291,1019.4255019822202,987.80196904191,957.1319144948294,928.8251068322104,903.3348017977552,880.6511820324282,860.5545640771672,842.7441022768286,826.9018940520102,812.723611120382,799.9318763651956,788.2808551282377,777.556484162988,767.5746432284566,758.1784624302562,749.2353739585815,740.6342097285567,732.2824855045259,724.1039284293953,716.0362620903925,708.0292420692731,700.0429251244533,692.0461512986107,684.015217444815,675.9327213786344,667.7865572775895,659.5690446343833,651.2761748052424,642.9069608690471,634.4628780753822,625.9473835901767,617.3655055424897,608.7234925396992,600.0285158592395,591.2884174530135,582.5114977259578,573.7063377829438,564.8816514876632,556.0461632520733,547.208507983299,538.3771500638411,531.5199106570421,529.0007987439608,532.9205632638005,544.9303987424946,566.2693880344478,597.8891005506518,640.5964406396469,695.1843902954255,762.5407662807378,843.7349010894749,940.085982108439,1053.2175098297532,1185.1016043955854,1338.0955779956066,1514.9717336942883,1718.9399497146514,1953.6613568460998,2223.2503788433514,2532.2616511688284,2885.657950441676,3288.755355066526,3747.142505686134,4266.572089458918,4852.8245075596915,5511.545976121614,6248.065831405982,7067.200256010401,7973.051678724179,8968.814421180661,10056.597556009365,11218.308910508975,12430.02998455336,13667.26507971592,14906.860576854666,16127.721226043865,17311.094995651274,18440.694849704927,19502.742668510375,20485.95819863068,21381.498346877743,22182.85000361447,22885.681723556507,23487.661984258288,23988.253174080168,24388.490794342222,24690.75681905119,24898.555042472974,25016.294832607673,25049.088207260495,25002.563703927757,24882.699214689794,24695.67484937623,24447.745990281106,24145.136004893615,23793.947572121153,23400.091228292018,22969.229525302326,22506.73508832061,22017.660840110886,21506.72070173958,20978.279166854976,20436.348263754153,19884.59055398739,19326.326958903333,18764.54834925031,18201.929972612226,17640.8479255553,17083.39699964368,16531.40934167928,15986.473468107752,15449.95326152516,14923.00665401886,14406.603768337929,13901.544344426753,13408.47432656784,12927.901526191428,12460.210308234124,12005.675275642005,11564.473948034702,11136.69844742897,10722.366216944865,10321.429808194323
D,1601.0,1601.0,1603.6512380581578,1606.669432074461,1609.3517306387266,1611.5841946425453,1613.4390599236997,1615.022880111647,1616.4272728675535,1617.7187978309455,1618.9418266755065,1620.1243307887194,1621.283170208826,1622.4280586244192,1623.564275002633,1624.6944223597459,1625.8195298855655,1626.9397270036952,1628.0546481068886,1629.163671924587,1630.2660611235497,1631.36104250233,1632.4478521645385,1633.5257602078325,1634.5940835089273,1635.652191632195,1636.699508792725,1637.7355135770933,1638.7597374104068,1639.77176234373,1640.7712184960526,1641.7577813460343,1642.7311689880767,1643.6911394201775,1644.6374879032555,1645.570044415058,1646.4886712117036,1647.3932605036616,1648.283732249008,1649.160032064218,1650.022129251049,1650.8700149369,1651.7037003252706,1652.5232150523989,1653.3286056458273,1654.119934080435,1654.8972764273637,1655.6607215912409,1656.4219770876834,1657.2027125353118,1658.0300666249268,1658.9329655082147,1659.9400596889757,1661.0790635736932,1662.3770392415597,1663.8612148182751,1665.5600526564995,1667.5043994612533,1669.7286351372497,1672.2717891023888,1675.1786193414607,1678.5006585302615,1682.2972295177453,1686.6364237762996,1691.5960240886636,1697.264338796956,1703.740901059515,1711.1369743596574,1719.5757967074844,1729.1924923585552,1740.1335830817816,1752.5560422002293,1766.6258541059585,1782.5160688734238,1800.4043738864461,1820.470238904999,1842.8917239514203,1867.8420669930226,1895.3738465637614,1925.427771912395,1957.8641449446523,1992.4904977572162,2029.0814897720627,2067.392669949842,2107.170227637491,2148.1582434415845,2190.104320301824,2232.764052782308,2275.904559892265,2319.307198306575,2362.769533408728,2406.106638815709,2449.151800171986,2491.7567055041873,2533.791207877335,2575.1427453296174,2615.7154984944073,2655.4293589558088,2694.218772335161,2732.031510341985,2768.8274162946104,2804.5771594465978,2839.261025169781,2872.8677608102344,2905.3934909003797,2936.840710349635,2967.217360167902,2996.535987093363,3024.8129860793333,3052.0679228244617,3078.322932293037,3103.6021883646063,3127.931439284139,3151.3376033781205,3173.848419493313,3195.49214675011,3216.2973084384253,3236.292475186702,3255.506082877382,3273.966281144737,3291.700808658247,3308.7368917556937,3325.1011633372186,3340.819599259625,3355.917469776097,3370.4193038486374,3384.3488644184117,3397.729132953048,3410.582301800738
R,0.0,302.964560897447,858.3930662300695,1462.386232472843,2048.8121203262226,2604.1086918072538,3132.2117014993464,3641.0092583981213,4137.722462810205,4627.769600465209,5114.842855597652,5601.302967322566,6088.574900171791,6577.457076249641,7068.339310992149,7561.348376967206,8056.442427083394,8553.471400447033,9052.215583932986,9552.41042965927,10053.762808609717,10555.961930898296,11058.68691591942,11561.612219866667,12064.411654697971,12566.76144738271,13068.342617695951,13568.842851103225,14067.957982458342,14565.39316954484,15060.86381298402,15554.096264864877,16044.828359210767,16532.809791099637,17017.802366745662,17499.580143459567,17977.929475739664,18452.648981573075,18923.549441206473,19390.453639090447,19853.196158355295,20311.623136000457,20765.59198594782,21214.97109620024,21659.639505544954,22099.48656453363,22534.411584845602,22965.406027425324,23395.384516113274,23828.864808517563,24271.43014112028,24729.30469363547,25209.115653624398,25717.820483735995,26262.754366469508,26851.756633597426,27493.34649917897,28196.929608077957,28973.025244662753,29833.509262791333,30791.8704214667,31863.478493433522,33065.861809162714,34418.990220468324,35945.557129973284,37671.25150526395,39625.00795873625,41839.22034537135,44349.902277067755,47196.77686296954,50423.27822254158,54076.44914850134,58206.722820921306,62867.58157492878,68115.0920525819,74007.32307370447,80603.65956465845,87953.55448458598,96087.29806480819,105017.10859517416,114740.17003354976,125241.43750512006,136495.8845769652,148470.3146569521,161124.89599674082,174414.52567679784,188290.07451067545,202699.53058060133,217589.04197731495,232903.853330692,248589.13083610887,264590.6733325761,280855.51059643086,297332.39335276576,313972.18213206966,330728.1438969663,347556.16638756334,364414.9005116667,381265.8409864144,398073.3549620981,414804.66764886136,431429.8131208372,447921.5575653599,464255.30133205175,480408.96525585174,496362.8659040014,512099.5836439681,527603.8267540442,542862.2942023097,557863.5392005473,572597.8351929744,587057.0455593759,601234.4979917989,615124.8642366659,628724.0456733879,642029.0650201279,655037.9643115478,667749.7091770413,680164.0993564966,692281.6853200392,704103.6908049495,715631.9410440148,726868.7964323631,737817.0913621379,748480.077944337,758861.3743332012,768964.9173693837,778794.9192626788,788355.8280424376
G,294587.0,294587.0,294676.05833162565,294809.8197117164,294966.56501337927,295135.38019930257,295310.65517398564,295489.42607830436,295670.0652722514,295851.62784526445,296033.522957368,296215.34747842,296396.80127690255,296577.6438010191,296757.67162975116,296936.7067089184,297114.5900456908,297291.1781968315,297466.34118892805,297639.96117400465,297811.93146443827,297982.1557658028,298150.54751594155,298317.02928454254,298481.5322109433,298643.9954697396,298804.36575964116,298962.59681382135,299118.6489312567,299272.4885290244,299424.08771562425,299573.42388532567,299720.4793334061,299865.2408920057,300007.69958618795,300147.8503096842,300285.6915197074,300421.2249501542,300554.45534246345,300685.3901933678,300814.0395187572,300940.4156328672,301064.53294200683,301186.4077520538,301306.0580889595,301423.5035315279,301548.9593964945,301689.7773236597,301851.44274559274,302038.36453059723,302254.4713821493,302503.65175134235,302790.0790404277,303118.45957062714,303494.23288072913,303923.7456554982,304414.4133572565,304974.8777724082,305615.16400010604,306346.8365581825,307183.1509473036,308139.1940003575,309232.0036023095,310480.6560014869,311906.3071880232,313532.1740269339,315383.4413700507,317487.08353955444,319871.59251717885,322566.6107697696,325602.4734678919,329009.6721961848,332818.25921222405,337057.2169619703,341753.82114274026,346933.0266700374,352518.2358544447,358453.87335938256,364691.418567483,371184.71183076175,377888.70815006725,384759.4986101229,391754.7501984885,398834.2229603216,405960.22787165316,413097.9757652979,420215.80656061356,427285.3058998397,434281.32415783015,441181.91557753144,447968.2153755325,454624.27133221424,461136.8443593945,467495.19026110973,473690.8326316595,479717.3347199195,485570.07620876876,491246.0392449779,496743.60671006434,502062.3746306186,507202.97976191714,512166.9427115176,516956.5264695232,521574.60985030956,526024.5751003962,530310.2087656998,534435.6148188779,538405.1390073337,542223.3033811623,545894.7499869419,549424.1927591454,552816.3766993136,556076.0434988003,559207.9028299877,562216.6086005145,565106.7395332095,567882.7834996963,570549.125097102,573110.0360144423,575569.6677878054,577932.0465913619,580201.0697545793,582380.5037350031,584473.9833108288,586485.0117885307,588416.9620483164,590273.078274478,592056.4782390929,593770.1560262892
H,1198004.674352181,1198004.674352181,1198004.674352181,1198004.674352181,1198004.674352181,1198004.674352181,1198004.674352181,1198004.674352181,1198004.674352181,1198004.674352181,1198004.674352181,1198004.674352181,1198004.674352181,1198004.674352181,1198004.674352181,1198004.674352181,1198004.674352181,1198004.674352181,1198004.674352181,1198004.674352181,1198004.674352181,1198004.674352181,1198004.674352181,1198004.674352181,1198004.674352181,1198004.674352181,1198004.674352181,1198004.674352181,1198004.674352181,1198004.674352181,1198004.674352181,1198004.674352181,1198004.674352181,1198004.674352181,1198004.674352181,1198004.674352181,1198004.674352181,1198004.674352181,1198004.674352181,1198004.674352181,1198004.674352181,1198004.674352181,1198004.674352181,1198004.674352181,1158071.1852071083,1118137.6960620356,1078204.206916963,1038270.7177718903,998337.2286268177,958403.739481745,918470.2503366724,878536.7611915998,838603.2720465271,798669.7829014545,758736.2937563818,718802.8046113092,678869.3154662366,638935.8263211639,599002.3371760913,559068.8480310186,519135.3588859459,479201.8697408732,439268.3805958005,399334.8914507278,359401.4023056551,319467.9131605824,279534.4240155097,239600.93487043702,199667.44572536432,159733.95658029162,119800.46743521892,79866.97829014622,39933.48914507352,8.294591680169106e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
