series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
S,3568300.1031091125,3567762.922759874,3567341.3243821673,3566976.2745359675,3566635.676634571,3566301.943748465,3565965.308442407,3565620.215090392,3565263.372505231,3564892.702092719,3564506.769400957,3564104.4767217743,3563684.896712949,3563247.182218448,3562790.517271598,3562314.0903650257,3561817.079768008,3561298.645370794,3560757.924074666,3560194.0271188677,3559606.038477402,3558993.013859875,3558353.9800675847,3557687.9345735833,3556993.845259147,3556270.650273731,3555517.258004387,3554732.547151025,3553915.3669096692,3553064.537269145,3552178.8494285303,3551257.0663438546,3550297.9234132213,3549300.129309989,3548262.3669739068,3547183.2947702394,3546061.5478269495,3544895.7395599177,3543684.4633959983,3542426.294703399,3541119.792938448,3539763.504017249,3538355.9629200115,3536895.696534992,3535381.2267479626,3533811.073781917,3532183.759790373,3530497.8127060714,3528751.770345132,3606968.8108233246,3685078.187086213,3763075.301749031,3840952.6418981226,3918700.568012365,3996307.7148900945,4073761.163913126,4151046.478870296,4228147.658182847,4305047.033440782,4381725.130910925,4458160.5051002735,4534329.549191538,4610206.284836562,4685762.132605443,4760965.663895493,4835782.335055906,4910174.204748948,4984099.636081826,5057512.985778452,5130364.283611338,5202598.90648459,5274157.252955197,5344974.425602875,5414979.930499874,5484097.405066763,5552244.3877812745,5619332.14546005,5685265.576048256,5671207.168893732,5654758.882891619,5637139.707978545,5618296.32670344,5598189.373769233,5576790.549949003,5554081.677143956,5530054.626414392,5504711.584255728,5478065.382599504,5450139.747552332,5420969.389097999,5390599.891556485,5359087.387972407,5326498.017922925,5292907.180615855,5258398.604832572,5223063.264661831,5186998.17516163,5150305.105109938,5113089.244950956,5075457.867095114,5037519.013162811,4999380.238914848,4961147.44286115,4922923.799258934,4884808.810749733,4846897.490541774,4809279.67906004,4772039.495536121,4735254.921205779,4698997.507679173,4663332.201654103,4628317.275426092,4594004.351553092,4560438.509481935,4527658.461854103,4495696.788493184,4464580.216651448,4434329.936880568,4404961.944822485,4376487.40023138,4348912.995587505,4322241.327708778,4296471.2667763885,4271598.318143981,4247614.97318122,4224511.046202468,4202273.995245395,4180889.2250919943,4160340.371467642
E,0.0,537.1803492387679,851.3419331582028,1046.1222454025117,1177.4942878960435,1275.7267295551578,1357.214970449522,1430.8634993025914,1501.5314562782555,1571.8935539727445,1643.4454165537963,1717.046797611425,1793.2151329098836,1872.2841841755858,1954.4897709781726,2040.0160893565953,2129.0207192440357,2221.648103401947,2318.0367848115225,2418.3232597100855,2522.6439901434183,2631.136409962207,2743.939374368866,2861.193295584548,2983.0400949729597,3109.6230412552727,3241.0865116174223,3377.575694756234,3519.2362453193196,3666.213894027485,3818.6540150072838,3976.701150413963,4140.498491702369,4310.187316588101,4485.906380663042,4667.791262697495,4855.973662827584,5050.580653066675,5251.733879880833,5459.548718925082,5674.133382446746,5895.587980323621,6124.003536217439,6359.460960886497,6602.02998531422,6851.768056970888,7108.719203230759,7372.912866712391,7644.362718090707,7923.065452738394,8253.69148016294,8630.453456599524,9051.63704372644,9517.997380662593,10031.86425822711,10596.654922456019,11216.620758552042,11896.728236540981,12642.617356992552,13460.605435936091,14357.718077510679,15341.737079846927,16421.25940182886,17605.763680722932,18905.68198635327,20332.475008640184,21898.708971001088,23618.132390294733,25505.75044477406,27577.894208220558,29852.281386055853,32348.064465855638,35085.861389146,38087.762988822054,41377.31055311523,44979.43602371823,48920.35658147714,53227.41480721143,57928.85533766408,62791.292203539255,67852.12405426175,73124.98907656301,78606.84564745075,84284.19440247523,90136.114740147,96135.8210483706,102251.56943845403,108447.3194060992,114683.34442136686,120916.87943666652,127102.83813536917,133194.6028002932,139144.87278797722,144906.5480167402,150433.61891115468,155682.03256550262,160610.50574533615,165181.25819876153,169360.64410894827,173119.66490154434,176434.35254617952,179286.01851045922,181661.36924452684,183552.49417912078,184956.73648517777,185876.46013633293,186318.7290915521,186294.91570188222,185820.25582866176,184913.3677660316,183595.75103657367,181891.27963165473,179825.70244976506,177426.16168611665,174720.73786565047,171738.02818837017,168506.76294705772,165055.4630378157,161412.1400488225,157604.03910062904,153657.42352688985,149597.39962146746,145447.77902234506,141230.97583536495,136967.93529897253,132678.09063100224,128379.34465622075,124088.07286599453,119819.14468796257
I,1521.2793294490482,1192.4358195658954,1031.3629607282048,961.6539139191984,942.0718311475069,950.3682972023772,974.5522233248241,1008.1755501998739,1047.7867647909632,1091.5550376955898,1138.5267173134184,1188.223492941866,1240.425193644922,1295.0523743793906,1352.1028368703505,1411.6173031619014,1473.6608461418905,1538.3128351736755,1605.6614811766744,1675.8008635129943,1748.8292930571463,1824.8483913477075,1903.962549861013,1986.278587083463,2071.9055041306183,2160.9542845750493,2253.537708424215,2349.770163311078,2449.7674430495335,2553.646527537278,2661.5253400613997,2773.5224791896353,2889.756923053621,3010.3477041890264,3135.413553321758,3265.0725106511786,3399.4415033203213,3538.63588790203,3682.7689568820747,3831.951408293758,3986.2907778587037,4145.890833219143,4310.850930110828,4481.265330624793,4657.222484042009,4838.804271098551,5026.085212950567,5219.131646557929,5418.000868692051,5622.740251295292,5833.386331474106,6058.007969731931,6301.888178418465,6568.859417304196,6862.061629552385,7184.375359185127,7538.6735543712775,7927.973345967861,8355.5335886596,8824.923838014565,9340.079098535018,9905.348311997295,10525.540987005572,11205.974362405717,11952.522348238366,12771.666802519185,13670.551256898789,14657.036872484146,15739.760116123605,16928.19135472162,18232.69324510428,19664.577434071827,21236.15766863221,22960.79694640769,24852.94581255271,26928.168340056436,29203.151730346788,31695.694865096186,34424.670563263586,37409.95579708059,40625.12377215363,44056.191553628414,47694.65352800334,51533.29521493282,55564.03188512444,59776.76092799329,64158.74239936686,68694.27667447267,73364.57087253273,78147.74405535923,83018.94784708993,87950.59007794954,92912.65225295018,97873.09111254761,102798.31240985505,107653.7024559931,112404.20066593046,117014.89467344465,121451.61879316314,125681.53677262372,129673.69087534698,133399.50126314015,136833.2022398824,139952.20498182418,142737.3796989779,145173.2535418405,147248.12380171745,148954.0888975066,150287.0021814828,151246.35565632168,151835.1022390633,152059.4262332284,151928.47220464455,151454.0425481054,150650.27374377527,149533.30070536002,148120.91779003944,146432.24404440573,144487.39916703542,142307.19553480798,139912.85051543603,137325.72221194406,134567.0707855291,131657.84660196115,128618.5056560974,125468.85205506723,122227.90678354065,118913.80153016555,115543.69601545444
A,169.13752818090626,135.43890116098274,119.20409280094981,112.4907120666364,111.0127332701598,112.45817230752832,115.58140091224541,119.71306346101247,124.4953573703836,129.73900649559965,135.3459706396057,141.26767258521147,147.4824184809345,153.9831913679311,160.77105139660222,167.85156659234465,175.23288165248132,182.9246719477186,190.93757565962989,199.2828838888191,207.97236961026013,217.01819098137616,226.43283404629824,236.22907585170879,246.4199576263088,257.0187623458816,268.0389935306912,279.4943534866496,291.3987199391865,303.76612040737314,316.61070388166996,329.94670948623,343.78843187186794,358.15018312353084,373.0462509900126,388.4908532612267,404.49808813379207,421.08188042137635,438.2559234836127,456.03361676734414,474.4279988770527,493.4516761180294,513.1167464864513,533.4347191153055,554.4164292242202,576.0719486648537,598.4104922016121,621.4403197201133,645.1686346128863,669.601478653122,694.7436237325901,721.4928117545604,750.4521070175226,782.0701140430175,816.7211697209399,854.7516513478679,896.5073088233798,942.3500820059271,992.6691849589986,1047.889150231583,1108.4763461538246,1174.9448154479599,1247.8619092332676,1327.853978534845,1415.6122629432439,1511.8990419360287,1617.5540652356767,1733.5012411462217,1860.7555283985691,2000.4299430905464,2153.74255505516,2322.023305705402,2506.7204310678944,2709.4062188918692,2931.781767556833,3175.680347846779,3443.068898207458,3736.047112595824,4056.8435114469057,4407.807826009755,4786.151234383965,5190.388956149305,5619.604955827482,6073.004839678991,6549.682345218489,7048.49311982812,7567.984789855955,8106.359107693483,8661.454881406564,9230.746524238391,9811.35585069616,10400.075875610928,10993.40567795276,11587.595297669322,12178.699367265719,12762.637867035268,13335.262108745894,13892.423842227052,14430.045267936723,14944.187736658538,15431.11702363939,15887.363268064993,16309.773952249197,16695.558636370624,17042.32454017217,17348.10244914209,17611.36279777596,17831.022128412736,18006.440426866826,18137.410086163043,18224.13744204539,18267.217957476358,18267.60621031972,18226.581863652755,18145.712778352052,18026.816370494536,17871.92022990206,17683.22290892234,17463.055669856723,17213.845852088707,16938.082391728603,16638.283902200088,16316.969607318775,15976.633311706031,15619.72049858044,15248.60856301642,14865.590119929906,14472.859270088054,14072.500663680496
IH,0.0,167.57500163289816,290.32503196145115,389.03154316763425,474.99276669505366,554.3845975300609,630.615173055315,705.5968262340187,780.4334513857253,855.7920825058985,932.1038418780485,1009.6726739503241,1088.734234012947,1169.4878285751827,1252.1137826505083,1336.7829231080277,1423.6617940523975,1512.9155589988673,1604.709646552214,1699.2107107325814,1796.5872145079327,1897.0098030596478,2000.6515564534516,2107.688169777701,2218.298086260404,2332.662596633872,2450.965911349271,2573.3952085933547,2700.1406590424094,2831.395427155672,2967.3556481577734,3108.220379468903,3254.191525094792,3405.4737313233354,3562.274251957401,3724.8027812267933,3893.2712524580647,4067.8936005351547,4248.885486155834,4436.4639798790695,4630.847203968219,4832.2539300662775,5040.903130794518,5257.013483447236,5480.802824065404,5712.487550313524,5952.281971759306,6200.397606367508,6457.042422269615,6722.420024162148,6996.728784020065,7280.160916189315,7573.787585997857,7879.206921312925,8198.357179641862,8533.423005968825,8886.794211952221,9261.054408105081,9658.986938493397,10083.591255355856,10538.106051320774,11026.037234974288,11551.189811640712,12117.703264169697,12730.090312883369,13393.279077035839,14112.658720487818,14894.12867250715,15744.151485846984,16669.809334917838,17678.864068333925,18779.820610868577,19981.993356755494,21295.575005358638,22731.707057346353,24302.550910889673,26021.35817036143,27902.53840366879,29961.72216057039,32215.816598756,34683.050567678285,37377.80622169535,40312.187209957185,43496.73897982484,46940.67098209379,50651.82938564901,54636.54477637136,58899.41943843793,63443.0900465577,68267.98782523478,73372.11159158657,78750.82573451029,84396.69319873583,90299.35201217298,96445.44238456244,102818.58973657223,109399.44715184846,116165.79871823674,123092.72311884144,130152.81474902236,137316.45767603262,144552.1460201374,151826.84289968282,159106.36900568553,166355.81118727018,173539.94114581944,180623.63443797326,187572.28044087547,194352.17468742083,200930.88597464652,207277.59181959275,213363.37711804148,219161.4921898323,224647.5677134254,229799.78531373575,234599.00373212437,239028.8415467542,243075.71830583838,246728.85667504038,249980.24878063062,252824.59035569997,255259.18657669093,257283.83362449173,258900.68003370072,260114.07182224462,260930.38523869068,261357.8507434512,261406.37156891703,261087.33989736906
IN,161.26850825025468,296.85335762435784,375.9847330099979,425.43853894740477,459.6265705911467,486.2939418145934,509.59375725206513,531.7465400761703,553.9356234777043,576.7899930893251,600.6443787096905,625.67910583858,651.9950763059454,679.6537823075141,708.6985009298844,739.165383905333,771.0891423150952,804.5058574236879,839.4542780108397,875.9763328223314,914.1172462325721,953.9254619582388,995.452481303565,1038.75266984515,1083.8830585509427,1130.9031506666151,1179.874738137309,1230.8617275461743,1283.92997375858,1339.1471187053514,1396.5824325092647,1456.3066541861047,1518.3918292939097,1582.9111420897495,1649.938739947551,1719.549547977497,1791.8190719619058,1866.8231878838483,1944.6379164751352,2025.3391813528688,2109.0025494519923,2195.702952598718,2285.5143892097226,2378.50960524766,2474.7597537177435,2574.334032155347,2677.2992977331196,2783.7196598098008,2893.6560499534803,3007.165769700622,3124.3020165596804,3245.1133890350466,3370.496113453739,3501.763727041591,3640.426846022684,3788.088366141386,3946.4012676967295,4117.059833840128,4301.808357261327,4502.458800433466,4720.9129554363135,4959.1868783586815,5219.436572447597,5503.984524081444,5815.347012339834,6156.262257401256,6529.719521794081,6938.989272351297,7387.654470357085,7879.642992592886,8419.261100494572,9011.227768824985,9660.709557840699,10373.355561844766,11155.331790167991,12013.354132425426,12954.718827851068,13987.3290998249,15119.716334973495,16361.053888208735,17721.161291475757,19205.492751569265,20817.15152742422,22557.844985107487,24428.243779092216,26428.054705411843,28555.960293444743,30809.502351129006,33184.94988527595,35677.17389679857,38279.54266717528,40983.84650832967,43780.25820499641,46657.33341141898,49602.053553703714,52599.91212393729,55635.04357939781,58690.39240796249,61747.918355352456,64788.832409891285,67793.85698093756,70743.50284870327,73618.3549457405,76399.35887034453,79068.10022225541,81607.06936279283,83999.90498902305,86231.61091644353,88288.74162167023,90159.55333857634,91834.11876384453,93304.40465296016,94564.3127263474,95609.6853193234,96438.27807174106,97049.70264751923,97445.34299473329,97628.2490063212,97603.01162964018,97375.6235153887,96953.32921179071,96344.46871957669,95558.31794910759,94604.9292845325,93494.97508145648,92239.59652263852,90850.2598468469,89338.62156274504,87716.40387354643
D,12356.0,12356.0,12356.32154040789,12356.87861173886,12357.625079647874,12358.536488667472,12359.60023354517,12360.81024851154,12362.164137153055,12363.661621192105,12365.303702245936,12367.09220916279,12369.029553994973,12371.118600966634,12373.362596728277,12375.765133935342,12378.330133023313,12381.061833990016,12383.964793746554,12387.04388662597,12390.304306734546,12393.751571422788,12397.391525472627,12401.230345769436,12405.274546319695,12409.530983524084,12414.00686164123,12418.709738390018,12423.647530644042,12428.828520173545,12434.261359389848,12439.955077045604,12445.919083841876,12452.163177890108,12458.697549973984,12465.532788552686,12472.67988444355,12480.150235118414,12487.955648544164,12496.108346494218,12504.620967253732,12513.506567637602,12522.77862423648,12532.451033802414,12542.53811268217,12553.054595203057,12564.015630912985,12575.43678057386,12587.334010805096,12599.723687272248,12612.62256631452,12626.047784904295,12640.016848831969,12654.549319223957,12669.667823670532,12685.398708861498,12701.772513350788,12718.824361227225,12736.594333972856,12755.12785370871,12774.47609785993,12794.696458206658,12815.853053614015,12838.017303934455,12861.26857179824,12885.694878775917,12911.393702439587,12938.472861008397,12967.051492438175,12997.26113493436,13029.24691587277,13063.168855948305,13099.203294978368,13137.544445100773,13178.40607605249,13222.023335715405,13268.654707080404,13318.584100118731,13372.123073665109,13429.613178219459,13491.428405483117,13557.977724401228,13629.697700181705,13707.048122333503,13790.509014812314,13880.578072530343,13977.768045511344,14082.60383081262,14195.61915628555,14317.352808993523,14448.344403427063,14589.129714236897,14740.235621332467,14902.17473451275,15075.439781179582,15260.497854168987,15457.784627018958,15667.69865069363,15890.59584859702,16126.784325482862,16376.519600640419,16640.000366749955,16917.364863480714,17208.687939827323,17513.97886203731,17833.179905526256,18166.165750177017,18512.743679615643,18872.65456712247,19245.57461435024,19631.11779444429,20028.838938830453,20438.23739706487,20858.761191817295,21289.811586267635,21730.747978823863,22180.893039933046,22639.538007614923,23105.948061921375,23579.367703516284,24059.026067675128,24544.142111925346,25033.92962300722,25527.60199657597,26024.376750862877,26523.479743173448,27024.14906546362,27525.638602173727,28027.22123991835
R,0.0,59.382285896075075,141.9238007587654,239.89837378311205,349.28857117421626,468.07649945128003,595.3222740473192,730.6676568156951,874.0691793060287,1025.6550873227754,1185.6490466954788,1354.32980112846,1532.0101526941153,1719.0262947729007,1915.732663841402,2122.499709907677,2339.7131905555807,2567.7742432628634,2807.099840369275,3058.1234188324433,3321.295577304946,3597.084786385999,3885.9780859023795,4188.481757497422,4505.121967984631,4836.445382261197,5183.019745905984,5545.434437884608,5924.300993570807,6320.2535978416345,6733.949547455501,7166.069681347793,7617.31877691299,8088.42590979976,8580.144774232138,9093.253960386262,9628.557184897638,10186.883470146979,10769.087267572408,11376.048519881446,12008.672656688168,12667.890517779892,13354.658197925499,14069.956806876402,14814.792137984177,15590.194238669697,16397.216875831404,17236.936889179855,18110.453425436957,19018.88704634687,19963.37870351709,20945.088573248773,21965.37293342658,23025.90387554253,24128.731029066756,25276.31495741084,26471.54845795607,27717.77455096479,29018.80585888039,30378.94787389712,31803.027449912992,33296.427265133985,34865.126721673194,36515.74963321481,38255.619020958606,40092.81934729493,42036.26654120547,44095.786194893764,46282.20032862205,48607.42312369785,51084.566006508496,53728.05242404386,56553.74257772215,59579.06827121882,62823.17787246563,66307.09118259535,70053.86373764895,74088.75973475221,78439.4323663173,83136.109858201,88211.78493765181,93701.35925418581,99641.01790355552,106067.8557482771,113019.60235118936,120534.36856745798,128650.37824290078,137405.66883348415,146837.75542587618,156983.2585963428,167877.50018980348,179554.0735582945,192044.39657476195,205377.25704071464,219578.36100133864,234669.89497659146,250670.11320172428,267592.96064036764,285447.74179783714,304238.84425129544,323965.52437604446,344621.7610495293,366196.18123492016,388672.0593695255,412027.39049600885,436235.0351584048,461262.9323133739,487074.37494077574,513628.34172262915,540879.8771263703,568780.5114919662,597278.7122833501,626320.3575105679,655849.2224372576,685807.4710280079,716136.1441257565,746775.637041765,777666.1600501467,808748.176166832,839962.8115231921,871252.2345849082,902560.0013890513,933831.3648534461,965013.5470338123,996055.9739521997,1026910.473285578,1057531.435780786,1087875.941749556,1117903.8543960606
G,838340.0,838340.0,838436.6870230102,838589.9199497126,838778.2113601413,838990.1484078564,839219.7663003016,839464.0512509027,839721.5921908823,839991.8526474859,840274.7775691402,840570.5811014763,840879.6321370653,841202.3927016756,841539.384894807,841891.1732610933,842258.3554985902,842641.5576681454,843041.4318288413,843458.6549760938,843893.9286732591,844347.9790454799,844821.5569546003,845315.4382549945,845830.4240738146,846367.3410826214,846927.0417398941,847510.4044905436,848118.3339119762,848751.7607979592,849411.6421723142,850098.9612247335,850814.7271610334,851559.9749600423,852335.7650291463,853143.1827503333,853983.3379083968,854857.3639928211,855766.4173647659,856711.6762805232,857694.3397628344,858715.6263115495,859776.7724452829,860879.0310659863,862023.6696387284,863211.968179449,864445.2170440506,865724.7145129172,867051.7641658062,868427.672043058,869853.7435902132,871339.3244741614,872892.7186985207,874521.9217033719,876235.0648461905,878040.6988232059,879947.989400329,881966.8675497546,884108.1581579882,886383.7012545238,888806.4739217669,891390.7177797218,894152.0750932532,897107.7354927656,900276.5946673848,903679.4259731625,907339.0655742774,911280.6114278693,915531.6360848857,920122.4128764069,925086.1545614145,930459.2629064444,936281.586931845,942596.6866786483,949452.0983141005,956899.5951989344,964995.4381909099,973800.606974846,983381.0026232196,993807.6099570974,1005109.4066864973,1017322.1018996093,1030483.8594201261,1044632.2956104027,1059802.5970838976,1076026.1849576565,1093329.659209798,1111733.9062399361,1131253.3255218815,1151895.1661563537,1173658.979968574,1196536.2037033448,1220509.883388459,1245554.5514148844,1271636.2626358536,1298712.7906469468,1326733.979966824,1355642.2445500072,1385373.1982882658,1415856.3991670602,1447016.1857221262,1478772.58248645,1511042.2502464394,1543739.4570841473,1576777.0472592677,1610067.3868291676,1643523.2673425297,1677058.7517891158,1710589.9500667118,1744035.714373856,1777318.2480134908,1810363.6239849045,1843102.2123640669,1875469.0177679253,1907403.9301337053,1938851.893608759,1969762.9995468445,2000092.5104634785,2029800.822346654,2058853.3729865719,2087220.5040192294,2114877.2842147215,2141803.301221795,2167982.4285429004,2193402.57399256,2218055.415316111,2241936.1280413056,2265043.1100230585,2287377.706538901
H,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2322002.7437666366,2241978.117708136,2161953.491649635,2081928.8655911342,2001904.2395326332,1921879.6134741323,1841854.9874156313,1761830.3613571303,1681805.7352986294,1601781.1092401284,1521756.4831816275,1441731.8571231265,1361707.2310646256,1281682.6050061246,1201657.9789476236,1121633.3528891227,1041608.7268306217,961584.1007721208,881559.4747136198,801534.8486551188,721510.2225966179,641485.5965381169,561460.970479616,481436.34442111506,401411.71836261416,321387.09230411326,241362.46624561236,161337.84018711146,81313.21412861056,1288.5880701096612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
