series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
S,50966.12842363055,50955.332092212244,50945.96614545505,50937.57099867658,50929.83814784837,50922.56039189324,50915.598517786384,50908.85897135485,50902.27887607127,50895.81597461135,50889.441872079646,50883.137495377756,50876.89004092159,50870.690922336056,50864.53439021472,50858.41660367346,50852.335005684836,50846.28790270914,50840.27418174192,50834.29311980859,50828.344255664335,50822.42730335887,50816.542093983146,50810.688536391914,50804.866590707454,50799.076250435086,50793.317530383756,50787.59045850184,50781.89507035531,50776.23140539058,50770.599504404054,50764.999407828596,50759.431154573795,50753.89478124249,50748.39032160355,50742.91780623957,50737.47726231462,50732.06871342449,50726.69217950423,50721.34767677552,50716.035217722034,50710.75481108469,50705.506461871126,50700.29017137549,50695.10593720582,50689.95375331707,50684.833610048394,50679.7454941637,60877.52825968532,71074.30740698562,81270.09543958752,91464.86490478269,101658.54355825383,111851.01194643971,122042.10110260882,132231.5888442746,142419.19368235237,152604.56563135504,162787.27328986308,172966.78648566152,183142.45358320506,193313.47225018422,193276.01320647378,193233.93594113813,193186.3129289351,193132.23069338227,193070.72777774793,193000.75559612742,192921.15081204646,192830.6132916963,192727.6865505504,192610.73916145464,192477.94645499295,192327.27235496973,192156.45153112023,191962.97231169473,191744.0610291598,191496.6686963314,191217.46113567107,190902.81390814827,190548.81359778479,190151.2671830743,189705.7213382473,189207.49352028625,188651.71657172844,188033.39826458693,187347.49669356862,186589.01167845054,185753.09136160105,184835.15202581108,183831.00788685016,182737.0063493074,181550.16309715633,180268.29057736922,178890.1130679245,177415.36170248387,175844.84359074477,174180.48048646626,172425.31419845496,170583.47793729865,168660.13483438484,166661.38675349325,164594.15806567253,162466.06015712253,160285.24303452735,158060.24049260147,155799.8149751222,153512.80758741172,151207.99781418132,148893.97647010905,146579.03435727872,144271.06810013458,141977.5037295097,139705.2378260419,137460.5954250326,135249.30343018562,133076.4779728892,130946.62397030398,128863.64505946182,126830.86209473136,124851.03847186809,122926.41066471855,121058.7225141963,119249.26197979793,117498.89924079328,115808.12520895217,114177.08968117279,112605.6385144989,111093.34934520068
E,0.0,10.796331418305012,18.002473953421756,22.796228949268283,25.968698141863666,28.05142055129759,29.40161285675788,30.259371751072003,30.786084979840187,31.09023549516412,31.24474182459882,31.298613359887764,31.28478565818518,31.225388315178126,31.1352869361046,31.024464742167652,30.89962395621494,30.765262534846695,30.624398083965726,30.479054508090215,30.330589100219793,30.179912332570506,30.027635496336657,29.874169830208753,29.71979303712037,29.564693882542976,29.4090020658188,29.25280820052397,29.09617715542714,28.939156941861178,28.781784616493677,28.624090186371888,28.46609917891026,28.307834321504636,28.14931662892914,27.990566098208312,27.831602144520694,27.67244386729329,27.513110205865186,27.353620024141797,27.19399215030445,27.034245388715814,26.874398515211702,26.714470263014018,26.554479303879443,26.394444227371093,26.234383520009246,26.074315545322598,25.914258525350235,26.789839105702786,28.481374641674385,30.85308619465635,33.841148988094034,37.44171562476874,41.70122154891745,46.71002855726204,52.59972818293586,59.544083498213055,67.76351223532703,77.53310839305203,89.19439679387833,103.17127704311167,119.99092472903406,138.06402644657317,158.06735417692104,180.5282430244347,205.9165150468784,234.69513365399638,267.3491970756044,304.403557059519,346.434419570438,394.07766329771493,448.03520177141473,509.0799376215659,578.0594085106502,655.8979438242357,743.5969567987286,842.2328477774897,952.951873756849,1076.9612447124405,1215.515645422025,1369.8983667199175,1541.3962815954483,1731.2680415683794,1940.7051195860734,2170.7857051642018,2422.4219734995963,2696.301894229541,2992.827486193689,3312.0522040102105,3653.620875731594,4016.716192677074,4400.016069240872,4801.666139813919,5219.271173298447,5649.908248477917,6090.163197980881,6536.190213963011,6983.792786722652,7428.522515812778,7865.790981722196,8290.988945072515,8699.606736752214,9087.349831019812,9450.244200777095,9784.727034325108,10087.719610762702,10356.680445224492,10589.63809706119,10785.204182015736,10942.568074454317,11061.475491899795,11142.193614651434,11185.465623831498,11192.457572644274,11164.700377151074,11104.02946623703,11012.52430578567,10892.449645021074,10746.199953142263,10576.248144814661,10385.099350464021,10175.250182543241,9949.153688035249,9709.189962527566,9457.642231399483,9196.678076061984,8928.335393496285,8654.512620520652
I,27.912786736150217,23.484822336421495,20.446303767023227,18.348357620638698,16.888265921897084,15.861673456619773,15.13046694023561,14.60117387370892,14.21042812059029,13.91518540638278,13.686133007774286,13.503248335615321,13.352803756592037,13.225345147829835,13.114326340177323,13.015185576940752,12.924720030121435,12.840661443112722,12.76138760827057,12.68572568000635,12.612817656835135,12.542028016774987,12.47287999120941,12.405011342883062,12.33814346701956,12.272059626824626,12.206589479578563,12.141597958272047,12.076977188439715,12.012640536209625,11.948518166082625,11.884553679022751,11.82070153235972,11.756925032525313,11.693194753093803,11.629487272972947,11.56578415898035,11.502071137557781,11.43833741481379,11.374575114337318,11.310778809581036,11.24694513295222,11.183072447673393,11.119160571397956,11.055210542773848,10.99122442383895,10.927205132444616,10.863156299936078,10.799082150140425,10.73498739637429,10.736776960363324,10.845921628481136,11.08867329739295,11.48305795675867,12.04399720592458,12.787000414046066,13.730866683668236,14.89978659024749,16.3251704413326,18.047471787009542,20.11823210255689,22.602549099685888,25.582168051706724,29.159412748924026,33.31924057514542,38.09206084655438,43.537015262335714,49.733760143944416,56.77877564120746,64.78410539736376,73.87741729457498,84.20279276067188,95.92192020271543,109.21550396561054,124.28476503839474,141.35293569981886,160.66665429840623,182.4971573598302,207.1411491595284,234.92120687929372,266.1855549161414,301.30701732494975,340.6809357493389,384.72182527474195,433.85853699408386,488.52770897108036,549.165322282818,616.196241103732,690.0217091704218,771.0049006635652,859.4547788997897,955.6086936103819,1059.6143338525044,1171.5118304714947,1291.2169476235802,1418.506394395246,1553.006304924207,1694.1848650557563,1841.3499016162777,1993.652004553311,2150.093441528567,2309.542777168954,2470.7547582915745,2632.394705515195,2793.0663898580046,2951.3421912781173,3105.794245653382,3255.0252880837033,3397.697985183012,3532.5617019348965,3658.4758503848557,3774.42919727879,3879.554746071265,3973.1400385415895,4054.6329292847204,4123.643063373106,4179.939428255741,4223.444453705813,4254.225199415009,4272.48220182592,4278.5365545416535,4272.815775447047,4255.838974032751,4228.201779665158,4190.561430562023,4143.622358247987,4088.1225367828565,4024.82080284212,3954.4852938361055
A,59.83837521002574,52.72525212982184,47.930473701582955,44.68869408696016,42.486216707625275,40.97832814076957,39.93380221914887,39.19762919956122,38.66597871192838,38.26937879698782,37.961414587524736,37.711135905535585,37.49795735257594,37.3082334978298,37.132959803145944,36.9662300255962,36.804201881141466,36.64440411671879,36.48527283565169,36.32584169472284,36.1655353149414,36.004031870309035,35.84117199392814,35.67689865306297,35.51121769409742,35.34417215154704,35.175825694934886,35.00625211830036,34.835528804753864,34.66373278783387,34.49093849343854,34.31721655541093,34.14263330462864,33.96725066941379,33.791126316907565,33.61431392597759,33.43686352247576,33.258821834107415,33.08023263941595,32.901137096517814,32.72157404430828,32.54158027327912,32.36119076576778,32.180438907005204,31.999356669154324,31.81797477089979,31.63632281523928,31.454429408051023,31.272322259845666,31.090028272899183,31.0488471257381,31.243313671582882,31.73820278123982,32.581882673646,33.81644708181452,35.48532049586259,37.63909222722155,40.34028910303626,43.66770929647726,47.72085255394129,52.62491806605735,58.536811739329366,65.65261437984597,74.21701337379383,84.22880189443951,95.77923905391872,109.02067269697923,124.15143194922692,141.4094256893481,161.0704571564011,183.44914237465375,208.90130192333316,237.82720316828426,270.6752849762057,307.94611550356916,350.19637687749173,398.0426704155386,452.164909361316,513.3090222886342,582.288635270238,659.9853394803904,747.3470883488285,845.3842112511418,955.1624874019421,1077.7927045489348,1214.4161444791603,1366.1855044585996,1534.2408932503104,1719.6807423278667,1923.5277519044805,2146.6903435661316,2389.920501656762,2653.7693265140374,2938.542054391052,3244.2546724036747,3570.594519560298,3916.8873685667077,4282.073392228606,4664.694117946933,5062.891974278533,5474.423370808125,5896.685484265956,6326.756121188598,6761.445265147391,7197.356262453794,7630.954106719261,8058.637981485786,8476.815120915206,8881.973140348382,9270.74824432563,9639.987101633535,9986.80064242482,10308.608538942011,10603.173640477222,10868.626113235583,11103.477463031762,11306.624977694317,11477.347408685342,11615.292916189683,11720.460432263664,11793.1756596602,11834.062929068004,11844.014095276008,11824.155573990942,11775.814516026008,11700.484993731894,11599.794944016103,11475.474479880406,11329.326053494924
IH,0.0,1.1195851019590797,1.571624488533832,1.7039724299553551,1.6942549727941294,1.6302255071811036,1.5530391143492526,1.4803013372665657,1.4181641972889245,1.36754591810665,1.3272363904260343,1.295379321908086,1.2701276404825972,1.249891950889587,1.2333991842078498,1.2196708092348327,1.2079735353970906,1.1977665002422877,1.1886545470940089,1.1803503761170508,1.172645369249969,1.1653877868539726,1.1584668009308854,1.1518009594721175,1.1453299251527,1.1390085898823026,1.1328028919001354,1.1266868426829437,1.1206404089433837,1.1146479972664067,1.1086973631476689,1.1027788192676282,1.096884655384757,1.091008708600196,1.0851460411665164,1.0792926958374103,1.0734455076670402,1.067601957358547,1.0617600555658075,1.0559182505525184,1.0500753537110517,1.0442304789187098,1.0383829927527655,1.0325324733300976,1.0266786760731288,1.0208215050937088,1.0149609891737004,1.0090972615351432,1.003230542754706,0.9973611263011041,0.9914893662704304,0.9882589158307089,0.9908199420445232,1.0019970398417566,1.024101762953619,1.05903261746194,1.1084793903268024,1.1741464381591973,1.2579625640248033,1.3622723821375522,1.4900170810206976,1.6449180956952065,1.8316794076729368,2.056225310236222,2.3259917967714516,2.6445574483726375,3.015154551111962,3.4419730967622835,3.9305645268591185,4.487920756905707,5.122468066761949,5.844066101158324,6.664038966777866,7.595240589760074,8.652147985722081,9.85097390756223,11.209790148075076,12.74865282912804,14.489720678839461,16.457356428359077,18.67820008746992,21.181201101693087,23.997594419535027,27.160803520869088,30.706251746766647,34.67106216287974,39.093626082431,44.01302171894639,49.46826769284246,55.49740169136451,62.1363827586371,69.41782652278684,77.36959587280646,86.01328449587504,95.36264615878196,105.4220371586152,116.18495121705897,127.63273345318994,139.73356138657743,152.44177516720117,165.69762613160634,179.42749295828764,193.54458961156632,207.95016108213855,222.53513421218395,237.1821642395309,251.7679954199853,266.1660379310784,280.24905423018487,293.89184636208836,306.9738409005606,319.38147921721475,331.0103361808676,341.766908615892,351.57003431565045,360.351921699601,368.05878815326116,374.65112083179747,380.1035866820601,384.4046283730962,387.55578969591807,389.57081796755836,390.4745923590141,390.30192625525785,389.09628918341934,386.908489952684,383.7953578537337,379.81845344201236,375.0428348996902
IN,3.3083792977696445,6.578326931515841,9.285462282935335,11.601008115723726,13.64099520884336,15.484226649801945,17.18436879226774,18.778094619265893,20.290572221125068,21.73916681578436,23.135940051086347,24.489339153598422,25.805340033961976,27.0882221081463,28.341094525028012,29.566254427662795,30.765431589562358,31.939956073336173,33.090873644536494,34.21902564751385,35.32510464096751,36.40969344338907,37.473292777368094,38.516341039591154,39.539228599744575,40.54230827100654,41.525903079259464,42.4903121079977,43.435814957527505,44.362675194304835,45.2711430547457,46.16145759111098,47.033848393991356,47.88853698897552,48.72573797918193,49.54565998701573,50.348506435429144,51.134476199515596,51.90376415236166,52.65656162396575,53.39305678819232,54.11343498980649,54.817879021377,55.50656935806956,56.17968435695415,56.83740042632888,57.47989216965573,58.10733250796214,58.71989278395224,59.317742850565615,59.90105114630015,60.477795572209345,61.06077670345617,61.665757939137514,62.310456104334456,63.014150808543405,63.79773595740834,64.68409091787538,65.69869648162152,66.87046036865121,68.23274927409832,69.8246512734973,71.69251612139743,73.89184405827118,76.48961859494446,79.55026219596058,83.14105324662371,87.33549839972473,92.21569173265306,97.87420904595294,104.41583077489675,111.95925208681766,120.63886666620236,130.60667123091886,142.03431492234276,155.11530276090667,170.06735065902834,187.13487839423803,206.59161491799793,228.74327646664977,253.9302615836079,282.530288084755,314.9608752292828,351.6815502780331,393.1956330524753,440.0514264037022,492.84261662400013,552.2076683820836,618.8279869194066,693.4246196064644,776.7532832252098,869.5975358589144,972.7599654328424,1087.0513415712069,1213.2777721550976,1352.2260168412167,1504.6472302367065,1671.2395285204107,1852.6298846484747,2049.3559481408533,2261.848446111054,2490.4148453409825,2735.2249368999283,2996.298945127145,3273.498665775943,3566.522011191175,3874.901193411033,4198.00462008869,4535.042424110404,4885.075405605999,5247.0270426419675,5619.698129810146,6001.78353521687,6391.89052671388,6788.558106248303,7190.276804040777,7595.508417965976,8002.705233468772,8410.328320905826,8816.864575841275,9220.842239458785,9620.84470737935,10015.522502961787,10403.603353464283,10783.900362771019,11155.318321842771,11516.858237251592,11867.620189144283,12206.804653111598
D,391.0,391.0,391.0195624910767,391.0470234585182,391.0767969392457,391.10640062701265,391.13488552903704,391.1620217545576,391.1878870341602,391.2126665925933,391.23656169871174,391.25975247715184,391.28238661758604,391.30457953582845,391.3264188762174,391.3479700387801,391.3692813256849,391.3903882263267,391.4113167796202,391.43208611991435,391.45271036157294,391.47319997378014,391.49356277437596,391.51380464470475,391.53393004290126,391.5539423728273,391.57384425017176,391.593637695463,391.61332427513224,391.6329052055696,391.6523814307016,391.6717536805068,391.6910225156974,391.71018836226466,391.7292515385156,391.74821227648016,391.7670707390432,391.7858270337888,391.8044812242811,391.8230333393247,391.84148338061055,391.8598313290612,391.8780771501159,391.89622079814626,391.9142622201521,391.93220135886,391.95003815532095,391.9677725510888,391.98540449004525,392.0029339199262,392.02036079359516,392.03768507010295,392.0549529010062,392.07226548067604,392.089773357582,392.1076674699316,392.12617192849643,392.1455403696663,392.1660562100245,392.1880365680969,392.2118395298128,392.2378745724376,392.26661619780634,392.29862110034145,392.3345494895392,392.37519150387936,392.4213998103271,392.4740835535261,392.53422508977366,392.60290377560875,392.6813211371888,392.770825932913,392.8729391985822,392.98937983591674,393.1220913430658,393.2732701748213,393.4453960711255,393.6412645400429,393.8640215299077,394.1172001681262,394.40475927168393,394.7311231379954,395.1012218976348,395.5205314488901,395.9951116979336,396.53164150236216,397.13744837045505,397.8205306212419,398.5895693866999,399.45392757048427,400.42363270809994,401.5093406468066,402.7222771261686,404.07415473352665,405.5770633623432,407.2433332254094,409.08537065301977,411.11546829138075,413.3455928302878,415.7871549258874,418.45076742055835,421.34599916931865,424.48113264311206,427.8629339019854,431.4964434614201,435.3847960035019,439.5290758473215,443.92821366648815,448.57892823283765,453.47571509882954,458.6108822352222,463.97463083538804,469.5551778847542,475.33891575024114,481.31060301940266,487.45358013396293,493.75000301453474,500.1810878390403,506.7273603781491,513.3689037585323,520.0855991658174,526.8573547602656,533.6643189087704,540.4870746915487,547.3068134824896,554.1054861977759,560.8659315350326,567.5719811690956,574.2085424213186
R,0.0,7.1515547442273455,13.965918734869234,20.431681536852757,26.59458913385672,32.515298048578764,38.251271636318634,43.85040098421484,49.34997353828975,54.77781123812211,60.154065234728016,65.49300094304115,70.804522893514,76.09538198273069,81.37008899488451,86.6315855806434,91.88172687152968,97.12162327076685,102.35187963342628,107.57276103952697,112.784306766367,117.98640809194224,123.1788610571963,128.36140201265596,133.53373140100408,138.6955295447798,143.84646702907904,148.98621144941293,154.11443172895702,159.23080082087043,164.3349973458314,169.4267065342083,174.50562071973246,179.5714395487236,184.62387001315452,189.6626263784294,194.6874300517569,199.69800942038208,204.69409967795787,209.67544265013345,214.64178662575523,219.59288619707573,224.52850211047573,229.4484011280455,234.35235589968835,239.24014484503348,244.11155204426407,248.96636713690546,253.8043852276304,258.6254067981908,263.4292376246599,268.2324822010974,273.0641859601274,277.9625664631862,282.97296073791955,288.1468865610975,293.54204526691115,299.2231045076668,305.2631464785538,311.74572664656876,318.76754909904,326.44182393408056,334.9024305808432,344.3090717658343,354.85367047924206,366.73190848670583,380.1525675799171,395.34467901749764,412.563464140183,432.0957110540463,454.2650061731715,479.4370923848405,508.02553097516585,540.4977827523876,577.3817815181077,619.273041002528,666.8423083913822,720.8437493486404,782.1236179392877,851.6293278687465,930.4187973960303,1019.6698881497025,1120.6896975524387,1234.9233961629966,1363.9622265874086,1509.5502026718011,1673.588971055588,1858.1402281857181,2065.4250326501397,2297.8193246844735,2557.844972202502,2848.1557156619965,3171.5174907465607,3530.78277309584,3928.858813015702,4368.669903799565,4853.114141618795,5385.015467963535,5967.072112335986,6601.802845764937,7291.492687835207,8038.139858472899,8843.405814882653,9708.570157025984,10634.492024876396,11621.57935958401,12669.76707823977,13778.504842620807,14946.754712594842,16172.998590489955,17455.255006412997,18791.10448434145,20177.72247748525,21611.91867596995,23090.181372161638,24608.72551632627,26163.543101732128,27750.454575321775,29365.160067888562,31003.289366006076,32660.44969673706,34332.27055613738,36014.44497566431,37702.766780041806,39393.16354059637,41081.725065617415,42764.7273912681,44438.65234146908,46100.202812457224
G,33351.0,33351.0,33351.687012608214,33352.832580126094,33354.283192940864,33355.93568232371,33357.720703443425,33359.591642557076,33361.517164209225,33363.4762026751,33365.4545954226,33367.44282000948,33369.43447265192,33371.425245383856,33373.41223843157,33375.39349797768,33377.36770547606,33379.33396886911,33381.29168232173,33383.24043202082,33385.17993294222,33387.109986431606,33389.03045177154,33390.941227143434,33392.842236897406,33394.7334230549,33396.61473964925,33398.48614896705,33400.347619060994,33402.19912211163,33404.040633354656,33405.87213038382,33407.693592702344,33409.50500143786,33411.30633916423,33413.09758979256,33414.878738506464,33416.649771725,33418.41067708261,33420.16144341891,33421.9020607739,33423.6325203857,33425.35281468902,33427.06293731334,33428.762883080235,33430.4526479994,33432.13222926349,33433.801625241504,33435.46083547099,33437.109860649056,33438.81460242889,33440.62698320158,33442.59028521565,33444.74372930055,33447.12629146086,33449.77990256931,33452.7522435716,33456.09936909511,33459.8883909881,33464.200447137446,33469.13418073235,33474.80996751634,33481.37515761547,33489.010647391246,33497.79619900455,33507.85464025273,33519.34235531922,33532.44562499444,33547.38019023332,33564.39266068009,33583.76304433941,33605.80801544518,33630.88471166838,33659.3949361711,33691.78967491938,33728.573846000996,33770.31118618178,33817.62915605122,33871.223711744075,33931.863750191216,34000.39498779504,34077.742981436015,34164.9149487874,34262.99999626177,34373.16732316899,34496.661946882065,34634.79749417126,34788.945637066565,34960.52182578488,35150.96709256733,35361.7258711805,35594.21999441696,35849.81928653541,36129.80944233932,36435.35815612773,36767.48070431807,37127.00636646913,37514.54716537538,37930.47040010285,38374.876329464394,38847.58214323069,39348.11305217198,39875.70096320884,40429.29081545596,41007.55427063259,41608.91010763914,42231.55038979432,42873.4712694176,43532.50717425011,44206.36708158785,44892.67162043027,45588.98983651124,46292.87459458044,47001.895761110376,47713.67049408226,48425.8901519832,49136.34351145056,49842.936144608684,50543.70594809335,51236.83493335224,51920.65748123203,52593.6653337689,53254.50964420279,53902.00043494566,54535.10382534093,55152.937389482184,55754.76399198459,56339.98442910888,56908.129176436116
H,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,142839.74419106756,132636.90532027703,122434.06644948649,112231.22757869595,102028.38870790541,91825.54983711487,81622.71096632433,71419.87209553379,61217.03322474325,51014.19435395271,40811.35548316217,30608.516612371634,20405.677741581094,10202.838870790554,1.4551915228366852e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
