series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
S,52552.29980886433,52530.79235556639,52510.31531866995,52490.625712803405,52471.544359350286,52452.93898009827,52434.71180196014,52416.79045911529,52399.12130940606,52381.664520600876,52364.39045540993,52347.27701029426,52330.30765518763,52313.46998858299,52296.75467174283,52280.15464193959,52263.66453115376,52247.280236128914,52230.998599986684,52214.817176116005,52198.7340527788,52182.747722557,52166.85698494625,52151.060873477334,52135.35860101031,52119.74951851303,52104.233083862935,52088.80883811516,52073.476387346374,52058.235388674686,52043.08553941852,52028.02656862439,52013.05823039113,51998.180298563915,51983.392562479276,51968.694823522266,51954.08689231614,51939.56858640886,51925.13972835348,51910.800144103836,51896.54966166517,51882.388109953055,51868.31531782418,51854.33111325034,51840.43532261296,51826.627770099825,51812.90827718931,51799.276662209966,51785.7327399655,51772.27632141669,51758.907213413346,51745.625218470086,51732.430134580965,51719.32175506841,79794.79934190077,107862.9064600583,135923.72360925583,163977.17551210444,192022.9449177316,220060.41800073808,248088.64353132862,276106.29286583356,304111.6108785483,332102.3499978423,360075.6805635508,388028.07082750864,415955.12914280145,443851.399293268,443683.9193844685,443424.7796685752,443130.3945408882,442794.79146898654,442411.66920292855,441974.1961365167,441474.86652414175,440905.3925973328,440256.6214698425,439518.47239702893,438679.8942203536,437728.8456613557,436652.3030488579,435436.3013025812,434066.0146135352,432525.88320707594,430799.79174466577,428871.3032059473,426723.94942920626,424341.5759060524,421708.7340941767,418811.1097632432,415635.97121406737,412172.6172118255,408412.80177457037,404351.1120899739,399985.27711582975,395316.3878744156,390349.01577082975,385091.22186009225,379554.4570884413,373753.3603358571,367705.46688752767,361430.8442667513,354951.6749313312,348291.8061787694,341476.28692929953,334530.9091923342,327481.7693548526,320354.8613330421,313175.7104226816,305969.0536176263,298758.5694097325,291566.65773686505,284414.2688491215,277320.7784144253,270303.9051511921,263379.6666084597,256562.36835521788,249864.6217317528,243297.38540065783,236870.02616331325,230590.3948354874,224464.91336682095,218498.6698138442,212695.5182117448,207058.18081887683,201588.35061731134,196286.79233390678,191153.44059399414,186187.49413096523
E,0.0,21.50745329793942,37.198703027955105,48.610942295456006,56.87550491041322,62.825082579908525,67.07257331500472,70.06908725783309,72.14663093560475,73.54952364954559,74.4575244114538,75.00285893607413,75.2827569150296,75.36868416187504,75.313141318397,75.15467069893727,74.92154356602224,74.63447556522637,74.308626368077,73.95507208487706,73.58188932332291,73.1949531836182,72.7985245389941,72.39568210821126,71.98864021159011,71.57898233638848,71.16783270648287,70.75598220842426,70.34398072106319,69.93220472405957,69.5209067234191,69.11025131001759,68.70034139803711,68.29123725511018,67.8829702469034,67.47555271114237,67.06898500198997,66.66326047009355,66.25836894060842,65.85429910199689,65.45104010832135,65.04858261672734,64.64691942220098,64.24604580785216,63.84595969676492,63.446661667807774,63.0481548804531,62.65044494095247,62.25353973292674,61.857449228653785,61.46218529240642,61.06776148361777,60.674192865070104,60.28149581945013,59.88968787629307,66.95553277617547,79.73907169614152,97.04329440072654,118.179519998254,142.90888575176385,171.38308448635232,204.09746857620064,241.86364780257702,285.8050804016459,337.3773238988248,398.4141366341451,471.2011321684256,558.5799040359166,664.0872688297208,775.4558709364036,897.2884093490892,1033.229006360899,1186.4396203920537,1359.9089746790148,1556.6348883098008,1779.7301356869934,2032.4799618600534,2318.3664453871797,2641.067254914392,3004.431832962207,3412.435446007047,3869.110202820232,4378.451725666057,4944.300506134128,5570.198022687033,6259.219394273763,7013.786613072223,7835.469082018647,8724.781018173151,9680.987904269825,10701.936134920132,11783.920855504804,12921.606353933874,14108.011038415378,15334.565074175007,16591.24350113108,17866.77170656763,19148.894227754306,20424.692767053726,21680.935641839067,22904.439046707615,24082.42056705319,25202.827166149225,26254.62298053033,27228.0261979937,28114.688542658303,28907.814999496968,29602.225034797568,30194.35949525129,30682.239503771056,31065.38502027448,31344.701376043464,31522.342137971762,31601.55624856292,31586.52665289804,31482.206686481815,31294.159460474977,31028.40442452622,30691.274272410552,30289.284423214347,29829.016486134045,29317.016412526616,28759.707457389653,28163.3176096945,27533.82079800735,26876.890922853483,26197.867597170323,25501.732377498378,24793.094228247614
I,55.4587422529094,49.980615327428175,45.52259640500693,41.85438956849255,38.802681622752544,36.236474637396064,34.05625512586737,32.185989089680504,30.567199613257134,29.154580075267738,27.912740346811304,26.813789449398335,25.835536198180456,24.960146797388827,24.17314064323969,23.462636732183004,22.81878601397035,22.23334193441205,21.699333874034075,21.2108173775111,20.762681846790688,20.350501372793687,19.970418073679344,19.61905003595447,19.29341797159636,18.990886196536795,18.709114640876074,18.44601942043906,18.199740107479315,17.968612290582055,17.751144350749296,17.54599763225074,17.351969375217333,17.16797791847615,16.993049787841557,16.82630836590688,16.66696390091817,16.51430465943927,16.36768906385206,16.226538683960236,16.09033197407176,15.95859866440666,15.830914729618282,15.706897868452565,15.586203437720501,15.46852079128821,15.353569981047881,15.241098782087272,15.130880008727884,15.022709091907755,14.9164018916638,14.811792721313855,14.708732562423263,14.607087451822435,14.506737023866844,14.407573192836155,14.475566328244584,14.821542307365245,15.518721477486562,16.617754150402316,18.158967825998452,20.18208483160322,22.733935658534584,25.874800120986198,29.684023954552675,34.26553161745343,39.753821261865035,46.3210078708938,54.18548962274724,63.62285925416759,74.60828358202077,87.22188799993073,101.6170406064706,118.00237925170549,136.63249399966833,157.8035906127828,181.85193996089637,209.15376150527032,240.1256608712313,275.22499650616174,314.9496797144765,359.83697110532364,410.46085965142026,467.42762213717754,531.36917894201,602.9339017576328,682.7746023736881,771.5335484638027,869.8245173082647,978.2121102410534,1097.188799912468,1227.1504508787532,1368.3713149011796,1520.9797232341443,1684.9358454341693,1860.0129287320206,2045.7833551814938,2241.610652093132,2446.6482781027016,2659.845611587313,2879.961130069716,3105.582333365094,3335.15157176603,3566.996627481034,3799.3646847081186,4030.4582196507645,4258.47134264309,4481.62521681337,4698.201341574001,4906.571702068844,5105.22502508453,5292.788627731261,5468.045580979666,5629.947123693478,5777.6204461156185,5910.372110614113,6027.687490765492,6129.226688832071,6214.817439342377,6284.445526824826,6338.24324330962,6376.476390653134,6399.530298521149,6407.89528507982,6402.151937675146,6382.956538068294,6351.026903609072,6307.128864009832,6252.063544572901
A,498.6556300091709,478.6662809304355,463.7850343840385,452.6424480452992,444.23179379735933,437.81324574770906,432.84337891552195,428.92328321397747,425.7603728448612,423.14027400774444,420.906130565039,418.94337036641616,417.16849183933624,415.5208106353731,413.95638583245034,412.4435510338078,410.9596272143108,409.4885057025298,408.01887180985307,406.54290009025897,405.0552967485686,403.55259751451035,402.0326534585539,400.49425502065486,398.9368576315233,397.36038196241583,395.7650689529426,394.1513750065887,392.5198966037743,390.87131642562974,389.2063651758694,387.52579483040125,385.83036017987115,384.12080636626587,382.3978607298565,380.66222773527886,378.9145860782517,377.1555873188913,375.3858555670502,373.60598787673297,371.8165551030508,370.0181030456778,368.21115375422295,366.39620690838257,364.5737412129102,362.74421576707493,360.9080713823886,359.0657318324554,357.21760502592167,355.36408409848207,353.50554842332224,351.6423645416755,349.77488701666095,347.90345921448517,346.02841401759343,344.15007447457975,343.7619441726277,345.94923611447933,351.51396339803705,361.0880830562263,375.23038767695147,394.50764583123214,419.5630990880517,451.1767260322122,490.3222076310151,538.2256642257877,596.4312696496272,666.87898416931,752.0000220414158,854.8363751000998,975.8515930515391,1116.4123195242223,1278.560138242668,1464.8879652553724,1678.4832581617309,1922.9100130975798,2202.212681422774,2520.931446666963,2884.121767662851,3297.372889272903,3766.8208419643483,4299.151718950288,4901.591008601075,5581.874665682688,6348.197584125892,7209.135323332134,8173.535461608703,9250.375905306315,10448.58893611221,11776.851742329061,13243.34658954923,14855.496492430528,16619.68501761386,18540.971377455993,20622.8139364972,22866.816343153318,25272.51049449044,27837.18934643457,30555.800252910718,33420.90626216567,36422.718940831954,39549.20222381277,42786.24289117165,46117.87988958557,49526.58209122826,52993.56235235226,56499.11492368657,60022.9633097,63544.606442615885,67043.65236104971,70500.13028166149,73894.77385300695,77209.27033360107,80426.47232030705,83530.57037954454,86507.22644387839,89343.66909838805,92028.75288474005,94552.98450265832,96908.51930687402,99089.13180851807,101090.16402320143,102908.45549490745,104542.25869579021,105991.1432854496,107255.89243472558,108338.39410063221,109241.52979933022,109969.06307817047
IH,0.0,3.2597772353648478,4.58953808092673,5.001303756427251,4.994337479375987,4.811433037482482,4.5679162298001605,4.316374361338314,4.078984702713154,3.863547482422265,3.6713520901160406,3.5009716944999494,3.350043920536179,3.21606737018221,3.0967263217166643,2.989996232495044,2.894152903149382,2.8077437557754443,2.729548037530954,2.6585374607050136,2.5938415775916175,2.5347189321531185,2.48053367444899,2.4307368537781358,2.384851528680929,2.3424609110738253,2.3031988895913993,2.2667424069204163,2.2328052797893827,2.2011331437290798,2.1714992786547445,2.143701128588501,2.1175573726474495,2.0929054376935605,2.0695993682185128,2.047507988066618,2.0265133029926496,2.006509103961877,1.9873997393980958,1.9690990309260896,1.9515293120267787,1.9346205727913142,1.9183096968966136,1.9025397792320862,1.8872595144368849,1.8724226480719226,1.857987483335748,1.843916437201624,1.8301756406526228,1.8167345783583588,1.8035657636985518,1.7906444455159067,1.7779483433898813,1.7654574085762347,1.7531536080645345,1.7410207294746263,1.7290442047495418,1.7269721281911061,1.746258110956299,1.7970095702804776,1.8873251646162053,2.023678938905822,2.211686161701302,2.4569447589956934,2.7658343991082637,3.1462515304899767,3.6083058652946933,4.165025668393273,4.833129117699576,5.633924554114615,6.594407998431356,7.726798905743943,9.04199862055214,10.554545680113423,12.284070286445647,14.25548362936824,16.49881892454326,19.049059724829565,21.946046075577716,25.234452682559155,28.963799401049933,33.18844479710938,37.967512142123674,43.364697858839634,49.44791345073972,56.288713528092316,63.96146567609806,72.54222381990971,82.10727660081214,92.73135697242397,104.48551912394618,117.4347135737163,131.6351195876958,147.131323756716,163.95346158898838,182.1144618289722,201.60754741054978,222.40414963025944,244.45238162728174,267.676193529957,291.9752963510705,317.22589808951324,343.2822477702595,369.9789359622843,397.1338579989373,424.55171217382747,452.0278818644704,479.3525387696196,506.3148039071428,532.7068123775211,558.3275451505111,582.9863139445902,606.5058112755587,628.7246647873462,649.499461230098,668.7062295278746,686.2413933275453,702.0222206935167,715.9868120075928,728.0936767214031,738.3209556628327,746.6653485223621,753.1408064185584,757.7770475691823,760.6179505716676,761.7198750864509,761.1499542314798,758.9843970907257,755.3068337071363
IN,2.218349690116376,4.3256580789925305,6.108358352418753,7.623503354225535,8.916078264972905,10.021883967548936,10.969689385262704,11.782842850064029,12.480482614183428,13.078449872419124,13.589980610803199,14.026232672146234,14.396689745205988,14.709473157578248,14.97158436535802,15.189095136899363,15.36729807310213,15.510826887405804,15.623753486780537,15.709667130796356,15.771739637497992,15.81277963307146,15.83527811926741,15.841447093440584,15.83325255307607,15.812442914532053,15.780573648398574,15.739028762121915,15.689039630160941,15.631701572412807,15.567988505188158,15.498765929863252,15.42480247820854,15.346780197110157,15.265303726594714,15.180908501972203,15.094068092205639,15.00520077130757,14.914675406906595,14.822816739556885,14.729910117451725,14.636205743620403,14.541922486184509,14.447251296629613,14.35235827615892,14.257387425917017,14.162463113108506,14.06769228171192,13.973166433541317,13.878963402785757,13.785148944818072,13.691778157973804,13.598896755129129,13.506542200227573,13.41474472339766,13.323528226948422,13.232911093310518,13.149549599547633,13.084199872442449,13.050008445979033,13.061489806142896,13.134045004492641,13.283893073495529,13.528314408386192,13.886135612703553,14.378414738430344,15.029312737928072,15.867161093488615,16.92575773129762,18.245944721935405,19.87754346233115,21.866888171471132,24.2611987870023,27.111466338061028,30.4744749702756,34.414350055158735,39.003855346999956,44.32556318587414,50.47296146454459,57.5515226881419,65.67973418750911,74.99006876577756,85.62985861634554,97.76202065853383,111.56556794389908,127.23582969501985,144.9842926387537,165.0379698331126,187.63820171946563,213.03879933795747,241.50345306367348,273.30235294113226,308.70799901427426,347.99022118575954,391.41047605279005,439.2155395718221,491.63076501697026,548.8531207027482,611.0442566266197,678.323869609144,750.7636400840836,828.3819995635939,911.1399569480789,998.9381668809059,1091.615368106555,1188.948258800967,1290.6528137429705,1396.3869892386265,1505.7547093949233,1618.3109841968908,1733.5679773730883,1851.001820765594,1970.0599615483845,2090.168828216186,2210.7416094073137,2331.1859546906403,2450.9114267132336,2569.33655788801,2685.8953905522267,2800.0434058962305,2911.2627728241937,3019.066872378925,3123.0040757858847,3222.660774103459,3317.6636746492604,3407.6813937041143,3492.425386501367,3571.6502643117565,3645.1535547272997
D,391.0,391.0,391.03144749330716,391.0757233617674,391.12397158704516,391.1721526077457,391.2185691255993,391.26263640526054,391.30427702792844,391.34362752180476,391.38089966490617,391.4163176741583,391.45009200166044,391.48241030937385,391.51343612794875,391.543310647968,391.5721555289892,391.60007579699527,391.627162464762,391.65349476830426,391.67914202361214,391.704165149354,391.72861791127576,391.7525479409965,391.7759975743369,391.7990045460014,391.821602569886,391.8438218279628,391.8656893856282,391.88722954743145,391.90846416403485,391.92941289890274,391.9500934614155,391.97052181172774,391.99071234162966,392.01067803486,392.030430609684,392.0499806460611,392.0693376993385,392.0885104021003,392.10750655555654,392.12633321165833,392.14499674696214,392.163502929133,392.1818569768651,392.2000636139031,392.21812711776914,392.23605136373084,392.2538398644875,392.2714958059996,392.2890220798425,392.3064213124243,392.3236958913755,392.3408479893847,392.3578795857275,392.37479248571276,392.39158833824644,392.40826865169447,392.4249289755515,392.4417753537828,392.4591113379173,392.4773186082911,392.49684130119067,392.5181777241257,392.541880188523,392.56856255129645,392.59891484742093,392.6337246415743,392.6739051837935,392.72053100654375,392.7748822066154,392.83849931490903,392.91304074499135,393.00027007711196,393.1020911466729,393.2205971641781,393.35812166160724,393.51728790526226,393.7010566523118,393.9127730020036,394.1562130362595,394.4356305614609,394.7558037881184,395.12208129660104,395.5404261549205,396.01745658216066,396.56048109400086,397.17752563984953,397.8773498711841,398.66944940588803,399.56404082033026,400.57202615984835,401.70493405584483,402.9748351083793,404.39423005012935,405.9759103349246,407.7327921418674,409.67772627082513,411.82328791568193,414.18155171105326,416.7638586285902,419.5805821390913,422.6409014758826,425.9525897937515,429.52182452127477,433.3530262997176,437.4487316694816,441.8095032079022,446.4338792515086,451.3183637599692,456.45745539333694,461.8437135550372,467.467858053939,473.31889819064037,479.384286485714,485.65009193353126,492.10118756343314,498.7214471902631,505.49394650316384,512.4011640376418,519.425178064508,526.5478559763084,533.7510333270751,541.0166802590886,548.3270536101263,555.6648335204798,563.0132438393862,570.3561560579691,577.6781768662582
R,0.0,20.100390379975646,41.08153440292264,62.1985076314501,83.14380380431913,103.81327814046763,124.19234675932815,144.30185852308108,164.17327367192246,183.83800760644877,203.3234477174689,222.65197972957256,241.84126500894445,260.9049498017596,279.8534444645815,298.6946283946391,317.43443636321814,336.07732504526155,354.62663478879534,373.08486578805633,391.4538868803352,409.7350924740185,427.92952009404655,446.0379382861496,464.06091233540883,481.998853436543,499.85205554541216,517.6207230689055,535.304991742257,552.904944437995,570.420623200091,587.8520384621141,605.1991761599982,622.4620032662232,639.6404721362014,656.7345239570303,673.7440915143429,690.6691014379101,707.5094760458879,724.2651348774134,740.9359959808746,757.5219770085856,774.0229961562588,790.4389729764994,806.7698290887024,823.0154888026286,839.175879669103,855.2509329684066,871.2405841447575,887.1447731936305,902.9634450074096,918.6965496839011,934.344042801491,949.9058856641456,965.3820455189974,980.7724957488929,996.0772160419807,1011.3560492628923,1026.7173884432232,1042.307854379256,1058.3049472573923,1074.9132106979332,1092.3638101265822,1110.9172239100133,1130.8687694013047,1152.5568232687492,1176.3737861811444,1202.7800582037885,1232.3215247847215,1265.6513076314627,1303.5568212416883,1346.8596125161719,1396.4442414575879,1453.2847439818224,1518.468680763548,1593.2197142010511,1678.9196327604964,1777.130520375581,1889.6175137853756,2018.372353310248,2165.6377186113596,2333.932142198528,2526.0750997795903,2745.211680936037,2994.8360438096583,3278.8126566638525,3601.3941361102134,3967.2343206458654,4381.395087818164,4849.345355980532,5376.9507303227665,5970.452378465644,6636.433968102858,7381.775872649736,8213.59634215196,9139.17992261223,10165.894050141256,11301.095398801883,12552.028169101925,13925.717015480684,15428.85768157924,17067.708611005382,18847.986815167627,20774.771112776652,22852.41552792353,25084.47517750986,27473.64643382374,30021.722556210727,32729.565387103576,35597.09313692958,38623.283767109984,41806.19303986796,45142.98594922799,48629.97998359696,52262.69849490649,56035.932356193865,59943.80806932934,63979.860526157034,68137.1087176479,72408.13281489824,76785.15120177928,81260.0962117002,85824.68750158597,90470.50217753887,95189.04096293997,99971.7898665102,104810.27696188932,109696.12402948692,114621.09293452304
G,33351.0,33351.0,33351.478987281735,33352.307430584646,33353.39003310342,33354.656693693905,33356.05585588726,33357.54961291772,33359.11010458423,33360.71686472266,33362.35486834483,33364.01309383199,33365.68346433223,33367.360068372545,33369.03858607776,33370.715866801766,33372.38961826499,33374.05817781032,33375.720344133755,33377.375253548664,33379.022289041786,33380.66101347204,33382.29112054127,33383.9123988442,33385.52470554095,33387.12794710624,33388.722065280235,33390.30702684043,33391.882816177975,33393.4494299302,33395.00687311897,33396.5551563896,33398.094294053015,33399.62430271209,33401.14520031191,33402.657005496105,33404.159737183065,33405.65341429908,33407.13805562234,33408.61367970444,33410.080304845054,33411.53794910232,33412.9866303263,33414.42636620658,33415.85717432772,33417.27907222801,33418.69207745864,33420.09620764115,33421.49148052195,33422.877914023025,33424.25552628844,33425.6243357265,33426.98436104746,33428.335621297076,33429.67813588592,33431.01192461499,33432.50307506397,33434.278924611135,33436.44015230981,33439.072099768055,33442.25478893975,33446.07162009294,33450.6170253684,33456.003512071715,33462.36860777464,33469.88225641796,33478.755241130166,33489.24924738563,33501.689245099886,33516.47897177393,33533.74896160395,33553.732254380295,33576.74304725802,33603.165956602126,33633.45215990871,33668.11959837649,33707.755537048775,33753.02040586544,33804.65218329432,33863.47075227065,33930.38172573146,34006.37924881035,34092.54726475851,34190.05870236255,34300.17202106681,34424.224551724496,34563.622110417884,34719.824452830275,34894.32628643754,35088.63377071911,35304.23670689835,35542.57693377476,35805.01378022821,36092.78774478731,36406.98384064132,36748.49622426546,37117.99578867776,37515.902332727994,37942.362716824595,38397.23610109908,38880.086966084855,39390.18617897928,39926.51993292084,40487.80599078721,41072.5163384145,41678.90511326912,42305.040530387894,42948.83947467423,43608.103456620316,44280.5547216773,44963.87144420413,45655.72110770341,46353.79135809135,47055.81780285074,47759.608405875704,48463.06428841687,49164.19688625984,49861.14152989107,50552.16760750182,51235.68554117215,51910.2508563021,52574.565655715574,53227.47782553326,53867.9783026317,54495.19672592096,55108.39577822688,55706.96450443926,56290.410866674,56858.35377008582
H,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,393301.3139509635,365212.8144775253,337124.3150040871,309035.8155306489,280947.31605721073,252858.8165837725,224770.3171103343,196681.81763689607,168593.31816345785,140504.81869001963,112416.31921658143,84327.81974314322,56239.320269705015,28150.820796266806,62.32132282859675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
