series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
S,1111060.1969631754,1109766.2125256457,1108542.097523089,1107353.5409585629,1106176.3753960684,1104993.442639972,1103792.4567317832,1102564.5359657244,1101303.1893340393,1100003.6144121233,1098662.2100453568,1097276.2378480944,1095843.587113803,1094362.6117282882,1092832.0172697138,1091250.7830950026,1089618.1087963341,1087933.377598573,1086196.1314901086,1084406.0544315502,1082562.9610729201,1080666.7891716484,1078717.5944388467,1076715.5469182818,1074660.9282687553,1072554.12950939,1070395.6489217926,1068186.0898993646,1065926.1586034456,1063616.6613363656,1061258.5015783482,1058852.6766623647,1056400.2740811696,1053902.4674357031,1051360.5120451492,1048775.7402470922,1046149.5564220869,1043483.4317810149,1040778.8989561886,1038037.5464385552,1035261.0129037423,1032450.9814692483,1029609.1739239575,1026737.344969459,1023837.2765104997,1020910.7720293785,1017959.6510762967,1348303.802993638,1677275.8683082112,2004805.8298660964,2330804.9745096937,2655136.2816783316,2977595.7161277356,3297899.3975486816,3615673.041747681,3930441.3582799817,4241616.1888679685,4548483.076416676,4850186.711949755,5145716.371305053,5433893.056757867,5713360.588442119,5982583.280535894,6239852.974895957,6483307.958655337,6710965.561580609,6920769.003502327,7110647.466585107,7278586.660919173,7422705.6686567785,7541334.896282068,7633089.710958554,7696934.780304994,7732235.114755857,7738791.087636841,7716856.04552115,7667136.348127383,7257456.640736814,6850235.1328098355,6446575.249263235,6048871.551612413,5659864.436557735,5282184.307555582,4918133.084034886,4569589.21683003,4237980.610972859,3924296.1992664123,3629119.5847997516,3352674.678739629,3094876.863589988,2855385.3841897496,2633654.091991834,2428978.6669202233,2240539.17374125,2067437.3575033261,1908728.490324129,1763447.8781599817,1630632.3420268784,1509337.120563297,1398648.7147680477,1297694.2244768944,1205647.7213217232,1121734.1745528358,1045231.402517806,975470.4704464801,911834.8996160906,853758.9977133443,800725.5678496262,752263.2058413611,707943.3529113836,667377.2342112942,630212.782426582,596131.6198628098,564846.15132492,536096.8032202465,509649.4310484152,485292.90721723664,462836.89341583825,442109.79611395835,422956.8997302232,405238.6692741628,388829.2125260112,373614.89083629055,359493.0672107832,346370.98034185864,334164.7335332659,322798.38794864883,312203.150222571,302316.64515293145
E,0.0,1293.9844375297068,2259.3025525804164,2995.998606590559,3573.9644477668517,4042.104314309778,4434.669359636594,4775.656253768024,5081.87163469945,5365.072229675517,5633.462150506935,5892.741917667831,6146.844268425691,6398.450800255441,6649.35509877887,6900.718253734375,7153.248901655943,7407.330319085984,7663.110363733157,7920.565349544897,8179.545638266018,8439.808411884404,8701.04146230917,8962.880690412192,9224.923201856152,9486.737320850185,9747.870444277603,10007.855377850081,10266.21559819904,10522.469745639184,10776.135554528824,11026.733359606547,11273.789268880393,11516.838060570888,11755.425839010699,11989.112469265649,12217.473800417818,12440.103681406315,12656.615769951404,12866.645133594493,13069.849641688586,13265.911147844812,13454.536463566645,13635.458125351806,13808.434959240796,13973.252448513858,14129.722911892903,14277.68550112587,15768.142175280129,18402.611271291542,22041.00346238846,26619.554690225876,32154.268391729613,38737.79238139059,46534.64879506583,55777.46159270481,66765.19777512959,79863.3297603491,95505.08736415248,114192.46962497705,136495.34933611983,163046.8068735972,194532.81249405467,231674.6147241343,275202.7671088805,325822.66985078575,384172.753047863,450777.7984444628,526001.1035104572,609999.9341597126,702688.7787914332,803714.2674456132,912444.4036990034,1027973.2475972933,1149140.684285803,1274565.6486332866,1402690.2753893463,1531831.9277020458,1632687.050088615,1709809.5236174918,1765551.3165448161,1801448.1682905303,1818838.6636345775,1819122.154428358,1803841.5907475424,1774681.8784552047,1733429.9144706102,1681920.5460431487,1621981.3428946412,1555382.8894653542,1483797.790972522,1408769.5249759334,1331691.0450523575,1253792.3292208593,1176135.6796146112,1099617.4108708864,1024974.5408608564,952795.1688217885,883531.3565210121,817513.491012059,754965.2831008005,696018.7296358115,640728.5304775366,589085.5964170591,541029.4092049731,496459.098194368,455243.18045824073,417227.97423031065,382244.7413925136,350115.64604398835,320658.63553528005,293691.36021293636,269034.2507341213,246512.86912518684,225959.64340482303,207215.08689568972,190128.5933477303,174558.88847958265,160374.20808554598,147452.262852172,135680.04073779797,124953.48933838996,115177.11316043264,106263.51415385345,98132.8981920073,90712.5653621986,83936.3978743759,77744.35602557857,72081.98989010241
I,1150.0766369187609,1044.1611320524944,974.766881584536,931.7317763675245,907.8990702861583,898.2168781336684,899.1101854404993,908.0417270310904,923.2042945365946,943.3047711105274,967.412325332379,994.8515582658417,1025.12719091542,1057.8709082829319,1092.8037859405554,1129.7096884765465,1168.4164033322638,1208.7822364233343,1250.6864712462886,1294.0225671475087,1338.6933052966956,1384.6073247841528,1431.676655646424,1479.814971193573,1528.9363632679774,1578.9545011918492,1629.782075312951,1681.3304542651133,1733.509504861211,1786.2275374232854,1839.3913490836362,1892.9063444005862,1946.6767173974283,2000.6056824702187,2054.5957439557196,2108.5489958129515,2162.3674440677432,2215.95334555226,2269.2095571477307,2322.039890282862,2374.3494659036874,2426.045065547079,2477.0354745421887,2527.231813745342,2576.547856592124,2624.900328628877,2672.209187065151,2718.3978782671998,2763.3935714878266,2835.076633462722,2954.6540657507157,3138.4819729717015,3400.091148274303,3752.097318971748,4207.87086540434,4782.954096014129,5496.269962521734,6371.18307757108,7436.466377570988,8727.20465955618,10285.635837809263,12161.896202117747,14414.600518717023,17111.155277825244,20327.678783472158,24148.39132638305,28664.348721389062,33971.42746769868,40167.52988978544,47349.05714692511,55606.78556448159,65021.362613831094,75658.69887076407,87565.56160194144,100765.67102689878,115256.56502104843,131007.43983796617,147958.102968016,166019.09868169134,184503.0435589953,202880.05872611678,220717.71636396574,237655.18071483017,253392.53656967057,267686.4358452379,280347.8585112382,291240.0457483062,300275.7967498724,307413.8966001682,312654.730694598,316035.27480478026,317623.69853958325,317513.8214678889,315819.6372017959,312670.0842103823,308204.2009819055,302566.76229357097,295904.4557587611,288362.62517193635,280082.5802294645,271199.45111422986,261840.5509153114,252124.19836569068,242158.94722494352,232043.16605283963,221864.91235987915,211702.04747652676,201622.5423252881,191684.9290712621,181938.8589259695,172425.73183810172,163179.3691611981,154226.70545532432,145588.48023432205,137279.91464049087,129311.3616833706,121688.92181761385,114415.01827736702,107488.9287661065,100907.27186514698,94664.44791890256,88753.03522919984,83164.14319185127,77887.72458064955,72912.84956736414,68227.94429722537,63820.99694924241,59679.734226547036,55791.77116662835
A,9969.429098574572,9569.288520614857,9417.238136369577,9444.385854630102,9602.544051085377,9857.991800780894,10187.130854160407,10573.451838785306,11005.410959790044,11474.941422496775,11976.40835594152,12505.874168768607,13060.581496327044,13638.58884147711,14238.513481120051,14859.349805640268,15500.340767267853,16160.886772305035,16840.481019747425,17538.66356293464,18254.988668728045,18989.001662001454,19740.222576085383,20508.13472525779,21292.176873725486,22091.738067185823,22906.154467441826,23734.707722422627,24576.624537788728,25431.0772092996,26297.184939430303,27174.015805912964,28060.589280003547,28955.879212617758,29858.817220076315,30768.296410198018,31683.175395401766,32602.28254340199,33524.420418763926,34448.37037055513,35372.89722295281,36296.75402718906,37218.68683479802,38137.43945386674,39051.75815193792,39960.39627138493,40862.11872547401,41755.706345923114,42639.96005553082,43755.98280579634,45299.60986669901,47433.69630267106,50303.12689935977,54049.84088089052,58826.69356416088,64809.906312205414,72210.34032426133,81284.0025575416,92342.15909173951,105761.2670738143,121992.68946131402,141571.859277248,165126.23933031308,193381.112346742,227161.98069228907,267392.21240304905,315084.60282185616,371325.7765819948,437252.84556954325,514022.4260972553,602772.9116663513,704581.6709034168,820419.466080611,951104.7702542781,1097260.7576820466,1259277.5653023787,1437282.0265645029,1631116.5367966515,1840328.0963044928,2059227.342290359,2283169.8403064506,2508119.309874772,2730476.853696777,2947028.0498736897,3154938.4167116364,3351763.912360757,3535460.718520496,3704387.465212901,3857297.6759885284,3993322.6132154744,4111945.8985943436,4212971.801525676,4296489.214921418,4362833.240244538,4412546.081655901,4446338.666907549,4465054.111401335,4469633.848425047,4461086.979758064,4440463.166220643,4408829.181755519,4367249.097991399,4316767.947085718,4258398.625455945,4193111.745314983,4121828.1098623513,4045413.476696721,3964675.277949944,3880360.9807140967,3793157.794025443,3703693.4560654415,3612537.865005032,3520205.34725818,3427157.386501428,3333805.6647377526,3240515.2923446167,3147608.1271183104,3055366.1026795483,2964034.5042554596,2873825.1449194225,2784919.408038035,2697471.132167963,2611609.3232060405,2527440.685467751,2445051.9687874215,2364512.1329182517,2285874.33366217,2209177.7374576014,2134449.172754808
IH,0.0,52.467570303098086,73.5542777820688,80.80515697453848,82.42374703802392,82.1360507176033,81.55221977537744,81.30456423080385,81.58968911466002,82.42226962438002,83.75056202309173,85.506539809765,87.62578596195286,90.05388375836478,92.74714878391404,95.67127640108453,98.79946002097421,102.11060084826188,105.5878119854482,109.21724420466602,112.98719558452453,116.88745023071304,120.90879358138403,125.04266042518324,129.28088129376093,133.61550130732348,138.03865231579994,142.54246435136423,147.11900625040613,151.76024810448257,156.45804021721716,161.2041046845684,165.99003673813536,170.80731371352965,175.6473100149277,180.501316805413,185.36056540564192,190.21625356286876,195.05957388130372,199.881743799322,204.67403657057795,209.42781276254976,214.134551832937,218.78588338538586,223.37361774368983,227.88977551947747,232.32661588338334,236.67666328428436,240.9327323955394,245.0879511012593,250.41085298619655,258.49556941223733,270.87577268292785,288.9263753338538,313.90211734914135,347.03280215385047,389.63500004774437,443.22237176110394,509.60857225957557,591.0021846813534,690.0948373403286,810.1431119211725,955.043005024613,1129.3931764805038,1338.5404842882995,1588.5988330337063,1886.4306640132747,2239.580034258436,2656.147639096025,3144.6015699438317,3713.5229251735186,4371.292017752148,5125.727886056695,5983.699991171143,6950.735372929402,8030.646495133289,9225.204368097564,10533.87856484007,11953.661019038303,13478.984709658787,15075.740487381147,16702.90506356085,18320.485413446833,19892.263553307763,21386.665599843487,22776.992473214872,24041.43171439231,25162.969031592922,26129.221282316255,26932.191003908752,27567.945078864956,28036.227439460723,28340.021550967853,28485.081364073136,28479.44979168826,28332.982278960546,28056.890423629677,27663.31744971429,27164.95406451886,26574.70012260289,25905.37475671947,25169.475308346606,24378.983532841172,23545.216158117262,22678.71590522925,21789.17848205869,20885.410777254132,19975.315448724577,19065.897260053385,18163.286815369604,17272.77773176667,16398.873729339128,15545.342581112014,14715.27432462795,13911.141576285048,13134.860196796764,12387.848924073476,11671.086914753401,10985.168416672892,10330.354032932715,9706.618236456306,9113.69295550001,8551.107179393854,8018.222633965311,7514.265651676686,7038.355416334068,6589.5287998441545,6166.762032090482,5768.989457379394
IN,53.44793456316848,104.12519746862404,147.25316652925306,184.9204530425963,218.63512996724626,249.49449561955117,278.3041876738954,305.66193762936416,332.0165761010587,357.70967984744664,383.00502323569503,408.1094480406568,433.18768556446025,458.3729103690992,483.7742765814892,509.4823173625465,535.5728282109712,562.109672187464,589.1468167731265,616.7298217423165,644.896933806753,673.6798989317294,703.1045715636815,733.1913776275815,763.9556723029101,795.408022335137,827.554434625999,860.3965471136495,893.9317938295711,928.1535530289711,963.0512851015962,998.6106653457771,1034.8137154650587,1071.6389367081802,1109.0614468383108,1147.0531225297113,1185.582748309947,1224.616172766212,1264.1164723964891,1304.0441231973625,1344.357179831676,1385.0114620050158,1425.960747496248,1467.1569711313282,1508.5504288594057,1550.0899859843644,1591.7232885221488,1633.3969765933425,1675.0568987203437,1716.648325877865,1759.4150606604892,1805.521989332,1857.7818965240444,1919.490577285241,1994.3592722560152,2086.5282027752505,2200.645269890391,2341.9968467778535,2516.6811001171413,2731.8172507873383,2995.7859771611847,3318.4964522323767,3711.6741725453703,4189.160825690992,4767.2131707276185,5464.7827113339035,6303.752530347864,7309.102990328651,8508.975208028154,9934.601351912752,11620.074641846139,13601.939630917597,15918.594409547679,18609.509647346164,21714.28333795062,25271.563124815693,29317.878784426226,33886.434883160044,39005.917357067985,44699.367791433266,50956.688303113,57743.67921433916,65007.81733722537,72682.53296498476,80690.76920833094,88948.15450227029,97365.90659699825,105853.48995656143,114321.00977469618,122681.31587944935,130851.79376145512,138755.82992907712,146323.9505060989,153494.64316333985,160214.881958106,166440.38194874855,172135.6154544044,177273.624674613,181835.66633376223,185810.7233989755,189194.9170835773,191990.84962685851,194206.90503941415,195856.53138559323,196957.52445831444,197531.32905791502,197602.37064315024,197197.42696689878,196345.0464957172,195075.017967493,193417.8933695642,191404.56490888447,189065.8951726392,186432.3986112098,183533.97168047255,180399.66842052242,177057.51788689103,173534.37965387068,169855.83354608485,166046.09979564868,162127.98594332035,158122.85698165064,154050.6254583571,149929.75850417232,145777.2990092666,141608.89843654435,137438.85902134803,133280.18335990098,129144.62962925044
D,8658.0,8658.0,8658.649663054677,8659.56042557927,8660.560969816604,8661.581555732233,8662.598579339387,8663.608373845,8664.61510183435,8665.625360292177,8666.6459279142,8667.682942695721,8668.74170031546,8669.826698828783,8670.941762493252,8672.090174658013,8673.274793905912,8674.498146895708,8675.762499037017,8677.069906642797,8678.422254542338,8679.821282669594,8681.268604463448,8682.765719266394,8684.314020364909,8685.91479988962,8687.56925147238,8689.278471320162,8691.043458192562,8692.865112644055,8694.744235801321,8696.68152788001,8698.677586597247,8700.73290560078,8702.847873009167,8705.022770137257,8707.257770465489,8709.55293889891,8711.908231351466,8714.323494682312,8716.798467003322,8719.332778370197,8721.925951863606,8724.577405061305,8727.28645189727,8730.052304899404,8732.87407779337,8735.750788456464,8738.681362202336,8741.664635374611,8744.699359225116,8747.79999222061,8751.000731654029,8754.35476502936,8757.932304269156,8761.819097716012,8766.116121363531,8770.94065321964,8776.428713716363,8782.738780293317,8790.056677470615,8798.601558002594,8808.632898233818,8820.458415451552,8834.44276839042,8851.016821559027,8870.687142951128,8894.045272564124,8921.7761622898,8954.665068311537,8993.602100269929,9039.583620535559,9093.709758047384,9157.177458508075,9231.268726544244,9317.334003600923,9416.770937747446,9530.99910602688,9661.431517638355,9809.443935353456,9976.343190070818,10163.013766961765,10369.832193332228,10596.679795538757,10842.989442237098,11107.803048483385,11389.831936442466,11687.517342420791,11999.089828651115,12322.626627030197,12656.105943409048,12997.457283058144,13344.606980570552,13695.518312352175,14048.225801279028,14400.86355904629,14751.687729274052,15099.093279636829,15441.625537430597,15777.986968610996,16107.039767492914,16427.8048572383,16739.45790537774,17041.32293972876,17332.864113904365,17613.676123418496,17883.47371781396,18142.080695140066,18389.418705602184,18625.496133669927,18850.397274074858,19064.271968083875,19267.32582285007,19459.81109878146,19642.018317696253,19814.26861780127,19976.90685984121,20130.295471633133,20274.809005090745,20410.82937021317,20538.741703834818,20658.930826709155,20771.77824027628,20877.659613835996,20976.942713460536,21069.985725529124,21157.135929993732,21238.72868117806,21315.086656896936
R,0.0,402.911249617429,818.2884322423319,1240.2074014844968,1668.7478212032302,2106.1828979660595,2555.3285154223995,3018.889972217719,3499.253043116179,3998.4604880614697,4518.256242920995,5060.146209888676,5625.455391918496,6215.374861971682,6830.997809819797,7473.346021956376,8143.388682503735,8842.055286913095,9570.24416060079,10328.827749464801,11118.655564087352,11940.55543108127,12795.333530735474,13683.773570767107,14606.635351665023,15564.652911081543,16558.532385992377,17588.949696543936,18656.54813066439,19761.93589072628,20905.68365072044,22088.322163036373,23310.339946980173,24572.1810858472,25874.243155177406,27216.875301390635,28600.376487076526,30024.993916628435,31490.92165355102,32998.29943856523,34547.211715539044,36137.68687026493,37769.69668517479,39443.15601123102,41157.92265646107,42913.79748892258,44710.52475030434,46547.79257489658,48425.23370730929,50342.42641108939,52308.61981163897,54341.61388283058,56466.64419898829,58715.66440831856,61127.17467866787,63746.622050255915,66627.34820157681,69832.04892781618,73434.71653135371,77523.04791045528,82201.30899348778,87593.64505028525,93847.81310169268,101139.28548314722,109675.63257099682,119701.03979658177,131500.75398154015,145405.1941248256,161793.41169182016,181095.55562830574,203793.99679647436,230422.80066643018,261565.30593697916,297849.6647285618,339942.31705489586,388539.496111449,444356.97929234325,508118.4025442583,580542.5355234331,662329.9681352848,753951.3841314506,855673.6941699464,967579.7827560406,1089585.6220813761,1221456.8389169534,1362825.7129777838,1513208.8750481536,1672025.5541655624,1838616.0081931807,2012259.6928260084,2192192.729956687,2377624.2916171895,2567751.5959022874,2761773.3000536044,2958901.1627665185,3158369.9264305877,3359445.43697876,3561431.072865374,3763672.595351791,3965561.560581409,4166537.451246579,4366088.693645123,4563752.726342398,4759115.281202619,4951809.027805087,5141511.71960573,5327943.965818761,5510866.737835879,5690078.7038212055,5865413.470478495,6036736.797276288,6203943.835889756,6366956.436414775,6525720.552081336,6680203.765724045,6830392.9540946,6976292.100130116,7117920.258409219,7255309.675112893,7388504.060736053,7517557.011449302,7642530.5732763875,7763493.942029169,7880522.2911368,7993695.719038756,8103098.307612462,8208817.283116188,8310942.271296344,8409564.638593815
G,600299.0,600299.0,600325.7670399303,600372.5024100675,600434.4768913735,600508.4070301824,600592.0209937247,600683.7554600633,600782.5434964035,600887.6658278797,600998.6463763592,601115.1787719239,601237.074564203,601364.2266544498,601496.5834147752,601634.1303189559,601776.8768587818,601924.8471847217,602078.0733756077,602236.5905688194,602400.4334117728,602569.6334565042,602744.2172321768,602924.2048096951,603109.6087282997,603300.4331930592,603496.6734795041,603698.3155007297,603905.3355055666,604117.6998856014,604335.3650751343,604558.2775324385,604786.3737935509,605019.5805916965,605257.8150366389,605500.9848489682,605748.9886447535,606001.7162661832,606259.0491539062,606520.860756791,606787.0169748041,607057.3766306828,607331.7919660674,607610.1091577737,607892.1688499341,608177.8066978169,608466.8539192507,608759.1378497357,609054.4824975055,609380.6583609796,609761.3301963087,610217.2649067055,610767.9103879464,611433.0455789199,612234.36590814,613196.970068064,614350.7687524721,615731.857012094,617383.8899691118,619359.4844298223,621721.641427656,624545.1502427729,627917.8958983821,631941.9532276458,636734.3166311899,642427.0925583976,649166.9791916276,657113.8811193059,666438.5584343745,677319.2863107926,689937.5930860612,704473.2382259959,721098.6714733932,739973.2692503768,761237.6679307144,785008.5060411065,811373.8537387722,840389.5555682,872076.6494668603,905850.0073187851,941218.7014580742,977740.4564486393,1015004.7647777022,1052628.808563995,1090258.7165702712,1127572.5346404244,1164283.1621615654,1200140.461825619,1234932.2515179159,1268484.1537760694,1300658.4170066272,1331351.888711257,1360493.3443841708,1388040.3738104873,1413976.009794417,1438305.2596576319,1461051.6716632477,1482254.0398425795,1501963.3235013534,1520239.8331824713,1537150.7137331732,1552767.7376267351,1567165.4077903812,1580419.3586590313,1592605.036650492,1603796.6363171295,1614066.2656262198,1623483.3127219446,1632113.9867257283,1640021.0062842928,1647263.4113751885,1653896.476080182,1659971.7024415056,1665536.8779746701,1670636.1818146913,1675310.3267442968,1679596.7264445124,1683529.6791929693,1687140.5609026854,1690458.0218451228,1693508.18264545,1696314.8261898775,1698899.5829624892,1701282.1080513652,1703480.2486502794,1705510.2013515672,1707386.6588952693,1709122.9463252816,1710731.1467191519
H,9999541.772668581,9999541.772668581,9999541.772668581,9999541.772668581,9999541.772668581,9999541.772668581,9999541.772668581,9999541.772668581,9999541.772668581,9999541.772668581,9999541.772668581,9999541.772668581,9999541.772668581,9999541.772668581,9999541.772668581,9999541.772668581,9999541.772668581,9999541.772668581,9999541.772668581,9999541.772668581,9999541.772668581,9999541.772668581,9999541.772668581,9999541.772668581,9999541.772668581,9999541.772668581,9999541.772668581,9999541.772668581,9999541.772668581,9999541.772668581,9999541.772668581,9999541.772668581,9999541.772668581,9999541.772668581,9999541.772668581,9999541.772668581,9999541.772668581,9999541.772668581,9999541.772668581,9999541.772668581,9999541.772668581,9999541.772668581,9999541.772668581,9999541.772668581,9999541.772668581,9999541.772668581,9999541.772668581,9666223.713579629,9332905.654490676,8999587.595401723,8666269.53631277,8332951.477223817,7999633.418134864,7666315.359045912,7332997.299956959,6999679.240868006,6666361.181779053,6333043.1226901,5999725.063601147,5666407.004512195,5333088.945423242,4999770.886334289,4666452.827245336,4333134.768156383,3999816.7090674303,3666498.6499784775,3333180.5908895247,2999862.531800572,2666544.472711619,2333226.413622666,1999908.3545337133,1666590.2954447605,1333272.2363558076,999954.1772668549,666636.1181779022,333318.05908894946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
