series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
S,498671.96941895207,498608.4663176231,498559.4249242792,498514.5490911272,498469.591171221,498422.72441546054,498373.0881589651,498320.2029173305,498263.7347891323,498203.40030593815,498138.92779547966,498070.0415019562,497996.45488426957,497917.8676310039,497833.96419877734,497744.41299683484,497648.8658715201,497546.9577588166,497438.3064603599,497322.5125342237,497199.1593069827,497067.8130203496,496928.0231290123,496779.32276811526,496621.22940988466,496453.2457294628,496274.8607001495,496085.5509379311,495884.7823143576,495672.01185542974,495446.68994212215,495208.2628254137,494956.1754651778,494689.87469795125,494408.8127334366,494112.4509735999,493800.2641414448,493471.74469904933,493126.4075263616,492763.7948237247,492383.48119234975,491985.0788382218,491568.2428365049,491132.6763857136,490678.1359740876,490204.4363750783,489711.4553849653,489199.1382136602,488667.5014399855,488116.63644531206,487546.71224450885,486957.9776407029,486350.76264027256,485725.47907659766,516641.2334212951,547488.7212276354,578265.637219222,608964.6410882123,639574.9434185703,670082.9465750698,700472.3676926111,730724.0776250274,760815.7783786438,790721.5824455703,820411.5291912855,849851.0627727631,879000.4954155143,907814.4851568238,936241.5660558767,964223.7797600897,991696.4685792923,1018588.2998293546,1044821.596588511,1070313.0481736786,1094974.8616447377,1118716.3913466553,1141446.2465278567,1163074.8296710602,1183517.2055772757,1202696.1512311928,1220545.1979530463,1237011.458248763,1252058.0349362546,1265665.8398435256,1246276.0862223022,1226220.4557883255,1205572.6138384696,1184494.781102977,1163173.2190455457,1141793.8960489868,1120531.571960572,1099544.2171417892,1078970.1252595454,1058926.70768847,1039510.4606279961,1020797.7672633902,1002846.2733513612,985696.6246894887,969374.3974312908,953892.0906630738,939251.0848379775,925443.4988926103,912453.9028601749,900260.861699619,888838.3003621264,878156.6904641788,868184.066033762,858886.8803215139,850230.7182303972,842180.880034311,834702.8521518625,827762.6801511011,821327.2581405091,815364.5474408919,809843.7360682568,804735.3491833999,800011.3193415445,795645.0241428871,791611.2977628434,787886.4218375632,784448.1002961256,781275.4219607153,778348.8140718397,775649.9893275328,773161.8885431038,770868.620631065,768755.4012596366,766808.4912636549,765015.135645656
E,0.0,63.503101328966444,93.49356427417455,110.3213281439447,122.18284960696698,132.39475048530352,142.3125818351524,152.50404891922224,163.22096244162222,174.5891569032804,186.68492029078385,199.56573772701336,213.2826340955065,227.8850971324964,243.42300021929228,259.94730209601005,277.51023678200437,296.16527845085926,315.96699337231007,336.9708214968306,359.2328022887611,382.8092482352718,407.75636510198825,434.1298164684284,461.984229758483,491.37264125276914,522.3458781902925,554.9518769515628,589.2349374395967,625.2349151355513,662.9863539024753,702.5175644401643,743.8496553440332,786.9955259674024,831.9588326918396,878.7329427209805,927.299892059815,977.629366837373,1029.677729473942,1083.387113268595,1138.6846106629982,1195.4815815920824,1253.6731088313395,1313.137626973191,1373.7367505072955,1435.315324364426,1497.7017171680968,1560.7083733227148,1624.1326350005972,1687.7578391738864,1751.354688224952,1814.682885563403,1877.4930203247372,1939.5286779021953,2000.5287460648296,2111.4953321358716,2259.743757139235,2441.4297772379505,2657.3115299392034,2910.727930688677,3206.70145017152,3551.594098934458,3953.0281318684656,4419.928641612212,4962.616319644057,5592.910858504059,6324.217974432378,7171.575857023975,8151.635217094681,9282.543963984037,10583.704971816991,12075.375246440286,13778.078929582547,15711.816681770932,17895.071222411403,20343.633170001067,23069.301054030166,26078.54061084825,29371.215537609096,32939.518238640165,36767.22906142524,40829.41306351172,45092.62547319745,49515.64594019798,54050.70577936248,57891.124479530365,61171.62908552718,63897.97309536174,66050.1432241845,67614.42325348797,68592.42036585652,69002.04907488226,68875.52623466126,68256.28593533834,67195.64721521063,65749.64641525333,63976.2464027064,61933.021143766935,59675.34205883475,57255.046209401284,54719.538171677115,52111.26266554127,49467.47989831431,46820.27708937593,44196.755300055695,41619.33860798664,39106.16145600748,36671.49873145329,34326.21120313398,32078.186038280033,29932.758109244493,27893.102677232564,25960.59388465473,24135.126418875632,22415.399865848034,20799.166790950425,19283.446595520716,17864.70781552197,16539.02185090903,15302.191220916622,14149.85539607911,13077.577112665693,12080.911867741668,11155.463051726054,10296.924920637208,9501.115356484881,8764.000120967787,8081.710080659205,7450.552674460256
I,62.86506447192703,45.62022434966276,39.963032333579,39.096093393382205,40.284047364138644,42.426946253986316,45.08470655029688,48.084340049170706,51.361613203362566,54.897103467688034,58.690303928133496,62.749084376366184,67.08536310075564,71.71329873939001,76.64850973551704,81.9077155331933,87.50855175417944,93.46945658240891,99.80958452208623,106.54872782578994,113.70723589132794,121.30592716444981,129.36598995315887,137.90886944499255,146.95613869528557,156.52935166599573,166.64987665009815,177.33870866892562,188.61625970850758,200.50212598459177,213.01483180777439,226.17155006960792,239.9877998942594,254.4771226016906,269.650737807333,285.5171822356946,302.081934642502,319.34703110796727,337.3106758631697,355.96685371724317,375.30495103433543,395.3093930302647,415.9593058792289,437.2282126976351,459.0837728606774,481.4875742642728,504.3949880304737,527.7550947349871,551.5106904866215,575.598380098013,599.9487631567891,624.4867170544446,649.1317789916329,673.7986267052213,698.3976552219228,722.8356444165522,752.5522033406736,790.1250697718946,837.0097637275925,894.3443984512297,963.3154248303952,1045.3261635913695,1142.0819594407144,1255.6434137274207,1388.46961385631,1543.459520651582,1723.9931680123432,1933.9709576677953,2177.847190464621,2460.6522450629977,2787.9962200223563,3166.0454201715775,3601.462010777626,4101.296841104971,4672.8262964905625,5323.326521611934,6059.782790811839,6888.538228560733,7814.894120676251,8842.68281180213,9973.842304528991,11208.027564000853,12542.29570415387,13970.899717987999,15485.218075857812,17073.836154997327,18641.364385302488,20133.127959915164,21510.071468632384,22741.691938197317,23804.372732592044,24681.149162199217,25361.644635639328,25841.80782528923,26123.388799683504,26213.19903702954,26122.232382772854,25864.7257910577,25457.227696935082,24917.72610905992,24264.872069294463,23517.319148548617,22693.187182881127,21809.648856317777,20882.630934708835,19926.61762974276,18954.54128814104,17977.74489277759,17006.001290692377,16047.575245290525,15109.31603413367,14196.770138863674,13314.305424945647,12465.239967380367,11651.970271137514,10876.095023564245,10138.531687643926,9439.624204394517,8779.24083565488,8156.861766959177,7571.656528746481,7022.55160760411,6508.288831039253,6027.47524056747,5578.625237124574,5160.19580553832,4770.615613892778,4408.308749433959,4071.7138033491415
A,111.79087497414712,89.43269997931769,83.73996332673345,84.94451333667664,89.13940408736491,94.7729544259988,101.24067390540998,108.31926175449709,115.93908756510184,124.09279945556062,132.79867853821008,142.08599844741283,151.9892163276726,162.54569564277244,173.79482975039832,185.77770997454854,198.5369944218067,212.11683950269548,226.5628384040897,241.92194343717964,258.242361975928,275.57342056258113,293.96539349958863,313.4692928049963,334.13661655928144,356.0190527312772,379.1681356707282,403.63485265410054,429.46919819941957,456.7196743451102,485.4327357323829,515.6521791529678,547.4184782331057,580.7680651256139,615.7325624739416,652.3379704876568,690.6038157113501,730.5422699519602,772.1572498152136,815.4435093403595,860.3857402515404,906.9576962901008,955.1213598706065,1004.8261708219811,1056.0083381368213,1108.5902563589975,1162.480048399121,1217.571256096806,1273.7426986819091,1330.8585173806591,1388.7684217515582,1447.3081499373689,1506.300150936281,1565.5544923168352,1624.8699916521216,1684.0355644856727,1752.6757179659467,1836.0543581738955,1937.644442036486,2060.369911917152,2207.2110569814927,2381.5165184656053,2587.1868363947033,2828.80606071041,3111.755218916221,3442.3209020879403,3827.8019888754598,4276.611734706008,4798.368362363972,5403.963703265523,6105.595966326923,6916.749439573906,7852.101283856747,8927.334253455847,10158.83505904793,11563.262102858851,13156.974205773007,14955.32396657906,16971.835008671376,19217.30005802637,21698.8540885483,24419.09059756458,27375.296399700397,30558.878914338406,33955.04898568066,37542.80279293498,41150.43927751032,44666.46774777421,48002.80043147523,51085.12417944986,53851.354697518545,56252.13315996399,58251.412433572754,59826.5410605551,60967.73804614389,61677.03282601433,61966.80899203724,61858.103390727025,61378.800795915515,60561.84139260091,59443.5310305773,58062.01696999158,56455.967212516116,54663.470828018195,52721.16042884134,50663.54602412306,48522.541470605756,46327.16001164236,44103.35329180519,41873.96810094557,39658.79635707404,37474.69599156509,35335.76306006611,33253.5382685753,31237.233959862097,29293.97030390989,27429.011886509754,25645.99804465767,23947.1621396836,22333.536494717213,20805.14097211531,19361.15415716461,18000.066879057274,16719.818372045,15517.915790861975,14391.538074551821,13337.625328147531,12352.954985186676,11434.206045286868
IH,0.0,6.896637166915558,10.336781659592628,12.375835806272999,13.857181711018674,15.13277953450094,16.354069974517422,17.589856828505425,18.874356631117585,20.226976442274474,21.660589682727153,23.1850935681539,24.809003290877236,26.540209701557472,28.38636673209572,30.355105293921206,32.454159286383614,34.69144274151966,37.075097002743526,39.61351773890202,42.31536720988756,45.189574906950355,48.245328382994515,51.492055281999775,54.939397050614915,58.597174460519355,62.47534483029429,66.58395067812718,70.93305944265553,75.53269386714035,80.39275264510266,85.52292096971121,90.93257071265292,96.63065008018368,102.625562754329,108.92503672560551,115.53598325957381,122.46434671159207,129.7149462097002,137.291310560471,145.1955080909512,153.42797351349822,161.98733427928752,170.87023925829243,180.071192934433,189.58239861850325,199.39361444140482,209.49202607860477,219.86214025636468,230.48570308516736,241.3416471421766,252.40607097211495,263.6522542885751,275.05071163465306,286.5692866079444,298.17328798169785,309.8256681789005,322.09453910641855,335.70191684206,351.36569203406833,369.7657445999007,391.5578701240612,417.4030356652303,447.9993401657134,484.1125639111589,526.6045297323832,576.4595703167073,634.8095107032863,702.9572938448877,782.3989248001751,874.842869568314,982.2254524650928,1106.7201807230376,1250.7383333551593,1416.9176585886462,1608.0957373038743,1827.2646205847489,2077.503875005819,2361.890280676931,2683.3841680804903,3044.694686224657,3448.128968645618,3895.4328771450982,4387.633339237077,4924.893825605547,5506.394891953744,6130.250755591165,6784.538710347614,7454.04283357327,8122.714650580377,8774.800264315269,9395.5289929047,9971.620062012687,10491.667339378524,10946.407950240775,11328.87248085574,11634.419924818398,11860.668265405442,12007.337764971395,12076.02760268902,12069.94753356007,11993.62523528871,11852.60758851594,11653.170896581565,11402.051493650948,11106.204693535163,10772.596853779272,10408.032622199637,10019.017262181638,9611.652321663709,9191.561779167703,8763.845103562451,8333.05332585542,7903.1841627673,7477.692379498125,7059.51186796609,6651.086292462507,6254.405573635186,5871.045910882861,5502.211458748393,5148.776158694273,4811.324574025211,4490.190877907604,4185.495401299133,3897.1783605942433,3625.030557055674,3368.7209757786377,3127.8213156335305,2901.827558055885
IN,10.348202955348704,20.28216337177738,26.979794603743592,32.47808808475104,37.61357615803704,42.739037485136116,48.012066691155866,53.51150778797539,59.28457308527322,65.36601149726637,71.78598378535557,78.573359921086,85.75714964444332,93.36716329092577,101.43434852681995,109.99098511958432,119.07081284880282,128.70912387312737,138.94283269751148,149.81052914337002,161.35251626462238,173.61083347787778,186.62926426503742,200.45332724062646,215.1302489786462,230.70891669058722,247.2398086065167,264.7748997230678,283.3675404431448,303.0723055445825,323.9448108842003,346.0414952769643,369.41936509589704,394.1356993262637,420.2477130869309,447.8121780117456,476.88499837238913,507.5207424277216,539.7721292069095,573.6894717750488,609.3200789868108,646.7076187972305,685.8914473548986,726.9059093312791,769.7796162140846,814.5347105798108,861.1861256220118,909.7408504040357,960.1972123803064,1012.5441896392895,1066.760766014447,1122.8153426394779,1180.6652196485416,1240.2561615060195,1301.5220588686566,1364.3846989227657,1428.753654801524,1495.4375321817759,1565.63688873245,1640.743816133516,1722.2820246441895,1811.9095312084817,1911.4489819983617,2022.9307783363813,2148.6432388866087,2291.187869817004,2453.539235239805,2639.1092128804507,2851.8151458674843,3096.1507859571775,3377.258047703381,3700.9964898032417,4074.006144505088,4503.757898418378,4998.584214272693,5567.681767132697,6221.076810031545,6969.544085551191,7824.471159364143,8797.662391882819,9901.080451757061,11146.528151550492,12545.27903660287,14107.670940145581,15842.681854552222,17757.511191817706,19857.191210435492,22130.850671750843,24559.05351032404,27116.712792316386,29774.72473648587,32501.263068427645,35262.98297829828,38026.16637361939,40757.77802205163,43426.39318264998,46002.966294688464,48461.42419661481,50779.080987103145,52936.8829240353,54919.499995633094,56715.2859998374,58316.13149629607,59717.234370470534,60916.811529647646,61915.77296004894,62717.37646335717,63326.87822064732,63751.191171696,63998.560234617,64078.26074097691,64000.32418516884,63775.29350200488,63414.00858183784,62927.42157756418,62326.44071129284,61621.80070434698,60823.957586390396,59943.00544425065,58988.61260919594,57969.97481894766,56895.78299892205,55774.20346267139,54612.868515612194,53418.87564448674,52198.793676816735,50958.6744920834,49704.06905414381,48440.04670902505
D,1644.0,1644.0,1644.0882389459064,1644.2204927814544,1644.3788352721242,1644.5561308261485,1644.7497470020385,1644.958988964593,1645.1840421880156,1645.4255299295746,1645.6843237499459,1645.9614599186402,1646.258101334983,1646.57551984583,1646.9150882574372,1647.2782773042045,1647.666655354142,1648.081889726547,1648.5257489967096,1649.000105904246,1649.5069406070622,1650.0483440922499,1650.6265215951748,1651.2437959012445,1651.9026104177503,1652.605531909363,1653.3552527925049,1654.154592882398,1655.0065004831495,1655.9140527065956,1656.8804549004474,1657.9090390611375,1659.0032611021932,1660.166696845447,1661.4030366004552,1662.7160781975879,1664.1097183429024,1665.5879421685647,1667.1548108617278,1668.8144472678239,1670.5710193815603,1672.4287216608318,1674.3917541254552,1676.4642992341871,1678.650496569789,1680.9544154027044,1683.380025248725,1685.9311645841647,1688.611507932608,1691.4245315891244,1694.3734782996012,1697.4613212630234,1700.6907278714782,1704.0640236446516,1707.583156850886,1711.2496643337988,1715.0646390805005,1719.028700073298,1723.1497349958393,1727.4448693582788,1731.9404137145177,1736.671377334339,1741.6811600566841,1747.02161845602,1752.7535409258023,1758.9475136266547,1765.6851493016218,1773.060654727137,1781.182717802243,1790.1766969147936,1800.1870910723762,1811.3802582314008,1823.9473306277448,1838.1072494108873,1854.1098068122549,1872.238543703009,1892.813306350659,1916.1922227863258,1942.7728225206938,1972.9920008926194,2007.3245291556957,2046.2798407397322,2090.3968876683653,2140.236959374225,2196.374484302357,2259.3859824216156,2329.8374893301075,2408.2709130007224,2495.075616477663,2590.446282855597,2694.372263202064,2806.6413455276684,2926.8523345215394,3054.434114156396,3188.669632775287,3328.7233249753262,3473.670455268635,3622.526908863595,3774.278094282674,3927.905840948211,4082.4124389623094,4236.841245600989,4390.293547461236,4541.941600641398,4691.037963331625,4836.921381673042,4979.019591490335,5116.849459590686,5250.014914770479,5378.203117344603,5501.17929381375,5618.780626607936,5730.909543253707,5837.526699392146,5938.643899405515,6034.317149630195,6124.63999404939,6209.737242081331,6289.759163161373,6364.87619339018,6435.274175410037,6501.150133497348,6562.7085711170785,6620.158267308975,6673.709540685858,6723.571944959884,6769.952357252342,6813.053419518082,6853.072293818013
R,0.0,22.772417533749454,42.94726193055773,62.98811867982796,83.9264959328651,106.22654688186789,130.1315564298111,155.80263971903398,183.37413710667127,212.97567771966456,244.74096589864075,278.8113254385889,315.3372092896204,354.47894599652835,396.4072193544849,441.3034691970889,489.3602793860292,540.7817716596468,595.7840059980624,654.5953815834082,717.4570301331169,784.6231925644645,856.3615695432006,932.9536360958916,1014.6949100087014,1101.8951631800824,1194.8785644635134,1293.983741864124,1399.563751279335,1511.9859383400706,1631.6316793588487,1758.89598696911,1894.1869657934399,2037.925103455559,2190.5423825019893,2352.4811993742405,2524.1930775201076,2706.137163098964,2898.778493561261,3102.586031699218,3318.030460595545,3545.581738247716,3785.70641450779,4038.864717323294,4305.507420042821,4586.072506686526,4880.981657478406,5190.636582471973,5515.415236629577,5855.667955075312,6211.71355225516,6583.835433220788,6972.27776901973,7377.241791046279,7798.882261022787,8237.30417390328,8692.559750316983,9166.614561519016,9662.640947663256,10184.7084650852,10737.68086741555,11327.224506513645,11959.882223362145,12643.191425082432,13385.83705246594,14197.835788939694,15090.75027066054,16077.93270405151,17174.796821500175,18399.11574097112,19771.341091473645,21314.935717466873,23056.708401153934,25027.1344547737,27260.640999838135,29795.830729163277,32675.613619222164,35947.21329049989,39662.01446032809,43875.221082835786,48645.301924897554,54033.21158103856,60101.389717322745,66912.5583934693,74528.35482061339,83007.85276629536,92406.03800611026,102743.35384714944,114014.95791806393,126194.35490240234,139235.74702773447,153076.382102582,167639.2001100253,182835.75371146962,198569.27375417468,214737.72951810804,231236.74624462338,247962.2696623523,264812.89921894314,281691.843306468,298508.4779705945,315179.5138908576,331629.7942621168,347792.7587072521,363610.61603591393,379034.27228698804,394023.06089113344,408544.31978845166,422572.85668359953,436090.33895582403,449084.63958200335,461549.16517417476,473482.18716698675,484886.192508556,495767.2660267042,506134.5130175628,515999.52754619863,525375.9094387083,534278.8309408907,542724.6524667859,550730.5857021579,558314.4015036821,565494.1794869025,572288.0958721848,578714.2460107821,584790.4980018042,590534.3739005175,595962.9551800465,601092.8093186254
G,96129.0,96129.0,96135.85712705541,96145.95265366237,96157.86525868754,96171.05868241352,96185.35479719451,96200.72184911488,96217.18938562914,96234.81414495815,96253.66645305537,96273.82487352575,96295.37417727412,96318.40464492214,96343.0119008257,96369.29695471725,96397.36631890389,96427.33214597324,96459.31236270657,96493.43078800435,96529.81722722722,96568.60753693202,96609.94365435308,96653.97358587835,96700.8513485036,96750.73685794728,96803.79575683741,96860.19917617698,96920.1234231863,96983.7495886326,97051.26306691697,97122.85298252065,97198.71151694197,97279.03313100606,97364.01367842282,97453.84940772188,97548.73585121694,97648.86660145201,97754.43197764958,97865.61758700358,97982.60278820491,98105.55906731494,98234.64833895404,98370.02118867794,98511.81507529067,98660.15251459331,98815.13926859072,98976.86256636363,99145.38938455598,99320.76481662103,99503.01056052616,99692.12355445753,99888.07478914017,100090.80832366979,100300.2405292418,100516.25958189728,100744.26091516063,100988.27025850126,101251.89823617527,101538.83733686907,101853.1405886279,102199.40335079894,102582.90795885706,103009.75980682296,103487.02802895872,104022.89619789697,104626.82418824309,105309.71943696716,106084.11321947518,106964.33477122925,107966.67295670995,109109.51178174268,110413.42262347715,111901.19307598146,113597.77042422949,115530.0977353324,117726.82316284679,120217.86887709518,123033.85522494154,126205.387835135,129762.22926459984,133732.39065630146,138141.19065370623,143010.33650108738,148357.08442893685,154193.53255835516,160444.67285905193,167050.04525894413,173949.8109542968,181081.97008728248,188383.0417093702,195789.71841717802,203240.62723404114,210677.8739907426,218048.2545736443,225304.10634910828,232403.8175424585,239312.0352661732,245999.62352596936,252443.42538775128,258625.8813340751,264534.55064004846,270161.57580318797,275503.12271467695,280558.82207506296,285331.23098402965,289825.3279151183,294048.0495167628,298007.87385370745,301714.45174714626,305178.2856823127,308410.4542091802,311422.3787455359,314225.6290904099,316831.76367107074,319252.20049480494,321498.1148887082,323580.36033191456,325509.4089726137,327295.30874491605,328947.6543348495,330475.5695742009,331887.699154675,333192.20784619835,334396.78566849016,335508.6577028191,336534.5974412585,337480.9427548802,338353.61372194043
H,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,946758.3904869233,915199.7774706925,883641.1644544618,852082.551438231,820523.9384220003,788965.3254057695,757406.7123895388,725848.099373308,694289.4863570773,662730.8733408465,631172.2603246158,599613.647308385,568055.0342921542,536496.4212759235,504937.80825969274,473379.195243462,441820.58222723124,410261.9692110005,378703.35619476973,347144.743178539,315586.1301623082,284027.5171460775,252468.9041298467,220910.2911136159,189351.67809738513,157793.06508115435,126234.45206492356,94675.83904869278,63117.22603246201,31558.613016231233,4.5838532969355583e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
