series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
S,619521.0813952017,619005.6380469361,618564.2596373364,618171.0510378804,617809.2207430371,617467.8587762557,617139.8713142033,616820.6477953452,616507.1968099942,616197.5841524428,615890.566579386,615585.3527432531,615281.4469565055,614978.5469929876,614676.4771840533,614375.1445889112,614074.5102610018,613774.5703969194,613475.3439584941,613176.8645370817,612879.1749994544,612582.323958587,612286.363442411,611991.3473495519,611697.3304225164,611404.3675614938,611112.5133627101,610821.8218051307,610532.3460354519,610244.1382184889,609957.2494313287,609671.7295870191,609387.6273784232,609104.9902360651,608823.8642958878,608544.294374227,608266.3239482107,607989.9951403874,607715.3487067838,607442.4240278419,607171.2591018614,606901.8905406801,606634.3535673968,606368.6820159905,713929.1635701121,821440.5577970423,928903.461131377,1036316.4378426479,1143675.816969634,1250975.6049430796,1358207.3986364026,1465360.2266984398,1572420.2749317766,1679370.4664854924,1786189.8728127908,1892852.9295623358,1999328.4250511723,2105578.219238901,2103731.3839309257,2101666.5619784296,2099342.193906455,2096719.3318989046,2093758.8508974367,2090420.0203849904,2086659.8250981306,2082432.7295293098,2077690.7390014802,2072383.6907101637,2066459.7477789752,2059866.0865726755,2052549.7717107562,2044458.8093798251,2035543.3605102878,2025757.0831839063,2015058.5601003666,2003412.753940284,1990792.4229651773,1977179.4230192243,1962565.8216775083,1946954.7563806777,1930360.9808922673,1912811.0622791427,1894343.2120332953,1875006.757626817,1854861.2823274473,1833975.479394032,1812425.7802981203,1790294.8245969007,1767669.8414721813,1744641.0103287974,1721299.8612173367,1697737.7664238038,1674044.5635833533,1650307.3392303989,1626609.390683648,1603029.3742241135,1579640.639056275,1556510.739735076,1533701.1146145226,1511266.9143267805,1489256.962156101,1467713.8272107844,1446673.9912868876,1426168.0910344543,1406221.2182754262,1386853.2629036524,1368079.2845730507,1349909.9012312246,1332351.6843917868,1315407.5527930243,1299077.157718155,1283357.2547253515,1268242.057839765,1253723.5733913102,1239791.9116449875,1226435.5751744735,1213641.7235874264,1201396.4147372835,1189684.822966863,1178491.4352394165,1167800.2262378186,1157594.8136662387,1147858.5950835366,1138574.8676449982,1129726.932138731,1121298.182683539,1113272.18341359,1105632.7334176702,1098363.9211322789
E,0.0,515.4433482656176,853.72964333361,1076.1866083647403,1222.7723890234142,1319.5717058070513,1383.6360075632065,1426.123077610772,1454.3399161865395,1473.0748706651127,1485.467624541371,1493.5780078936589,1498.7582109857608,1501.8965156088016,1503.5769837492871,1504.1841332383224,1503.971581539141,1503.1070777733057,1501.7020548811745,1499.8310289450078,1497.5443369155644,1494.8765018148679,1491.8517268730056,1488.4875038180678,1484.7969820346898,1480.7905232601618,1476.4767207780296,1471.8630664187551,1466.9563858652587,1461.7631214995731,1456.2895149124683,1450.5417233741994,1444.5258928442117,1438.2482023882487,1431.7148897986162,1424.9322648745685,1417.906714621521,1410.644703180034,1403.1527683417023,1395.4375158804808,1387.5056125135309,1379.3637780322904,1371.018776963999,1362.477410004702,1353.7465053858682,1395.8491672336886,1478.0219079213507,1593.6861743477,1739.8143987509397,1916.3071551906476,2125.494460905552,2371.808538695143,2661.637983428718,3003.356281810191,3407.5138631163195,3887.1868047953876,4458.483213034078,5141.217822569136,5959.7752055684205,6832.602285798557,7790.4042360684225,8855.133330552095,10044.528484119426,11374.386168829711,12859.628203131706,14514.71218616972,16353.66327013424,18389.869610473423,20635.715713975023,23102.095862153896,25797.837152680695,28729.059637581646,31898.504573777478,35304.86779712775,38942.18136711189,42799.29099027034,46859.47772547951,51100.26894891988,55493.474980822066,60005.47440020697,64597.753972107406,69227.69006261596,73849.53962434846,78415.59254501326,82877.425257992,87187.18924251413,91298.86778904716,95169.4397518716,98759.89887731607,102036.0902001078,104969.33933054584,107536.86471309271,109721.9759064248,111514.07176977239,112908.46067707648,113906.03039654011,114512.79821332623,114739.3725648849,114600.35633121488,114113.71944055914,113300.16506332776,112182.50977343303,110785.09398975823,109133.23503074744,107252.7314100544,105169.42369427449,102908.81440391426,100495.74709125143,97954.14286606132,95306.7912316171,92575.19109329664,89779.43715676364,86938.14658526992,84068.42068022967,81185.8364333944,78304.46302538327,75436.89867268065,72594.32361849723,69786.565493299,67022.17371534427,64308.50004247833,61651.782810547935,59057.23279184724,56529.118972960394,54070.85288180232,51685.07038720733,49373.710151263454,47138.08813606538,44978.9677547813
I,3146.3614938464866,2716.4859327081867,2437.4137006887267,2256.8964343671864,2140.778929874579,2066.710002604522,2020.0516084256708,1991.2114585105605,1973.9008809895533,1963.9956142123835,1958.790197250564,1956.5096319693919,1955.9893686213054,1956.4655004442407,1957.4371596844192,1958.5762383151405,1959.6681409580046,1960.5728940035617,1961.1996120904719,1961.489731887101,1961.4060017818174,1960.925251146412,1960.033641741882,1958.7235492967561,1956.9915156742936,1954.8369040182313,1952.2610153484407,1949.2665079062158,1945.8570149751968,1942.0368926744197,1937.8110527329263,1933.1848507125233,1928.1640103068298,1922.7545710244176,1916.9628509538093,1910.7954191921754,1904.2590744132026,1897.3608272918636,1890.1078853177385,1882.5076390608863,1874.5676493015924,1866.2956346611618,1857.6994595170834,1848.7871220798402,1839.5667425684603,1830.0465514594623,1829.3476543924692,1843.4223470897891,1876.2345917013815,1930.6659699530155,2009.1866039210904,2114.345331397904,2249.134457631866,2417.278622905821,2623.489297564092,2873.7188113936327,3175.441963446086,3537.9896087726765,3972.9571688164065,4494.711519209956,5101.089228747643,5795.707157810499,6585.609232700955,7480.045607374603,8489.824266077945,9626.941947881469,10904.33881041778,12335.692288327018,13935.20257835244,15717.341939619957,17696.55133135413,19886.875438645733,22301.533267993684,24952.427419549294,27849.601329620753,31000.660214406143,34410.17778279663,38079.11643490432,42004.29291031503,46177.92348526543,50587.28227215532,55214.50264879046,60036.54539783021,65025.34821395623,70148.16062264898,75368.05706640196,80644.61004817775,85934.69579546103,91193.39772470707,96374.96854629365,101433.81032194465,106325.43302697942,111007.3557874721,115439.92040252572,119586.99339408652,123416.54002408922,126901.06091804408,130017.88867506944,132749.34778784344,135082.7861260432,137010.49005004053,138529.49790871298,139641.32829969548,140351.64014654816,140669.84152020534,140608.66336051477,140183.71299683495,139413.02077426552,138316.59129793113,136915.96892599447,135233.82526581787,133293.57462914567,131119.02173408197,128734.0444393887,126162.3129808,123427.04605803276,120550.80319376274,117555.3120436075,114461.32876558845,111288.52914181072,108055.42786557176,104779.32324453005,101476.26450595522,98161.03890540019,94847.17591873033,91546.96592432514,88271.49094424874,85030.66519891428,81833.28342968208
A,376.6251351493067,315.053443221895,274.5687272057504,247.93570741911375,230.41323993375823,218.88965003403948,211.31970438697203,206.35711936817512,203.11427812306823,201.0049100884929,199.6409729369359,198.76499440671913,198.2056372230753,197.84848695589608,197.61682695462503,197.45897066836557,197.33990305875943,197.2357562200486,197.1301510022201,197.0117685917329,196.8727338878337,196.70753552348242,196.51230130666232,196.28430958863962,196.02165766653275,195.72303505302835,195.38756705466534,195.01470571448348,194.60415284528895,194.1558049532339,193.66971321318815,193.146053889816,192.58510608464132,191.98723468215601,191.35287703365907,190.6825323658631,189.97675320496805,189.23613831391856,188.46132678277917,187.65299301073438,186.8118423872391,185.93860752871672,185.03404496224084,184.09893217308647,183.1340649517783,182.14025499025422,182.20914345019807,184.02376508293662,188.0148294408606,194.47789788581613,203.65808671333255,215.81025974281872,231.24238355496175,250.3486767259615,273.63794953750255,301.7614170113494,335.5434209225925,376.0179565872613,424.47365226239685,482.5098520906637,549.7206893781462,626.4231792848412,713.3518880478289,811.500581700731,922.0383186074528,1046.2620905935312,1185.565982227903,1341.4160513761713,1515.3249427206342,1708.8228118786458,1923.4225990753546,2160.5786435983823,2421.6383827215805,2707.7875838541804,3019.990276670484,3358.925283791204,3724.9219540098607,4117.898313429338,4537.305285921527,4982.080815719682,5450.617590695341,5940.74758689826,6449.745847801109,6974.354834685351,7510.8294353648325,8055.001419123244,8602.36090474582,9148.151381754245,9687.474080355827,10215.397073711858,10727.064427472995,11217.800960502049,11683.208693832888,12119.251771463874,12522.327459291986,12889.32169281777,13217.648485215948,13505.273273714069,13750.720938074895,13953.069749510007,14111.93289406651,14227.429464750727,14300.146942715539,14331.097206343755,14321.668037446743,14273.57195634444,14188.794031903528,14069.540096556886,13918.186565401069,13737.232825467523,13529.256936236152,13296.875172837457,13042.70575423775,12769.336933044713,12479.299482741973,12175.043502155593,11858.91936475598,11533.162570271767,11199.882205838869,10861.052691073095,10518.50846349262,10173.941255118527,9828.899615466948,9484.790348325736,9142.881547721565,8804.306940616854,8470.0712686675,8141.056467602885,7818.028429467359
IH,0.0,126.46802226948225,171.2130463187753,181.94009584112854,179.94508378718191,174.29932354716135,168.55326502251188,163.85978365027313,160.3987235010655,158.00551252452647,156.43366471188403,155.45354959106123,154.88120313108647,154.57959452977929,154.45081435648075,154.4267123799923,154.4606772901196,154.52122377916325,154.58728422685718,154.64487327529304,154.6847781138331,154.70098316308642,154.6896068511323,154.64818930553497,154.57521767023857,154.4698109934664,154.33151163046074,154.1601474324157,153.9557408201979,153.71844882956316,153.4485235699949,153.14628611085539,152.81210918145024,152.44640564379853,152.04962073644197,151.62222677390508,151.16471943891594,150.6776151025304,150.16144880340093,149.61677264631777,149.0441544647605,148.44417664765118,147.8174350667772,147.1645380650158,146.48610548087504,145.78276769481442,145.05516468919683,144.6702332364295,145.04718317918196,146.55093962751818,149.47629847136508,154.06712341330154,160.54546339634132,169.1404939003379,180.11432169363192,193.78486972006954,210.54731127640588,230.89590131233655,255.44809170426709,284.97277821819733,320.4245280627375,362.1845317324358,410.5851167014006,466.0723974283183,529.2369724054093,600.8029166152157,681.6075480960131,772.5816435396325,874.7314495403587,989.1212379204471,1116.8546734389042,1259.0534822837494,1416.8323202913402,1591.2691876195734,1783.3711943723342,1994.035954849221,2224.00937890695,2473.841124339275,2743.839444205997,3034.027564278087,3344.1040083691983,3673.409405983345,4020.902232193781,4385.145629085386,4764.3069520193585,5156.171009169785,5558.167178110611,5967.409761644275,6380.750163235042,6794.838790233876,7206.194084972118,7611.2757731847705,8006.55931674551,8388.608652851442,8754.144567128787,9100.106444840458,9423.7056282336,9722.46913474048,9994.273019994464,10237.365168080523,10450.377734064266,10632.329834191867,10782.621368791522,10901.019070249942,10987.635997302863,11042.905754968899,11067.552716932743,11062.559475427455,11029.132654276407,10968.668104800221,10882.71637178913,10772.949176340626,10641.127521212642,10489.071888069337,10318.634868780802,10131.676457657773,9930.04212990612,9715.54374448261,9489.943236981386,9254.939009664813,9012.154880343902,8763.131418308267,8509.319472538551,8252.0756835736,7992.659764222691,7732.233334440352,7471.860100843754,7212.5071803952105,6955.047379672527
IN,303.40753886881765,549.68583334235,708.1384359426493,809.8443830843904,874.9923995226984,916.6762038704952,943.3687184543113,960.5359164740073,971.6895752240607,979.0738076338303,984.1124702205643,987.7004276087462,990.392883208053,992.5282010333776,994.307369350784,995.8452326241486,997.2033711476947,998.4110764340368,999.4786268065369,1000.4056010733586,1001.1860100151024,1001.8113999160172,1002.2726744558933,1002.5611156412676,1002.6689117900761,1002.5893886259073,1002.3170671730709,1001.8476255627055,1001.1778120372416,1000.3053374814344,999.2287638683276,997.947397584208,996.4611920608127,994.7706614411851,992.8768054565904,990.7810448578964,988.4851663459807,985.9912758045814,983.3017586442305,980.4192461486421,977.3465868334104,974.0868219565449,970.6431644474004,967.0189806377671,963.2177742830847,959.2431724520894,955.0989129401598,951.6675892680473,950.2395968185218,952.2446094940566,959.1209793851164,972.2744251718602,993.0917673917407,1022.9872509270739,1063.4680011925198,1116.2116967100997,1183.1541129196075,1266.5873381648173,1369.271664567166,1494.5658038946995,1646.5814646295044,1828.4475306525214,2043.0525200398474,2293.420320261041,2582.897448458258,2915.2425263317527,3294.66331720602,3725.8231312289286,4213.826146036793,4764.184805484199,5382.76918165085,6075.7366179816945,6849.439425150726,7710.308549060805,8664.711821755003,9718.786563784279,10878.247867114254,12148.1757654274,13532.786567602554,15035.19571909375,16657.181457439445,18398.960018972004,20258.984023904995,22233.77575156435,24317.80622573896,26503.429363937976,28780.878003362744,31138.3255872147,33562.01392714172,36036.44403122111,38544.62377751281,41068.363460790024,43588.608125499355,46085.79423046452,48540.217605403195,50932.39982367032,53243.44094309088,55455.3479326322,57551.32986139965,59516.05292715392,61335.85050095879,62998.885436388344,64495.26383255453,65817.10117225391,66958.54322764346,67915.7453077101,68686.81430671748,69271.71860991063,69672.1712438705,69891.49175466443,69934.45219320315,69807.1123220828,69516.64876954422,69071.18237985806,68479.60747794455,67751.42620772729,66896.59054243537,65925.35402003703,64848.13474300841,63675.39070941837,62417.508118914564,61084.702926566475,59686.935601000565,58233.83878011047,56734.65730549913,55198.19995220462,53632.80204888543,52046.298100738975,50446.003478044935
D,10173.0,10173.0,10174.762860114986,10177.149429028648,10179.685524181554,10182.19381050883,10184.623399586262,10186.972893338334,10189.25696382401,10191.492789980539,10193.69525674628,10195.875813247543,10198.042707750908,10200.201624215808,10202.356336505107,10204.509253704808,10206.661834942799,10208.814889623676,10210.968788272765,10213.12360775011,10215.27922997138,10217.435408433248,10219.591812780161,10221.748058550651,10223.903726994653,10226.058378274132,10228.211560271315,10230.362814489232,10232.511680031304,10234.657696313483,10236.800404940663,10238.939351031942,10241.074084181859,10243.204159180494,10245.32913657288,10247.448583110314,10249.562072127765,10251.66918386961,10253.769505778017,10255.862632753151,10257.948167391063,10260.025720202935,10262.094909817972,10264.155363171338,10266.206715678001,10268.248611392964,10270.280703158216,10272.302652736573,10274.319236687375,10276.341075010054,10278.383874459647,10280.467451003205,10282.615019867035,10284.852891456901,10287.21057069609,10289.721216060458,10292.422417609965,10295.357273795002,10298.575772573056,10302.136508672458,10306.108794595513,10310.575248725567,10315.623802927637,10321.347021438145,10327.843686961796,10335.220814660068,10343.595512703592,10353.09656078713,10363.865712866258,10376.058749145684,10389.846284903148,10405.414319594529,10422.964488615307,10442.713964745672,10464.894947200542,10489.753673480582,10517.54889309082,10548.549752905617,10583.033061576472,10621.279924548764,10663.571771015997,10710.185827841833,10761.390130808046,10817.438197696376,10878.563517672124,10944.974034343062,11016.846813366576,11094.32308803971,11177.50386741624,11266.446271706334,11361.1607305562,11461.609143564352,11567.704061820605,11679.308907254883,11796.239205910397,11918.264774281615,12045.112766413238,12176.471464756669,12311.99468042221,12451.306618484246,12594.00706096374,12739.676723249357,12887.882648017749,13038.18351305018,13190.134744569426,13343.29334474396,13497.222359839243,13651.494933293565,13805.697905072015,13959.434934482422,14112.329137850882,14264.025244821374,14414.191287453723,14562.519844736444,14708.72887167373,14852.562146875285,14993.78937574026,15132.205988072874,15267.632669499584,15399.914665578506,15528.920896197074,15654.542915926193,15776.69375360438,15895.306661710529,16010.33380317578,16121.744900290769,16229.525867371989,16333.677445930478,16434.21385829154
R,0.0,118.700936322697,336.3895121255375,599.4718670807741,882.6672537061229,1174.2760904385764,1469.0515454242632,1764.767518769197,2060.5784152240267,2356.2439055188825,2651.7687972729213,2947.240395096314,3242.758595640811,3538.4086472910353,3834.2528884125572,4130.330433224576,4426.6597931282995,4723.242248313448,5020.065087292408,5317.104414462328,5614.327472926702,5911.694524482559,6209.160356647045,6506.675487313952,6804.187128719827,7101.63996134802,7398.976758100601,7696.13889041227,7993.066741040426,8289.700042826184,8585.978158500437,8881.840313344062,9177.225789983637,9472.074092641215,9766.325086626843,10059.91911766481,10352.797114703531,10644.900679116568,10936.172162614888,11226.554735724556,11515.992448313624,11804.430283357153,12091.814204894335,12378.091200944342,12663.209321998125,12947.11771558438,13229.766657312968,13511.285908223865,13792.26494381264,14073.814397175813,14357.543284549549,14645.517634335896,14940.230692544446,15244.59723376463,15561.976357784139,15896.224033739876,16251.776158777364,16633.7637464474,17048.163400132307,17501.988160235815,18003.526038613054,18562.246008887323,19188.446944576182,19893.256404527066,20688.754892776717,21588.136874988275,22605.875444284018,23757.878890653807,25061.634564083077,26536.336907671506,28202.995952690486,30084.52136703887,32205.77591771174,34593.59120068616,37276.73784945207,40285.84226568392,43653.24231997437,47412.77552739962,51599.49495859771,56249.31059675936,61398.55692249973,67083.49105630523,73339.72959636785,80201.63608773175,87701.67454766626,95869.74735702778,104732.5378516188,114312.87892366361,124629.16877419676,135694.8536444779,147517.99499620855,160100.9353846328,173440.0734114013,187525.75392181825,202342.27529400474,217868.01150619707,234075.64287595125,250932.4861056763,268400.91165307787,286438.8345299384,305000.2634270275,324035.8925350394,343493.7205181295,363319.68171290244,383458.27567390166,403853.182564341,424447.8534973571,445186.0666746199,466012.44196215074,486872.9083164995,507715.12017020106,528488.820459207,549146.1493949848,569641.899329913,589933.7171262271,609982.2563142446,629751.2820198425,649207.7321642976,668321.7388054715,687066.6137142438,705418.8023817333,723357.8106493142,740866.1080626008,757929.0118894711,774534.5555266675,790673.3447639262,806338.4050916795,821525.022939233,836230.583424332
G,569998.0,569998.0,570090.0710447246,570242.5684635747,570434.802247722,570653.2199102964,570888.9283464444,571136.0802655902,571390.8214356978,571650.6028373173,571913.7307693313,572179.0723564449,572445.8626604172,572713.5782779321,572981.8544749682,573250.4308455496,573519.115668181,573787.7625237748,574056.2549574225,574324.4964189199,574592.4036684942,574859.9024578084,575126.9247051986,575393.4066523019,575659.2876652145,575924.5094588407,576189.01559895,576452.7511862863,576715.6626598218,576977.6976777659,577238.8050490979,577498.9346977014,577758.0376473018,578016.0660194465,578272.9730394179,578528.7130467241,578783.2415079606,579036.5150306016,579288.491376778,579539.1294764334,579788.3894394676,580036.2325666223,580282.6213589618,580527.5195258636,580770.8919914794,581012.7048996534,581262.0383938919,581526.0499902117,581810.7221108802,582121.4963790103,582463.7966577609,582843.4630095146,583267.1272022508,583742.5621664176,584279.0365461465,584887.7035555202,585582.0521223629,586378.4484842366,587296.7982847976,588361.3628608005,589581.8361344538,590973.3967380673,592555.1445279303,594349.347973197,596381.0971871271,598678.1476921245,601270.8374985851,604192.0098590793,607476.8994848374,611162.9532690537,615289.5640954643,619897.7015877266,625029.4285635139,630727.2974973927,637033.6279076692,643989.6732895442,651634.6947030551,660004.9667881386,669132.7500133202,679045.2694668542,689763.7446121959,701302.5154879503,713668.3084880472,726859.6791566504,740866.6608212779,755670.6371520548,771244.4448792523,787552.7010004867,804552.3378631697,822193.3203244187,840419.5123122273,859169.6557930281,878378.4233789283,897977.5063527102,917896.7023688663,938064.9710403972,958411.4305578583,978866.2739490946,999361.58917361,1019832.0726296861,1040215.6305932228,1060453.867442996,1080492.463167263,1100281.4455605007,1119775.364722046,1138933.379009568,1157719.2625507722,1176101.3448599346,1194052.3931297308,1211549.4474599857,1228573.6187245136,1245109.8580381277,1261146.7059315296,1276676.0284253634,1291692.7462594626,1306194.562613107,1320181.693772327,1333656.6063790007,1346623.764145444,1359089.3862440188,1371061.2189865364,1382548.3218922196,1393560.8688027493,1404109.9643337713,1414207.4756484665,1423865.879294035,1433098.1226496282,1441917.4993878247,1450337.5382448728
H,1509539.573323483,1509539.573323483,1509539.573323483,1509539.573323483,1509539.573323483,1509539.573323483,1509539.573323483,1509539.573323483,1509539.573323483,1509539.573323483,1509539.573323483,1509539.573323483,1509539.573323483,1509539.573323483,1509539.573323483,1509539.573323483,1509539.573323483,1509539.573323483,1509539.573323483,1509539.573323483,1509539.573323483,1509539.573323483,1509539.573323483,1509539.573323483,1509539.573323483,1509539.573323483,1509539.573323483,1509539.573323483,1509539.573323483,1509539.573323483,1509539.573323483,1509539.573323483,1509539.573323483,1509539.573323483,1509539.573323483,1509539.573323483,1509539.573323483,1509539.573323483,1509539.573323483,1509539.573323483,1509539.573323483,1509539.573323483,1509539.573323483,1509539.573323483,1401715.3180860914,1293891.0628486997,1186066.807611308,1078242.5523739164,970418.2971365247,862594.041899133,754769.7866617413,646945.5314243496,539121.276186958,431297.02094956633,323472.7657121747,215648.51047478308,107824.25523739144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
