series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
S,2170554.3898562696,2167734.707318882,2165228.7301979433,2162941.0617378526,2160806.609089278,2158780.8580809827,2156833.3346499247,2154943.1754325177,2153096.1109985407,2151282.403251817,2149495.4312258735,2147730.719411034,2145985.269069463,2144257.0974850906,2142544.9201700618,2140847.931491742,2139165.65313528,2137497.829365663,2135844.3546034675,2134205.223329302,2132580.495428557,2130970.2722208234,2129374.67988855,2127793.8580337386,2126227.951791633,2124677.106413982,2123141.4635687172,2121621.1588340285,2120116.32002476,2118627.0660997555,2117153.506475478,2115695.7406243715,2114253.857873289,2112827.937342886,2111418.0479866373,2110024.248700475,2108646.5884826314,2107285.1066292515,2105939.832955502,2104610.788034823,2103297.983451005,2102001.4220592054,2100721.098253023,2099456.998235476,2534289.3906999594,2968850.337195268,3403145.651324203,3837172.8981632027,4270919.740108209,4704363.130180495,5137468.794311442,5570190.624717738,6002469.736230233,6434233.0210513715,6865391.082678281,7295835.445379511,7725434.929685543,8154031.063404893,8581432.366723964,9007407.312849335,9404762.681168394,9390947.01301305,9375448.34720048,9357975.231999842,9338249.077095266,9315990.307344293,9290911.805518936,9262716.773268128,9231099.504832339,9195748.286839603,9156349.997939626,9112596.139153665,9064190.065302856,9010855.159894606,8952343.63311341,8888445.549525436,8818997.628883466,8743891.326586517,8663079.701997276,8576582.629050221,8484489.993417025,8386962.645908685,8284231.029110194,8176591.546677309,8064400.885446633,7948068.615483877,7828048.473149922,7704828.773475975,7578922.402066329,7450856.808836664,7321164.373996833,7190373.449482174,7059000.304771734,6927542.1316694915,6796471.193433224,6666230.14311799,6537228.486063057,6409840.122696941,6284401.879904953,6161212.921094436,6040534.915433711,5922592.844006623,5807576.323292203,5695641.33302922,5586912.244903951,5481484.059545354,5379424.771162781,5280777.791145067,5185564.373555025,5093785.996347306,5005426.662081181,4920455.090764095,4838826.785195613,4760485.955791934,4685367.297407591,4613397.615210355,4544497.300301933,4478581.658613248,4415562.098743535,4355347.185958763,4297843.5706129465,4242956.799893512,4190592.0220978064,4140654.592691387,4093050.591239837,4047687.2579953466,4004473.3584999596,3963319.484074227,3924138.2955215457
E,0.0,2819.682537387393,4757.114911001641,6085.585780864459,6992.975529900865,7608.702731268344,8022.050625024272,8294.689187125101,8469.25967701453,8575.274079097691,8633.176619418406,8657.14380977798,8657.016918940446,8639.636856450885,8609.766941553145,8570.731189674083,8524.856062894738,8473.776348877534,8418.647050411226,8360.290222059366,8299.296759198136,8236.09697822066,8171.009566113015,8104.2755320769265,8036.081756347572,7966.577321187206,7895.884832576679,7824.108264665393,7751.338390193073,7677.656535000537,7603.137169229267,7527.84969130421,7451.859652137736,7375.229591526576,7298.01960627954,7220.287733169471,7142.090204463549,7063.481616162461,6984.515036818122,6905.24207626779,6825.712927684299,6745.976392208744,6666.079892554816,6586.069479971464,6505.989837557236,6713.502967888164,7144.8066974131325,7757.212086284388,8526.540430151408,9444.197655736232,10514.549639704916,11752.915662880814,13184.303499278441,14842.901126024559,16772.291756328854,19026.349960784308,21670.791086102254,24785.372732263335,28466.778252591543,32832.24329884929,38024.01400333505,44172.736271280126,50764.662814803574,58001.880175747654,66032.86590023967,74977.14419319169,84937.6811642716,96006.36254558509,108265.45416136557,121786.64183544114,136628.56504823518,152833.41717734878,170423.03016786074,189394.805209363,209717.84082370266,231329.61194933142,254133.54553582746,277997.8053270778,302755.53381603654,328206.7031224397,354121.6061127619,380245.887353886,406306.88642136037,432020.95951694524,457101.37198355224,481266.3214801756,504246.66039167286,525792.9318266682,545681.4073892648,563718.9056932676,579746.2670541279,593640.4521152375,605315.3129322447,614721.1496173241,621843.2120315172,626699.3343726995,629336.9025683273,629829.3528277432,628272.3876439823,624780.0760817457,619480.9812074216,612514.4314464882,604027.0264380802,594169.4430442802,583093.5845543024,570950.096399533,557886.2551431115,544044.2241602731,529559.6591379754,514560.6390302871,499166.89307492314,483489.29153900006,467629.5666475304,451680.230301735,435724.6563909846,419837.29745462217,404084.00791154185,388522.44884099986,373202.5522019202,358167.02529033006,343451.87905797537,329086.96657972515,315096.5204163303,301499.67984462297,288311.00090650324,275540.94395977573,263196.33490534563,251280.7975297825,239795.15545709876
I,4405.924934781689,3847.962631956643,3453.2546827256933,3172.154816387735,2970.278346359641,2823.764766119576,2716.0251707981542,2635.5033987521156,2574.1319077402577,2526.2651023294256,2487.9414733312424,2456.372553878244,2429.5885432542136,2406.1922683097587,2385.188138737992,2365.863065766796,2347.703421654106,2330.3370218380323,2313.492499060024,2296.970780474763,2280.6249987874744,2264.3462900392096,2248.053707704988,2231.6870214984488,2215.2015430541474,2198.5643801916813,2181.7517018238727,2164.746721023345,2147.538191112705,2130.1192705361195,2112.486654775508,2094.639903291531,2076.580910283705,2058.313482674162,2039.8429990012862,2021.1761301672882,2002.320608125669,1983.285032253157,1964.0787057672705,1944.7114964332359,1925.1937171679872,1905.5360231452396,1885.7493227399857,1865.8447001976456,1845.833348324972,1825.7265098137527,1814.9804303196072,1819.7586490827957,1844.0423139743712,1890.5144083597365,1961.2359274332252,2058.150233261819,2183.457646548283,2339.9010624900206,2530.9987049558704,2761.254466275548,3036.37103718847,3363.4869270029567,3751.45576123799,4211.184899465799,4756.050261681538,5402.405022043639,6168.8216365392145,7054.649804041211,8065.957822601816,9212.921306101125,10508.352249402518,11966.82141427568,13604.071736320198,15436.55397732681,17480.98965407313,19753.90832608597,22271.13183740866,25047.1952994468,28094.707769016153,31423.66674123471,35040.75040007983,38948.61988352728,43145.27000313649,47623.47013337681,52370.336686510745,57367.07437247133,62588.91543498961,68005.27488837072,73580.12652713309,79272.59049752695,85037.70992962467,90827.38281080897,96591.40690020306,102278.59058825856,107837.88131151823,113219.46517009659,118375.79620662614,123262.52065961368,127839.2696110015,132070.3020511922,135924.98883001122,139378.13573388764,142410.15066608315,145007.06539404445,147160.42648148147,148867.0728628059,150128.81914181614,150952.06425419,151347.34480231462,151328.85133914975,150913.9243289393,150122.54461630253,148976.83114078164,147500.5564668743,145718.68856093677,143656.96521332127,141341.50563209117,138798.46205982665,136053.712807341,133132.59686433792,130059.68923361019,126858.6153311274,123551.90218277475,120160.86370972787,116705.51710687511,113204.52716026056,109675.17529864839,106133.35021062664,102593.55696347119,99068.94171651622,95571.32931534869,92111.27127117872,88698.10186168485
A,22647.1396732987,20359.89909837921,18779.60787771647,17685.94787333965,16926.981851652297,16397.830827876016,16026.053332479769,15761.594723963797,15569.86523870371,15426.966155462045,15316.393892108055,15226.762537493896,15150.22903083933,15081.403582406896,15016.595458510847,14953.29069763241,14889.790314428421,14824.959608780391,14758.054424336704,14688.600720057037,14616.311089781679,14541.026894429839,14462.67815217147,14381.255741955198,14296.792145219217,14209.348107525577,14119.003403899587,14025.850447873403,13929.98987009145,13831.5274600849,13730.572050655857,13627.234053310756,13521.624442735792,13413.854050475265,13304.033071124837,13192.270714294149,13078.674956359997,12963.352360423527,12846.40794284884,12727.945071648448,12608.06538673328,12486.868735314913,12364.453117989717,12240.914642564578,12116.34748372124,11990.843847313776,11913.042730027331,11915.901317522268,12021.842586511326,12246.943651573036,12604.2072818419,13106.059977090426,13766.25905516299,14601.393622222946,15632.148155824076,16884.474769453176,18390.798345996474,20191.361494327764,22335.805272270383,24885.076987306646,27913.757464712096,31512.905795869916,35786.43705288654,40741.05311619726,46416.890347088236,52875.09391622684,60190.80882682855,68448.97107114462,77741.44847282144,88164.71680993796,99817.60857777708,112798.87280653359,127204.40745974626,143124.11045502225,160638.3618307748,179814.20763333826,200701.3686549612,223328.24303885066,247698.10747648362,273785.7429046901,301534.7134095332,330855.50923238,361624.7265257179,393685.4006722941,426848.54179820395,460895.84742974956,495583.4954636556,530646.8575768853,565805.9242531955,600771.2010606612,635249.8227809316,668951.6365569591,701595.024914235,732912.2708435713,762654.3062025442,790594.7276458052,816533.0076964721,840296.8696253992,861743.8314510379,880761.9552809835,897269.8627194734,911216.0950457302,922577.9086321256,931359.602222048,937590.4740119714,941322.5038553458,942627.850214992,941596.2435805448,938332.3487032413,932953.1578453175,925585.4668472324,916363.4756224,905426.5450292662,892917.1331813042,878978.9262899229,863755.1721761939,847387.2186606044,830013.2541274222,811767.2436106089,792778.0506876062,773168.7332074132,753055.9993242775,732549.8093600604,711753.1085808965,690761.6759561681,669664.0742860825,648541.6876625745,627468.8330000137,606512.9332794623
IH,0.0,180.77414576072664,250.35894315019368,269.7613637708838,268.1535118950093,259.0480420305779,248.37857462623293,238.49990777787326,230.14252883929657,223.3491206445679,217.9098807138837,213.55494141065873,210.0318374908995,207.13059587430013,204.6864758031437,202.5743526858819,200.7009591833397,198.99750887987994,197.41354234605456,195.9121121238179,194.46614924165004,193.0557802062877,191.666371753669,190.28711678802506,188.91001553319973,187.52914202337905,186.14011517810513,184.7397160021199,183.32560900355668,181.89613797592162,180.4501749530669,178.98700732243088,177.50625246056734,176.00779234900426,174.49172281071844,172.95831354573232,171.40797622902542,169.8412386998138,168.258723813151,166.66113190937807,165.04922613092918,163.4238200121194,161.78576690874797,160.13595093671717,158.4752791636712,156.8046748528285,155.12507159928157,153.82493470939585,153.35587842696447,154.11227878706183,156.40596730645458,160.48102850973606,166.54206341576725,174.78401758952933,185.41915891004564,198.7004283271703,214.94201550607988,234.53862929886844,257.9850807444875,285.8977605834498,319.0395198364779,358.34941809362994,404.9788133154983,460.278724700384,524.9136057458517,599.4723490891688,684.6737152947217,781.4110710571529,890.7392674203841,1013.8438593364116,1152.0063073613505,1306.5682430965207,1478.8942036274716,1670.3314062890333,1882.165413862546,2115.5712231659577,2371.5601174413123,2650.9234390476918,2954.1751975838906,3281.4960703322085,3632.681814611048,4007.0993360360517,4403.653598493942,4820.768203288411,5256.381823426724,5707.9618071167515,6172.535244782916,6646.7367269353745,7126.87101002978,7608.987946790479,8088.966396329239,8562.603448305246,9025.705184020635,9474.175337784798,9904.09857495085,10311.8156162684,10693.988053751596,11047.65136466342,11370.255287443548,11659.691336020609,11914.307767482404,12132.912763990835,12314.766934468138,12459.566484529676,12567.418550304028,12638.810253483867,12674.573024180077,12675.8436690914,12644.023549368805,12580.737088743852,12487.790670008508,12367.132807065711,12220.81630894516,12050.9629879822,11859.731311642248,11649.287259540459,11421.778526022528,11179.312105098263,10923.93520853604,10657.619398847051,10382.247765546515,10099.604933992323,9811.369669605367,9519.109824634006,9224.279368113423,8928.217240639415,8632.147782494081,8337.182495141937,8044.322910934249
IN,377.1881570643199,721.2206575588395,987.245192434932,1196.094922167199,1362.5215447008275,1497.036402749,1607.184187914997,1698.4262324948381,1774.7544909094058,1839.11935947553,1893.7285727959568,1940.256658781192,1979.9922320074593,2013.9420017728023,2042.904574428211,2067.5231253044612,2088.3232461948173,2105.7403569223447,2120.1397405034277,2131.831339224039,2141.0808082841295,2148.117878009212,2153.142765163732,2156.331157249087,2157.8381421817385,2157.801349574373,2156.343495221811,2153.5744677717867,2149.5930593045814,2144.4884150422877,2138.3412584479347,2131.2249343196954,2123.2063025747416,2114.346508159704,2104.7016471558163,2094.323345130097,2083.2592607416054,2071.5535252771074,2059.2471269742437,2046.378247557679,2032.9825572682107,2019.0934737367713,2004.7423892940824,1989.9588706753173,1974.7708345500514,1959.204701860465,1943.285533569646,1927.845730315106,1914.1721792045082,1903.7794704686507,1898.278746906554,1899.3159687324364,1908.5587825595587,1927.7166131681222,1958.583440537452,2003.0967426068773,2063.4092638826687,2141.9727213349574,2241.6344434952007,2365.7494252435968,2518.3115215748526,2704.108622143416,2928.9077345457376,3199.5589088985625,3522.254389240346,3903.161610695565,4348.777004671972,4866.122778109212,5462.8512634766685,6147.289878356645,6928.442380505641,7815.952595232415,8820.031718746583,9951.347857998288,11220.875710951144,12639.704728379107,14218.80545287239,15968.755807215639,17899.43171001671,20019.669302449347,22336.909000922973,24856.834238167583,27583.01980919913,30516.605926484037,33656.01421607327,36996.720868214456,40531.10003010428,44248.347451688365,48134.49062019944,52172.48745824234,56342.41144601707,60621.717073697,64985.57609745242,69407.27235369252,73858.64099296428,78310.53696224373,82733.3173589661,87097.32281579528,91373.34422904035,95533.06277281532,99549.45309677627,103397.14174467468,107052.71502544613,110494.97270918456,113705.12592055967,116666.93939828084,119366.81983904494,121793.85332540829,123939.79584308216,125799.0216314717,127368.43459917887,128647.34829811534,129637.34001472726,130342.084435727,130767.17211012541,130919.91758967588,130809.16171439286,130445.07204411949,129838.9449435141,129003.01232525212,127950.25556028044,126694.22858697896,125248.89180246538,123628.45790574036,121847.25048829119,119919.57583554753,117859.60811296134,115681.28786289212,113398.23353131622
D,10173.0,10173.0,10175.227263132427,10178.311859337295,10181.635506850891,10184.939344511755,10188.130996454649,10191.191193142742,10194.129677788573,10196.96519371664,10199.71701013363,10202.401811333842,10205.032956654708,10207.620694886362,10210.172687804637,10212.69456746472,10215.190424299855,10217.663199624838,10220.114987258008,10222.547259322462,10224.96103272293,10227.356990855595,10229.735572261392,10232.097035189272,10234.441504737251,10236.769007440544,10239.079496822345,10241.372872427897,10243.648994142179,10245.907693075287,10248.148779931706,10250.372051518589,10252.577295863211,10254.764296278658,10256.932834623945,10259.082693938697,10261.213660585427,10263.32552599877,10265.41808811671,10267.491152551236,10269.544533543016,10271.578054735164,10273.591549794104,10275.584862900196,10277.55784912672,10279.510374722662,10281.442317312252,10283.353566022262,10285.24879614206,10287.138247162415,10289.037017560982,10290.964047796459,10292.941285618546,10294.993199603721,10297.146660193323,10299.431153116513,10301.879280510773,10304.527515548652,10307.417194490125,10310.595750011107,10314.118209149892,10318.048997799613,10322.46411172029,10327.453732202335,10333.124686031777,10339.591986523601,10346.977902559422,10355.413558650622,10365.041086207244,10376.01561313742,10388.506874210378,10402.700392680137,10418.798221634623,10437.019226207145,10457.598870185037,10480.788456382694,10506.853764392052,10536.073033517538,10568.734252951503,10605.131744841849,10645.562057406181,10690.319222450302,10739.68947161713,10793.945544943506,10853.340760138573,10918.10303793009,10988.429095015279,11064.479019778917,11146.371436421558,11234.179441174712,11327.9274617097,11427.589150377476,11533.086376752144,11644.289338414243,11761.017764103675,11883.043142915936,12010.091879082576,12141.849245328227,12277.963989396747,12418.05343803688,12561.708939983357,12708.501493350093,12857.987412226808,13009.713900891187,13163.22442066293,13318.063752853308,13473.782680451452,13629.942230243381,13786.117435263848,13941.900594291072,14096.904020132786,14250.762281488343,14403.133954102801,14553.702905755372,14702.179146428123,14848.29927992265,14991.826596414985,15132.550847168372,15270.287743076828,15404.878218106385,15536.187497243649,15664.104006446996,15788.538159499709,15909.42105374197,16026.703103543481,16140.352637183118,16250.354479618594,16356.708540530944,16459.428424071855
R,0.0,2320.3962314892924,4526.103553309647,6628.724267694532,8648.487240776927,10605.462425876522,12516.485084191638,14394.562545640163,16249.248101878098,18087.30035887149,19913.34394703981,21730.430897704427,23540.4820327642,25344.61913662257,27143.408174514283,28937.034131143653,30725.42505747871,32508.339210827897,34285.42577403129,36056.2668588509,37820.406354841434,39577.369588830006,41326.676597695805,43067.85098291852,44800.42572270809,46523.94689948936,48237.97600717455,49942.0912976216,51635.88848280657,53318.981009943804,54991.0000579432,56651.59435597591,58300.42989206987,59937.18955706515,61561.57275378106,63173.29499069436,64772.087472278225,66357.69669334864,67929.88404157483,69488.42541022447,71033.11082188228,72563.74406305689,74080.14232911078,75582.13587869321,77069.56769675009,78542.29316517188,80000.17974018576,81448.00980522894,82894.15236748666,84349.56917526138,85827.16658338471,87341.45424730956,88908.45772823977,90545.83600632344,92273.16655150142,94112.3746141943,96088.29720727666,98229.38490507565,100568.55600868874,103144.22817442445,106001.56279555483,109193.96780395923,112784.91557994884,116849.42848260936,121464.45109802549,126711.84223811785,132680.45856227432,139467.65923728858,147180.4241242896,155936.18613110005,165863.4181624507,177101.976249596,189803.1760323571,204129.56559530596,220254.35141233666,238360.43468697154,258639.02213519908,281287.7878284871,306508.5804907553,334504.69261588884,365477.7324454694,399624.165280163,437131.61457266775,478175.03351460455,522912.87238907814,571483.3743396482,624001.1316394616,680554.0260554996,741200.6612685967,805968.3739191802,874851.8844967724,947812.621947393,1024778.7284611745,1105645.7251243475,1190277.7963339337,1278509.6320351243,1370148.7524945722,1464978.2306344816,1562759.7217723024,1663236.709546157,1766137.8792979096,1871180.5355805764,1978073.988067873,2086522.8392998958,2196230.117780173,2306900.2104002386,2418241.558550739,2529969.0922173094,2641806.3855795013,2753487.525939948,2864758.695090646,2975379.4684187532,3085123.8421619628,3193781.0032799747,3301155.859480205,3407069.3491095924,3511358.551999721,3613876.623035058,3714492.5703102755,3813090.899355609,3909571.144135961,4003847.3044590475,4095847.2081398256,4185511.814832592,4272794.476918314,4357660.1712731505,4440084.714185939,4520053.970170475,4597563.063958128
G,569998.0,569998.0,570090.5945180358,570246.8116653864,570446.653979148,570676.293731227,570926.1531224663,571189.5862931988,571461.9725414217,571740.0914457717,572021.6917180899,572305.1934306386,572589.4821929388,572873.7667883174,573157.4806462146,573440.2136169598,573721.6647070026,574001.6093206255,574279.8765463021,574556.3334012177,574830.8738977051,575103.4114522932,575373.8736125125,575642.1983911386,575908.3317153594,576172.225649254,576433.8371525597,576693.1272112257,576950.0602255706,577204.6035767655,577456.7273166109,577706.4039424048,577953.6082303947,578198.3171094302,578440.5095620826,578680.1665444198,578917.2709183584,579151.8073924053,579383.7624679258,579613.1243889835,579839.8830944387,580064.0301714268,580285.5588096459,580504.4637560912,580720.7412700178,580934.3890780128,581154.8513333912,581389.4770133512,581644.2132486922,581924.2131746322,582234.3477087766,582579.6311381495,582965.580814005,583398.5353086924,583885.955880971,584436.7350027129,585061.534313004,585773.1734530369,586587.091194503,587521.9012581825,588600.0672233156,589848.7238375768,591299.2960814834,592966.3381772728,594871.0405928222,597039.4695955501,599501.6164642904,602290.8537440915,605443.5713817716,608998.8608213014,612998.1675710609,617484.8627797661,622503.703168945,628100.1623913427,634319.6287583247,641206.4758189778,648803.0238848838,657148.4219407319,666277.4896488735,676219.5672993402,686997.4265401548,698626.295751247,711113.0506280052,724455.6130703982,738642.5905040014,753653.1743804194,769457.3021478007,786016.0728147267,803282.3935666494,821201.8246544938,839713.5825166773,858751.65700526,878245.9975281126,898123.7245124382,918310.3263090983,938730.8068945649,959310.7558959764,979977.319029519,1000660.0535560544,1021291.659475423,1041808.5826595376,1062151.4908155743,1082265.627005642,1102101.0484234942,1121612.7602849535,1140760.7561021014,1159509.976376948,1177830.1979724057,1195695.8662021926,1213085.8811272494,1229983.3487461945,1246375.3068020581,1262252.4338658054,1277608.749255531,1292441.3102536371,1306749.9120270216,1320536.7946621454,1333806.3608145167,1346564.9066506228,1358820.3680341905,1370582.0832781366,1381860.5732457812,1392667.339134593,1403014.6779061926,1412915.5150298749,1422383.2539754426,1431431.6417165417,1440074.6493800685,1448326.367093114
H,7386451.892322827,7386451.892322827,7386451.892322827,7386451.892322827,7386451.892322827,7386451.892322827,7386451.892322827,7386451.892322827,7386451.892322827,7386451.892322827,7386451.892322827,7386451.892322827,7386451.892322827,7386451.892322827,7386451.892322827,7386451.892322827,7386451.892322827,7386451.892322827,7386451.892322827,7386451.892322827,7386451.892322827,7386451.892322827,7386451.892322827,7386451.892322827,7386451.892322827,7386451.892322827,7386451.892322827,7386451.892322827,7386451.892322827,7386451.892322827,7386451.892322827,7386451.892322827,7386451.892322827,7386451.892322827,7386451.892322827,7386451.892322827,7386451.892322827,7386451.892322827,7386451.892322827,7386451.892322827,7386451.892322827,7386451.892322827,7386451.892322827,7386451.892322827,6950371.601915089,6514291.311507352,6078211.021099614,5642130.730691876,5206050.440284139,4769970.149876401,4333889.859468663,3897809.569060925,3461729.2786531867,3025648.9882454486,2589568.6978377104,2153488.407429972,1717408.117022234,1281327.8266144958,845247.5362067576,409167.2457990195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
