series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03
S,19829443.9616351,19828920.269292224,19828436.482614327,19827965.967537325,19827493.17510173,19827008.786314745,19826506.97939227,19825983.888449028,19825436.731992844,19824863.31852844,19824261.764820755,19823630.33429077,19822967.34340137,19822271.106595896,19821539.903135754,19820771.956392765,19819965.42022555,19819118.369375713,19818228.792129196,19817294.5842337,19816313.54348909,19815283.36467211,19814201.634597603,19813065.82720023,19811873.298568416,19810621.281890534,19809306.882290337,19807927.071539037,19806478.6826381,19804958.404271316,19803362.77512784,19801688.178100567,19799930.834366195,19798086.79735546,19796151.946623918,19794121.981635697,19791992.415474683,19789758.56849984,19787415.561963722,19784958.31161572,19782381.521314304,19779679.67667531,19776847.03878641,19773877.638021134,19770765.267989013,19767503.47966228,19764085.575722907,21255995.87266428,22747444.94827252,24238384.239030533,25728765.74568686,27218527.05525358,28707591.04630924,30195864.908329286,31683238.50364037,33169582.0815157,34654743.32779779,36138543.70504076,37620774.00961056,39101189.04414319,40579501.27629052,40559882.09731531,40538252.571803674,40514326.388548195,40487828.8984534,40458482.26537729,40425997.38483295,40390069.58569382,40350376.531894274,40306577.51111612,40258313.709083624,40205209.28642749,40146873.18782214,40082901.666744605,40012881.52835641,39936394.09077971,39853019.84865296,39762343.796721436,39663961.33861093,39557484.6698493,39442549.48776829,39318821.84747308,39186004.956001714,39043845.67926957,38892140.53095179,38730740.920675665,38559557.46109661,38378563.16856039,38187795.43774119,37987356.72346673,37777413.918828845,37558196.473406464
E,0.0,523.6923428763118,856.9041840654477,1081.0375651295403,1243.004270585022,1369.9977898846194,1477.8955855476931,1576.0540479375823,1670.0549746643917,1763.2852580063848,1857.8497125526212,1955.1013092456415,2055.950963649496,2161.049699530974,2270.8965367512146,2385.902903870462,2506.431446506711,2632.819657474303,2765.3944475032436,2904.4812704359765,3050.4099517111686,3203.518506709456,3364.1557247072897,3532.682989399018,3709.475623737153,3894.923935848455,4089.4340749903645,4293.428764746222,4507.347954686054,4731.649415401237,4966.809291442509,5213.322619989501,5471.703818667638,5742.487142946289,6026.227111466093,6323.498896118504,6634.898672525713,6961.043925611287,7302.5737041262655,7660.148817249572,8034.451965682249,8426.187798982572,8836.082890233056,9264.885618485629,9713.36594879808,10182.315099055777,10672.54508217391,11184.888111704531,12011.140853226214,13109.609816514567,14450.025182076082,16025.234208052454,17844.849180889978,19931.407713877135,22318.294433420604,25048.908092167476,28176.732630882878,31766.09728865946,35893.50120423005,40649.44180282268,46140.731187746846,52493.316251259275,59029.68137931059,65983.33342366555,73508.94090315179,81719.88825941898,90708.2273750494,100555.10952029296,111336.01785517357,123123.10846845109,135985.89270002118,149990.92070936068,165200.82375273667,181672.9162084202,199457.481432155,218595.83207839093,239118.2258488467,261041.72048143682,284368.0603010751,309081.6961929566,335148.04800340196,362512.12047695543,391097.5789566559,420806.3780590041,451519.0151762839,483095.4517806174,515376.7109460732,548187.1219564414,581337.1455554836,614626.6796789201,647848.7184192295,680793.2188327492
I,450.7354424122567,270.53265795694233,177.4320455542558,131.13355861366915,109.78953063871933,101.63577479860876,100.39328134580614,102.7498920433498,106.98666234959285,112.23236905073709,118.06148404474874,124.27912340365157,130.80721889513498,137.62510508095323,144.73909723373407,152.16733399252078,159.93253192248181,168.058752628791,176.57014180099156,185.4905913322371,194.8437988968583,204.65347129393933,214.94355628264782,225.7384560262277,237.06320754669593,248.94362970211046,261.4064414756997,274.47935758442907,288.19116694490816,302.5717985058866,317.65237786998506,333.46527717670494,350.04415995552563,367.42402207293617,385.64122946041357,404.7335529881907,424.74020061244937,445.7018467474174,467.66065868057893,490.66031974548355,514.7460488829328,539.964616150979,566.3643536826117,593.9951615341979,622.9085078157071,653.1574224443154,684.7964838155078,717.8817976400916,852.7973352632555,976.385949938602,1099.4201048909858,1229.0006092138096,1370.1760888033111,1526.9586848283257,1702.9652240076339,1901.8318992183283,2127.4971671456174,2384.413123345714,2677.7237657718124,3013.4349878901694,3398.5929372774644,3841.482595786597,4351.85580610135,4917.4480642725875,5535.898140841112,6209.905975459593,6944.72951979081,7746.906172249325,8623.606643045661,9582.307291534318,10630.614981555389,11776.157100725934,13026.491081266653,14389.0099122196,15870.832027014278,17478.670538726965,19218.680708809698,21096.287152680256,23115.994304472286,25281.185401789888,27593.91681203322,30054.715882151144,32662.391560715794,35413.86769041166,38304.04897518088,41325.72909068614,44469.549180116475,47724.013076065174,51075.56310270465,54508.71739979064,58006.26658529155,61549.52448241047
A,4056.5851344243374,3894.2438508051937,3873.9165751182904,3940.6288820663303,4062.6709983803826,4221.741635902978,4407.308839880094,4613.3707885250005,4836.587025799124,5075.195194430757,5328.379900263352,5595.903048947668,5877.88618631578,6174.6817140407165,6486.796398089401,6814.8458567384005,7159.527538161325,7521.604821972165,7901.8978718450135,8301.278624707822,8720.668341815695,9161.03676608029,9623.402301205542,10108.83285231105,10618.44710401564,11153.416095380899,11714.965002481173,12304.375071134638,12922.98566201887,13572.196382574493,14253.469287570446,14968.331134689593,15718.375684065097,16505.26603202484,17330.736969803387,18196.597357923252,19104.732506497232,20057.106550967565,21055.764811843233,22102.836125866845,23200.535134764894,24351.164516327666,25557.11714103989,26820.87813584925,28145.02683492459,29532.23859542578,30985.286454390516,32507.042600848312,34100.47963520905,35843.960184637086,37801.92173307804,40028.39002753422,42573.37781418735,45487.38376578198,48824.717755933445,52646.155247936105,57021.26992874035,62030.69138165694,67768.4691045213,74344.68469229975,81888.43261870093,90551.28114801887,100511.32451153899,111764.20726128983,124366.1734307976,138411.2401904194,154019.00300786103,171328.0917430171,190492.588126842,211679.94063812555,235069.56862201527,260851.69883695096,289226.1666782355,320401.0175432404,354590.80241125484,392014.49805919034,432893.0085728265,477446.2274983671,525889.6624941975,578430.6481585852,635264.1980402749,696568.5730052065,762500.6687960578,833191.3489944926,908740.8686657639,989214.5467448509,1074638.850018496,1164998.0472181216,1260231.5778563037,1360232.2574577068,1464845.4100481707,1573868.982200795
IH,0.0,90.12010185303731,98.96665111844831,84.75734137255641,68.42473059603742,56.024195930549254,48.218947424161655,44.08381195981594,42.49585585161469,42.55221566657112,43.629107936465275,45.33083253375193,47.421381017865315,49.767621362573806,52.299127129673295,54.982091359621705,57.803306138988205,60.76073639186183,63.85817960974189,67.10235448842249,70.50138362610582,74.06404987783097,77.7994667053496,81.7169603773292,85.8260539856403,90.13649556622221,94.65830148883772,99.40180171423245,104.37768144643465,109.59701756246926,115.07130991550085,120.81250824354134,126.83303554255855,133.14580867331222,139.76425680971408,146.70233816873295,153.97455531390426,161.5959692033985,169.5822120580757,177.94949905073787,186.7146387600983,195.89504228751892,205.5087308978633,215.57434201522636,226.1111333779133,237.13898513349528,248.67839963316055,260.750498664328,171.33690783776984,135.52019764905933,125.35866779604702,127.77043733843112,136.75459033507116,149.6662040212491,165.44707068779002,183.79488406047767,204.77994501829903,228.67384174732595,255.87798706112312,286.8992315457018,322.3481114720511,362.9487226735245,409.5555243647263,463.17532054064384,523.5646822186245,590.4618762499348,663.900790608549,744.2145367674304,831.9602671113258,927.8433422517173,1032.6603467206223,1147.2605461187072,1272.5203281989307,1409.3251978468868,1558.5552426967038,1721.0713637808608,1897.7006391128657,2089.2199511449035,2296.3375415393916,2519.672539867994,2759.7328057768727,3016.891662032044,3291.3642946193518,3583.1847579639916,3892.184641958833,4217.974522170194,4559.929314137643,4917.178578634903,5288.6026739389445,5672.835427388315,6068.273713249955,6473.0939956713855
IN,90.08268260227707,164.98334035579649,191.2458580975337,194.4754206489383,187.90760926184635,178.18094385475055,168.46396944412552,160.13631768703198,153.68314656814223,149.16430500743917,146.4554351739726,145.36809298449475,145.70664471517665,147.29282515015228,149.9742827481,153.6256045852649,158.14613925734346,163.4567386443949,169.4964026849562,176.21923760996586,183.59185929083364,191.59124611951205,200.20299439165288,209.4199140515391,219.24090376050773,229.67005162012003,240.7159168288047,252.3909560449429,264.7110655355204,277.6952161704204,291.3651630898024,305.74521561875116,320.86205592868095,336.7445972247297,353.42387401700137,370.9329584250759,389.3068975578535,408.5826678718899,428.7991430921418,449.9970728184354,472.21906936873063,495.5096007491887,519.9149879088084,545.483404646722,572.2648787039675,600.3112926972857,629.6763836471544,660.4157399214891,692.5867944648635,746.2997511369914,815.6602937477179,897.9204541165983,992.2145382276976,1098.831755006659,1218.8144266819847,1353.7520569334129,1505.6929824952917,1677.1274536046053,1871.0158107834648,2090.847540099357,2340.7243499192705,2625.464892612153,2950.731524706983,3323.1812763401854,3745.898091205901,4220.974254109802,4750.689030167296,5337.988389087715,5986.628349089495,6701.165027779656,7486.880884091217,8349.68838708136,9296.02793941796,10332.764921357211,11467.0852022908,12706.386255432068,14058.160489152859,15529.867756536813,17128.794817258793,18861.900604995597,20735.647398264548,22755.8193394262,24927.33113830185,27254.031167274527,29738.504423944647,32381.88191392421,35183.66379439741,38141.564029155066,41251.38426678975,44506.924124348785,47899.93403645046,51420.11535536765
D,7153.0,7153.0,7153.59230833881,7154.242760030676,7154.799821985091,7155.2495389481155,7155.617754226865,7155.934670032115,7156.224407936238,7156.503709105103,7156.783380695079,7157.070130087437,7157.368063950835,7157.67973780425,7158.006832165326,7158.350564678654,7158.711930794847,7159.091839156387,7159.491185030361,7159.91088864261,7160.351914377157,7160.815280003258,7161.302061014892,7161.8133928036605,7162.350472057438,7162.914558053986,7163.506974139378,7164.129109491609,7164.782421181647,7165.468436508251,7166.188755572212,7166.9450540563375,7167.739086182287,7168.57268782103,7169.447779738739,7170.366370963934,7171.330562264581,7172.342549725776,7173.404628419753,7174.519196160472,7175.688757335032,7176.91592680379,7178.203433860402,7179.554126242079,7180.970974179259,7182.457074472574,7184.015654583595,7185.650076724226,7189.077583819822,7191.32976922449,7193.111151969367,7194.758963672763,7196.438477548395,7198.236086109567,7200.203414950284,7202.378179760449,7204.794122481473,7207.485909144131,7210.491775745273,7213.855234763573,7217.626461115512,7221.863655080555,7226.634535016254,7232.018050955787,7238.106387146092,7244.988528014471,7252.7500175644145,7261.476845249266,7271.259379198319,7282.195311184585,7294.391604788853,7307.965694517756,7323.04617828466,7339.7731739243,7358.298439035456,7378.785299772388,7401.4083986412425,7426.35324990402,7453.815579769124,7484.000424123506,7517.120957174121,7553.397028829603,7593.053396243003,7636.317645139118,7683.417808880565,7734.579707116694,7790.024040599613,7849.963293485735,7914.598508202164,7984.116009735497,8058.684165037678,8138.45026833077
R,0.0,177.5233084679015,405.8246579175269,642.1218293520826,874.5928313605883,1102.7487004751988,1329.487124399067,1558.1469173261899,1791.6008285245102,2032.1133148305453,2281.441053118295,2540.9780665688786,2811.8810346288037,3095.161595675111,3391.7494846708155,3702.5341465518613,4028.3917762100714,4370.2029725600405,4728.864536869046,5105.297693621323,5500.4541557294615,5915.320902344719,6350.924192629554,6808.333129340661,7288.662961022041,7793.078237836982,8322.795892801929,8879.088294790015,9463.286304626841,10076.782356503756,10721.03358124194,11397.564984199962,12107.97268800316,12853.927248317419,13637.177049327234,14459.551784255014,15322.96602508476,16229.422884572254,17181.0177725986,18179.942247927764,19228.487965441655,20329.05071793137,21484.13457050673,22696.356084635514,23968.448627728154,25303.26676303283,26703.790713391634,28173.130891122597,29714.53248492827,31280.8226539995,32908.192019578295,34620.57237285423,36437.11281349817,38375.84476018271,40455.55881940869,42696.870396048376,45122.9451836332,47760.113205631504,50638.48547223557,53792.63458466296,57262.377746884,61093.692199023586,65339.791695055545,70062.39483451196,75324.66669101069,81192.42231881098,87735.46220578697,95028.77387928925,103153.55426503877,112198.07558432863,122258.42855695599,133439.16907752535,145853.88299949304,159625.67307816056,174887.56366891955,191782.81240477963,210465.11346943342,231098.6739682781,253858.14313053756,278928.37360816664,306503.9949945632,336788.78191209974,369994.80263547355,406341.3391959248,446053.5761359717,489361.0623447458,536495.9583893494,587691.0900674814,643177.8370751676,703183.8932151621,767930.9409835126,837632.2882380018
G,887836.0,887836.0,887851.0575967433,887875.6959513553,887906.7787577807,887942.518552932,887981.9097614152,888024.4033285995,888069.7192218378,888117.7379005329,888168.4372065656,888221.8555010315,888278.0700466657,888337.1842975342,888399.3204264282,888464.6149543343,888533.216231943,888605.2830370044,888680.9838511167,888760.4965554614,888844.008388914,888931.7160737398,889023.8260510765,889120.5547907142,889222.129153219,889328.7867907254,889440.7765778011,889558.3590669231,889681.8069650356,889811.405628844,889947.4535772187,890090.2630194968,890240.1603986974,890397.4869487627,890562.5992649505,890735.8698864564,890917.6878902514,891108.4594949973,891308.6086737472,891518.5777739657,891738.8281432004,891969.8407585239,892212.1168576237,892466.1785691638,892732.5695397665,893011.8555546696,893304.6251488035,893611.4902047054,893933.0865333439,894278.4399032283,894655.3772802291,895070.8552895644,895531.6248954299,896044.7134417227,896617.7962907742,897259.5087048438,897979.7337798191,898789.8924221427,899703.2551809989,900735.2921664366,901904.0755386465,903230.7485998768,904740.0759722978,906437.341838768,908334.5443470498,910448.128790672,912797.8005780431,915405.9118626424,918297.1481204036,921498.3651759395,925038.4935400822,928948.4623660721,933261.1143074674,938011.092838887,943234.6893811295,948969.6411399161,955254.8731735304,962130.1805324889,969635.848724238,977812.2134103685,986699.163172609,996335.59231806,1006758.8138888086,1018003.9460953819,1030103.2880735821,1043085.7029302125,1056976.0272788308,1071794.5267086616,1087556.4157921637,1104271.4593263192,1121943.6686228195,1140571.1030035643
H,20936877.781885244,20936877.781885244,20936877.781885244,20936877.781885244,20936877.781885244,20936877.781885244,20936877.781885244,20936877.781885244,20936877.781885244,20936877.781885244,20936877.781885244,20936877.781885244,20936877.781885244,20936877.781885244,20936877.781885244,20936877.781885244,20936877.781885244,20936877.781885244,20936877.781885244,20936877.781885244,20936877.781885244,20936877.781885244,20936877.781885244,20936877.781885244,20936877.781885244,20936877.781885244,20936877.781885244,20936877.781885244,20936877.781885244,20936877.781885244,20936877.781885244,20936877.781885244,20936877.781885244,20936877.781885244,20936877.781885244,20936877.781885244,20936877.781885244,20936877.781885244,20936877.781885244,20936877.781885244,20936877.781885244,20936877.781885244,20936877.781885244,20936877.781885244,20936877.781885244,20936877.781885244,20936877.781885244,19441386.51439888,17945895.246912517,16450403.979426151,14954912.711939786,13459421.44445342,11963930.176967055,10468438.90948069,8972947.641994324,7477456.374507958,5981965.107021593,4486473.839535227,2990982.5720488615,1495491.304562496,0.037076130509376526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
