series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03
S,1128575.7940620808,1128118.3182786028,1127816.158866148,1127578.8628226179,1127369.851011562,1127173.751999933,1126984.0561357797,1126798.055254915,1126614.6906375468,1126433.620504779,1126254.811469391,1126078.358151705,1125904.4030552919,1125733.1008319568,1125564.6023523032,1125399.0476959972,1125236.5632100455,1125077.2604561173,1124921.236058145,1124768.5719945529,1124619.3361199559,1124473.5828106937,1124331.3536791848,1124192.6783260324,1124057.5751105978,1123926.0519269207,1123798.1069753813,1123673.729522747,1123552.9006448162,1123435.5939470935,1123321.7762599166,1123211.408305293,1123104.4453334084,1123000.837727391,1122900.5315754341,1122803.4692098377,1122709.5897129031,1122618.829389948,1122531.1222099678,1122446.4002146975,1122364.5938969976,1122285.6325496368,1268491.0053342348,1414685.9383146223,1560864.580365601,1707026.9427508886,1853171.8270584035,1999296.8886674333,2145398.669413921,2291472.5559616326,2437512.6484644483,2583511.5352220233,2729459.970460315,2875346.4495498394,3021156.6723916144,3166872.883524394,3312473.0783324633,3457930.070137198,3603210.424766309,3748273.2894040537,3893069.17273182,4037538.773632088,4181612.0028559132,4325207.387706694,4468232.079500432,4610582.6783656785,4752147.0322638,4892807.0504961815,5032442.410712138,5170934.869849293,5308172.7632429935,5444055.233403124,5578495.783317963,5711424.877337377,5842791.472697667,5972563.512569336,6100727.518367594,6099902.208642019,6079333.90040319,6058082.824638249,6036275.90399281,6014070.99298249,5991628.623269531,5969100.869063929,5946626.713225193,5924330.203877893,5902319.974556636,5880689.507393729,5859517.828172335,5838870.454541648,5818800.483850219,5799349.7440911485
E,0.0,457.4757834780635,657.7822848955575,748.6289578466614,790.9651952494248,810.9628468173456,820.105051794256,823.5168429224153,823.5327656290943,821.2506586862805,817.2155451607996,811.7230960417314,804.9552705559869,797.0413680936224,788.0856818886746,778.18007615204,767.4096950050143,755.8555113256658,743.5954078389805,730.7045728819772,717.2555785870841,703.3183178227443,688.9598863538938,674.2444534857124,659.233143040278,643.9839354872668,628.5515961195431,612.9876308381537,597.3402691827664,581.6544731093475,565.9719693608064,550.3313029231504,534.7679089057011,519.314200163905,503.999668053747,488.8509938375221,473.89216843002515,459.14461836637474,444.6273360761354,430.3570127545766,416.34817232485506,402.6133051801691,389.16300057962155,389.14709078310733,405.42565256975604,434.3596031670075,474.3297449878303,525.2235890058051,588.0672342195239,664.8134999954277,758.2669377380154,872.11954467026,1011.075401394854,1181.0501222818225,1389.4377323181093,1645.441404907023,1960.464463283946,2348.553445179334,2826.8750453969474,3416.192590402727,4141.285139715306,5031.224714727077,6119.39884147329,7443.145058167115,9042.864019890416,10960.512722942494,13237.458979055862,15911.7990848894,19015.379187833274,22570.875885723814,26589.3386360182,31068.549658290744,35992.42446278952,41331.4982666451,47044.37347218307,53079.88335415398,59379.6747585268,65880.92162834646,71781.42909603959,77051.00862467091,81703.20805814414,85717.62706351042,89075.7301137358,91771.56590413605,93813.59948552612,95223.34597544897,96032.94493200013,96282.53172905193,96017.76230588695,95287.6358472773,94142.66260630416,92633.37653326383
I,870.2493744051611,540.7631950924251,400.30684640951495,341.17511521565564,317.1967318164223,308.2457520479621,305.49370360659486,305.0682376313269,305.2832690790068,305.4191246024518,305.1828711690599,304.4690679390609,303.253741661555,301.54756380954836,299.3753341492418,296.7671178447459,293.75450544277146,290.3690910655722,286.6418849308057,282.60310020842667,278.2820761872819,273.7072415177098,268.9060825100504,263.90510687735747,258.7298030289045,253.40459805094218,247.95281784421024,242.3966522613563,236.75712723080358,231.05408505034012,225.30617337518063,219.5308429238649,213.7443535641737,207.96178819516888,202.1970736857439,196.46300804321083,190.77129294984854,185.1325708070038,179.55646545437412,174.05162577811146,168.62577147894572,163.28574033581256,158.0375363678535,175.4605973566476,188.77358151615368,201.2351570243154,214.82434536890568,230.82605027956444,250.2064267717451,273.84802247460647,302.69970880994515,337.8807257841886,380.7652144604419,433.06433275083015,496.91703670940853,574.9969587539986,670.6405611233301,788.0000165018297,932.2223015980678,1109.653083828532,1328.0594898675276,1596.859242426817,1927.3347284597583,2332.799764048944,2828.6756835394253,3432.424866131988,4163.288208852974,5041.783014921357,6088.942354809051,7325.31521766096,8769.7921749281,10438.362586877396,12342.934363026998,14490.34775275378,16881.69000409618,19511.97499955078,22370.20245691748,25439.766082834933,28699.146789602408,32019.177841276287,35296.90421655824,38455.5483247018,41433.5678815596,44181.325911022155,46660.05211087617,48841.30654181664,50706.37777726211,52245.48211232172,53456.78221171745,54345.28931916105,54921.718344935915,55201.35543968242
A,508.62051742597845,406.9024585858367,363.09704813083255,344.5023910673727,337.0872367314922,334.63189296185686,334.30989794475164,334.80310262245735,335.47786592116006,336.0189922331864,336.2644814478436,336.1294916263717,335.5704302196651,334.5673660904757,333.11497281775866,331.2175542938816,328.88609804159654,326.1363866793486,322.9876963953479,319.46184449599764,315.5824599355681,311.37440615208425,306.8633141504169,302.0751992856246,297.0361440616771,291.7720345918601,286.30834172644103,280.66994005361295,274.8809594669373,268.96466502390695,262.94336155223607,256.8383199922016,250.66972285973242,244.4566265194033,238.2169381984136,231.96740587196373,225.72361932064643,219.50002081054043,213.30992398253275,207.16553966277664,201.07800742343034,195.05743183328113,189.11292244226348,183.2526366425725,178.56303176322763,176.14817067712718,176.59245675907692,180.23044288687518,187.32053716592617,198.15373763670766,213.12322167999253,232.77385994380535,257.8447610712975,289.3135438611211,328.44813540534335,376.87012750391557,436.6326244247835,510.31463306837566,601.1329629516961,713.0709164834443,851.0203732378267,1020.92987780672,1229.9458792866008,1486.5275758738494,1800.508775799815,2183.0745504461306,2646.6188124551422,3204.454175001345,3870.3595490933626,4657.9735954012995,5580.069722463378,6647.774246737331,7869.806218174713,9251.820039992579,10795.91950365912,12500.387885411135,14359.649713295257,16364.452284748944,18502.233731410877,20697.06407381435,22885.719189323216,25018.731646513617,27054.851532927747,28959.55619631719,30704.738353097073,32268.607035524903,33635.49614166147,34795.51206826672,35744.03593685046,36481.12208840781,37010.838059438014,37340.58608717736
IH,0.0,155.48706680345737,173.16017652566052,156.76491791687752,138.128916516959,124.67068838381672,116.44628349160277,111.90591459072915,109.5947906948012,108.49550379804529,107.97862656000049,107.68196997996597,107.40839872061352,107.05658486829492,106.57855398135567,105.95512044715461,105.18221141465257,104.26346619357342,103.20632122959233,102.01997787414938,100.71436388795041,99.2996084882324,97.78577736069235,96.18273654862844,94.50007897101386,92.74708097623576,90.93267344706614,89.06542045417407,87.15350251892059,85.20470339344976,83.226400031934,81.22555568617986,79.2087160968872,77.18200870607264,75.1511447496639,73.12142402871129,71.09774211233088,69.08459969681753,67.08611383154701,65.10603072049295,63.14773981552281,61.214288931532764,59.30840013180863,34.06417129571098,22.599337912113576,17.585989605582668,15.631654909719952,15.182636371875295,15.540928230844004,16.40688216553947,17.66862165512336,19.306567543356564,21.351444565827283,23.867199999304646,26.945765762501747,30.707802639773078,35.30688598464046,40.93610175955983,47.83668279108094,56.30856122889112,66.72272695021294,79.53512731649249,95.30153322564098,114.69232802134253,138.5055646441846,167.6759446770522,203.27673661922722,246.51128852069917,298.6909735121249,361.1973755607928,435.42835754289206,522.7301591334092,624.3203518586728,741.2086570074584,874.1236919432263,1023.4533351494406,1189.2046897253358,1370.9870315989926,1568.0182672890965,1779.1528634758938,1999.2143673989972,2222.0351112967855,2441.9106524565095,2653.904240614268,2853.873313312846,3038.4449712323767,3204.985018380655,3351.561572409043,3476.8989468549235,3580.320405492492,3661.6814158649304,3721.2966647065655
IN,173.9991125092786,322.51762752930335,383.408931619504,407.30017773748745,415.8698697458998,418.39032980854745,418.7520174384013,418.5104900246654,418.21926374056983,418.0136786603601,417.8653628372704,417.69152962023173,417.4004336975278,416.90897177738384,416.1483439661749,415.0647839995592,413.61841047578497,411.7814985305932,409.536700337068,406.875408735442,403.79631787833915,400.3041792943139,396.4087327653072,392.12378742898795,387.46643019600884,382.4563419484769,377.1152054735809,371.4661921298151,365.5335167158133,359.342051951018,352.91699547203956,346.2835833926429,339.4668453515996,332.49139664839583,325.3812635943861,318.1597386261805,310.84926206849974,303.47132771720317,296.04640965548845,288.59390792867885,281.13211089352393,273.6781722320599,266.248100781551,258.85676148333465,256.03141292131306,256.2816313962078,258.9867958443741,264.01285840758203,271.5023071213876,281.7699385827554,295.2609083181287,312.5449017861474,334.33196187371635,361.5029001618773,395.15167310522503,436.63970356606166,487.6636168608822,550.3386806911558,627.3005932576453,721.8281736943194,837.9888510409207,980.8073883860817,1156.4557128747326,1372.4577479805885,1637.8975931935174,1963.6124310614464,2362.3438939355033,2848.8147743307145,3439.694108709662,4153.415291011228,5009.820910415249,6029.624800633359,7233.704381014529,8642.26064883158,10273.903998753573,12144.736887531548,14267.50677999694,16650.89497517897,19298.99118430897,22210.983655055883,25360.35369609593,28703.88103997646,32189.323597156523,35759.784792947634,39356.775541959156,42922.62015781523,46402.402708223235,49745.508009002326,52906.77684196769,55847.29578842354,58534.851904589756,60944.09189822153
D,1501.0,1501.0,1503.0818912438235,1505.4004162677948,1507.4994172757847,1509.3488918830778,1511.018167790352,1512.5773231783908,1514.0756853798785,1515.5431028301323,1516.9958013985406,1518.4415792486013,1519.8833850207968,1521.321527815607,1522.754960005261,1524.1819916090767,1525.600675760962,1527.00901106146,1528.4050448395842,1529.7869239945028,1531.1529186267105,1532.5014317642733,1533.8310020602264,1535.14030294192,1536.4281399379108,1537.6934470209692,1538.935282369363,1540.1528237412522,1541.3453635632645,1542.512303794969,1543.6531506163426,1544.7675089809547,1545.8550770767083,1546.915640735582,1547.9490678328273,1548.955302714185,1549.9343606869857,1550.8863226076924,1551.81132959476,1552.7095778918008,1553.5813139021561,1554.4268294121719,1555.2464570168559,1556.8346616244132,1557.7468574294635,1558.3520393686154,1558.8229701247642,1559.2415662476776,1559.648138217029,1560.0643047932156,1560.5036605302284,1560.9768040690778,1561.4938097455138,1562.0655746651894,1562.7047083616667,1563.426282190046,1564.2485986499753,1565.1940727965496,1566.2902902848898,1567.5712966828066,1569.0791693650895,1570.8659203503735,1572.9957713560657,1575.5478269475143,1578.6191437156308,1582.3281491086505,1586.8183007114724,1592.2617968939762,1598.8630601783238,1606.861630015202,1616.534042942012,1628.1942685116428,1642.1923268878572,1658.9108432735666,1678.759481942027,1702.1674186261057,1729.5742159582198,1761.4196267828795,1798.1329408437537,1840.1225044015002,1887.7659877704948,1941.3024423493005,2000.8057571255044,2066.197063261836,2137.26529193758,2213.688441702463,2295.054189090631,2380.8796701697415,2470.6302876199297,2563.73728283704,2659.6137750691337,2757.6690131662626
R,0.0,127.1986563293956,332.6670214485013,547.0282677515612,753.064687523256,949.6606645855,1139.4818085754239,1325.225900536027,1508.7887884297736,1691.301500831516,1873.3489084565035,2055.1681802600397,2236.78835125304,2418.1188520092264,2599.002867309285,2779.2487260774033,2958.648260234841,3136.9876454474406,3314.053952704643,3489.6392436777887,3663.5432313624337,3835.5750706881504,4005.554592035865,4173.313153820778,4338.694216587699,4501.553701424962,4661.760174059937,4819.194884196034,4973.751682926618,5125.336837004921,5273.8687560962,5419.2776472293235,5561.505109158069,5700.503678061847,5836.236334872307,5968.675983461711,6097.804907949744,6223.614216467715,6346.1032778586805,6465.279156987483,6581.156053585381,6693.754748859692,6803.10206345896,6909.23032979797,7000.625072485158,7085.000718662915,7166.451782984393,7247.421747342147,7329.633320919748,7414.536707878106,7503.538280571076,7598.1329265227205,7699.998247508389,7811.078825967189,7933.675354841986,8070.547742755613,8225.039212511638,8401.227956699428,8604.113149896699,8839.842514703747,9115.988807673177,9441.882135160144,9829.00346426473,10291.441527712934,10846.41000282322,11514.814002583793,12321.844585792278,13297.567899074635,14477.463332131721,15902.85518233105,17621.177688285166,19686.016400872817,22156.880851057624,25098.683475484006,28580.924919713005,32676.61206878979,37460.95828512701,43009.93216534611,49398.730024170734,56700.24823591207,64971.512928755306,74250.46382601843,84555.76963236417,95887.37926462872,108227.5651149542,121542.365435423,135783.34711360262,150889.59988190635,166789.86773362375,183404.7271636093,200648.73248043522,218432.46270949027
G,259563.0,259563.0,259627.28266556314,259719.7115987666,259824.90594274315,259936.04920530392,260050.00245780125,260165.2403363406,260280.95762610994,260396.6771532743,260512.0760079076,260626.90786454311,260740.96794421776,260854.07703615053,260966.07409819306,261076.8127430647,261186.15949187588,261293.99282984814,261400.20262018763,261504.68966986923,261607.36535103188,261708.15123336005,261806.97870760426,261903.78859254328,261998.53072376977,262091.16352575112,262181.6535701382,262269.97512398165,262356.109691735,262440.04555487365,262521.7773127471,262601.3054279796,262678.63577938266,262753.7792249673,262826.7511772694,262897.57119283197,262966.26257734234,263032.85200759495,263097.3691711553,263159.84642432904,263220.3184688017,263278.8220471024,263335.39565686026,263390.07928366476,263444.7606748883,263501.729464442,263562.76393689483,263629.41485365346,263703.217169617,263785.8500230078,263879.2669544072,263985.8155887319,264108.3623355671,264250.43460307125,264416.3910378507,264611.62926530035,264842.84010389645,265118.31672144233,265448.3260489871,265845.5472128058,266325.5769186812,266907.4937266354,267614.4612807449,268474.33470657555,269520.21565108025,270790.88269951736,272331.010066288,274191.08480507944,276426.9471086647,279098.91206295026,282270.4811785832,286006.70859173563,290372.33680495305,295429.8481926763,301237.5848560214,307848.0718714168,315306.64457190805,323650.4387389564,332907.76208802767,342994.2011234305,353821.10037712514,365301.7080698574,377346.40584926115,389862.9708249195,402758.3438529078,415940.6552643516,429321.0586085563,442815.22355685855,456344.4594426471,469836.49098911247,483225.9280887182,496454.4781324701
H,5138750.919370439,5138750.919370439,5138750.919370439,5138750.919370439,5138750.919370439,5138750.919370439,5138750.919370439,5138750.919370439,5138750.919370439,5138750.919370439,5138750.919370439,5138750.919370439,5138750.919370439,5138750.919370439,5138750.919370439,5138750.919370439,5138750.919370439,5138750.919370439,5138750.919370439,5138750.919370439,5138750.919370439,5138750.919370439,5138750.919370439,5138750.919370439,5138750.919370439,5138750.919370439,5138750.919370439,5138750.919370439,5138750.919370439,5138750.919370439,5138750.919370439,5138750.919370439,5138750.919370439,5138750.919370439,5138750.919370439,5138750.919370439,5138750.919370439,5138750.919370439,5138750.919370439,5138750.919370439,5138750.919370439,5138750.919370439,4992469.358621847,4846187.797873255,4699906.237124663,4553624.676376071,4407343.115627479,4261061.554878887,4114779.994130295,3968498.4333817028,3822216.8726331107,3675935.3118845187,3529653.7511359267,3383372.1903873347,3237090.6296387427,3090809.0688901506,2944527.5081415586,2798245.9473929666,2651964.3866443746,2505682.8258957826,2359401.2651471905,2213119.7043985985,2066838.1436500063,1920556.582901414,1774275.0221528218,1627993.4614042295,1481711.9006556373,1335430.339907045,1189148.7791584528,1042867.2184098605,896585.6576612683,750304.096912676,604022.5361640838,457740.97541549156,311459.41466689936,165177.85391830717,18896.293169714976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
