series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03
S,1428735.6137621754,1427343.3568046782,1426060.357184594,1424829.9553379498,1423615.8202074117,1422394.4090756688,1421150.2540626873,1419873.0004372746,1418555.539652794,1417192.830234049,1415781.1524531117,1414317.6372714292,1412799.9690156213,1411226.198269529,1409594.6247774656,1407903.7248722978,1406152.1072505622,1404338.4868109217,1402461.6700076654,1400520.5475399278,1398514.0917006284,1396441.356663706,1394301.4805947759,1392093.6888561402,1389817.297822845,1387471.7189834388,1385056.4630997945,1382571.1442654643,1380015.4837447093,1377389.3135029033,1374692.5793587766,1371925.3437032907,1369087.7877409363,1366180.2132182522,1363203.0436121959,1360156.8247581313,1357042.2249039356,1353860.034183191,1350611.1635066846,1347296.6428775026,1343917.619140818,1340475.3531850192,1336971.2166160229,1333406.687931421,1594929.657416621,1855489.4542711677,2115027.015105988,2373471.225071016,2630715.924584002,2886614.5312077627,3140975.7338773333,3393558.9921442633,3644069.1149134543,3892149.5783029944,4137374.5122934203,4379239.48988752,4617151.43408533,4850418.149489057,4828195.104581262,4787085.482356317,4741884.496332385,4692302.260468727,4638174.972792545,4579439.290085426,4516119.894883782,4448322.235470186,4376226.42580335,4300080.4563771365,4220192.065395424,4136919.280770166,4050659.9859364135,3961841.00676806,3870907.2367416294,3778311.26277316,3684503.8602424893,3589925.6175754764,3494999.845015211,3400126.8288649926,3305679.4164532716,3211999.859703196,3119397.8055425165,3028149.2972342614,2938496.639258936,2850648.9767730306,2764783.446254553,2681046.764428175,2599557.1360526886,2520406.376167277,2443662.157812387,2369370.311262485,2297557.1148880417,2228231.530565624
E,0.0,1392.2569574971003,2327.7789636824423,2977.2168757392556,3448.3022334100706,3809.0907440087212,4102.578025918642,4355.915760228219,4586.232963520024,4804.316544077007,5016.9394808913585,5228.333672617415,5441.121461177052,5656.904450711317,5876.635358686817,6100.85253607615,6329.827609272796,6563.65821039436,6802.326049040127,7045.733154857853,7293.724415018369,7546.1015485241505,7802.631769405142,8063.053193412679,8327.078284272051,8594.396155121363,8864.674236498682,9137.5596295001,9412.680340545448,9689.646516598183,9968.05175026017,10247.474492512256,10527.479590442192,10807.619953966308,11087.438346722765,11366.469290377536,11644.24106753809,11920.277805698177,12194.10162276429,12465.234813512747,12733.202055658243,12997.532613995261,13257.762521247872,13513.436714791604,13764.111109260155,14915.395157061987,16801.579304524927,19310.363025904026,22392.51834140851,26051.526378990744,30334.7280791651,35326.878477839586,41146.23021000629,47942.85536430141,55898.71737741347,65228.922474640756,76183.5409624079,89049.34933512981,104150.786038136,119266.59553810516,134701.1854867578,150664.8811303458,167189.43095586175,184198.20095134273,201545.65756335983,219041.8235603274,236469.4702957823,253597.70822074806,270193.52517849393,286031.77416406036,300903.6445352596,314623.49788954546,327033.95960390125,338009.23896197934,347456.7514609806,355317.2066674372,361563.38995707734,366197.90283464536,369250.1364996889,370772.7421411099,370837.8353304866,369533.1367970166,366958.2128311256,363220.9394267619,358434.2777112637,352713.41587948054,346173.305577811,338926.5986953736,331081.9736134555,322742.8276754841,314006.3043593474,304962.6186986301
I,2048.5082559187954,1566.8882170510672,1258.1292733973419,1062.0290995259122,939.8481497272178,866.5688424687049,825.9701577718911,807.4862075474507,804.1980957631835,811.5472251280952,826.508748614388,847.0590617042939,871.8315714733836,899.8932929309983,930.5991876143436,963.496674189302,998.2626335318042,1034.6615477065254,1072.5174523095745,1111.694970167502,1152.0863563806108,1193.6025544263646,1236.166953542771,1279.7109848321247,1324.1709843161561,1369.4859411094626,1415.5958735822555,1462.4406587374092,1509.9591947639324,1558.0888133639376,1606.7648831488877,1655.9205621759174,1705.486669170573,1755.3916508849288,1805.5616285135416,1855.9205098982443,1906.3901569116335,1956.8905992695522,2007.3402873272091,2057.656377331045,2107.755043248753,2157.5518097686568,2206.961901408836,2255.9006029509183,2304.283626646084,2493.2752091764337,2698.7261743074587,2949.2505180915873,3263.679160969631,3655.4616557605123,4135.858983348941,4716.202405612546,5409.483646052343,6231.50094310192,7201.734035397821,8344.07014518073,9687.457376211372,11266.522548274235,13122.156258121926,15302.0371851563,17750.42355450681,20434.299434405842,23335.395337204947,26439.976936831164,29733.414934386437,33197.38973707956,36808.62940358008,40538.60326870029,44353.85088275446,48216.74794791866,52086.56688986092,55920.715902380674,59676.05540550502,63310.203754181966,66782.75819866009,70056.3731112486,73097.65456945084,75877.8472753175,78373.30530237763,80565.7514039723,82442.34007864996,83995.54711337094,85222.91303968703,86126.67016121588,86713.28297129118,86992.93034645927,86978.95533264209,86687.30505044604,86135.97958591329,85344.50498493982,84333.44184664678,83123.93766311668
A,9888.912653365307,9493.356147230696,9401.470993616776,9506.680398290231,9741.952699380616,10065.21099472739,10450.131974096881,10880.334602725216,11345.706696647132,11840.081983019969,12359.771032941273,12902.632307907441,13467.484875899405,14053.737211307756,14661.152581164873,15289.700696135005,15939.46378250639,16610.576936266018,17303.19003499935,18017.443179648526,18753.450611750042,19511.289933605258,20290.99464883204,21092.548792409856,21915.88289335693,22760.870811412915,23627.327176076702,24515.005272939015,25423.59529432711,26352.722915211456,27301.948181457825,28270.764712377626,29258.599227260307,30264.81140876966,31288.69411639894,32329.473961654927,33386.31225394983,34458.30632275988,35544.491217753115,36643.841784499564,37755.27510920302,38877.65332174816,40009.7867423319,41150.43735312021,42298.32257280583,43452.11930869505,44797.792124175125,46479.60655388562,48612.83938009999,51297.978430170144,54632.21174147382,58718.62756819953,63673.7137359915,69633.74728689152,76760.5815819541,85247.2167839241,95323.40625591228,107261.41525630753,121381.90946644459,138059.8055811265,157195.77909959585,178757.41477575316,202757.0787129165,229213.20636918873,258127.65170422953,289472.1054606621,323180.1129633711,359142.96570684557,397208.56711713085,437182.7292254643,478832.4824440061,521891.00437321013,566063.7647742773,611035.47741846,656477.4602985987,702055.0368441073,747434.659251538,792290.4950066711,836310.2827568988,879200.3282335129,920689.5705705852,960532.7012295031,998512.3602718381,1034440.467484835,1068158.7692233871,1099538.6966985366,1128480.6390293818,1154912.736020368,1178789.2926591132,1200088.9109864314,1218812.4263597564,1234980.725133927
IH,0.0,197.80322002640284,267.3848396418237,278.40722115543986,265.9406699330224,246.82655662870775,228.53304966736317,213.87676899344112,203.4904930787015,197.07750059680802,194.02347533655148,193.67580949702665,195.45610234044625,198.8929445445453,203.61958689366318,209.35850706813085,215.90313178557253,223.1010271315895,230.83999122238083,239.03718400026503,247.63091635308172,256.57458038980644,265.8322236236148,275.3753487653372,285.18061034884136,295.2281600251621,305.5004580137969,315.9814187705616,326.6557965625405,337.5087440110159,348.52549626381654,359.69114734659235,370.99049501293285,382.4079372553792,393.9274084179581,405.5323461838384,417.2056830355144,428.92985740545066,440.6868408658246,452.4581784955343,464.22504011459023,475.96828046272964,487.6685066713187,499.3061515710875,510.86155151830314,373.36149730266527,301.4037343905572,267.50315693929304,256.952879780324,262.00758073485014,278.7127728152503,305.2043793356397,340.81608941510854,385.62502026310943,440.2323406821472,505.66868604575075,583.3656744360851,675.1626596477586,783.3323784512921,910.6162458595722,1060.2630247438706,1232.1647912060052,1425.0956353343631,1637.7103730561687,1868.7555375772326,2116.9985473398297,2381.088636657819,2659.432834201032,2950.1142446992517,3250.8569217508502,3559.032790502154,3871.7030036160104,4185.685279316698,4497.638825607652,4804.158941144029,5101.874160800944,5387.539823250634,5658.123117064372,5910.875931683606,6143.393112650376,6353.654915361582,6540.053503738289,6701.404207150501,6836.942910894337,6946.3114124146405,7029.532842378991,7086.979351791201,7119.334234120383,7127.550516979762,7112.807851951714,7076.469281237629,7020.039189158065
IN,283.8168188413253,544.624473524186,717.5608119528938,833.6991706311048,913.2528412949932,969.4291261162697,1010.8984679426712,1043.3810020625638,1070.669246519293,1095.2896585840053,1118.9322896848842,1142.731091329758,1167.447718585171,1193.5927399988564,1221.506068835482,1251.410692610593,1283.4488168759447,1317.7063509880409,1354.2296090410393,1393.0367708989484,1434.1257863325384,1477.479843480171,1523.071154818506,1570.8635713004237,1620.8143744123188,1672.8754883308757,1726.9942818235445,1783.1140801590846,1841.174473329753,1901.1114832591936,1962.8576360337509,2026.3419733292824,2091.490028625985,2158.2237875096566,2226.4616466688867,2296.1183826472015,2367.105138674245,2439.3294357552163,2512.6952124845816,2587.1028966564827,2662.4495105907404,2738.6288111234708,2815.531464385011,2893.045254776901,2971.0553269444003,3049.4444590078565,3147.662961669209,3266.3836737661113,3410.189300052417,3585.900010490259,3801.646469907972,4066.460373191559,4390.211135644762,4783.76803231297,5259.307976043356,5830.719571332333,6514.074994918534,7328.154147797637,8295.011913748742,9440.5804889943,10795.295522237086,12379.402315635318,14206.930582218101,16288.241437683158,18630.953153103736,21240.03952190628,24117.532965914885,27262.076855522664,30668.471675777215,34327.30355890273,38224.70905085385,42342.30588848504,46657.301055863034,51142.77247310146,55768.108751937834,60499.582461793776,65301.02630709597,70134.57842932724,74961.46245842181,79742.76954609195,84440.21292600512,89016.83003899685,93437.61243308632,97670.04905355329,101684.57381361563,105454.9132061026,108958.33399300482,112175.79458366215,115092.00654062432,117695.41474409198,119978.10614884151,121935.65785484054
D,3701.0,3701.0,3704.5764361677307,3709.4109621732746,3714.444781415271,3719.2531957084866,3723.716011956703,3727.8480673612767,3731.7151258043264,3735.3943922952303,3738.957706890849,3742.4658023328234,3745.967611705832,3749.5016101590463,3753.0977493941946,3756.7793500017465,3760.564714752637,3764.4684114120805,3768.502251621481,3772.676018324855,3776.997996653504,3781.475356351568,3786.114424456243,3790.920877955781,3795.8998785852673,3801.056165975589,3806.3941208840365,3811.917806935017,3817.63099691378,3823.5371879508584,3829.6396087246217,3835.9412209534207,3842.444716843989,3849.152513734614,3856.0667468671427,3863.1892610038612,3870.521601447475,3878.0650049066903,3885.8203905634036,3893.7883516315055,3901.9691476455496,3910.362697675779,3918.968574631232,3927.786000782787,3936.813844611674,3953.756421967803,3966.1388493222403,3976.1348180346267,3985.0064837843447,3993.5282526072665,4002.2176591427537,4011.461088599383,4021.58310461518,4032.8861728182333,4045.675316406841,4060.275496170829,4077.045853627638,4096.39300949926,4118.784586150614,4144.7635806120825,4174.963908159478,4210.127228360768,4250.991621518682,4298.254510984085,4352.56870746251,4414.545450791494,4484.75510259347,4563.723226732929,4651.922556635456,4749.762252442831,4857.57599318487,4975.61029853995,5104.014222154409,5242.831278208962,5391.994184472531,5551.322742766967,5720.524941236796,5899.201159760902,6086.851195893889,6282.883706889073,6486.627583739548,6697.344733185868,6914.243738544537,7136.493893869186,7363.239151567666,7593.611584362461,7826.744032098032,8061.781676900525,8297.892362128709,8534.275538029779,8770.169777658524,9004.858858974798
R,0.0,418.56567029307695,920.5929872477319,1460.4524248358525,2018.2899077281295,2587.0629549739447,3165.7697402595986,3756.008644108271,4360.299216174501,4981.313952551095,5621.566302830185,6283.31647348334,6968.573133498532,7679.130971119555,8416.616180246107,9182.528161922233,9978.273551013717,10805.192195480815,11664.576094401687,12557.68267247525,13485.743707184343,14449.971009817496,15451.55972084667,16491.689865484514,17571.526642164503,18692.219784886875,19854.902243627635,21060.68835779574,22310.67164914934,23605.922327003318,24947.484575635706,26336.37367831555,27773.573022009077,29260.031019928523,30796.657984516194,32384.322980404504,34023.85068480893,35716.018281315475,37461.55241185844,39261.12621067206,41115.35644302259,43024.80077050812,44989.955163602295,47011.25148088673,49089.055233050974,51223.66354823607,53356.4608093954,55522.621437292975,57752.28731598995,60074.77312072748,62520.90624521405,65124.49858251694,67923.48137553615,70960.98227918906,74286.49167171173,77957.19873937259,82039.54577250022,86611.03372078789,91762.30325735112,97599.50750349465,104246.98155127995,111828.8383352314,120469.49284206606,130294.50781515376,141430.49199576434,154004.25073137265,168141.37330841538,183964.4219897782,201590.87142874987,221130.9336389598,242685.3908395844,266343.54435582826,292181.371397018,320259.9629949657,350624.2964013817,383302.3749160337,418304.7486148042,455624.4117918855,495237.05788142845,537101.6606322419,581161.34153232,627344.4778295913,675566.0026992961,725728.8487755044,777725.4879415715,831439.5234941687,886747.2951102466,943519.4620515164,1001622.535389062,1060920.3354362499,1121275.355818134,1182550.020515393
G,305367.0,305367.0,305426.62852162356,305526.32421179296,305653.8344676384,305801.52068546065,305964.65899737366,306140.3669808846,306326.9250840426,306523.3473679919,306729.1098828727,306943.97875654546,307167.90136348526,307400.9373895989,307643.2151153774,307894.90362493903,308156.1950592613,308427.2931927204,308708.40598114685,308999.7405970175,309301.5000168688,309613.88057396014,309937.0701094383,310271.2464945354,310616.57638432796,310973.21411909454,311341.30072424136,311720.9629816648,312112.3125590688,312515.4451921647,312930.4399197747,313357.3583748304,313796.24413587706,314247.1221444372,314709.9981937571,315184.85849425505,315671.669320529,316170.3767441456,316680.90645568224,317203.1636786593,317737.0331771149,318282.37935766333,318839.04646595335,319406.8588765298,319985.621474208,320575.1201242152,321213.9267452614,321933.51613533415,322760.5534096308,323719.59531417047,324835.34768707224,326134.5439162404,327647.54733551986,329409.7858825019,331463.11488358286,333857.18291816505,336650.8512803997,339913.69144447614,343727.55714204075,348188.1973736762,353296.2277072414,359065.30108716973,365518.07840964245,372678.58031649195,380567.5453163103,389199.4789083367,398580.75011858204,408708.42435782065,419569.678343228,431141.70918990136,443392.0712648941,456279.3758519976,469754.2835880764,483760.71496331395,498237.203018106,513118.31552120985,528336.08091064,543821.3620580955,559505.1332542786,575319.6275760428,591199.333080933,607081.8264409165,622908.4412906177,638624.7755570167,654181.047353047,669532.3127671228,684638.5612454922,699464.7054611796,713980.4828184275,728160.285272618,741982.9331504161,755431.4073049903
H,3727151.5369893643,3727151.5369893643,3727151.5369893643,3727151.5369893643,3727151.5369893643,3727151.5369893643,3727151.5369893643,3727151.5369893643,3727151.5369893643,3727151.5369893643,3727151.5369893643,3727151.5369893643,3727151.5369893643,3727151.5369893643,3727151.5369893643,3727151.5369893643,3727151.5369893643,3727151.5369893643,3727151.5369893643,3727151.5369893643,3727151.5369893643,3727151.5369893643,3727151.5369893643,3727151.5369893643,3727151.5369893643,3727151.5369893643,3727151.5369893643,3727151.5369893643,3727151.5369893643,3727151.5369893643,3727151.5369893643,3727151.5369893643,3727151.5369893643,3727151.5369893643,3727151.5369893643,3727151.5369893643,3727151.5369893643,3727151.5369893643,3727151.5369893643,3727151.5369893643,3727151.5369893643,3727151.5369893643,3727151.5369893643,3727151.5369893643,3462005.227798207,3196858.91860705,2931712.609415893,2666566.300224736,2401419.9910335788,2136273.6818424216,1871127.3726512645,1605981.0634601074,1340834.7542689503,1075688.4450777932,810542.1358866361,545395.826695479,280249.51750432194,15103.208313164883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
