series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03
S,1455530.6671838826,1455421.190538221,1455320.1743198407,1455221.781449481,1455122.4301757654,1455019.8524040803,1454912.5413767581,1454799.4272209993,1454679.6859672978,1454552.626785947,1454417.6250747724,1454274.0824269494,1454121.4023546553,1453958.975243206,1453786.1687067698,1453602.3210983765,1453406.7368551032,1453198.6829043932,1452977.3856778895,1452742.02846788,1452491.748972908,1452225.6369452826,1451942.7318928707,1451642.0208116511,1451322.43594057,1450982.8525400006,1450622.086701846,1450238.8932043256,1449831.9634285283,1449399.923357344,1448941.3316806594,1448454.6780338609,1447938.381399804,1447390.788707507,1446810.1736638965,1446194.735857956,1445542.6001795507,1444851.816597953,1444120.3603476286,1443346.1325710232,1442526.9614698663,1441660.6040177264,1440744.7482871148,1439777.016444204,1438754.9684630584,1437676.10660906,1436537.880737782,1435337.6944508313,1434072.9121440072,1432740.8669754486,1431338.8697721816,1429864.2188826362,1428314.2109702842,1426686.1527296351,1424977.3734905557,1451505.2892115626,1477905.7956908648,1504156.732937149,1530250.6295745505,1556177.9847704074,1581927.6837803593,1607487.2456499627,1632842.9663999674,1657979.998351463,1682882.3917842875,1707533.1159576073,1731914.0707497296,1756006.0965574349,1779788.987833887,1803241.514223687,1826341.4523426,1849065.6306347137,1871389.9892838195,1893289.656770305,1914739.0442934972,1935711.9588878,1956181.7356300435,1976121.388857811,1995503.7817959588,2014301.8134305647,2032488.620892001,2050037.7950325955,2066923.6063339007,2083121.2377802634,2098607.020915467,2113358.670981961,2127355.516847861,2140578.72137004,2153011.487929801,2164639.2491105897,2175449.833856839,2157113.559392752
E,0.0,109.47664566160485,179.91430617587952,228.05426652845279,263.70637825832364,292.6267895219613,318.20252834964094,342.4376874286077,366.530681382106,391.21204888385193,416.9420500748538,444.02619181209786,472.6827290558533,503.0820815672173,535.3698393210082,569.6801878494082,606.1437484962327,644.8921676332734,686.0608165192555,729.7903944357932,776.2278948756224,825.5271999581302,877.8494545375044,933.3633050502106,992.2450493494506,1054.6787210837456,1120.856118864409,1190.976782602241,1265.2479146869878,1343.8842408039577,1427.1078033631754,1515.1476793196143,1608.2396133439152,1706.6255567309468,1810.5531020454644,1920.2748032771437,2036.0473712130251,2158.130733850644,2286.786951995952,2422.278980748576,2564.8692684081734,2714.818185476256,2872.3822779136353,3037.8123406780514,3211.35130983819,3393.23197426099,3583.6745110111206,3782.883852184974,3991.046894911698,4208.3295706583485,4434.87379472287,4670.794321812621,4916.175538789503,5171.068230893211,5435.486362885568,5709.403921424015,6034.221217163203,6417.8811401347375,6851.419390165481,7330.404994635576,7853.258533326332,8420.207953138904,9032.640556607355,9692.699850396933,10403.032667124737,11166.627557886584,11986.707705069055,12866.655486789698,13809.954473101503,14820.140026432808,15900.753055429295,17055.293608652108,18287.172376061557,19599.65909139646,20995.827481130866,22478.49689626487,24050.171156066914,25712.975462746545,27468.59252866585,29318.199296800303,31262.405827051676,33301.198057991205,35433.886226544404,37659.06072857369,39974.557125225554,42377.43184096976,44863.94986179144,47429.58543338023,50069.036391721864,52776.25234889215,55544.476524978076,58366.300584621975
I,134.51500054771674,101.8368334192426,82.64499639355519,71.68491525610476,65.82688932704703,63.198639413623944,62.67441735645775,63.573593922062244,65.4824445217018,68.14848155276836,71.4175750122382,75.19636183085257,79.42964145897476,84.08668344149716,89.15285877482259,94.62447008222398,100.50551803929885,106.80565064621014,113.53884324791507,120.72253603642329,128.37706232117216,136.52526465302014,145.19223432642784,154.40513312311032,164.19307046365316,174.58701799593067,185.61974920871268,197.32579519319313,209.74140995237903,222.90454014376073,236.8547951193917,251.63341377627515,267.28322516046677,283.8486000527188,301.37539094982526,319.9108579772276,339.5035783488459,360.20333704771883,382.06099645049363,405.128342672512,429.45790647919085,455.1027567037239,482.11626424034034,510.5518348554693,540.4626092846974,571.901129369267,604.918969339137,639.5663317762996,675.8916082966575,713.9409055740023,753.7575379959047,795.3814889862659,838.8488438473353,884.1911978559881,931.4350442818351,980.6011479609399,1148.4169324202653,1311.8985164890828,1474.5648002057444,1639.0443870760305,1807.4156277727343,1981.4193047982694,2162.5920491341467,2352.3503871454704,2552.0439434638947,2762.989236856778,2986.4910989643877,3223.856012381487,3476.399973310868,3745.452440609171,4032.3572921840346,4338.471319364002,4665.160556199016,5013.794605945451,5385.739055860465,5782.346042184065,6204.943026424592,6654.819863303399,7133.214274286142,7641.295884362098,8180.149030164207,8750.754601428987,9353.971231963462,9990.516207438104,10660.946502160925,11365.640392311056,12104.780116002214,12878.336058568348,13686.05293285249,14527.438398115723,15401.754517504363,16308.012393861723
A,606.9206322312618,582.6432368007797,584.3678013133439,602.1283133448458,630.1851531828529,665.2712248063717,705.566210132232,750.0970187259327,798.3877022864215,850.2553575174836,905.6914284632757,964.7929357177217,1027.722870329636,1094.687605568349,1165.924224510039,1241.6936145113548,1322.2769074935436,1407.9738552215313,1499.1023188560262,1595.9983962222627,1699.0169105303607,1808.5321004565799,1924.9384185283914,2048.6513831098305,2180.1084509169395,2319.7698888900663,2468.119630482845,2625.6661043676927,2792.943024581909,2970.5101310455857,3158.9538686350897,3358.887991862417,3570.954080848964,3795.8219527876777,4034.189951521959,4286.785096278002,4554.363069007318,4837.708018264783,5137.632156103741,5454.9751231569835,5790.60309593994,6145.407609515231,6520.304068057272,6916.229915618864,7334.1424396007,7775.016180135165,8239.839919895285,8729.61323080561,9245.342556838394,9788.03681559368,10358.702505743528,10958.338312712329,11587.929211191553,12248.440070249726,12940.80877487032,13665.93888667245,14424.691876247007,15227.360559795809,16085.642100912271,17008.716159791416,18004.38209992715,19079.766182850166,20241.76173092542,21497.303521279657,22853.53902678259,24317.934988927616,25898.34277761536,27603.036651970953,29440.733243036695,31420.596995097305,33552.23409458607,35845.67606807619,38311.35342598814,40960.05927182804,43802.90256976298,46851.25069461591,50116.660934553525,53610.80075090767,57345.35680379143,61331.93301284266,65581.9382273413,70106.46441653772,74916.1566454744,80021.07645852609,85430.56063564956,91153.0775975349,97196.083998263,103565.88424169464,110267.4957769707,117304.52305887845,124679.0429943477,132391.50453568366
IH,0.0,26.047120191853015,35.236944613950776,36.995514602343036,35.92089985112139,34.14636731943932,32.58026480489521,31.54575243987731,31.103557229933777,31.209744697147997,31.789249921353058,32.767507763131135,34.0820175711462,35.68485578318575,37.5415214406968,39.628627924296595,41.93152673753313,44.44226573870494,47.15797566290014,50.07965329740687,53.21126954840638,56.559127364752754,60.1314048892351,63.93783284947642,67.9894678469277,72.29853350606865,76.87830930039469,81.74305262759331,86.9079438197197,92.38904666568817,98.20327903365325,104.3683895679758,110.90293738747104,117.82627236215306,125.15851398830752,132.9205271814956,141.13389350918698,149.82087652068748,159.00437992418622,168.70789742522845,178.95545308973323,189.77153113710804,201.18099411255662,213.20898843863762,225.88083641001305,239.2219137770553,253.25751216802513,268.0126857299236,283.5120815284215,299.77975344047906,316.83895950169654,334.7119429355379,353.41969739374895,372.9817172757242,393.4157343669783,414.7374424393621,317.0593751483757,272.14022642295197,257.9232098210619,261.70012520257603,276.1938936224878,297.28021634411215,322.6636379824653,351.10894410700826,381.9954463524491,415.05884405649533,450.2419445166862,487.60847537094736,527.2933961353084,569.474264968187,614.3546952039605,662.1546981262574,713.1048915740014,767.4428203504185,825.4103690628756,887.2516747385646,953.2111953150627,1023.5317363307522,1098.4523255656566,1178.2058792998885,1263.0166388264797,1353.0973801826021,1448.646418391359,1549.844442326217,1656.8512288418638,1769.8022955301828,1888.8055603967173,2013.938083716424,2145.2429720210002,2282.726526287599,2426.3557156917323,2576.0560546123043
IN,6.631046936621134,13.053008315724675,17.66157505142393,21.178747516225165,24.0447311558128,26.531569544785807,28.810432557032613,30.99159801374362,33.14831425682205,35.33112505903479,37.576533861724265,39.912295117684856,42.360685722901756,44.94055898934246,47.668658871981386,50.56048021618801,53.63084702889175,56.89431311392093,60.365448982180524,64.05905464549947,67.99032318315086,72.17497096694208,76.62934485659937,81.37051317365038,86.4163450194627,91.78558103635133,97.49789772704978,103.57396676929864,110.03551027938978,116.90535262307158,124.20746910122455,131.96703162351085,140.21045130773186,148.96541779391362,158.26093493213543,168.1273523863971,178.59639258976532,189.70117238632406,201.4762186017225,213.95747669577656,227.18231156767513,241.18949950745056,256.01921021755584,271.71297776714425,288.3136592908671,305.86538020594145,324.41346469847144,344.0043502253688,364.68548479476044,386.5052058286674,409.51259948019543,433.7573393766202,459.2895038924876,486.15937122573064,514.4171917568382,544.1129374175966,575.2960280822737,613.7685164909326,659.0868998300615,710.9951270860104,769.3748004173993,834.2137095259595,905.5858426756604,983.6386048931315,1068.584582368267,1160.6961892215463,1260.3021490657877,1367.7851433661997,1483.5801914643237,1608.1734692790412,1742.1013599275068,1885.9495814277632,2040.35226768454,2205.9908975020903,2383.5929776852454,2573.930393743969,2777.8173474940218,2996.1078064039125,3229.692395869104,3479.4946733805527,3746.466733251186,4031.5841024407464,4335.83990217916,4660.238266472066,5005.787026960663,5373.489693626905,5764.33678196412,6179.296558824305,6619.305300459309,7085.257176482662,7577.9938917614,8098.294233800143
D,979.0,979.0,979.2006380777792,979.4720643537776,979.7570366993418,980.0337314066701,980.2967570867319,980.5477192528309,980.7907126849269,981.0302999363676,981.2707051380902,981.5155742042781,981.7679786821161,982.0305086832043,982.3053851692584,982.5945633449372,982.8998182703644,983.2228121699202,983.5651460135193,983.9283986694471,984.3141566841309,984.7240371914479,985.1597058761911,985.6228914184804,986.1153974531513,986.6391127828139,987.1960203673018,987.7882054567601,988.417863124487,989.0873053761945,989.7989679551791,990.5554169211991,991.3593550498517,992.213628075568,993.1212307826812,994.0853129337733,995.1091850115561,996.1963237391622,997.350377333375,998.5751704357019,999.8747086570579,1001.2531826630733,1002.7149717186047,1004.2646466019369,1005.9069717914583,1007.6469068203846,1009.489606688522,1011.4404212142839,1013.504893205399,1015.6887553232092,1017.9979255134027,1020.4385008757363,1023.0167498470497,1025.7391025759537,1028.6121393742553,1031.6425771397387,1038.0250690084117,1042.9043701678843,1047.092400002054,1051.0616408300405,1055.0890054955307,1059.3394181659044,1063.9143332070296,1068.879879682956,1074.2831776528733,1080.1617952570002,1086.549233250614,1093.4781122370666,1100.9820335392917,1109.0966754038989,1117.8604485616825,1127.314897196842,1137.5049512988714,1148.4790898893302,1160.2894476225222,1172.9918815717608,1186.6460058923863,1201.3151967603314,1217.0665669429618,1233.9709076622657,1252.1025945435476,1271.539454114015,1292.3625873612639,1314.6561471893394,1338.5070671657804,1364.0047397016524,1391.240642720058,1420.3079149196228,1451.3008808976347,1484.314528627918,1519.4439430515138,1556.7837007903506
R,0.0,24.486480987999652,58.53328213165558,96.4385925157695,135.8625993586232,176.07313750541252,217.061876553541,259.11327281631867,302.60448393887935,347.9200200047946,395.42124635453064,445.4405702032797,498.285586122408,554.2463263595444,613.6026687406433,676.6308212934309,743.6086424292529,814.8198946816447,890.5576364270232,971.1269624113988,1056.8472735476807,1148.0542177249238,1245.101407713289,1348.361993222496,1458.230141978864,1575.1224683028865,1699.4794358016657,1831.7667522558975,1972.4767686251548,2122.1298895961545,2281.2759997313565,2450.4959066666133,2630.402800695929,2821.643728288236,3024.9010754814453,3240.8940556081466,3470.380194368009,3714.156803836145,3973.062435560444,4247.978301440467,4539.829649590329,4849.58708086931,5178.2677902237265,5526.9367154344545,5896.707574324164,6288.743769969675,6704.259142015812,7144.518540830666,7610.838200015831,8104.585881731286,8627.180768459128,9180.093074262966,9764.843348352286,10383.001443886698,11036.18512550658,11726.058290105346,12454.328776911561,13175.199250319327,13911.577692606492,14678.079414188558,15484.639429420526,16338.615286679484,17246.013722089883,18212.20928474534,19242.368746804917,20341.705356147824,21515.634818873412,22769.874588657523,24110.510434857555,25544.044034979306,27077.429393087907,28718.102425147634,30474.006031202716,32353.611787735466,34365.938691453935,36520.56896628069,38827.660692533915,41297.956865184395,43942.790399492114,46774.084556783455,49804.348249640345,53046.66569865298,56514.67994925305,60222.56981540273,64185.019895844096,68417.18340680358,72934.63769056414,77753.33238954323,82889.53041708669,88359.7420050603,94180.65225988429,100369.04280793597
G,57536.0,57536.0,57541.54771654647,57550.66485351469,57562.22147748929,57575.584768164044,57590.41359738474,57606.53847425673,57623.891465054,57642.465365575,57662.289991582256,57683.4184824685,57705.91945915164,57729.872602594834,57755.36622976321,57782.496035377284,57811.364513994136,57842.08077939255,57874.76061651621,57909.52667023191,57946.50871532652,57985.843975465395,58027.677472272764,58072.16239336998,58119.460472517356,58169.742377348826,58223.188101382504,58279.98735750927,58340.33997028226,58404.45626421209,58472.557445009035,58544.87597035719,58621.65590638925,58703.153265572226,58789.636321227445,58881.38589340124,58978.6956002846,59081.87206885839,59191.23509792516,59307.11776618891,59429.86647757339,59559.84093554002,59697.41403779573,59842.971682484764,59996.9124767573,60159.647338521114,60331.598982233285,60513.201279798566,60704.89848803235,60907.14433474075,61120.40095628807,61345.13768058017,61581.82965070463,61830.956286043656,62092.999579515665,62368.4422317018,62657.765624960055,62963.549097674164,63288.77449327532,63635.969390304715,64007.43682827085,64405.39980974258,64832.092888472,65289.820919609076,65780.99738025983,66308.16987547159,66874.03745477801,67481.46250211296,68133.47880303608,68833.29667262256,69584.30558003587,70390.0744295817,71254.3494901278,72181.04986686714,73174.26035837732,74238.22152397488,75377.31679326706,76596.0564766173,77899.05857876888,79291.02637572229,80776.72278492925,82360.94163855752,84048.47605621349,85844.0842038384,87752.45281584437,89778.15894395123,91925.63047452417,94199.10602251867,96602.59486080617,99139.83757570076,101814.26815079775,104628.97817064017
H,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2997588.7700932003,2969268.7195420763,2940948.6689909524,2912628.6184398285,2884308.5678887046,2855988.5173375807,2827668.4667864568,2799348.416235333,2771028.365684209,2742708.315133085,2714388.264581961,2686068.214030837,2657748.1634797133,2629428.1129285893,2601108.0623774654,2572788.0118263415,2544467.9612752176,2516147.9107240937,2487827.8601729698,2459507.809621846,2431187.759070722,2402867.708519598,2374547.657968474,2346227.60741735,2317907.5568662263,2289587.5063151023,2261267.4557639784,2232947.4052128545,2204627.3546617306,2176307.3041106067,2147987.2535594827,2119667.203008359,2091347.152457235,2063027.101906111,2034707.051354987,2006387.0008038632,1978066.9502527392,1978066.9502527392
