series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03
S,8733473.260250578,8732980.401879204,8732542.254146203,8732122.771823872,8731699.67139474,8731258.622493453,8730789.849510204,8730286.136197405,8729741.64946748,8729151.242334163,8728510.037387263,8727813.174635524,8727055.655747566,8726232.244948918,8725337.403391974,8724365.243545538,8723309.495880738,8722163.483517043,8720920.102505682,8719571.80663603,8718110.596385684,8716528.012090607,8714815.13170017,8712962.573667347,8710960.505642334,8708798.659707483,8706466.354921421,8703952.527933467,8701245.772385677,8698334.387736933,8695206.438019117,8691849.8208675,8688252.346955681,8684401.829710925,8680286.184892647,8675893.539292084,8671212.347464807,8666231.515053013,8660940.526907338,8655329.577896122,8649389.70401259,8643112.911175745,8636492.29898577,8629522.17665277,8622198.168377787,8614517.305630207,8606478.104033085,8598080.62292786,8589326.506127402,8580219.002861036,8570762.968443794,8560964.844739778,8550832.621011214,8540375.776228106,8529605.204338796,9100972.933071518,9670987.397104338,10239624.796679214,10806792.37444288,11372363.368608521,11936179.989418639,12498055.354571868,13057774.554367421,13615095.081623992,14169746.872937854,14721432.194962129,15269825.587145498,15814574.047475578,16355297.622161184,16891590.533374958,17423022.9498159,17949143.471732326,18469482.364717796,18983555.53567339,19490869.201554544,19990925.159551144,20483226.52938635,20650180.6180571,20545546.077499505,20436579.985526036,20323316.496795446,20206001.05059475,20084996.00157959,19960727.399894033,19833653.285801217,19704243.698408976,19572967.40439786,19440282.738519568,19306631.145565487,19172432.621919412,19038082.568775203,18903949.735393483
E,0.0,492.8583713740157,826.809711528722,1071.494172009954,1268.067399489933,1441.0310726730977,1605.1521549475249,1769.5163276522485,1939.9052860247857,2120.1923016645437,2313.162212286313,2520.9936873222996,2745.5431384956596,2988.5119520862877,3251.544893271025,3536.2876869951383,3844.4201291460104,4177.674237515879,4537.842928024692,4926.782333706344,5346.4094897518535,5798.696287894687,6285.660124005314,6809.3513877621035,7371.83779373044,7975.185483726139,8621.43681519943,9312.584775128813,10050.54401551071,10837.11859025246,11673.966580820845,12562.561926235488,13504.153918135431,14499.724978700691,15549.947501683226,16655.140696606966,17815.228523797643,19029.699932686504,20297.57270671669,21617.36226442902,22987.05675847609,24404.099745294538,25865.381564125662,27367.240365266945,28905.47346867802,30475.35942482802,32071.690803705947,33688.81737242018,35320.698956191205,36960.96693190341,38602.992996906294,40239.96360514516,41864.958280861305,43471.02991521876,45051.28512629377,46598.96281577256,49172.706882274666,52579.393883350436,56735.68667074507,61609.87103993672,67207.96553458071,73563.808847173,80732.11314894851,88783.62125782312,97801.67630210047,107879.67157879073,119118.98308416808,131627.09612843432,145515.7240684681,160898.78670351452,177890.17324327625,196601.26375197427,217138.22581699782,239599.14056908016,264071.0435130483,290626.98953048425,319323.2662586312,350196.88452383725,380795.4458377314,409256.64193678315,435998.1837660594,461138.18835057755,484652.8859377953,506459.83650821535,526462.0387692825,544570.9998640752,560718.207854117,574860.0670061376,586979.0882277002,597082.9282457357,605202.2202497511,611387.773125036
I,190.8585081001904,144.83183232638385,121.12085413384092,110.72772613268731,108.40930239290896,111.1234413815623,117.11922245536248,125.40402509202977,135.43137005413365,146.91814018724776,159.73763864784232,173.85709747222472,189.3012313556855,206.13104167318664,224.4315377798784,244.3046588033437,265.8652127689386,289.23854854783895,314.5592022943213,341.97006774956884,371.62181940538767,403.67242209346773,438.2866212587338,475.635343321557,515.8949559458626,559.2463501168896,605.8738135236692,655.9636701573717,709.7026657099417,767.2760831917112,828.8655787604002,894.6467344309242,964.7863323205534,1039.4393644463944,1118.7458027708874,1202.82716599192,1291.782932165936,1385.6868591665925,1484.583287621101,1588.4835126261219,1697.3623204454987,1811.15479372683,1929.7534927691127,2053.0061203550695,2180.7137731233374,2312.629873123097,2448.459859074357,2587.861698269525,2730.4472576291246,2875.784547088636,3023.400821401631,3172.78649891145,3323.3998292472215,3474.672217579346,3626.014092227084,3776.8211860275815,3801.9891414014946,3878.829374071558,4012.1330460119148,4203.48145282774,4453.30070112177,4762.037059306693,5130.784540239242,5561.582365166193,6057.520678004542,6622.73921649305,7262.368313460433,7982.439020849476,8789.775237324122,9691.872593232782,10696.764529294436,11812.87417690589,13048.850435686518,14413.387464819472,15915.028251282572,17561.954681106836,19361.768363512758,21321.268119359374,23446.231353270447,25685.041997599274,27957.851917556603,30216.206739185825,32427.622325266675,34567.978095142695,36617.88925005304,38561.077235424455,40383.71189147387,42074.19501409929,43623.11555907414,45023.24421659279,46269.507607402425,47358.920183704424
A,1582.1988800146107,1433.62802999394,1391.9885104473144,1417.260667938215,1486.3207326959955,1585.9805192338708,1708.9126020737547,1851.2634767208351,2011.2555497517226,2188.368893422681,2382.863114892454,2595.498817990415,2827.376202066216,3079.842377861548,3354.4389358006133,3652.8730021893193,3977.001876212807,4328.825356137743,4710.4822103696115,5124.248616697753,5572.537185586505,6057.895638452071,6583.004469514414,7150.673062824661,7763.833813770559,8425.533846557679,9138.923944293783,9907.244328217559,10733.806945326647,11621.9739549179,12575.132148670244,13596.6630991641,14689.908910528633,15858.133543687505,17104.479807806594,18431.922248144536,19843.216316237864,21340.844377305868,22926.959286389603,24603.326441929014,26371.265394758106,28231.592242402156,30184.564163180094,32229.82753224516,34366.37110359227,36592.48573120547,38905.732034344124,41302.917284925265,43780.08261089495,46332.50137372452,48954.689299341924,51640.42663134678,54382.792246769844,57174.20934259985,60006.50198065471,62870.961483135965,65758.42141367201,68860.29477593015,72313.58685960672,76226.71596396172,80691.93669695733,85793.97625005517,91615.98965023381,98243.6452793236,105767.91313139405,114286.94409773772,123907.29168663241,134744.62898288036,146924.04485984723,160579.95746585834,175855.65444814556,192902.45432270825,211878.47900028655,232947.0315764171,256274.58425814076,282028.39696468646,310373.8058425561,341471.24068249715,375473.04896266747,412054.6147272598,450570.4697703239,490514.5596697805,531450.632666844,572978.9174098752,614721.6289372491,656318.1570621503,697425.0587962347,737718.2158284922,776895.7204812174,814680.7152522767,850823.78445611,885104.7120255667
IH,0.0,9.822355265124623,12.17175788545758,12.080019093196547,11.501080144066183,11.10367399927689,11.052462442613429,11.336430495625127,11.899202874530328,12.685575929654568,13.654462484493287,14.77960617021137,16.04670848962666,17.45017314498346,18.99045135964015,20.672134803880724,22.502675267345392,24.491560670516336,26.6497994546487,28.98960325103173,31.524191753105015,34.26766930134664,37.234940362867405,40.44164269982061,43.904084407358994,47.639175600498135,51.66434836020676,55.99746029956326,60.65667823040472,65.66033918918917,71.02678670343212,76.77418076600844,82.92028060968408,89.48220008544148,96.47613627161141,103.91707288593506,111.8184611339821,120.1918817851661,129.04669348836632,138.38967357603866,148.22465879988317,158.55219452427164,169.36920180139248,180.66867238891354,192.43940207590856,204.6657725957075,217.32759188220462,230.4000014487185,243.85345824239607,257.653796488165,271.76237284900157,286.13629578439657,300.7287373975592,315.48932344839443,330.36459470226725,345.29853050768895,487.1026300575975,558.3187965803706,599.5048364576659,630.8262637712869,662.241841896936,698.6397621672355,742.4393789515116,794.9118396565973,856.8486501506088,928.8963455167892,1011.7194397811841,1106.0748390109213,1212.8405097875939,1333.0203401194908,1467.7362825498333,1618.2132195736222,1785.7590844240046,1971.741335961632,2177.5602568609297,2404.6193596814537,2654.293244314004,2927.893432958802,3226.632938075607,3551.5905408826393,3898.9341101830514,4260.055241544493,4626.668837707285,4991.995632498125,5350.696150124266,5698.532248997968,6032.0646398240715,6348.449967377067,6645.323669357881,6920.739119676482,7173.137519131168,7401.331046696867
IN,36.20432050868192,66.51193077133273,83.15235693840198,92.584723725036,98.50931900187243,103.02917073047854,107.32771044307017,112.06348496658308,117.59948944699542,124.13593417598784,131.78671553051495,140.62314586055953,150.69870683336612,162.06285756922813,174.76857309684934,188.8763258267272,204.45607587063193,221.5881668763752,240.36363434249495,260.8842069568322,283.26215033040955,307.6200267616656,334.09040110167126,362.8154978349563,393.94680026619307,427.64457466741396,464.07729780640165,503.42096400504727,545.8582470020415,591.5774920487303,640.771514713304,693.6361848016886,750.3687766884225,811.1660712805508,876.2221999032469,945.7262266621537,1019.8594733216472,1098.7925993920132,1182.6824598125745,1271.6687731305597,1365.8706440877925,1465.3829956239756,1570.27297598603,1680.5764163318988,1796.294422332951,1917.3901892120975,2043.786132851078,2175.3614295977877,2311.950053876437,2453.3393954964617,2599.269527717032,2749.43318291122,2903.4764755532196,3061.000392874702,3221.5630527016774,3384.6827065883153,3549.8414453460873,3692.8744250783757,3827.187151431691,3964.9105784738795,4116.499813096509,4290.787935412953,4495.254007835714,4736.3664800488905,5019.927089057826,5351.378800315248,5736.063341446902,6179.425599074751,6687.167676145913,7265.357394942063,7920.496153320164,8659.550325202566,9489.949449659909,10419.55362017531,11456.59194428296,12609.573764953535,13887.174519838514,15298.09861507967,16850.922424639954,18553.921388876155,20404.231949480298,22384.31039726196,24470.27901733553,26635.987153496706,28854.967908504936,31101.38799089551,33350.533747120346,35579.09324339499,37765.35134724384,39889.34453810431,41932.989474281596,43880.18572501799
D,3018.0,3018.0,3018.1940244714647,3018.4344575271602,3018.673078433916,3018.900263354029,3019.119598169445,3019.337921384797,3019.561853921937,3019.796903101718,3020.047485787697,3020.3172072338452,3020.609154042755,3020.9261303737276,3021.270829840407,3021.645954969612,3022.054298989056,3022.498802324299,3022.982592819163,3023.5090157711193,3024.0816576983284,3024.7043662522497,3025.381267692389,3026.1167826914825,3026.9156408205363,3027.78289379015,3028.7239273424307,3029.74447156157,3030.8506092795333,3032.04878218377,3033.345794179723,3034.7488115190467,3036.265359174185,3037.903312922012,3039.6708865953774,3041.576613973771,3043.6293248153797,3045.8381145848307,3048.212307505801,3050.7614126666836,3053.4950730309247,3056.4230073506897,3059.5549451509205,3062.9005551370096,3066.4693675780495,3070.270691422376,3074.313527105157,3078.606476200509,3083.1576492440336,3087.9745731969183,3093.064100131664,3098.4323187852124,3104.0844706426756,3110.0248721810913,3116.2568448172447,3122.782653968676,3127.225901204608,3133.493861312739,3140.678219861926,3148.392553900944,3156.50992714529,3165.0315511128197,3174.0215377994055,3183.575131072806,3193.8039317258836,3204.8297255246466,3216.782617746969,3229.801264532801,3244.0340617704355,3259.640702884189,3276.7937991715335,3295.6803990389817,3316.5033124885335,3339.4821798015255,3364.854237505053,3392.874740743647,3423.8170048409315,3457.9720332559405,3495.647705909311,3537.1675115754174,3582.868820615849,3633.039692130073,3687.8574136219067,3747.392661265417,3811.628876702736,3880.480794040455,3953.8086116451273,4031.42827164905,4113.119128336239,4198.630109174572,4287.685092753263,4379.987899278324
R,0.0,154.46756026670207,304.8305975925433,455.1683689025308,609.3696523027517,770.7313243744798,941.9886984651398,1125.4640954832628,1323.2197396476058,1537.1818765561727,1769.232942307608,2021.2777616264484,2295.291070349794,2593.3524775733445,2917.673346077877,3270.618650074005,3654.725810206667,4072.721770082725,4527.539086211896,5022.331479036695,5560.489078989114,6145.6534578366345,6781.732435093137,7472.914574715685,8223.683227922846,9038.829927257017,9923.466891252374,10883.038356361829,11923.330412463249,13050.478980482143,14270.97553623435,15591.670154782976,17019.771426061212,18562.842777151458,20228.794731521237,22025.872642849798,23962.639462920277,26047.95314126627,28290.938310328744,30700.951984721294,33287.543097012756,36060.40580453296,39029.32663041717,42204.125644704596,45594.592044033096,49210.414646607074,53061.107977153944,57155.934768480874,61503.82584572137,66113.2984802677,70992.37439706043,76148.49868654086,81588.46090751649,87318.31966719558,93343.33192901095,99667.88822846184,106295.45487446494,113291.94631399908,120638.60559932019,128351.99908169828,136470.93032643132,145049.54699955042,154153.83506199464,163860.01643311844,174254.0464066913,185431.7631172489,197499.43093179946,210574.52196695024,224786.63541956135,240278.48413535842,257206.89315598673,275743.76221669023,296076.94704385905,318411.015158329,342967.83227908635,369986.9364187287,399725.6591082627,432458.95735083293,468478.92609312,508093.96918590827,551583.8956852574,599165.5221296923,651000.9850367644,707203.4254603988,767840.7971217915,832938.5992103644,902482.1428766492,976418.7449642055,1054660.0688365072,1137084.7094139531,1223541.0396402925,1313850.2874161417
G,267897.0,267897.0,267908.2160882221,267927.03198180534,267951.41621439776,267980.2739079063,268013.06777442177,268049.5965811245,268089.8658600779,268134.01271867723,268182.2624092262,268234.9035592034,268292.27437655505,268354.7553160044,268422.7655511028,268496.7616856908,268577.23777573963,268664.7261047114,268759.7983719847,268863.06707872654,268975.18696653895,269096.8564034226,269228.81863215944,269371.86280586064,269526.824738814,269694.5873007502,269876.0803810516,270072.28034748585,270284.2089226713,270512.93140139006,270759.55413368257,271025.22120292025,271311.11023523455,271618.4272871661,271948.4007724571,272302.27440666466,272681.2991696684,273086.7243108961,273519.7874496835,273981.70385284437,274473.6550022399,274996.77659567137,275552.1461533818,276140.7704283686,276763.5728400963,277421.3811666995,278114.91573922953,278844.7783820879,279611.4423360621,280415.2433843308,281256.3723778918,282134.8693259763,283050.6191804237,284003.34940225823,284992.6293555942,286017.8715303112,287078.3345524618,288197.3688441446,289393.9298740719,290685.07658882847,292087.14620775153,293616.6129155228,295290.7209715197,297127.9597322408,299148.4284643191,301374.12309260416,303829.1649141002,306539.98226203886,309535.44953690324,312846.983425032,316508.5931111219,320556.8795820948,325030.9785259125,329972.4417100754,335425.0529563192,341434.5767728349,348048.4401940979,355315.35120493727,363284.8600538376,371950.7072082208,381264.25216971064,391186.3603813603,401680.58530178684,412709.939456031,424235.5592631658,436216.3736621481,448609.2977401915,461369.6874429981,474451.9065984144,487809.9210310976,501397.8708115526,515170.59313663153
H,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,13079012.410855735,12496572.602138957,11914132.79342218,11331692.984705402,10749253.175988624,10166813.367271846,9584373.558555068,9001933.74983829,8419493.941121513,7837054.132404734,7254614.323687956,6672174.514971177,6089734.706254398,5507294.89753762,4924855.088820841,4342415.2801040625,3759975.4713872843,3177535.662670506,2595095.853953728,2012656.0452369498,1430216.2365201716,847776.4278033933,265336.61908661504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
