series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03
S,351661.3351170975,351632.9242379235,351609.3426554351,351587.8081536633,351566.726647767,351545.1575840387,351522.5186001188,351498.4217936192,351472.5826845612,351444.7694240657,351414.7743151965,351382.3977145467,351347.4388098191,351309.6902218454,351268.9347407072,351224.94326170295,351177.47340735834,351126.2685558965,351071.05712742516,351011.5520525444,350947.4503896253,350878.4330807996,350804.16485054727,350724.2942589767,350638.4539268135,350546.26095199626,350447.31753927196,350341.2118645902,350227.5191955305,350105.80328747234,349975.61807270045,349836.5096560801,349688.01862629515,349529.68268591084,349361.0395967293,349181.6304291372,348991.0030955524,348788.71613887255,348574.34273731033,348347.47487750254,348107.7276387206,347854.74352281407,347588.19675763656,347307.79749656544,347013.29583371273,346704.4855538392,346381.2075380248,346043.3527508882,345690.8647425164,345323.7416080519,344942.03735974315,344545.8626797356,391129.18488606217,437623.42884664127,484031.53247742535,530342.8433196105,576542.713892174,622612.3593259333,668528.5774084332,714263.315613382,759783.105644472,805048.4047888017,850012.8954971391,894622.8056876597,938816.3239696862,982523.1950465185,1025664.5877021337,1068153.3266667465,1082923.5978418787,1077027.3121327404,1070590.7880279429,1063596.7329795298,1056057.2455857291,1048001.3037864692,1039468.6167488643,1030505.9485429226,1021164.4961170572,1011497.82042823,1001560.1600389556,991405.0664054169,981084.3298361641,970647.1685576177,960139.6504539137,949604.3145599103,939079.9589314725,928601.5629833332,918200.3151773002,907903.7204571442,897735.7655884102,887717.1242491276,877865.3871346704,868195.3053840246
E,0.0,28.41087917395117,46.310285827599515,58.58273043388348,67.94769024341416,75.92721592307505,83.38075665831693,90.80141182621077,98.48023851901962,106.59745131067658,115.27306991773821,124.59505658397548,134.6349499947665,145.45654796951607,157.12071951378394,169.68805461530727,183.22029803686215,197.78108989136985,213.43630038443746,230.25411518831032,248.30495506977581,267.6612728814834,288.3972485575174,310.58839041659735,334.3110444964841,359.64181041442276,386.6568610558598,415.4311635264558,446.03759988084323,478.54598796286547,513.0220051421768,549.5260207340898,588.1118463722405,628.8254174821196,671.703423167271,716.7719061258599,764.0448584855403,813.5228434682884,865.1916763368331,919.0212008772571,974.964199483731,1032.9554754935061,1092.911145572328,1154.7281775290053,1218.2842048759182,1283.4376437742678,1350.0281308338083,1417.8772918036261,1486.7898418146874,1556.555007916324,1626.9482546417803,1697.7332837210142,1768.6642703018247,1914.4873053139645,2117.286063118642,2376.317857961368,2694.983563457174,3080.1412666580745,3541.6947804781803,4092.417469085256,4747.943793829849,5526.855740385745,6450.793733622726,7544.5246460292765,8835.90128444851,10355.649800378187,12136.927034338794,14214.602512509873,16624.24240018503,19195.679629286296,21793.067808226606,24428.50929499447,27082.294829796203,29721.777663096906,32310.109168082367,34810.75554040755,37190.05685819153,39418.72117538034,41472.63732957868,43333.20349720168,44987.299367014166,46427.00077215781,47649.11872143016,48654.630871147485,49448.06032535581,50036.84420842395,50430.72317277221,50641.17325837377,50680.89347543305,50563.35611962902,50302.42201016034,49912.01935877404
I,57.05460063430747,43.50430104491129,36.67639268974263,33.67782868372193,32.90511416532053,33.47100346021863,34.88670084819533,36.88550373937897,39.32487014547832,42.13201074297881,45.27365135954166,48.73922372955887,52.53151889756643,56.6614887182641,61.145352919606815,66.00298675469344,71.25701841088976,76.93231762751282,83.05569710881107,89.655726138065,96.7625989879248,104.40802466970578,112.62511782754515,121.44827792523041,130.91304795001523,141.0559461545268,151.91426571093768,163.52583803619825,175.92875623803158,189.16105579122487,203.26035028151563,218.26342091149644,234.2057594867951,251.12106581102097,269.04070181915176,287.99310636100506,308.00317628378974,329.0916213141643,351.274302148244,374.5615630494892,398.95757204239305,424.45968337665005,451.0578382182051,478.7340203963041,507.46178440246115,537.2058726159316,567.9219378611878,599.556385855968,632.0463498887767,665.3198072157581,699.2958432711657,733.8850659621355,768.9901682168627,773.6799819039068,795.0539810873922,835.5083590005556,896.6825595691791,980.1804111241945,1088.0064299564706,1222.8302594657025,1388.155975562773,1588.4433528246814,1829.2061291126827,2117.0966738666516,2459.975542063191,2866.9567241322347,3348.414114118341,3915.931584657769,4582.1783608811,5360.69366804652,6240.2698271346835,7196.05476256643,8211.587663912691,9272.546016400016,10364.556316832688,11472.68996213586,12581.656166948176,13676.256968138012,14741.900210666832,15765.070389443077,16733.70931732049,17637.487693507745,18467.966091208767,19218.65440114647,19884.984651497176,20464.21475298844,20955.28108175841,21358.61668397479,21675.949868794127,21910.095506518606,22064.748794389103,22144.288812700917
A,35.46039147569639,33.4090292001107,33.654277834843825,35.25748408736557,37.70873537683307,40.73608882712858,44.20001170706201,48.03492742033523,52.21685329054766,56.74550608069501,61.63443395239871,66.9056018687935,72.5864472036966,78.7083041574418,85.30558492315274,92.41537710767624,100.07726757136955,108.33328637133512,117.22791071902462,126.80809436982322,137.1233018571197,148.2255345847365,160.16933984754837,173.01179594902345,186.81246761613022,201.63332637968256,217.53863078125943,234.59476135830894,252.8700054544648,272.4342870746729,293.35883730692944,315.715801304978,339.57777850165377,365.0172936258111,392.10619724408866,420.91499594984026,451.5121139716672,483.9630898559899,518.3297139596773,554.6691147212861,593.0328039977151,633.4656940760794,676.0051012038568,720.6797525194046,767.5088150004182,816.5009663715866,867.6535287245504,920.951685818577,976.3678045867506,1033.8608802357753,1093.376122496205,1154.8446980874478,1218.1836413763817,1283.295941630103,1355.8201376986808,1439.6951402671702,1538.5750630928173,1656.1633381776126,1796.474888197958,1964.051588317977,2164.1517583517125,2402.9280448399313,2687.6016381475383,3026.6349137959855,3429.899300035384,3908.8303286849023,4476.557419527141,5147.992223351714,5939.856813208214,6870.632356012936,7944.68610943632,9155.71888121856,10498.723634510447,11967.472100448738,13553.593654649496,15246.377140767181,17032.93040273678,18898.526762364083,20827.045988639264,22801.45206602674,24804.26851075564,26818.02405720921,28825.65068568967,30810.823287257484,32758.236096540975,34653.81551271115,36484.872204492225,38240.19761644987,39910.11133954134,41486.466460066105,42962.620126937596,44333.37632627235
IH,0.0,2.2871583090108603,3.9940490177477384,5.399559850986675,6.662083731711185,7.873166480431111,9.087302802660297,10.338509614687737,11.649561071512943,13.037148058028828,14.514772985192323,16.094385525514777,17.78731799842179,19.604830914517667,21.55844128349133,23.660129630540876,25.92247902261952,28.358775658775272,30.983087330070198,33.81032863817185,36.85631768508243,40.13782656888314,43.67262664131537,47.4795286580022,51.57841743478544,55.99028027812619,60.737228209662895,65.8425088154246,71.3305093991367,77.22674899814106,83.5578577279474,90.35154185960208,97.63653300759111,105.4425198209965,113.80006063389958,122.74047564944283,132.29571741187686,142.49821856756364,153.38071623277207,164.9760526743178,177.31695246684595,190.4357768125587,204.3642562863395,219.13320388840032,234.77221093070216,251.30932893178473,268.77074132364476,287.1804293582703,306.55983711392906,326.927540916509,348.2989287854762,370.6858956673839,394.0965602174772,447.9503938034747,501.1144222676617,554.9399414219962,610.9436171963999,670.743540941027,736.0543666828639,808.7175249819895,890.7520400748014,984.4179152615004,1092.2879862864427,1217.3262309896888,1362.9713173785944,1533.2240746647815,1732.7368610668525,1966.9016815376494,2241.932558868023,2564.936282785597,2943.964493135352,3386.0109131422614,3895.9383554911165,4477.193659043484,5132.007148532845,5861.4126223319245,6665.226527828958,7542.043015985267,8489.26557346696,9503.179157070923,10579.058650004754,11711.305691551812,12893.604571599953,14119.087946982505,15380.50404401491,16670.37837282248,17981.164524043597,19305.380162076166,20635.72575158518,21965.184786640722,23287.1053037071,24595.263246731014
IN,11.263141280385327,22.376146675679678,30.66605459625353,37.497562861259524,43.64606207579429,49.56006129951831,55.506939984521736,61.65402035778079,68.11374454401974,74.96891663694821,82.28686763397808,90.12746237098767,98.54768141516016,107.60429677150294,117.3554856874199,127.86185185122658,139.18711468482059,151.39861126784274,164.56769061935245,178.77004377976624,194.08599269844044,210.60074929332995,228.40464929284585,247.59336142206777,268.26806995082484,290.53562691517834,314.508669094008,340.3056938760752,368.05108739385525,397.8750976878598,429.91374519102317,464.30866249856535,501.2068552381115,540.7603759083362,583.1259028460885,628.4642170463615,676.9395704286497,728.7189403438031,783.9711666655369,842.8659697168098,905.5728495353234,972.2598695593595,1043.0923306710267,1118.231344604798,1197.8323189313828,1282.0433690588595,1371.0036758381134,1464.8418102912392,1563.6740495687382,1667.6027103558274,1776.7145274720701,1891.0791062417693,2010.747477279896,2135.750781595054,2260.013627218817,2386.839507233875,2519.9609118786916,2663.384220301302,2821.3790187936893,2998.5536920403315,3199.9822096453427,3431.3626451727696,3699.1975212890984,4010.991149339111,4375.461052773491,4802.760302973518,5304.705824154655,5895.004931880902,6589.46899616445,7406.19965404847,8365.73002732309,9486.107028069378,10780.23096089222,12257.580644941285,13924.681142435815,15785.133066157761,17839.541979703645,20085.486822656683,22517.578579028657,25127.619432133226,27904.852746779103,30836.284866860267,33907.05623371975,37100.83933811367,40400.24310227704,43787.206506027636,47243.36796422869,50750.400678910104,54290.30763299667,57845.67289207902,61399.868356568186,64937.21704520884
D,1072.0,1072.0,1072.00819044847,1072.0224933729935,1072.0418295145043,1072.065686828313,1072.093881100699,1072.126423266689,1072.163446077888,1072.2051638414898,1072.2518506357294,1072.3038288917696,1072.3614638332535,1072.425161265527,1072.4953673184868,1072.572569365119,1072.6572976813754,1072.7501276039106,1072.8516820480402,1072.9626343066666,1073.0837110827588,1073.2156957248394,1073.3594316433014,1073.5158258887934,1073.6858528743874,1073.87055822185,1074.0710627097276,1074.2885662974359,1074.524352195364,1074.77979094627,1075.0563444780867,1075.3555700827571,1075.6791242700112,1076.0287664391803,1076.4063623063955,1076.8138870189796,1077.2534278837459,1077.7271866314484,1078.237481136056,1078.786746505077,1079.3775354561096,1080.0125178953792,1080.6944796164798,1081.4263200420617,1082.211048937941,1083.0517820381638,1083.9517355309135,1084.914219368785,1085.942629382647,1087.040438195874,1088.2111849547568,1089.4584639109892,1090.7859119127684,1093.6084606451418,1096.8167145195184,1100.4057331005615,1104.3802540335525,1108.7558774374154,1113.5597923210828,1118.8314681725346,1124.6235629417113,1131.0031949795673,1138.0536689479618,1145.8767163487773,1154.5952969125583,1164.3569983646225,1175.338062665213,1187.7480523084675,1201.8351477270721,1217.8920346448567,1236.2622981396719,1257.347189729861,1281.5980504971274,1309.5010493475324,1341.5670417021736,1378.3228567329613,1420.3027277522656,1468.039573455066,1522.056243741476,1582.856992090938,1650.9194645685134,1726.687465603078,1810.5647037497065,1902.9096539802085,2004.0316068463644,2114.187915160103,2233.5823988836646,2362.3648300369127,2500.631391598342,2648.4259867341193,2805.742265875633,2972.5262375991006
R,0.0,2.2014981606766604,4.461344638121626,6.867437534372165,9.47508761331268,12.322443630549392,15.439057267635588,18.85066064356564,22.581852278232944,26.657629751342846,31.104288806778698,35.94997697054216,41.225061325863166,46.962398845661426,53.19755813466052,59.969019460318684,67.31836772156146,75.29048617063204,83.93375485298414,93.30025552267725,103.4459834815061,114.43106596529267,126.3199861305281,139.18181125147038,153.09042335176412,168.12475012784017,184.36899365449295,201.91285398781758,220.85174439569946,241.28699455455174,263.3260376597911,287.0825770163297,312.6767273163841,340.23512548964976,369.8910057417948,401.7842331992438,436.06129047031567,472.87521143418394,512.3854566985248,554.7577254411976,600.1636987852419,648.7807104603484,700.7913412831685,756.3829349425735,815.747033696438,879.0787338582008,946.5759623509707,1018.4386771033028,1094.867995616026,1176.0652576000614,1262.2310291233962,1353.5640571617007,1450.2601847722433,1552.5112382583138,1660.875376106717,1775.762790498357,1897.8726373441484,2028.1843678246726,2167.9655131857744,2318.79443225494,2482.596912474186,2661.6960647380465,2858.8754221099216,3077.4554282779764,3321.383532660827,3595.3378698936895,3904.843977257184,4256.403191920644,4657.630291310262,5117.396652657749,5645.973818884268,6254.2613609722175,6953.123329394003,7753.367490475788,8665.611189123207,9700.102678767009,10866.531630004383,12173.847664013403,13630.098446145392,15242.294470839413,17016.304517616158,18956.783305715377,21067.130948911203,23349.482351684746,25804.723652218112,28432.532158755923,31231.43588674394,34198.88872325713,37331.35736186406,40624.41640942776,44072.848417914516,47670.745998911974
G,118692.0,118692.0,118695.5042349958,118701.21620621881,118708.44187681067,118716.82263379382,118726.1875959107,118736.47188749032,118747.67145238379,118759.81813380466,118772.96600286773,118787.1839340766,118802.55165131309,118819.15770213399,118837.09850300263,118856.47797804506,118877.4075246357,118900.00615582871,118924.40073413306,118950.72624657501,118979.12609029084,119009.75234820627,119042.76603967666,119078.33733350743,119116.64571179882,119157.88007327118,119202.23876454188,119249.92952749158,119301.16935054181,119356.18421148203,119415.20869952589,119478.48550461969,119546.26476274007,119618.80324706092,119696.36339649158,119779.21217522344,119867.61975958831,119961.85805172534,120062.19902324222,120168.91289618258,120282.26617308319,120402.51953259956,120529.92561194555,120664.72670205486,120807.15238573597,120957.41715295475,121115.71803054117,121282.23226589499,121457.11510550247,121640.4977091588,121832.48523964769,122033.15516525478,122242.55580892797,122460.7051732564,122696.84054144465,122957.98937366025,123251.08752623848,123583.49032371426,123963.39897604915,124400.23624244274,124905.00036553729,125490.61796288626,126172.30757845947,126967.9569145336,127898.50845183054,128988.3400726968,130265.61946319125,131762.60391744826,133515.85158256692,135566.30738299046,137933.92761442452,140621.9131009634,143634.95738736435,146975.32305250395,150641.24598247264,154626.41710553537,158920.02122274676,163507.09147637297,168369.04810174298,173484.3374318811,178829.11142656143,184377.90376921024,190104.2707661496,195981.3753893557,201982.50119621353,208081.48962967686,214253.09943734604,220473.29079163077,226719.4393347205,232970.48702133223,239207.03749675243,245411.404017836
H,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,771923.6291597344,724929.8293100828,677936.0294604313,630942.2296107798,583948.4297611283,536954.6299114767,489960.83006182517,442967.0302121736,395973.230362522,348979.4305128704,301985.63066321885,254991.83081356727,207998.0309639157,161004.2311142641,114010.43126461253,67016.63141496095,20022.831565309374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
