series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03
S,1810790.5637250072,1739960.8963673,1727822.0372126738,1715885.2149473466,1704259.5887342803,1692985.2637480327,1682073.4595122288,1671522.5057018555,1661324.743921979,1651469.7191852112,1641945.7434751142,1632740.6982476714,1623842.4607935285,1615239.1353494555,1606919.1783565371,1598871.4641075353,1591085.3157283098,1583550.515485366,1576257.3025587753,1569196.3631765188,1562358.8161454636,1555736.195710001,1549320.4329927505,1543103.836844291,1537079.074651204,1531239.1534667998,1525577.4017031277,1520087.4515359001,1514763.2221130794,1509598.9036149732,1504588.9421833947,1499728.0257161756,1495011.0705085539,1490433.208712964,1485989.7765822336,1481676.3034572403,1477488.501458011,1473422.2558365343,1469473.6159498426,1465638.7868128936,1461914.1211922406,1458296.1122032483,1454781.3863755758,1451366.697153711,1448048.9188014308,1444825.0406811426,1441692.16188108,1438647.4861652784,1435688.3172231067,1432812.0541968788,1430016.1874677225,1427298.2946814082,1424656.036997276,1422087.1555447152,1638729.8981565535,1854744.4448580083,2070085.0940083396,2284713.052900475,2498585.263225533,2711650.641445983,2923847.0068651377,3135098.632589776,3345314.302418233,3554385.748402752,3762186.3663092363,3968570.1466400367,4173370.8064963417,4376401.15403896,4577452.756620444,4776296.011478768,4972680.731109383,5166337.352034239,5356978.854875599,5544303.446320132,5727998.002767735,5907742.216536459,6083213.325662694,6254091.255657427,6420063.963459895,6580832.755478311,6736117.354950378,6791682.762355277,6717965.401884472,6642529.791079,6565361.430640408,6486638.540613529,6406627.304880704,6325628.074772281,6243946.9905907065,6161880.7757857675,6079708.618361049,5997688.013573281
E,0.0,70829.66735770713,68797.5889311092,66970.03286669162,65196.92107956956,63427.255693242885,61649.12766043956,59865.90043335331,58086.25260603192,56319.923033026455,54575.93513897802,52861.93755367444,51184.05280590815,49546.951540033,47954.01773723679,46407.54049171427,44908.902083999455,43458.749100215806,42057.14185001495,40703.681528947054,39397.616542742486,38137.930231561106,36923.41246112933,35752.71748156521,34624.410252037334,33537.00317453748,32488.984917018468,31478.842756955186,30505.079650951146,29566.22703771012,28660.854210442794,27787.574948779187,26945.051976952764,26131.999711632503,25347.185676587083,24589.430889855204,23857.609470013875,23150.647659506238,22467.522423104056,21807.2597469765,21168.93273727759,20551.659595604193,19954.60153123803,19376.96065603648,18817.97789656686,18276.9309490815,17753.132295786276,17245.927295216883,16754.692355119696,16278.833192802795,15817.78318528514,15371.001809570807,14937.973171881864,14518.204623593534,14111.225460843802,14413.86679406913,15329.856030189558,16775.27296272389,18687.252957251272,21023.533976264956,23761.406534726208,26896.250845558876,30439.860713935595,34418.72209685377,38872.358175020934,43851.78996424678,49418.10407371118,55641.074415373165,62597.75599753774,70370.95749749613,79047.5047491787,88716.22825899342,99465.64205588849,111381.3250451043,124543.06459146696,139021.86903171177,154876.9943001524,172153.15348322137,190878.08246283612,211060.61851601678,232689.4140105386,255732.3594927409,278285.18059660465,298044.0944595622,315582.5792175456,331166.65751983516,344921.164853871,356911.7933419808,367185.30306878634,375788.5156510496,382776.42052043753,388214.69808414264
I,32068.2229326619,24927.81955580606,26260.144789108977,27098.344761262917,27572.317157966434,27768.452532208055,27748.94978163098,27561.001163490946,27241.6178116156,26820.413190195257,26321.353310433216,25763.944687356303,25164.093709373108,24534.759955044465,23886.47125239446,23227.740108890855,22565.406053642022,21904.920028589728,21250.582084734513,20605.740671819858,19972.95991051677,19354.159951290607,18750.734605101647,18163.649738934248,17593.525384685367,17040.704067018032,16505.307486716993,15987.283383633463,15486.444136211554,15002.498425060017,14535.077090341638,14083.754142438826,13648.06373877521,13227.513813750073,12821.596940810841,12429.798913414132,12051.60545294817,11686.507384789167,11334.004566934527,10993.608807681732,10664.845968361547,10347.257413102056,10040.400939050525,9743.85129659288,9457.200389177018,9180.057225755932,8912.04768509605,8652.814139797574,8402.014978465133,8159.324056724214,7924.430101426632,7697.036087194186,7476.8586002175925,7263.627200792986,7057.083793302294,6992.750855349055,6970.913765887865,7042.529513150439,7240.034308922182,7583.157224491153,8083.507174597632,8748.124760316769,9582.169429110865,10590.89712694993,11781.068368238015,13161.909053656378,14745.726245310614,16548.259501154243,18588.826805006633,20890.30416369584,23478.960927901386,26384.159868298528,29637.922701676172,33274.35844337339,37328.95358148003,41837.72907641736,46836.27854010971,52358.71313715284,58436.54995897642,65097.589972658076,72364.83751133911,80255.51457070748,88780.2195604063,97762.34832437761,106837.35370756758,115770.57363644868,124400.93256376356,132612.25241741142,140318.3721488558,147455.20183494373,153976.2388554691,159849.78391150673
A,33956.51808690038,32449.81042879219,38298.06977960385,43677.7386698015,48630.65384171519,53181.35318914334,57348.03832474629,61146.877828007426,64593.66893826225,67704.40094020149,70495.3557393968,72983.02126311911,75183.94085748415,77114.5537982544,78791.05051505468,80229.25124019234,81444.50977509475,82451.64087884425,83264.86848614634,83897.79159750877,84363.36476747016,84673.8903989756,84841.0204061658,84875.76516984978,84788.50804906822,84589.02401539113,84286.50124015045,83889.56468960551,83406.30097222171,82844.28383983325,82210.59987465528,81511.87400090622,80754.29454683606,79943.6376534411,79085.29088286494,78184.2759248188,77245.27033531827,76272.62827032241,75270.40019889042,74242.3515974195,73191.98063936851,72122.53490441047,71037.02713785408,69938.25009597071,68828.79051600129,67711.04225145686,66587.21861415838,65459.36396452071,64329.36459106315,63198.95891917397,62069.747087891425,60943.199931983414,59820.667404987136,58703.38647716786,57592.488540616825,56489.00635196711,55465.62819712661,54581.91096564896,53886.13382789308,53417.965187143134,53210.96468511611,53294.866143583145,53697.60868570227,54447.10526798715,55572.755609667845,57106.72170483139,59084.988340532225,61548.229185537006,64542.492628234446,68119.7124893048,72338.03890656275,77261.97585716096,82962.3055004957,89515.77704036645,97004.53994379021,105515.30839409053,115138.25541712712,125965.65012773332,138090.26831725595,151603.62307966122,166594.0762427061,183144.90124209708,201332.37258703192,221033.43754112703,241893.45265394176,263632.519387451,286010.53152188775,308810.88186496706,331833.33392621536,354891.3474845327,377811.4771931803,400433.63197630993
IH,0.0,1599.4407679927874,2730.3369600479455,3848.2052392108903,4929.316120068484,5958.086623573685,6924.337771769183,7821.708207792284,8646.63741998145,9397.661103242745,10074.894870385404,10679.64154228673,11214.085288405879,11681.05012513661,12083.807971811608,12425.925885698585,12711.144803239173,12943.283878060132,13126.165726444196,13263.558781920288,13359.13364097478,13416.430819678983,13438.837776941584,13429.573419534676,13391.678603698356,13328.011399569654,13241.246096359691,13133.875104596624,13008.213062024355,12866.402576136594,12710.421142384756,12542.088865843289,12363.076688129431,12174.914882875426,11979.001633949383,11776.611552558827,11568.904023759083,11356.931300935908,11141.646289571008,10923.90997991093,10704.498502791768,10484.109794457865,10263.369865286735,10042.838674344841,9823.01561702701,9604.344636991787,9387.218976458767,9171.98558090031,8958.94917541974,8748.37603080999,8540.497437552956,8335.512905950758,8133.59311025659,7934.882594161215,7739.50225434401,7407.480546822687,7097.006837971207,6807.856727278479,6541.382905975724,6299.83601177556,6085.911706798941,5902.470372419357,5752.385479414838,5638.485026873393,5563.557719689237,5530.4018482537385,5541.900142801476,5601.108191222347,5711.347357751516,5876.295590630945,6100.071172250587,6387.305491424634,6743.20147186467,7173.574550623265,7684.873239931119,8284.17648521341,8979.165382803794,9778.067433242055,10689.572417809934,11722.720176546169,12886.76195871309,14190.998490461563,15644.599313572118,17256.409147691204,19029.23547544532,20954.51808560225,23017.113669850612,25198.016650583137,27476.0083152361,29828.73323273336,32233.455978502872,34667.626883085635
IN,5540.962608863052,10491.820219994981,13681.651435539297,16761.97804424697,19659.083861886495,22329.547971033644,24749.500862122895,26908.362238604746,28804.832785834275,30444.14659631345,31836.097151728085,32993.575949388585,33931.472026115625,34665.83716897364,35213.25291438107,35590.353956357954,35813.47426471301,35898.390043344,35860.139202147686,35712.90112567422,35469.92368086472,35143.486900775475,34744.89478808257,34284.48831652338,33771.67404914153,33214.9638960521,32622.02244420337,31999.71904071364,31354.182426697113,30690.856222146544,30014.553972795442,29329.512802377303,28639.444981355733,27947.58693702391,27256.745399166408,26569.340508092435,25887.445814397994,25212.825177847488,24546.96663092826,23891.113314798105,23246.2916247325,22613.336721444233,21992.915575982068,21385.547721108956,20791.623882573644,20211.422660703935,19645.12542721574,19092.829594807765,18554.560408598125,18030.281399226362,17519.903627857246,17023.293843658845,16540.28166479527,16070.665884726375,15614.219996749838,15170.697021328044,14763.292764407466,14395.503349168534,14079.257256563757,13830.81714670395,13668.122649710522,13609.20871558294,13671.406118890764,13871.091414164928,14223.805232696088,14744.60127664892,15448.524162327129,16351.142771538574,17469.087507681637,18820.555549554654,20425.75877097789,22307.295503214544,24490.430882343382,27003.272268705732,29876.82721131992,33144.932590702534,36844.04564861739,41012.891083019924,45691.96341985933,50922.89030744166,56747.66974355069,63207.80183915324,70343.34273162775,78191.91389837686,86756.61533012221,95977.22797066538,105759.39952484902,115990.99437566346,126551.7451707302,137319.305383709,148173.28434055648,158998.07777605508
D,3743.0,3743.0,3745.415390860396,3749.5386013418806,3755.349957379393,3762.7939498939504,3771.791537215729,3782.248305920715,3794.0602360001863,3807.1179305490073,3821.3097813459317,3836.524354762063,3852.6521846196933,3869.5871031583206,3887.2272072976507,3905.4755350369282,3924.2405111566377,3943.436209801636,3962.9824726006086,3982.8049138951897,4002.834838916033,4023.009096034484,4043.2698803220173,4063.5645024114024,4083.845133958183,4104.068538758179,4124.1957967135795,4144.19202629671,4164.026109886461,4183.670425305236,4203.100586027959,4222.295191838606,4241.235591147578,4259.905655732938,4278.291568311058,4296.381623061645,4314.166039014842,4331.636786042788,4348.787423075038,4365.612948068606,4382.109659202447,4398.275026727256,4414.107574880134,4429.606773265948,4444.77293711013,4459.607135798632,4474.111109137636,4488.287190786929,4502.138238345004,4515.667569590085,4528.878904408469,4541.776311969105,4554.364162730852,4566.647084895796,4578.629924948263,4594.619937941091,4609.92398544897,4624.586586197701,4638.651795295792,4652.166462547023,4665.182087631238,4677.755739536346,4689.950396872584,4701.834974915568,4713.4842316605955,4724.978686639822,4736.404640726146,4747.8543505881225,4759.426385818374,4771.226178034436,4783.366757590588,4795.969663319664,4809.1660026242635,4823.097632282728,4837.91842391763,4853.795571945562,4870.910896068518,4889.462085333331,4909.6638270169815,4931.748761710633,4955.968206550131,4982.5925919929605,5011.911564038782,5044.23371319911,5079.885903406337,5119.200798924995,5162.493378400524,5210.047334009457,5262.107091910577,5318.873239850528,5380.500178673797,5447.0953372462645
R,0.0,2096.812655839314,4764.02285448899,8108.214223530193,12096.036600566758,16686.513646304425,21834.061903279293,27490.663474407906,33607.45363372809,40135.885374693156,47028.577886051,54239.92375517408,61726.50968799759,69447.39231337671,77364.26139871932,85441.51602800639,93646.27413327774,101948.33172921103,110320.08497256915,118736.42555714848,127174.61782648409,135614.16424511542,144036.66444293913,152425.67188032292,160766.55122963968,169046.33879530642,177253.6076691426,185378.33881573167,193411.79888236115,201346.42521226802,209175.7182933903,216894.14168507388,224497.02932168217,231980.49998601267,239341.37866950931,246577.12448439127,253685.76475996943,260665.8349374544,267516.3238710869,274236.6241456837,280826.4870294576,287285.9816944382,293615.45835356513,299815.5149824017,305886.96731354564,311830.8218125013,317648.2513644999,323340.573422124,328909.23038331507,334355.77198822633,339681.8395412882,344889.1517816972,349979.4922412874,354954.69794337946,359816.6493097432,364567.26115528564,369198.842015069,373720.2746834664,378143.4414943437,382483.73040053865,386760.1762353987,390995.3988560126,395215.45486429543,399449.6838796279,403730.60262758477,408093.8791831492,412578.4043393818,417226.4660704273,422084.02530599537,427201.085744654,432632.1463819627,438436.7221828249,444679.9154526531,451433.01772622496,458774.1193508407,466788.701507611,475570.18343024625,485220.3963543582,495849.9555815074,507578.50323648023,520534.7969887194,534856.624205624,550690.5265503012,568191.3266247207,587513.0018596178,608794.3167755979,632154.6143947282,657691.4940311584,685479.6944756137,715570.8021754683,747993.5593601853,782754.6272464279
G,929178.0,929178.0,936060.8257180878,942746.1855694348,949253.9538782731,955589.4212309625,961752.9225292032,967743.6354209641,973561.0643954393,979205.5572784154,984678.408262379,989981.7883850922,995118.6119348189,1000092.388152478,1004907.0801457404,1009566.9798583935,1014076.6016754275,1018440.5943040221,1022663.6692829328,1026750.5440114649,1030705.8971353676,1034534.3342647175,1038240.3622163491,1041828.3702131052,1045302.6167054808,1048667.2206948346,1051926.1566261803,1055083.2520818473,1058142.1876463618,1061106.4984300553,1063979.5768367948,1066764.6762424684,1069464.9153179233,1072083.2827851255,1074622.6424403382,1077085.7383147674,1079475.1998728332,1081793.547172179,1084043.1959287731,1086226.4624458172,1088345.5683773684,1090402.6453071919,1092399.7391308807,1094338.8142350991,1096221.7574722627,1098050.3819323324,1099826.4305158835,1101551.5793144081,1103227.4408050505,1104855.566867793,1106437.4516335935,1107974.5341721997,1109468.201028397,1110919.788615337,1112330.5854733696,1113701.83440251,1115102.4923014985,1116592.1608440077,1118222.2868135774,1120038.2081647962,1122081.1560669253,1124390.154910153,1127003.7801599377,1129961.7533368948,1133306.3697168583,1137083.7652144053,1141345.0336773195,1146147.205003918,1151554.089325908,1157636.9845440735,1164475.2354372216,1172156.6240267039,1180777.5643791268,1190443.071852866,1201266.4778793766,1213368.8671741125,1226878.2246403238,1241928.2933371838,1258657.1612882388,1277205.611732875,1297715.2866669828,1320326.7253878545,1345177.3469780234,1372219.5239276884,1401181.7601628308,1431848.2869650729,1464029.1861896785,1497546.6704972016,1532229.3361364005,1567910.323236091,1604427.3217844917,1641623.3653311934
H,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,6041954.287434625,5822813.857350957,5603673.427267288,5384532.997183619,5165392.56709995,4946252.1370162815,4727111.706932613,4507971.276848944,4288830.846765275,4069690.416681606,3850549.9865979366,3631409.5565142673,3412269.126430598,3193128.696346929,2973988.2662632596,2754847.8361795903,2535707.406095921,2316566.976012252,2097426.5459285825,1878286.1158449133,1659145.685761244,1440005.2556775748,1220864.8255939055,1001724.3955102363,782583.965426567,563443.5353428978,344303.10525922856,125162.67517555936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
