series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03
S,34338412.256917655,34322867.23578563,34308327.54564594,34294140.62724392,34279855.36731479,34265151.89778805,34249795.78614412,34233608.00146175,34216445.170996055,34198186.590730846,34178725.69025379,34157964.44816078,34135809.77102315,34112171.18664424,34086959.42384092,34060085.59659655,34031460.80621198,34000996.03802153,33968602.270479344,33934190.74128627,33897673.33255703,33858963.048029415,33817974.56212498,33774624.82471455,33728833.7076874,33680524.680530824,33629625.50255455,33576068.91946535,33519793.351940725,33460743.5638318,33398871.297760174,33334135.86623965,33266504.687096562,33195953.75290087,33122468.02534749,33046041.747017507,32966678.664656907,32884392.159979653,32799205.2859651,32711150.708606776,32620270.556009185,32526616.178555984,33644920.53611887,34755687.60938399,35859121.06311334,36954861.058505625,38042480.521932006,39121495.48443886,40191372.84339138,41251536.25171692,42301370.70111353,43340226.245269604,44367421.20898497,45382245.14756223,46383961.75523788,47371811.86878204,47130343.95936618,46882349.49983446,46627535.949011795,46365867.636870615,46097482.14145676,45822635.19708309,45541663.72691105,45254960.489268996,44962956.23990354,44666106.8204383,44364883.531243205,44059765.744595125,43751235.091286205,43439770.79190059,43125845.853968255,42809923.95047236,42492456.85426787,42173882.3399097,41854622.48747634,41535082.33746395,41215648.85503572,40896690.16792644,40578555.04641894,40261572.59682424,39946052.142289944,39632283.26681298,39320536.00020084,39011061.12349204,38704090.576050565,38399837.94720203,38098499.036881275,37800252.4713043,37505260.36115279,37213668.99115877,36925609.53129184,36641198.76097829
E,0.0,15545.021132025124,26974.17046813325,35763.5884633341,42892.595579867775,49013.30619044376,54561.911782799754,59831.92083265375,65022.452931796186,70270.11534260151,75670.04676792707,81289.7997576409,87178.48169886704,93372.75241515356,99900.73512812585,106784.54046868328,114041.86743849372,121686.98945593834,129731.33072499483,138183.77023291826,147050.7658779646,156336.3617173237,166042.1219132455,176167.02219165556,186707.321216073,197656.42868912604,209004.7832019113,220739.75017537936,232845.5482244429,245303.2106273633,258090.5871110617,271182.38975436887,284550.2854074392,298163.0356074306,311986.68354692176,325984.78625034384,340118.6887746083,354347.836018198,368630.1166432408,382922.2327278532,397180.08810340916,411359.1879146275,425415.0417785242,444195.6197897936,466551.8453326331,492128.0742603257,520707.0612373878,552171.9267942341,586478.3125895556,623633.9807728372,663683.8015256919,706698.6045678039,752766.7755621724,801987.7837997868,854467.055947304,910311.7803833234,969627.3522230643,1023600.4966501738,1073592.7684046915,1120436.4055456226,1164623.868182625,1206430.919458247,1245996.9537796122,1283377.6377267968,1318579.501643131,1351582.6832807823,1382355.8360585016,1410865.8139028358,1437083.844716154,1460989.3238723758,1482571.9827615179,1501832.9420574158,1518784.9983165707,1533452.3858193324,1545870.1840709127,1556083.4927903214,1564146.4626277597,1570121.2461791723,1574076.9168296733,1576088.3904314826,1576235.3754246016,1574601.3698327495,1571272.718010836,1566337.735676879,1559885.9083501059,1552007.165638897,1542791.2317314553,1532327.050828245,1520702.2850320684,1508002.8813097274,1494312.7035014813,1479713.2249331782
I,17504.37661009731,15062.621271671534,13596.091332046117,12800.720965895209,12475.122160648833,12485.97943116559,12745.196139125059,13194.771826722807,13796.779040790323,14526.709905542093,15369.052147687878,16314.341337438711,17357.191064239338,18494.97106602706,19726.914599532945,21053.509989483573,22476.080094119774,23996.485790942024,25616.911079085687,27339.70168850179,29167.238612691344,31101.834350295354,33145.64391625155,35300.585569754236,37568.268169057075,39949.92340876966,42446.34212497555,45057.81449868447,47784.07443406813,50624.2486894613,53576.81153129576,56639.545786422015,59809.51120136791,63083.020988251956,66455.62735436582,69922.11668315507,73476.51486587335,77112.10308356213,80821.44411693886,84596.41902660509,88428.27380739833,92307.67538835434,96224.77613278739,96785.6971211879,98015.35379582405,99942.91998321202,102577.95514894946,105919.4802303827,109961.91563834707,114698.84540012786,120125.29102456987,126238.97534618627,133040.9104996805,140535.54012918632,148730.5925316241,157636.75017379317,167267.20564554486,177637.15003949215,188399.32509808964,199322.70835044133,210250.60267178688,221073.78360377374,231713.3613929124,242109.91564729603,252216.67673589746,261995.31028554443,271413.3664408652,280442.7832495518,289059.04681965755,297240.75018936314,304969.38411034405,312229.2529017619,319007.44799993484,325293.83782796096,331081.049712011,336364.43076769426,341141.98193737847,345414.263978057,349184.27704499115,352457.3171694552,355240.81378191704,357544.15275236417,359378.48939096415,360756.55560187844,361692.46499909105,362201.51933696086,362300.0191223902,362005.0807891863,361334.46234792774,360306.3989890619,358939.44972062984,357252.35576887307
A,68292.61875316301,65549.14128128898,65391.801446531026,67061.15447112352,70063.37583179669,74080.45990012048,78911.04128883932,84431.31812365803,90569.21036521909,97287.24827646959,104571.2254236812,112422.65924960515,120853.76563687196,129884.09128190068,139538.23661904415,149844.2931368006,160832.74548140494,172535.67265789383,184986.13837281367,198217.6976691874,212263.9718002131,227158.2599516832,242933.16771685125,259620.2399756519,277249.5912341629,295849.53032735735,315446.17919037543,336063.08748918085,357720.8464770877,380436.706635272,404224.2045366314,429092.8049837689,455047.56483436533,482088.8250515456,510211.9374103177,539407.0319621692,569658.8308209528,600946.5131026071,633243.6349538115,666518.1075712997,700732.2349803848,735842.8121480596,771801.2827943948,808553.9550772214,846821.4521376985,887112.4293525048,929858.463151302,975439.1908646133,1024200.3829653431,1076466.854348329,1132551.6076314733,1192762.2180466757,1257405.1861635465,1326788.7772753977,1401224.715845481,1481028.995401957,1566521.9876351738,1658027.9808953006,1754454.5060812237,1854969.8421447095,1958908.2345646638,2065709.1101097965,2174878.337152278,2285963.836486664,2398540.5562752355,2512201.5601441804,2626553.0957751935,2741212.236108944,2855806.1578553505,2969972.432263911,3083359.908420253,3195629.906452432,3306457.5305619724,3415532.9749552174,3522562.739379666,3627270.701459332,3729399.0145486007,3828708.8151351428,3924980.7347481223,4018015.2191011505,4107632.662665286,4193673.3706169063,4275997.362561242,4354484.033904725,4429031.691470702,4499556.980102205,4565994.216712011,4628294.647635235,4686425.64430187,4740369.851247765,4790124.299380075,4835699.496253435
IH,0.0,700.1750644038925,1293.9951384197693,1821.7884357338498,2311.220317067954,2781.557469197648,3246.4949808661954,3716.0342052104907,4197.732423051306,4697.536078672288,5220.337543283873,5770.348013552467,6351.3478744401755,6966.8551636427665,7620.239071611933,8314.796328566877,9053.802305990715,9840.544662898867,10678.34471419831,11570.569938094655,12520.639872728045,13532.0268809782,14608.25275544663,15752.881805995987,16969.510862148025,18261.75649368118,19633.239679232134,21087.568117268536,22628.316364609564,24259.0039964322,25983.072002414763,27803.85766181347,29724.56817227441,31748.25334011679,33877.77767119482,36115.79222912008,38464.70664978594,40926.661716282164,43503.50290526186,46196.75531382748,49007.60036462505,51936.85466605602,54984.95137469968,61612.141618548,68208.52659445532,74824.7099079736,81512.93081770638,88325.57194488867,95314.36558351337,102530.05506935816,110022.34280309104,117840.00975704101,126031.12866098706,134643.31903490587,143724.01010271272,153320.6897730551,163481.12603859106,174253.5525615787,185686.81376103917,197803.1151688633,210607.05340143706,224091.39657993033,238240.7827693579,253034.08955030824,268445.96082550375,284447.80430697976,301008.46116936684,318094.67660797515,335671.4527253633,353702.33440717385,372149.65889360814,390974.7868776661,410138.32473427366,429600.34231455077,449320.58758071024,469258.6975185739,489374.4037880088,509627.7311511548,529979.1866496687,550389.9376482085,570821.9771300231,591238.274960316,611602.914183296,631881.2117630823,652039.8235002689,672046.8331451942,691871.8259807306,711485.9473598899,730861.9468571318,749974.2088288154,768798.7702805504,787313.3270105992
IN,1741.5802740218846,3242.1686548059624,4292.1725140101935,5050.970738039372,5625.63537151408,6088.385423502773,6488.182478155044,6858.447954027648,7222.207870035956,7595.528456519327,7989.814386173837,8413.348827411946,8872.327107895022,9371.551358769273,9914.897519022737,10505.628906630074,11146.605861962342,11840.424541049386,12589.507001880627,13396.157443954415,14262.59460823983,15190.967111047432,16183.356332731064,17241.77005280924,18368.12907873768,19564.248497170458,20831.814777603915,22172.359707055395,23587.231982144498,25077.5671981006,26644.25692939427,28287.917577188055,30008.859652474323,31807.058161607994,33682.12475621284,35633.28229713646,37659.342458665094,39758.68696223207,41929.25297713172,44168.52315909142,46473.52071672049,48840.80980246905,51266.5014211473,53746.264938221546,55938.698416722036,57950.09645176807,59874.94770017116,61795.61702101625,63782.97459097796,65897.52876103041,68190.7766632424,70706.59416270956,73482.55921920428,76551.15062803944,79940.79503363224,83676.75445077826,87781.85809373755,92277.08875817669,97182.03715912205,102479.03302862174,108129.86588194182,114086.02220384481,120294.83437971564,126703.07364161403,133258.96480256825,139913.2437913837,146619.6494334169,153335.09339767505,160019.65772324326,166636.50912869172,173151.7812891473,179534.4525875265,185756.23240997008,191791.46054354543,197617.01948692198,203212.257095873,208558.91604116687,213641.0664648614,218445.03860166942,222959.35274316694,227174.64461363095,231083.58490656,234680.79234893774,237962.74018995487,240927.65644235624,243575.4185381293,245907.44330225856,247926.57330845643,249636.9607704147,251043.95015286186,252153.96066986013,252974.36978382492
D,51082.0,51082.0,51083.68302620695,51086.793430790516,51091.17250373488,51096.72803486046,51103.41412574656,51111.217797158606,51120.150110334595,51130.240292114715,51141.53186293809,51154.08010314417,51167.950415618485,51183.21729024107,51199.96367327656,51218.280609586815,51238.267068456655,51260.029892253384,51283.68382596263,51309.35159808773,51337.164031613465,51367.26016914369,51399.787399877285,51434.90157842352,51472.767127001694,51513.55711360934,51557.45329947236,51604.646149642664,51655.33480107633,51709.72698297032,51768.03888460189,51830.49496643087,51897.32771080868,51968.77730929827,52045.091284349146,52126.524043886566,52213.3363682557,52305.79482989655,52404.17114709652,52508.74147415583,52619.7856312842,52737.58627850291,52862.42803873286,52917.9680049557,52980.20205588887,53049.09907531787,53124.67906142357,53207.01477894542,53296.23190399118,53392.50836714534,53496.07335452838,53607.20625635455,53726.23573620267,53853.53901562464,53989.54141636097,54134.716168123836,54289.58446787422,54454.71576273307,54630.72822035129,54818.289345831516,55018.08907394959,55230.82198249571,55457.1753443831,55697.82091552751,55953.409116216855,56224.564754698804,56511.883758324206,56815.930581103195,57137.236086569195,57476.29578709147,57833.56837194915,58209.474487495914,58604.39575075555,59018.67398748986,59452.61069025919,59906.46669328443,60380.46206035037,60874.776180435474,61389.54806377263,61924.8768289968,62480.82237013328,63057.40619055005,63654.612389700276,64272.38878753772,64910.64817089174,65569.26964581793,66248.10007996146,66946.95561924603,67665.62326369126,68403.86248782703,69161.4068919768,69937.96587158859
R,0.0,2984.4693651118437,6073.372983655721,9307.188806102415,12718.34347551812,16334.5183176048,20180.80561528868,24281.120353757557,28659.12881765775,33338.863472171826,38345.13416945959,43703.80710536491,49441.99773386182,55588.207334968196,62172.422103411554,69226.1865186456,76782.65809253711,84876.64753244288,93544.64635666505,102824.84269793109,112757.1251944679,123383.07434506244,134745.9403955642,146890.60666611136,159863.53718037208,173712.70749441432,188487.51772683128,204238.6869523921,221018.1283307967,238878.80459355313,257874.5637993786,278059.95558531204,299490.02847965946,322220.10919583176,346305.5651840993,371801.55207163276,398762.74795990024,427243.07686251856,457295.4238463666,488971.3446753399,522320.77294194116,557391.727800893,594230.025486889,632878.9978032231,673413.822881686,715855.287382622,760259.8264615056,806714.810028613,855334.7800295433,906258.4928480058,959646.633758725,1015680.0850595798,1074558.644230292,1136500.1022029885,1201739.604124268,1270529.22569729,1343137.707360209,1419850.2963284557,1500968.6530940642,1586753.7503756732,1677430.9255972141,1773193.5298092004,1874205.6091010731,1980603.9175931842,2092499.4715282912,2209978.7938285093,2333104.9569515088,2461918.50238717,2596438.2936178357,2736662.343281179,2882568.643015302,3034116.0149937137,3191244.9967890205,3353878.7654725704,3521924.102433544,3695272.397041337,3873800.6847913805,4057372.7138151038,4245840.032473528,4439043.090083661,4636812.342554831,4838969.354757942,5045327.891744555,5255694.99141427,5469872.011846384,5687655.647221134,5908838.907020285,6133212.053985813,6360563.497104473,6590680.636655537,6823350.659093952,7058361.280230583
G,2026399.0,2026399.0,2027033.615203674,2028134.81786787,2029594.8427069495,2031345.9045452601,2033346.8403450001,2035574.2942972851,2038016.8928825771,2040671.3915069427,2043540.1224775598,2046629.3020762107,2049947.904372835,2053506.9082139644,2057318.789059174,2061397.170479956,2065756.5786996821,2070412.2624917577,2075380.0533324508,2080676.2490835988,2086317.5100858205,2092320.7603191575,2098703.0888596117,2105481.6486390736,2112673.550774123,2120295.753643752,2128364.9465824226,2136897.4285864043,2145908.982853635,2155414.7483174475,2165429.0896073063,2175965.467082432,2187036.3087393935,2198652.8858926604,2210825.1945671234,2223561.8445234755,2236869.957762041,2250755.0782206655,2265221.0942020044,2280270.1748412047,2295902.721664396,2312117.3360007973,2328910.8027065964,2346278.090347529,2364412.0826611994,2383458.7530925614,2403549.55614956,2424807.077443042,2447349.13105683,2471291.72017481,2496751.1648654854,2523845.6169928387,2552696.1199973007,2583427.325605521,2616167.946312149,2651050.9985857527,2688213.8747895453,2727798.2699725926,2769586.083070137,2813414.7975889253,2859155.8726038844,2906700.871548123,2955952.6157026095,3006819.617032765,3059212.660055314,3113042.795883929,3168220.2647691527,3224654.0272580883,3282251.690731317,3340919.687967569,3400563.610575347,3461088.6309539443,3522399.967253421,3584403.3600347918,3647005.5392075335,3710114.6667787163,3773640.7459216015,3837495.9904739223,3901595.1516120224,3965855.800387496,4030198.566242043,4094547.332661694,4158829.3918840582,4222975.5610979125,4286920.262922795,4350601.573165364,4413961.238949047,4476944.670327898,4539500.908444111,4601582.573187233,4663145.79317487,4724150.120710427
H,17005417.94827536,17005417.94827536,17005417.94827536,17005417.94827536,17005417.94827536,17005417.94827536,17005417.94827536,17005417.94827536,17005417.94827536,17005417.94827536,17005417.94827536,17005417.94827536,17005417.94827536,17005417.94827536,17005417.94827536,17005417.94827536,17005417.94827536,17005417.94827536,17005417.94827536,17005417.94827536,17005417.94827536,17005417.94827536,17005417.94827536,17005417.94827536,17005417.94827536,17005417.94827536,17005417.94827536,17005417.94827536,17005417.94827536,17005417.94827536,17005417.94827536,17005417.94827536,17005417.94827536,17005417.94827536,17005417.94827536,17005417.94827536,17005417.94827536,17005417.94827536,17005417.94827536,17005417.94827536,17005417.94827536,17005417.94827536,15790745.237684265,14576072.527093168,13361399.816502072,12146727.105910975,10932054.395319879,9717381.684728783,8502708.974137686,7288036.263546589,6073363.5529554915,4858690.842364394,3644018.1317732967,2429345.4211821994,1214672.7105911023,5.122274160385132e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
