series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03
S,8765.525874358518,8727.99422142625,8706.95005252228,8692.203240694622,8680.310259271559,8669.875986493802,8660.290477139597,8651.273338695804,8642.68878925741,8634.466281597857,8626.565396934773,8618.960021258386,8611.631108809475,8604.56332645872,8597.743471659625,8591.159708628791,8584.801185464032,8578.657830437205,8572.720233725518,8566.979570762494,8561.427546601979,8556.05635153962,8550.85862333003,8545.827413736,8540.956158276997,8536.238648577508,8531.66900696737,8527.241663105002,8522.951332451223,8518.792996449461,8514.76188428331,8510.853456091949,8507.063387531285,8503.387555575157,8499.822025457155,8496.363038659903,8493.007001864764,8489.750476781037,8486.590170779702,8483.52292826246,8480.545722702362,8477.655649297512,8474.849918184247,8472.125848160793,8469.480860876669,8466.912475447089,8464.41830345524,8461.996044308726,8459.643480919487,8457.358475679417,8455.13896670636,11273.641132650773,14091.087252353569,16907.771050638705,19723.548546902253,22538.26118980017,25351.72104750449,28163.692809268057,30973.876331104624,33781.887865248,36587.23747134784,39389.30054192023,42187.281696096405,44980.16942848178,47766.68005478116,50545.18992182031,51330.61293307336,51268.84500687789,51196.89443677127,51113.48380507614,51017.71571836016,50908.887740809834,50786.52636325455,50650.42480698119,50500.66465087193,50337.61763388189,50161.9279643912,49974.478182740415,49776.343403514504,49568.73944753673,49352.97006329628,49130.37744391754,48902.29893841965,48670.031547715706,48434.80468845644,48197.76089132831,47959.94358053693,47722.290814621985,47485.633792494125,47250.69897947976,47018.11283291715,46788.40826548683
E,0.0,37.53165293226826,51.06907184739512,55.601498627515,56.37355899881774,55.532490023063644,54.010880817544006,52.2252395461382,50.364157477498296,48.513270840652204,46.710959217681484,44.97362107277541,43.307306743489065,41.71314380235402,40.18990371196716,38.735236893045276,37.346279827197904,36.01996155766964,34.75316344802514,33.54280536764917,32.38589362614553,31.27954806284816,30.221017122446174,29.207685583256776,28.237077540486347,27.30685619294294,26.41482142043676,25.558905822822492,24.737169700683356,23.947795333551504,23.189080825204353,22.45943372209336,21.757364562442525,21.081480475551256,20.43047892066755,19.803141630712012,19.198328806899067,18.614973594996115,18.05207686186134,17.50870228142429,16.983971731941597,16.477061000778143,15.98719578880295,15.513648003475325,15.055732327604144,14.612803049403029,14.184251138681752,13.769501553681852,13.368010763077722,12.979264467938389,12.60277550891093,12.238081944488696,13.00237740988366,14.376126659140866,16.381412728989602,19.050472542167476,22.438475760550478,26.63693641631808,31.783897951683397,38.073397357768954,45.766854643329495,55.20807002768171,66.8428532292756,81.24397156693743,99.14181139587053,121.46064251747727,149.35943571092787,181.25380572755643,216.95158924418052,256.9694787364117,301.340798165883,349.89724871065766,402.2752665510015,457.91727423630186,516.0888584415108,575.9123366404341,636.4131031949025,696.5731525248087,755.385517297475,811.9039286609595,865.2834544420136,914.809713708615,959.9160538033532,1000.1895070384628,1035.3672881408786,1065.3260577929327,1090.0662523996182,1109.6935867459722,1124.3994911077425,1134.441841150597,1140.1269425135702,1141.7933809427361
I,114.80284616782468,69.22712036401722,48.43087022767243,38.302257698793206,33.002073282554,29.94355924714843,27.949411037094674,26.475845631758187,25.26915856649078,24.20996160167416,23.24151878644481,22.336455216986216,21.48118499387236,20.66859357616159,19.894591711902663,19.156494680919472,18.452264992960846,17.780163884183306,17.13859576997454,16.526042909856027,15.94104136390304,15.382175033829052,14.848076895737961,14.33743242922602,13.84898306196183,13.381528778269912,12.933929654131983,12.505106351217007,12.094039709136034,11.699769605370868,11.32139324845885,10.958063052300162,10.60898421746158,10.273412123445311,9.950649615912015,9.640044255424964,9.340985579485524,9.052902417281071,8.775260286393124,8.507558892423223,8.249329745806731,8.000133904746024,7.75955984898083,7.527221485831261,7.3027562874329455,7.085823556193677,6.876102814118953,6.673292310681001,6.477107643260135,6.287280483800207,6.103557405135328,5.9256988004167175,4.601266778055305,4.1963095207573655,4.275593043746955,4.665229803611533,5.299918368155506,6.162807358665125,7.263315220200401,8.629882618837419,10.308697368237295,12.365202526587822,14.887384322013233,17.990612468454522,21.824062288164782,26.57880094385203,32.49755174572336,39.885955206686866,48.58662532354525,58.50102544100935,69.68094627866941,82.15348445218106,95.89972806174576,110.84718100283669,126.866890732232,143.77533501072753,161.34117270648005,179.29625855554,197.34967863488578,215.20318300672565,232.56633800013446,249.1699566591913,264.77679057405,279.18895830614474,292.2520415804122,303.8561348642412,313.9343614756758,322.4594756445095,329.43917890626176,334.9107213882223,338.93526308759033,341.5923606141991
A,14.086797850036971,13.400801554845547,13.568650618002682,14.024252658943436,14.556746350834967,15.080185938712551,15.559749463228181,15.982697039581442,16.346014021643043,16.650955159541244,16.900586100714477,17.098662176763078,17.24911431191293,17.355814262843534,17.422469888781027,17.45258162857748,17.449428095747187,17.416065646209738,17.355334667164016,17.269869052019438,17.162107097926647,17.034302920464267,16.888537904629807,16.72673192774425,16.550654204765078,16.361933670670105,16.162068852579417,15.95243720816871,15.734303922736103,15.508830168149137,15.277080834521492,15.0400317508326,14.798576414418235,14.553532251733426,14.305646434311184,14.055601274629016,13.80401922681883,13.551467516948096,13.298462427067884,13.045473256452691,12.792925982516458,12.541206642834373,12.290664458574463,12.041614718481313,11.79434144138324,11.549099834034555,11.306118559971525,11.0656018339658,10.82773135561018,10.592668094574117,10.36055393912346,10.13151321861207,9.905654109822546,9.707501282261184,9.549028109966992,9.44210762316953,9.398739357923757,9.431544503338179,9.554530113365,9.784038747273069,10.139858749998456,10.646529437113049,11.334910557535334,12.244104421463032,13.423829788307524,14.937350407930925,16.86505368532659,19.308747340016723,22.330646747067984,25.98573685424433,30.337619817308944,35.44752896497386,41.37003669818987,48.1491103860412,55.814387685675335,64.3780087503577,73.8323364667856,84.14880083355273,95.27796962794014,107.1508056457174,119.68094828471371,132.76777236790596,146.29993663642838,160.15913492725394,174.22379488957563,188.3725200162146,202.48712935749995,216.4552066577256,230.17212100384418,243.54252142983518,256.48133749429036,268.9143373165362
IH,0.0,22.630443208159743,34.617413423030605,41.62598643441848,46.12405667686682,49.24750866166179,51.53902469112407,53.26941923764371,54.58245630333781,55.56134700310154,56.259666632229155,56.715878018404126,56.960227427596244,57.01806519559737,56.91148038649079,56.6601362848175,56.281725134185805,55.792240249337326,55.20615947695297,54.53658454198739,53.79535729724341,52.993162709330235,52.13962311849333,51.24338582981571,50.31220495772408,49.353017948229514,48.37201700436411,47.37471557690935,46.36601007705451,45.35023698357675,44.331225537881835,43.312346238708116,42.29655536191377,41.286435739051434,40.28423403179246,39.291894738436675,38.311091164543576,37.34325358291174,36.3895947993894,35.45113333089086,34.52871439099221,33.6230288669668,32.73463046040027,31.863951151832254,31.011315138390426,30.176951382246326,29.361004897030533,28.56354688916436,27.784583861439494,27.02406577712986,26.281893374459912,25.557924713377382,25.97385399222073,25.84018687397298,25.557911514952337,25.327714013556413,25.267238161761867,25.45979191536217,25.975877304382863,26.884431041909927,28.26038964284671,30.191191570395862,32.78338541388407,36.17003312024201,40.519456903436975,46.04584909526127,53.022257736520864,61.7964279661327,72.80987249375605,86.40957862614768,102.87809507080888,122.49719672149013,145.53827290868222,172.24508581385865,202.81484720163803,237.37958049616725,275.9896104005865,318.6009261392808,365.067799317078,415.1414476742002,468.47484132974836,524.6330840414003,583.108279859598,643.3374786054226,704.7221929180519,766.6480649763255,828.5034787871414,889.6962045842314,949.6674724908337,1007.9031635724764,1063.9420530569691,1117.3812313923377
IN,22.945282595647722,45.049364654264636,57.23400905900522,64.81546944891542,70.09461092786941,74.12088185429165,77.38824949363251,80.1372675549487,82.49098657435141,84.51723880253905,86.25750793091126,87.74041717540686,88.98806905619695,90.01904041871143,90.84980509894294,91.49541567716346,91.96983630213298,92.28611195405725,92.45646184787222,92.49233832353276,92.4044705189958,92.20290163658692,91.89702365214949,91.49561099810244,91.00685369700216,90.43838996884713,89.79733816433044,89.0903278341783,88.32352975819101,87.5026847918899,86.63313142775039,85.7198320048727,84.76739753292037,83.78011112256722,82.7619500357582,81.71660638538803,80.64750652622088,79.55782918768828,78.45052240522485,77.32831931056995,76.19375284343688,75.0491694475153,73.89674181324958,72.73848072848948,71.57624609615628,70.41175717568373,69.24660210231818,68.08224673550977,66.92004288468395,65.76123595771858,64.60697207451977,63.45830468522741,62.31620072981887,60.95125757433767,59.55541728082788,58.226596250725045,57.02436680261183,55.99306567393985,55.172036134316734,54.601061518580806,54.32415100479059,54.392931756321595,54.87021812269635,55.8341071366699,57.38289128432724,59.64107473671783,62.76678518919777,66.96086553542608,72.47788294166938,79.53161560431104,88.30831015401782,98.99773645275756,111.78812289544463,126.85701734509988,144.3609689875638,164.42501439698287,187.13292615157957,212.5191682081823,240.56334768743775,271.1876752886852,304.25760328286987,339.5854685546163,376.9366863874646,416.0378541203298,456.5860424104696,498.25856456104344,540.7225974698837,583.6441532824113,626.6960429980766,669.5646120242427,711.9551497729678,753.595973942183
D,146.0,146.0,146.0276253612205,146.06988341783625,146.12069695696283,146.17700136580416,146.23711862481997,146.30003317584965,146.3650600484968,146.4316897674913,146.49951443476533,146.5681915525117,146.63742557514146,146.70695787918936,146.77656078676978,146.8460335844878,146.91519956224937,146.9839036071787,147.05201012970727,147.1194012136166,147.1859749361834,147.25164383023255,147.31633347190663,147.37998118350023,147.44253484321817,147.50395179484266,147.5641978508125,147.62324638249248,147.68107749160916,147.73767725702027,147.79303705119585,147.8471529210251,147.90002502782147,147.95165714167393,148.00205618557717,148.05123182506344,148.09919609934664,148.14596309027283,148.191548625646,148.2359700137626,148.27924580623971,148.32139558646082,148.36243978118705,148.40239949309236,148.44129635217658,148.4791523841924,148.51598989439046,148.551831365042,148.58669936534113,148.62061647241998,148.65360520233006,148.68568794995232,148.7472250850562,148.80976367456267,148.8719804268462,148.93351753017154,148.99450037508572,149.05533760916867,149.11663846486735,149.179181926007,149.2439129588968,149.31195695836243,149.38464984933265,149.4635840992767,149.55067255578453,149.64823334453266,149.75910031313532,149.88676474107444,150.0355551917599,150.21086328155167,150.41891608606605,150.6666209880328,150.9615638141438,151.31198382919604,151.72670721677832,152.2150349974289,152.78658607130174,153.45110050793735,154.21821240985906,155.09720500180802,156.09676250263172,157.22473356941336,158.48791973709612,159.8918996533185,161.4408965215033,163.13769253614979,164.98359067070666,166.9784212792132,169.12058877351853,171.4071521863856,173.8339326798704,176.3956409013281
R,0.0,1.5271968322222362,5.463107913422304,10.718211990984337,16.778798506563483,23.38318738754401,30.38588970498759,37.69696009030364,45.25417872279949,53.01005619917172,60.92565093450838,68.96755450079347,77.10636405434279,85.3158593784509,93.57251772754802,101.85519359422648,110.14488159352298,118.42452363618698,126.67884190681285,134.89418880087126,143.0584095296501,151.1607152391152,159.1915654766334,167.14255928438078,175.00633438987248,182.77647404071757,190.4474210580021,198.0143986912373,205.47333786139464,212.8208103830067,220.05396776370333,227.17048519024672,234.16851032376394,241.04661654284772,247.80376029085383,254.43924220246933,260.95267170394845,267.3439348008913,273.6131647867414,279.7607156240421,285.78713776873013,291.6931562252125,297.4796506365839,303.14763723003153,308.6982524522133,314.1327381431835,319.4524281102742,324.65873597525666,329.7531441791267,334.7371940390284,339.61247676118774,344.3806253223246,349.04330713989043,353.68310968772494,358.25358421702225,362.74481497417696,367.1655245203162,371.5356864191888,375.8835211837425,380.24445733195023,384.66114838752736,389.1842282199174,393.8737231386106,398.80114774807373,404.05237835898924,409.73145280309717,415.96549844290394,422.91104250231007,430.76200718384456,439.7565122772759,450.16821196417993,462.3010587971642,476.4892617133382,493.0961563025731,512.5113047597704,535.1456717231043,561.4249165142537,591.7810263873774,626.642687407916,666.424923082263,711.5186047587005,762.2804430784109,819.024010479457,882.0122355304567,951.4516709797664,1027.4886898218806,1110.2076251996455,1199.6307530810548,1295.7199281227026,1398.3796246655832,1507.461104374697,1622.7674253009482
G,13764.0,13764.0,13770.686311152122,13779.784330502294,13789.689807381204,13799.732827785843,13809.626010695116,13819.248117011562,13828.552109090722,13837.524547059727,13846.16724724757,13854.488863354036,13862.500970485924,13870.216221625273,13877.647470632586,13884.807352502883,13891.708083650681,13898.361370351096,13904.778371784438,13910.969691542014,13916.94538448599,13922.71497214883,13928.287462958744,13933.671375150912,13938.874761055482,13943.90523191705,13948.769982676142,13953.475816319107,13958.029167522358,13962.43612540242,13966.70245524663,13970.833619147374,13974.834795499435,13978.710897348112,13982.466589597032,13986.106305100555,13989.634259677227,13993.054466089006,13996.370747036432,13999.586747223213,14002.705944545396,14005.731660460535,14008.667069591662,14011.51520861945,14014.27898451397,14016.961182155175,14019.564471388647,14022.091413560478,14024.544467572347,14026.925995495141,14029.238267776751,14031.483468077015,14033.663697760308,14035.980087641583,14038.541212678596,14041.459581949863,14044.853447582207,14048.850890247073,14053.596293955783,14059.258635332428,14066.041458934997,14074.194881624679,14084.030268703937,14095.938407037014,14110.412122706051,14128.074361040559,14149.712727197095,14176.321298433508,14208.611891783812,14247.262090144426,14293.041525825845,14346.725767844227,14409.060402569023,14480.726247018152,14562.30478508576,14654.24666400888,14756.846170779143,14870.223965168527,14994.31934797515,15128.892227500923,15273.5339330622,15427.685268246474,15590.659768780135,15761.670020506292,15939.855038555326,16124.307022530867,16314.096198982046,16508.292872204092,16705.98617971409,16906.2993625734,17108.401602717404,17311.516650816142
H,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,43147.48781492508,40326.829646611935,37506.17147829879,34685.51330998565,31864.855141672502,29044.196973359358,26223.538805046213,23402.88063673307,20582.222468419925,17761.56430010678,14940.906131793636,12120.247963480491,9299.589795167347,6478.931626854202,3658.2734585410562,837.6152902279109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
