series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03
S,736544.4688360218,736189.7506789403,735949.2707622098,735745.5326139163,735548.083292329,735344.5718258083,735129.6190735522,734900.5151736122,734655.5517819602,734393.3740356326,734112.72781318,733812.3604864754,733490.9814575088,733147.2461607099,732779.749465725,732387.0230535015,731967.5346960551,731519.688678686,731041.8271157077,730532.2321129865,729989.1288112937,729410.6893766909,728795.0380161171,728140.257098788,727444.3944609156,726705.4719639592,725921.4953654453,725090.465546297,724210.3911194868,723279.3024215631,722295.266861242,721256.405567965,720160.9112484849,719007.0671217463,717793.2667623995,716518.0346423095,715180.0471186964,713778.1535785808,712311.3974136843,710779.0364696003,709180.562589694,707515.7198594774,705784.5211526332,703987.26258662,702124.5355146396,700197.2357120027,698206.569458308,696154.0562715086,694041.5281144766,691871.1249671221,733464.6471626937,774832.7447142957,816001.7719682947,856939.8501988171,897612.6804277097,937981.8351213051,978003.6252723265,1017628.1889172413,1056798.6434454543,1095450.2421456592,1133509.5261724782,1170893.492674958,1207508.8210209052,1243251.2176546594,1278004.95815759,1311642.722362601,1344025.833227812,1375005.019755641,1361850.4797891735,1346336.93769319,1329662.4283219913,1311844.7848083759,1292946.5287318176,1273059.324977949,1252297.0392196635,1230790.805798562,1208684.341476392,1186129.195940282,1163280.0587168154,1140290.3408890937,1117308.2349718404,1094473.4013040813,1071914.3639926817,1049746.6378154967,1028071.5565519345,1006975.735820278,986531.0798583052,966795.2303079283,947812.3535947176,929614.169282705,912221.132308282,895643.6950877042
E,0.0,354.71815708147057,519.9033150432738,613.2834399095082,680.5532718287315,739.6061212511213,797.5653185628919,857.372871347747,920.3447798059815,987.1642204022719,1058.2686126539322,1134.0010332743097,1214.6697051889353,1300.5713935014849,1392.0004348287048,1489.251876701721,1592.6220468955278,1702.407859460088,1818.9053745454046,1942.4078171156407,2073.203135412104,2211.571130639364,2357.780170719784,2512.083495796971,2674.715124635975,2845.885376424997,3025.776030580956,3214.5351574550787,3412.2716649838794,3619.049620028225,3834.882418037185,4059.7268903303902,4293.477454177782,4535.960426327323,4786.928634946152,5046.056477270559,5312.935579719916,5587.071222916954,5867.879695102533,6154.686733059862,6446.727199249859,6743.14612700505,7043.001242213464,7345.267040154711,7648.840460596609,7952.5481638610145,8255.155366613442,8555.376150221675,8851.885108498424,9143.33015746565,9428.346289453148,9878.28770704699,10431.791961400759,11098.754864191002,11889.391930704032,12815.878820725084,13893.068183747648,15138.832906557245,16574.272709033925,18223.8726494423,20115.63256408057,22281.15286938048,24755.6440552606,27577.81552992417,30789.590856449293,34435.59038108629,38562.31992302583,43217.007632696754,48446.0428220882,53676.116099888925,58956.98764144234,64260.041547579436,69518.04766736797,74648.90324820523,79565.73240885815,84182.83143301537,88420.10620657998,92206.6309821683,95483.39532851546,98205.19319173349,100341.632814229,101877.3057641555,102811.21053472972,103155.56753445407,102934.18418772532,102180.53256295378,100935.6911124082,99246.28130758912,97162.50366277134,94736.34966954838,92020.03939856403,89064.71087234623
I,442.3495669632221,265.4373159262261,205.61255738537062,191.29061415734137,194.89395549606905,205.843033901572,220.1267024614412,236.26847911834363,253.76667040398263,272.49212615112435,292.456585363286,313.72422832481425,336.37838021155636,360.5093016930592,386.2099185359317,413.57443851990456,442.69793157280844,473.676152191743,506.605342237835,541.5819244837899,578.7020599258868,618.0610632277073,659.7526770268223,703.8682072210779,750.4955215078344,799.7179137352056,851.6128374955185,906.2505139716739,963.6924213400589,1023.989675996527,1087.181319439018,1153.292528726321,1222.3327729294335,1294.293942765339,1369.1484854882992,1446.8475819150249,1527.3194069517058,1610.467518921777,1696.1694260949403,1784.2753808157568,1874.607452257675,1966.9589278447625,2061.0940905916423,2156.7484148783064,2253.629216447389,2351.416783729527,2449.7660071156974,2548.308510761369,2646.655278289423,2744.3997498147432,2841.1213535755387,2858.6930450324603,2927.5283937132444,3039.2506966035394,3190.3550883421112,3380.1686393133787,3609.896348638388,3882.1684048027596,4200.825730233972,4570.8241451474505,4998.200184829629,5490.068430203591,6054.631186554612,6701.185266714728,7440.111356698546,8282.830729175119,9241.712873032433,10329.916617310937,11561.147209788589,12949.31327072239,14427.494265043904,15963.863502343993,17536.45551564176,19123.9086810445,20703.26453153416,22250.026593100956,23738.97066095312,25145.18847931513,26445.150321952173,27617.672357374795,28644.717424617127,29511.985566306023,30209.27431474677,30730.609743259985,31074.166734185594,31242.00976304972,31239.693339671478,31075.764322803163,30761.20736949493,30308.870799025026,29732.90421761413,29048.232355581218
A,276.4935422169562,223.073888624495,208.9362629764672,211.01670624220225,220.31926572870174,233.31681212918116,248.62457968460689,265.7069327029748,284.371924095084,304.57213719639634,326.3250947087256,349.68064720937554,374.7070246122842,401.4844395523636,430.1018367965908,460.6550078863062,493.24532635609023,527.9787737965767,564.965097426377,604.3170128406764,646.1493990289162,690.5784495777791,737.7207535169516,787.6922854420206,840.6072891106643,896.5770425085395,955.70849588466,1018.1027777437125,1083.8535674370282,1153.0453369341012,1225.7514686537922,1302.0322609173825,1381.9328376422166,1465.4809842712473,1552.6849375347892,1643.5311623283956,1737.9821545861876,1835.9743143156795,1937.4159376897721,2042.1853809928189,2150.1294520081174,2261.0620858353027,2374.763361880464,2490.978916651804,2609.419802860801,2729.7628390916366,2851.651485971065,2974.697274461158,3098.4817998312,3222.5592813719422,3346.459673422365,3469.6922982938117,3605.851577189148,3760.895467724116,3940.438774776693,4149.84555132096,4394.4375816537195,4679.721112010471,5011.597800540864,5396.551778524436,5841.8135118566715,6355.502572007019,6946.749828413755,7625.796807910981,8404.066782197533,9294.198871275341,10310.03331690097,11466.533361442738,12779.62725477838,14265.95332362444,15892.127176950025,17635.27711498584,19474.613982314375,21387.87613246122,23350.39963816593,25335.192717167134,27313.481185040822,29255.510821124444,31131.485271223657,32912.54701981361,34571.72306783783,36084.77035711581,37430.87165588041,38593.14993594102,39558.98661942498,40320.14485681738,40872.71203419653,41216.88534063947,41356.630300440724,41299.24492844418,41054.862104818705,40635.92053023523
IH,0.0,88.46809742776543,114.45957204488211,120.52599781849953,121.87014497112547,123.52327707383552,126.85987935004768,132.0312640189029,138.84711094146192,147.07505220893216,156.52805713686882,167.07872420470713,178.65150662449315,191.21065982370325,204.7494383923661,219.2817475918784,234.83607512384248,251.45119742932582,269.1731654938732,288.0531743621025,308.1460238614065,329.5089622201035,352.20076693885653,376.2809620255786,401.8091020266174,428.84407504784394,457.44339211260785,487.66244089011207,519.5536895574851,553.1658323797728,588.5428732228108,625.7231471398329,664.738283713355,705.6121191895412,748.3595677248397,792.9854653189533,839.4834032260303,887.8345707665881,938.0066304206455,989.9526507549065,1043.6101249902856,1098.900104704871,1155.726479142277,1213.9754307132944,1273.5150964138218,1334.1954629362517,1395.848520165252,1458.2886935105653,1521.3135701824206,1584.7049281622303,1648.2300694252558,1789.0362395233733,1890.6869280034286,1976.835828957112,2061.9835384530934,2155.3901145405616,2263.32486943873,2390.409822419637,2540.4485222307744,2716.952120590064,2923.4824419172305,3163.8821475815444,3442.4337590604123,3763.9721485799187,4133.96409892306,4558.561064355983,5044.625921993533,5599.730525395157,6232.117888507591,6950.620731923039,7764.5270016130935,8665.064423640486,9638.913427318512,10671.84255165517,11749.125175120684,12855.328227339727,13974.179026414564,15088.657134774294,16181.295338919488,17234.629963648138,18231.73311043148,19156.763841213353,19995.48470457375,20735.701880111552,21367.600233458717,21883.957566625453,22280.23428007602,22554.544720806174,22707.524165578525,22742.110494172244,22663.262243421475,22477.635211985973
IN,88.44415360923057,173.32212575369027,219.40556153417492,251.66938633283723,279.7687378026167,307.455545890228,336.21516451453874,366.67106042608106,399.1263509680751,433.771621926488,470.763951911968,510.2564330416461,552.4088168819576,597.3910737945397,645.3843675961892,696.5811370886386,751.1848977647006,809.4099675613221,871.4811681652,937.6334989325727,1008.1117626843395,1083.170118077778,1163.0715331499928,1248.087115798791,1338.4952983670369,1434.5808548717755,1536.6337307963192,1644.9476668590528,1759.8185999239843,1881.5428263571816,2010.41491577849,2146.725366409736,2290.7579971582586,2442.787076252597,2603.0741916909396,2771.8648749639647,2949.384996424692,3135.8369582083383,3331.3957186178645,3536.204690200667,3750.3715621160077,3973.9641055547395,4207.006028609078,4449.472953760288,4701.288596702769,4962.321229204452,5232.380510788383,5511.214773924543,5798.508844922902,6093.882477678528,6396.889469794662,6707.017520465452,7008.154126251404,7310.911579874671,7623.799420039217,7954.283300987988,8309.39330549454,8696.116984050157,9121.686024698352,9593.808485378806,10120.872500716127,10712.13494053739,11377.90192770539,12129.704012423304,12980.465639529097,13944.665656398181,15038.482694177152,16279.916218352097,17688.87093244178,19287.18920828919,21098.613619447482,23132.54919855485,25391.658270610482,27874.103998003102,30573.852525958922,33480.52293601047,36579.25501333409,39850.744353933886,43271.484731441145,46814.21314560077,50448.53034254055,54141.65642339233,57859.27405803121,61566.409735593974,65228.3056844844,68811.24069369209,72283.2660094737,75614.83167122748,78779.28808461408,81753.25649277368,84516.86971589002,87053.89074151908
D,3810.0,3810.0,3810.375291530361,3810.8608417931814,3811.3721265103254,3811.889113249516,3812.4131127593523,3812.951266507958,3813.5113578467553,3814.100362767925,3814.7242715330767,3815.3882809988095,3816.097047570271,3816.8549071747148,3817.666044106932,3818.5346140469337,3819.4648316624,3820.4610324690157,3821.5277164764516,3822.6695790477916,3823.8915327212057,3825.19872250184,3826.596536248206,3828.090611159525,3829.686836942494,3831.391355940835,3833.210560308178,3835.151086166325,3837.2198045977443,3839.42380926076,3841.770400380197,3844.267064850182,3846.921452186413,3849.7413460807998,3852.734631341268,3855.909256043256,3859.273188777052,3862.8343709463297,3866.6006641577646,3870.5797928386673,3874.7792823279774,3879.2063928039097,3883.8680495366743,3888.7707700839387,3893.9205891764714,3899.3229821674786,3904.982788036995,3910.904133047418,3917.090356233049,3923.5439379705736,3930.266432914549,3937.5619968907217,3945.4808114926695,3953.8495627356147,3962.599635027146,3971.7265967915587,3981.2670042661803,3991.285163557262,4001.8658392239877,4013.1106314807935,4025.136681959823,4038.0768980036073,4052.081195734203,4067.3184470068477,4083.9789242811594,4102.277097648067,4122.454665392535,4144.78370296591,4169.569801129738,4197.155036714302,4227.920582838296,4262.288723873813,4300.642915459682,4343.307656792979,4390.5444543271915,4442.549630042158,4499.451194488169,4561.305130411839,4628.092082963714,4699.715382133105,4776.001058409658,4856.700214292695,4941.493835506471,5029.999888516211,5121.782366256074,5216.361816911793,5313.22682104003,5411.845865559154,5511.679090917957,5612.189449492007,5712.852897599877,5813.1673395414155
R,0.0,56.98583505723205,133.79277608692044,217.5764986413596,304.8953041446596,395.5503695074462,490.3322679260823,590.2390510770399,696.2361227897022,809.2065425255541,929.9617123234123,1059.266265282128,1197.8621602129585,1346.488162561456,1505.894592829497,1676.8542234743898,1860.1702933808472,2056.6824372171586,2267.2711187583955,2492.8609790421483,2734.4233738835646,2992.978275875724,3269.5956450934864,3565.396322579123,3881.5524653049124,4219.28751632274,4579.875686187641,4964.640909428159,5374.955231484134,5812.2365762914105,6277.945842057497,6773.583272472173,7300.684052518681,7860.813082177856,8455.558887685154,9086.526638661198,9755.33025042892,10463.583564154402,11212.890613043095,12004.835000547982,12840.968436166973,13722.798495584982,14651.775694204154,15629.27998594857,16656.606821973586,17734.95292581789,18865.401961812073,20048.910291375654,21286.293026376905,22578.210599225153,23925.15607513192,25327.44343246279,26808.571615266166,28358.849610308615,29977.309421759972,31668.790519427534,33442.266526446605,35309.91620897369,37286.65987579662,39389.99841859002,41640.05674457506,44059.770697342174,46675.17868397994,49515.79221799516,52615.02669714627,56010.67677787534,59745.420745681,63867.335981811295,68430.40347867834,73494.97381223373,79128.1605672596,85394.38985723173,92351.3986660557,100048.99193047479,108528.30122295758,117821.00184134819,127948.47441338314,138921.02633457596,150737.29738475478,163383.94722718815,176835.6863866797,191055.6757060288,205996.28608043568,221600.18264321238,237801.67679911634,254528.27609625773,271702.3557214148,289242.87564003305,307067.07290805073,325092.0680604252,343236.33629039564,361421.0070376725
G,255112.0,255112.0,255158.3336206616,255226.24388265135,255306.35154473613,255395.24605579348,255491.85410580988,255596.0328409138,255708.02369504268,255828.2399993229,255957.18432203576,256095.4163676131,256243.54065349096,256402.20195747502,256572.08382110906,256753.9082324637,256948.4357189967,257156.46551477967,257378.83563707778,257616.42277481256,257870.14191822734,258140.9456696366,258429.82317925242,258737.79865175832,259065.92937030457,259415.30318579348,259787.03542121837,260182.26514377166,260602.15076173487,261047.86490904706,261520.5885881211,262021.50455109618,262551.78991137753,263112.60799105465,263705.09942554653,264330.3725644539,264989.49322683713,265683.47388961376,266413.262408989,267179.73039618705,267983.6613895338,268825.7389843672,269706.53509947186,270626.49857289786,271585.9442903004,272585.0430545654,273623.81240584183,274702.1085957136,275819.6199078585,276975.86150014633,278170.171919961,279401.71141609526,280692.02268510486,282054.6332025285,283504.3630441715,285057.3666460928,286731.388840531,288546.1145268278,290523.56317767536,292688.51033110236,295068.92978657095,297696.4527086026,300606.8379379554,303840.4435428322,307442.68385089125,311464.44928519113,315962.45862055564,320999.5052658297,326644.55161546794,332972.6194796654,339983.84445451054,347684.8618571868,356078.5691691044,365159.08220586885,374909.7924440058,385302.7435503915,396298.7844915422,407848.3022651524,419892.41948081367,432364.5507498584,445192.2058261689,458298.9246635499,471606.23455188697,485035.531963304,498509.80961122387,511955.16995732725,525302.0876164803,538486.4029097777,551450.0458989491,564141.5038843065,576516.0553438928,588535.799790693
H,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,789996.5030777747,746177.1426501744,702357.7822225742,658538.421794974,614719.0613673738,570899.7009397736,527080.3405121734,483260.9800845731,439441.6196569728,395622.25922937255,351802.8988017723,307983.538374172,264164.1779465717,220344.81751897148,176525.45709137124,132706.096663771,88886.73623617075,45067.3758085705,1248.015380970246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
