series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03
S,30171.002352616422,30149.048882487856,30128.75001587514,30109.42871852238,30090.67082032661,30072.222988602043,30053.930722881756,30035.700428852106,30017.476122249594,29999.22507784326,29980.928970325305,29962.57839646242,29944.16948315407,29925.701784206398,29907.1769742546,29888.598036283045,29869.968755082093,29851.29340051484,29832.576528672525,29813.822856340055,29795.037181119947,29776.224330049416,29757.38912604686,29738.53636555759,29719.670803272875,29700.797141352206,29681.920021545968,29663.04401921735,29644.17363863704,29625.313309157405,29606.46738201836,29587.640127627743,29568.835733215557,29550.05830079668,29531.31184539865,29512.600293524833,29493.927481831863,29475.297156005494,29456.712969822365,29438.17848438725,29419.697167536615,29401.272393400166,29382.90744211253,29364.60549966765,29346.36965790864,29328.202914646055,29310.108173897763,29292.0882462436,29274.145849288278,29256.28360822612,29238.504056501246,29220.809636557147,29203.20270066963,29185.685511857308,39943.49641179149,50693.1362911321,61434.488476517225,72167.27387125656,82890.90855141237,93604.43461010269,104306.47572015467,114995.19210859621,125668.22067254466,136322.5921135127,146954.62002336874,157559.75808057893,168132.42184799584,178665.77180928702,178376.21863405808,178051.26971609486,177684.65510273454,177271.1870018328,176806.2405807677,176285.5771202907,175705.32947345846,175062.06254460264,174352.86378673217,173575.43836628264,172728.1933848306,171810.30117314414,170821.73570281113,169763.2795394565,168636.5016996739,167443.70918972982,166187.87676281598,164872.5604610863,163501.80083640706,162080.02148389554,160611.9278397265,159102.41026535665,157556.45442101007,155979.06094238002
E,0.0,21.953470128564785,35.6663091359416,44.28773557197309,49.759340195618066,53.27940030901378,55.587878538020426,57.141843020236664,58.223631681513126,59.007622210168876,59.60147917157139,60.0716457528585,60.45910209291847,60.78910740736494,61.07722233353623,61.33303097790659,61.5624404148905,61.769100527451904,61.95528000776491,62.1224062480599,62.27139760616775,62.40286749843594,62.517249435495124,62.614873348139255,62.69601194217089,62.760908643592764,62.80979425987154,62.84289674355716,62.86044675408304,62.86268067151599,62.849842074498035,62.82218230030083,62.77996046300514,62.72344315775372,62.652903988651246,62.5686230029023,62.47088608045845,62.35998430834357,62.2362133567632,62.099872866908484,61.951265856101465,61.7906981434206,61.61847779747964,61.43491460718301,61.24031957578685,61.03500443830772,60.8192812021496,60.59346171071372,60.35785722968494,60.11277805563666,59.858533146555516,59.59542977385152,59.32377319538861,59.043866349041835,58.75600956626228,66.72553023575597,80.5918935363944,98.86514697740397,120.80715015094565,146.27518726413442,175.58777746547062,209.43133015309996,248.80966223624932,295.0316417702728,349.7305868391372,414.9097345032071,493.00946754417873,586.9931345874583,700.4487286186287,815.2634565976776,937.2995318347266,1069.578346715407,1213.6519182360184,1370.2205458703488,1539.4028673732387,1720.8498779707452,1913.7947254302667,2117.082899293063,2329.204306390641,2548.3366513895176,2772.4026856213573,2999.139739710245,3226.17749273981,3451.118728945392,3671.6176488995616,3885.4509026056007,4090.5776339930076,4285.186199312571,4467.726605773894,4636.928932193277,4791.808934197738,4931.6626646546965
I,35.76469426229025,24.694588890499872,17.709572524136554,13.297985175558651,10.510541400806746,8.750031955635706,7.640047673752081,6.942886673494128,6.508134019367233,6.240402240700293,6.079060096024551,5.9854732243253,5.934958898189205,5.911703739552468,5.905546798089152,5.909939020694999,5.920645979563631,5.934921124570521,5.950977530731436,5.967649433561894,5.984174724760065,6.000054739092817,6.014963563671326,6.028689169435825,6.041095053752436,6.052095146268905,6.061637320416314,6.069692508367804,6.076247478109368,6.081300013049223,6.084855674076075,6.086925608182945,6.087525052180646,6.08667230009634,6.0843879813167705,6.080694548002009,6.0756159041821896,6.06917713134792,6.061404280207417,6.052324208183554,6.04196444884397,6.0303531039003495,6.017518751405555,6.003490365799528,5.9882972468257725,5.971968955271896,5.954535254122419,5.936026054145168,5.916471363228416,5.895901238988113,5.874345744302595,5.851834905526209,5.8283986731972535,5.804066885098756,5.778869231559648,5.811761830840441,6.073893848330061,6.67355215886805,7.641911734087852,8.978671800376308,10.67934014938042,12.750324776680262,15.216707817843169,18.126178039634645,21.551415531732502,25.592344555952806,30.379076117653103,36.07598653793371,42.88714978865421,51.06319412042655,60.23634475639701,70.32477867658284,81.36180646381051,93.41732828693863,106.56133009712275,120.84640813469548,136.29894492951007,152.91442043077586,170.6550323276056,189.44899094055143,209.19132658635607,229.74617273628925,250.95045173317325,272.61879033606954,294.5493865949104,316.53046992922884,338.3469585053851,359.7869251978283,380.6475296485768,400.74014784543783,419.8945188861795,437.96181865103
A,321.8822483606123,309.00695842618785,302.5741049339466,300.101024561645,300.0546477940932,301.4874563323826,303.81336682123924,306.66952874108074,309.83101373854953,313.15812167891676,316.56382231265815,319.99363597358797,323.4132018061046,326.8005980037623,330.1415996066783,333.42675201687734,336.6495665237731,339.80540887204154,342.89081564296185,345.90307450019975,348.8399669959903,351.699611376588,354.48036678047293,357.1807750282176,359.7995253487044,362.3354330320767,364.78742648175904,367.1545392829278,369.43590522441514,371.6307550214201,373.73841398302153,375.7583001720343,377.68992278968574,379.5328806298131,381.2868605150419,382.9516356680502,384.5270639952,386.0130862740283,387.4097242443067,388.71707860700866,389.9353269380253,391.06472152472213,392.10558713395284,393.058318720253,393.9233790828104,394.7012964795532,395.3926622063752,395.9981281491617,396.51840431590915,396.95425635585775,397.3065030721819,397.57601393441536,397.76370659642197,397.87054442536623,397.8975340467855,397.84572291052194,399.9477504116099,405.7096072675382,416.1747582151129,432.14563189804954,454.35402662883064,483.588468782124,520.7912738371003,567.1380946664469,624.1109516820877,693.5735794626627,777.8560361067704,879.8540793961898,1003.1477392983551,1152.142600712181,1326.1775809946457,1526.2008351738245,1753.938366356892,2011.4661812610311,2300.966326807002,2624.565600167207,2984.211495530385,3381.566557637235,3817.915112250763,4294.082387779578,4810.368584759456,5366.5010397082415,5961.607076197634,6594.208939514397,7262.240738197523,7963.085851890886,8693.632021777905,9450.340449379535,10229.324745341291,11026.43547868305,11837.346317643647,12657.638238293688
IH,0.0,5.9913341348164115,9.87690620338903,12.42937369657826,14.135752724833274,15.30360785589238,16.12755877891356,16.731006057330422,17.192354564888383,17.561523079041404,17.87035729295292,18.139210230144542,18.381109206334397,18.6044002739024,18.814430364445904,19.014619977443736,19.20714904678998,19.39339672060859,19.574224198353782,19.750157211838403,19.92150415275655,20.088432809192284,20.25102039502485,20.409286288412897,20.56321353545721,20.71276302629185,20.857882872809228,20.99851463089732,21.1345974382324,21.266070768533233,21.392876262780355,21.51495894120761,21.632267997359133,21.744757308182777,21.852385749746926,21.95511737878945,22.05292152078322,22.145772792173947,22.233651075715986,22.31654146195755,22.394434165957513,22.467324425622092,22.53521238621308,22.59810297432114,22.656005763730917,22.70893483500403,22.756908630186633,22.79994980375268,22.83808507068348,22.871345052432027,22.89976412140856,22.923380244539864,22.942234826389875,22.956372552277873,22.96584123178851,22.935891733866427,22.912341706743053,22.930994329727994,23.04322486602729,23.303212346068584,23.762873027506767,24.471293509783628,25.47656130636933,26.828743589147145,28.58336280315865,30.80510532799939,33.57173291428438,36.97829711328868,41.14182303015207,46.20665618875401,52.35066946819437,59.68660248571059,68.30971205821021,78.31660037661094,89.81091641172573,102.9030812575119,117.7072753909192,134.33716089983355,152.9010409630967,173.4968428852463,196.2071953512699,221.09483399692527,248.19855404711063,277.529908308075,309.0708135163497,342.772177567498,378.5535992047676,416.3041273530981,455.8840066538259,497.1272848774412,539.8451207214753,583.8296087335851
IN,5.078771236973965,9.453993756539582,11.651116180338644,12.551968671181337,12.70156027396071,12.434597941043355,11.954615761824844,11.383500742795015,10.792500312073015,10.221632482985994,9.691826166231571,9.212501096658348,8.786285839482987,8.411939757021432,8.08614849251059,7.80461391083768,7.562703286800924,7.355824343730321,7.179630936572426,7.0301252276543496,6.903697644583561,6.797130416149757,6.707580707421514,6.632553212542208,6.569868184540163,6.517628446935172,6.474187411641681,6.438119185815185,6.408191273985891,6.383340036000219,6.362648860188247,6.345328900339975,6.330702169950483,6.318186765894069,6.307283992388926,6.297567166137456,6.2886718994709385,6.280287676874232,6.272150559424599,6.264036870293725,6.255757731904146,6.247154341297313,6.238093884655742,6.2284660047390945,6.218179746323085,6.207160914684408,6.195349790882575,6.182699155181095,6.169172576551872,6.154742931935627,6.139391123895243,6.123104969594884,6.10587823775201,6.087709813418206,6.068602973215149,6.048564756042797,6.035973298902099,6.062350202804505,6.17022776023426,6.4006733848631425,6.789022818996408,7.365078921441258,8.155426008427913,9.186527534073615,10.48795309143808,12.09549702421186,14.054184941615333,16.421281609089597,19.26946134217291,22.690310633736317,26.79831924812808,31.639891068993578,37.24338248169065,43.63795201141902,50.85864511504131,58.94559086157312,67.94082828414702,77.88431931551767,88.80984819727126,100.74115100623939,113.68848121831735,127.64576568558606,142.5884788086566,158.47233458513168,175.23285787785133,192.78584820069997,211.02869662192793,229.84246562228435,249.09459903579858,268.6420989727215,288.3349910783436,308.01989862061623
D,9.0,9.0,9.011239629438494,9.029768518535121,9.053085788338231,9.079604192901586,9.108313471586728,9.138568466608477,9.169955517303046,9.202208049065817,9.23515313397386,9.268677586021873,9.302706401091458,9.337189014061934,9.372090516848923,9.407386032110516,9.44305709929709,9.479089347373744,9.51547099256136,9.55219186667469,9.58924278779142,9.626615152526217,9.664300672261016,9.70229120322953,9.74057863801853,9.779154837409592,9.818011588814926,9.857140582305632,9.896533398312764,9.936181503090808,9.97607624934809,10.016208880312522,10.056570536071018,10.097152261398536,10.137945014544066,10.178939676608877,10.220127061265364,10.261497924641086,10.303042975244534,10.344752883844627,10.386618293240437,10.42862982787467,10.470778103256434,10.513053735167347,10.555447348631215,10.597949586632087,10.640551118568874,10.683242648437421,10.726014922732933,10.768858738067419,10.81176494849815,10.854724472564392,10.897728300030645,10.940767498335585,10.983833218746707,11.002790003450125,11.021722066821615,11.040634691201543,11.059562712089463,11.07858337187061,11.097818634140516,11.117433315935562,11.13763275203708,11.158661970291876,11.18080732568947,11.204401003329684,11.229828582645206,11.257539830256542,11.288062971560215,11.322022828445805,11.360163370496693,11.403375389606827,11.452642736776063,11.509027891213496,11.573673070854817,11.647806049013576,11.732745744321443,11.829905323850495,11.940791775217301,12.067001483157538,12.210211664927229,12.37216774230301,12.554666921184216,12.759538430365343,12.988621034719205,13.243738572579295,13.526674359990148,13.839145347070545,14.182776901156764,14.559079030769412,14.96942476182724,15.415031244229564
R,0.0,13.578838651832841,27.488801993967527,41.601491758447665,55.84231797204055,70.17037928738722,84.56556254920633,99.02030392264852,113.53435439301168,128.11147889215954,142.75739797758214,157.47852615028089,172.28121907810532,187.17134407423174,202.15405410958886,217.23368825738208,232.41374904308924,247.69692502567742,263.08513849482347,278.57960564824896,294.18090144429453,309.88902443489104,325.70345887508677,341.62323266872653,357.64697050077575,373.77294199151123,389.9991049950138,406.3231443250736,422.7425062721145,439.2544293052782,455.8559713540222,472.54403404617426,489.3153842524855,506.16667325647524,523.0944538359563,540.0951955109736,557.165298183073,574.301104363394,591.4989101622708,608.7549751908533,626.0655315056111,643.4267917092969,660.8349563068072,678.2862204011866,695.7767798035537,713.3028366207908,730.8606043762497,748.446312711309,766.0562117092301,783.6865758772605,801.3337078182088,818.9939416186554,836.6636459774858,854.3392270954488,872.0171313438876,889.6938477286035,907.364515872595,925.1165773019644,943.1035142626376,961.5284978728959,980.6346560893838,1000.7013638405479,1022.0456323205806,1045.0277746681315,1070.0608020361733,1097.6233271492995,1128.2760623300587,1162.682275099258,1201.632804352914,1246.0764462844427,1297.1566910534045,1356.0135721176198,1423.835994359426,1501.8896474722753,1591.5311711270888,1694.213494417151,1811.484601418832,1944.9807742776416,2096.414886725364,2267.560204832151,2460.230215447776,2676.255144424495,2917.4559833391063,3185.6169736113466,3482.4575745237003,3809.6049536077885,4168.567982590543,4560.713607352643,4987.246300379518,5449.191116501203,5947.380675161283,6482.446200882703
G,4372.0,4372.0,4372.658602760534,4373.728589852208,4375.0572192094205,4376.549996370538,4378.148375119666,4379.816008074409,4381.530259868533,4383.276965256301,4385.047190311956,4386.835231040116,4388.637376736945,4390.451146100268,4392.27481560283,4394.107128535548,4395.947115711945,4397.793985157414,4399.647054393614,4401.505709002831,4403.369377389031,4405.237515506858,4407.109597713407,4408.98511137107,4410.863553740139,4412.744430262063,4414.627253681059,4416.511543665552,4418.396826722531,4420.282636278751,4422.168512852358,4424.054004268839,4425.938665893787,4427.8220608662,4429.703760322914,4431.583343608871,4433.460398470412,4435.33452123026,4437.205316943731,4439.072399536229,4440.935391922373,4442.793926107286,4444.647643270644,4446.496193834161,4448.339237513202,4450.176443353208,4452.007489751653,4453.8320644662135,4455.649864609848,4457.460596633468,4459.263976296864,4461.059728628544,4462.8475878751415,4464.6272974410085,4466.398609818612,4468.161286510346,4470.163048334513,4472.5808002092235,4475.546748569032,4479.170955681426,4483.559202348837,4488.826824928665,4495.109752018249,4502.574026660786,4511.424957861042,4521.9168540663595,4534.364120713317,4549.154374572616,4566.764132692395,4587.777551690812,4612.23540550314,4640.354334105247,4672.441619059694,4708.851102343962,4749.957634876897,4796.1396267027285,4847.7650177438245,4905.178742402499,4968.691099837945,5038.567086506706,5115.017030116824,5198.188941043398,5288.1629497187005,5384.948077092552,5488.481427788519,5598.629732590882,5715.193021920066,5837.91010063926,5966.465424410031,6100.496949205077,6239.60453343929,6383.3585082566
H,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,150853.30633698418,140078.07017005674,129302.8340031293,118527.59783620186,107752.36166927443,96977.12550234699,86201.88933541955,75426.6531684921,64651.41700156467,53876.18083463723,43100.94466770979,32325.708500782348,21550.47233385491,10775.236166927467,2.546585164964199e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
