series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03
S,8510.364791982083,8495.352673329242,8486.233823430166,8479.54627708908,8473.92943162089,8468.81043281803,8463.940657215138,8459.210495741063,8454.57118606749,8450.000936477614,8445.490026816164,8441.034190136748,8436.631647422442,8432.281766587237,8427.984448645599,8423.739841767094,8419.548204494764,8415.409837682613,8411.325048717463,8407.29413139268,8403.317353754412,8399.394950310447,8395.527116853751,8391.714007012448,8387.95573004082,8384.252349559218,8380.60388304745,8377.010301947827,8373.471532264297,8369.98745556387,8366.557910300973,8363.182693396759,8359.861562014994,8356.594235484321,8353.380397323952,8350.219697336199,8347.111753734876,8344.05615528357,8341.052463422124,8338.100214363538,8335.198921146803,8332.348075634107,8329.547150443375,8326.795600809248,8324.092866367471,8321.438372859264,8318.831533753537,8316.271751785964,8313.758420414864,8311.290925194584,8308.868645067714,8306.49095357798,8304.15722000603,9797.418543242129,11290.129989886917,12782.523678819358,14274.498231124828,15765.970100238434,17256.857559979042,18747.07015578295,20236.50176032396,21725.025240880383,23212.487391769497,24698.703349766267,26183.450042472017,27666.458380182587,29147.40397496548,30625.896216752542,32101.465593475812,33573.549236929844,35041.47482978527,36504.44324123174,37961.510583476935,39411.57080159061,40853.34040567174,42285.34747303321,43705.92749001181,45113.22882372345,46505.23044316027,47879.773795892535,49234.60942909016,49416.5666919454,49235.73545485468,49037.81778657655,48823.407571982505,48593.87222198731,48350.911093529954,48096.41232837915,47832.35390278211,47560.721411677805,47283.44168219454,47002.33275223653
E,0.0,15.012118652841382,21.122957910605432,23.57805154861635,24.470511898372195,24.68630137476251,24.609629447686935,24.408706311436955,24.157190777499228,23.8870118706814,23.611629366596578,23.336352867659226,23.062940150313402,22.791649850625756,22.522155680719735,22.25394957662303,21.986514902766256,21.7193962320014,21.452222859285193,21.184711951998363,20.916663096525976,20.647949574918595,20.378508774800377,20.108332794413226,19.83745968913279,19.565965523029032,19.293957259593775,19.021566467307686,18.748943790354645,18.476254124955805,18.20367243930736,17.93138017611772,17.6595621794168,17.388404090761586,17.118090163740312,16.848801449550827,16.580714310267858,16.313999220146503,16.048819818888763,15.785332184200524,15.523684294169934,15.2640156529961,15.006457056385413,14.751130475512294,14.498149040814523,14.24761710906776,13.999630399166072,13.75427618383522,13.511633526132643,13.271773551053863,13.034759743879583,12.800648268072853,12.569488296581804,12.341322351331184,12.708751100689916,13.32031507022389,14.228475273147916,15.457348646410843,17.024399380451772,18.952320710712616,21.274931542528225,24.04027980962133,27.31285893847056,31.17589721069813,35.73415545100528,41.11742063684483,47.48477227697814,55.029636911050005,63.98558578494363,74.63274510696505,87.30456071590228,102.39447866855085,120.36186636740621,141.73621391420505,167.1183513060572,197.17715172182602,232.64005575281067,274.27586436861446,322.8687303517063,379.1832055195613,443.9215471909109,517.67607271104,594.7794369093493,673.5198646639656,752.9754491424816,831.6354819326006,907.9600125055551,980.5288687166853,1048.1166069030749,1109.7357095038076,1164.6552977953913,1212.3997300269918
I,42.859835742681895,26.080512727626363,18.576982054654323,15.112864175516814,13.447597134850549,12.595188168000426,12.115399872155493,11.809620739994234,11.587323919249524,11.406704457859885,11.248080807548366,11.10190351312419,10.963319027735913,10.829690875095803,10.699461374929326,10.57162383545745,10.445474069597939,10.320490420984882,10.196273340853557,10.07251285985459,9.948969362451113,9.825460904708159,9.701853924189727,9.578055857694737,9.45400895511103,9.329684936778197,9.205080309287482,9.080212233253889,8.95511487388935,8.829836183326021,8.704435072891458,8.578978938719217,8.453541507413911,8.328200971002161,8.20303838255196,8.078136285833242,7.953577554301827,7.829444416543063,7.705817647112774,7.582775903454592,7.460395191245634,7.338748442118066,7.217905189215567,7.097931327466201,6.97888894678397,6.8608362276489405,6.743827389661089,6.627912684717279,6.513138427426849,6.399547056262572,6.287177219744255,6.176063882676466,6.066238448114352,5.957728891317251,4.969282953900892,4.580269513646908,4.5113654972016075,4.643377908324259,4.925756666874863,5.33836807634772,5.876030622458281,6.542455596151953,7.348015793340624,8.309117456872833,9.44832379262623,10.794916304883891,12.38578326518928,14.266598190569479,16.493274000415425,19.133678147514026,22.26957840322997,25.998758781944453,30.437198668760328,35.721144120987816,42.008819417316076,49.48143484269765,58.34305643537598,68.81883743675172,81.151101156136,95.59284724152477,112.39845849519094,131.8117225803729,154.05172413108025,178.19750236835432,203.516229332279,229.50414791231367,255.65684202864662,281.46431950074606,306.4356168844711,330.1236462078248,352.14442789434094,372.1893232243575
A,4.769306429449336,4.555138961029663,4.651793525200604,4.8667163165391765,5.121247183280958,5.382254667796012,5.635871137987879,5.876560513033047,6.102410299293783,6.313071782682073,6.508852535632733,6.6903163773122225,6.8581083408127945,7.012879761992852,7.1552579175351365,7.285835369356002,7.405167876309694,7.513775874862013,7.612147293347582,7.7007407116329105,7.779988442101974,7.850299362870996,7.912061448750663,7.965643996137909,8.011399559496713,8.049665625249661,8.080766051024442,8.105012297629251,8.12270447941369,8.134132256522648,8.139575590300636,8.139305380905196,8.133584004108162,8.122665762330827,8.106797263182411,8.086217737150077,8.061159304618231,8.031847201067233,7.998499968108722,7.961329616947049,7.920541769904933,7.8763357848069475,7.828904866268108,7.778436167277885,7.725110883894328,7.669104345360784,7.610586101521678,7.549720009037174,7.486664317572893,7.4215717568644,7.354589625321584,7.285859880640279,7.215519232723272,7.143699239075943,7.070526402729726,7.008011549596592,6.960574434315106,6.933488924219273,6.932275946497508,6.96255891245704,7.030164031558007,7.141334431324749,7.302996928241948,7.523061290584511,7.810751996752627,8.176981228987755,8.634775213828135,9.199767018666742,9.89076863312072,10.7304336860573,11.746019019136186,12.970247788637975,14.44226784941249,16.208685904384478,18.324639511602733,20.854845374370477,23.87453441190323,27.470154717438383,31.73969770596748,36.79248777752976,42.74828012945905,49.73554247405224,57.88885795241232,67.22305597689495,77.71795479946032,89.33578170308652,102.01014915250907,115.6467530362429,130.12702951713953,145.31315147753804,161.0536673188982,177.1892620033875
IH,0.0,8.207463015883713,11.633655112329507,12.968351551880229,13.38467987132599,13.402574007304365,13.253816884734649,13.041603832901034,12.811380619359092,12.58257472374916,12.36289637934978,12.154813785683428,11.958494894207814,11.773146135715681,11.597620686109469,11.430692543331958,11.271177166786552,11.117981484034436,10.970121368807874,10.826724208946338,10.687024754706943,10.550358078675995,10.41615145216513,10.283915994680207,10.153238505161838,10.023773669319626,9.895236732732265,9.767396676812556,9.640069907260811,9.513114449545464,9.386424637217132,9.259926273570018,9.133572243875653,9.007338553392179,8.881220765198004,8.755230811376702,8.629394151038998,8.503747249000057,8.378335349554286,8.253210520639536,8.128429944703415,8.00405443373058,7.880147147122566,7.756772492408356,7.6339951900771,7.511879485141523,7.390488489343058,7.269883639182708,7.150124256193237,7.031267197049627,6.9133665822390995,6.796473593074857,6.680636327836149,6.565899708749925,7.346214568520751,7.643449330978262,7.752428862283277,7.817409374992943,7.914907077845339,8.089808743514748,8.371677774667424,8.782727411963883,9.342229275174262,10.069330754457392,10.985126361349389,12.114379238709766,13.487107600069594,15.140172679614446,17.118966341217046,19.47927306756777,22.289361927142252,25.632343310153054,29.608798104629198,34.339649236987285,39.96919313948069,46.66813879071761,54.636414027308824,64.10539687429979,75.33912457731917,88.63394442215187,104.31602651396315,122.73619271110293,144.2616579502192,169.26454511534607,197.73400590681393,229.41250950072813,263.9202493490071,300.7780461060689,339.4242498572121,379.23679684934916,419.5595279329556,459.7300572537086
IN,8.57185999917182,15.888862525444193,18.778886860063196,19.745145439910893,19.877135930708253,19.656754736157176,19.29815607076154,18.896097161782407,18.49174166803538,18.102122046274683,17.733416440531997,17.386962299386393,17.06199141158378,16.756877329130297,16.469704415430293,16.198525936883563,15.941478811580497,15.696831863490846,15.46300301809678,15.238561896239332,15.022225522688908,14.81285081787709,14.609425652373469,14.411059352924138,14.216973121902193,14.026490622066735,13.839028871130058,13.654089532465148,13.471250654354524,13.290158888676245,13.110522205189968,12.932103106860207,12.754712343534868,12.578203115033535,12.402465749856022,12.227422842016853,12.053024825747075,11.879245965826975,11.70608073999587,11.533540589120795,11.361651010501788,11.19044896976647,11.019980607189634,10.850299214902952,10.681463462281522,10.513535847761545,10.34658135641683,10.180666303767168,10.015857347480075,9.852220649835225,9.689821175027967,9.528722106578975,9.368984371278124,9.210666257212367,9.053823114501897,8.722253941864198,8.361422350208569,8.039633227678138,7.7913538261944115,7.635895754986449,7.585716856277565,7.650414945601318,7.838925037559169,8.160948659358239,8.628048313288051,9.254606420822705,10.05875615000738,11.063353668088173,12.297043756181912,13.79546025350983,15.602593787313177,17.772348429306454,20.370293648633968,23.475595611848462,27.183080009848,31.6053352076251,36.87470906276594,43.14498737408887,50.592472912099836,59.41612307004171,69.83636863422818,82.09224686409381,96.43655863959378,113.12891302395755,132.20672436307473,153.55536605692336,176.97624183680387,202.19894651713633,228.89066308833492,256.66910505007564,285.11853336687375,313.8072751953626
D,88.0,88.0,88.0559197106046,88.13518301351515,88.22353997161491,88.31473348945242,88.40604892497673,88.49635083717132,88.58520688327768,88.67249435509369,88.75822290919757,88.84245473411471,88.92526883489504,89.00674536088808,89.08695905463738,89.16597684505739,89.24385730797219,89.3206509486039,89.39640082477041,89.47114328916578,89.54490874913658,89.61772239817171,89.68960489942607,89.76057301389596,89.83064017169997,89.8998169877038,89.96811172405162,90.03553070277714,90.10207867192067,90.16775912864388,90.23257460279679,90.29652690429474,90.35961733753041,90.42184688589087,90.48321636928038,90.54372657737322,90.60337838114025,90.66217282501226,90.72011120186494,90.7771951128358,90.83342651381558,90.88880775029486,90.943341582093,90.99703119935182,91.04988023103941,91.1018927470824,91.15307325512646,91.20342669281492,91.25295841637498,91.3016741862078,91.34958015009478,91.3966828245551,91.44298907482037,91.48850609382907,91.52060919303497,91.55652753866043,91.59389917438929,91.6318036511392,91.67002584152142,91.70872473404134,91.74827878514931,91.78921099764743,91.8321529830434,91.87783057888383,91.92706324134996,91.98077356545035,92.04000522230916,92.1059486531399,92.17997452729091,92.26367545163218,92.35891678389217,92.46789767439061,92.59322363072052,92.73799193743916,92.90589111577742,93.10131520530871,93.329492904605,93.59663043298295,93.91006530204533,94.27842599862551,94.71178996046031,95.22182939092548,95.82193179052612,96.52728010868739,97.35487674051483,98.32167103978588,99.44335319733695,100.73375639006376,102.20437091075614,103.86394093914546,105.71816915642314,107.76955004030407
R,0.0,1.4690249413191208,5.51177554976343,10.613205018328282,16.111650542344268,21.717554891883474,27.306214599945697,32.82635901600517,38.25935391918367,43.60087843943173,48.85266889836535,54.01880043935751,59.10402407139425,64.11303825269981,69.05018637842635,73.91934827958357,78.72391952361009,83.46682964679647,88.15057673076258,92.77726784286858,97.34866047136227,101.86620270571566,106.33107114792877,110.7442061311913,115.10634411006066,119.41804723001957,123.67973015811523,127.89168429531219,132.05409951189364,136.16708355784277,140.23067930470762,144.2448799761589,148.20964252251125,152.12489929065273,155.99056813562424,159.80656111388632,163.5727918913957,167.28918199221988,170.95566600573622,174.5721958626491,178.1387442822421,181.65530748556662,185.121907261737,188.53859246722007,191.90544003102607,195.2225555320608,198.4900734086163,201.70815685407027,204.87699744734374,207.99681456153164,211.06785458936832,214.09039001981122,217.06471839600695,219.99116118123354,222.87006255607028,225.86648682352396,228.8663286829652,231.83129623962816,234.75991230388908,237.67009111879494,240.59109670869128,243.55972538408557,246.61855154294102,249.81531936263286,253.20307626285307,256.84086312444504,260.7948788203546,265.1400924520338,269.9623126182125,275.36074930559255,281.45112433828535,288.36940168693906,296.2762186366525,305.362100878174,315.85353583430015,328.0199546418585,342.181629022523,358.71841951295977,378.07921208653687,400.7917501415942,427.472412860679,458.8353218743266,495.6999983234534,538.996672717561,589.7628082841868,649.0384404185706,717.7976789515025,796.9126019052235,887.1231806082185,989.0118588457718,1102.9843148918922,1229.2576705706758
G,12094.0,12094.0,12096.70680587807,12100.515445281795,12104.766757838075,12109.178988181946,12113.630127106053,12118.067441464309,12122.468527763167,12126.82426378593,12131.131284376179,12135.388651283427,12139.596383621254,12143.754817444491,12147.864335442131,12151.925261470837,12155.937827779248,12159.902173462446,12163.818355498335,12167.686364023712,12171.506138178374,12175.277580965934,12179.000572541736,12182.674981771606,12186.300676096624,12189.877529819554,12193.405430958132,12196.884286816468,12200.314028421531,12203.694613962647,12207.02603136126,12210.308300086988,12213.541472325032,12216.72563358946,12219.860902867005,12222.947432366807,12225.985406942997,12228.975043249204,12231.91658867694,12234.810320123275,12237.656542627343,12240.45558790992,12243.207812845516,12245.913597892153,12248.573345500245,12251.187478518528,12253.756438612112,12256.28068470499,12258.760691457132,12261.19694778421,12263.589955426312,12265.940227570429,12268.248287530278,12270.514667485852,12272.739907284193,12275.03139744476,12277.433157513648,12279.998666180076,12282.785750611196,12285.855386908326,12289.272642945874,12293.108684419203,12297.443340453032,12302.368068856209,12307.989334166952,12314.43249014376,12321.846292182272,12330.408178994549,12340.330465655308,12351.867582015735,12365.324466938084,12381.066182254415,12399.528731289049,12421.230945008027,12446.787125706449,12476.919910166074,12512.472538388905,12554.419413773265,12603.87356072306,12662.089392703256,12730.459178028063,12810.501807661176,12903.842972153276,13011.086494084535,13132.527549196595,13268.29508600557,13418.245660135866,13581.95816173112,13758.755412461354,13947.7392766363,14147.83356119747,14357.830289767146
H,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,42220.109826397915,40724.55809358643,39229.00636077494,37733.45462796345,36237.902895151965,34742.35116234048,33246.79942952899,31751.247696717503,30255.695963906015,28760.144231094528,27264.59249828304,25769.040765471553,24273.489032660065,22777.937299848578,21282.38556703709,19786.833834225603,18291.282101414115,16795.730368602628,15300.17863579114,13804.626902979653,12309.075170168166,10813.523437356678,9317.97170454519,7822.419971733703,6326.868238922216,4831.316506110728,3335.7647732992405,1840.2130404877526,344.66130767626464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
