series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03
S,499181.2,499001.01098444156,498836.38409827393,498682.9605070407,498537.69768514496,498398.46471037675,498263.7645778269,498132.5426113241,498004.05370862706,497877.7700327697,497753.31663646555,497630.4264473872,497508.9087124923,497388.6268224458,497269.4826884415,497151.40570620465,497034.3449383796,496918.2635600257,496803.1348992592,496688.9396050936,496575.6636140062,496463.29668418196,496351.83133455156,496241.26207351196,496131.5848357646,496022.7965693033,495914.89493122377,495807.8780627834,495701.7444224725,495596.49266177596,495492.1215325253,495388.6298177578,495286.0162801679,495184.2796237967,495083.4184657379,494983.4313154615,494884.31655995856,494786.07245335344,494688.6971099572,494592.18849998,494496.54444730136,494401.7626288362,494307.8405751377,622399.2604112285,750464.3276995991,878502.4289287854,1006513.2054322052,1134495.7161698758,1262448.3363782843,1390368.6915913422,1518253.6020148487,1646099.0203516374,1773899.9515775912,1901650.3465690054,2029342.9633687711,2156969.1906437157,2284518.8278433112,2283795.331229114,2283015.500735245,2282170.523605227,2281252.641624206,2280254.622040868,2279169.4412862468,2277990.100849169,2276709.526489992,2275320.521244142,2273815.7543307855,2272187.7751127575,2270429.0454494557,2268531.986237663,2266489.0353139895,2264292.714608448,2261935.7047488005,2259410.9253842225,2256711.619433149,2253831.4393386086,2250764.5332882036,2247505.629263796,2244050.114755313,2240394.1100215623,2236534.5329170255,2232469.1535270954,2228196.6371569075,2223716.5745857414,2219029.498909723,2214136.8887269194,2209041.1578467595,2203745.6321072434,2198254.514239049,2192572.8380104103,2186706.413110921,2180661.7623820323
E,0.0,180.18901555844997,301.7338529769545,383.0147970963377,436.70121457586947,471.5217036170052,493.48399274978397,506.7170720461065,514.053142356246,517.4299780269079,518.1691541910046,517.1683908049343,515.0344494024232,512.1748749824766,508.8612505951252,505.27274097756555,501.52600679730847,497.69570348268684,493.82848376652646,489.9525251123391,486.08398046745737,482.23131900430184,478.3982242244439,474.5855094612002,470.79236728067497,467.0171700088644,463.257970036484,459.5128012534142,455.7798504011399,452.05754476511464,448.3445873103291,444.63995990870313,440.9429082030297,437.2529168514553,433.56968067446013,429.8930750827324,426.22312775440554,422.5599926166465,418.9039266068414,415.2552693313666,411.61442552939343,407.9818501340211,404.35803566869225,400.74350170024013,424.34572755816464,469.27087035973267,530.7794227256927,605.8474367785218,692.8576948946868,791.3293484849219,901.701844914544,1025.1770654419352,1163.6172561032283,1319.493511327467,1495.8789359703658,1696.4812511063915,1925.7109026134272,2188.782275427382,2445.2888341550156,2705.612940611629,2976.600058244027,3262.933480145259,3567.9675714353316,3894.2296320566147,4243.718429060298,4618.077561928496,5018.691472208203,5446.733446600944,5903.18374984977,6388.829234240974,6904.251680851012,7449.809677195678,8025.617377044338,8631.522619311276,9267.086354400893,9931.564982093056,10623.896947681016,11342.694713184143,12086.242984071632,12852.50381295654,13639.128917049331,14443.479242143754,15262.651495384298,16093.511068645923,16932.73050184346,17776.83240751559,18622.235608086783,19465.303134214086,20302.390700139404,21129.89430811793,21944.295732006838,22742.204779323576
I,932.6851127322802,739.7872785052261,597.3386639308646,491.47043420765254,412.258683592306,352.5740431819199,307.2728946799424,272.6273096929593,245.92221460103923,225.1699559331908,208.90746666745315,196.05167902630592,185.79610684181932,177.53660083209795,170.81783270971596,165.29455241653352,160.70340859006598,156.84234926818544,153.5554836043837,150.72189464460686,148.24732388898158,146.05795348794177,144.09572865169082,142.3148172274615,140.67891370228665,139.15917397209373,137.73262413045848,136.38092765557147,135.08942522321408,133.84638314204165,132.642402363756,131.46995177970615,130.32299823007196,129.19671214795255,128.08723263212144,126.9914794174173,125.90700200128651,124.83185831502463,123.76451696425664,122.7037783268765,121.64871077806683,120.5985990781154,119.55290255965194,118.5112212243734,132.0492151271521,145.83478920121232,161.09612464112615,178.68084243933257,199.1883894053284,223.07323767766073,250.72359753474282,282.52087595884234,318.88490455517245,360.30939767830574,407.39142074262395,460.85798775372535,521.5923390289809,590.6620054014807,669.3504482303465,756.4668297776357,851.5282578456018,954.4932755128606,1065.5982130060104,1185.2560628683827,1313.9932275264205,1452.4090549309788,1601.1489206655126,1760.8851900396241,1932.302587745922,2116.0858560333286,2312.908424595725,2523.421347356912,2748.242105189868,2987.94310318953,3243.039850563577,3513.978926327404,3801.1259192948537,4104.753593935681,4425.030577997102,4762.010894551646,5115.624670485882,5485.670345339112,5871.8086791681135,6273.558816808158,6690.296610460942,7121.255335786138,7565.528862162234,8022.0772595635235,8489.73474680544,8967.219812825919,9453.147277829907,9946.042007459855
A,2874.5505409026796,2759.5685192665724,2681.7137168221884,2628.914527062032,2592.9002389178268,2568.0180591076733,2550.4170031515596,2537.4846483458937,2527.4584391609583,2519.157594600246,2511.7983742683764,2504.866959722083,2498.0321427446574,2491.085496771647,2483.900502815736,2476.404729148719,2468.560984345878,2460.35462436383,2451.7850678088575,2442.8601783505637,2433.5925917414534,2423.9973542534576,2414.090439172846,2403.8878458045815,2393.40508030534,2382.6568828265904,2371.657110084068,2360.4187129401034,2348.9537692979648,2337.2735466131767,2325.3885777347164,2313.308740055278,2301.0433320781403,2288.6011441889773,2275.9905221279046,2263.219422714057,2250.295462002793,2237.225956403745,2224.017957457278,2210.6782810247905,2197.2135316393765,2183.630122716809,2169.934293261303,2156.1321216278293,2142.2295368299915,2133.1437576910175,2132.53135065834,2143.047037935395,2166.693466120928,2205.1012338746013,2259.7489125426414,2332.135260185614,2423.9160495954247,2537.0169975518893,2673.732877109137,2836.8214309926516,3029.5994144973256,3256.0470917134085,3520.926823222684,3821.5162386999573,4157.076099105017,4528.132486273637,4936.035872483541,5382.6882451568645,5870.371743451391,6401.638040796408,6979.233448244082,7606.0443454616525,8285.053460059557,9019.301169117043,9811.848278153553,10665.73818428907,11583.957281409446,12569.393114821172,13624.790259715837,14752.70425051505,15955.454164655319,17235.07468334021,18593.268620496063,20031.361030455475,21550.25607265848,23150.397825327243,24831.736198308045,26593.698999126806,28435.17105977056,30354.48114184067,32349.397114297557,34417.12965284978,36554.344456087,38757.18272379666,41021.289409756784,43341.84855516938
IH,0.0,155.59042971776287,200.57724367651707,199.1254622589344,180.74451588734462,158.41427925678568,137.38287877331658,119.39509645805069,104.69437484112211,92.94852242228603,83.66120669093117,76.34219986944359,70.56769329216606,65.99295856588955,62.3462414518218,59.41680598436067,57.04254181595908,55.09911709848788,53.491162417264064,52.14537304306108,51.00522170112948,50.02694915666474,49.176538468174826,48.42743403508355,47.758819732725954,47.15431519707211,46.6009847176949,46.08858024658565,45.6089603060843,45.15564161447534,44.72345133605938,44.30825602362446,43.90674933042321,43.51628500282243,43.13474494758151,42.76043460848763,42.3919997106894,42.028359800854304,41.668655045959476,41.312203539599395,40.95846696535905,40.60702292842197,40.25754262332582,39.909772782950824,24.689780924197123,17.84824086983997,15.11037810868475,14.441817864236885,14.885928878561518,16.001674597953212,17.59352965486387,19.58299540079824,21.94844190558012,24.69770335232036,27.856245093080474,31.4626748526183,35.56771568717555,40.23485597446496,45.54189692150921,51.58309522449301,58.35230298813397,65.82535291342606,73.98862244693501,82.84581487438675,92.41683977103256,102.73449389503162,113.84106636010944,125.78550053046828,138.62117323353937,152.404168702675,167.19189449318978,183.0419087916763,200.01086268721224,218.15349272500163,237.521624635664,258.16316861362094,280.121101079539,303.4324387137526,328.1272186133373,354.2275043083073,381.74644141916895,410.68738912477295,441.04315442005804,472.7953554333729,505.9139379159294,540.3568655324048,576.0699999543424,612.9871812319102,651.0305127919501,690.1108490117631,730.128476989316,770.9739781971718
IN,37.30740450929121,73.89858282465025,102.07137166139833,124.00535574045855,141.28352280254796,155.06151421762024,166.18761063855314,175.28806272526236,182.8279812645509,189.15494491846763,194.53035340771817,199.15206542980548,203.1708184870583,206.70219678200476,209.83539956458372,212.63970050928324,215.16923337478423,217.4665586073393,219.5653375008178,221.49234948693422,223.26902320868547,224.9126055827652,226.43705970620545,227.85375842141775,229.17202294928828,230.3995433417252,231.54270825313714,232.6068647325209,233.59652371554893,234.51552316414603,235.3671580115299,236.1542839729783,236.879400695505,237.54471851159855,238.1522121371888,238.70366394163202,239.20069886581595,239.64481263497024,240.03739457669775,240.37974609056562,240.67309560703526,240.91861070821204,241.11740795141412,241.27056083163808,241.3791062350305,242.02708754383033,243.21405189401014,244.9886823633924,247.43263225354102,250.64996516128818,254.76092575986348,259.8989786807728,266.21028258567463,273.85498345176904,283.00990135379743,293.87234439771703,306.6649133358721,321.64126505215995,339.09288796817657,359.35701297577396,382.71676331089844,409.4305111320074,439.75001010140835,473.93163393282674,512.243354188496,554.9690540194086,602.4111405161907,654.8920301924871,712.7548444338327,776.3635063815949,846.1023422838758,922.3752372952094,1005.604364954585,1096.2284931636746,1194.7008625777407,1301.4866329227495,1417.059896965794,1541.900269410833,1676.489067914985,1821.305114926394,1976.8202014001724,2143.494265941311,2321.7703548517734,2512.0694392490145,2714.7851742557086,2930.2786917058806,3158.8735214641365,3400.8507370556554,3656.4444187652825,3925.8375217656912,4209.158228420326,4506.4768530604815
D,648.0,648.0,649.1617838494022,650.6594813792805,652.1463385495886,653.4959463616298,654.6788157160565,655.7046449398254,656.5961605363464,657.377906778929,658.0719474880644,658.696640400934,659.2666827550623,659.7936072356048,660.2863724627155,660.7519078849201,661.1955693986836,661.6215024328094,662.0329240380936,662.4323391479744,662.8217053341363,663.2025580826956,663.5761061323444,663.9433042194341,664.3049087913349,664.661520862737,665.0136191371936,665.3615857281302,665.7057262274494,666.0462854351574,666.3834597410081,666.7174069095198,667.0482538410232,667.3761027475682,667.7010360817969,668.0231204806837,668.3424099280596,668.6589482954713,668.9727713867892,669.283908585565,669.5923841835988,669.8982184531162,670.2014285123475,670.5020290243536,671.0978260138679,671.4664098498723,671.7328590786417,671.9584358524444,672.1740319585265,672.3962580198024,672.6351406013821,672.8977873485912,673.1901340319192,673.5177935173037,673.8864956240598,674.3023503335288,674.7720439862891,675.3030201470798,675.9036701731649,676.5835468848207,677.3536102227336,678.2247283481269,679.2074086383111,680.3119551049607,681.5487270446172,682.9283809758851,684.4620630270164,686.1615506434787,688.0393519265924,690.1087718189243,692.3839525220646,694.87989325197,697.6124524876773,700.5983344296087,703.8550604181142,707.4009254790882,711.2549398705,715.4367554280649,719.9665765946706,724.8650562249792,730.153176551242,735.8521160514064,741.9831033512528,748.5672596950749,755.6254319115774,763.17801816164,771.2447890625539,779.8447070222203,788.995746773187,798.7147201613066,809.0171082131878,819.9169033815215
R,0.0,115.69824783003938,304.7623269530246,513.5924933588597,720.0108586738618,916.1928020248986,1100.5552846081855,1273.9836126120804,1438.1370367569587,1594.7341226945641,1745.2879189652288,1891.038675503605,2032.966452128781,2171.830500528798,2308.212770103097,2442.5569150183137,2575.200375442053,2706.399642865272,2836.3496997491643,2965.1987932652014,3093.059597796263,3220.0176343944972,3346.1376272370326,3471.468315463141,3596.046109618007,3719.897882631835,3843.043110561435,3965.4955228045233,4087.26438050035,4208.355471634143,4328.771889121521,4448.514641736594,4567.58313559809,4685.975554897099,4803.689163805207,4920.720546437642,5037.0657979225425,5152.72067672401,5267.680726149087,5381.941371265345,5495.497996139968,5608.346005289248,5720.480872429739,5831.898178996544,5942.593644401244,6045.177191660157,6144.012395921568,6241.48633139648,6339.082971982058,6437.892923891898,6538.855006465902,6642.872396941152,6750.87180449927,6863.838234255378,6982.840684747943,7109.05598553227,7243.794235496453,7388.527665126981,7544.924112040666,7714.886138555295,7900.260692033838,8102.867532763555,8324.54042359847,8567.16521479401,8832.710596922401,9123.251577268558,9440.986966150263,9788.252231730901,10167.528791252276,10581.4504639998,11032.807521068227,11524.548551328679,12059.78021538387,12641.764866094678,13273.915962496401,13959.791183397845,14703.08315020701,15507.60769014909,16377.289606956841,17316.145972971888,18328.267011367658,19417.794696934172,20588.899265566048,21845.753883257326,23192.507782075743,24633.258220495136,26172.021666169963,27812.70462877642,29559.074587545867,31414.73146186781,33383.08006381998,35467.30394933318
G,39068.0,39068.0,39078.55411042287,39096.22739862396,39118.66151010194,39144.24016608243,39171.85834309133,39200.76290497739,39230.442560615396,39260.551907796376,39290.85904448432,39321.20947652429,39351.5012914102,39381.66811613992,39411.667448616594,39441.47269402544,39471.06775166763,39500.44335394434,39529.59460600742,39558.51934557312,39587.21706078052,39615.688185886225,39643.93365120697,39671.95460281115,39699.75223440607,39727.32769240568,39754.68202788707,39781.81617785112,39808.730964138835,39835.42710238423,39861.905216103616,39888.16585284277,39914.20950051325,39940.036602842054,39965.64757337135,39991.0428077682,40016.22269440217,40041.18762326399,40065.9379933603,40090.47421874717,40114.796733372255,40138.90599488976,40162.80248760046,40186.48672465338,40209.9592496299,40234.814214580125,40262.300554791604,40293.389601037125,40328.875564081834,40369.45793030759,40415.80802162075,40468.62289943245,40528.67002227248,40596.82592496613,40674.11188037048,40761.72916059447,40861.09620801968,40973.88979560718,41102.09211557034,41245.31865072559,41403.793004160776,41578.139734465345,41769.25771213556,41978.242281019644,42206.336815091774,42454.901760990615,42725.39383498799,43019.350843476095,43338.379315112834,43684.14319505461,44058.35251631669,44462.75138825191,44899.10492355911,45369.18492120202,45874.754267698176,46417.55013335875,46999.26613401514,47621.533707648654,48285.90302075456,48993.823770840994,49746.626287863684,50545.50335712399,51391.49318807737,52285.46393723075,53228.100159442634,54219.89151211311,55261.123973571506,56351.873763836105,57492.004076754114,58681.1646514614,59918.79413214976,61204.12509191898
H,1794582.7863498125,1794582.7863498125,1794582.7863498125,1794582.7863498125,1794582.7863498125,1794582.7863498125,1794582.7863498125,1794582.7863498125,1794582.7863498125,1794582.7863498125,1794582.7863498125,1794582.7863498125,1794582.7863498125,1794582.7863498125,1794582.7863498125,1794582.7863498125,1794582.7863498125,1794582.7863498125,1794582.7863498125,1794582.7863498125,1794582.7863498125,1794582.7863498125,1794582.7863498125,1794582.7863498125,1794582.7863498125,1794582.7863498125,1794582.7863498125,1794582.7863498125,1794582.7863498125,1794582.7863498125,1794582.7863498125,1794582.7863498125,1794582.7863498125,1794582.7863498125,1794582.7863498125,1794582.7863498125,1794582.7863498125,1794582.7863498125,1794582.7863498125,1794582.7863498125,1794582.7863498125,1794582.7863498125,1794582.7863498125,1666398.3016105401,1538213.8168712677,1410029.3321319954,1281844.847392723,1153660.3626534506,1025475.8779141783,897291.393174906,769106.9084356338,640922.4236963615,512737.93895708915,384553.4542178168,256368.9694785445,128184.48473927217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
