series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03
S,4532070.163240462,4531029.902318589,4530212.099941236,4529521.182240031,4528901.5345079275,4528320.669982809,4527759.5242798515,4527206.8375067245,4526655.894900471,4526102.633000093,4525544.538097908,4524980.00497368,4524407.963268739,4523827.659583804,4523238.530231872,4522640.126794591,4522032.072454158,4521414.036276947,4520785.717980811,4520146.8388353465,4519497.136159286,4518836.359936135,4518164.270684777,4517480.638080517,4516785.240031113,4516077.8620342845,4515358.296714329,4514626.343477043,4513881.808246437,4513124.503260978,4512354.246915457,4511570.863639532,4510774.183806896,4509964.043670833,4509140.285322945,4508302.756672526,4507451.311444491,4506585.809194023,4505706.115336316,4504812.101189936,4503903.644032411,4502980.627166774,4763072.4991979655,5023091.572652946,5283016.9381976845,5542845.669354072,5802571.391498239,6062184.877187682,6321674.370010942,6581025.702005267,6840222.252577948,7099244.781868536,7358071.159241598,7616675.997995887,7875030.19999656,8133100.408287785,8338699.364195318,8335075.412732275,8331165.830683244,8326936.325907171,8322356.953068681,8317399.513499033,8312036.215214596,8306239.00758108,8299979.283549825,8293227.788727322,8285954.653413376,8278129.5040143,8269721.631169664,8260700.202606057,8251034.513933094,8240694.272852635,8229649.912906373,8217872.932666805,8205336.255589409,8192014.604833456,8177884.886385877,8162926.572905608,8147122.079939844,8130457.125627682,8112921.064764438,8094507.188197885,8075212.978991941,8055040.317627141,8033995.629689479,8012089.970985287,7989339.046744139,7965763.163452326,7941387.113804178,7916239.997172031,7890354.979786677,7863769.000407774
E,0.0,1040.260921871919,1649.7294642349707,2010.254608386519,2227.3071424334603,2362.1071957183162,2450.1919190737926,2512.176918992229,2560.0039696167646,2600.571955068044,2637.8483614549677,2674.0976160213436,2710.595785902396,2748.0464199230037,2786.8224543788865,2827.106868682367,2868.9743962724892,2912.4389194909345,2957.4808889712667,3004.06311877299,3052.1398210726343,3101.661713237068,3152.5788471247633,3204.842121324616,3258.404035548327,3313.219012465235,3369.24347597219,3426.4357954862003,3484.756159598599,3544.166415505143,3604.6298949660086,3666.1112384544185,3728.576223883443,3791.9916032604046,3856.324948875944,3921.5445096472627,3987.61907768562,4054.517864862338,4122.210388997678,4190.666369230395,4259.855630106067,4329.748013928349,4400.313300936708,4529.545001204659,4726.603282182292,4980.83094179123,5287.1532495663605,5644.364613754004,6054.029856321103,6519.811962456713,7047.0929585160375,7642.796276142672,8315.34956111222,9074.748714078012,9932.699182767381,10902.820977100519,12000.9109608734,13221.43098543201,14483.147135304635,15812.10117263282,17224.772650642517,18732.594083445627,20344.301701866036,22067.140775888092,23907.461974213853,25870.991457208765,27962.923909495206,30187.91756580042,32550.033519434368,35052.642458483904,37698.31213777801,40488.68397371835,43424.344815176184,46504.69895155765,49727.84509269321,53090.463017431095,56587.71462013766,60213.164054218,63958.721496644204,67814.61468740976,71769.39180812938,75809.95845221926,79921.65042357589,84088.34291902944,88292.59535637715,92515.82977155485,96738.53940005272,100940.52285500063,105101.13828839082,109199.57113259006,113215.10851057636,117127.41319988153
I,4374.002027992472,3351.794406878985,2753.6734083348497,2403.836414333638,2199.9402844688625,2082.336337300516,2016.2147515463791,1981.2274075684622,1965.4517189462163,1961.8773909899137,1966.3606370927162,1976.432401692589,1990.603781612392,2007.96100759354,2027.9291105779084,2050.1338854438163,2074.3211546128864,2100.3094466709927,2127.962171662528,2157.1711804678894,2187.846978348435,2219.9128340244806,2253.301174670029,2287.9513270957855,2323.8080560407866,2360.820578369615,2398.941864948196,2438.1281196060127,2478.338369947763,2519.5341312995047,2561.6791206048524,2604.7390061998026,2648.681184758843,2693.4745798774466,2739.089458645846,2785.497263706955,2832.6704589875026,2880.582387727162,2929.207141711624,2978.5194408044017,3028.494522004959,3079.108037359043,3130.3359601234924,3266.8004916081545,3398.0701374250875,3537.2935269791187,3693.0047071016106,3871.0706308208746,4075.931155873151,4311.387180669133,4581.106224272149,4888.95602863896,5239.237594328817,5636.863435922135,6087.510400202515,6597.766056914111,7175.2813348731015,7828.938309618308,8564.797537628145,9373.205160779875,10251.138560927997,11199.133602268925,12219.650718632183,13316.197166674861,14492.84525597142,15753.956310677559,17104.00976153444,18547.4841201945,20088.761665879203,21732.04202470241,23481.25700510973,25339.983000266064,27311.349523768182,29397.94381897336,31601.71239559414,33923.86101369663,36364.75515726558,38923.82345939755,41599.466868948904,44388.97657731683,47288.46383970634,50292.80481202186,53395.60336951865,56589.17456958731,59864.55096969326,63211.51342314298,66618.64727034178,70073.42405095593,73562.30801975593,77070.88589777137,80584.01747461918,84086.00394011897
A,546.4768912832328,524.519604789522,526.5824715508656,542.1185054987162,565.0492560838542,591.8864282742384,620.6435693000866,650.2044735770029,679.9563252309343,709.5765450588076,738.9089628459232,767.8919297272622,796.5166402034713,824.8030253931632,852.7858642135853,880.5068331790196,908.0100041573525,935.3393404735258,962.5373477953674,989.6443890998954,1016.6983784860184,1043.7346882431073,1070.7861732471729,1097.8832573073064,1125.0540496785889,1152.3244736730533,1179.7183972614794,1207.2577601685562,1234.9626946223304,1262.8516384417408,1290.941440008864,1319.2474551523358,1347.783636226664,1376.562613802831,1405.5957714433905,1434.8933140519937,1464.4643302813797,1494.316849465969,1524.4578935214493,1554.8935242276193,1585.6288862841855,1616.6682465032823,1648.0150294777286,1679.6718500407032,1712.9311337127676,1749.2371209746323,1789.7389812168271,1835.426836265869,1887.224209861338,1946.052324241359,2012.876860834569,2088.744409530429,2174.813502377182,2272.3835731334716,2382.9241776542744,2508.1061828897523,2649.8362627504494,2810.2958419390175,2991.4555143285,3193.399857383836,3416.7892819667904,3662.6242088890517,3932.11914906758,4226.634129591548,4547.635684353243,4896.672676541448,5275.35910009972,5685.359641486799,6128.375710924233,6606.130684978458,7120.35366767941,7672.761401217487,8265.038158634505,8898.813592295635,9575.63862555366,10296.95957681489,11064.090802083698,11878.186235756979,12740.210298700433,13650.908724417352,14610.779924382387,15620.047567935097,16678.635086211714,17786.142819720168,18941.828512600543,20144.591811945953,21392.963357920307,22685.098951586573,24018.779165756358,25391.414624634952,26800.057026549723,28241.415827334917
IH,0.0,187.4859659082319,232.74372147765712,228.60770171722646,211.64739311797842,194.84991513024232,181.82860023251823,172.8080411296167,167.02274440993335,163.5979827887768,161.81769173618463,161.1640555490136,161.2852304491856,161.95023781644463,163.010173659958,164.36964934869462,165.967306540469,167.76309928925525,169.73022348667098,171.85008992165632,174.10923130753605,176.49741334679317,179.0064848033773,181.62967665558944,184.36117230686992,187.19584074147735,190.12906749331103,193.15664441609687,196.2746949803022,199.47962124285172,202.76806424826688,206.13687295203226,209.58307873070794,213.10387371093103,216.69659184016245,220.35869203119205,224.08774295558118,227.8814092065893,231.73743863987139,235.65365075396906,239.62792600624311,243.65819598156168,247.7424343455654,160.94132928296605,124.06626849400898,109.56069556496395,105.24051022848559,105.76157159180184,108.81345912774574,113.42743186645751,119.22799030483975,126.10430449368044,134.06773425237182,143.19144352848866,153.58606560668173,165.39117784736607,178.77378425142228,193.93004825785658,211.08872691299172,230.44858920593256,251.9462667259661,275.5054353771529,301.1002513657429,328.75802462088274,358.5465322948681,390.56069053246273,424.9121929795308,461.7221469259986,501.1158784243176,543.2190879980178,588.1547544192749,636.0403947680275,686.9854462119308,741.0886413409962,798.4353184759489,859.0946541139606,923.116835792651,990.530215906746,1061.3385036632703,1135.5180650355965,1213.015409897505,1293.7449515403266,1377.587126275192,1464.3869594935418,1553.9531591549921,1646.0578080996295,1740.4367129677344,1836.790450232242,1934.7861295435634,2034.0598721217764,2134.2199783610404,2234.850735303594
IN,834.7216552052552,1609.7917933435006,2134.3981871449832,2507.37110929598,2786.9284945123327,3007.5969996800113,3190.052732775974,3346.8512262461345,3485.7675842998706,3611.7460094533176,3728.039553865939,3836.878009574065,3939.860634224624,4038.18826019798,4132.8015240408085,4224.464116411367,4313.813740319755,4401.39402025614,4487.675100331964,4573.067460436209,4657.931607570989,4742.58520699928,4827.308579574918,4912.349118249631,4997.924957898277,5084.228103940123,5171.4271492524895,5259.669663698272,5349.0843134579145,5439.782750819746,5531.861304789164,5625.402496282999,5720.476397291664,5817.141850344879,5915.447562393071,6015.433085512476,6117.129695476763,6220.561178103287,6325.744532311567,6432.690597984082,6541.404615968605,6651.886726889402,6764.132414829513,6878.132901399042,7010.029087020851,7157.550718898486,7321.099028458131,7502.67518636333,7705.256986113597,7932.4567092173365,8188.3538458102485,8477.43625291369,8804.609181354956,9175.248129446736,9595.28193733526,10071.299106568034,10610.674458552034,11221.715870273949,11913.832543980934,12696.91785305146,13578.315849221546,14564.268930449438,15660.675658422046,16873.48260924178,18208.880714766718,19673.39563330612,21273.91898383373,23017.704732539638,24912.34312310033,26965.718280646375,29185.952353200566,31581.33739236958,34160.25538515955,36931.08654576413,39902.105957000334,43081.368807567094,46476.58474380754,50094.98220731027,53943.16403726912,58026.95605752835,62351.250821404945,66919.84913023532,71735.30235027976,76798.75890251782,82109.81856679387,87666.39840348811,93464.61413376892,99498.68072011424,105760.83564533204,112241.28800144361,118928.1959781439,125807.6747005033
D,12356.0,12356.0,12360.761802654779,12366.673070015227,12372.479289993702,12377.854748970292,12382.80358254648,12387.421698399085,12391.810708451287,12396.052782485398,12400.207873801093,12404.317748960904,12408.411022949977,12412.507374561197,12416.620616150458,12420.760778183012,12424.935468426316,12429.150736257498,12433.41161395946,12437.722453039494,12442.087132872723,12446.509190789673,12450.991904188328,12455.538343440088,12460.151406995516,12464.833845574192,12469.588279577229,12474.41721220669,12479.323039785375,12484.308060179277,12489.374479873184,12494.524420040516,12499.759921823894,12505.0829509683,12510.49540190384,12515.999101347728,12521.595811478188,12527.287232722121,12533.07500619134,12538.960715797291,12544.945890070643,12551.032003709539,12557.220478878136,12569.804012558538,12577.978674452655,12584.280348496992,12589.845243773538,12595.190704709614,12600.56263181501,12606.089572855337,12611.850870522987,12617.906794836521,12624.31198645027,12631.121663015676,12638.394758386461,12646.195825791434,12654.596507985347,12663.676930324955,12673.527181858733,12684.248970847686,12695.954101587738,12708.751159715355,12722.744854151917,12738.038581139976,12754.737124070043,12772.948708924458,12792.786382742986,12814.36886579921,12837.821029745923,12863.27411189793,12890.86573425248,12920.739765243874,12953.046042328788,12987.939961584843,13025.581933995065,13066.136705115337,13109.772534170024,13156.660229549407,13206.972039741484,13260.880401635288,13318.556551681299,13380.169009416331,13445.881947188016,13515.8534643686,13590.233788734926,13669.163431804132,13752.771328541015,13841.172994788012,13934.468737826106,14032.741956500964,14136.057567233574,14244.460590922401
R,0.0,81.60880356072056,311.374818307895,601.320165663828,916.4774464045418,1244.062207059575,1580.104379614693,1923.8365423045807,2275.455863516084,2635.3081490050895,3003.642636237615,3380.5770797371824,3766.127450860855,4160.247905652357,4562.863840048385,4973.894889103042,5393.26929045477,5820.931975556692,6256.848487922808,6701.006287856402,7153.414505996362,7614.1028321649865,8083.119966554567,8560.531890350187,9046.420105358751,9540.87992589206,10044.018866106408,10555.955142315403,11076.816296110987,11606.737936474634,12145.86259499295,12694.33868632668,13252.3195653294,13819.962672142467,14397.428756893822,14984.881176117708,15582.48525358509,16190.407698830959,16808.81607725193,17437.87832620821,18077.762312090017,18728.6354237965,19390.664198525,20064.013976181308,20703.424634389463,21335.17790872439,21971.686597057298,22619.352284593053,23282.089905866807,23962.910229487592,24664.6352879914,25390.229881248786,26142.966215006363,26926.519261608464,27745.036898247512,28603.205002003167,29506.317137498154,30460.353923980227,31472.075318843265,32549.107131029075,33699.88486234743,34933.3637229225,36258.94709399955,37686.49577386356,39226.36380660571,40889.44043758781,42687.19089803923,44631.693555053884,46735.67254492806,49012.5253873365,51476.34505656646,54141.935861882084,57024.82236444845,60141.25046377954,63508.17972937956,67143.26603390624,71064.83356296735,75291.83533435414,79843.80145728971,84740.77450107601,90003.23152246082,95651.99252084766,101708.11534711115,108192.77738024322,115127.1445992673,122532.2290067784,130428.73569436988,138836.90116709718,147776.32485131794,157265.79598500804,167323.11831994058,177964.93524026286
G,838340.0,838340.0,838525.1959192785,838818.8945080327,839176.7767877151,839573.3005685146,839993.8225782795,840430.0261646309,840877.2648372765,841333.0180800849,841795.9935737738,842265.6053240047,842741.6704686498,843224.2333216881,843713.4634487239,844209.5968085892,844712.9019356357,845223.6606688852,845742.1573188095,846268.6727155392,846803.4810690539,847346.8484378031,847899.0321065316,848460.2804677992,849030.8331727238,849610.9214160257,850200.7682783692,850800.5890826373,851410.5917402899,852030.977075228,852661.9391190723,853303.665375458,853956.3370530226,854620.1292679023,855295.2112171489,855981.7463247628,856679.8923621522,857389.8015448367,858111.6206071767,858845.4908568409,859591.5482106466,860349.9232133256,861120.7410406847,861904.1214885575,862710.5088407828,863551.9781505533,864438.7071871264,865379.970273947,866384.8271049683,867462.6159567918,868623.3272211712,869877.9094430482,871238.543734368,872718.9115668169,874334.4739656248,876102.7758573847,878043.7869163699,880180.2891062049,882534.0784431329,885112.4890047282,887927.4910401038,890993.9886257862,894328.9211497466,897950.7832965795,901879.3596142267,906135.5652496017,910741.3347684103,915719.5275374096,921093.8322211262,926888.6604737649,933129.0240275164,939840.3917476865,947048.5247182095,954779.2884987466,963058.442595594,971911.408031526,981363.0147358754,991437.2313180871,1002156.8806245563,1013543.3452839588,1025616.268185798,1038393.253471424,1051889.574106793,1066117.8924154525,1081088.0000491,1096806.5837416316,1113277.022822944,1130499.2238661388,1148469.4970250602,1167180.4776197323,1186621.0953873715,1206776.5925861974
H,3863294.3908271566,3863294.3908271566,3863294.3908271566,3863294.3908271566,3863294.3908271566,3863294.3908271566,3863294.3908271566,3863294.3908271566,3863294.3908271566,3863294.3908271566,3863294.3908271566,3863294.3908271566,3863294.3908271566,3863294.3908271566,3863294.3908271566,3863294.3908271566,3863294.3908271566,3863294.3908271566,3863294.3908271566,3863294.3908271566,3863294.3908271566,3863294.3908271566,3863294.3908271566,3863294.3908271566,3863294.3908271566,3863294.3908271566,3863294.3908271566,3863294.3908271566,3863294.3908271566,3863294.3908271566,3863294.3908271566,3863294.3908271566,3863294.3908271566,3863294.3908271566,3863294.3908271566,3863294.3908271566,3863294.3908271566,3863294.3908271566,3863294.3908271566,3863294.3908271566,3863294.3908271566,3863294.3908271566,3602264.831627017,3341235.272426877,3080205.7132267375,2819176.1540265977,2558146.594826458,2297117.0356263183,2036087.4764261788,1775057.9172260393,1514028.3580258999,1252998.7988257604,991969.2396256209,730939.6804254814,469910.1212253419,208880.56202520244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
