series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10
S,89784.76072309443,89745.86630458033,89717.03326851566,89693.38608992958,89672.36804807838,89652.63351517194,89633.4730945985,89614.51273981467,89595.55553635505,89576.49828197004,89557.28743366251,89537.89581964393,89518.31031900524,89498.52533957595,89478.53936306661,89458.35311367398,89437.96858633214,89417.38853031836,89396.61617411766,89375.65507811628,89354.50905500024,89333.18212597468,89311.67849588748,89290.00253827737,89268.15878557829,89246.15192194672,89223.9867773674,89201.66832232379,89179.20166265649,89156.59203441245,89133.8447985837,89110.96543568626,89087.95954015786,89064.83281456854,89041.59106364705,89018.2401881305,88994.78617844818,88971.2351082522,88947.59312780864,88923.86645726419,88900.06137980348,88876.18423471307,94542.80159547381,100207.69169803453,105869.657599738,111528.71987068653,117184.72458283913,122837.38240349983,128486.28998151474,134130.93834891182,139770.71175299777,145404.8791815609,151032.57992570946,156652.80383310525,162264.36639878651,167865.87847637385,173455.71013158112,179031.94797692532,184592.34520860852,190134.26351373343,195654.60604070278,201149.7407525153,206615.4137486389,212046.652594876,217437.66040052113,222781.70239132264,228070.9881035808,233296.55410614816,238448.15433424257,243514.16760435328,248481.5344698542,253335.73792055002,258060.8440139191,262639.6187080269,267053.7352649538,271284.0820563124,275311.1732249935,279115.6548022653,282678.8875994862,285983.5771660254,289014.41232933244,291758.66914457444,294206.7376288052,296352.5345437803,298193.7757392807,299732.09438889247,300973.00474831177,301925.7229530188,302602.86552657234,303020.0520780809,303195.4411539873,303149.2278556427,299899.1960363836,293877.0238413328,287874.5116225117,281915.5486228319,276029.1132589918,270244.0215441179,264586.5577025652,259079.4675769841,253741.62913699332,248588.0741986016,243630.19679073064,238876.05926032664,234330.7447846738,229996.72501557367,225874.22318874433,221961.56029682892,218255.47676329582,214751.42540774096,211443.8338560637,208326.3362084097,205391.9749177071,202633.37458147298,200042.88980630747,197612.72954338635,195335.0603735053,193202.09118833704,191206.14160673603,189339.69630891114,187595.4472879345,185966.3258226538,184445.52577950648,183026.51966043623,181703.0686348884,180469.22762854735,179319.34639146496,178248.06733388326,177250.3207990435,176321.31833780734
E,0.0,38.894418514105894,59.94727138420909,71.60299281008322,78.29804378949831,82.37035194158457,85.05395007138097,87.0006731245901,88.55483520146288,89.89816386262711,91.12637583245007,92.2896700838686,93.41415323859904,94.5131809831479,95.59336353949128,96.65774637814218,97.70749503644771,98.74278756213948,99.76328717972041,100.7683925788044,101.7573704314054,102.72942558050624,103.6837382843458,104.61948408600712,105.53584455235419,106.43201324161706,107.30719919909697,108.16062918876148,108.99154929044967,109.79922618687665,110.58294830363202,111.34202688098219,112.07579701244896,112.78361866271497,113.46487766624844,114.11898670277186,114.745386243478,115.34354546122574,115.9129630980435,116.45316828372076,116.96372129987358,117.44421428452078,117.89427187285592,119.98156110677635,124.57552361325045,131.1541708856401,139.47442770193948,149.47724666085114,161.22941027206306,174.88995913025045,190.69290511876082,208.9407094440912,230.0050276460415,254.33261518570205,282.45521412898324,315.00284178039533,352.72027884090534,396.4867781844756,447.33912904871863,506.4982372831565,575.3993254760442,655.7257091500865,749.4458480133973,858.8529777303361,986.6060667214706,1135.7700844313326,1309.8525934607094,1512.8324941476387,1749.1754074591774,2023.8287996978668,2342.188741722476,2710.029473502497,3133.387126418124,3618.3905033147385,4171.035137685817,4796.902146478629,5500.8304655035345,6286.559193358954,7156.364703907173,8110.723282172065,9148.032662179234,10264.423856964499,11453.687844335604,12707.330869285073,14014.759123564341,15363.580590716356,16740.000989492164,18129.283475985754,19516.238679362763,20885.71252489429,22223.04332177181,23514.465652298553,24747.44557073692,25819.30182089621,26657.09103327157,27283.745192863757,27712.51994771159,27954.18177693706,28019.875292893004,27922.054194816483,27674.54889904132,27292.269430159948,26790.781096778268,26185.867307707853,25493.133432324386,24727.674770223977,23903.81547282169,23034.91662574386,22133.247220262394,21209.909643351064,20274.810627346353,19336.66875287979,18403.050240379795,17480.425668807053,16574.24127606014,15688.999525919427,14828.344609358559,13995.149446524243,13191.601550365753,12419.28579680159,11679.262720751396,10972.14142894212,10298.146598814792,9657.179329309378,9048.87183538053,8472.636145040913,7927.707075977794,7413.1798477160955,6928.042733105967,6471.205176609624
I,122.3151594457087,89.77501216328005,72.89385622299142,64.29382950829975,60.08009343522281,58.192670192087995,57.54050596929789,57.544968751614284,57.89871293239542,58.438144564482144,59.07590788422296,59.765118729753844,60.48040310398136,61.20783736466069,61.93960647452393,62.67116451052275,63.39972320172495,64.12344588737848,64.84101657722526,65.55140875112875,66.25376072557978,66.94730803420315,67.63134643348668,68.30521145538248,68.96826697676046,69.61989876312195,70.25951080425783,70.88652325408287,71.50037132030107,72.10050473700399,72.68638760927612,73.2574985043747,73.81333071160903,74.35339262005819,74.87720817905597,75.38431741595313,75.87427699175029,76.34666077926013,76.80106045132074,77.23708606870011,77.65436665896834,78.05255077892429,78.4313070542416,82.83978797176322,86.67884519729324,90.52184230058634,94.72523745899204,99.52530173993615,105.09701830581201,111.58987598696012,119.14994461114375,127.93410513848204,138.12005464052228,149.9143002902272,163.55950258724596,179.34202406224676,197.6002518579467,218.7341042746246,243.2160472408678,271.60390105005575,304.55568651745307,342.8467249837317,387.38915272980796,439.2539217505304,499.69521837163336,570.1770198583588,652.4012066640587,748.3362349675799,860.2448365758711,990.7085492235278,1142.6461097644915,1319.3219194399883,1524.3400136572363,1761.6183911946073,2035.338382666794,2349.8641984853166,2709.6291111599876,3118.987033158958,3582.031528312427,4102.388297339223,4682.991419748745,5325.857438945577,6031.8740082679315,6800.620653516489,7630.23792091374,8517.35782821337,9457.103568587567,10443.160559716829,11467.915019829805,12522.651053564581,13597.793304526318,14683.179871569882,15768.349422775289,16842.827096739282,17879.898178208146,18845.44371040816,19716.78844354379,20478.50522018326,21120.412825869305,21636.519310282187,22024.35946481774,22284.48652347565,22420.019356883553,22436.210358877994,22340.02727395569,22139.7533657921,21844.613536018904,21464.433602888053,21009.338081212423,20489.489530650713,19914.87037488385,19295.106269824355,18639.328693243384,17956.073439356565,17253.21108771221,16537.905216083967,15816.594077181777,15094.991596765569,14378.10382072992,13670.257293892322,12975.13625535691,12295.825954660835,11634.859807237004,10994.268501346594,10375.629531230556,9780.115956783344,9208.543475860777,8661.415141152249,8138.963260870619,7641.188193991489
A,13.590585260495677,11.410655735126113,10.358405786562098,9.896064433524645,9.74103617785772,9.744797944983985,9.829416158362134,9.954142583813578,10.097803889966768,10.24951038510861,10.40375424506004,10.557825756302503,10.710453991270445,10.861094099220171,11.009555782017815,11.155811491975019,11.299899019685702,11.441873408793093,11.581784435493796,11.71966715524328,11.85553897237657,11.989399830552324,12.121233776656705,12.251011018867862,12.378690052065396,12.504219657138986,12.627540698979697,12.748587705999366,12.867290240934516,12.98357408372282,13.097362250390622,13.208575871314727,13.31713495005065,13.422959021219924,13.525967723233789,13.62608129912789,13.723221036575737,13.817309656251522,13.908271656106521,13.996033617776542,14.080524480216217,14.161675784726231,14.239421894772072,14.31370019336146,14.417817046389276,14.597128230736475,14.879272935416406,15.282594703804318,15.821313629145543,16.508704776475227,17.359095236524976,18.38919505827705,19.61908423876677,21.073056302450112,22.78044470204701,24.776514431570497,27.1034764419339,29.81166916282794,32.96094475021152,36.62229434097927,40.87974431101628,45.83255247742667,51.5977276672809,58.312886296999615,66.13944352493675,75.26611181666011,85.912643840985,98.33370697106463,112.8227113037197,129.7153313740413,149.3923654648255,172.28147135567522,198.85721471263233,229.63878377177429,265.18468562052885,306.0837736205136,352.94209014383625,406.3652633420472,466.9365731507621,535.1912765378962,611.5883025668574,696.4809173928909,790.0883305617459,892.4703891264244,1003.5074370608565,1122.887099434547,1250.0992243192002,1384.4395562108878,1525.0220158212933,1670.7988125503598,1820.5870890171198,1973.1004350991898,2126.9834262608088,2280.847327036144,2431.4721852719804,2574.6954167996596,2707.4808325255353,2827.5444054677055,2933.183832238313,3023.192788528054,3096.8075602069985,3153.663587626745,3193.753037041244,3217.3806896612887,3225.118160959762,3217.757539076492,3196.265817900283,3161.741416638957,3115.373834652831,3058.4071966474003,2992.108154767179,2917.738358088556,2836.5314880891237,2749.674693577315,2658.2941380239627,2563.4442913489693,2466.100550914454,2367.1547564236635,2267.41316456164,2167.596466064304,2068.341455730845,1970.2040007496444,1873.6629914056819,1779.1249982976276,1686.9293997574005,1597.3537809056847,1510.6194408034212,1426.8968759329432,1346.3111364984043,1268.9469767151145
IH,0.0,15.059164947310117,21.2401562951943,23.34311870420101,23.70692004062262,23.43423962578767,23.017400848912573,22.655123761610376,22.410599125770734,22.288734687550477,22.272709135338005,22.34038810397339,22.471025812732847,22.647464116551543,22.856381584557212,23.0878043331953,23.334425521773593,23.590958915370976,23.85360234345012,24.119621682720734,24.38704096399166,24.654417390308794,24.920680815520285,25.18502059969588,25.446806551369022,25.705534039049915,25.960786065245276,26.212207159053712,26.45948546132234,26.70234046886816,26.940514678726675,27.173767916501085,27.401873510816024,27.62461573739852,27.84178813654738,28.05319243162468,28.25863786117999,28.45794079555239,28.65092454869049,28.83741932327148,29.0172622459566,29.190297462510276,29.356376271391234,25.265361008975976,22.840955954377666,21.491892418870748,20.863214532145992,20.7427077208366,21.00515250716027,21.57920451412159,22.427774389523222,23.536467293565696,24.906858655155077,26.55270649867349,28.497986489753885,30.776101046226128,33.42988935258589,36.512229022810075,40.08711859944677,44.23118998548231,49.03563676209551,54.608566797121,61.07780010118837,68.59413744370676,77.33512195627223,87.50930371025103,99.36099395042265,113.17545843559346,129.28444488120797,148.07186460307184,169.97935083655744,195.51129574774734,225.23882863208377,259.8020488382107,299.9096859197257,346.3352525571872,399.90871707931205,461.5027904653936,532.0131331585126,612.3321621919904,703.3166765001661,805.7501813588873,920.3015089075334,1047.4819992546313,1187.6040135887588,1340.7437981994997,1506.7116444718063,1685.0318853149838,1874.9345788310402,2075.3598456609247,2284.974862577856,2502.202588782616,2725.2605124834918,2952.2071225251884,3180.99346641676,3408.337704478844,3629.6030851023925,3840.063614591972,4035.451682767163,4212.181653519694,4367.424053719115,4499.107892159237,4605.885875649352,4687.07874616454,4742.607115632527,4772.915925086294,4778.895275861011,4761.800686432212,4723.17533513565,4664.776385077645,4588.507014287731,4496.355302512977,4390.3406797893185,4272.468242590495,4144.690905250579,4008.8790840367365,3866.7974088085807,3720.0878180697437,3570.258309896976,3418.676584736855,3266.567817010769,3115.0158218531146,2964.9669329619355,2817.235970411239,2672.5137475139477,2531.3756387814583,2394.290803154443,2261.631725412205,2133.683802267662,2010.654757065605
IN,17.48098233511852,33.84802320182865,44.5215483735285,52.10231062527294,57.97090889648308,62.86332538515142,67.17423628855991,71.11723710170193,74.80961569646661,78.31726092446134,81.67848255352399,84.91666446503052,88.04699987884743,91.08008746719153,94.0238605898155,96.88463016266896,99.66765525874143,102.37746133402723,105.01802297762701,107.59287342761397,110.1051740656255,112.55776167073475,114.95318299814932,117.29372186731962,119.58142160161836,121.81810440446958,124.00538857805516,126.14470412109407,128.23730703824978,130.28429257901237,132.28660755758375,134.24506186549354,136.16033926362735,138.0330075236953,139.86352797743774,141.65226452313806,143.39949213221004,145.1054048931295,146.77012362541154,148.39370309246792,149.97613883886103,151.51737367459833,153.01730382660824,154.47578477535032,156.4713761442813,158.88847098429267,161.70077288731648,164.9346052602381,168.6483813832052,172.9218004281672,177.85084746962534,183.54626706183453,190.13416782027096,197.75801836437554,206.5816585541687,216.7931683174212,228.60956878566012,242.28241330231296,258.1043808069221,276.41702351578016,297.6198512040848,322.18095838627806,350.649418190595,383.6696754104205,421.9981666831197,466.5223714292158,518.2824442129797,578.4954863566389,648.5823687020195,730.196803946157,825.2560722092791,935.9724173857644,1064.883652659252,1214.880953916631,1389.2312132740058,1591.590732033195,1826.0065430733148,2096.9013824294607,2409.0384064002933,2767.4622905431524,3177.414424561562,3644.221532274845,4173.159101860422,4769.293312547916,5437.3074180466365,6181.3204922977375,7004.707785542698,7909.932485530895,8898.398353577253,9970.33155604684,11124.698192924892,12359.16176102557,13670.082332299873,15052.556818128834,16500.497528164047,18004.386696712412,19550.436861567912,21122.498448595405,22703.24617226975,24275.003692881088,25820.36470612426,27322.67976888863,28766.439458163615,30137.568399972544,31423.638805297625,32614.01063465091,33699.90568799774,34674.423539258,35532.50776035539,36270.87110502422,36887.88820842878,37383.46394242222,37758.88491582754,38016.66079922015,38160.361254074145,38194.45331606454,38124.14316869031,37955.22538084483,37693.941894075775,37346.852346183485,36920.71671402164,36422.390750526385,35858.73427545392,35236.53204945478,34562.42670853545,33842.86305129697,33084.04284497325,32291.889238825162,31472.019836047122,30629.727469957645
D,1082.0,1082.0,1082.1057487168453,1082.2549016932333,1082.4188221269872,1082.5852972524951,1082.7498575570899,1082.9114907295402,1083.0705799138439,1083.2279519932106,1083.3844683141062,1083.5408721001045,1083.697751142474,1083.85554755112,1084.0145829477376,1084.1750854080499,1084.3372129690104,1084.501072357355,1084.666733178734,1084.8342383391318,1085.0036115449282,1085.1748626268188,1085.3479912838668,1085.5229897003376,1085.6998443680072,1085.878537353311,1086.0590471790526,1086.2413494397888,1086.425417233883,1086.6112214697562,1086.7987310860747,1086.987913213264,1087.1787332951924,1087.3711551839933,1087.565141216937,1087.7606522814895,1087.9576478727747,1088.156086146349,1088.3559239682813,1088.5571169639127,1088.7596195662306,1088.963385064491,1089.1683656535072,1089.5750454746121,1089.9250516334205,1090.2414720183997,1090.5392035532223,1090.8282258860595,1091.1155788136537,1091.4065674419817,1091.7055085289285,1092.0162050260776,1092.3422604703837,1092.6873002235372,1093.0551402399242,1093.4499286136786,1093.8762761693877,1094.339387191531,1094.8451984888745,1095.4005334549452,1096.0132770805296,1096.6925776795483,1097.449081206092,1098.2952043307241,1099.245452797584,1100.3167918917402,1101.5290759846027,1102.9055439406952,1104.4733864688244,1106.2643900460325,1108.315659550509,1110.6704178950224,1113.378875439088,1116.4991545119256,1120.0982448685636,1124.2529544379568,1129.0508067767528,1134.5908231608114,1140.984114707792,1148.3542003007199,1156.8369616563741,1166.5801499005547,1177.7423702162,1190.4914932532215,1205.0024733595296,1221.4545920857902,1240.0281872379485,1260.900968550115,1284.2440562439367,1310.2179043801398,1338.9682842962106,1370.6225034597621,1405.2860222730822,1443.0396076418954,1483.9371303250036,1528.0040765277217,1575.2204684661663,1625.5020944981109,1678.6992728343046,1734.6032016180648,1792.9554064501037,1853.45821566728,1915.7852677461824,1979.591536838188,2044.5225871957982,2110.2228832924848,2176.343053459888,2242.546056783567,2308.5122453005924,2373.9433490098004,2438.565440246122,2502.1309564548624,2564.4198763523755,2625.240154227958,2684.4275213781143,2741.844763216813,2797.3805764130743,2850.948103410457,2902.483232758877,2951.942743610769,2999.302362149625,3044.5547871481253,3087.70773168933,3128.7820186085205,3167.8097586083513,3204.8326323680963,3239.9002913465692,3273.068886356329,3304.399728316959,3333.9580818064605
R,0.0,3.293870993777951,12.047194840758308,23.268142431552903,35.56357759069786,48.32325262171669,61.30898864364349,74.45107426821693,87.74976702080656,101.2294017482863,114.9183185085501,128.84109125278752,143.01634396261528,157.4568989779195,172.1707361510057,187.16209417721927,202.4324527962288,217.98132035232595,233.806829325846,249.9061700848377,266.27589843161786,282.9121490279581,299.8107806562652,316.96747313078276,334.3777904553092,352.0372207303426,369.9412002436695,388.0851269431834,406.46436689412354,425.07425619806526,443.9101000663684,462.96717019755937,482.2407012341544,501.72588681813187,521.4178755892385,541.3117673511524,561.4026095496088,581.6853941517912,602.1550549792559,622.8064655217049,643.6344372421644,664.633718372901,685.7989931939454,707.1248817811465,727.2608361248767,746.7733430322144,766.0416637544932,785.3354752964872,804.8619094476375,824.7944697890161,845.2912877319192,866.507170606368,888.6021071143605,911.7478414301324,936.1335110170971,961.9709869857443,989.5003536869921,1018.9958537580222,1050.7725693837583,1085.1940886688762,1122.681405084105,1163.7233102540292,1208.888560801641,1258.8401246155877,1314.3518369835535,1376.3278182048884,1445.8250160759203,1524.0792319085056,1612.534958347868,1712.8792898426696,1827.0800487896895,1957.4280874207088,2106.5834629653036,2277.6248299334266,2474.1009436243635,2700.082629793755,2960.212970094073,3259.752825748792,3604.618239911899,4001.405809029981,4457.4018927004245,4980.571632939475,5579.52424650188,6263.451963797799,7042.041283852686,7925.356804932817,8923.699631914804,10047.444080655077,11306.857919850296,12711.91256001609,14272.090311197937,15996.196037526595,17892.180247789744,19966.979936702443,22226.38242683359,24674.622150380383,27313.620673093617,30142.466466611375,33157.35678956572,36351.761152373096,39716.694343649935,43241.04395442371,46911.922688009945,50715.027271453764,54634.99141096322,58655.72343730687,62760.721538198944,66933.36134642923,71157.1523307877,75415.96095350101,79694.1998949791,83976.98378041036,88250.25275961419,92500.86599175031,96716.66758219618,100886.527830946,105000.36280613075,109049.13528062723,113024.8399918778,116920.47603080231,120730.00895804707,124448.32500446873,128071.17945393361,131595.1410431384,135017.53395508815,138336.37873727895,141550.33324742154,144658.6345217245,147661.04227485255,150557.7845770495
G,217141.0,217141.0,217148.00216425743,217158.7944747496,217171.68516539707,217185.7811664325,217200.61030532364,217215.92257253046,217231.58530839326,217247.52784013838,217263.71221141462,217280.11769775787,217296.7326120278,217313.54996706053,217330.56518011726,217347.77485849772,217365.17615777787,217382.76644336543,217400.5431127221,217418.5035026798,217436.6448418166,217454.9642266894,217473.45861070298,217492.12479968395,217510.95945103196,217529.959074804,217549.12003587338,217568.43855671777,217587.9107206091,217607.53247509105,217627.2996356881,217647.20788982,217667.25280090902,217687.42981267427,217707.7342536093,217728.16134163938,217748.7061889545,217769.36380701262,217790.1291117069,217810.99692868895,217831.96199883966,217853.01898387732,217874.16247209287,217895.38698420025,217916.9872711007,217939.4146093183,217963.02630175828,217988.13589048045,218015.0462872379,218044.0724266425,218075.5578753929,218109.88832935973,218147.5039365209,218188.9117540211,218234.69926841478,218285.54969580905,218342.2596743603,218405.75992513457,218477.13946114006,218557.67394860726,218648.85885351236,218752.44802503134,218870.4983597243,219005.4211360585,219160.04048384115,219337.65922710736,219542.13197650612,219777.94480937018,220050.3001246742,220365.20426737572,220729.55427505693,221151.21864022696,221639.10539212727,222203.20924505644,222854.628282019,223605.53996223683,224469.12651371607,225459.44131833708,226591.21090810208,227879.57163072214,229339.74557952682,230986.6663918161,232834.5711709587,234896.57920972398,237184.28066971048,239707.3585086478,242473.26474887616,245486.96802754048,248750.7839069845,252264.29340630354,256024.34935570427,260025.16504040838,264258.4755567491,268713.75951413426,273362.009809896,278161.08734263043,283072.98145742697,288062.0679144047,293094.660763498,298139.0804198028,303165.88933855866,308148.1398656016,313061.56859929714,317884.7143613565,322598.95746142825,327188.48764464917,331640.21226375445,335943.617449229,340090.5947285218,344075.24441624066,347893.6655903173,351543.7408382391,355024.92235403345,358338.02447879856,361485.02645231097,364468.8880008491,367293.3794294879,369962.9271071995,372482.4746149244,374857.3593516771,377093.2040417691,379195.8223376703,381171.1375493676,383025.1134355396,384763.69594970177,386392.7648330081,387918.0939739841,389345.31950534234,390679.9146721177,391927.1705780518
H,287214.63612086733,287214.63612086733,287214.63612086733,287214.63612086733,287214.63612086733,287214.63612086733,287214.63612086733,287214.63612086733,287214.63612086733,287214.63612086733,287214.63612086733,287214.63612086733,287214.63612086733,287214.63612086733,287214.63612086733,287214.63612086733,287214.63612086733,287214.63612086733,287214.63612086733,287214.63612086733,287214.63612086733,287214.63612086733,287214.63612086733,287214.63612086733,287214.63612086733,287214.63612086733,287214.63612086733,287214.63612086733,287214.63612086733,287214.63612086733,287214.63612086733,287214.63612086733,287214.63612086733,287214.63612086733,287214.63612086733,287214.63612086733,287214.63612086733,287214.63612086733,287214.63612086733,287214.63612086733,287214.63612086733,287214.63612086733,281524.07593576197,275833.5157506566,270142.95556555124,264452.3953804459,258761.83519534048,253071.27501023508,247380.7148251297,241690.1546400243,235999.5944549189,230309.0342698135,224618.4740847081,218927.91389960272,213237.35371449732,207546.79352939193,201856.23334428653,196165.67315918114,190475.11297407575,184784.55278897035,179093.99260386496,173403.43241875956,167712.87223365417,162022.31204854877,156331.75186344338,150641.191678338,144950.6314932326,139260.0713081272,133569.5111230218,127878.95093791642,122188.39075281104,116497.83056770566,110807.27038260028,105116.7101974949,99426.15001238952,93735.58982728414,88045.02964217876,82354.46945707338,76663.909271968,70973.34908686262,65282.78890175724,59592.22871665185,53901.668531546464,48211.10834644108,42520.54816133569,36829.9879762303,31139.427791124916,25448.86760601953,19758.30742091414,14067.747235808756,8377.187050703371,2686.6268655979857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
