series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10
S,94098.86748555201,93955.62800425381,93839.4623116285,93738.26659720548,93644.99838804945,93555.52311697188,93467.39779732234,93379.17154486946,93289.97890025695,93199.30177056881,93106.82946146044,93012.37613271589,92915.83200680329,92817.13447100557,92716.25092680132,92613.16858552716,92507.88837537033,92400.42128301744,92290.78613693641,92179.00824338236,92065.11852541531,91949.15295699127,91831.15216834178,91711.16114889819,91589.22900383704,91465.40873814604,91339.75705280113,91212.3341440919,91083.203501045,90952.43169828958,90820.08818318942,90686.24505699196,90550.97685032958,90414.3602937808,90276.47408443571,90137.3986495564,89997.2159085093,89856.00903418766,89713.86221515217,89570.86041970174,89427.08916305123,89282.63427874113,89137.58169534024,88992.01721942768,88846.02632575788,88699.69395542401,88553.10432274226,88406.34073148445,95795.80279152564,103169.38304068417,110529.60820262965,117875.4859547131,125205.7191911188,132518.72469906794,139812.6374710933,147085.30250632676,154334.2560701257,161556.69811871607,168749.45722317373,175908.94898684497,183031.12870799852,190111.4389195946,197144.7524453411,204125.31174286094,211046.6655560581,217901.60426441493,224682.09579011536,231379.22449319137,237983.13613058007,244482.99264464006,250866.94123121168,257122.10274811773,263234.58497354086,269189.5264047527,274971.17608759593,280563.0142779295,285947.91747491696,291108.3694971804,296026.717830774,300685.4715825688,305067.6342332913,309157.06128672766,312938.83018602175,314608.8408686424,310235.59264273924,305677.5651689279,300942.53374293656,296048.8476416108,291020.18919988396,285882.8050166466,280663.88666915643,275390.5251470899,270088.9853299165,264784.18579468183,259499.32849638065,254255.64755970368,249072.25643548113,243966.0767412776,238951.83399478928,234042.10671672111,229247.41660211378,224576.34879079176,220035.69269741917,215630.59532518312,211364.72041519245,207240.40812059442,203258.8311026518,199420.1440050968,195723.62416626877,192167.80217923463,188750.58151843818,185469.34693161203,182321.0616638349,179302.35385327705,176409.59263130304,173638.95458791545,170986.48134016554,168448.12897754495,166019.81016419912,163697.42966113373,161476.91399900048,159354.2359888192,157325.43470825933,155386.63154805178,153534.04284912578,151763.98960791298,150072.90467616345,148457.33783339593,146913.95906526537,145439.56033993512
E,0.0,143.23948129818987,230.73165932976715,285.73977560546723,321.80892517555407,346.86485579764326,365.55516762231724,380.6050071292815,393.6085792356462,405.4935963117599,416.79466376150424,427.8145161652753,438.7192243593637,449.5944504962919,460.4786947817365,471.3829406364928,482.30225598219124,493.2226375388523,504.1250434056599,514.9877656804393,525.7878251189479,536.5017915396819,547.1062687123353,557.5781846373213,567.8949700961425,578.0346739393583,587.9760431851485,597.6985839354829,607.1826120002114,616.4092979452121,625.3607088562029,634.0198477253997,642.3706906015494,650.3982212433567,658.088462831907,665.4285062397821,672.4065343695265,679.0118421298271,685.2348516948066,691.0671227785087,696.5013577457896,701.5314014680687,706.1522359150055,710.3599695495133,714.1518216625822,717.5261018456029,720.4821848509969,723.0204811368999,725.1424034285558,742.7213726394197,770.136491228307,806.4110927765012,851.068801992265,904.0147108048332,965.4547044202972,1035.8434475819322,1115.8533245421875,1206.3584315788073,1308.4292745322123,1423.335034344663,1552.551133854988,1697.7704127638133,1860.9165493202104,2044.158508159141,2249.9247867889267,2480.916113301875,2740.115044445867,3030.7906543419203,3356.4962207088993,3721.057544797788,4128.549329884426,4583.256947847609,5089.621009393226,5652.16248979517,6275.386812126671,6963.666299036541,7721.101783350804,8551.36587843907,9457.532350719286,10441.89804276692,11505.80564399705,12649.477042742927,13871.86777062856,15170.552970341412,16506.977353769023,17760.65708935809,18940.380609801075,20042.603108326457,21059.156315416578,21980.942812392557,22799.741313014565,23509.07684624603,24104.596703511357,24584.165798854396,24947.793067420404,25197.453486031656,25336.84735678251,25371.12609281626,25306.60600318737,25150.486002460915,24910.58076042969,24595.077170492998,24212.319008307444,23770.622213593833,23278.121312903982,22742.6460605835,22171.62635164439,21572.02279079256,20950.279922283695,20312.29897419018,19663.426992160334,19008.45938310663,18351.653117556027,17696.748117480765,17046.99465838049,16405.18492070623,15773.687122389554,15154.48094178034,14549.193192839874,13959.132938921815,13385.325426937503,12828.544390682795,12289.342412162745,11768.079145090833,11264.947297915574,10779.996347427466,10313.15401089166,9864.245547279295,9433.010988883441,9019.120425525343
I,453.0722300246501,344.37500051751454,280.56616486233213,243.5555625050372,222.6480756098542,211.4932544022189,206.3050302221989,204.81599391091308,205.6605890115634,208.01022798053145,211.35694118339512,215.38483287570736,219.89355043123433,224.75261708828012,229.87410839431033,235.19624995622442,240.67353014603535,246.27070840102897,251.95915981720697,257.7146262885213,263.51581875383107,269.3435379321144,275.18011374165883,281.00904288617454,286.81475150862207,292.5824382349347,298.29797001334987,303.94781346188716,309.5189906860677,314.9990523445913,320.37606309273843,325.63859600262873,330.7757334945088,335.7770729232784,340.63273537554716,345.3333765207558,349.8701985713827,354.2349625699667,358.4200003516703,362.4182256407869,366.223143834348,369.8288601097096,373.2300855680927,376.42214119397863,379.4009594719184,382.16308355824833,384.7056639557586,387.026452684762,389.12379498442084,375.6568007990972,368.2601094943241,366.5298012187206,370.0465251783054,378.445509885669,391.45141289542585,408.89284149338465,430.7059866636457,456.93316306387266,487.71965467800686,523.3107452451409,564.0498757054153,610.3783100283345,662.8363619194834,722.0660414477908,788.8148597202977,863.9404416817061,948.4155179123795,1043.3327825032432,1149.9090097041694,1269.4877168043804,1403.5395493179954,1553.6594565204225,1721.559635011476,1909.0571641527918,2118.055262600162,2350.517184397255,2608.431969929534,2893.7715900123085,3208.4394787937176,3554.2110357470933,3932.6673617712,4345.124230640784,4792.5590163147535,5275.538917007783,5794.154253553383,6343.406909747771,6903.872574056662,7462.706910425422,8010.187912915369,8538.236567773902,9039.835892710402,9508.84933315144,9940.004161666631,10328.928885113697,10672.192725746858,10967.324408358341,11212.802326708545,11408.015845124562,11553.2013991208,11649.358858504604,11698.154181713897,11701.81421834409,11663.018915416877,11584.79535465066,11470.417130807353,11323.311668710554,11146.977229755948,10944.910614080176,10720.5459399895,10477.204382299658,10218.054371099046,9946.081481316829,9664.067067171254,9374.574598495921,9079.942622500248,8782.283290073603,8483.48543717814,8185.221287903368,7888.955936993851,7595.958868578695,7307.316868598167,7023.947786710938,6746.614696226978,6475.940085854313,6212.419793626713,5956.436460803398,5708.2723418007345,5468.121355679575,5236.100305956811,5012.259229266849
A,237.55526423228298,221.81570879649016,216.9818335696603,218.4925559802444,223.6907977545525,231.02818408611432,239.6046616632652,248.89982455067417,258.6153885080119,268.58260239802667,278.7077740757746,288.94022965195825,299.25349766410875,309.6342954530615,320.0761187358332,330.5755451328191,341.1301352884863,351.7372718692114,362.3935467528444,373.0944664864709,383.8343406275124,394.6062735129824,405.40221306351043,416.2130297410514,427.0286102624995,437.83795739836046,448.62929109734074,459.39014842601716,470.10748108128064,480.76774992770714,491.3570163730382,501.86103056512206,512.2653164572336,522.555253795259,532.716157058786,542.733351355419,552.592245233095,562.278400343958,571.7775978680259,581.0759015865526,590.1597174838321,599.0158497519137,607.6315530747163,615.9945810755912,624.0932308247125,631.9163833189334,639.4535398661494,646.6948543279783,653.6311611979952,660.2539995171709,667.6484421284384,676.4406388390719,687.1480041188782,700.2208693349645,716.0731935735683,735.1056848243358,757.7238078033574,784.3524599872964,815.4485730622102,851.5125143417963,893.0988887637201,940.827146200461,995.3922554264141,1057.5755950240962,1128.2561175120359,1208.4217547275998,1299.1809418381827,1401.7740386935066,1517.5843172845414,1648.1480618967244,1795.1631958260273,1960.4957100479196,2146.183033362411,2354.4333625974414,2587.6198816819046,2848.2687593396977,3139.0398481650873,3462.6991336289143,3822.08221680839,4220.048467968666,4659.425956179634,5142.947824474717,5673.181405927126,6252.452013925844,6882.763930080868,7563.333893760609,8285.134559249656,9040.341832628716,9821.40593659801,10620.714884152803,11430.53462329287,12243.077451194542,13050.625812423674,13845.673780782437,14621.065733155636,15370.120767454488,16086.7366222039,16765.470136130814,17401.59349561771,17991.12704790041,18530.85050291942,19018.295018852637,19451.719043527126,19830.07092904373,20152.941304548127,20420.508029964756,20633.476302942887,20793.016186823592,20900.69949707026,20958.43764899247,20968.421746746975,20933.065893624505,20854.95443353962,20736.793597164447,20581.36782448624,20391.500868060382,20170.021645912475,19919.734707118234,19643.39509329367,19343.68732210753,19023.2081810493,18684.452997775945,18329.805044399436,17961.527734353887,17581.759279614846,17192.50949098769,16795.658423210953,16392.956588305842,15986.026483786976,15576.365206111874
IH,0.0,18.18287203578281,28.873054407286816,35.1619863841861,38.88287571520792,41.12409974410828,42.53179924251542,43.48892973953093,44.221519605900625,44.86188054188841,45.48629192633161,46.13751464829531,46.83827012080835,47.599327350121584,48.4243649782729,49.31289970430975,50.262052279493865,51.26761266347449,52.32468133919859,53.42805351719383,54.57244694209592,55.75263438424746,56.96351803420454,58.200168591845795,59.457843081264116,60.731990073331495,62.018247710102905,63.31243788912717,64.61055869381192,65.90877635385583,67.20341750885454,68.49096221963315,69.76803795883707,71.03141467349317,72.27800092181359,73.50484102814427,74.70911316320638,75.88812823483984,77.03932946282706,78.16029250700223,79.24872601863449,80.30247248952303,81.31950928028664,82.29794971817527,83.23604416477957,84.13218096480716,84.98488719827422,85.79282916974425,86.55481257940932,102.0555815666446,113.71713042816006,122.70791898093043,129.95562957423013,136.18893353022773,141.97736921215437,147.76687176080145,153.91011369862812,160.6917169099574,168.34884653499145,177.08787660874216,187.09784358691272,198.56135098290963,211.6635002517101,226.5993245344039,243.58010555773285,262.8388652433205,284.63524368261176,309.25990320089204,337.0385324794138,368.33546318318844,403.556852633928,443.153328817229,487.621938391532,537.507185487532,593.4009013678407,655.9406462461129,725.8063198171142,803.7146523792792,890.4112702891648,986.660083830511,1093.2298367268677,1210.8777858716246,1340.3306446673262,1482.263115974023,1637.274548236631,1805.8644536020367,1988.0455303940516,2182.2829312036574,2386.2940600552665,2597.4304861984633,2812.8739751033313,3029.751297856978,3245.2140925371627,3456.5031446323924,3661.0041652163695,3856.296750057967,4040.1960910175067,4210.786457018314,4366.4456179379995,4505.859823847872,4628.029455874342,4732.265923803815,4818.180748800297,4885.668020145895,4934.881554824073,4966.208130726841,4980.238126144425,4977.7347995164655,4959.603303124741,4926.860359474097,4880.60535385306,4821.993422363019,4752.2109500390425,4672.453744396946,4583.908019387393,4487.73421499998,4385.053588854856,4276.937447181243,4164.398832002139,4048.3864470544945,3929.780584676433,3809.3908072360464,3687.9551373843915,3566.140519376447,3444.54432702479,3323.6967108852546,3204.0635966304394,3086.0501671026627,2970.004681341789,2856.22250425358
IN,90.5143574713527,167.5504338582746,211.3998149323573,235.97201624622687,249.49128415301345,256.8205508332063,260.82993354783423,263.20578976663637,264.93038447947526,266.56690627073806,268.4291461662743,270.68268759391,273.4053479767323,276.62333086232604,280.33287136072784,284.5131997358767,289.1342977924967,294.1615250029115,299.5583587518074,305.2879962637704,311.31426871618834,317.6021399919107,324.1179555050986,330.82954198267674,337.70621998484626,344.71876714439554,351.8393555233769,359.0414774887303,366.2998689102562,373.5904349683026,380.89018162834145,388.1771544114015,395.43038516733657,402.62984696001445,409.75641678651715,416.79184560520616,423.7187349946651,430.52051967770427,437.18145510236434,443.68660926207434,450.02185795070045,456.1738826787147,462.13017051938806,467.87901520523803,473.4095188522107,478.71159375012365,483.7759637210246,488.59416461094787,493.1585435439465,497.462256629303,498.4346900406977,497.78461641697834,496.88566432340497,496.82314099144486,498.4478693778089,502.4289707214638,509.301688303697,519.5088158746582,533.4356653874753,551.4391975963113,573.8722216270421,601.1036229427333,633.5355124496149,671.6180670401808,715.8626890065399,766.8539660107903,825.2607716650949,891.8467104072222,967.4799775559432,1053.1425735489265,1149.93867809786,1259.1018543197533,1382.000615849147,1520.1417552361381,1675.1707065393994,1848.8681093734174,2043.1416695807943,2260.0123896695486,2501.5942879287077,2770.0668554731524,3067.639728187664,3396.509381147537,3758.8080815527273,4156.545844565257,4591.546693037394,5065.381083062219,5578.387098689224,6126.971909396212,6705.511654884719,7307.277657236381,7924.929172200978,8550.816702239328,9177.203863300256,9796.452897487588,10401.190034635561,10984.45411777899,11539.826850430632,12061.541684499733,12544.568762834137,12984.674447407466,13378.455274400718,13723.34740548438,14017.613655476882,14260.310916750626,14451.241265255841,14590.890245129736,14680.355827078343,14721.271365035649,14715.725581571407,14666.182237494579,14575.401722039402,14446.36636741844,14282.210869176073,14086.158799093779,13861.46584209381,13611.370079509563,13339.04938114416,13047.5857575757,12739.936359807427,12418.91069170285,12087.153516865084,11747.13289044562,11401.132722449713,11051.249277281066,10699.391029745355,10347.281326203318,9996.463337265599,9648.306832149878,9304.016351919508,8964.640407148057
D,768.0,768.0,768.1637719859717,768.4238297728849,768.7405315749719,769.0907471934748,769.4611493759869,769.8442306194335,770.2359326771289,770.6342331257209,771.0383012650287,771.4479934384436,771.863551133998,772.285420490064,772.714144640776,773.1502998535666,773.5944580428068,774.0471651896551,774.5089293557012,774.9802144728925,775.4614375939645,775.9529681947109,776.455128669596,776.9681954974347,777.4924007591458,778.0279338159615,778.5749430346785,779.1335374951126,779.7037886451734,780.2857318877593,780.8793680952405,781.4846650542606,782.1015588475925,782.729955181867,783.3697306708308,784.0207340838084,784.6827875685398,785.3556878567256,786.0392074595825,786.7330958595683,787.4370807032614,788.150868999206,788.8741483234055,789.6065880340776,790.3478404962971,791.0975423162554,791.855315584066,792.6207691233449,793.3934997451966,794.7271120834262,796.2995559338199,798.0516776667151,799.9423269544288,801.9446469393931,804.0430079279241,806.2305555141083,808.5073061359296,810.8787101109368,813.3546031310483,815.9484750623151,818.6769955241858,821.5597467569349,824.6191245046876,827.8803765030046,831.3717555035233,835.12476962762,839.1745173332508,843.5600975402656,848.3250876123084,853.5180830331116,859.193292806779,865.4111838958038,872.2391664126162,879.7523088255095,888.0340691700958,897.1770242525147,907.2835742283185,918.4665949573518,930.8500054793905,944.5692132365201,959.7713957867722,976.615575276412,995.2724414540728,1015.9238810651942,1038.7621764881328,1063.9888446944149,1091.8130989989859,1122.4443483690118,1156.0683532721596,1192.8357045758676,1232.8561868674792,1276.1961621651114,1322.8777225795866,1372.8790734580673,1426.1359069424232,1482.5436349421027,1541.9603764552778,1604.210587567511,1669.089207315868,1736.3661798695125,1805.791207506233,1877.0985906558603,1950.0120201428497,2024.2492012184296,2099.526207291116,2175.5614817384753,2252.0794273036317,2328.813543113245,2405.5090883664884,2481.925268595674,2557.8369547090365,2633.0359566357806,2707.331882319007,2780.552619190542,2852.5444793498846,2923.172051749238,2992.317805075529,3059.8814840394193,3125.7793397382493,3189.9432319374478,3252.31963776422,3312.8685976438514,3371.5626255121183,3428.3856065513396,3483.331702034335,3536.4042774025115,3587.614866508729,3636.9821820582656,3684.531179700284,3730.292180961806
R,0.0,29.21783652022361,71.83072656441615,122.39701358075297,177.7484592476773,236.0645282516498,296.32379828383245,357.97801669436086,420.7580435056215,484.5581200828143,549.3667574415501,615.2254301908185,682.2038887907606,750.3854245345888,819.8581075873233,890.7096167338467,963.0242323784587,1036.8811335977273,1112.3534809214616,1189.5079711886463,1268.4046741124384,1349.0970347333794,1431.6319712121074,1516.0500250456068,1602.3855377507416,1690.6668385279138,1780.9164339151662,1873.151194492035,1967.382536218495,2063.6165955632887,2161.854398536457,2262.092024309884,2364.320764423658,2468.527278722222,2574.6937491991825,2682.7980328907747,2792.813814870574,2904.710762279607,3018.4546801888496,3134.0076699440624,3251.328290492502,3370.3717230420357,3491.089939259158,3613.431873076039,3737.343596049912,3862.7684961023087,3989.647459361755,4117.919054742153,4247.519720810501,4378.383954431802,4512.856887003009,4649.867198809756,4788.830146696838,4929.551169938052,5072.14604252742,5216.977583340493,5364.607554825497,5515.7618263924205,5671.306792669737,5832.235193660849,5999.65974717939,6174.813295505752,6359.054446097691,6553.877930276723,6760.929106234502,6982.022191909215,7219.161930459686,7474.568468109381,7750.7052625978395,8050.309841154365,8376.42718981523,8732.445480562827,9122.133728703408,9549.680820352736,10019.735160653374,10537.4439716957,11108.491022817518,11739.131317074636,12436.221003084223,13207.240552820665,14060.309069007151,15004.18748860135,16048.268459452098,17202.55080994229,18477.596823559514,19884.47097831118,21434.501207337988,23138.46973950396,25005.854988438143,27044.425292487576,29260.01058911815,31656.375481520856,34235.16073552902,36995.87904645381,39935.95829196633,43050.827697137014,46334.042362384746,49777.44087702947,53371.32994066109,57104.68934475237,60965.3904365062,64940.42130303875,69016.11233237362,73178.35646087797,77412.81923064133,81705.13468401598,86041.08405394283,90406.75511700577,94788.6809227894,99173.95737118297,103550.33976241824,107906.31898538703,112231.17843782833,116515.03309236481,120748.85234396315,124924.46840844981,129034.57210074402,133072.697818321,137033.19950258994,140911.21926002772,144702.6502065731,148404.09496214992,152012.8210750696,155526.71450490464,158944.23214237692,162264.35419984168,165486.53716899274,168610.66791549287,171637.01936461014,174566.2081282617
G,53409.0,53409.0,53427.81068058781,53458.111122238486,53495.63541094321,53537.896419199606,53583.44785481228,53631.45376374917,53681.43606719194,53733.12604256411,53786.376797534,53841.11164591286,53897.293657614384,53954.90771152161,54013.94993595367,54074.42151520353,54136.325075943176,54199.6625971478,54264.43421883573,54330.63758038017,54398.267470401064,54467.315659808315,54537.770842583195,54609.618640236935,54682.84164438976,54757.41948279778,54833.32890051983,54910.54385160317,54989.03559876884,55068.77281974518,55149.72171951722,55231.84614806059,55315.10772324788,55399.465958633584,55484.87839578994,55571.30074080728,55658.68700450678,55746.98964584945,55836.15971796845,55926.14701620528,56016.90022749529,56108.36708042434,56200.49449526652,56293.228733311655,56386.51554480009,56480.3003148003,56574.528206390736,56669.14430054029,56764.09373212055,56859.321821526835,56956.85843908396,57057.99530033353,57163.895861765406,57275.66102069671,57394.37921080404,57521.16590328756,57657.1962774194,57803.73381218691,57962.15677578034,58133.98401874371,58320.90106464369,58524.78719443494,58747.743998358696,58992.125690421424,59260.57132021114,59556.03885560933,59881.84093300817,60241.681867978004,60639.69528167276,61080.481423382684,61569.14295922246,62111.317658765096,62713.20606073692,63381.59185949179,64123.85245875092,64947.95692923664,65862.44852948622,66876.40905291385,67999.40259262086,69241.39689884114,70612.66135074258,72123.64165389055,73784.81265295735,75606.51202958713,77598.75902517306,79766.50967365263,82098.89767526872,84586.21085619893,87218.27152691725,89983.82931383415,92870.4391403677,95864.57628354181,98951.86570585206,102117.36075776382,105345.83440322065,108622.06077955881,111931.07338457747,115258.39165193745,118590.21151584499,121913.55838902046,125216.40306936181,128487.74260294969,131717.6491656777,134897.29066554736,138018.92708716125,141075.88666794798,144062.52587447205,146974.17689158875,149807.08599369516,152558.3457739716,155225.82379431056,157808.08980825488,160304.3433179817,162714.34286506235,165038.33812994283,167277.00562995576,169431.38856076947,171502.84112023315,173492.977484079,175403.62546660815,177236.78479263408,178994.5898257723,180679.27653890953,182293.1534718218,183838.57639519576,185317.92638682635,186733.59102196366,188087.9483834509,189383.35360656364,190622.1276867618
H,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,269516.6590841839,261980.34169364854,254444.02430311317,246907.7069125778,239371.38952204242,231835.07213150704,224298.75474097166,216762.4373504363,209226.1199599009,201689.80256936554,194153.48517883016,186617.16778829478,179080.8503977594,171544.53300722403,164008.21561668866,156471.89822615328,148935.5808356179,141399.26344508253,133862.94605454715,126326.62866401178,118790.3112734764,111253.99388294102,103717.67649240565,96181.35910187027,88645.0417113349,81108.72432079952,73572.40693026414,66036.08953972877,58499.77214919339,50963.454758658016,43427.13736812264,35890.81997758726,28354.50258705189,20818.18519651652,13281.867805981146,5745.550415445773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
