series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10
S,929061.672861888,928788.6502191323,928536.5220969102,928291.8074715062,928046.0896324447,927793.9952943572,927531.9893987377,927257.6512856879,926969.2384179874,926665.4232159189,926345.1346418815,926007.4633968521,925651.6058518401,925276.831617922,924882.4655662641,924467.878687486,924032.4843501117,923575.7378357225,923097.137829296,922596.2290304217,922072.6053481513,921525.9133242541,920955.855542297,920362.1938510472,919744.7522770705,919103.4195332724,918438.151053602,917748.9705028193,917035.9707261464,916299.3141179075,915539.2324014136,914756.0258245697,913950.0617869525,913121.7729243207,912271.6546855436,911400.2624446212,910508.2081967188,909596.1568918964,908664.8224634466,907714.9636095226,906747.3793871023,905762.9046764285,904762.4055720235,903746.7747533837,902716.9268846805,901673.7940884136,900618.3215331711,899551.463170592,898474.1776514722,897387.4244458268,964680.1303715976,1031842.6093939852,1098876.474742904,1165776.2315681924,1232533.7964359683,1299138.6789013427,1365578.1271344044,1431837.2263538812,1497898.9508814234,1563744.1770094992,1629351.6667449789,1694698.0333636922,1759757.6995603174,1824502.858370768,1888903.4462704475,1952927.1370223274,2016539.3639695724,2079703.3774916397,2142380.343207868,2204529.485165712,2266108.276665845,2327072.6795638236,2387377.430898819,2446976.373622592,2505822.8261545305,2563869.9836053443,2621071.3419270203,2677381.1350768134,2732754.7746131164,2787149.2810131167,2840523.696411101,2892839.4693521564,2944060.803451824,2994154.96343619,3043092.533786048,3090847.627002658,3137398.0402440494,3182725.360663552,3226815.02115476,3269656.3093330767,3311242.333449734,3351569.9495450156,3390639.654522614,3360141.357924642,3329367.5752797816,3298395.8611647706,3267267.6326539586,3236042.827239221,3204788.727524744,3173573.816886854,3142464.415211611,3111522.879170365,3080806.6980705103,3050368.1102258284,3020254.0254628593,2990506.128656256,2961161.0896521565,2932250.8340123915,2903802.846123745,2875840.4865326337,2848383.311752416,2821447.3888582396,2795045.599850383,2769187.932562901,2743881.7561335443,2719132.0799226994,2694941.7953905603,2671311.9008875876,2648241.709632675,2625729.041379734,2603770.3984300913,2582361.1267522164,2561495.5630343775,2541167.168529549,2521368.650562537,2502092.0725626405,2483328.9534657295,2465070.3573009125,2447306.9737418136,2430029.1903630495
E,0.0,273.022642755687,456.300222444342,585.9455717020619,683.900316466401,763.5294430524576,832.9893437177126,897.2651422989649,959.4066970412341,1021.2797988690393,1084.02318353722,1148.326683122014,1214.6004985919453,1283.0781468296204,1353.878996603883,1427.0461949480705,1502.5696302213562,1580.399827667409,1660.4563856221578,1742.6331634107378,1826.8015773317452,1912.8128370592615,2000.4996322465815,2089.6775794815903,2180.1466151545064,2271.692441131927,2364.088079698381,2457.095561312564,2550.4677468615564,2643.950271393716,2737.2835864376084,2830.2050715688133,2922.451182014324,3013.7595972429417,3103.871335308816,3192.532798911229,3279.4977214653495,3364.528984721954,3447.400283412112,3527.897616814209,3605.8205918425606,3680.9835270496997,3753.2163516467435,3822.365298130339,3888.2933912385124,3950.8807396478737,4010.02464000565,4065.639505524063,4117.656633438075,4166.023827149248,4210.704889874624,4374.345235911219,4625.3326172680045,4947.134807122157,5329.977240710279,5768.957303008892,6262.670099950895,6812.227973434005,7420.57365330641,8092.005804299904,8831.853344313588,9646.250081773791,10541.973589357887,11526.321937864454,12607.009339327702,13792.067356912217,15089.742583036923,16508.38495744023,18056.323501581363,19741.72840555163,21572.46025689092,23555.908814142404,25698.82511124941,28007.15180142948,30485.85745867771,33138.780996274094,35968.4923933941,38976.175529492044,42161.5381334959,45522.752720129836,49056.4310001969,52757.63272865328,56619.908415430844,60635.373885058514,64794.81342984793,69087.80732842884,73502.87883625962,78027.65540601124,82649.03884513958,87353.3793267344,92126.64858603275,96954.60820122618,101822.96951627311,106717.54246341885,110579.41545021739,113665.33712714227,116129.56894718202,118068.9504663356,119548.5552381334,120615.84586853202,121308.47938724294,121658.57973135007,121695.03722362196,121444.70765138332,120933.00282700248,120184.151192514,119221.28631724449,118066.45225737129,116740.57519886119,115263.42802604161,113653.6013525979,111928.48707040832,110104.2762785138,108195.97118906093,106217.40946953869,104181.29899739819,102099.26089206125,99981.87878187656,97838.75245928287,95678.55431685859,93509.08720557182,91337.34259508143,89169.55813430322,87011.27390416866,84867.38682240885,82742.20280306331,80639.48639304857,78562.50770684134,76514.0865606168,74496.6337714911
I,274.18576133826315,232.657920286965,209.00741237432368,196.71761500227973,191.79159951005263,191.7690496451332,195.1295199545122,200.92902190496503,208.5781200277478,217.70609555619086,228.0775658924737,239.54112921424394,251.99759256110718,265.3801962918281,279.64220297976334,294.7490202193282,310.673126166986,327.390738247653,344.8795761675233,363.1173217862268,382.08053243864447,401.7438587312354,422.07947572694326,443.0566718646701,464.64156155191944,486.79690040364557,509.48198982183357,532.6526620218848,556.2613389583285,580.2571596654961,604.5861708068888,629.1915750438943,654.0140314056137,678.992001313272,704.0621333862741,729.1596797025848,754.2189358513147,779.1736969302558,803.9577216216703,828.5051966302697,852.7511940827998,876.6321149558894,900.0861121987213,923.0534879261164,945.4770598495846,967.3024929613491,988.4785933620728,1008.9575620011038,1028.6952069549488,1047.6511136847914,1065.7887734701137,1044.8218465445216,1034.7282938239314,1037.1781415866624,1052.8268768065764,1081.7923298465282,1123.9621795114504,1179.1855218695248,1247.3869348449068,1328.630021585287,1423.1489122479984,1531.360041362408,1653.8621538885013,1791.429471648492,1945.0009083977322,2115.6668763700904,2304.6543718024122,2513.3105119787697,2743.0844166463507,2995.507209913528,3272.169915535908,3574.699094545916,3904.7302044604494,4263.878823880685,4653.710067685774,5075.706699783958,5531.236616819408,6021.520512832584,6547.600629266277,7110.311537778278,7710.253890161759,8347.772000177614,9022.936000987575,9735.529158139996,10485.040723929813,11270.664508511896,12091.303130836488,12945.577711710728,13831.842593338697,14748.20452293326,15692.545627590232,16662.549435565106,17655.729164573437,18669.45749765659,19700.99709679903,20703.181335999012,21648.57719624665,22521.438406113804,23313.078824990604,24019.201511674662,24638.32896162838,25170.858715437094,25618.477232199413,25983.781168526042,26270.020502489173,26480.91484808908,26620.515243974387,26693.095592222715,26703.064663674264,26654.8933856537,26553.054248656306,26401.970835772016,26205.976109619187,25969.278426376488,25695.93442243932,25389.828013924653,25054.6548056947,24693.911247726664,24310.88791402959,23908.66631798738,23490.11871959984,23057.910424446618,22614.50412036614,22162.16584462718,21702.972220612508,21238.818647738404,20771.428170726613,20302.36079387296,19833.023042269037,19364.677604849774
A,1354.9588358392698,1282.8638107493884,1271.8678032848984,1299.8969745913005,1353.6261959801957,1425.0413179495188,1509.3577429792342,1603.756151446591,1706.6128000701485,1817.0300104430676,1934.5491935771554,2058.974996299948,2190.2671431941244,2328.4735361718003,2473.688505510577,2626.026398390777,2785.60452730806,2952.5318419765326,3126.901118393948,3308.7833328986767,3498.223423667653,3695.2369690277465,3899.807511564841,4111.884378355763,4331.380920662075,4558.17313942271,4792.098687093192,5032.956248724142,5280.50530995655,5534.466319555861,5794.5212509707135,6060.314562362068,6331.454548424649,6607.515070712527,6888.037646536071,7172.5338701685005,7460.48813435875,7751.36061520049,8044.590479403613,8339.599270050006,8635.794425035974,8932.572881610376,9229.32472067168,9525.436805716145,9820.296373433372,10113.294535804616,10403.829657040194,10691.31057265524,10975.159622287589,11254.815472371905,11529.735709373768,11799.399188841628,12089.035783759173,12415.902669183548,12792.871375023029,13230.078470810897,13736.092916634521,14318.733074632268,14985.634604679886,15744.644085844822,16604.09218353128,17572.98397434748,18661.1318772178,19879.24771730851,21239.00403791538,22753.070262545298,24435.126212929943,26299.85344708009,28362.9036343868,30640.84255032803,33151.0681256351,35911.7012336175,38941.44847334584,42259.43703997555,45885.022798159625,49837.57381442932,54136.23277623958,58799.66284149686,63845.782437024114,69291.49528095164,75152.4223823095,81442.64293334782,88174.45084429941,95358.13319055035,103001.77608617042,111111.10252162417,119689.34557522021,128737.15920011792,138252.56757209267,148230.9528207676,158665.0799101688,169545.1565211559,180858.92504233305,192591.78320802195,204726.92953089357,217026.36350089448,229318.5979113547,241473.62443754528,253388.66311716114,264980.0510682033,276178.53163376066,286926.431258892,297175.8826791641,306887.6249360804,316030.11873289436,324578.8327232343,332515.6224335277,339828.16079312447,346509.4000890291,352557.05660156853,357973.11523042386,362763.35440278443,366936.89280990144,370505.7598266367,373484.4912853646,375889.75186351733,377739.98485256976,379055.0895876203,379856.12637349404,380165.0483646957,380004.4595482993,379397.39773917035,378367.14132000867,376937.0383370043,375130.35648730735,372970.152499105,370479.15940154187,367679.6902034411,364593.5565410571,361242.0009110061
IH,0.0,10.98377445895419,14.72980699507825,15.627336350356522,15.577054286644987,15.354955598603132,15.244666377096447,15.324966931332607,15.596841560160764,16.037162486312326,16.61968819324583,17.322065129919444,18.12721884524193,19.02276636562354,19.99993458437337,21.052530373380378,22.176117795254115,23.36740959101664,24.623834031227393,25.943231972885712,27.323645959927404,28.76317282115189,30.25985973841541,31.811630272639384,33.41623146313527,35.07119626005286,36.773817620516084,38.521131928199374,40.309910227461764,42.13665626660894,43.99761063539741,45.88876043613094,47.80585399632855,49.74442014756233,51.69979158208556,53.66713177139195,55.64146489911042,57.61770823159759,59.59070632786975,61.555266479040185,63.50619476780961,65.43833215138386,67.34658999622744,69.22598452942307,71.07166971771963,72.87896813988513,74.64339947878992,76.3607063246738,78.026877048255,79.63816556976366,81.19110791584335,120.75007246680087,138.5500207467551,146.50921053074484,150.597002459311,153.78945722896458,157.5544363672608,162.60297779870558,169.2721820972126,177.72157283443505,188.03418178363938,200.2684951138923,214.48481275225555,230.75817062055037,249.18415629643386,269.8809408043966,292.9892725611551,318.671341621701,347.10897251850974,378.501362218021,413.0624523330607,451.0179620401087,492.6020831949385,538.0538368015982,587.61310134347,641.5163428277127,699.992099681622,763.2562996962795,831.5075083809271,904.9222261280854,983.6503637024264,1067.8110305048635,1157.4887672058028,1252.730343741725,1353.5422260369248,1459.8887914239685,1571.6913452875979,1688.827961875521,1811.1341424698182,1938.4042560131084,2070.3937023620956,2206.8217177388715,2347.3747263784244,2491.710132115407,2639.4604386198152,2790.2375867753613,2940.2689390942633,3085.62149328383,3223.171266823336,3350.7271033231127,3466.8885014852667,3570.856693817226,3662.270305896337,3741.0802763872125,3807.459776195147,3861.7405391311413,3904.367698892208,3935.8671519958853,3956.8213131204425,3967.850546608279,3969.5985412440195,3962.720538549187,3947.873728759177,3925.7093745837456,3896.8663688437373,3861.966017006978,3821.607884472857,3776.36657667795,3726.789337056225,3673.394359040667,3616.6697166983367,3557.0728258702993,3495.0303546250507,3430.938508741283,3365.1636248753284,3298.043010982621,3229.885980347271,3160.9750321196443,3091.567137472932,3021.8950962924164
IN,30.54406659234394,59.581391598896175,82.56013564072188,101.77068916490094,118.66451109220978,134.17620520220677,148.92019399327805,163.31121408257061,177.63838355184163,192.1108956388068,206.88632629633167,222.08825681484788,237.81730617093723,254.15807978432053,271.183572512952,288.95797186120114,307.53844539268806,326.97627467935257,347.31756220936643,368.6036542246965,390.8713711310874,414.15310548684903,438.4768280210075,463.86602998905056,490.3396225782385,517.9118092583199,546.5919438469579,576.3843849470475,607.288355896604,639.2978181916122,672.4013653385833,706.5821431704164,741.8178017611555,778.0804831737448,815.3368483590223,853.5481455948577,892.6703219202443,932.6541780938293,973.4455667060738,1014.9856322161801,1057.2110908859813,1100.0545478586018,1143.444847993093,1187.3074565278796,1231.5648652130242,1276.137019228065,1320.9417599892834,1365.8952788454146,1410.9125766589598,1455.9079243639562,1500.7953197709385,1545.4889361450662,1585.642114070475,1622.6901186647633,1658.1834528300456,1693.6691537247925,1730.631069228377,1770.4673363811419,1814.490311422991,1863.9392099842892,1919.9992024134783,1983.8230764033124,2056.5531429861776,2139.3420625795893,2233.371882427116,2339.8709334884425,2460.1284240643995,2595.5066520569244,2747.4507808375015,2917.4961144758645,3107.272786309023,3318.507753775937,3553.0239808989413,3812.736693331243,4099.646612587533,4415.830116908544,4763.426335277952,5144.6212558044845,5561.629015908957,6016.670634244644,6511.95053700351,7049.631317944766,7631.807246148221,8260.477092985406,8937.516886215823,9664.653212107716,10443.437675390876,11275.223092652983,12161.141939916888,13102.087503145442,14098.698095632095,15151.344613330999,16260.121602832463,17424.841921249226,18645.03497653779,19919.948453816538,21243.612826916356,22607.297031353875,24000.946585263595,25414.03536642018,26836.077831476963,28256.941097114137,29667.036421760327,31057.435947484857,32419.94149379613,33747.12134205653,35032.32474290259,36269.68031139074,37454.082407680835,38581.16838702889,39647.28887195217,40649.472740826204,41585.38822121707,42453.301255682236,43252.03213538146,43980.91125255167,44639.73469627849,45228.72030191058,45748.464660588936,46199.90150077692,46584.26176806507,46903.03565276959,47157.93674681551,47350.86845186654,47483.89270928288,47559.20107879363,47579.08815621115,47545.9272904816,47462.14853621728,47330.21875894486
D,1936.0,1936.0,1936.150611453907,1936.3525891670863,1936.5668739611901,1936.7804692787622,1936.9910191399256,1937.2000566958188,1937.4101953470838,1937.6240619912426,1937.8439663936529,1938.0718584913666,1938.3093817055985,1938.5579453296764,1938.8187888594089,1939.0930314922173,1939.381707504257,1939.6857903453274,1940.0062083897524,1940.3438547478477,1940.6995929233797,1941.074259579131,1941.4686652812654,1941.8835938185596,1942.319800507291,1942.7780097707423,1943.2589122035738,1943.7631612809955,1944.2913698405875,1944.8441064439205,1945.4218917113446,1946.0251947135132,1946.6544294955183,1947.3099518027686,1947.9920560712221,1948.7009727378893,1949.4368659204479,1950.1998315073038,1950.9898956915217,1951.8070139738502,1952.6510706516965,1953.5218788025577,1954.4191807622253,1955.3426490902498,1956.2918880078078,1957.2664352864124,1958.2657645599518,1959.2892880274146,1960.3363595094356,1961.406277818481,1962.4982904001092,1963.7978846083959,1965.7306836409045,1967.9483994615473,1970.2935149101966,1972.7040620403616,1975.1657095414337,1977.6876215863463,1980.2903436531074,1982.9998170563474,1985.8445365419175,1988.8543259126848,1992.0599451366775,1995.4931193791967,1999.1867748761033,2003.1753678961086,2007.4952462251479,2012.1850105538383,2017.285857685371,2022.8418948168874,2028.9004176132137,2035.5121462186312,2042.7314137757153,2050.6163020441895,2059.228718699207,2068.634411056686,2078.9029114511413,2090.107410342024,2102.3245544602164,2115.6341688967973,2130.118903915377,2145.863809342357,2162.9558415415863,2181.483310086254,2201.535273177571,2223.200892514263,2246.568759596995,2271.7262062926,2298.7586128502353,2327.7487264526217,2358.7760028268267,2391.9159824813946,2427.239711849237,2464.813218079031,2504.6970445170537,2546.94585214002,2591.6080904146293,2638.671821679544,2688.0621542488802,2739.6541920742693,2793.2879661267352,2848.7810901025264,2905.9383921400417,2964.558915999086,3024.440920133918,3085.385434877532,3147.1988004958766,3209.6944823353347,3272.694363561506,3336.029649823229,3399.5414766979648,3463.081283036992,3526.510995885534,3589.703061675058,3652.5403513436963,3714.9159623362884,3776.7329370905227,3837.90391505219,3898.3507331508517,3958.0039878270018,4016.8025700400967,4074.693183159684,4131.629852231208,4187.573431808478,4242.491118355746,4296.355972144388,4349.146452601876,4400.84597021206,4451.442457311846,4500.927959474886
R,0.0,73.60176667567313,150.2234365544303,229.24327817371693,311.14534191654474,396.7147905740189,486.73964075850864,581.9236866098064,682.8800700723724,790.1502847543184,904.2269598863759,1025.57313973337,1154.6365327487608,1291.8592369628743,1437.6839583427832,1592.5576908868497,1756.9336211576124,1931.271807428141,2116.039011547961,2311.7079361952296,2518.7560340542905,2737.663998698537,2968.9140107819076,3212.987790828516,3470.364496670288,3741.518496138221,4026.917041771514,4327.01787262389,4642.266767770506,4973.095076233225,5319.917248343786,5683.128393793293,6063.101891607743,6460.187076944381,6874.707028870753,7306.956482150267,7757.199884523886,8225.669619076063,8712.564409048415,9218.047919971768,9742.247571288683,10285.253566800759,10847.118150365672,11427.855090353933,12027.439393517294,12645.807246176022,13282.85617805077,13938.44544168794,14612.396598288444,15304.4942988729,16014.487248117313,16742.08933687993,17505.777824032004,18295.64735036601,19108.666551262508,19945.512956829567,20808.949274056653,21702.992144974072,22632.494277991624,23602.945853177644,24620.394453333465,25691.43038540085,26823.208847212198,28023.49326356253,29300.710928905668,30664.015723111937,32123.354588125865,33689.535440809326,35374.29466651954,37190.36251988974,39151.52478760604,41272.67902446658,43569.88361174901,46060.397842301405,48762.71123553504,51696.560345456994,54882.9314570601,58344.047775329396,62103.33999501676,66185.39949028603,70615.91376800406,75421.5842691303,80630.0270586824,86269.65739422996,92369.5595844184,98959.34392343913,106068.99279892947,113728.69830822028,121968.69387472789,130819.0824310352,140309.6637306744,150469.7632733695,161328.0651878922,172912.45122394635,185249.84777176316,198366.08256759113,212274.0910239623,226975.5266935968,242462.75287776467,258720.62559204796,275727.9480957972,293458.6298320509,311882.6172638368,330966.6584674401,350674.9478737591,370969.68285297113,391811.55269993603,413160.17298829765,434974.47342945694,457213.0444597716,479834.4461151411,502797.48185951286,526061.4395948503,549586.3018922132,573332.9274226737,597263.2055596951,621340.1861304019,645528.1862906782,669792.8764788522,694101.3473622099,718422.1596307643,742725.3784164155,766982.5940264026,791166.9305813643,815253.0440437503,839217.1110146622,863036.8095689233,886691.2932912492,910161.1595723716,933428.4131240214
G,124506.0,124506.0,124517.58757697494,124536.95378740308,124561.8223819881,124590.84835390109,124623.25393061334,124658.60751170173,124696.68907445556,124737.40803768889,124780.7530077723,124826.76092109067,124875.49799175537,124927.04784355218,124981.5040111476,125038.96509543552,125099.53152854835,125163.30331346206,125230.37835335411,125300.85113900925,125374.81165640915,125452.34443420959,125533.5276861346,125618.43252495317,125707.12223786722,125799.6516210157,125896.06637533537,125996.40256841642,126100.68616798938,126208.9326527518,126321.1467056906,126437.321994084,126557.44103912235,126681.47517667696,126809.38460925927,126941.11854771643,127076.61543976539,127215.80328112187,127358.60000377228,127504.9139348963,127654.64431909418,127807.68189591954,127963.90952426803,128123.20284492207,128285.43097249184,128450.45720810861,128618.139764498,128788.3324954688,128960.88562237102,129135.6464506845,129312.46007057061,129491.17003593352,129676.82519487732,129873.13271426954,130083.09810323623,130309.3120206169,130554.15704936256,130819.9561461677,131109.07947753774,131424.02210477914,131767.46153233922,132142.30143362225,132551.70581200582,132999.12632336514,133488.32436695896,134023.3887472196,134608.74914271155,135249.18523236355,135949.83108171675,136716.1742551148,137554.04907461212,138469.62347987914,139469.3790453642,140560.0838716613,141748.75827636328,143042.63345237006,144449.10352303553,145975.67168629885,147629.89138609404,149419.3036618398,151351.37199115966,153433.4160465279,155672.54582744394,158075.5976053315,160649.07303288372,163399.08263141665,166331.29469034128,169450.89040517982,172762.52585806785,176270.30122005314,179977.73733873092,183887.75967665392,188002.68939188556,192324.24120596776,196853.527588187,201546.71887605905,206370.88228627623,211299.6321718516,216310.692932489,221384.550807727,226503.70643632914,231652.25868981364,236815.66983795006,241980.62830829297,247134.96233680155,252267.57868291897,257368.41240518563,262428.3803928523,267439.3351249626,272394.01722591044,277286.0065172232,282109.67183984764,286860.1201782188,291533.14569643035,296125.17927971476,300633.2391090525,305054.8827108303,309388.16083285585,313631.5734113518,317784.02781517257,321844.79948526906,325813.4950297633,329690.0177874515,333474.535834282,337167.4523773029,340769.3784576475,344281.10786726355,347703.59417230927,351037.92972854234,354285.32656984177
H,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2940756.5960634705,2872368.625878608,2803980.6556937452,2735592.6855088826,2667204.71532402,2598816.7451391574,2530428.774954295,2462040.804769432,2393652.8345845696,2325264.864399707,2256876.8942148443,2188488.9240299817,2120100.953845119,2051712.9836602567,1983325.0134753943,1914937.043290532,1846549.0731056696,1778161.1029208072,1709773.1327359448,1641385.1625510824,1572997.19236622,1504609.2221813577,1436221.2519964953,1367833.281811633,1299445.3116267705,1231057.3414419082,1162669.3712570458,1094281.4010721834,1025893.4308873209,957505.4607024584,889117.4905175959,820729.5203327334,752341.5501478709,683953.5799630084,615565.6097781459,547177.6395932834,478789.669408421,410401.69922355853,342013.7290386961,273625.75885383366,205237.78866897122,136849.81848410878,68461.84829924633,73.87811438387143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
