series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10
S,1628470.345092292,1627994.0337454157,1627623.32253577,1627301.6887792258,1626999.0280725232,1626699.0744642052,1626392.8251203254,1626075.0875487477,1625742.6618002981,1625393.381944321,1625025.6101004344,1624637.9691392602,1624229.2013887886,1623798.0939495347,1623343.439290775,1622864.0146036919,1622358.5711988735,1621825.8293593659,1621264.4762380985,1620673.1655387133,1620050.518326356,1619395.1246357001,1618705.5457124051,1617980.316812661,1617217.950531063,1616416.9406496494,1615575.7665109949,1614692.8979212898,1613766.800588271,1612795.9420952261,1611778.7984068997,1610713.8608964484,1609599.6438748834,1608434.6925959245,1607217.5917000172,1605946.9740516264,1604621.5299139882,1603240.0163955002,1601801.2670920882,1600304.2018404573,1598747.8364883997,1597131.2925805645,1595453.806851583,1593714.7404134576,1591913.5875209232,1590049.9837972906,1661287.570726942,1732356.9536875426,1803294.1637123206,1874078.3983468649,1944688.5642070598,2015102.387771713,2085295.779438194,2155242.337834436,2224912.9264305984,2294275.282780892,2363293.638453168,2431928.338978039,2500135.4606300085,2567866.4262210247,2635067.6263733134,2701680.0565452813,2767638.9837255995,2832873.660296719,2897307.106055373,2960855.98259101,3023430.5868792986,3084934.9926690822,3145267.3685826254,3204320.500339594,3261982.5407167464,3318138.0044374694,3372669.016011523,3425456.806755212,3476383.443294176,3525333.754624617,3572197.409450506,3616871.0814179527,3659260.628495935,3699283.205438793,3736869.2260142057,3771964.0949991634,3804529.6387545485,3834545.1768138655,3862008.194191931,3886934.593530041,3890964.0418695947,3838136.0014621685,3784421.9423120916,3729962.8675744594,3674984.13743828,3619740.4776452435,3564489.24652827,3509476.7790462757,3454931.165223835,3401058.459688341,3348040.896117796,3296036.376196429,3245178.818134237,3195579.1000644704,3147326.411647015,3100489.873167476,3055120.312603412,3011252.114854386,2968905.076652423,2928086.216847432,2888791.505352024,2851007.485331802,2814712.7724681506,2779879.4225191446,2746474.164183992,2714459.498662795,2683794.6705154767,2654436.5166666964,2626340.201863601,2599459.8497343054,2573749.0789581602,2549161.4540628036,2525650.86010562,2503171.8100576904,2481679.693149529,2461130.971808802,2441483.3341580913,2422695.808373398,2404728.844551433,2387544.369109728,2371105.816157295,2355378.1397303133,2340327.810289829,2325922.7984271864
E,0.0,476.3113468761607,751.7412772098608,922.9967757639862,1041.0212898326677,1132.7290922577067,1212.3874096335167,1287.5991120099789,1362.453649028505,1439.1883986712528,1519.0651237547618,1602.832433170039,1690.969726784661,1783.8157328343789,1881.6360516275004,1984.6584309044556,2093.0909403620776,2207.131054996186,2326.969877038238,2452.7937299340397,2584.7843035000774,2723.117972810568,2867.964619899525,3019.486133083372,3177.834678149095,3343.150794210059,3515.5613464118537,3695.177358191747,3882.0917423219576,4076.3769497616513,4278.082556929137,4487.2328145687625,4703.824184453291,4927.822893433777,5159.162537612988,5397.741772504205,5643.4221277916895,5896.025987587497,6155.334778742057,6421.087410679842,6692.979010273482,6970.659994331787,7253.735520272165,7541.7653524158195,7834.264177056892,8130.702394024322,8430.50740592832,8838.543419063517,9297.128880376376,9816.954337176865,10406.862730349825,11075.108196751282,11830.109797876148,12680.91421634476,13637.493594968848,14710.951165948883,15913.675058268707,17259.461317932728,18763.615487244908,20443.034851747037,22316.268755212084,24403.551096160154,26726.796655592734,29309.550989896103,32176.88219017673,35355.201936117584,38872.00313113706,42755.502227530946,47034.17638757732,51736.18910715147,56888.70300183671,62517.08513338919,68644.01835242382,75288.54122759847,82465.04854466146,90182.29318714196,98442.43740476022,107240.2059688569,116562.19458417525,126386.383564122,136681.89902490692,147409.05208238433,158519.67162935925,169957.7295299974,181660.24003044394,193558.39941494202,205578.91881370643,217282.97065231905,227531.76374852983,236475.4047761724,244149.61604953287,250553.6084416539,255684.11809123412,259549.55741350027,262174.900939229,263602.16269347165,263888.7731688485,263105.00646113686,261331.0625164991,258654.13816777326,255165.6758745038,250958.8953290709,246126.6608729601,240759.7033510699,234945.19198572263,228765.63655790433,222298.0905366752,215613.62036903115,208777.00386047357,201846.6205933827,194874.4989625576,187906.4871064512,180982.5183461732,174136.94538010613,167398.92117342696,160792.80805379248,154338.5998597751,148052.34501597547,141946.56109182377,136030.63372958274,130311.19480903994,124792.47637219138,119476.63818881375,114364.06793511153,109453.65381586658,104743.0301184543,100228.79667571418,95906.71356245232,91771.87258286594,87818.8472459043
I,1294.666400258257,985.1904776424578,835.3764126148665,770.9216447031465,752.6817271982891,760.0336294030012,782.1257169738712,813.2668927432653,850.4941563623798,892.2884432280921,937.8962929038819,986.9713335809603,1039.3846592487778,1095.1244180834933,1154.2425260974026,1216.8262689401959,1282.9830377656222,1352.8319832901268,1426.499298886358,1504.1153906980735,1585.81301095367,1671.7258636033966,1761.987420736481,1856.7298099535008,1956.0826977391596,2060.1721287517753,2169.1193000260732,2283.039259895898,2402.039527964283,2526.218636785582,2655.66459918792,2790.453307933069,2930.646876978916,3076.2919361154786,3227.4178932406976,3384.035181028245,3546.133507186414,3713.6801298646305,3886.618181967931,4064.865070115874,4248.310975650509,4436.817486374991,4630.216388507426,4828.308648584914,5030.863614679817,5237.618465235274,5448.2779320469135,5518.105439637375,5642.793393618942,5816.867386010505,6038.229860977615,6306.931038996906,6624.492664946591,6993.54692159608,7417.654463435656,7901.224349746884,8449.492230230819,9068.53199217362,9765.286445231566,10547.608131424526,11424.30409389428,12405.179607799239,13501.076144599538,14723.898594519083,16086.62624632315,17603.301379754696,19288.98869605577,21159.69832393445,23232.264927728633,25524.175656330764,28053.34045313362,30837.79973405358,33895.36673397497,37243.20496305016,40897.34515730088,44872.15069727941,49179.74542736262,53829.42274448317,58827.05925884248,64174.55974204792,69869.36197990098,75904.03014935894,82265.96322325648,88937.24067081866,95894.62159956273,103109.7059225995,110549.25774482093,118175.68263825294,125882.42722855919,133386.37242095295,140506.5829678277,147116.59617782332,153123.3888787324,158458.0525486992,163071.49028106034,166932.1353241754,170024.36132757092,172347.02276764932,173911.92011548192,174742.1476880652,174870.35331903922,174336.9652323607,173188.44571359406,171475.62487270194,169252.15699134205,166573.12986906437,163493.8459602937,160068.7838224151,156350.73987469435,152390.14379925458,148234.53602063653,143928.19239916658,139511.87933425896,135022.7216492773,130494.16567807063,125956.02067297896,121434.56281055596,116952.6875206236,112530.09747336415,108183.51522362868,103926.91115300413,99771.73891223158,95727.17201169423,91800.33651329584,87996.53593227219,84319.4654603286,80771.41347640348,77353.44902714895,74065.59454750121,70906.98356560711
A,144.99591023926325,138.02480495437914,140.98513134722288,149.35223581148378,160.76736261150506,174.01152103959808,188.46657053714696,203.8315322024479,219.97307309135664,236.84666103789385,254.45498148883377,272.8260115966126,292.0014657010518,312.03071110216104,332.9675660011529,354.8686121972168,377.7922996012962,401.7984599663086,426.9480269989033,453.3028549872987,480.925578263112,509.8794803444489,540.2283556478982,572.0363541098857,605.3678030440698,640.2870027329847,676.8579934843017,715.14429263958,755.2086005534885,797.1124749961248,840.9159738406723,886.6772663205182,934.4522135931937,984.2939198417229,1036.2522556793815,1090.373356199304,1146.699096620314,1205.2665491164646,1266.1074250692016,1329.247507634674,1394.706080159311,1462.4953565874287,1532.6199205670264,1605.0761804548858,1679.8518478301435,1756.925447427578,1836.2658665799454,1917.83195229673,2003.6972360311304,2094.6734441564536,2191.74866005329,2296.0416213819612,2408.7835758207966,2531.316194563048,2665.0989081043804,2811.7218899235545,2972.922558759066,3150.6043862576976,3346.8572788866054,3563.979026449223,3804.4973764349575,4071.192262249573,4367.117617467346,4695.622067313448,5060.367615831502,5465.345253878928,5914.886211482514,6413.667383322585,6966.709287272722,7579.364796243789,8257.296839779845,9006.443332373166,9832.967777615082,10743.194343361763,11743.52671574425,12840.35071750103,14039.921499047228,15348.237039009056,16770.900665160625,18312.976251599273,19978.840579727323,21772.0379861773,23695.142788667406,25749.635030624755,27935.79479558359,30252.6197232134,32697.769451731787,35267.53958357765,37949.56273371129,40709.12281652502,43516.197033227494,46342.925719230996,49162.77274675644,51950.41203327293,54681.90460770216,57334.96559895606,59889.228005994126,62326.46108713553,64630.72641399767,66788.46763852984,68788.53693421268,70622.16473620803,72282.88120545041,73766.39850328235,75070.46290166787,76194.68523109682,77140.35736238066,77910.26145702305,78508.4776961895,78940.19517692672,79211.52969235505,79329.35122024256,79301.12314933653,79134.75458317893,78838.46647789127,78420.67188958512,77889.87022130803,77254.55505943047,76523.13496479129,75703.86642418479,74804.7980626306,73833.72515671117,72798.15346535786,71705.27139906304,70561.92957485779,69374.62684678004,68149.50195516176,66892.32999893371,65608.52300009746,64303.133896026884
IH,0.0,52.00753962029593,68.47405567342695,71.60566792956702,70.75658278814643,69.55207407587415,69.17811079312361,69.85776812578257,71.48638451226095,73.88677849180061,76.89947619529869,80.40559788741513,84.32517324555968,88.60858796807443,93.22779742657443,98.169303925247,103.42911369293245,109.0093215309826,114.91587778742016,121.15715807951412,127.74305487192345,134.68439771981008,141.99257511046952,149.67927679174383,157.7563059000731,166.23542971253704,175.12825008973448,184.44608224544174,194.19983511905775,204.3998894670721,215.05597154221874,226.17702133382238,237.77105506798637,249.8450221723623,262.4046572921124,275.45432825610294,288.99688116583286,303.0334840298458,317.5634706001256,332.58418628538794,348.09083821692633,364.0763517212266,380.5312356040776,397.44345876679415,414.7983407496233,432.57845882379314,450.7635742259465,610.5959561934485,702.9491282491826,761.9354645922781,805.9068418707142,844.7927707625998,884.0447559850063,926.7554107815913,974.7971037379184,1029.4345824381257,1091.6557712606182,1162.351820092881,1242.4166706326835,1332.8037326896547,1434.5597025710435,1548.846103666599,1676.954021209107,1820.3147182984633,1980.5072758219358,2159.2635164384205,2358.469945675103,2580.166111962998,2826.5385731596034,3099.909525493471,3402.719092774204,3737.500293958105,4106.8458174023535,4513.365943536218,4959.637284199855,5448.142448962744,5981.201297282714,6560.895066980154,7188.985345186145,7866.830514283985,8595.302898543057,9374.710289415034,10204.72577576905,11084.329800501946,12011.768079893804,12984.528457448469,13999.338949979014,15052.188237634047,16138.368729256814,17248.19289264498,18357.468084418582,19440.856162677577,20476.022483355682,21444.509985663673,22331.597042919813,23125.932558388187,23819.183629774227,24405.736230161412,24882.43365803774,25248.33069269025,25504.448544671344,25653.524362979602,25699.755568824345,25648.543137582023,25506.239643826186,25279.9080932241,24977.096874365423,24605.635009654863,24173.450566389416,23688.41379785134,23158.205431109134,22590.209559152354,21991.42984864419,21368.42723577955,20727.276932133154,20073.542373245262,19412.263685568294,18747.958293162068,18084.631407273642,17425.794316026717,16774.488597945776,16133.314605782929,15504.462793481936,14889.746679672751,14290.63644915912,13708.29238505158,13143.597495966857,12597.188853963067,12069.487289593722,11560.725201408135
IN,257.46838299550313,478.9557313530157,607.9453538286687,689.1154622056631,746.1240782186829,791.5384329152113,832.0682237271518,871.3274239545951,911.2931765055296,953.0770724104851,997.3332644754546,1044.4746485312237,1094.7875360450091,1148.4925913008767,1205.7772839419154,1266.8132093139584,1331.765340795254,1400.7969535637258,1474.072200526093,1551.75739021843,1634.021523345932,1721.036383116445,1812.9763356550866,1910.0179229334258,2012.3392913199339,2120.1194779281327,2233.5375658683365,2352.7717137799327,2477.9980622425687,2609.3895185711467,2747.114421421397,2891.3350872146266,3042.206241441376,3199.873339318672,3364.470781991113,3536.120036438025,3714.9276694397736,3900.9833083275553,4094.3575437497025,4295.099792283904,4503.236139351284,4718.767185479473,4941.665921444877,5171.87566012005,5409.308054876779,5653.841236063092,5905.318098297088,6163.544772020105,6399.570933144965,6627.409103931061,6858.024878627175,7100.43427919486,7362.403331817181,7650.915392845153,7972.501357517443,8333.487534890071,8740.192959618871,9199.094791360372,9716.972915971352,10301.04044102487,10959.064070487824,11699.476560214103,12531.482154555697,13465.154838178743,14511.52827094446,15682.675337982544,16991.774314089696,18453.1577137057,20082.33900244902,21896.011534153353,23912.0134209109,26149.251634383967,28627.578580270478,31367.614795374437,34390.51239200478,37717.65549754551,41370.296245999525,45369.127850744524,49733.79982644038,54482.38435392867,59630.806837942175,65192.25757480415,71176.6047746545,77589.83162430825,84433.52133489423,91704.41398309355,99394.05733462094,107488.57077622208,115968.53715305669,124796.06273350691,133882.24593601812,143114.6267919065,152371.31209054106,161528.94373608695,170467.69910891308,179074.73689162394,187246.70763261034,194891.5973080334,201930.02298388182,208296.04218032144,213937.52056755213,218816.102179716,222906.83117239462,226197.47914944854,228687.6351333639,230387.6157277168,231317.25102645066,231504.5977980445,230984.62596605878,229797.91797602005,227989.41377972485,225607.22729428587,222701.55362356413,219323.6802924343,215525.1103868597,211356.8008936313,206868.51571636763,202108.28979056067,197121.9983816389,191953.02395805216,186642.01190687812,181226.70571850977,175741.8520262566,170219.1659669969,164687.3476577439,159172.1410955117,153696.4274282013,148280.34526508866,142941.4314579669,137694.77655690102
D,12217.0,12217.0,12217.487517031115,12218.129390662787,12218.800619928677,12219.463889897313,12220.115868839386,12220.764342261476,12221.419186769903,12222.089297876813,12222.78191020095,12223.502763458053,12224.256482988978,12225.046944495312,12225.877558595748,12226.751473019516,12227.671708968877,12228.641250208602,12229.66310014007,12230.740317943028,12231.876041309997,12233.07350066515,12234.336027948568,12235.667061855647,12237.070150661115,12238.548953281923,12240.107238941107,12241.748885617179,12243.477877357103,12245.2983004679,12247.214338565473,12249.230266439306,12251.350442682067,12253.579301030268,12255.921340364139,12258.381113320293,12260.96321347923,12263.672261100717,12266.512887393397,12269.489717320523,12272.607350961294,12275.870343466711,12279.283183670008,12282.850271434265,12286.575893843423,12290.464200367256,12294.519177155435,12301.88812624006,12311.869967652585,12323.361571303221,12335.817466067992,12348.992191853886,12362.802613260492,12377.254714468025,12392.40503677984,12408.34073042505,12425.169621350775,12443.015685798573,12462.01746826379,12482.328127135244,12504.116406862267,12527.568162974665,12552.88823924178,12580.302585711026,12610.06055029405,12642.437295248035,12677.736294152826,12716.291860620548,12758.471650195554,12804.679063620888,12855.355464214103,12910.982105712343,12972.081650894626,13039.219147039492,13113.002313514973,13194.080991374498,13283.145606635675,13380.92450968979,13488.180074386119,13605.70347247736,13734.308082148127,13874.821542081203,14028.076522642643,14194.900349952393,14376.103682713572,14572.468501119873,14784.73571737642,15013.592754278616,15259.66145875585,15523.486719434914,15805.455056042276,16105.557494152967,16423.370838920855,16758.10677536952,17108.67525797247,17473.745576420908,17851.801456046614,18241.19039836861,18640.16812846062,19046.938766577252,19459.69098078552,19876.630133599356,20296.0063336319,20716.13830769205,21135.433076130666,21552.40150930173,21965.669941478936,22373.98810575161,22776.233721743,23171.414114766765,23558.66527070063,23937.248737668113,24306.546776752668,24666.056142901045,25015.380847297034,25354.224216879593,25682.38052798016,25999.726451421062,26306.21250753198,26601.854692646957,26886.726404595825,27160.95076403112,27424.693401400145,27678.155756040964,27921.568914155785,28155.187996091507,28379.28709015884,28594.15471983121,28800.08982324691,28997.398218157177
R,0.0,42.95213992287466,139.1435023096434,260.6658294823495,395.29605268366254,538.0726819909576,687.30876495522,842.7411657395583,1004.6943592166552,1173.717189747372,1350.4346363313377,1535.493858300428,1729.5493529823245,1933.2628504660229,2147.30771131982,2372.3738837927494,2609.1721457256044,2858.437402863386,3120.93116630963,3397.4434052115394,3688.793947184464,3995.833551825281,4319.444738382196,4660.5424143968285,5020.07432790898,5399.021349518491,5798.397579968952,6219.250272125626,6662.659551955615,7129.737920509538,7621.629517398603,8139.509125526709,8684.580896685042,9258.076777948618,9861.25461958778,10495.395946412795,11161.80337611398,11861.797670258546,12596.714406174882,13367.900261008122,14176.708902773249,15024.496487259565,15912.616764137067,16842.41580055148,17815.226335825995,18832.36178655393,19895.10992729181,21004.72627815529,22223.873302436936,23520.303822477068,24878.60575418761,26292.92945122107,27763.058066657162,29292.290482204262,30886.311194778587,32552.60197833821,34300.155282628155,36139.35988631196,38081.9888844096,40141.25217183581,42331.89284723696,44670.31621034901,47174.744913110844,49865.39630342269,52764.679111976024,55897.40692899248,59291.02569021345,62975.851794627284,66985.3165964604,71356.21190756257,76128.92986343688,81347.68910417486,87060.73777409203,93320.5224457056,100183.81084195807,107711.75530182035,115969.88345733055,125028.0027138899,134960.005984162,145843.5678197173,157759.72266227732,170792.32037894917,185027.35845611783,200552.19502762877,217454.6520553571,235822.02316060354,255740.00549082697,277291.57926820446,300555.8620086959,325606.6154389605,352506.4228073101,381293.47693996853,411977.89371484664,444541.7638337891,478940.6929110255,515105.98704128043,552947.1740340168,592354.7349237433,633202.9734220614,675352.9601742298,718655.4875048778,762953.9702312466,808087.2319023896,853892.1231964942,900205.9289881808,946868.5315369172,993724.3083189887,1040623.7534789346,1087424.8212189577,1133993.9973953103,1180207.1120315816,1225949.9103928956,1271118.4037784508,1315619.0234222838,1359368.602013378,1402294.2075382394,1444332.8535929422,1485431.1091786805,1525544.6294406136,1564637.6269708453,1602682.3012890345,1639658.2420343983,1675551.8193275623,1710355.572749079,1744067.60847717,1776691.0123607125,1808233.2850937569,1838705.804214927,1868123.3163815567,1896503.4622614665
G,939387.0,939387.0,939472.6850040453,939607.91788229,939773.9583996611,939961.2306828337,940165.0005436376,940383.1003659075,940614.7302354136,940859.825900663,941118.7255984569,941391.9945477011,941680.3326366858,941984.5259943083,942305.4216842521,942643.9145497964,943000.9404044097,943377.4724918106,943774.5195800567,944193.12481513,944634.3648612677,945099.3490674052,945589.218511092,946105.1448304404,946648.3287861127,947219.9985123079,947821.4074252058,948453.8317631189,949118.5677366813,949816.9282708706,950550.2393240735,951319.8357731198,952127.0568573747,952973.2411797016,953859.721267416,954787.8177022473,955758.8328347767,956774.0441057662,957834.69700415,958941.9976991164,960097.1053915267,961301.1244377476,962555.0963066304,963859.9914376701,965216.7010751124,966626.0291587391,968088.6843570495,969605.2723323687,971195.2630675955,972867.7500468557,974633.7499072615,976505.8700677332,978498.2028073664,980626.3549341941,982907.5606897384,985360.8482326777,988007.2431137374,990869.9994194296,993974.8530462534,997350.2932482817,1001027.8489803824,1005042.3860916771,1009432.4103648895,1014240.3698950796,1019512.9484544699,1025301.3393855504,1031661.4873030517,1038654.2825983615,1046345.6916007906,1054806.803477435,1064113.7738068325,1074347.6445277592,1085594.0209319394,1097942.588793663,1111486.4587895307,1126321.3311151268,1142544.48054717,1160253.5708356355,1179545.3167545996,1200514.0217413073,1223250.0280489028,1247838.1239396897,1274355.9579296256,1302872.5128970721,1333446.6926595473,1366126.0703480148,1400945.8417971558,1437928.0186982434,1477015.6708010335,1517947.0074678531,1560487.241177875,1604408.0105990754,1649480.812441135,1695476.5562684352,1742167.6649786786,1789331.054209001,1836751.1976191008,1884222.9002034743,1931553.6087637474,1978565.197498156,2025095.226691408,2070997.7064725563,2116143.4165264727,2160419.842168764,2203730.7905449993,2245995.7499202825,2287149.0514790914,2327138.8877737904,2365926.23570219,2403483.725225928,2439794.4883758966,2474851.0167190335,2508654.049574411,2541211.5099799098,2572537.5007781098,2602651.3692214834,2631576.8451709733,2659341.2552360576,2685974.813022998,2711509.983959255,2735980.9218821907,2759422.9736569016,2781872.247462565,2803365.2400054918,2823938.5177321685,2843628.447085075,2862470.9689319134,2880501.4124746355,2897754.3441829816,2914263.447577378
H,2981323.649586867,2981323.649586867,2981323.649586867,2981323.649586867,2981323.649586867,2981323.649586867,2981323.649586867,2981323.649586867,2981323.649586867,2981323.649586867,2981323.649586867,2981323.649586867,2981323.649586867,2981323.649586867,2981323.649586867,2981323.649586867,2981323.649586867,2981323.649586867,2981323.649586867,2981323.649586867,2981323.649586867,2981323.649586867,2981323.649586867,2981323.649586867,2981323.649586867,2981323.649586867,2981323.649586867,2981323.649586867,2981323.649586867,2981323.649586867,2981323.649586867,2981323.649586867,2981323.649586867,2981323.649586867,2981323.649586867,2981323.649586867,2981323.649586867,2981323.649586867,2981323.649586867,2981323.649586867,2981323.649586867,2981323.649586867,2981323.649586867,2981323.649586867,2981323.649586867,2981323.649586867,2908159.792664185,2834995.9357415033,2761832.0788188213,2688668.2218961394,2615504.3649734575,2542340.5080507756,2469176.6511280937,2396012.794205412,2322848.93728273,2249685.080360048,2176521.223437366,2103357.366514684,2030193.5095920025,1957029.6526693208,1883865.7957466391,1810701.9388239575,1737538.0819012758,1664374.224978594,1591210.3680559124,1518046.5111332308,1444882.654210549,1371718.7972878674,1298554.9403651857,1225391.083442504,1152227.2265198224,1079063.3695971407,1005899.5126744589,932735.6557517771,859571.7988290953,786407.9419064135,713244.0849837317,640080.22806105,566916.3711383682,493752.51421568636,420588.65729300457,347424.8003703228,274260.943447641,201097.08652495922,127933.22960227745,54769.37267959569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
