series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10
S,484405.6488023708,469427.7612653008,461065.4831087748,453311.39329057024,445582.9107983858,437822.2369553015,430074.9807374067,422403.5482710511,414865.93229474046,407510.4971558199,400375.26429030794,393488.60371507483,386870.3750529012,380533.17561665585,374483.5552023365,368723.1354713435,363249.60755555466,358057.6001184375,353139.4204483656,348485.6769092439,344085.79402959504,339928.43270685483,336001.8280926111,332294.05714165914,328793.24684625224,325487.7330330754,322366.1784027058,319417.65732051444,316631.7137719677,313998.3978994682,311508.2856526341,309152.4853100717,306922.6339632035,304810.8864832522,302809.8990111512,300912.80860661296,299113.21035672264,297405.1329667804,295783.01362807583,294241.67277118063,292776.2891624561,291382.37567996717,290055.75600786915,288792.54241133004,287589.11469356803,286442.10038959864,285348.3562152619,316113.47970817273,346755.41037021775,377261.53159307607,407630.69964422926,437856.6627614668,467928.61163258797,497831.6107031206,527546.8362711289,557051.6072313682,586319.2242692153,615318.6447466239,644014.0223727067,672364.1391390546,700321.7557363672,727832.9078942284,754836.1808420519,781262.0027133157,807032.0100244201,832058.553650748,856244.4306354686,879482.9434842678,901658.4010886013,922647.1798485201,942319.4550453678,960541.6863011232,977179.8937365105,992103.6929005674,1005190.9708744376,1016332.9925524575,1025439.6389474644,1032444.4146857804,1037308.8344792617,1040025.817712908,1040621.787416495,1039157.2766671074,1035725.9763141632,1030452.293458872,1023487.6115341756,1015005.535516843,1005196.4614924036,994261.826894596,982408.3802619117,969842.7650364268,956766.6502225494,943372.5710384658,929840.5731773131,916335.6911460361,897338.0952885165,852896.0668385644,810999.4885260306,771539.474422952,734496.6085589217,699858.3679840651,667591.2895694231,637634.9702274097,609904.5481203899,584296.0596621896,560692.2874516544,538968.1115123421,518995.00456395536,500644.6002610513,483791.3935488072,468314.6858366761,454099.9029988065,441039.4105030331,429032.93735910987,417987.7045418021,407818.3370588242,398446.6234462337,389801.17290339473,381817.00876170717,374435.1274799504,367602.04469692986,361269.343810204,355393.23783482553,349934.15168728144,344856.32932153763,340127.4681310817,335718.38156857964,331602.6898970835,327756.5382724635,324158.3408858488,320788.5496047856
E,0.0,14977.887537070003,18848.063537042446,20949.32503402643,22394.778098277297,23438.90858757911,24156.470427482716,24583.000524699302,24747.79110101626,24680.977575052115,24414.000194537028,23978.521205526085,23405.217246579567,22722.826863650032,21957.516981252633,21132.534789582987,20268.085813318197,19381.378093449406,18486.780086089555,17596.049847656166,16718.602845380865,15861.7943320596,15031.19935126672,14230.879100819553,13463.626724489417,12731.188824220459,12034.461294891158,11373.65967373449,10748.465234909001,10158.148686489667,9601.673655362545,9077.782263891917,8585.065078754058,8122.017597868888,7687.085273092467,7278.698870744229,6895.301767434687,6535.370577200367,6197.43031530647,5880.065128670734,5581.925464850779,5301.732411533679,5038.279816072194,4790.434688803769,4557.136303292198,4337.39432971164,4130.286272777564,3934.954431394503,3921.3984876647455,4047.717622145394,4273.104849076124,4574.099864086724,4938.836024104254,5363.13191972727,5847.9483589358215,6397.81539171505,7019.92264476048,7723.646786972542,8520.355930795373,9423.38043190783,10448.073965232872,11611.910360152404,12934.573272161102,14438.000017303313,16146.340185354547,18085.786168353377,20284.228683527475,22770.68812434176,25574.47482971664,28724.04100203686,32245.50670298923,36160.873839602114,40485.98510496786,45228.33629303028,50384.90356007438,55940.19214710035,61864.73829657996,68114.29127807492,74629.86176006889,81338.74755877162,88156.5473648316,94990.06309108739,101740.89043845507,108309.42184065339,114598.9472628682,120519.53997476358,125991.452566703,130947.81377320566,135336.49695987705,139121.11417966988,142281.1652362476,144811.4320482192,146720.75104326455,148030.31965272897,148771.69891305896,148594.77373103477,145925.46103405836,141620.15265192132,136188.92518572602,129981.98228518433,123265.43624068581,116252.52807348964,109117.00324565367,101999.5999929362,95012.10077338174,88240.66531713135,81749.02001085241,75581.61776874057,69766.7180918523,64319.2985516981,59243.72024771783,54536.09672390152,50186.34359111359,46179.908960844936,42499.201250039085,39124.74133751785,36036.071531150104,33212.45558781887,30633.403259864215,28279.050464560903,26130.422908758606,24169.607368364257,22379.851173237093,20745.607002907032,19252.5369813597,17887.48732611777,16638.4424689074,15494.465605028196,14445.631012885782,13482.952173235613
I,16623.390758277656,12509.666848401412,13248.092218011581,14794.496648883482,16496.113918243755,18146.655780754194,19656.028354095237,20975.56895124504,22077.75422678572,22949.370351401623,23588.18774057519,24000.57684665106,24199.436770825225,24202.327341995915,24029.819618897556,23704.092411802707,23247.78700504937,22683.114084010333,22031.192977236242,21311.594833719297,20542.0575166462,19738.33960722505,18914.18282182791,18081.355407270014,17249.752982781887,16427.537346472676,15621.297636133026,14836.221739346809,14076.268892643613,13344.33696652201,12642.420017923498,11971.753344600893,11332.944549966258,10726.090079828818,10150.87738016591,9606.67329953764,9092.599666740756,8607.597152936723,8150.478610350478,7719.973093189439,7314.761731729637,6933.5065639521,6574.873343182026,6237.549244186308,5920.256290858417,5621.761230681579,5340.8824877689385,5076.494739406698,4980.016039748315,4901.044429156008,4871.579548075566,4906.2173461552675,5010.374665720585,5185.252867645095,5430.721716646951,5746.925248549364,6135.135814965217,6598.189571837034,7140.706317667575,7769.211461934051,8492.223999180089,9320.340989676653,10266.328460110863,11345.21549462723,12574.379088821754,13973.599959565334,15565.062837702895,17373.26851550444,19424.819450855728,21748.037027186663,24372.368138141603,27327.543472031404,30642.46161323566,34343.79328755161,38454.32906589761,42991.13013203211,47963.581624889805,53371.48575041365,59203.360114792085,65435.118431343,72029.30065773087,78934.98601099526,86088.46785851136,93414.70100603801,100829.45900517002,108242.07215096353,115558.56486731546,122684.9802704537,129530.67222849063,136011.3599410544,142051.7728311676,147587.7585201404,152567.77743354364,156953.7581860533,160721.3334659871,163859.51332398594,166270.072474648,167473.1980288039,167312.62722354097,165796.64620730316,163021.38701763682,159130.20108521884,154289.85803480147,148675.3435546201,142459.62357242007,135806.67111041804,128866.86251869684,121774.19113984844,114644.89568820709,107577.17531346173,100651.71191916338,93932.76123633725,87469.61307798515,81298.25876883211,75443.13899640256,69918.87712849514,64731.93059470681,59882.115893972805,55363.981217706576,51168.01490235534,47281.68844815115,43690.340240157355,40377.910968346194,37327.54461311438,34522.070226449876,31944.380008285094,29577.718688719924,27405.89824575413,25413.450718654338,23585.73047000733
A,2852.6640250035302,2700.749682468547,3214.884961857125,3871.6526740118843,4585.750966401255,5325.317950181773,6071.367735386981,6809.209342515369,7526.495229491965,8212.82217431547,8859.664773780074,9460.332762545158,10009.883037727275,10504.983319894536,10943.741233124114,11325.514657024809,11650.716886019569,11920.62680829477,12137.211134236759,12302.963028121141,12420.7594010445,12493.7375680838,12525.19087825926,12518.482202841788,12476.973731720835,12403.971305680268,12302.681443926916,12176.179262826936,12027.385586316259,11859.05169301149,11673.750309442838,11473.871628889423,11261.623301500276,11039.03349770519,10807.956289887683,10570.078725254965,10326.929075396049,10079.885845593204,9830.187210480002,9578.940613344195,9327.132325608085,9075.636812157647,8825.225788563394,8576.57688908107,8330.281890768276,8086.854460112848,7846.737405128096,7610.30942870013,7377.891388736986,7157.254927314789,6953.917169380435,6771.308834408555,6611.64736256335,6476.510820941951,6367.209555020695,6285.026336872688,6231.374625833998,6207.908440789903,6216.605623534349,6259.838075662388,6340.436972369652,6461.757186380614,6627.7425349257,6842.991491250834,7112.821322350501,7443.326993071489,7841.429488699758,8314.906431758378,8872.396088324753,9523.364272686495,10278.022580650722,11147.186226077647,12142.0609907824,13273.951858948174,14553.891065532707,15992.190506744704,17597.932269071138,19378.42048051509,21338.62642009368,23480.665302110494,25803.345983343934,28301.83311037057,30967.454755191,33787.67802394894,36746.26180886919,39823.58154851791,42997.10739053514,46242.006073224795,49531.82922288655,52839.247077173,56136.78680274442,59397.5380430895,62595.79428864254,65707.60616452423,68711.23086022392,71587.46988238637,74302.76701148695,76756.20553605817,78889.86312238078,80671.30902351926,82085.22354660973,83128.79280231438,83808.72015905088,84138.98442575891,84139.002443536,83832.06750070999,83244.01732443566,82402.11311202327,81334.11706690781,80067.55436216589,78629.14230484939,77044.36698949095,75337.18655980211,73529.84031004032,71642.74396816189,69694.45327717316,67701.68012867657,65679.34776702659,63640.6738046628,61597.2718592477,59559.26447863533,57535.401632887115,55533.18042026421,53558.96276870234,51618.08883709048,49714.98455741331,47853.26233626441,46035.81437823044,44264.89842788749,42542.21597261876
IH,0.0,789.3737439062483,1327.628037493966,1862.914529764244,2433.8103929628032,3045.1699015600866,3691.7085855949654,4364.237196800401,5051.905006303991,5743.321019984277,6427.271650758055,7093.229778007273,7731.714621579213,8334.527826121,8894.884164363151,9407.454677450625,9868.340121841919,10274.991908091597,10626.096217793343,10921.434932128945,11161.73469449683,11348.513099735024,11483.928818712802,11570.640528306936,11611.677869889048,11610.326314300328,11570.026753467635,11494.289839604498,11386.624516644479,11250.479797561646,11089.198599292857,10905.98232112763,10703.864813962266,10485.694412567396,10254.12277126741,10011.599339514347,9760.370425664405,9502.481915766597,9239.784832784126,8973.943035833927,8706.442465771512,8438.601440999755,8171.581594878132,7906.399123343733,7643.936078574444,7384.9515022774685,7130.092241207792,6879.903328643986,6474.433067352399,6096.396286601549,5744.1284544804,5416.642910986178,5113.278523872315,4833.516151973335,4576.894895515916,4342.984679610967,4131.388826298648,3941.761343584007,3773.8305715106385,3627.424966025727,3502.49915945238,3399.1596845604536,3317.6903254382323,3258.5772339834775,3222.5338845112096,3210.525716931647,3223.793984088623,3263.8778917243826,3332.6336139415657,3432.2482023043035,3565.245817933573,3734.483161943375,3943.130547451773,4194.634860199447,4492.660825324824,4841.007661899655,5243.499456421075,5703.849442591255,6225.5007550908085,6811.448927531219,7464.054117337104,8184.853381933856,8974.384917662652,9832.03669587248,10755.93122129634,11742.85620744808,12788.24800383042,13886.230955505294,15029.71194446902,16210.5255830783,17419.622278558058,18647.288941628245,19883.39062674348,21117.62089855416,22339.749144589754,23539.85424418451,24708.535757023885,25835.35441840376,26902.24865482427,27889.727366086372,28779.843690454574,29557.61688044267,30211.64320727584,30734.24770403734,31121.359759685773,31372.2190482172,31488.98090506583,31476.269713247915,31340.715743893514,31090.5013237755,30734.934620936358,30284.06315043709,29748.33407177145,29138.304359434893,28464.400880120815,27736.728195963344,26964.920413024854,26158.032482484014,25324.46591640002,24471.92378787774,23607.39004820731,22737.12852822224,21866.697430863835,21000.975614915777,20144.19747751895,19299.993738065044,18471.435890209945,17661.082511030454,16871.025991188853,16102.938575742233
IN,3324.350165969997,6109.3894735730355,7619.946955055642,9033.116505184693,10526.277283437918,12117.4917813295,13780.638625133273,15475.817124734089,17159.868120077943,18791.130055484475,20332.05764348811,21750.750712986337,23021.758237102902,24126.337686507628,25052.298760352634,25793.542601782756,26349.395098757435,26723.819310889536,26924.577067655315,26962.39444237851,26850.17125622033,26602.26180907702,26233.843101481118,25760.378034324633,25197.174372137993,24559.035422364126,23859.99514364873,23113.12845661544,22330.42660665162,21522.727263071913,20699.689412030682,19869.8038299551,19040.430865880033,18217.858304720972,17407.37314840984,16613.342181482618,15839.297145213352,15088.021207948736,14361.634178486112,13661.674561933265,12989.177106923542,12344.74494641997,11728.615800841926,11140.722002105893,10580.744320808619,10048.15974627359,9542.28348991638,9062.305564855536,8607.322346414678,8206.85742866095,7855.567354958749,7555.374836827599,7310.809565357895,7126.749639357185,7007.522029888409,6956.725697019515,6977.404544191984,7072.363106208802,7244.518112130403,7497.236977268735,7834.6457727456,8261.904826090347,8785.456505491038,9413.25098423669,10154.954195641883,11022.139020472789,12028.456618812574,13189.780025213426,14524.30685956647,16052.602500208226,17797.55971257138,19784.24615594052,22039.608302754874,24592.000233516465,27470.50975212585,30704.063399178405,34320.30684939555,38344.27764957183,42796.91193884605,47693.45312465256,53041.854887312635,58841.28930855966,65080.87963178259,71738.773572035,78781.65639244221,86164.77439337304,93832.50213645588,101719.44506275543,109752.02807979807,117850.48477834962,125931.13479329747,133908.820633419,141699.37073652205,149221.96183372097,156401.2691263603,163169.31481099894,169466.9513815174,175224.98373989385,180289.4892297775,184500.26666878228,187724.761452317,189871.1478811263,190891.1646391911,190777.73050053936,189559.9067148639,187296.62968480337,184070.06590244937,179979.12425507704,175133.463620409,169648.19831536806,163639.4055006619,157220.4658745865,150499.21621095436,143575.85586419504,136541.52635614757,129477.47093287128,122454.67709623805,115533.90737151161,108766.03005490715,102192.57080136775,95846.41639466959,89752.6129277501,83929.21122064696,78388.1221554009,73135.9534348288,68174.80694026338,63503.022341390526,59115.85794065527,55006.10400327631,51164.62714610813
D,3743.0,3743.0,3744.5406831437513,3747.131919746601,3750.767917316084,3755.518177476713,3761.461676324262,3768.6670758366927,3777.1851026096238,3787.0453050132764,3798.254998714075,3810.799612933989,3824.6440302814044,3839.7346289765346,3856.0017858612905,3873.362634513081,3891.7239075590123,3910.9847271642957,3931.0392412106316,3951.7790332964664,3973.0952613005043,3994.8805013488186,4017.030291577309,4039.4443833704745,4062.0277172626697,4084.691146978837,4107.351938757108,4129.934074696424,4152.368388913205,4174.592564207161,4196.5510150893015,4218.194680705914,4239.480748627379,4260.372327830731,4280.83808661316,4300.8518687152455,4320.392298661713,4339.442385274899,4357.9891304946905,4376.023149048833,4393.538303150456,4410.531355240933,4427.0016408278925,4442.950762670627,4458.382306918382,4473.301581291372,4487.715374991521,4501.631739722705,4522.98011528151,4543.070314525548,4561.987463686614,4579.811523945385,4596.619394871452,4612.485924537634,4627.484350119031,4641.686478616366,4655.162782505761,4667.98250336958,4680.213809175238,4691.924024927904,4703.179943330665,4714.0482163104725,4724.595826366012,4734.890636579462,4745.002018564848,4755.001557850683,4764.963835730504,4774.967285111835,4785.095115065566,4795.436294380413,4806.086578277391,4817.149554462509,4828.737675000085,4840.973229452416,4853.989203086051,4867.929952828572,4882.951624603959,4899.222230496343,4916.921304773207,4936.239065766732,4957.375026965363,4980.536025438224,5005.933667751567,5033.78123049767,5064.290091140746,5097.665801267499,5134.103944723077,5173.7859443215675,5216.874990689441,5263.51226447137,5313.813609072004,5367.8667869628725,5425.729420849312,5487.427684648289,5552.955771354655,5622.27612831993,5695.320417606974,5771.9911316638045,5852.158369846148,5935.636186353889,6022.1781544023315,6111.482158002134,6203.19959582714,6296.94648072191,6392.315010069027,6488.8847501239925,6586.232907846788,6683.943378214381,6781.614405688118,6878.864808494904,6975.338794663877,7070.709455517679,7164.681059870078,7256.990294124701,7347.406603031555,7435.731785961844,7521.798996795258,7605.471284092351,7686.639793973949,7765.221742496184,7841.158248390813,7914.412101626517,7984.965528871398,8052.818003925991,8117.984139714833,8180.491688518656,8240.379668759215,8297.696629718941,8352.49905995815,8404.849940736187
R,0.0,691.2252009019419,1880.4142502426344,3379.023149434376,5178.6443765970635,7297.75461743909,9756.397610197797,12569.00526473995,15742.122670595943,19273.89011455077,23154.352459461443,27366.23911789716,31886.024754625112,36685.14046782044,41731.23600543405,46989.41650812145,52423.39736352177,57996.53870128449,63672.73657903444,69417.16072507744,75196.83874693763,80981.09412723774,86741.85039588566,92453.81695302935,98094.5735070878,103644.5703585298,109087.0611380915,114407.98338428285,119595.800753576,124641.3188812898,129537.48508984607,134279.18037237934,138863.01042972814,143287.1010478477,147550.90179103424,151655.00085975992,155600.9530157883,159391.121700121,163028.53584564422,166516.76139842087,169859.7871911318,173061.9245413507,176127.71975938723,179061.87863010052,181869.20186683358,184554.5305116748,187122.70026456972,189578.50375596102,191926.6598266763,194160.7679858478,196292.18504867636,198331.58039992236,200290.0502539565,202179.49834096662,204012.66813624935,205803.04319498834,207564.72969620454,209312.37564982555,211061.14835692657,212826.77496290102,214625.64343623925,216474.95877275383,218392.94910884372,220399.11724932725,222514.53404619452,224762.17064410145,227167.26657229973,229757.72984364352,232564.56350072887,235622.31034471333,238969.5038613401,242649.1086713265,246708.92835703952,251201.95260971232,256186.60987173457,261726.88681120775,267892.27304025856,274757.4895364763,282401.9632262289,290909.01882130705,300364.77243560954,310856.72923936916,322472.10819657944,335295.93889741483,349408.9963546055,364885.65702262655,381791.771159072,400182.65153221163,420101.2757633871,441576.7895365215,464623.3815683438,489239.5802752907,515407.9985055725,543095.5286114205,572253.9674352503,602821.0310458667,634721.7034029693,667868.9400756446,702158.3796603241,737456.364284047,773600.180333812,810403.5608973377,847664.1630031514,885171.387684538,922713.7042797306,960085.0510815955,997090.1158720393,1033548.4403771387,1069297.3818395766,1104194.0214937015,1138116.1436185425,1170962.4260720375,1202651.988074735,1233123.4369060677,1262333.544892614,1290255.6739011253,1316878.0483413553,1342201.9608567283,1366239.9784778766,1389014.2017505062,1410554.6156683248,1430897.5593715084,1450084.3315758305,1468159.9405248375,1485172.0007772972,1501169.7741780987,1516203.3487140066,1530322.9464224605,1543578.3499056417,1556018.4361221076
G,929178.0,929178.0,933012.1425050105,937836.9992390228,943199.7513204124,948932.5204031264,954932.5731785442,961116.3123612433,967409.2376472134,973744.3471565273,980062.3532806559,986312.0167015844,992450.2032204684,998441.6314550583,1004258.3767134459,1009879.2126927484,1015288.8640654682,1020477.2278530658,1025438.6061095025,1030170.9790248036,1034675.336697019,1038955.0794601566,1043015.4904963435,1046863.2801256446,1050506.1982814309,1053952.709905196,1057211.7270455936,1060292.3910886,1063203.8985948928,1065955.3645355199,1068555.7171923742,1071013.6195494423,1073337.4125905554,1075535.076503124,1077614.2063417851,1079581.9992172662,1081445.2505370816,1083210.357233601,1084883.3262723938,1086469.7870423086,1087975.0064923991,1089403.9061040175,1090761.07997376,1092050.8134389853,1093277.1018065778,1094443.6688513854,1095553.9848368259,1096611.2838796398,1097618.580536351,1098622.4070494976,1099658.569602123,1100752.428324834,1101923.3378184226,1103187.6149788985,1104560.5063163794,1106057.504295207,1107695.2610130268,1109492.2690174966,1111469.421160369,1113650.520380885,1116062.7820142722,1118737.3517348985,1121709.8482879698,1125020.929175994,1128716.8675662826,1132850.1186039746,1137479.8423425853,1142672.3384929523,1148501.3356055154,1155048.0652925456,1162401.042556462,1170655.4687924408,1179912.1775949067,1190276.058079654,1201853.9181872841,1214751.7917941203,1229071.7463216737,1244908.3068564758,1262344.6708792103,1281448.9353763992,1302270.5865303115,1324837.5048964638,1349153.7135440293,1375198.0453339582,1402923.8348983787,1432259.660370598,1463111.0798219652,1495363.2370342836,1528884.157623614,1563528.5234721904,1599141.7016256854,1635563.8113487386,1672633.6361456823,1710192.2215302864,1748086.039280359,1786169.640384548,1824207.950965696,1861562.9525524806,1897815.8517350194,1932678.4280144798,1965952.1084271339,1997506.441260743,2027265.5617040177,2055198.081502158,2081308.6395404036,2105630.489545216,2128218.9410024364,2149145.6165159764,2168493.518051981,2186352.8816377344,2202817.777362126,2217983.3916982287,2231943.916237417,2244790.961099886,2256612.41131348,2267491.648691814,2277507.0686492976,2286731.8296998274,2295233.7821513903,2303075.531077671,2310314.5966080506,2317003.641702054,2323190.7437690916,2328919.6917550303,2334230.2946958807,2339158.691319692,2343737.6531589474,2347996.875918453,2351963.255624645,2355661.147449585
H,1521141.2462537177,1521141.2462537177,1521141.2462537177,1521141.2462537177,1521141.2462537177,1521141.2462537177,1521141.2462537177,1521141.2462537177,1521141.2462537177,1521141.2462537177,1521141.2462537177,1521141.2462537177,1521141.2462537177,1521141.2462537177,1521141.2462537177,1521141.2462537177,1521141.2462537177,1521141.2462537177,1521141.2462537177,1521141.2462537177,1521141.2462537177,1521141.2462537177,1521141.2462537177,1521141.2462537177,1521141.2462537177,1521141.2462537177,1521141.2462537177,1521141.2462537177,1521141.2462537177,1521141.2462537177,1521141.2462537177,1521141.2462537177,1521141.2462537177,1521141.2462537177,1521141.2462537177,1521141.2462537177,1521141.2462537177,1521141.2462537177,1521141.2462537177,1521141.2462537177,1521141.2462537177,1521141.2462537177,1521141.2462537177,1521141.2462537177,1521141.2462537177,1521141.2462537177,1521141.2462537177,1489332.7173084824,1457524.188363247,1425715.6594180118,1393907.1304727765,1362098.6015275412,1330290.0725823059,1298481.5436370706,1266673.0146918353,1234864.4857466,1203055.9568013647,1171247.4278561294,1139438.898910894,1107630.3699656588,1075821.8410204235,1044013.312075188,1012204.7831299526,980396.2541847172,948587.7252394818,916779.1962942464,884970.6673490109,853162.1384037755,821353.6094585401,789545.0805133047,757736.5515680693,725928.0226228338,694119.4936775984,662310.964732363,630502.4357871276,598693.9068418922,566885.3778966567,535076.8489514213,503268.3200061859,471459.7910609505,439651.2621157151,407842.73317047965,376034.20422524423,344225.6752800088,312417.1463347734,280608.617389538,248800.0884443026,216991.5594990672,185183.0305538318,153374.50160859642,121565.97266336103,89757.44371812564,57948.914772890246,26140.385827654856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
