series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10
S,646914.4418794527,646910.1984696503,646906.3394516752,646902.6228568035,646898.8889053685,646895.0286755112,646890.9644113852,646886.6371213021,646881.9987404187,646877.007149657,646871.622979745,646865.8075285535,646859.5213701354,646852.7233906977,646845.370085017,646837.415008383,646828.8083177279,646819.4963597441,646809.4212788919,646798.5206276316,646786.72696709,646773.967450014,646760.1633801138,646745.2297432733,646729.074706927,646711.5990843901,646692.6957612064,646672.2490807193,646650.1341861525,646626.2163165181,646600.3500536912,646572.3785180121,646542.1325098197,646509.4295943795,646474.0731277805,646435.8512215214,646394.5356437226,646349.8806551802,646301.6217788449,646249.4745017746,646193.1329091863,646132.2682509389,646066.5274416396,645995.5314965864,645918.8739069739,645836.1189592108,645746.8000048526,645650.4176895533,645546.438151622,645434.2912032284,645313.3685100789,645183.0217884529,645042.5610418913,654252.0463782758,663447.4685234946,672627.4232936881,681790.5233425057,690935.1693063864,700059.5516555076,709161.6448018985,718239.1956647935,727289.7081483606,736310.4245127148,745298.3043282031,754250.0015374431,763161.8400714614,772029.7884505622,780849.4338308743,789615.9560227749,798324.1020996154,806968.1623278551,815541.9482766144,824038.7740989141,832451.4421103215,840772.2339134725,848992.9084171775,857104.7081629469,865098.375384888,872964.1791757293,880691.9549978892,888271.1575524027,889452.2796320493,887358.3016884384,885112.4036766227,882708.522936392,880142.0838524379,877409.8459818402,874509.8359586303,871441.3197907794,868204.7892689719,864801.9468184996,861235.6798785683,857510.0203057394,853630.0872433666,849602.013879506,845432.8598256116,841130.5116663575,836703.574675022,832161.2588451795,827513.262327259,822769.6551369486,817940.7656727314,813037.0721859551,808069.1009250676,803047.3322547375,797982.1156518253,792883.5941182151,787761.6382341494,782625.7898090031,777485.2148697777,772348.665558761,767224.4503867781,762120.4122022217,757043.913183124,752001.8261343779,747000.5313695741,742045.9184719552,737143.3922573974,732297.8823004186,727513.855428825,722795.3306411746,718145.8959516664,713568.726717719,709066.605055128,704641.9399933586,700296.7880685892,696032.8740941321,691851.6118865762,687754.1247613009,683741.2656429077
E,0.0,4.243409802317029,7.253745674822342,9.519591168528953,11.349624050936285,12.939928717778136,14.416206666801903,15.860254933680508,17.326584299018986,18.85285762048977,20.466455376845897,22.188614807317116,24.03704952067524,26.027618248958447,28.175399407976858,30.49539521665253,33.00300580684694,35.71436152364859,38.64656887478418,41.817905065501485,45.247983193094015,48.9579021148263,52.97038995203795,57.30994702761126,62.002992048657674,67.07801409867281,72.56573221553388,78.49926382866133,84.91430300006404,91.84930918981826,99.34570710196039,107.44809803263755,116.20448301916198,125.66649796279177,135.8896607595869,146.93363031461618,158.86247712827935,171.74496492327435,185.65484252066884,200.67114486749952,216.8785017600714,234.36745239028244,253.23476336039423,273.58374725830686,295.5245782544074,319.1746004668222,344.65862403965406,372.10920298514543,401.66688785419007,433.4804452213865,467.7070348054872,504.5123338026577,544.070596702939,586.5646375109275,634.6230598995096,688.5371712256493,748.5231798564511,814.9660696885473,888.3839940878802,969.4075338783286,1058.768646492324,1157.2959129178407,1265.9138419705464,1385.6447304401236,1517.6120434530342,1663.0445646644607,1823.280731679251,1999.7726587119582,2194.0893828372623,2407.918870688246,2643.0683024066207,2901.4621193844177,3185.137290770358,3496.2352292685155,3836.989777901877,4209.710704839688,4616.7621918397,5060.535891632009,5543.418267699807,6067.752121059153,6635.79245382837,7249.657114688413,7893.703392504402,8560.860461387087,9252.568822559033,9968.493832048322,10707.032602300656,11465.63574637412,12241.024380861496,13029.349616433125,13826.32170714705,14627.323842479256,15427.51815680984,16221.947071012264,17005.630477249393,17773.65786602026,18521.273856668337,19243.95545622368,19937.4795501659,20597.979490165013,21221.99009242821,21806.480827241612,22348.877418071635,22847.072446677048,23299.425862314853,23704.75651225367,24062.325949324586,24371.81583745853,24633.300278678616,24847.2143369744,25014.319948236283,25135.670292614148,25212.573576624796,25246.557035798436,25239.33183164743,25192.759384626163,25108.81956138445,24989.581022541977,24837.173937883374,24653.765189876747,24441.53611367227,24202.662761676,23939.29863252018,23653.559766661638,23347.51208272517,23023.160808828346,22682.44185026404,22327.2149279253,21959.258319673423,21580.265038515976
I,1.807491202841351,1.4097541946347099,1.1844071104596239,1.0688542012859659,1.024045535758028,1.025697645383391,1.0587923082578752,1.1141300806935275,1.1861717902902629,1.2716873709440168,1.3689107873193183,1.4770122284248914,1.5957692273768727,1.7253625431878425,1.8662503336866576,2.019091507801369,2.184700026500761,2.3640187419756633,2.5581056394945683,2.7681280257170755,2.995361886562671,3.241194690271021,3.5071305710100704,3.794797241917851,4.10595424568474,4.4425023132558445,4.806493703001945,5.2001434563245414,5.625841545217716,6.086165911590126,6.583896412604732,7.1220296942760735,7.70379501910797,8.332671073853902,9.01240378119944,9.747025134615996,10.540873068904926,11.398612369971488,12.32525661595988,13.326191127781287,14.407196889949407,15.574475382122069,16.83467423740932,18.19491361488762,19.662813140369728,21.246519230817526,22.954732573345517,24.79673547905709,26.782418774534975,28.92230782929157,31.227587245601267,33.71012365776428,36.38248600107609,39.25796251695572,43.21064102669098,47.34130004424359,51.731788112893724,56.45206038290398,61.56591069275011,67.13485576809977,73.22083496100356,79.88815404274573,87.20494879034888,95.24434466186716,104.08542389526411,113.81406859251364,124.5237197579354,136.31607264826664,149.30171479851435,163.60070255367717,179.3430634998051,196.6692050218178,215.73020286405102,236.68793784520832,259.7150438004066,284.99462557327354,312.7197027818952,343.09233356636787,376.3223731055679,412.6258249182904,452.22274937487407,495.33470388989116,542.1817032269369,592.6273139053907,646.4207189842294,703.3896086983987,763.3891220501155,826.2710432038015,891.8655362264392,959.9708389858916,1030.348188923024,1102.7203372235958,1176.7726332347684,1252.1560142042006,1328.4914294610528,1405.3753316811078,1482.385922647779,1559.0898720815617,1635.0492503702717,1709.828437455916,1783.0007945420673,1854.1549138288315,1922.9002937093476,1988.8723214586628,2051.7364807493877,2111.191735669655,2166.97307483825,2218.8532275769094,2266.6435881490142,2310.1944034083535,2349.394293744337,2384.169187146227,2414.4807519201186,2440.3244155911407,2461.727056395382,2478.7444501214204,2491.4585494965886,2499.974666383621,2504.418619255367,2504.933900175843,2501.6789071890785,2494.824279885407,2484.550368193012,2471.044857285272,2454.500565003512,2435.1134224276802,2413.080643205449,2388.5990829660986,2361.863786570425,2333.066718037507
A,16.267420825572163,15.02902909147995,14.64872643346558,14.83923566552939,15.423094237514508,16.29191131779143,17.380842752633566,18.652607059720207,20.087484357122314,21.677067922683385,23.420370329225545,25.321407806549317,27.38771354418919,29.629435701844518,32.058804461390245,34.68983307160122,37.538168392980054,40.621038159958594,43.95726207193732,47.56730631089744,51.4733689250295,55.699488447372474,60.271671221860956,65.2180348671513,70.56896654770986,76.35729550906856,82.6184798370627,89.39080772367191,96.71561372976873,104.63751066780233,113.20463780971585,122.46892617177885,132.48638164672576,143.31738674869933,155.0270217093312,167.68540561326745,181.3680581865975,196.15628274892154,212.1375707052466,229.40602778278506,248.06282200455462,268.2166531302458,289.9842429782609,313.4908456636216,338.87077633649807,366.2679564768444,395.8364731830839,427.74114917785505,462.15811943246456,499.2754093752877,539.2935085901498,582.4259327223946,628.8997649886574,678.9561672300297,732.8508488599452,791.2932016135712,854.9910486164771,924.6372459779111,1000.9412017869014,1084.6515865663614,1176.5735812832863,1277.5828231645582,1388.6374343084121,1510.7890093614405,1645.1931015618973,1793.1195189762275,1955.9625839475432,2135.251391897836,2332.660013236155,2550.0175029501725,2789.317509402221,3052.7272027465087,3342.59517224518,3661.4578703555317,4012.044111091009,4397.277063552059,4820.273122763665,5284.33699439171,5792.952303973961,6349.767042202706,6958.573193035164,7623.279968098127,8347.880194861407,9133.247049903044,9978.914488518452,10884.711234903016,11850.418816059098,12875.546870898877,13959.183478380584,15099.895940263721,16295.667825288918,17543.864052882145,18841.219117504494,20183.84529115888,21567.25844295273,22986.41938635822,24435.788661696253,25909.39254368235,27400.89793060272,28903.6936807332,30410.97594264669,31915.835089274726,33411.342008048654,34890.63170986065,36346.98248203671,37773.8891072795,39165.12898415705,40514.82029938817,41817.47170463615,43068.02323040936,44261.87841960134,45394.92787858447,46463.56462245048,47464.691732840314,48395.72295328088,49254.57692065384,50039.66577573777,50749.87891450145,51384.5626389628,51943.496445903365,52426.86665728703,52835.23805131784,53169.52410076612,53430.956368178835,53621.05354815157,53741.59058686416,53794.568250095035,53782.18345411728,53706.800620134076,53570.92426286431
IH,0.0,0.07890080082889254,0.12071974231783185,0.1422499351291155,0.15335492512193036,0.1597284348954324,0.16458112146804735,0.16966562028538285,0.1758949527667798,0.183712150909206,0.19330851983578565,0.204750460316107,0.218051554472696,0.23321227867855224,0.2502408807579287,0.26916354669839354,0.29002868054623254,0.31290811976067257,0.3378969048378452,0.36511250594099126,0.39469398912782105,0.4268013629335928,0.461615210623195,0.49933664063046046,0.5401875511531063,0.5844111887723533,0.6322729759829541,0.6840615832239526,0.7400902243060029,0.8006981583371917,0.8662523854640796,0.9371495275370043,1.013817888001634,1.0967196878683496,1.186353476536469,1.2832567175948835,1.3880085505305617,1.5012327295900603,1.6236007408824857,1.75583509819683,1.8987128169294465,2.053069063962288,2.219800979270501,2.399871662428881,2.594314313980372,2.8042365177672433,3.0308246457407533,3.275348361386267,3.539165191652894,3.823725130083845,4.130575225632281,4.461364102350462,4.817846344701837,5.2018866716284675,4.763736310229298,4.520338167001961,4.4271997592695715,4.452657063446782,4.574430235242817,4.777159280518576,5.050636146926546,5.388534540423708,5.787497430169966,6.246482976043697,6.766298096870843,7.3492688954802725,7.9990112585805955,8.720274927720991,9.518841411546667,10.401461122572112,11.3758186607845,12.45051764317662,13.635078184220916,14.939941276475983,16.376475056095355,17.95697838048443,19.694677385541787,21.603710803077398,23.69909987109167,25.99669872136338,28.51312123788386,31.26564060107404,34.27205811754763,37.550538528003024,41.11176914282182,44.9583295449569,49.088412028960164,53.497507935176245,58.179005425558756,63.124241654869884,68.32231789033736,73.75985020828657,79.42074979200254,85.28608136741704,91.33402180213483,97.53992518492092,103.87649114621973,110.31402718779799,116.82079196278704,123.36340405490787,129.90729947312607,136.41722060708275,142.8577196553283,149.19366043958317,155.3907039479294,161.41576479212816,167.23742789576875,172.82631702620694,178.15540912604786,183.20029068387163,187.9393545210821,192.35393729443587,196.42839967508294,200.15015253786595,203.50963357006856,206.5002394926566,209.11821959700677,211.36253656243517,213.23470056633738,214.73858256414758,215.88021233598636,216.66756650508785,217.1103512617882,217.21978400468564,217.00837756245247,216.489730106626,215.6783233245174,214.58933090538147,213.23843891197814,211.6416791703536
IN,0.3188362073777486,0.5809833576080861,0.7263611063895954,0.8061401285393444,0.8513512475527826,0.8806197138391632,0.9049756760515539,0.9308389523238414,0.9618651623461123,1.0000828629122807,1.0465901592536748,1.1019783900496067,1.1665873777474407,1.240657281872002,1.324417446965772,1.4181372578389277,1.522154432324147,1.636890222400018,1.7628572978631247,1.9006638013869646,2.0510156574269933,2.214718357332418,2.3926789215169335,2.585908427129071,2.795525305743449,3.022759510101519,3.2689575908540447,3.535588694458867,3.8242514801089293,4.136681949625634,4.474762185296259,4.840529994041937,5.236189460512618,5.664122415791835,6.126900831806686,6.627300153941665,7.168313585528196,7.753167337659216,8.3853368560112,9.06856403289089,9.806875407387807,10.604601349106861,11.46639621124648,12.397259426511885,13.402557504211394,14.488046868544098,15.659897456188665,16.924716965458913,18.28957561909848,19.76203126783315,21.350154621679973,23.06255435034604,24.908401742502058,26.897454556026076,29.04007962733075,31.498987127247794,34.24933730585608,37.28514476488702,40.61382819517091,44.25274029292348,48.226999818130956,52.56818533898016,57.31360410786764,62.50594910362319,68.1932216149631,74.42883818203842,81.27186724137384,88.787357587513,97.04673109194108,106.12821814251856,116.11731736033575,127.10726220632236,139.19947669364646,152.5040009757219,167.1398653808166,183.23538876045913,200.9283740461418,220.36617091798013,241.7055727624977,265.11251295726817,290.76152433042944,318.83492579577654,349.52170206149503,383.01604633318794,419.45355780660907,458.90148276808077,501.3847161756011,546.8981736052529,595.4115297997182,646.8698927643319,701.1925400424449,758.2709846018624,817.9671225107786,880.1119012447384,944.5047521498436,1010.9139042266656,1079.0776107666443,1148.706259626746,1219.485293479458,1291.0788337560336,1363.133878960474,1435.284933393391,1507.1589153241912,1578.3801935787696,1648.5756075541065,1717.3793368681527,1784.4375021172364,1849.4123963936295,1911.9862671673827,1971.8645887828384,2028.778786206171,2082.4883899869164,2132.782620039501,2179.4814113643347,2222.4359079358533,2261.528461563169,2296.6721805835446,2327.810078889764,2354.913879208042,2377.9825259758527,2397.0404628936576,2412.135728529244,2423.337920525105,2430.7360752717877,2434.436505615724,2434.56063449423,2431.242857528586,2424.62846272289,2414.871630645689,2402.13353391828
D,146.0,146.0,146.00362086535978,146.0091608589797,146.01568890251193,146.0227265691806,146.03005672490536,146.03760957703534,146.04539576375058,146.05346782302934,146.06189862419242,146.07076981581366,146.08016609368877,146.09017277691558,146.1008752064533,146.1123591017651,146.12471138402478,146.1380211957339,146.15238097611294,146.1678875259204,146.18464303678078,146.20275608224966,146.22234257889247,146.24352673048702,146.2664419699514,146.2912319134146,146.31805133992307,146.34706720912348,146.37845972814264,146.41242347791635,146.44916860844353,146.48892211186043,146.5319291818209,146.57845466740812,146.62878462965776,146.6832280087174,146.7421184096718,146.80581601510656,146.87470963254043,146.94921888490546,147.02979655227696,147.11693107302648,147.2111492124728,147.3130189069118,147.42315229059233,147.54220891274534,147.67089915113488,147.80998782775185,147.9602980311762,148.12271514875098,148.29819111000063,148.4877488406359,148.69248692397386,148.9135844636056,149.14396627091682,149.35494322023993,149.55514052216344,149.7512128986401,149.9484127313871,150.15100566959205,150.36257709710162,150.5862603022638,150.82490839372505,151.08122580353017,151.35787082257846,151.65753747869107,151.98302281842203,152.33728402916805,152.7234886554734,153.14506029406016,153.60572150476384,154.10953518394496,154.66094526602916,155.26481731346215,155.92647930067352,156.65176267552823,157.44704357922572,158.3192839137258,159.27607175891043,160.3256604571283,161.47700550049854,162.73979817891177,164.12449477903277,165.64233997401936,167.30538291933655,169.12614609138777,171.1172662114688,173.29129994099057,175.66060426128138,178.23724332775953,181.03289763467023,184.05876499181903,187.32545046012638,190.84284655698642,194.62000719200788,198.66501976918337,202.98488017130725,207.5853751989936,212.47097662778225,217.64475046847423,223.1082843315327,228.86163505306433,234.9032979757199,241.23019852548754,247.83770601289854,254.71966893803096,261.8684705111519,269.27510262769636,276.9292561648352,284.8194251991946,292.9330225787545,301.25650421006765,309.7754994352077,318.4749449596967,327.3392199403079,336.3522800369132,345.4977884625372,354.7592423183518,364.120092764541,373.56385784421394,383.07422703783806,392.6351568735367,402.23095714912034,411.8463675313707,421.4666244846209,431.07751864292516,440.66544287785865,450.21743142777495,459.7211905452745,469.1651211892666
R,0.0,1.2950807912396234,2.5585950804127706,3.8275389269002438,5.129563420508326,6.486339778267203,7.915761053072718,9.433400162621501,11.053490944444485,12.789602280471488,14.655114146775121,16.66356562642577,18.828920234866953,21.165778159198574,23.68955493413724,26.41663960313269,29.364541237361223,32.552029980849504,35.999277031562066,39.727996821527995,43.76159391042655,48.125316619581724,52.84641911884931,57.95433348030644,63.480853092734826,69.46032876514188,75.92987881971928,82.92961447373642,90.50288182838395,98.69652181522385,107.561149493806,117.15145414422231,127.5265216534923,138.75018075262034,150.89137471998617,164.02456022448217,178.23013503645763,193.5948963838513,210.2125317724202,228.18414411990946,247.61881307117807,268.63419436106676,291.3571590700309,315.92447456955045,342.4835288747373,371.19310000436633,402.2241717870249,435.760797338702,472.00101116364516,511.15779048765154,553.460066011327,599.1537817597726,648.5030030936051,701.7910712227465,759.3218017174654,821.246936879492,888.008650045658,960.0895043206893,1038.0172830053843,1122.3705476470022,1213.7848051680164,1312.9592418517798,1420.6640275621944,1537.7482194873264,1665.1483079081656,1803.8974513040682,1955.135447048591,2120.1194783960973,2300.2356690259935,2497.0114632241466,2712.128832660057,2947.4382893079915,3204.973657929955,3486.9675302700607,3795.867286381977,4134.351526185342,4505.346706560232,4912.043726549266,5357.9141465200155,5846.7256679749,6382.556441229012,6969.807711202985,7613.214260515186,8317.852067850983,9088.901818181916,9931.535008012273,10850.922577838337,11852.222893915818,12940.555168769903,14120.962452102794,15398.367199078388,16777.521783549135,18262.955958453047,19858.923045593296,21569.346484191203,23397.768235652464,25347.300405050362,27420.581285481217,29619.736856116015,31946.348570611768,34401.42806517366,36985.39920237416,39698.08765576433,42538.718038896535,45505.91839715097,48597.73171687784,51811.63396744515,55144.55807988373,58592.923181579084,62152.668349268584,65819.29011085529,69587.88291788989,73453.18182213737,77409.60661828848,81451.30675735655,85572.20638843601,89766.04894728714,94026.4407759093,98346.89332544529,102720.86356333918,107141.79227291388,111603.13999805083,116098.42044636999,120621.23122044273,125165.28179760264,129724.41872455111,134292.64803307666,138864.1549178634,143433.32074672257,147994.73749790087
G,13764.0,13764.0,13764.08486821026,13764.229943148057,13764.420335003317,13764.647327522356,13764.90612614006,13765.19445032169,13765.511655473494,13765.858187217516,13766.23524443308,13766.64457360918,13767.088345979655,13767.569087050591,13768.089639502761,13768.653147585306,13769.263055591797,13769.92311581849,13770.637403168603,13771.410334675562,13772.246692916959,13773.151652732397,13774.130810938697,13775.190218915184,13776.33641804772,13777.576478096398,13778.918038603077,13780.369353490476,13781.939339030016,13783.637625374473,13785.474611865957,13787.461526340796,13789.61048866139,13791.934578711049,13794.447909091276,13797.165702761686,13800.104375860194,13803.281625934935,13806.716525808732,13810.429623281072,13814.443046850653,13818.780617612378,13823.467967445295,13828.532663560816,13834.004339422463,13839.914831977532,13846.298325056076,13853.191498691445,13860.633683997681,13868.667023100314,13877.336633456864,13886.690775719751,13896.781024085876,13907.662437842524,13919.393732557683,13932.086195881604,13945.856941612656,13960.827407717272,13977.126731841108,13994.894414698874,14014.28256862387,14035.4579451005,14058.603867235695,14083.922148315807,14111.635047566398,14141.987293519327,14175.24819038367,14211.713811125086,14251.709270998388,14295.59106600514,14343.749451485222,14396.610826387401,14454.640078494733,14518.34283498007,14588.267551277522,14665.00735968914,14749.201587888096,14841.536847190639,14942.747581975631,15053.615965899593,15174.971028647213,15307.686899953103,15452.680066532588,15610.55416082589,15781.771398731764,15966.82280617824,16166.192716212787,16380.33340412642,16609.646157462776,16854.466686086365,17115.053722062206,17391.580202522113,17684.12672837195,17992.67714318898,18317.116138951325,18657.228805463685,19012.702022324287,19383.127561502297,19768.006735092335,20166.75639288446,20578.716051689185,21003.155924629555,21439.285614224187,21886.2632374524,22343.20476292163,22809.19335821896,23283.28856787289,23764.535167466063,24251.97156585868,24744.637653951646,25241.582023927123,25741.868506687628,26244.581996742203,26748.83355273461,27253.76477802433,27758.551499206827,28262.406771292885,28764.583246632916,29264.37495079666,29761.118512756682,30254.19389914217,30743.02470329262,31227.078039602937,31705.864092447893,32178.935367018476,32645.885686885096,33106.348980187235,33559.997893176704,34006.542266529425,34445.72750648448
H,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,265224.3638668172,255863.57035205822,246502.77683729923,237141.98332254024,227781.18980778125,218420.39629302226,209059.60277826327,199698.80926350428,190338.0157487453,180977.2222339863,171616.42871922732,162255.63520446833,152894.84168970934,143534.04817495035,134173.25466019136,124812.46114543237,115451.66763067339,106090.8741159144,96730.08060115541,87369.28708639642,78008.49357163743,68647.70005687844,59286.90654211946,49926.11302736048,40565.3195126015,31204.525997842517,21843.732483083535,12482.938968324552,3122.1454535655685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
