series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10
S,1055441.100720505,1055389.8473740488,1055345.73002536,1055300.0733055954,1055248.0606688682,1055186.3762211364,1055112.1445598044,1055022.4329782126,1054914.0016218412,1054783.1667549876,1054625.721351058,1054436.8929469646,1054211.335225962,1053943.157288917,1053625.9971288058,1053253.1448998693,1052817.7176933747,1052312.8812143963,1051732.1060400365,1051069.4387314369,1050319.7630262831,1049479.0253920103,1048544.4030512223,1047514.4004371858,1046388.869932997,1045168.9622875211,1043857.019315865,1042456.4254074771,1040971.4350543376,1039406.9918642157,1037768.5513885207,1036061.9165180305,1034293.0908473139,1032468.1526381042,1030593.1499391457,1028674.0160084631,1026716.5033223091,1024726.1340108422,1022708.1644103365,1020667.5614637403,1018608.9888585708,1016536.8010085794,1014455.0432263794,1012367.4566748365,1010277.4869116064,1008188.2950464615,1006102.7707119462,1004023.5462040922,1001953.0112826177,999893.3282312808,997846.4468712652,995814.1192961236,1142115.2128113173,1287865.9329247423,1433035.7951208958,1577594.0009227747,1721499.388127861,1864697.5128908237,2007119.885370589,2148684.5501000797,2289297.369063723,2428853.604669124,2567239.599562857,2704334.4764620564,2840011.8414729526,2974141.4907452837,3106591.1144151455,3237227.9792238274,3365920.5608089627,3492540.0919558313,3545094.4341376433,3519817.734939765,3494080.455065177,3467831.6236289437,3441112.181426853,3414000.6411126256,3386588.3320443775,3358967.838164475,3331227.5896907374,3303449.4313880927,3275707.6748449416,3248068.907712898,3220592.1931002447,3193329.4675226975,3166326.033940462,3139621.092316332,3113248.2749411883,3087236.167702857,3061608.8065923136,3036386.143637315,3011584.4794914345,2987216.8618288776,2963293.449922026,2939821.8465560474,2916807.398914046,2894253.4703432065,2872161.6850506067,2850532.1478200746,2829363.6408187156,2808653.79949503,2788399.2694752337,2768595.8462516535,2749238.5993349478,2730321.982416166,2711839.9309594426,2693785.948524254,2676153.182999573,2658934.4938221453,2642122.5111481897,2625709.6878524297,2609688.345140488,2594050.712480248,2578788.96248447,2563895.241310393,2549361.695081842,2535180.4927850603,2521343.846040589,2507844.026109649,2494673.3784541306,2481824.335134102,2469289.4252952854,2457061.283970876,2445132.6593970307,2433496.4190190504,2422145.5543454145,2411073.184789147,2400272.560620282,2389737.0651392136,2379460.2161683054,2369435.666948086
E,0.0,51.25334645629977,85.11988614357757,113.75239665297337,143.0142439745803,176.09545307227833,215.10754377529994,261.7970302552918,317.86826694906273,385.1286139428779,465.5472452705625,561.26493128507,674.5681360910811,807.83060712771,963.4224437662467,1143.5875577779034,1350.2941354374607,1585.068106592077,1848.825338932005,2141.7225400740826,2463.047899139893,2811.169239617929,3183.5500695795217,3576.8339917327958,3986.9879475637663,4409.4871354863535,4839.520660323618,5272.197244706491,5702.733777541018,6126.61466720124,6539.715509055062,6938.389451271172,7319.5183185340775,7680.532911926975,8019.408092308557,8334.63854460566,8625.200802635145,8890.50644233461,9130.35051994225,9344.858474333334,9534.433911697048,9699.70898965055,9841.498533702355,9960.758551785793,10058.549452851476,10136.004009052851,10194.299912252744,10234.63664924383,10258.216342504169,10266.228162699472,10259.835905695258,10240.16833264233,10208.311890519788,10733.200225427085,11733.967379843263,13146.234769682065,14928.863428677658,17062.2239387707,19544.65881476295,22388.307699018405,25615.06482083186,29253.045080780594,33333.66008371883,37889.258957346545,42951.2375265478,48548.522322140605,54706.360503571705,61445.37312438406,68780.84807485818,76722.25847789821,85272.9940418185,93494.86198760022,100532.91460913156,106674.8890831323,112059.06268592071,116758.48500369045,120818.7788018777,124275.18758421889,127160.05978217942,129505.85950564715,131346.0911305654,132715.28200314625,133648.57844957418,134181.2240275588,134348.04704270803,134183.01304198286,133718.86204227898,132986.8323709221,132016.46450147187,130835.47469547107,129469.6872607857,127943.01455268275,126277.47479201795,124493.23898267072,122608.69947482346,120640.55393440796,118603.89958875933,116512.33360184304,114378.05628448933,112211.97457071111,110023.80380027289,107822.1663523915,105614.6860886056,103408.07789697363,101208.2318965534,99020.29207119295,96848.72926445253,94697.40859122174,92569.65141340117,90468.29209295436,88395.729780827,86353.97552897414,84344.6950286013,82369.24728365497,80428.71952700015,78523.95867954828,76655.59964142104,74824.09069030559,73029.71624646033,71272.61724713932,69552.80935610695,67870.19921685958,66224.59894148681,64615.739011028025,63043.27974787161,61506.82150630929,60005.91371385416,58540.06288338391,57108.73970457752,55711.38531245494
I,35.26507639514787,26.951349834600386,25.5750438940835,27.812146804176034,32.302496811416916,38.57600985989586,46.58322293468584,56.49139392387242,68.5979622743398,83.29576440733022,101.06054730529996,122.44713692676652,148.08745992965495,178.68651624749685,215.01362860773173,257.88692417905713,308.14957425038,366.6371130386742,434.13628844052937,511.3373172661377,598.7829166533444,696.818730972625,805.5504104386953,924.81236713591,1054.1520942704153,1192.8320932910315,1339.8493049982446,1493.9699314046325,1653.7760259968156,1817.7194112271268,1984.178360547851,2151.512927638649,2318.11561919841,2482.455086522288,2643.1114882292045,2798.8030387642534,2948.403944455027,3090.9544231950977,3225.66381635713,3351.907959653264,3469.2220172402085,3577.2899342955466,3675.9315577032585,3765.0883370574156,3844.8083677915192,3915.231388361258,3976.5742029861003,4029.11687580139,4073.189933972686,4109.16272702244,4137.43301666224,4158.417814360512,4172.54544082813,4211.111578490429,4291.8454993201,4451.332986436594,4711.553233133436,5085.471213364499,5581.1850025426875,6204.7824903686505,6962.140319163077,7859.919438472926,8905.990126036259,10109.475993228305,11480.558830087053,13030.144387219832,14769.457252064161,16709.610719814027,18861.182943557673,21233.82120597321,23835.88978580939,26674.17214544104,29662.79023406499,32652.448351586147,35555.88647252434,38319.19943621245,40907.88568577963,43299.75284572983,45481.09890348412,47444.492255534875,49187.351075283055,50710.93687761429,52019.57622627069,53120.020933148095,54020.90368841226,54732.26822927934,55265.16333658067,55631.29431289326,55842.727227458745,55911.641647176024,55850.12756092745,55670.02209810552,55382.781590748586,54999.38458107366,54530.261533904486,53985.24725798778,53373.552346724755,52703.75029315164,51983.77729518135,51220.942128569455,50421.94381445086,49592.89513704592,48739.3503698306,47866.3358421636,46978.38222200975,46079.557604317946,45173.50068008318,44263.45342005014,43352.29284166927,42442.561540737086,41536.49676261354,40636.05786441705,39742.952081426374,38858.65856016883,37984.450659254326,37121.416548629495,36270.47816008158,35432.408557832685,34607.84780906645,33797.317441194595,33001.23357642436,32219.918835424058,31453.613101181625,30702.48323198877,29966.631809253464,29246.10500186469,28540.899624361035,27850.96946139246,27176.230926071134,26516.568114905403
A,37.36139023011576,35.86693462091113,39.70560307099389,46.87517971823164,56.703910306185705,69.15017977909477,84.50225244440773,103.25411174030367,126.05967682872257,153.72206744258835,187.19823389119773,227.60945252384425,276.2524078619257,334.6071663866955,404.33882165414866,487.28971787023295,585.4593766959204,700.9698413497235,836.0152729392007,992.7962977710739,1173.4416404071644,1379.9216397468676,1613.9598900265846,1876.9500675511385,2169.884769123609,2493.301935017474,2847.2524408579065,3231.2901446576398,3644.483497171773,4085.4460871819033,4552.382360473854,5043.14423394024,5555.294331109799,6086.171948263879,6632.958470519268,7192.739665406989,7762.562991148494,8339.48870541697,8920.634113901046,9503.210743841928,10084.554567525433,10662.149644512794,11233.64571331118,11796.870358519649,12349.836422939457,12890.745338840572,13417.987029676167,13930.136992126932,14425.951115605105,14904.358737725172,15364.454373791852,15805.488498934243,16226.857705066906,16628.094502604956,17067.286452447654,17591.877489792903,18240.790019316904,19047.156850350402,20040.765851531552,21250.042841689992,22703.525628418305,24430.86315684861,26463.411095549243,28834.502758351817,31579.466458236206,34735.447624102126,38341.08205581282,42436.05774680326,47060.59682631804,52254.88547635916,58058.47710075139,64509.691726915065,71548.78795766598,79030.4503334954,86844.78066833297,94900.50375309133,103117.51130079145,111423.59338347943,119753.05459810409,128046.15561780377,136248.8868507611,144312.8462815232,152195.12041914288,159858.12844170752,167269.41889351874,174401.42178605427,181231.16457191185,187739.96215502982,193913.09088704525,199739.45542088855,205211.25588950733,210323.66142764868,215074.49469512436,219463.93085242013,223494.213404514,227169.38846526903,230495.05829068503,233478.15436755138,236126.72990594353,238449.77125109718,240457.0274852617,242158.85731766772,243566.09224710363,244689.91491501164,245541.75153746843,246133.17730350324,246475.83364794368,246581.35634363722,246461.313405819,246127.1518568488,245590.152459557,244861.39158970656,243951.7094808109,242871.68413640425,241631.61026485276,240241.48264922318,238710.98341911827,237049.47274245543,235265.98250275588,233369.21257158453,231367.52932637258,229268.96610106475,227081.22529099954,224811.6818643216,222467.38806022756,220055.0790796522,217581.17959681142,215051.81094052494,212472.79881263824,209849.68142733024
IH,0.0,1.5367278148921089,1.9047596164155747,2.019688531305503,2.1717924284453995,2.4397519407287134,2.8404746547285376,3.379840310064388,4.067931704567554,4.922501951779747,5.969106471178291,7.240621601323644,8.776848858525655,10.624240658353486,12.835594466547796,15.469526132090936,18.589543358800363,22.262569990751118,26.556820562252526,31.538997059402483,37.27087615996205,43.80546632135213,51.18302125379649,59.42727499986915,68.54229119085899,78.51028237520632,89.29065765301274,100.82041681303261,113.01585505641066,125.775403389318,138.98332802588146,152.51395849630129,166.23610806633354,180.01738263978916,193.7281324469359,207.24487102850136,220.45305696428716,233.24919745238626,245.5422846369506,257.25461381499395,268.32205771245265,278.6938845667157,288.3322120525706,297.2111865307396,305.3159698939576,312.6416063078319,319.1918298706952,324.97786274014567,330.01724234432936,334.33270638247853,337.95115567288457,340.90270761819454,343.2198471076117,313.9034380730792,301.3809764152272,298.3569575657999,302.69155487044554,314.164102862601,333.1389126376215,360.0819255956062,395.43460328815104,439.6191427196138,493.07697127945346,556.302399154122,629.8601877046863,714.3868292672556,810.5790627746128,919.1737643108354,1040.922838281505,1176.565962338897,1326.8033308243625,1492.2699747588863,1673.5127956173508,1867.6843776818987,2068.0314347185613,2268.190833853517,2463.191438535243,2649.4249727681995,2824.375514061384,2986.352907709961,3134.285889362525,3267.5724730425914,3385.9725111487896,3489.528529501578,3578.504996402912,3653.339795797233,3714.6041910482645,3762.9691288602016,3799.1766328155572,3824.0155222697417,3838.300938899305,3842.857279816969,3838.5041876801197,3826.045270813386,3806.259238987339,3779.8931521932327,3747.657494152962,3710.2228002297206,3668.2175903722245,3622.2273807468464,3572.7945717185535,3520.419033879137,3465.559237127096,3408.633789819375,3350.0232753693517,3290.072292143619,3229.091619022024,3167.3604435346642,3105.128602146718,3042.6187931426,2980.0287318083037,2917.5332253823144,2855.2861517030005,2793.422330783008,2732.0592828404247,2671.298869753359,2611.2288196076406,2551.9241360922165,2493.448396065859,2435.854939761717,2379.18795889085,2323.4834884189213,2268.77030807851,2215.0707597909577,2162.4014871463355,2110.7741029612544,2060.1957907290957,2010.6698455180428,1962.196159576958,1914.7716575918696
IN,6.776998745655378,13.142858588107485,17.52484748022919,21.376506112524112,25.424407879661985,30.08966079655123,35.6774880914842,42.46509061231431,50.74499478079913,60.84914023148637,73.16482146923863,88.14726284461825,106.33069431805168,128.3383751211607,154.8912353520427,186.8143117054034,225.03981055766442,270.6054191301189,324.6464386627117,388.3804870648013,463.08395434804083,550.0600916423463,650.5995095345909,765.9348245112382,897.1920526054912,1045.3419384190843,1211.1546071978976,1395.160702157818,1597.6215713096774,1818.510216349116,2057.5037588075957,2313.9872560197487,2587.067918376828,2875.5982020117817,3178.2058968701886,3493.3291851985314,3819.254675053563,4154.156573267329,4496.135407426868,4843.254996740845,5193.576674751707,5545.190058772856,5896.239925711158,6244.948982361339,6589.6365064168995,6928.732982282269,7260.790965839148,7584.492488725299,7898.653360306898,8202.224749446854,8494.292433288118,8774.074091056791,9040.915001268635,9294.282474019137,9539.69032403754,9785.7249494975,10047.482642215607,10343.367659642858,10693.159250742028,11116.992952699637,11634.952672453137,12267.03322287146,13033.29645055224,13954.099569436132,15050.318098811467,16343.51777284636,17856.05179319352,19611.074327708335,21632.47053100902,23944.709357927983,26572.629257970126,29541.1692004181,32875.05878574856,36581.0238979384,40636.6917668268,45004.27787803253,49637.93086181127,54487.95073397045,59503.3878724714,64633.75044826059,69830.18165632396,75046.29252061289,80238.75076554436,85367.68439564476,90396.9378388247,95294.20793701486,100031.08139776571,104582.99195084287,108929.11312747025,113052.20070814625,116938.3972101992,120577.0092107792,123960.26680064859,127083.07304492898,129942.75000392355,132538.7866546662,134872.59296192386,136947.2633806037,138767.35222956137,140338.66265533655,141668.05029610416,142763.24225193265,143632.67155700977,144285.3270221344,144730.61806086882,144978.25392012784,145038.1365961592,144920.26662117077,144634.66084651134,144191.2813184375,143599.97433612094,142870.41879351749,142012.08293266548,141034.18867223247,139945.68271864823,138755.2137154533,137471.11473754628,136101.39048922583,134653.70861704784,133135.3945995918,131553.42972554633,129914.45171856847,128224.75761179863,126490.30851651213,124716.73596804592,122909.34956783231,121073.14567313428,119212.81691599221,117332.76236007793,115437.09812874753
D,3810.0,3810.0,3810.03829317173,3810.085757196516,3810.136085093897,3810.1902032139815,3810.250998521478,3810.321779295206,3810.406000329119,3810.5073676668076,3810.630029735362,3810.7787717682445,3810.95919823266,3811.177905395587,3811.4426470551616,3811.762492650718,3812.1479722490008,3812.6111984425524,3813.1659514752896,3813.8277114047537,3814.6136204114614,3815.5423600669055,3816.6339328414024,3817.909344273101,3819.390191320283,3821.098172201407,3823.054541895777,3825.279543912556,3827.7918518811375,3830.608053620918,3833.742205989802,3837.205481916809,3841.005922793389,3845.148301015604,3849.6340898983035,3854.4615320600174,3859.6257930042866,3865.1191840179,3870.9314374874675,3877.050018007334,3883.460453876095,3890.1466754277,3897.09134882942,3904.2761962723903,3911.6822957101394,3919.2903553506994,3927.0809599094346,3935.034787150372,3943.1327944784766,3951.356376307625,3959.6874936443014,3968.108777826876,3976.6036106785227,3985.326594443366,3993.3044972864423,4000.9641398929443,4008.5469266079517,4016.2398777619746,4024.2244054396756,4032.691180746712,4041.842716759136,4051.8927463643827,4063.0657326499195,4075.597357646361,4089.735866351667,4105.743857258284,4123.900105406609,4144.501093561259,4167.862032302774,4194.317241974659,4224.219841938616,4257.940747100292,4295.867011773744,4338.399589855833,4385.867067746943,4438.426396067427,4496.072805463638,4558.675184402718,4626.010716477531,4697.792642734416,4773.691248685018,4853.349593497211,4936.395436775214,5022.450434736027,5111.137324396739,5202.0855642759025,5294.935741778029,5389.342963051492,5484.979386455532,5581.536028989759,5678.723955615717,5776.274948242619,5873.941740955636,5971.497899180711,6068.737412169586,6165.474060199327,6261.540610188453,6356.787886105569,6451.083753675859,6544.31205255304,6636.371503371799,6727.174611953248,6816.646588404378,6904.724294913243,6991.355232661921,7076.49657541688,7160.114254963631,7242.182101579415,7322.6810411343195,7401.598349129576,7478.926960976629,7554.664837050502,7628.814380478336,7701.381905215557,7772.377151688383,7841.8128471169575,7909.704307556297,7976.069078683843,8040.926612407015,8104.29797644861,8166.205594181429,8226.673012117222,8285.724692601785,8343.385829422123,8399.68218418851,8454.639941510557,8508.285581139344,8560.645765395511,8611.74724034435,8661.616749312638
R,0.0,1.9055945124079023,4.905727139068953,8.509205264862501,12.69058051369801,17.586706077273092,23.397645649823424,30.361961526712204,38.75773116860797,48.91197524592071,61.21285067562063,76.12306196195578,94.19421462237526,116.08208602219457,142.56268616864253,174.5487556915481,213.10607995241455,259.4687229362032,315.05203482788244,381.46210379942096,460.5002524736352,554.1612654982465,664.6243009797313,794.2358784868322,945.4849068051544,1120.97034156495,1323.362657085187,1555.3607947473654,1819.6465525821734,2118.838482691285,2455.4472744557706,2831.8343585631333,3250.1751204837847,3712.427715392035,4220.308076458433,4775.271340349531,5378.499600306661,6030.895649350138,6733.082195788418,7485.405915744669,8287.945644502906,9140.523990071113,10042.721668187372,10993.893898512943,11993.188258666903,13039.563459219797,14131.808573396334,15268.56232599666,16448.332114047444,17669.51249501193,18930.402935856968,20229.224667314258,21564.1365321336,22933.249754163706,24319.129894761718,25731.20658240881,27177.68151841169,28668.159570561587,30214.577148936183,31831.444220026708,33535.86223863255,35347.51325913162,37288.6893467139,39384.37452518079,41662.36823475281,44153.43179036993,46891.438793563,49913.51263416647,53260.137232329726,56975.23026236006,61106.17102069494,65703.77779545172,70822.23205827163,76515.09925481702,82829.11699452747,89801.89410387736,97461.91557881425,105829.19564840652,114916.04143993532,124727.78375166716,135263.4558215282,146516.4310551163,158475.03160874985,171123.11423245646,184440.63479272524,198404.18984671409,212987.53229489876,228162.05793299372,243897.26016241955,260161.15085719415,276920.6462100814,294141.91717129713,311790.70478824916,329832.6013303157,348233.2985350821,366958.80464952067,385975.63217440975,405250.9583678915,424752.760639512,444449.9289834069,464312.3575710376,484311.01756092766,504418.01309442235,524606.6223402692,544851.3253330769,565127.8202264946,585413.0294552534,605685.0971741118,625923.3792185795,646108.4267137713,666221.9643450598,686246.8641981552,706167.1159772956,725967.794318599,745635.0238313248,765155.9424226665,784518.6633915316,803712.2367132072,822726.6098795177,841552.5886076292,860181.7976846438,878606.6421741227,896820.2691742744,914816.5302853379,932589.9449153041,950135.6645281746,967449.4379171408,984527.5775660314,1001366.9271458607,1017964.8301790237
G,255112.0,255112.0,255116.9774631667,255125.2438716517,255136.2909232807,255150.17973602976,255167.28122680236,255188.17137252056,255213.5957626402,255244.46550481295,255281.86722826862,255327.07879835917,255381.58598111657,255447.0965922856,255525.54897383548,255619.111639678,255730.17102097266,255861.30468907487,256015.23840585124,256194.78687755953,256402.7800291006,256641.97865793935,256914.98505289623,257224.1551716539,257571.5190157371,257958.71491663164,258386.94178020937,258856.93130278034,259368.94016478484,259922.76053534952,260517.74605241138,261152.84981280018,261826.67074972668,262537.50497514504,263283.3990935361,264062.2030382131,264871.62055397977,265709.2559918329,266572.65655803017,267459.3495557384,268366.87447010697,269292.8099824565,270234.79616602586,271190.55222574447,272157.8902091483,273134.72514527314,274119.0820721994,275109.1003994245,276103.0360244754,277099.2615888727,278096.2652203169,279092.64806841733,280087.1209022998,281078.5000012704,282120.8535737975,283260.3965396802,284537.09169952595,285986.9066477077,287643.90266979835,289541.9800848762,291716.21815206733,294203.82238619454,297044.72867759236,300281.92345118435,303961.53471391223,308132.73947483674,312847.5239399129,318160.3261902394,324127.58691828704,330807.23149832845,338258.10528593673,346539.3828278393,355619.12618106895,365382.36924916535,375742.08950029034,386624.6931852562,397963.6807574933,409696.98332033533,421765.9546461482,434115.0900217013,446692.03748226486,459447.6988369349,472336.32901427965,485315.59617451194,498346.5911521186,511393.7871286974,524424.9558462453,537411.0485899389,550326.0503517158,563146.8149433902,575852.8878385018,588426.3224354399,600851.4943783747,613114.9176086,625205.0649722578,637112.1954865775,648828.1897607993,660346.3945697543,671661.4771753729,682769.2896714451,693666.7433774715,704351.6931171166,714822.8310754654,725079.5898280869,735122.0540661733,744950.8804991887,754567.2253940292,763972.6792030768,773169.2077389256,782159.0993678697,790944.9177149568,799529.4593985179,807915.7163399757,816106.8422241734,824106.1227154745,831916.9490647438,839542.7947714786,846987.1949934324,854253.7284227973,861346.001373208,868267.6338454054,875022.2473613152,881613.4543765561,888044.849100033,894319.9995663465,900442.4408223425,906415.6691033175,912243.1368872701,917928.2487272506,923474.357772395
H,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2746161.114331573,2597843.815678529,2449526.517025485,2301209.2183724414,2152891.9197193976,2004574.621066354,1856257.3224133104,1707940.0237602668,1559622.7251072233,1411305.4264541797,1262988.127801136,1114670.8291480925,966353.530495049,818036.2318420054,669718.9331889618,521401.6345359182,373084.33588287455,224767.03722983092,76449.73857678729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
