series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10
S,50454.91992715815,50449.13263631584,50443.73892125904,50438.59565533364,50433.612892141806,50428.73403426096,50423.92350436059,50419.1590218805,50414.42673961209,50409.71816982654,50405.028236036145,50400.35403538051,50395.69405084557,50391.0476488272,50386.4147580137,50381.79566366492,50377.19087544452,50372.6010422083,50368.02689682216,50363.46922022478,50358.9288178555,50354.40650405333,50349.90309161739,50345.419384728615,50340.95617407805,50336.51423345858,50332.094317341005,50327.69715912377,50323.32346985429,50318.973937288974,50314.64922520395,50310.34997289737,50306.076794842666,50301.8302804645,50297.61099401682,50293.41947454785,50289.25623594032,50285.12176701739,50281.01653170677,50276.94096925626,50272.89549449503,50268.88049813563,50264.896347112066,50260.94338494985,50257.02193216421,50253.132286682885,50249.2747242905,50245.4494990913,50241.65684398765,50237.89697117175,50234.17007262821,50230.4763206453,63940.16145667138,77648.56306717385,91355.63695353491,105061.3389540357,118765.58452838506,132468.2394481193,146169.1137161619,159867.95593857166,173564.4464359838,187258.1880548308,200948.6940238104,214635.37239363437,228317.50667764782,241994.232341642,255664.508824485,269327.08685012563,282980.4709547919,296622.87743705726,301949.2120498668,301852.76070813846,301744.1765650033,301621.99147290044,301484.9810286953,301332.0981938687,301162.4570284533,300975.33771382825,300770.198181304,300546.68475057784,300304.63799394853,300044.0922757885,299765.2688127005,299468.5629737854,299154.52703701536,298823.8498245291,298477.3346311811,298115.87670784636,297740.441327967,297352.0432047508,296951.7277744605,296540.55464093253,296119.58329829585,295689.8611146015,295252.4134651334,294808.2358442547,294358.28775162174,293903.4881356505,293444.7121783314,292982.7892160444,292518.50160723407,292052.58437692584,291585.7254881918,291118.566610514,290651.7042737396,290185.69131351326,289721.03852948704,289258.2164911941,288797.65743827826,288339.75723191287,287884.8773228655,287433.3467089361,286985.4638605746,286541.49859852827,286101.6939115282,285666.26770542114,285235.4144779129,284809.3069153099,284388.09740941506,283971.91949413094,283560.88920241187,283155.1063450389,282754.65571331873,282359.6082082648,281970.02189913945,281585.9430144473,281207.4068685945,280834.438727484,280467.0546163172,280105.2620728345
E,0.0,5.787290842312765,9.490759118889933,11.862136525192543,13.38042236233237,14.351369541588138,14.97041212598944,15.36260857727206,15.608059201821835,15.758110583835279,15.845701688789024,15.891977640184816,15.91052203162446,15.910067797502276,15.896235022977258,15.872645809234722,15.8416399761496,15.804734779372069,15.7629203319916,15.716849500052344,15.666959971719185,15.613552703435282,15.556842293681981,15.49698928306291,15.434120814318701,15.368343794788188,15.299753230366008,15.22843745167495,15.154481342377018,15.077968285871577,14.998981292718938,14.917603607252719,14.833918986011415,14.748011772230363,14.65996684641794,14.569869504438097,14.47780529601392,14.38385984458986,14.288118661738196,14.190666964284029,14.091589499082602,13.990970378295962,13.888892926673021,13.785439541480798,13.68069156519153,13.574729170692263,13.467631258577185,13.359475365963753,13.250337586208618,13.14029249887141,13.029413109268482,12.917770796967853,12.805435272595037,14.009434191182239,16.18951511826314,19.10476347067985,22.625005192686416,26.707773274578926,31.378772312272584,36.71759643487078,42.84887878776058,49.93832613392617,58.19286634992033,67.86416956312206,79.25494002834066,92.72752119433429,108.71445674064256,127.73067576559211,150.3869039511272,177.4037349706828,209.62552503261745,244.85325136092627,281.92510471922054,321.77063354486967,364.8041562271896,411.14161995118974,460.70400960243103,513.2692660193604,568.5024351151743,625.9780017212541,685.2004748083352,745.6252852924441,806.6800597048837,867.7854405243453,928.3743695784233,987.9088605785923,1045.8935797826452,1101.8859055094997,1155.502466411019,1206.4224195126126,1254.3879047725952,1299.2022056523047,1340.726168713722,1378.8734080052045,1413.604760381705,1444.922381678874,1472.8637928019607,1497.4961074720045,1518.9106044793498,1537.2177491736113,1552.542722127252,1565.0214768642181,1574.7973220261742,1582.0180048600757,1586.8332609157264,1589.3927879060998,1589.844598548083,1588.3337068118458,1585.0011035106938,1579.9829798929545,1573.410161346789,1565.407717125036,1556.094715875357,1545.5841005402121,1533.9826597553583,1521.3910761560605,1507.9040349632503,1493.6103788579592,1478.5932974684313,1462.9305418076847,1446.6946557335623,1429.9532179849862,1412.769089604711,1395.200662617276,1377.3021067165846,1359.1236114540643,1340.711622027043,1322.1090672666846,1303.3555788324006,1284.4877009495578
I,37.05253840805678,34.08833533541224,32.07941628618643,30.69077596761286,29.70749226753997,28.991276102528598,28.4528425455149,28.03430097296049,27.697910577463865,27.4188895027778,27.18081006413583,26.972646204039616,26.786877858404633,26.618272163108916,26.463098557300395,26.318622324136985,26.18277699244816,26.05395175816041,25.930852958528735,25.812413287449814,25.697731837778292,25.586034087880904,25.47664482368864,25.368969477889515,25.262480970119242,25.156710163648142,25.051238718869357,24.945693552672946,24.839742389588352,24.73309006943818,24.625475391946424,24.516668353680558,24.40646768131312,24.294698596773053,24.18121077042869,24.06587643188309,23.94858861677693,23.829259533807004,23.707819040029854,23.58421321511071,23.458403026939493,23.330363082254024,23.20008045677281,23.067553599966107,22.932791310064093,22.795811775266067,22.656641677408512,22.51531535459468,22.371874019498748,22.22636503024314,22.07884121091487,21.929360218939728,21.77798395667528,22.09221247254712,22.537452009880973,23.22715615648823,24.238242128691564,25.626971324838284,27.441042052679933,29.728550229862797,32.544653288062115,35.956745731302924,40.048839667569744,44.92570722281655,50.717217412731074,57.58319991181454,65.7190919219955,75.36256501829055,86.80127614892733,100.38182911807037,116.51995762376947,135.71183639851853,158.15171808199548,183.878314986534,213.0434214704561,245.84135937383644,282.46946358378017,323.1037126935829,367.8822287163639,416.8934838850902,470.1679692014526,527.6729051079583,589.3098549971688,654.9151182776704,724.2626840366769,797.0694046927392,873.0019481137184,951.6850280140683,1032.7104008646434,1115.646147493384,1200.0458181484057,1285.4570986487279,1371.4297409941778,1457.5225854522284,1543.3095765071757,1628.3847386153984,1712.3661280892638,1794.8988148283029,1875.6569732288208,1954.3451771674947,2030.6990013955572,2104.4850328791977,2175.5003922777387,2243.5718593120678,2308.5546874193633,2370.331183734399,2428.809120768925,2483.9200366687755,2535.6174719438045,2583.8751822936997,2628.6853597036306,2670.056887398664,2708.013648517386,2742.592903453259,2773.8437466568103,2801.8256502218546,2826.6070987192447,2848.264317417016,2866.8800941643626,2882.5426937518023,2895.3448624304315,2905.382919425003,2912.7559316609377,2917.564967502638,2919.9124250338236,2919.90143026949,2917.635300647603,2913.2170691851434,2906.7490647794684,2898.332544277251
A,50.15504712785961,48.120902080759485,47.14135513276334,46.823612335330544,46.917079718190045,47.261784839571,47.755601008187824,48.33337082043395,48.95358570785692,49.58987512650857,50.22556280076239,50.850181599160585,51.457240681862,52.04279411332774,52.60452287656129,53.141146020492705,53.65204295495101,54.13701128180665,54.596111667084436,55.029568626992194,55.437707234788284,55.820912898758785,56.17960594819094,56.51422571141475,56.82522066508203,57.11304245325282,57.37814235996683,57.62096932474331,57.84196891641366,58.041582890836345,58.220249093538925,58.37840155568367,58.516470688034495,58.63488351382565,58.73406390469852,58.81443279876766,58.87640838936407,58.92040627899681,58.946839596812396,58.956119080116,58.94865312186856,58.92484778682526,58.885106799350574,58.82983150607498,58.75942081653868,58.67427112485767,58.57477621528538,58.461327154352496,58.334312172064955,58.194116534434855,58.04112240941703,57.87570872812962,57.69825104305178,57.509121384717105,57.52989959630458,57.9160262196073,58.77617082772724,60.19273015646896,62.23762592548908,64.98418055094953,68.51611223442632,72.9346786035861,78.36486455392489,84.96134390446649,92.91479071592867,102.45899149485248,113.87911435166534,127.52141673689673,143.8046062217876,163.23299320951895,186.41147380339555,214.06223889790405,246.5088165892767,283.86646294564264,326.40189707654775,374.4406143438344,428.3143847539519,488.32825039749315,554.737582156509,627.7311311144803,707.418518798181,793.8216925067006,886.8702374203286,986.4004522037475,1092.1579593192134,1203.8034485317205,1320.9210047792353,1443.0283794504498,1569.5885347991189,1700.021818392305,1833.71819441475,1970.0490552595222,2108.378245102875,2248.072034989498,2388.5078878311247,2529.0819365746042,2669.2151674033466,2808.3583520793964,2945.995810670628,3081.648109966652,3214.8738162076916,3345.2704256714237,3472.4745953292795,3596.16179004986,3716.045454220273,3831.875805383544,3943.4383364692453,4050.5521020938068,4153.067853691125,4250.866078205384,4343.854985914573,4431.968484740748,4515.164171161427,4593.421361539939,4666.7391822861555,4735.134732670594,4798.641330263583,4857.306845773753,4911.192131435168,4960.369544962988,5004.921569392611,5044.939527772859,5080.522390642669,5111.775673433047,5138.810420358013,5161.742270952461,5180.690605149236,5195.777762635132,5207.128332163005,5214.868506505744
IH,0.0,1.4821015363222714,2.2839220426927453,2.701497749382489,2.9052676577967063,2.9924779144658262,3.0179870476310544,3.0122909385808754,2.9920119782180192,2.9659630790946157,2.938625806914719,2.9121261174006077,2.88734319188425,2.8645222015302343,2.843606083658309,2.8244101797723054,2.8067104278269737,2.790285025904896,2.7749318023173704,2.760473461448222,2.7467572100479893,2.7336521268543654,2.721045928582309,2.708841878478194,2.696956120092183,2.685315495152073,2.67385580672516,2.662520454777103,2.6512593672256415,2.640028158168085,2.6287874574446946,2.6175023680802614,2.6061420188316995,2.5946791876494837,2.5830899784523504,2.571353538530925,2.5594518074865045,2.547369291193556,2.5350928561106194,2.5226115405590277,2.5099163804964957,2.4970002479467377,2.483857700688798,2.4704848421190757,2.4568791904161453,2.4430395562921214,2.428965928724331,2.4146593681411264,2.400121906595203,2.3853564545031523,2.3703667135655966,2.3551570955110317,2.339732646330528,1.8660683904972868,1.5758426498682412,1.402698416105437,1.307264143033037,1.2663575297108547,1.2665320194014893,1.3002673772725268,1.3637548180333845,1.455636187467353,1.5763118597327601,1.7275893573988443,1.9125405167184641,2.135492602723935,2.4021129126248293,2.719566327243185,3.096736621772467,3.5445084652424885,4.076109789698716,4.70751453496556,5.4579040403894945,6.342867797758332,7.372867162422185,8.557254424988766,9.905476992042185,11.427097570682077,13.131355065019537,15.026584271474583,17.11963457259798,19.41535217322928,21.91615844192988,24.621742128372734,27.52887427857663,30.63134730312892,33.9200327942822,37.383046529965895,41.006004166603155,44.772347822756245,48.66372224820938,52.66037945410958,56.74159225458412,60.88605974396183,65.07229089284687,69.27895581785575,73.48519756526909,77.6709002361616,81.81691184089578,85.90522234588572,89.91909896097654,93.84318184465015,97.66354413205741,101.36772058377525,104.94470927939898,108.38495070406782,111.68028835509017,114.82391467852365,117.81030577129494,120.63514788397529,123.29525835569282,125.7885032223029,128.1137133728914,130.27060079471465,132.2596761462645,134.08216863335682,135.73994893332056,137.23545571571427,138.57162614199535,139.75183058830868,140.77981172198992,141.65962797045705,142.39560134799007,142.99226954876954,143.4543421710027,143.78666090480723,143.9941634938084,144.08185126543822,144.05476001624803,143.9179340349072
IN,1.4821015363222714,2.7513405685851815,3.719720729274861,4.468663355974103,5.054495672769646,5.516858186229832,5.884166587616167,6.177184050450035,6.411376073161772,6.598477334847029,6.747545881342473,6.865681715718616,6.958524081543553,7.030601499936288,7.085582781832662,7.126460593480067,7.155688399503752,7.1752846339917165,7.186913407168802,7.191948079779738,7.1915220753996305,7.186569996667432,7.177861235782641,7.166027674674673,7.151586660384028,7.134960154279068,7.116490749289952,7.096455100853655,7.0750752072537075,7.052527891899784,7.028952776048733,7.004458980251173,6.979130752800069,6.953032191140293,6.926211195785579,6.898702774493022,6.870531796316981,6.841715279992151,6.8122642883350375,6.782185489579701,6.751482437441173,6.720156613958139,6.68820827258532,6.6556371134044845,6.622442817551089,6.58862546388579,6.5541858474710795,6.519125716454384,6.48344794143469,6.4471566292365585,6.410257191178765,6.372756374358711,6.334662263138674,6.295984256882317,6.2754304069341735,6.275638125142105,6.303404176293442,6.367625848338619,6.478173038168322,6.645406039871517,6.880121017266051,7.193769863943132,7.598855508887961,8.10944566874963,8.741778510502296,9.514954802446287,10.451725207806597,11.579390380332462,12.930836860121984,14.545734231939612,16.471918804476136,18.766985884234487,21.50010580935195,24.738284635778754,28.540453362891718,32.963150971747574,38.06256907099742,43.89472230911504,50.514619538033116,57.97489400452653,66.32415854835814,75.60526377224153,85.85359480393885,97.09551722129692,109.34706189939938,122.6129168892094,136.885771030806,152.14602992297105,168.36190190170583,185.48983154672686,203.47524219088476,222.25353759136019,241.75130638478927,261.88767078043594,282.57572243472015,303.7239927404284,325.23791098014124,347.02121113199,368.9772558962933,391.010254199119,413.02635563479805,434.9346117780955,456.64779988434566,478.0831091471881,499.16269340927784,519.8140970777235,539.9705630679172,559.5712329870056,578.5612505768804,596.8917797696676,614.5199486630827,631.4087303859889,647.5267712724662,662.8481760608248,677.3522590364353,691.0232691880319,703.8500965810872,715.8259662958031,726.9481254511701,737.2175280546402,746.6385216887527,755.2185393772472,762.9677993665304,769.899015014232,776.027116493703,781.3689855991056,785.9432045668253,789.7698195113428,792.8701188031785,795.2664264887128
D,9.0,9.0,9.020498708809539,9.052087268533334,9.089451250930674,9.129633542272686,9.171022024697328,9.212763319854378,9.254425833040084,9.29580787117516,9.336829631161368,9.377473293717454,9.417750443315029,9.457684824241795,9.49730357170854,9.536633031701266,9.57569699622391,9.61451615831417,9.65310814330298,9.691487780317042,9.729667446335808,9.76765740507979,9.805466109518497,9.843100459649323,9.880566017519127,9.917867185369648,9.955007353602289,9.991989024720963,10.028813918403584,10.065483061789116,10.101996868122223,10.138355206125192,10.174557461865845,10.210602594436788,10.24648918642682,10.282215489921871,10.317779468597392,10.353178836338351,10.388411092732952,10.423473555721488,10.458363391635036,10.493077642824437,10.527613253054636,10.561967090820092,10.596135970721965,10.63011667303574,10.663905961588052,10.69750060005308,10.730897366771623,10.764093068189473,10.797084551005925,10.829868713117905,10.862442513440248,10.885399118041102,10.90370830147109,10.919169895633535,10.932932661633009,10.945759061302027,10.958184100179217,10.970610851085702,10.983368601037283,10.996749266635637,11.011031438767906,11.026497636646658,11.043448114237611,11.062213265245047,11.083165940921761,11.106734597976754,11.13341799232022,11.163802044229103,11.198579470388696,11.238572775135944,11.284761193287679,11.3383121599766,11.400546068751174,11.472885956168565,11.556846620055298,11.654035552750578,11.766154072392958,11.89499414588334,12.04242951810959,12.210401137606631,12.400897502106298,12.615930866926893,12.857510433511866,13.127613721984178,13.428157345860264,13.760968354044286,14.127757191781653,14.530093170377341,14.969383141234001,15.446853860724103,15.96353832514566,16.520266163197693,17.11765800685052,17.756123625920996,18.43586350917852,19.15687350455865,19.91895209012284,20.721709831585336,21.564580586770045,22.446834037457922,23.36758916025896,24.325828286457376,25.320411442947993,26.350090709789484,27.41352437256226,28.50929068821291,29.635901120448025,30.791812934449037,31.975441070459038,33.18516924161177,34.419360223361956,35.67636532027383,36.95453301103548,38.25221678473013,39.5677821909608,40.89961313373516,42.24611744439843,43.60573177265435,44.97692583710991,46.35820607806092,47.74811875561495,49.14525253590961,50.54824060728522,51.955762366944455,53.366544716990106,54.779363006867094,56.193041657223645,57.606454498109706
R,0.0,2.2470075511594874,5.135020952729308,8.415185694727171,11.942513159025253,15.63217984277356,19.434078530163944,23.318073670337917,27.265505246731216,31.264320905609225,35.306302321136954,39.385492279657264,43.49730509618319,47.63802280352982,51.80450732264472,55.99403260664965,60.20418303876607,64.43278838453774,68.67787909783537,72.93765326956206,77.2104505988171,81.49473095837632,85.78905627355418,90.09207501660231,94.40250890482169,98.71914152531215,103.04080867056358,107.36639019717762,111.69480323483543,116.02499658340929,120.35594614661368,124.68665126194553,129.01613179886786,133.34342590983496,137.66758833136134,141.9876891444982,146.30281291551177,150.61205814808005,154.9145369878551,159.20937512875574,163.49571187789456,167.7727003426546,172.03950770919573,176.29531558666525,180.5393203956952,184.7707337834713,188.98878305082684,193.19271157952002,197.381779250153,201.55526284314442,205.71245641681688,209.85267165805334,213.97523820214624,218.0795039194419,221.99757762791597,225.80756126457837,229.57000840719996,233.33647894617167,237.1546869890189,241.07177088191943,245.1365845455044,249.40153699661315,253.92429276342867,258.76952730347267,264.0108696831696,269.73313605443485,276.0349477455849,283.0318286927026,290.85988339512414,299.680165224487,309.68385308526496,321.0983594862518,334.1944920395979,349.2731185054068,366.6550974128512,386.68438858596124,409.7296883998488,436.1846691051643,466.4669115089151,501.0156277558506,540.2882880808412,584.7562916977516,634.8998519055448,691.2022924686938,754.1439709152554,824.19605122998,901.8143424487957,987.4334018491044,1081.461074174621,1184.27360478752,1296.211428099921,1417.5756960772303,1548.6255774053411,1689.5763277404487,1840.598106288667,2001.8154941686978,2173.3076555055986,2355.1090725735367,2547.210780938961,2749.562028747719,2962.0722853293446,3184.6135274755684,3417.02273647478,3659.104544723012,3910.6339770498457,4171.359238447551,4441.004506407577,4719.2726923541795,5005.848142583915,5300.399254583446,5602.580989556769,5912.0372664260185,6228.403226479002,6551.307361238998,6880.37349905623,7215.222648400764,7555.4746979122065,7900.749974972641,8250.670665955939,8604.86210240748,8962.953918260144,9324.58108382896,9689.3848227793,10057.013418559796,10427.122916956603,10799.377731482324,11173.451158280464,11549.025807121865,11925.793954907742,12303.45782788774
G,4372.0,4372.0,4372.718147777608,4373.895860761929,4375.367839139265,4377.028222355657,4378.809090886845,4380.666776717932,4382.573130400273,4384.509942171784,4386.465373893365,4388.4316748384,4390.403718189088,4392.378062722465,4394.352350889705,4396.3249225411255,4398.294566995368,4400.260363920476,4402.221581261498,4404.177609827101,4406.127921440426,4408.072042237551,4410.009535700389,4411.939991940485,4413.863020990946,4415.7782486620845,4417.685314030397,4419.583867961711,4421.47357228284,4423.354099353857,4425.225131881921,4427.08636287501,4428.937495670937,4430.778244000902,4432.6083320623,4434.427494585389,4436.235476884833,4438.032034891205,4439.816935160132,4441.589954858415,4443.350881727452,4445.099514024922,4446.835660446021,4448.559140025756,4450.269782023852,4451.967425793859,4453.651920638023,4455.323125649402,4456.9809095426735,4458.625150474978,4460.255735858069,4461.872562162967,4463.475534718218,4465.064567502794,4466.803005107548,4468.811970030775,4471.18268956121,4473.99023762475,4477.304418395093,4481.198225741934,4485.75453040974,4491.071668931518,4497.268540474294,4504.489721987454,4512.911020290726,4522.745804924255,4534.252408805618,4547.7428394111175,4563.59300202307,4582.254587175159,4604.268704225737,4630.281239111879,4660.665199948806,4695.649425370051,4735.578102133625,4780.846829971005,4831.865596557092,4889.0345845422335,4952.726421145794,5023.2721689691525,5100.950088226351,5185.976953405004,5278.501963146261,5378.603289984981,5486.287213695193,5601.489647522376,5724.079745727881,5853.865196364461,5990.598762341952,6133.985633830349,6283.691187436535,6439.348801787527,6600.567444857947,6766.938817003597,6938.043898904895,7113.4588114682565,7292.7599431188055,7475.528338269323,7661.353369507366,7849.835736250643,8040.589845616633,8233.245638441847,8427.4499261027,8622.867303215695,8819.18069842615,9016.091621137673,9213.320156816982,9410.6047579019,9607.70187168539,9804.385441080052,10000.446309037716,10195.691552697213,10389.943769102703,10583.040330585616,10774.832624622864,10965.185290145891,11153.975459844054,11341.092015942517,11526.434865198593,11709.91423741163,11891.450010542567,12070.971064555473,12248.41466529349,12423.725879057592,12596.857018043902,12767.767116392599,12936.421436290077,13102.791003330196,13266.852170166667,13428.58620736538
H,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,252250.58985324597,238537.24426490758,224823.8986765692,211110.5530882308,197397.20749989242,183683.86191155404,169970.51632321565,156257.17073487726,142543.82514653887,128830.47955820049,115117.1339698621,101403.78838152371,87690.44279318533,73977.09720484694,60263.751616508554,46550.40602817017,32837.06043983178,19123.714851493394,5410.369263155006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
